变量名,specialDefenceC,defenceC,specialDamageC,damageC,servHpC,speedC,__version
97,0.87,0.87,0.87,0.87,0.87,0.87,
98,0.88,0.88,0.88,0.88,0.88,0.88,
99,0.89,0.89,0.89,0.89,0.89,0.89,
100,,,,,,,
101,1.02,1.02,1.02,1.02,1.02,1.02,
102,1.04,1.04,1.04,1.04,1.04,1.04,
103,1.06,1.06,1.06,1.06,1.06,1.06,
104,1.08,1.08,1.08,1.08,1.08,1.08,
105,1.1,1.1,1.1,1.1,1.1,1.1,
106,1.12,1.12,1.12,1.12,1.12,1.12,
107,1.14,1.14,1.14,1.14,1.14,1.14,
108,1.16,1.16,1.16,1.16,1.16,1.16,
109,1.18,1.18,1.18,1.18,1.18,1.18,
110,1.2,1.2,1.2,1.2,1.2,1.2,
111,1.22,1.22,1.22,1.22,1.22,1.22,
112,1.24,1.24,1.24,1.24,1.24,1.24,
113,1.26,1.26,1.26,1.26,1.26,1.26,
114,1.28,1.28,1.28,1.28,1.28,1.28,
115,1.3,1.3,1.3,1.3,1.3,1.3,
116,1.32,1.32,1.32,1.32,1.32,1.32,
117,1.34,1.34,1.34,1.34,1.34,1.34,
118,1.36,1.36,1.36,1.36,1.36,1.36,
119,1.38,1.38,1.38,1.38,1.38,1.38,
120,1.4,1.4,1.4,1.4,1.4,1.4,
121,1.41,1.41,1.41,1.41,1.41,1.41,
122,1.42,1.42,1.42,1.42,1.42,1.42,
123,1.43,1.43,1.43,1.43,1.43,1.43,
124,1.44,1.44,1.44,1.44,1.44,1.44,
125,1.45,1.45,1.45,1.45,1.45,1.45,
126,1.46,1.46,1.46,1.46,1.46,1.46,
127,1.47,1.47,1.47,1.47,1.47,1.47,
128,1.48,1.48,1.48,1.48,1.48,1.48,
129,1.49,1.49,1.49,1.49,1.49,1.49,
130,1.5,1.5,1.5,1.5,1.5,1.5,
131,1.52,1.52,1.52,1.52,1.52,1.52,
132,1.54,1.54,1.54,1.54,1.54,1.54,
133,1.56,1.56,1.56,1.56,1.56,1.56,
134,1.58,1.58,1.58,1.58,1.58,1.58,
135,1.6,1.6,1.6,1.6,1.6,1.6,
136,1.62,1.62,1.62,1.62,1.62,1.62,
137,1.64,1.64,1.64,1.64,1.64,1.64,
138,1.66,1.66,1.66,1.66,1.66,1.66,
139,1.68,1.68,1.68,1.68,1.68,1.68,
140,1.7,1.7,1.7,1.7,1.7,1.7,
141,1.72,1.72,1.72,1.72,1.72,1.72,
142,1.74,1.74,1.74,1.74,1.74,1.74,
143,1.76,1.76,1.76,1.76,1.76,1.76,
144,1.78,1.78,1.78,1.78,1.78,1.78,
145,1.8,1.8,1.8,1.8,1.8,1.8,
146,1.82,1.82,1.82,1.82,1.82,1.82,
147,1.84,1.84,1.84,1.84,1.84,1.84,
148,1.86,1.86,1.86,1.86,1.86,1.86,
149,1.88,1.88,1.88,1.88,1.88,1.88,
150,1.9,1.9,1.9,1.9,1.9,1.9,
151,1.92,1.92,1.92,1.92,1.92,1.92,
152,1.94,1.94,1.94,1.94,1.94,1.94,
153,1.96,1.96,1.96,1.96,1.96,1.96,
154,1.98,1.98,1.98,1.98,1.98,1.98,
155,2,2,2,2,2,2,
156,2.02,2.02,2.02,2.02,2.02,2.02,
157,2.04,2.04,2.04,2.04,2.04,2.04,
158,2.06,2.06,2.06,2.06,2.06,2.06,
159,2.08,2.08,2.08,2.08,2.08,2.08,
160,2.1,2.1,2.1,2.1,2.1,2.1,
161,2.12,2.12,2.12,2.12,2.12,2.12,
162,2.14,2.14,2.14,2.14,2.14,2.14,
163,2.16,2.16,2.16,2.16,2.16,2.16,
164,2.18,2.18,2.18,2.18,2.18,2.18,
165,2.2,2.2,2.2,2.2,2.2,2.2,
166,2.22,2.22,2.22,2.22,2.22,2.22,
167,2.24,2.24,2.24,2.24,2.24,2.24,
168,2.26,2.26,2.26,2.26,2.26,2.26,
169,2.28,2.28,2.28,2.28,2.28,2.28,
170,2.3,2.3,2.3,2.3,2.3,2.3,
171,2.32,2.32,2.32,2.32,2.32,2.32,
172,2.34,2.34,2.34,2.34,2.34,2.34,
173,2.36,2.36,2.36,2.36,2.36,2.36,
174,2.38,2.38,2.38,2.38,2.38,2.38,
175,2.4,2.4,2.4,2.4,2.4,2.4,
176,2.42,2.42,2.42,2.42,2.42,2.42,
177,2.44,2.44,2.44,2.44,2.44,2.44,
178,2.46,2.46,2.46,2.46,2.46,2.46,
179,2.48,2.48,2.48,2.48,2.48,2.48,
180,2.5,2.5,2.5,2.5,2.5,2.5,
181,2.55,2.55,2.55,2.55,2.55,2.55,
182,2.6,2.6,2.6,2.6,2.6,2.6,
183,2.65,2.65,2.65,2.65,2.65,2.65,
184,2.7,2.7,2.7,2.7,2.7,2.7,
185,2.75,2.75,2.75,2.75,2.75,2.75,
186,2.8,2.8,2.8,2.8,2.8,2.8,
187,2.85,2.85,2.85,2.85,2.85,2.85,
188,2.9,2.9,2.9,2.9,2.9,2.9,
189,2.95,2.95,2.95,2.95,2.95,2.95,
190,3,3,3,3,3,3,
191,3.2,3.2,3.2,3.2,3.2,3.2,
192,3.4,3.4,3.4,3.4,3.4,3.4,
193,3.6,3.6,3.6,3.6,3.6,3.6,
194,3.8,3.8,3.8,3.8,3.8,3.8,
195,4,4,4,4,4,4,
196,4.2,4.2,4.2,4.2,4.2,4.2,
197,4.4,4.4,4.4,4.4,4.4,4.4,
198,4.6,4.6,4.6,4.6,4.6,4.6,
199,4.8,4.8,4.8,4.8,4.8,4.8,
200,5,5,5,5,5,5,
