变量名,fpLimit,ServerOpenDays,fpFix,recordNumLimit,__version
209,348000,209,,,
210,350000,210,,,
211,352000,211,,,
212,354000,212,,,
213,356000,213,,,
214,358000,214,,,
215,360000,215,,,
216,362000,216,,,
217,364000,217,,,
218,366000,218,,,
219,368000,219,,,
220,370000,220,,,
221,372000,221,,,
222,374000,222,,,
223,376000,223,,,
224,378000,224,,,
225,380000,225,,,
226,382000,226,,,
227,384000,227,,,
228,386000,228,,,
229,388000,229,,,
230,390000,230,,,
231,392000,231,,,
232,394000,232,,,
233,396000,233,,,
234,398000,234,,,
235,400000,235,,,
236,402000,236,,,
237,404000,237,,,
238,406000,238,,,
239,408000,239,,,
240,410000,240,,,
241,412000,241,,,
242,414000,242,,,
243,416000,243,,,
244,418000,244,,,
245,420000,245,,,
246,422000,246,,,
247,424000,247,,,
248,426000,248,,,
249,428000,249,,,
250,430000,250,,,
251,432000,251,,,
252,434000,252,,,
253,436000,253,,,
254,438000,254,,,
255,440000,255,,,
256,442000,256,,,
257,444000,257,,,
258,446000,258,,,
259,448000,259,,,
260,450000,260,,,
261,452000,261,,,
262,454000,262,,,
263,456000,263,,,
264,458000,264,,,
265,460000,265,,,
266,462000,266,,,
267,464000,267,,,
268,466000,268,,,
269,468000,269,,,
270,470000,270,,,
271,472000,271,,,
272,474000,272,,,
273,476000,273,,,
274,478000,274,,,
275,480000,275,,,
276,482000,276,,,
277,484000,277,,,
278,486000,278,,,
279,488000,279,,,
280,490000,280,,,
281,492000,281,,,
282,494000,282,,,
283,496000,283,,,
284,498000,284,,,
285,500000,285,,,
286,502000,286,,,
287,504000,287,,,
288,506000,288,,,
289,508000,289,,,
290,510000,290,,,
291,512000,291,,,
292,514000,292,,,
293,516000,293,,,
294,518000,294,,,
295,520000,295,,,
296,522000,296,,,
297,524000,297,,,
298,526000,298,,,
299,528000,299,,,
300,530000,300,,,
301,532000,301,,,
302,534000,302,,,
303,536000,303,,,
304,538000,304,,,
305,540000,305,,,
306,542000,306,,,
307,544000,307,,,
308,546000,308,,,
309,548000,309,,,
310,550000,310,,,
311,552000,311,,,
312,554000,312,,,
313,556000,313,,,
314,558000,314,,,
315,560000,315,,,
316,562000,316,,,
317,564000,317,,,
318,566000,318,,,
319,568000,319,,,
320,570000,320,,,
321,572000,321,,,
322,574000,322,,,
323,576000,323,,,
324,578000,324,,,
325,580000,325,,,
326,582000,326,,,
327,584000,327,,,
328,586000,328,,,
329,588000,329,,,
330,590000,330,,,
331,592000,331,,,
332,594000,332,,,
333,596000,333,,,
334,598000,334,,,
335,600000,335,,,
336,602000,336,,,
337,604000,337,,,
338,606000,338,,,
339,608000,339,,,
340,610000,340,,,
341,612000,341,,,
342,614000,342,,,
343,616000,343,,,
344,618000,344,,,
345,620000,345,,,
346,622000,346,,,
347,624000,347,,,
348,626000,348,,,
349,628000,349,,,
350,630000,350,,,
351,632000,351,,,
352,634000,352,,,
353,636000,353,,,
354,638000,354,,,
355,640000,355,,,
356,642000,356,,,
357,644000,357,,,
358,646000,358,,,
359,648000,359,,,
360,650000,360,,,
361,652000,361,,,
362,654000,362,,,
363,656000,363,,,
364,658000,364,,,
365,660000,365,,,
366,662000,366,,,
367,664000,367,,,
368,666000,368,,,
369,668000,369,,,
370,670000,370,,,
371,672000,371,,,
372,674000,372,,,
373,676000,373,,,
374,678000,374,,,
375,680000,375,,,
376,682000,376,,,
377,684000,377,,,
378,686000,378,,,
379,688000,379,,,
380,690000,380,,,
381,692000,381,,,
382,694000,382,,,
383,696000,383,,,
384,698000,384,,,
385,700000,385,,,
386,703000,386,,,
387,706000,387,,,
388,709000,388,,,
389,712000,389,,,
390,715000,390,,,
391,718000,391,,,
392,721000,392,,,
393,724000,393,,,
394,727000,394,,,
395,730000,395,,,
396,733000,396,,,
397,736000,397,,,
398,739000,398,,,
399,742000,399,,,
400,745000,400,,,
401,748000,401,,,
402,751000,402,,,
403,754000,403,,,
404,757000,404,,,
405,760000,405,,,
406,763000,406,,,
407,766000,407,,,
408,769000,408,,,
409,772000,409,,,
410,775000,410,,,
411,778000,411,,,
412,781000,412,,,
413,784000,413,,,
414,787000,414,,,
415,790000,415,,,
416,793000,416,,,
417,796000,417,,,
418,799000,418,,,
419,802000,419,,,
420,805000,420,,,
421,808000,421,,,
422,811000,422,,,
423,814000,423,,,
424,817000,424,,,
425,820000,425,,,
426,823000,426,,,
427,826000,427,,,
428,829000,428,,,
429,832000,429,,,
430,835000,430,,,
431,838000,431,,,
432,841000,432,,,
433,844000,433,,,
434,847000,434,,,
435,850000,435,,,
436,853000,436,,,
437,856000,437,,,
438,859000,438,,,
439,862000,439,,,
440,865000,440,,,
441,868000,441,,,
442,871000,442,,,
443,874000,443,,,
444,877000,444,,,
445,880000,445,,,
446,883000,446,,,
447,886000,447,,,
448,889000,448,,,
449,892000,449,,,
450,895000,450,,,
451,898000,451,,,
452,901000,452,,,
453,904000,453,,,
454,907000,454,,,
455,910000,455,,,
456,913000,456,,,
457,916000,457,,,
458,919000,458,,,
459,922000,459,,,
460,925000,460,,,
461,928000,461,,,
462,931000,462,,,
463,934000,463,,,
464,937000,464,,,
465,940000,465,,,
466,943000,466,,,
467,946000,467,,,
468,949000,468,,,
469,952000,469,,,
470,955000,470,,,
471,958000,471,,,
472,961000,472,,,
473,964000,473,,,
474,967000,474,,,
475,970000,475,,,
476,973000,476,,,
477,976000,477,,,
478,979000,478,,,
479,982000,479,,,
480,985000,480,,,
481,988000,481,,,
482,991000,482,,,
483,994000,483,,,
484,997000,484,,,
485,1000000,485,,,
486,1003000,486,,,
487,1006000,487,,,
488,1009000,488,,,
489,1012000,489,,,
490,1015000,490,,,
491,1018000,491,,,
492,1021000,492,,,
493,1024000,493,,,
494,1027000,494,,,
495,1030000,495,,,
496,1033000,496,,,
497,1036000,497,,,
498,1039000,498,,,
499,1042000,499,,,
500,1045000,500,,,
501,1048000,501,,,
502,1051000,502,,,
503,1054000,503,,,
504,1057000,504,,,
505,1060000,505,,,
506,1063000,506,,,
507,1066000,507,,,
508,1069000,508,,,
509,1072000,509,,,
510,1075000,510,,,
511,1078000,511,,,
512,1081000,512,,,
513,1084000,513,,,
514,1087000,514,,,
515,1090000,515,,,
516,1093000,516,,,
517,1096000,517,,,
518,1099000,518,,,
519,1102000,519,,,
520,1105000,520,,,
521,1108000,521,,,
522,1111000,522,,,
523,1114000,523,,,
524,1117000,524,,,
525,1120000,525,,,
526,1123000,526,,,
527,1126000,527,,,
528,1129000,528,,,
529,1132000,529,,,
530,1135000,530,,,
531,1138000,531,,,
532,1141000,532,,,
533,1144000,533,,,
534,1147000,534,,,
535,1150000,535,,,
536,1153000,536,,,
537,1156000,537,,,
538,1159000,538,,,
539,1162000,539,,,
540,1165000,540,,,
541,1168000,541,,,
542,1171000,542,,,
543,1174000,543,,,
544,1177000,544,,,
545,1180000,545,,,
546,1183000,546,,,
547,1186000,547,,,
548,1189000,548,,,
549,1192000,549,,,
550,1195000,550,,,
551,1198000,551,,,
552,1201000,552,,,
553,1204000,553,,,
554,1207000,554,,,
555,1210000,555,,,
556,1213000,556,,,
557,1216000,557,,,
558,1219000,558,,,
559,1222000,559,,,
560,1225000,560,,,
561,1228000,561,,,
562,1231000,562,,,
563,1234000,563,,,
564,1237000,564,,,
565,1240000,565,,,
566,1243000,566,,,
567,1246000,567,,,
568,1249000,568,,,
569,1252000,569,,,
570,1255000,570,,,
571,1258000,571,,,
572,1261000,572,,,
573,1264000,573,,,
574,1267000,574,,,
575,1270000,575,,,
576,1273000,576,,,
577,1276000,577,,,
578,1279000,578,,,
579,1282000,579,,,
580,1285000,580,,,
581,1288000,581,,,
582,1291000,582,,,
583,1294000,583,,,
584,1297000,584,,,
585,1300000,585,,,
586,1303000,586,,,
587,1306000,587,,,
588,1309000,588,,,
589,1312000,589,,,
590,1315000,590,,,
591,1318000,591,,,
592,1321000,592,,,
593,1324000,593,,,
594,1327000,594,,,
595,1330000,595,,,
596,1333000,596,,,
597,1336000,597,,,
598,1339000,598,,,
599,1342000,599,,,
600,1345000,600,,,
601,1348000,601,,,
602,1351000,602,,,
603,1354000,603,,,
604,1357000,604,,,
605,1360000,605,,,
606,1363000,606,,,
607,1366000,607,,,
608,1369000,608,,,
609,1372000,609,,,
610,1375000,610,,,
611,1378000,611,,,
612,1381000,612,,,
613,1384000,613,,,
614,1387000,614,,,
615,1390000,615,,,
616,1393000,616,,,
617,1396000,617,,,
618,1399000,618,,,
619,1402000,619,,,
620,1405000,620,,,
621,1408000,621,,,
622,1411000,622,,,
623,1414000,623,,,
624,1417000,624,,,
625,1420000,625,,,
626,1423000,626,,,
627,1426000,627,,,
628,1429000,628,,,
629,1432000,629,,,
630,1435000,630,,,
631,1438000,631,,,
632,1441000,632,,,
633,1444000,633,,,
634,1447000,634,,,
635,1450000,635,,,
636,1453000,636,,,
637,1456000,637,,,
638,1459000,638,,,
639,1462000,639,,,
640,1465000,640,,,
641,1468000,641,,,
642,1471000,642,,,
643,1474000,643,,,
644,1477000,644,,,
645,1480000,645,,,
646,1483000,646,,,
647,1486000,647,,,
648,1489000,648,,,
649,1492000,649,,,
650,1495000,650,,,
651,1498000,651,,,
652,1501000,652,,,
653,1504000,653,,,
654,1507000,654,,,
655,1510000,655,,,
656,1513000,656,,,
657,1516000,657,,,
658,1519000,658,,,
659,1522000,659,,,
660,1525000,660,,,
661,1528000,661,,,
662,1531000,662,,,
663,1534000,663,,,
664,1537000,664,,,
665,1540000,665,,,
666,1543000,666,,,
667,1546000,667,,,
668,1549000,668,,,
669,1552000,669,,,
670,1555000,670,,,
671,1558000,671,,,
672,1561000,672,,,
673,1564000,673,,,
674,1567000,674,,,
675,1570000,675,,,
676,1573000,676,,,
677,1576000,677,,,
678,1579000,678,,,
679,1582000,679,,,
680,1585000,680,,,
681,1588000,681,,,
682,1591000,682,,,
683,1594000,683,,,
684,1597000,684,,,
685,1600000,685,,,
686,1603000,686,,,
687,1606000,687,,,
688,1609000,688,,,
689,1612000,689,,,
690,1615000,690,,,
691,1618000,691,,,
692,1621000,692,,,
693,1624000,693,,,
694,1627000,694,,,
695,1630000,695,,,
696,1633000,696,,,
697,1636000,697,,,
698,1639000,698,,,
699,1642000,699,,,
700,1645000,700,,,
701,1648000,701,,,
702,1651000,702,,,
703,1654000,703,,,
704,1657000,704,,,
705,1660000,705,,,
706,1663000,706,,,
707,1666000,707,,,
708,1669000,708,,,
709,1672000,709,,,
710,1675000,710,,,
711,1678000,711,,,
712,1681000,712,,,
713,1684000,713,,,
714,1687000,714,,,
715,1690000,715,,,
716,1693000,716,,,
717,1696000,717,,,
718,1699000,718,,,
719,1702000,719,,,
720,1705000,720,,,
721,1708000,721,,,
722,1711000,722,,,
723,1714000,723,,,
724,1717000,724,,,
725,1720000,725,,,
726,1723000,726,,,
727,1726000,727,,,
728,1729000,728,,,
729,1732000,729,,,
730,1735000,730,,,
731,1738000,731,,,
732,1741000,732,,,
733,1744000,733,,,
734,1747000,734,,,
735,1750000,735,,,
736,1753000,736,,,
737,1756000,737,,,
738,1759000,738,,,
739,1762000,739,,,
740,1765000,740,,,
741,1768000,741,,,
742,1771000,742,,,
743,1774000,743,,,
744,1777000,744,,,
745,1780000,745,,,
746,1783000,746,,,
747,1786000,747,,,
748,1789000,748,,,
749,1792000,749,,,
750,1795000,750,,,
751,1798000,751,,,
752,1801000,752,,,
753,1804000,753,,,
754,1807000,754,,,
755,1810000,755,,,
756,1813000,756,,,
757,1816000,757,,,
758,1819000,758,,,
759,1822000,759,,,
760,1825000,760,,,
761,1828000,761,,,
762,1831000,762,,,
763,1834000,763,,,
764,1837000,764,,,
765,1840000,765,,,
766,1843000,766,,,
767,1846000,767,,,
768,1849000,768,,,
769,1852000,769,,,
770,1855000,770,,,
771,1858000,771,,,
772,1861000,772,,,
773,1864000,773,,,
774,1867000,774,,,
775,1870000,775,,,
776,1873000,776,,,
777,1876000,777,,,
778,1879000,778,,,
779,1882000,779,,,
780,1885000,780,,,
781,1888000,781,,,
782,1891000,782,,,
783,1894000,783,,,
784,1897000,784,,,
785,1900000,785,,,
786,1903000,786,,,
787,1906000,787,,,
788,1909000,788,,,
789,1912000,789,,,
790,1915000,790,,,
791,1918000,791,,,
792,1921000,792,,,
793,1924000,793,,,
794,1927000,794,,,
795,1930000,795,,,
796,1933000,796,,,
797,1936000,797,,,
798,1939000,798,,,
799,1942000,799,,,
800,1945000,800,,,
801,1948000,801,,,
802,1951000,802,,,
803,1954000,803,,,
804,1957000,804,,,
805,1960000,805,,,
806,1963000,806,,,
807,1966000,807,,,
808,1969000,808,,,
809,1972000,809,,,
810,1975000,810,,,
811,1978000,811,,,
812,1981000,812,,,
813,1984000,813,,,
814,1987000,814,,,
815,1990000,815,,,
816,1993000,816,,,
817,1996000,817,,,
818,1999000,818,,,
819,2002000,819,,,
820,2002000,820,,,
821,2002000,821,,,
822,2002000,822,,,
823,2002000,823,,,
824,2002000,824,,,
825,2002000,825,,,
826,2002000,826,,,
827,2002000,827,,,
828,2002000,828,,,
829,2002000,829,,,
830,2002000,830,,,
831,2002000,831,,,
832,2002000,832,,,
833,2002000,833,,,
834,2002000,834,,,
835,2002000,835,,,
836,2002000,836,,,
837,2002000,837,,,
838,2002000,838,,,
839,2002000,839,,,
840,2002000,840,,,
841,2002000,841,,,
842,2002000,842,,,
843,2002000,843,,,
844,2002000,844,,,
845,2002000,845,,,
846,2002000,846,,,
847,2002000,847,,,
848,2002000,848,,,
849,2002000,849,,,
850,2002000,850,,,
851,2002000,851,,,
852,2002000,852,,,
853,2002000,853,,,
854,2002000,854,,,
855,2002000,855,,,
856,2002000,856,,,
857,2002000,857,,,
858,2002000,858,,,
859,2002000,859,,,
860,2002000,860,,,
861,2002000,861,,,
862,2002000,862,,,
863,2002000,863,,,
864,2002000,864,,,
865,2002000,865,,,
866,2002000,866,,,
867,2002000,867,,,
868,2002000,868,,,
869,2002000,869,,,
870,2002000,870,,,
871,2002000,871,,,
872,2002000,872,,,
873,2002000,873,,,
874,2002000,874,,,
875,2002000,875,,,
876,2002000,876,,,
877,2002000,877,,,
878,2002000,878,,,
879,2002000,879,,,
880,2002000,880,,,
881,2002000,881,,,
882,2002000,882,,,
883,2002000,883,,,
884,2002000,884,,,
885,2002000,885,,,
886,2002000,886,,,
887,2002000,887,,,
888,2002000,888,,,
889,2002000,889,,,
890,2002000,890,,,
891,2002000,891,,,
892,2002000,892,,,
893,2002000,893,,,
894,2002000,894,,,
895,2002000,895,,,
896,2002000,896,,,
897,2002000,897,,,
898,2002000,898,,,
899,2002000,899,,,
900,2002000,900,,,
901,2002000,901,,,
902,2002000,902,,,
903,2002000,903,,,
904,2002000,904,,,
905,2002000,905,,,
906,2002000,906,,,
907,2002000,907,,,
908,2002000,908,,,
909,2002000,909,,,
910,2002000,910,,,
911,2002000,911,,,
912,2002000,912,,,
913,2002000,913,,,
914,2002000,914,,,
915,2002000,915,,,
916,2002000,916,,,
917,2002000,917,,,
918,2002000,918,,,
919,2002000,919,,,
920,2002000,920,,,
921,2002000,921,,,
922,2002000,922,,,
923,2002000,923,,,
924,2002000,924,,,
925,2002000,925,,,
926,2002000,926,,,
927,2002000,927,,,
928,2002000,928,,,
929,2002000,929,,,
930,2002000,930,,,
931,2002000,931,,,
932,2002000,932,,,
933,2002000,933,,,
934,2002000,934,,,
935,2002000,935,,,
936,2002000,936,,,
937,2002000,937,,,
938,2002000,938,,,
939,2002000,939,,,
940,2002000,940,,,
941,2002000,941,,,
942,2002000,942,,,
943,2002000,943,,,
944,2002000,944,,,
945,2002000,945,,,
946,2002000,946,,,
947,2002000,947,,,
948,2002000,948,,,
949,2002000,949,,,
950,2002000,950,,,
951,2002000,951,,,
952,2002000,952,,,
953,2002000,953,,,
954,2002000,954,,,
955,2002000,955,,,
956,2002000,956,,,
957,2002000,957,,,
958,2002000,958,,,
959,2002000,959,,,
960,2002000,960,,,
961,2002000,961,,,
962,2002000,962,,,
963,2002000,963,,,
964,2002000,964,,,
965,2002000,965,,,
966,2002000,966,,,
967,2002000,967,,,
968,2002000,968,,,
969,2002000,969,,,
970,2002000,970,,,
971,2002000,971,,,
972,2002000,972,,,
973,2002000,973,,,
974,2002000,974,,,
975,2002000,975,,,
976,2002000,976,,,
977,2002000,977,,,
978,2002000,978,,,
979,2002000,979,,,
980,2002000,980,,,
981,2002000,981,,,
982,2002000,982,,,
983,2002000,983,,,
984,2002000,984,,,
985,2002000,985,,,
986,2002000,986,,,
987,2002000,987,,,
988,2002000,988,,,
989,2002000,989,,,
990,2002000,990,,,
991,2002000,991,,,
992,2002000,992,,,
993,2002000,993,,,
994,2002000,994,,,
995,2002000,995,,,
996,2002000,996,,,
997,2002000,997,,,
998,2002000,998,,,
999,2002000,999,,,
1000,2002000,1000,,,
1001,2002000,1001,,,
1002,2002000,1002,,,
1003,2002000,1003,,,
1004,2002000,1004,,,
1005,2002000,1005,,,
1006,2002000,1006,,,
1007,2002000,1007,,,
1008,2002000,1008,,,
1009,2002000,1009,,,
1010,2002000,1010,,,
1011,2002000,1011,,,
1012,2002000,1012,,,
1013,2002000,1013,,,
1014,2002000,1014,,,
1015,2002000,1015,,,
1016,2002000,1016,,,
1017,2002000,1017,,,
1018,2002000,1018,,,
1019,2002000,1019,,,
1020,2002000,1020,,,
1021,2002000,1021,,,
1022,2002000,1022,,,
1023,2002000,1023,,,
1024,2002000,1024,,,
1025,2002000,1025,,,
1026,2002000,1026,,,
1027,2002000,1027,,,
1028,2002000,1028,,,
1029,2002000,1029,,,
1030,2002000,1030,,,
1031,2002000,1031,,,
1032,2002000,1032,,,
1033,2002000,1033,,,
1034,2002000,1034,,,
1035,2002000,1035,,,
1036,2002000,1036,,,
1037,2002000,1037,,,
1038,2002000,1038,,,
1039,2002000,1039,,,
1040,2002000,1040,,,
1041,2002000,1041,,,
1042,2002000,1042,,,
1043,2002000,1043,,,
1044,2002000,1044,,,
1045,2002000,1045,,,
1046,2002000,1046,,,
1047,2002000,1047,,,
1048,2002000,1048,,,
1049,2002000,1049,,,
1050,2002000,1050,,,
1051,2002000,1051,,,
1052,2002000,1052,,,
1053,2002000,1053,,,
1054,2002000,1054,,,
1055,2002000,1055,,,
1056,2002000,1056,,,
1057,2002000,1057,,,
1058,2002000,1058,,,
1059,2002000,1059,,,
1060,2002000,1060,,,
1061,2002000,1061,,,
1062,2002000,1062,,,
1063,2002000,1063,,,
1064,2002000,1064,,,
1065,2002000,1065,,,
1066,2002000,1066,,,
1067,2002000,1067,,,
1068,2002000,1068,,,
1069,2002000,1069,,,
1070,2002000,1070,,,
1071,2002000,1071,,,
1072,2002000,1072,,,
1073,2002000,1073,,,
1074,2002000,1074,,,
1075,2002000,1075,,,
1076,2002000,1076,,,
1077,2002000,1077,,,
1078,2002000,1078,,,
1079,2002000,1079,,,
1080,2002000,1080,,,
1081,2002000,1081,,,
1082,2002000,1082,,,
1083,2002000,1083,,,
1084,2002000,1084,,,
1085,2002000,1085,,,
1086,2002000,1086,,,
1087,2002000,1087,,,
1088,2002000,1088,,,
1089,2002000,1089,,,
1090,2002000,1090,,,
1091,2002000,1091,,,
1092,2002000,1092,,,
1093,2002000,1093,,,
1094,2002000,1094,,,
1095,2002000,1095,,,
1096,2002000,1096,,,
1097,2002000,1097,,,
1098,2002000,1098,,,
1099,2002000,1099,,,
1100,2002000,1100,,,
1101,2002000,1101,,,
1102,2002000,1102,,,
1103,2002000,1103,,,
1104,2002000,1104,,,
1105,2002000,1105,,,
1106,2002000,1106,,,
1107,2002000,1107,,,
1108,2002000,1108,,,
1109,2002000,1109,,,
1110,2002000,1110,,,
1111,2002000,1111,,,
1112,2002000,1112,,,
1113,2002000,1113,,,
1114,2002000,1114,,,
1115,2002000,1115,,,
1116,2002000,1116,,,
1117,2002000,1117,,,
1118,2002000,1118,,,
1119,2002000,1119,,,
1120,2002000,1120,,,
1121,2002000,1121,,,
1122,2002000,1122,,,
1123,2002000,1123,,,
1124,2002000,1124,,,
1125,2002000,1125,,,
1126,2002000,1126,,,
1127,2002000,1127,,,
1128,2002000,1128,,,
1129,2002000,1129,,,
1130,2002000,1130,,,
1131,2002000,1131,,,
1132,2002000,1132,,,
1133,2002000,1133,,,
1134,2002000,1134,,,
1135,2002000,1135,,,
1136,2002000,1136,,,
1137,2002000,1137,,,
1138,2002000,1138,,,
1139,2002000,1139,,,
1140,2002000,1140,,,
1141,2002000,1141,,,
1142,2002000,1142,,,
1143,2002000,1143,,,
1144,2002000,1144,,,
1145,2002000,1145,,,
1146,2002000,1146,,,
1147,2002000,1147,,,
1148,2002000,1148,,,
1149,2002000,1149,,,
1150,2002000,1150,,,
1151,2002000,1151,,,
1152,2002000,1152,,,
1153,2002000,1153,,,
1154,2002000,1154,,,
1155,2002000,1155,,,
1156,2002000,1156,,,
1157,2002000,1157,,,
1158,2002000,1158,,,
1159,2002000,1159,,,
1160,2002000,1160,,,
1161,2002000,1161,,,
1162,2002000,1162,,,
1163,2002000,1163,,,
1164,2002000,1164,,,
1165,2002000,1165,,,
1166,2002000,1166,,,
1167,2002000,1167,,,
1168,2002000,1168,,,
1169,2002000,1169,,,
1170,2002000,1170,,,
1171,2002000,1171,,,
1172,2002000,1172,,,
1173,2002000,1173,,,
1174,2002000,1174,,,
1175,2002000,1175,,,
1176,2002000,1176,,,
1177,2002000,1177,,,
1178,2002000,1178,,,
1179,2002000,1179,,,
1180,2002000,1180,,,
1181,2002000,1181,,,
1182,2002000,1182,,,
1183,2002000,1183,,,
1184,2002000,1184,,,
1185,2002000,1185,,,
1186,2002000,1186,,,
1187,2002000,1187,,,
1188,2002000,1188,,,
1189,2002000,1189,,,
1190,2002000,1190,,,
1191,2002000,1191,,,
1192,2002000,1192,,,
1193,2002000,1193,,,
1194,2002000,1194,,,
1195,2002000,1195,,,
1196,2002000,1196,,,
1197,2002000,1197,,,
1198,2002000,1198,,,
1199,2002000,1199,,,
1200,2002000,1200,,,
1201,2002000,1201,,,
1202,2002000,1202,,,
1203,2002000,1203,,,
1204,2002000,1204,,,
1205,2002000,1205,,,
1206,2002000,1206,,,
1207,2002000,1207,,,
1208,2002000,1208,,,
1209,2002000,1209,,,
1210,2002000,1210,,,
1211,2002000,1211,,,
1212,2002000,1212,,,
1213,2002000,1213,,,
1214,2002000,1214,,,
1215,2002000,1215,,,
1216,2002000,1216,,,
1217,2002000,1217,,,
1218,2002000,1218,,,
1219,2002000,1219,,,
1220,2002000,1220,,,
1221,2002000,1221,,,
1222,2002000,1222,,,
1223,2002000,1223,,,
1224,2002000,1224,,,
1225,2002000,1225,,,
1226,2002000,1226,,,
1227,2002000,1227,,,
1228,2002000,1228,,,
1229,2002000,1229,,,
1230,2002000,1230,,,
1231,2002000,1231,,,
1232,2002000,1232,,,
1233,2002000,1233,,,
1234,2002000,1234,,,
1235,2002000,1235,,,
1236,2002000,1236,,,
1237,2002000,1237,,,
1238,2002000,1238,,,
1239,2002000,1239,,,
1240,2002000,1240,,,
1241,2002000,1241,,,
1242,2002000,1242,,,
1243,2002000,1243,,,
1244,2002000,1244,,,
1245,2002000,1245,,,
1246,2002000,1246,,,
1247,2002000,1247,,,
1248,2002000,1248,,,
1249,2002000,1249,,,
1250,2002000,1250,,,
1251,2002000,1251,,,
1252,2002000,1252,,,
1253,2002000,1253,,,
1254,2002000,1254,,,
1255,2002000,1255,,,
1256,2002000,1256,,,
1257,2002000,1257,,,
1258,2002000,1258,,,
1259,2002000,1259,,,
1260,2002000,1260,,,
1261,2002000,1261,,,
1262,2002000,1262,,,
1263,2002000,1263,,,
1264,2002000,1264,,,
1265,2002000,1265,,,
1266,2002000,1266,,,
1267,2002000,1267,,,
