变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
82,11005,2,,{6349=100},,30,,,
83,11006,2,,{6349=100},,30,,,
84,11007,2,,{6349=100},,30,,,
85,11008,2,,{6349=100},,30,,,
86,11009,2,,{6349=100},,30,,,
87,11010,2,,{6349=100},,30,,,
88,11101,2,,{6349=100},,30,,,
89,11102,2,,{6349=100},,30,,,
90,11103,2,,{6349=100},,30,,,
91,11104,2,,{6349=100},,30,,,
92,11105,2,,{6349=100},,30,,,
93,11106,2,,{6349=100},,30,,,
94,11107,2,,{6349=100},,30,,,
95,11108,2,,{6349=100},,30,,,
96,11109,2,,{6349=100},,30,,,
97,11110,2,,{6349=100},,30,,,
98,11201,2,,{6349=100},,30,,,
99,11202,2,,{6349=100},,30,,,
100,11203,2,,{6349=100},,30,,,
101,11204,2,,{6349=100},,30,,,
102,11205,2,,{6349=100},,30,,,
103,11206,2,,{6349=100},,30,,,
104,11207,2,,{6349=100},,30,,,
105,11208,2,,{6349=100},,30,,,
106,11209,2,,{6349=100},,30,,,
107,11210,2,,{6349=100},,30,,,
108,11301,2,,{6349=100},,30,,,
109,11302,2,,{6349=100},,30,,,
110,11303,2,,{6349=100},,30,,,
111,11304,2,,{6349=100},,30,,,
112,11305,2,,{6349=100},,30,,,
113,11306,2,,{6349=100},,30,,,
114,11307,2,,{6349=100},,30,,,
115,11308,2,,{6349=100},,30,,,
116,11309,2,,{6349=100},,30,,,
117,11310,2,,{6349=100},,30,,,
118,11401,2,,{6349=100},,30,,,
119,11402,2,,{6349=100},,30,,,
120,11403,2,,{6349=100},,30,,,
121,11404,2,,{6349=100},,30,,,
122,11405,2,,{6349=100},,30,,,
123,11406,2,,{6349=100},,30,,,
124,11407,2,,{6349=100},,30,,,
125,11408,2,,{6349=100},,30,,,
126,11409,2,,{6349=100},,30,,,
127,11410,2,,{6349=100},,30,,,
128,11501,2,,{6349=100},,30,,,
129,11502,2,,{6349=100},,30,,,
130,11503,2,,{6349=100},,30,,,
131,11504,2,,{6349=100},,30,,,
132,11505,2,,{6349=100},,30,,,
133,11506,2,,{6349=100},,30,,,
134,11507,2,,{6349=100},,30,,,
135,11508,2,,{6349=100},,30,,,
136,11509,2,,{6349=100},,30,,,
137,11510,2,,{6349=100},,30,,,
138,11601,2,,{6349=100},,30,,,
139,11602,2,,{6349=100},,30,,,
140,11603,2,,{6349=100},,30,,,
141,11604,2,,{6349=100},,30,,,
142,11605,2,,{6349=100},,30,,,
143,11606,2,,{6349=100},,30,,,
144,11607,2,,{6349=100},,30,,,
145,11608,2,,{6349=100},,30,,,
146,11609,2,,{6349=100},,30,,,
147,11610,2,,{6349=100},,30,,,
148,11701,2,,{6349=100},,30,,,
149,11702,2,,{6349=100},,30,,,
150,11703,2,,{6349=100},,30,,,
151,11704,2,,{6349=100},,30,,,
152,11705,2,,{6349=100},,30,,,
153,11706,2,,{6349=100},,30,,,
154,11707,2,,{6349=100},,30,,,
155,11708,2,,{6349=100},,30,,,
156,11709,2,,{6349=100},,30,,,
157,11710,2,,{6349=100},,30,,,
158,11801,2,,{6349=100},,30,,,
159,11802,2,,{6349=100},,30,,,
160,11803,2,,{6349=100},,30,,,
161,11804,2,,{6349=100},,30,,,
162,11805,2,,{6349=100},,30,,,
163,11806,2,,{6349=100},,30,,,
164,11807,2,,{6349=100},,30,,,
165,11808,2,,{6349=100},,30,,,
166,11809,2,,{6349=100},,30,,,
167,11810,2,,{6349=100},,30,,,
168,11901,2,,{6349=100},,30,,,
169,11902,2,,{6349=100},,30,,,
170,11903,2,,{6349=100},,30,,,
171,11904,2,,{6349=100},,30,,,
172,11905,2,,{6349=100},,30,,,
173,11906,2,,{6349=100},,30,,,
174,11907,2,,{6349=100},,30,,,
175,11908,2,,{6349=100},,30,,,
176,11909,2,,{6349=100},,30,,,
177,11910,2,,{6349=100},,30,,,
178,12001,2,,{6349=100},,30,,,
179,12002,2,,{6349=100},,30,,,
180,12003,2,,{6349=100},,30,,,
181,12004,2,,{6349=100},,30,,,
182,12005,2,,{6349=100},,30,,,
183,12006,2,,{6349=100},,30,,,
184,12007,2,,{6349=100},,30,,,
185,12008,2,,{6349=100},,30,,,
186,12009,2,,{6349=100},,30,,,
187,12010,2,,{6349=100},,30,,,
188,12101,2,,{6349=100},,30,,,
189,12102,2,,{6349=100},,30,,,
190,12103,2,,{6349=100},,30,,,
191,12104,2,,{6349=100},,30,,,
192,12105,2,,{6349=100},,30,,,
193,12106,2,,{6349=100},,30,,,
194,12107,2,,{6349=100},,30,,,
195,12108,2,,{6349=100},,30,,,
196,12109,2,,{6349=100},,30,,,
197,12110,2,,{6349=100},,30,,,
198,12201,2,,{6349=100},,30,,,
199,12202,2,,{6349=100},,30,,,
200,12203,2,,{6349=100},,30,,,
201,12204,2,,{6349=100},,30,,,
202,12205,2,,{6349=100},,30,,,
203,12206,2,,{6349=100},,30,,,
204,12207,2,,{6349=100},,30,,,
205,12208,2,,{6349=100},,30,,,
206,12209,2,,{6349=100},,30,,,
207,12210,2,,{6349=100},,30,,,
208,12301,2,,{6349=100},,30,,,
209,12302,2,,{6349=100},,30,,,
210,12303,2,,{6349=100},,30,,,
211,12304,2,,{6349=100},,30,,,
212,12305,2,,{6349=100},,30,,,
213,12306,2,,{6349=100},,30,,,
214,12307,2,,{6349=100},,30,,,
215,12308,2,,{6349=100},,30,,,
216,12309,2,,{6349=100},,30,,,
217,12310,2,,{6349=100},,30,,,
218,12401,2,,{6349=100},,30,,,
219,12402,2,,{6349=100},,30,,,
220,12403,2,,{6349=100},,30,,,
221,12404,2,,{6349=100},,30,,,
222,12405,2,,{6349=100},,30,,,
223,12406,2,,{6349=100},,30,,,
224,12407,2,,{6349=100},,30,,,
225,12408,2,,{6349=100},,30,,,
226,12409,2,,{6349=100},,30,,,
227,12410,2,,{6349=100},,30,,,
228,12501,2,,{6349=100},,30,,,
229,12502,2,,{6349=100},,30,,,
230,12503,2,,{6349=100},,30,,,
231,12504,2,,{6349=100},,30,,,
232,12505,2,,{6349=100},,30,,,
233,12506,2,,{6349=100},,30,,,
234,12507,2,,{6349=100},,30,,,
235,12508,2,,{6349=100},,30,,,
236,12509,2,,{6349=100},,30,,,
237,12510,2,,{6349=100},,30,,,
238,20101,2,,{6349=100},,60,,,
239,20102,2,,{6349=100},,60,,,
240,20103,2,,{6349=100},,60,,,
241,20201,2,,{6349=100},,60,,,
242,20202,2,,{6349=100},,60,,,
243,20203,2,,{6349=100},,60,,,
244,20301,2,,{6349=100},,60,,,
245,20302,2,,{6349=100},,60,,,
246,20303,2,,{6349=100},,60,,,
247,20304,2,,{6349=100},,60,,,
248,20401,2,,{6349=100},,60,,,
249,20402,2,,{6349=100},,60,,,
250,20403,2,,{6349=100},,60,,,
251,20404,2,,{6349=100},,60,,,
252,20501,2,,{6349=100},,60,,,
253,20502,2,,{6349=100},,60,,,
254,20503,2,,{6349=100},,60,,,
255,20504,2,,{6349=100},,60,,,
256,20505,2,,{6349=100},,60,,,
257,20601,2,,{6349=100},,60,,,
258,20602,2,,{6349=100},,60,,,
259,20603,2,,{6349=100},,60,,,
260,20604,2,,{6349=100},,60,,,
261,20605,2,,{6349=100},,60,,,
262,20701,2,,{6349=100},,60,,,
263,20702,2,,{6349=100},,60,,,
264,20703,2,,{6349=100},,60,,,
265,20704,2,,{6349=100},,60,,,
266,20705,2,,{6349=100},,60,,,
267,20801,2,,{6349=100},,60,,,
268,20802,2,,{6349=100},,60,,,
269,20803,2,,{6349=100},,60,,,
270,20804,2,,{6349=100},,60,,,
271,20805,2,,{6349=100},,60,,,
272,20901,2,,{6349=100},,60,,,
273,20902,2,,{6349=100},,60,,,
274,20903,2,,{6349=100},,60,,,
275,20904,2,,{6349=100},,60,,,
276,20905,2,,{6349=100},,60,,,
277,21001,2,,{6349=100},,60,,,
278,21002,2,,{6349=100},,60,,,
279,21003,2,,{6349=100},,60,,,
280,21004,2,,{6349=100},,60,,,
281,21005,2,,{6349=100},,60,,,
282,21101,2,,{6349=100},,60,,,
283,21102,2,,{6349=100},,60,,,
284,21103,2,,{6349=100},,60,,,
285,21104,2,,{6349=100},,60,,,
286,21105,2,,{6349=100},,60,,,
287,21201,2,,{6349=100},,60,,,
288,21202,2,,{6349=100},,60,,,
289,21203,2,,{6349=100},,60,,,
290,21204,2,,{6349=100},,60,,,
291,21205,2,,{6349=100},,60,,,
292,21301,2,,{6349=100},,60,,,
293,21302,2,,{6349=100},,60,,,
294,21303,2,,{6349=100},,60,,,
295,21304,2,,{6349=100},,60,,,
296,21305,2,,{6349=100},,60,,,
297,21401,2,,{6349=100},,60,,,
298,21402,2,,{6349=100},,60,,,
299,21403,2,,{6349=100},,60,,,
300,21404,2,,{6349=100},,60,,,
301,21405,2,,{6349=100},,60,,,
302,21501,2,,{6349=100},,60,,,
303,21502,2,,{6349=100},,60,,,
304,21503,2,,{6349=100},,60,,,
305,21504,2,,{6349=100},,60,,,
306,21505,2,,{6349=100},,60,,,
307,21601,2,,{6349=100},,60,,,
308,21602,2,,{6349=100},,60,,,
309,21603,2,,{6349=100},,60,,,
310,21604,2,,{6349=100},,60,,,
311,21605,2,,{6349=100},,60,,,
312,21701,2,,{6349=100},,60,,,
313,21702,2,,{6349=100},,60,,,
314,21703,2,,{6349=100},,60,,,
315,21704,2,,{6349=100},,60,,,
316,21705,2,,{6349=100},,60,,,
317,21801,2,,{6349=100},,60,,,
318,21802,2,,{6349=100},,60,,,
319,21803,2,,{6349=100},,60,,,
320,21804,2,,{6349=100},,60,,,
321,21805,2,,{6349=100},,60,,,
322,21901,2,,{6349=100},,60,,,
323,21902,2,,{6349=100},,60,,,
324,21903,2,,{6349=100},,60,,,
325,21904,2,,{6349=100},,60,,,
326,21905,2,,{6349=100},,60,,,
327,22001,2,,{6349=100},,60,,,
328,22002,2,,{6349=100},,60,,,
329,22003,2,,{6349=100},,60,,,
330,22004,2,,{6349=100},,60,,,
331,22005,2,,{6349=100},,60,,,
332,22101,2,,{6349=100},,60,,,
333,22102,2,,{6349=100},,60,,,
334,22103,2,,{6349=100},,60,,,
335,22104,2,,{6349=100},,60,,,
336,22105,2,,{6349=100},,60,,,
337,22201,2,,{6349=100},,60,,,
338,22202,2,,{6349=100},,60,,,
339,22203,2,,{6349=100},,60,,,
340,22204,2,,{6349=100},,60,,,
341,22205,2,,{6349=100},,60,,,
342,22301,2,,{6349=100},,60,,,
343,22302,2,,{6349=100},,60,,,
344,22303,2,,{6349=100},,60,,,
345,22304,2,,{6349=100},,60,,,
346,22305,2,,{6349=100},,60,,,
347,22401,2,,{6349=100},,60,,,
348,22402,2,,{6349=100},,60,,,
349,22403,2,,{6349=100},,60,,,
350,22404,2,,{6349=100},,60,,,
351,22405,2,,{6349=100},,60,,,
352,22501,2,,{6349=100},,60,,,
353,22502,2,,{6349=100},,60,,,
354,22503,2,,{6349=100},,60,,,
355,22504,2,,{6349=100},,60,,,
356,22505,2,,{6349=100},,60,,,
357,12601,2,,{6349=100},,30,,,
358,12602,2,,{6349=100},,30,,,
359,12603,2,,{6349=100},,30,,,
360,12604,2,,{6349=100},,30,,,
361,12605,2,,{6349=100},,30,,,
362,12606,2,,{6349=100},,30,,,
363,12607,2,,{6349=100},,30,,,
364,12608,2,,{6349=100},,30,,,
365,12609,2,,{6349=100},,30,,,
366,12610,2,,{6349=100},,30,,,
367,22601,2,,{6349=100},,60,,,
368,22602,2,,{6349=100},,60,,,
369,22603,2,,{6349=100},,60,,,
370,22604,2,,{6349=100},,60,,,
371,22605,2,,{6349=100},,60,,,
372,12701,2,,{6349=100},,30,,,
373,12702,2,,{6349=100},,30,,,
374,12703,2,,{6349=100},,30,,,
375,12704,2,,{6349=100},,30,,,
376,12705,2,,{6349=100},,30,,,
377,12706,2,,{6349=100},,30,,,
378,12707,2,,{6349=100},,30,,,
379,12708,2,,{6349=100},,30,,,
380,12709,2,,{6349=100},,30,,,
381,12710,2,,{6349=100},,30,,,
382,22701,2,,{6349=100},,60,,,
383,22702,2,,{6349=100},,60,,,
384,22703,2,,{6349=100},,60,,,
385,22704,2,,{6349=100},,60,,,
386,22705,2,,{6349=100},,60,,,
387,12801,2,,{6349=100},,30,,,
388,12802,2,,{6349=100},,30,,,
389,12803,2,,{6349=100},,30,,,
390,12804,2,,{6349=100},,30,,,
391,12805,2,,{6349=100},,30,,,
392,12806,2,,{6349=100},,30,,,
393,12807,2,,{6349=100},,30,,,
394,12808,2,,{6349=100},,30,,,
395,12809,2,,{6349=100},,30,,,
396,12810,2,,{6349=100},,30,,,
397,22801,2,,{6349=100},,60,,,
398,22802,2,,{6349=100},,60,,,
399,22803,2,,{6349=100},,60,,,
400,22804,2,,{6349=100},,60,,,
401,22805,2,,{6349=100},,60,,,
402,12901,2,,{6349=100},,30,,,
403,12902,2,,{6349=100},,30,,,
404,12903,2,,{6349=100},,30,,,
405,12904,2,,{6349=100},,30,,,
406,12905,2,,{6349=100},,30,,,
407,12906,2,,{6349=100},,30,,,
408,12907,2,,{6349=100},,30,,,
409,12908,2,,{6349=100},,30,,,
410,12909,2,,{6349=100},,30,,,
411,12910,2,,{6349=100},,30,,,
412,22901,2,,{6349=100},,60,,,
413,22902,2,,{6349=100},,60,,,
414,22903,2,,{6349=100},,60,,,
415,22904,2,,{6349=100},,60,,,
416,22905,2,,{6349=100},,60,,,
417,13001,2,,{6349=100},,30,,,
418,13002,2,,{6349=100},,30,,,
419,13003,2,,{6349=100},,30,,,
420,13004,2,,{6349=100},,30,,,
421,13005,2,,{6349=100},,30,,,
422,13006,2,,{6349=100},,30,,,
423,13007,2,,{6349=100},,30,,,
424,13008,2,,{6349=100},,30,,,
425,13009,2,,{6349=100},,30,,,
426,13010,2,,{6349=100},,30,,,
427,23001,2,,{6349=100},,60,,,
428,23002,2,,{6349=100},,60,,,
429,23003,2,,{6349=100},,60,,,
430,23004,2,,{6349=100},,60,,,
431,23005,2,,{6349=100},,60,,,
1001,10101,3,,{6323=100},,10,,,
1002,10102,3,,{6323=100},,10,,,
1003,10103,3,,{6323=100},,10,,,
1004,10104,3,,{6323=100},,10,,,
1005,10105,3,,{6323=100},,10,,,
1006,10201,3,,{6323=100},,10,,,
1007,10202,3,,{6323=100},,10,,,
1008,10203,3,,{6323=100},,10,,,
1009,10204,3,,{6323=100},,10,,,
1010,10205,3,,{6323=100},,10,,,
1011,10206,3,,{6323=100},,10,,,
1012,10301,3,,{6323=100},,10,,,
1013,10302,3,,{6323=100},,10,,,
1014,10303,3,,{6323=100},,10,,,
1015,10304,3,,{6323=100},,10,,,
1016,10305,3,,{6323=100},,10,,,
1017,10306,3,,{6323=100},,10,,,
1018,10307,3,,{6323=100},,10,,,
1019,10308,3,,{6323=100},,10,,,
1020,10401,3,,{6323=100},,10,,,
1021,10402,3,,{6323=100},,10,,,
1022,10403,3,,{6323=100},,10,,,
1023,10404,3,,{6323=100},,10,,,
1024,10405,3,,{6323=100},,10,,,
1025,10406,3,,{6323=100},,10,,,
1026,10407,3,,{6323=100},,10,,,
1027,10408,3,,{6323=100},,10,,,
1028,10501,3,,{6323=100},,10,,,
1029,10502,3,,{6323=100},,10,,,
1030,10503,3,,{6323=100},,10,,,
1031,10504,3,,{6323=100},,10,,,
1032,10505,3,,{6323=100},,10,,,
1033,10506,3,,{6323=100},,10,,,
1034,10507,3,,{6323=100},,10,,,
1035,10508,3,,{6323=100},,10,,,
1036,10509,3,,{6323=100},,10,,,
1037,10510,3,,{6323=100},,10,,,
1038,10601,3,,{6323=100},,10,,,
1039,10602,3,,{6323=100},,10,,,
1040,10603,3,,{6323=100},,10,,,
1041,10604,3,,{6323=100},,10,,,
1042,10605,3,,{6323=100},,10,,,
1043,10606,3,,{6323=100},,10,,,
1044,10607,3,,{6323=100},,10,,,
1045,10608,3,,{6323=100},,10,,,
1046,10609,3,,{6323=100},,10,,,
1047,10610,3,,{6323=100},,10,,,
1048,10701,3,,{6323=100},,10,,,
1049,10702,3,,{6323=100},,10,,,
1050,10703,3,,{6323=100},,10,,,
1051,10704,3,,{6323=100},,10,,,
1052,10705,3,,{6323=100},,10,,,
1053,10706,3,,{6323=100},,10,,,
1054,10707,3,,{6323=100},,10,,,
1055,10708,3,,{6323=100},,10,,,
1056,10709,3,,{6323=100},,10,,,
1057,10710,3,,{6323=100},,10,,,
1058,10801,3,,{6323=100},,10,,,
1059,10802,3,,{6323=100},,10,,,
1060,10803,3,,{6323=100},,10,,,
1061,10804,3,,{6323=100},,10,,,
1062,10805,3,,{6323=100},,10,,,
1063,10806,3,,{6323=100},,10,,,
1064,10807,3,,{6323=100},,10,,,
1065,10808,3,,{6323=100},,10,,,
1066,10809,3,,{6323=100},,10,,,
1067,10810,3,,{6323=100},,10,,,
1068,10901,3,,{6323=100},,10,,,
1069,10902,3,,{6323=100},,10,,,
1070,10903,3,,{6323=100},,10,,,
1071,10904,3,,{6323=100},,10,,,
1072,10905,3,,{6323=100},,10,,,
1073,10906,3,,{6323=100},,10,,,
1074,10907,3,,{6323=100},,10,,,
1075,10908,3,,{6323=100},,10,,,
1076,10909,3,,{6323=100},,10,,,
1077,10910,3,,{6323=100},,10,,,
1078,11001,3,,{6323=100},,10,,,
1079,11002,3,,{6323=100},,10,,,
1080,11003,3,,{6323=100},,10,,,
1081,11004,3,,{6323=100},,10,,,
1082,11005,3,,{6323=100},,10,,,
1083,11006,3,,{6323=100},,10,,,
1084,11007,3,,{6323=100},,10,,,
1085,11008,3,,{6323=100},,10,,,
1086,11009,3,,{6323=100},,10,,,
1087,11010,3,,{6323=100},,10,,,
1088,11101,3,,{6323=100},,10,,,
1089,11102,3,,{6323=100},,10,,,
1090,11103,3,,{6323=100},,10,,,
1091,11104,3,,{6323=100},,10,,,
1092,11105,3,,{6323=100},,10,,,
1093,11106,3,,{6323=100},,10,,,
1094,11107,3,,{6323=100},,10,,,
1095,11108,3,,{6323=100},,10,,,
1096,11109,3,,{6323=100},,10,,,
1097,11110,3,,{6323=100},,10,,,
1098,11201,3,,{6323=100},,10,,,
1099,11202,3,,{6323=100},,10,,,
1100,11203,3,,{6323=100},,10,,,
1101,11204,3,,{6323=100},,10,,,
1102,11205,3,,{6323=100},,10,,,
1103,11206,3,,{6323=100},,10,,,
1104,11207,3,,{6323=100},,10,,,
1105,11208,3,,{6323=100},,10,,,
1106,11209,3,,{6323=100},,10,,,
1107,11210,3,,{6323=100},,10,,,
1108,11301,3,,{6323=100},,10,,,
1109,11302,3,,{6323=100},,10,,,
1110,11303,3,,{6323=100},,10,,,
1111,11304,3,,{6323=100},,10,,,
1112,11305,3,,{6323=100},,10,,,
1113,11306,3,,{6323=100},,10,,,
1114,11307,3,,{6323=100},,10,,,
1115,11308,3,,{6323=100},,10,,,
1116,11309,3,,{6323=100},,10,,,
1117,11310,3,,{6323=100},,10,,,
1118,11401,3,,{6323=100},,10,,,
1119,11402,3,,{6323=100},,10,,,
1120,11403,3,,{6323=100},,10,,,
1121,11404,3,,{6323=100},,10,,,
1122,11405,3,,{6323=100},,10,,,
1123,11406,3,,{6323=100},,10,,,
1124,11407,3,,{6323=100},,10,,,
1125,11408,3,,{6323=100},,10,,,
1126,11409,3,,{6323=100},,10,,,
1127,11410,3,,{6323=100},,10,,,
1128,11501,3,,{6323=100},,10,,,
1129,11502,3,,{6323=100},,10,,,
1130,11503,3,,{6323=100},,10,,,
1131,11504,3,,{6323=100},,10,,,
1132,11505,3,,{6323=100},,10,,,
1133,11506,3,,{6323=100},,10,,,
1134,11507,3,,{6323=100},,10,,,
1135,11508,3,,{6323=100},,10,,,
1136,11509,3,,{6323=100},,10,,,
1137,11510,3,,{6323=100},,10,,,
1138,11601,3,,{6323=100},,10,,,
1139,11602,3,,{6323=100},,10,,,
1140,11603,3,,{6323=100},,10,,,
1141,11604,3,,{6323=100},,10,,,
1142,11605,3,,{6323=100},,10,,,
1143,11606,3,,{6323=100},,10,,,
1144,11607,3,,{6323=100},,10,,,
1145,11608,3,,{6323=100},,10,,,
1146,11609,3,,{6323=100},,10,,,
1147,11610,3,,{6323=100},,10,,,
1148,11701,3,,{6323=100},,10,,,
1149,11702,3,,{6323=100},,10,,,
1150,11703,3,,{6323=100},,10,,,
1151,11704,3,,{6323=100},,10,,,
1152,11705,3,,{6323=100},,10,,,
1153,11706,3,,{6323=100},,10,,,
1154,11707,3,,{6323=100},,10,,,
1155,11708,3,,{6323=100},,10,,,
1156,11709,3,,{6323=100},,10,,,
1157,11710,3,,{6323=100},,10,,,
1158,11801,3,,{6323=100},,10,,,
1159,11802,3,,{6323=100},,10,,,
1160,11803,3,,{6323=100},,10,,,
1161,11804,3,,{6323=100},,10,,,
1162,11805,3,,{6323=100},,10,,,
1163,11806,3,,{6323=100},,10,,,
1164,11807,3,,{6323=100},,10,,,
1165,11808,3,,{6323=100},,10,,,
1166,11809,3,,{6323=100},,10,,,
1167,11810,3,,{6323=100},,10,,,
1168,11901,3,,{6323=100},,10,,,
1169,11902,3,,{6323=100},,10,,,
1170,11903,3,,{6323=100},,10,,,
1171,11904,3,,{6323=100},,10,,,
1172,11905,3,,{6323=100},,10,,,
1173,11906,3,,{6323=100},,10,,,
1174,11907,3,,{6323=100},,10,,,
1175,11908,3,,{6323=100},,10,,,
1176,11909,3,,{6323=100},,10,,,
1177,11910,3,,{6323=100},,10,,,
1178,12001,3,,{6323=100},,10,,,
1179,12002,3,,{6323=100},,10,,,
1180,12003,3,,{6323=100},,10,,,
1181,12004,3,,{6323=100},,10,,,
1182,12005,3,,{6323=100},,10,,,
1183,12006,3,,{6323=100},,10,,,
1184,12007,3,,{6323=100},,10,,,
1185,12008,3,,{6323=100},,10,,,
1186,12009,3,,{6323=100},,10,,,
1187,12010,3,,{6323=100},,10,,,
1188,12101,3,,{6323=100},,10,,,
1189,12102,3,,{6323=100},,10,,,
1190,12103,3,,{6323=100},,10,,,
1191,12104,3,,{6323=100},,10,,,
1192,12105,3,,{6323=100},,10,,,
1193,12106,3,,{6323=100},,10,,,
1194,12107,3,,{6323=100},,10,,,
1195,12108,3,,{6323=100},,10,,,
1196,12109,3,,{6323=100},,10,,,
1197,12110,3,,{6323=100},,10,,,
1198,12201,3,,{6323=100},,10,,,
1199,12202,3,,{6323=100},,10,,,
1200,12203,3,,{6323=100},,10,,,
1201,12204,3,,{6323=100},,10,,,
1202,12205,3,,{6323=100},,10,,,
1203,12206,3,,{6323=100},,10,,,
1204,12207,3,,{6323=100},,10,,,
1205,12208,3,,{6323=100},,10,,,
1206,12209,3,,{6323=100},,10,,,
1207,12210,3,,{6323=100},,10,,,
1208,12301,3,,{6323=100},,10,,,
1209,12302,3,,{6323=100},,10,,,
1210,12303,3,,{6323=100},,10,,,
1211,12304,3,,{6323=100},,10,,,
1212,12305,3,,{6323=100},,10,,,
1213,12306,3,,{6323=100},,10,,,
1214,12307,3,,{6323=100},,10,,,
1215,12308,3,,{6323=100},,10,,,
1216,12309,3,,{6323=100},,10,,,
1217,12310,3,,{6323=100},,10,,,
1218,12401,3,,{6323=100},,10,,,
1219,12402,3,,{6323=100},,10,,,
1220,12403,3,,{6323=100},,10,,,
1221,12404,3,,{6323=100},,10,,,
1222,12405,3,,{6323=100},,10,,,
1223,12406,3,,{6323=100},,10,,,
1224,12407,3,,{6323=100},,10,,,
1225,12408,3,,{6323=100},,10,,,
1226,12409,3,,{6323=100},,10,,,
1227,12410,3,,{6323=100},,10,,,
1228,12501,3,,{6323=100},,10,,,
1229,12502,3,,{6323=100},,10,,,
1230,12503,3,,{6323=100},,10,,,
1231,12504,3,,{6323=100},,10,,,
1232,12505,3,,{6323=100},,10,,,
1233,12506,3,,{6323=100},,10,,,
1234,12507,3,,{6323=100},,10,,,
1235,12508,3,,{6323=100},,10,,,
1236,12509,3,,{6323=100},,10,,,
1237,12510,3,,{6323=100},,10,,,
1238,20101,3,,{6323=100},,19,,,
1239,20102,3,,{6323=100},,19,,,
1240,20103,3,,{6323=100},,19,,,
1241,20201,3,,{6323=100},,19,,,
1242,20202,3,,{6323=100},,19,,,
1243,20203,3,,{6323=100},,19,,,
1244,20301,3,,{6323=100},,19,,,
1245,20302,3,,{6323=100},,19,,,
1246,20303,3,,{6323=100},,19,,,
