变量名,name,languages,name_tw,name_en,name_vn,name_kr,_beizhu,_rare,cardID,type,gate,gatePos,group,weight,cd,time,limitPos,exp,rate1,rate2,rate3,weightFix1,weightFix2,weightFix3,sceneTimes,totalTimes
1014,角金鱼,,角金魚,Goldeen,404404,??,,B,541,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1015,露力丽,,露力麗,Azurill,404404,???,,B,891,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1016,莲叶童子,,蓮葉童子,Lotad,404404,???,,B,1351,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1017,小木灵,,小木靈,Phantump,404404,???,,B,3561,2,,{},1,100,1,7200,<1;2;3;4;5>,10,70,80,100,0.2,0.3,1,5,3
1018,妙蛙种子,,妙蛙種子,Bulbasaur,Di?u con ?ch h?t gi?ng,????,,A,1,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1019,小火龙,,小火龍,Charmander,Ti?u h?a long,???,,A,11,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1020,杰尼龟,,傑尼龜,Squirtle,404404,???,,A,21,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1021,波波,,波波,Pidgey,404404,??,,A,51,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1022,皮丘,,皮丘,Pichu,404404,??,,A,91,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1023,皮宝宝,,皮寶寶,Cleffa,404404,?,,A,131,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1024,腕力,,腕力,Machop,404404,???,,A,271,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1025,喇叭芽,,喇叭芽,Bellsprout,404404,???,,A,281,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1026,小拳石,,小拳石,Geodude,404404,???,,A,301,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1027,臭泥,,臭泥,Grimer,404404,???,,A,371,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1028,无畏小子,,無畏小子,Tyrogue,404404,???,,A,461,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1029,大舌头,,大舌頭,Lickitung,404404,???,,A,471,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1030,瓦斯弹,,瓦斯彈,Koffing,404404,???,,A,481,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1031,海星星,,海星星,Staryu,404404,????,,A,551,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1032,化石盔,,化石盔,Kabuto,404404,??,,A,691,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1033,菊草叶,,菊草葉,Chikorita,404404,????,,A,781,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1034,火球鼠,,火球鼠,Cyndaquil,H?a c?u chu?t,???,,A,791,2,10306,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1035,小锯鳄,,小鋸鱷,Totodile,404404,???,,A,801,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1036,宝宝丁,<cn>,寶寶丁,Igglybuff,404404,???,,A,151,2,11410,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1037,咕妞妞,,咕妞妞,Whismur,404404,???,,A,1441,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1038,呆火驼,,呆火駝,Numel,404404,??,,A,1611,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1039,海豹球,,海豹球,Spheal,404404,????,,A,1861,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1040,草苗龟,,草苗龜,Turtwig,404404,???,,A,2011,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1041,小猫怪,,小貓怪,Shinx,404404,???,,A,2071,2,10510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1042,不良蛙,,不良蛙,Croagunk,404404,????,,A,2271,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1043,雪笠怪,,雪笠怪,Snover,404404,???,,A,2301,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1044,暖暖猪,,暖暖豬,Tepig,404404,???,,A,2481,2,10408,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1045,石丸子,,石丸子,Roggenrola,404404,??,,A,2591,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1046,螺钉地鼠,,螺釘地鼠,Drilbur,404404,???,,A,2611,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1047,搬运小匠,,搬運小匠,Timburr,404404,???,,A,2631,2,10810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1048,百足蜈蚣,,百足蜈蚣,Venipede,404404,???,,A,2681,2,11210,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1049,迷你冰,,迷你冰,Vanillite,404404,????,,A,2871,2,11610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1050,电飞鼠,,電飛鼠,Emolga,404404,???,,A,2891,2,,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1051,轻飘飘·雌,,輕飄飄·雌,Frillish - Female,404404,???: ??,,A,2921,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1052,轻飘飘·雄,,輕飄飄·雄,Frillish - Male,404404,???: ??,,A,2922,2,10610,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1053,齿轮儿,,齒輪兒,Klink,404404,???,,A,2961,2,11510,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1054,喷嚏熊,,噴嚏熊,Cubchoo,404404,???,,A,3011,2,10910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1055,哈力栗,,哈力栗,Chespin,404404,????,,A,3281,2,11710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1056,火狐狸,,火狐狸,Fennekin,404404,???,,A,3291,2,10710,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1057,小狮狮,,小獅獅,Litleo,404404,???,,A,3341,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1058,绵绵泡芙,,綿綿泡芙,Swirlix,404404,????,,A,3431,2,11010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1059,铁臂枪虾,,鐵臂槍蝦,Clauncher,404404,???,,A,3471,2,11110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1060,冰雪龙,,冰雪龍,Amaura,404404,????,,A,3501,2,11310,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1061,摔角鹰人,,摔角鷹人,Hawlucha,404404,???,,A,3511,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1062,凯西,,凱西,Abra,404404,???,,S,261,2,11110,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1063,小磁怪,,小磁怪,Magnemite,404404,??,,S,331,2,11410,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1064,鬼斯,,鬼斯,Gastly,404404,???,,S,391,2,,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1065,独角犀牛,,獨角犀牛,Rhyhorn,404404,???,,S,491,2,11710,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1066,咩利羊,,咩利羊,Mareep,404404,???,,S,881,2,10510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1067,赫拉克罗斯,,赫拉克羅斯,Heracross,404404,?????,,S,1071,2,11210,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1068,戴鲁比,,戴魯比,Houndour,404404,??,,S,1171,2,10610,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1069,木守宫,,木守宮,Treecko,404404,????,,S,1291,2,10710,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1070,拉鲁拉丝,,拉魯拉絲,Lapras,404404,???,,S,1391,2,10810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1071,夜巡灵,,夜巡靈,Duskull,404404,???,,S,1811,2,11510,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1072,阿勃梭鲁,,阿勃梭魯,Absol,404404,??,,S,1841,2,11310,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1073,黑眼鳄,,黑眼鱷,Sandile,404404,???,,S,2721,2,12010,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1074,牙牙,,牙牙,Axew,404404,???,,S,3001,2,,{},3,0,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1075,几何雪花,,幾何雪花,Cryogonal,404404,????,,S,3021,2,11610,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1076,单首龙,,單首龍,Deino,404404,???,,S,3141,2,11010,{},3,60,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1077,花蓓蓓,,花蓓蓓,Flabébé,404404,????,,S,3351,2,,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1078,独剑鞘,,獨劍鞘,Honedge,404404,???,,S,3411,2,10910,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1079,飞天螳螂,,飛天螳螂,Scyther,404404,???,,S,571,2,11810,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1080,哥德宝宝,<cn;kr>,哥德寶寶,Gothita,404404,???,,A,2841,2,11810,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1081,电击怪,,電擊怪,Elekid,404404,????,,S,591,2,11910,{},3,100,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1082,可达鸭,<cn>,可達鴨,Psyduck,404404,????,,A,221,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1083,雪童子,,雪童子,Snorunt,404404,???,,A,1851,2,11910,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1084,大岩蛇,,大岩蛇,Onix,404404,???,,S,401,2,12110,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
1085,大葱鸭,<cn>,大蔥鴨,Farfetch'd,404404,???,,A,341,2,12010,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1086,怨影娃娃,<cn>,怨影娃娃,Shuppet,404404,????,,A,1801,2,12110,{},2,100,4,7200,<1;2;3;4;5>,20,20,40,75,0.08,0.1,0.15,5,3
1087,狃拉,,狃拉,Sneasel,404,404,,S,1081,2,12210,{},3,80,12,7200,<1;2;3;4;5>,35,0.5,20,50,0,0.04,0,5,3
