变量名,skillName,skillName_tw,skillName_en,skillName_kr,_beizhu,skillTypeShow,skillTypeShow_tw,skillTypeShow_en,describe,describe1,describe_tw,describe_en,describe_kr,simDesc,simDesc_tw,simDesc_en,simDesc_kr,starEffect,starEffectDesc,starEffectDesc1,starEffectDesc_tw,starEffectDesc_en,starEffectDesc_kr,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeEffectDesc_tw,zawakeEffectDesc_en,zawakeEffectDesc_kr,zawakeSimpleType,zawakeSimpleDesc,zawakeSimpleDesc_tw,zawakeSimpleDesc_en,zawakeSimpleDesc_kr,upLvDesc,upLvDesc_tw,upLvDesc_en,upLvDesc_kr,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,targetTypeDesc_en,targetTypeDesc_kr,targetTypeDesc_tw,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc
5921,Electric Punch,電擊拳,Electric Punch,???? ??,电击兽,,,,Electabuzz attacks a single enemy with electronic fists to deal #C0xE69900#90%P.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54#P.DMG#C0x5B545B# and inflict a layer of 【Volt Absorb】 to itself,,電擊獸用充滿電流的拳頭攻擊敵方單體目標，造成#C0xE69900#90%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理傷害#C0x5B545B#，為自身添加一層【蓄電】,Electabuzz attacks a single enemy with electronic fists to deal #C0xE69900#90%P.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54#P.DMG#C0x5B545B# and inflict a layer of 【Volt Absorb】 to itself,???? ??? ??? ??? ? ??? 1??? ??? #C0xE69900#?? ???? 90%#C0x5B545B#+$(skillLevel*4*24)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ??? [??] 1??? ???.,Electabuzz attacks a single enemy target with a punch charged with electricity,電擊獸用充滿電流的拳頭攻擊敵方單體目標,Electabuzz attacks a single enemy target with a punch charged with electricity,???? ??? ?? ? ???? ? ??? 1??? ????.,,,,,,,<79001>,电击兽用充满电流的拳头攻击敌方单体目标，造成#C0xE69900#90%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，为自身添加一层【蓄电】，额外有60%概率再获得一层【蓄电】,,,,,1,#C0x5c9970#额外有60%概率再获得一层【蓄电】,,,,DMG+96,固定傷害+96,DMG+96,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,0,0,5,,,,,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,物攻,self:damage()*0.9+(self:flag(99) and skillLevel or skillLevel*4)*24,self:specialDamage()+skillLevel*24,,,,<59211;59212>,,,,,,,240,,,1,{x=0;y=0},,,,attack,,,,,,,,,,,,,{res=hero_sound/dianjishou_attack.mp3;loop=0;delay=0},,,,,,
5922,Recharge Fist,充能之拳,Recharge Fist,??? ??,电击兽,,,,"Electabuzz uses the power of electricity and launches a heavy punch at a single enemy target, dealing #C0xE69900#150% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and adds one stack of [Absorb] to itself. It also absorbs 150 rage points from its target.",,電擊獸引雷電之力，然後給予敵方單體目標重拳，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理傷害#C0x5B545B#，為自身添加一層【蓄電】；並吸收目標150點怒氣,"Electabuzz uses the power of electricity and launches a heavy punch at a single enemy target, dealing #C0xE69900#150% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and adds one stack of [Absorb] to itself. It also absorbs 150 rage points from its target.",???? ??? ?? ??? ? ??? 1???? ?? ??? ?? #C0xE69900#?? ???? 150%#C0x5B545B#+$(skillLevel*4*48)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ??? [??] 1??? ??? ??? ?? 150???? ????.,Electabuzz uses the power of thunder and launches a heavy punch at a single enemy target,電擊獸引雷電之力，然後給予敵方單體目標重拳,Electabuzz uses the power of thunder and launches a heavy punch at a single enemy target,???? ??? ?? ?? ? ? ??? 1??? ?? ?? ??? ???.,,,,,,,<79002>,电击兽引雷电之力，然后给予敌方单体目标重拳，造成#C0xE69900#150%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理伤害#C0x5B545B#，为自身添加一层【蓄电】；并吸收目标200点怒气,,,,,2,并吸收目标150点怒气\n#F20# \n#F40##C0x5c9970#→并吸收目标200点怒气,,,,DMG+192,固定傷害+192,DMG+192,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,1,0,5,,,,2,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,物攻,self:damage()*1.5+(self:flag(99) and skillLevel or skillLevel*4)*48,self:specialDamage()*1.6+skillLevel*30,,,,<59221;59222;59223>,,,,,,,360,,,2,{x=-160;y=0},,,,skill1,,,,,,,,,,,,,{res=hero_sound/dianjishou_skill1.mp3;loop=0;delay=0},,,,,,
5923,Electric Meteor,電光流星,Electric Meteor,?? ??,电击兽,,,,"Electabuzz transforms into meteor-like light beam and attacks enemies in a row, dealing #C0xE69900#250% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and releases all electric charges (clears all electric charges)",,電擊獸化成流星般的光束攻擊敵方列排目標，造成#C0xE69900#250%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理傷害#C0x5B545B#，釋放所有蓄電能量(清空所有蓄電層數),"Electabuzz transforms into meteor-like light beam and attacks enemies in a row, dealing #C0xE69900#250% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and releases all electric charges (clears all electric charges)",???? ?? ?? ??? ??? ?? ??? ?? ??? #C0xE69900#?? ???? 250%#C0x5B545B#+$(skillLevel*4*48)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ?? [??] ???? ????(?? ?? ??? ??),Electabuzz transform into a meteor-like light beam to attack the enemy targets in a row and increases its damage based on the amount of electricity charged,電擊獸化成流星般的光束攻擊敵方列排目標，並根據自身蓄電層數提升傷害,Electabuzz transform into a meteor-like light beam to attack the enemy targets in a row and increases its damage based on the amount of electricity charged,"???? ?? ?? ??? ??? ? ?? ?? ??? ????, ??? ?? ??? ?? ??? ???.",<11>,Additional effect: Gains additional electrical charges by 1-3 stacks temporarily before releasing the Ultimate move (additional stacks can exceed the limit),,額外效果：釋放必殺技前臨時額外增加自身蓄電層數1-3層（額外增加的部分可超出層數）,Additional effect: Gains additional electrical charges by 1-3 stacks temporarily before releasing the Ultimate move (additional stacks can exceed the limit),?? ??: ??? ?? ? ??? ?? ??? ??? 1~3 ????(??? ??? ??? ?? ??? ??? ? ??),<79003>,电击兽化成流星般的光束攻击敌方列排目标，造成#C0xE69900#250%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理伤害#C0x5B545B#，释放所有【蓄电】能量(清空所有蓄电层数)，释放后保留自身1-3层蓄电层数,,,,,1,#C0x5c9970#释放后保留自身1-3层蓄电层数,,,,DMG+192,固定傷害+192,DMG+192,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,2,0,5,,,,,,,,,4,,,,,2,,,Line,"""column""",Line,? ?? ??,敵方列排,物攻,self:damage()*2.5+(self:flag(99) and skillLevel or skillLevel*4)*48,target:mp1() < 500 and (self:specialDamage()*2.6+skillLevel*48)*1.3 or (self:specialDamage()*2.6+skillLevel*48),,,,<59231;59232;59233>,,,,,1000,,,,,3,{x=-170;y=0},,,,skill2,,,,,,,,<img_125_djs@>,,,,,{res=hero_sound/dianjishou_skill2.mp3;loop=0;delay=0},,,,,,
5926,High Voltage,高壓電,High Voltage,???,电击兽,,,,"In battles, inflict a layer of 【Absorb】 when being attacked. Each Absorb effect increases own $(10+skillLevel*0.05-0.05)$% Electric-Type skill damage, up to 7 times",,戰鬥中，每次受擊會為自己添加一層【蓄電】（蓄電：特殊效果，每層蓄電效果會提高自身#C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B#電系技能傷害，最高可疊加至7層）,"In battles, inflict a layer of 【Absorb】 when being attacked. Each Absorb effect increases own $(10+skillLevel*0.05-0.05)$% Electric-Type skill damage, up to 7 times","?? ?, ??? ?? ??? ???? [??] 1??? ????(??: ?? ??, ?? ???? ??? ?? ?? ?? ??? #C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B# ????, ?? ?? ?: 7?).",,,,,<8>,"Additional effect: Before each big round, it adds a stack of [Absorb] to itself",,額外效果：每個大回合前會為自己添加一層【蓄電】,"Additional effect: Before each big round, it adds a stack of [Absorb] to itself",?? ??: ? ??? ?? ?? ???? [??] 1??? ????,<79004>,战斗中，每次受击或每损失20%的血量都会为自己添加一层【蓄电】（蓄电：特殊效果，每层蓄电效果会提高自身#C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B#电系技能伤害，最高可叠加至7层）,,,,,2,每次受击会为自己添加一层【蓄电】\n#F20# \n#F40##C0x5c9970#→每次受击或每损失20%的血量都会为自己添加一层【蓄电】,,,,,,,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,,,,<59261>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5931,Thunder Punch,雷電拳,Thunder Punch,????,电击魔兽,,,,Electivire punches a single enemy with lightening fists to deal #C0xE69900#100%P.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54#P.DMG#C0x5B545B# and inflict a layer of 【Volt Absorb】 to itself,,電擊魔獸用充滿雷電的拳頭攻擊敵方單體目標，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理傷害#C0x5B545B#，為自身添加一層【蓄電】,Electivire punches a single enemy with lightening fists to deal #C0xE69900#100%P.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54#P.DMG#C0x5B545B# and inflict a layer of 【Volt Absorb】 to itself,????? ??? ??? ??? ? ??? 1??? ??? #C0xE69900#?? ???? 100%#C0x5B545B#+$(skillLevel*4*24)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ??? [??] 1??? ???.,Electivire attacks a single enemy target with a punch charged with electricity,電擊魔獸用充滿雷電的拳頭攻擊敵方單體目標,Electivire attacks a single enemy target with a punch charged with electricity,????? ??? ?? ? ???? ? ??? 1??? ????.,,,,,,,<79001>,电击魔兽用充满雷电的拳头攻击敌方单体目标，造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#物理伤害#C0x5B545B#，为自身添加一层【蓄电】，额外有60%概率再获得一层【蓄电】,,,,,1,#C0x5c9970#额外有60%概率再获得一层【蓄电】,,,,DMG+96,固定傷害+96,DMG+96,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,0,0,5,,,,,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,物攻,self:damage()*1+(self:flag(99) and skillLevel or skillLevel*4)*24,self:specialDamage()+skillLevel*24,,,,<59311;59312>,,,,,,,240,,,1,{x=-180;y=0},,,,attack,,,,,,,,,,,,,{res=hero_sound/dianjimoshou_attack.mp3;loop=0;delay=0},,,,,,
5932,Electro Devil Ball,電擊魔球,Electro Devil Ball,???? ?? ?,电击魔兽,,,,"Electivire releases electric ball and attacks a single enemy target, dealing #C0xE69900#160% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and adds one stack of [Absorb] to itself. It also absorbs 150 rage points from its target.",,電擊魔獸釋放出電流魔球攻擊敵方單體目標，造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理傷害#C0x5B545B#，為自身添加一層【蓄電】；並吸收目標150點怒氣,"Electivire releases electric ball and attacks a single enemy target, dealing #C0xE69900#160% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and adds one stack of [Absorb] to itself. It also absorbs 150 rage points from its target.",????? ??? ?? ??? ??? ? ??? 1??? ???? #C0xE69900#?? ???? 160%#C0x5B545B#+$(skillLevel*4*48)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ??? [??] 1??? ??? ??? ?? 150???? ????.,Electivire releases electric balls to attack single enemy target,電擊魔獸釋放出電流魔球攻擊敵方單體目標,Electivire releases electric balls to attack single enemy target,????? ?? ??? ??? ? ??? 1??? ????.,,,,,,,<79002>,电击魔兽释放出电流魔球攻击敌方单体目标，造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理伤害#C0x5B545B#，为自身添加一层【蓄电】；并吸收目标200点怒气,,,,,2,并吸收目标150点怒气\n#F20# \n#F40##C0x5c9970#→并吸收目标200点怒气,,,,DMG+192,固定傷害+192,DMG+192,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,1,0,5,,,,2,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,物攻,self:damage()*1.6+(self:flag(99) and skillLevel or skillLevel*4)*48,self:specialDamage()*1.6+skillLevel*30,,,,<59321;59322;59323>,,,,,,,360,,,2,{x=-350;y=0},,,,skill1,,,,,,,,,,,,,{res=hero_sound/dianjimoshou_skill1.mp3;loop=0;delay=0},,,,,,
5933,Thunder Force,雷霆之力,Thunder Force,??? ?,电击魔兽,,,,"Electivire draws the power of thunder to attack the enemy targets in a row, dealing #C0xE69900#260% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and releases all electric charges (clears all electric charges)",,電擊魔獸牽引雷霆之力攻擊敵方列排目標，造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理傷害#C0x5B545B#，釋放所有蓄電能量(清空所有蓄電層數),"Electivire draws the power of thunder to attack the enemy targets in a row, dealing #C0xE69900#260% P.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54#P.DMG#C0x5B545B#, and releases all electric charges (clears all electric charges)",????? ?? ??? ??? ?? ??? ?? ???? #C0xE69900#?? ???? 260%#C0x5B545B#+$(skillLevel*4*48)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ?? [??] ???? ????(?? ?? ??? ??),Electivire draws the power of thunder to attack the enemy targets in a row and increases its damage based on the amount of electricity charged,電擊魔獸牽引雷霆之力攻擊敵方列排目標，並根據自身蓄電層數提升傷害,Electivire draws the power of thunder to attack the enemy targets in a row and increases its damage based on the amount of electricity charged,"????? ?? ??? ???? ? ?? ?? ??? ????, ??? ?? ??? ?? ??? ???.",<11>,Additional effect: Gains additional electrical charges by 1-3 stacks temporarily before releasing the Ultimate move (additional stacks can exceed the limit),,額外效果：釋放必殺技前臨時額外增加自身蓄電層數1-3層（額外增加的部分可超出層數）,Additional effect: Gains additional electrical charges by 1-3 stacks temporarily before releasing the Ultimate move (additional stacks can exceed the limit),?? ??: ??? ?? ? ??? ?? ??? ??? 1~3 ????(??? ??? ??? ?? ??? ??? ? ??),<79003>,电击魔兽牵引雷霆之力攻击敌方列排目标，造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#物理伤害#C0x5B545B#，释放所有【蓄电】能量(清空所有蓄电层数)，释放后保留自身1-3层蓄电层数,,,,,1,#C0x5c9970#释放后保留自身1-3层蓄电层数,,,,DMG+192,固定傷害+192,DMG+192,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,2,0,5,,,,,,,,,4,,,,,2,,,Line,"""column""",Line,? ?? ??,敵方列排,物攻,self:damage()*2.6+(self:flag(99) and skillLevel or skillLevel*4)*48,target:mp1() < 500 and (self:specialDamage()*2.6+skillLevel*48)*1.3 or (self:specialDamage()*2.6+skillLevel*48),,,,<59331;59332;59333>,,,,,1000,,,,,3,{x=-500;y=0},,,,skill2,,,,,,,,<img_466_djms@>,,,,,{res=hero_sound/dianjimoshou_skill2.mp3;loop=0;delay=0},,,,,,
5936,High Voltage,高壓電,High Voltage,???,电击魔兽,,,,"In battles, inflict a layer of 【Absorb】 when being attacked. Each Absorb effect increases own $(10+skillLevel*0.05-0.05)$% Electric-Type skill damage, up to 7 times",,戰鬥中，每次受擊會為自己添加一層【蓄電】（蓄電：特殊效果，每層蓄電效果會提高自身#C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B#電系技能傷害，最高可疊加至7層）,"In battles, inflict a layer of 【Absorb】 when being attacked. Each Absorb effect increases own $(10+skillLevel*0.05-0.05)$% Electric-Type skill damage, up to 7 times","?? ?, ??? ?? ??? ???? [??] 1??? ????(??: ?? ??, ?? ???? ??? ?? ?? ?? ??? #C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B# ????, ?? ?? ?: 7?).",,,,,<8>,"Additional effect: Before each big round, it adds a stack of [Absorb] to itself",,額外效果：每個大回合前會為自己添加一層【蓄電】,"Additional effect: Before each big round, it adds a stack of [Absorb] to itself",?? ??: ? ??? ?? ?? ???? [??] 1??? ????,<79004>,战斗中，每次受击或每损失20%的血量都会为自己添加一层【蓄电】（蓄电：特殊效果，每层蓄电效果会提高自身#C0x5c9970#$(10+skillLevel*0.05-0.05)$%#C0x5B545B#电系技能伤害，最高可叠加至7层）,,,,,2,每次受击会为自己添加一层【蓄电】\n#F20# \n#F40##C0x5c9970#→每次受击或每损失20%的血量都会为自己添加一层【蓄电】,,,,,,,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,,,,<59361>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6011,Ember,火花,Ember,????,鸭嘴宝宝,,,,"Magby shoots sparks to attack a single enemy to deal #C0x3D8A99#80%SP.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54# SP.DMG#C0x5B545B# and Burn the target (attached with #C0xE69900#40%SP.ATK#C0x5B545B#bonus damage for 2 rounds, up to 5 times)",,鴨嘴寶寶吐出火花攻擊敵方單體目標，造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊傷害#C0x5B545B#，使得目標【灼燒】2回合,"Magby shoots sparks to attack a single enemy to deal #C0x3D8A99#80%SP.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54# SP.DMG#C0x5B545B# and Burn the target (attached with #C0xE69900#40%SP.ATK#C0x5B545B#bonus damage for 2 rounds, up to 5 times)",???? ????? ???? ? ??? 1??? ??? #C0x3D8A99#?? ???? 80%#C0x5B545B#+$(skillLevel*4*24)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ???? 2? ? [??] ??? ????.,Magby blows out sparks to attack a single enemy target,鴨嘴寶寶吐出火花攻擊敵方單體目標,Magby blows out sparks to attack a single enemy target,???? ????? ???? ? ??? 1??? ????.,,,,,,,<79001>,鸭嘴宝宝吐出火花攻击敌方单体目标，造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，使得目标【灼烧】3回合,,,,,2,使得目标【灼烧】2回合\n#F20# \n#F40##C0x5c9970#→使得目标【灼烧】3回合,,,,DMG+96,固定傷害+96,DMG+96,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,0,1,2,,,,,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,特攻,self:specialDamage()*0.8+(self:flag(99) and skillLevel or skillLevel*4)*24,self:specialDamage()+skillLevel*24,,,,<60111;60112>,,,,,,,240,,,1,{x=-220;y=0},,,,attack,,,,,,,,,,,,,{res=hero_sound/yazuibaobao_attack.mp3;loop=0;delay=0},,,,,,
6012,Flame Bomb,火焰轟炸,Flame Bomb,?? ??,鸭嘴宝宝,,,,"Magby grabs a single enemy target before blasting it with flames, dealing #C0x3D8A99#140% SP.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54# SP.DMG#C0x5B545B#, with burning effect (extra #C0xE69900#40% SP.ATK#C0x5B545B# damage for 3 rounds, up to 5 stacks)",,鴨嘴寶寶擁抱住敵方單體目標，然後進行火焰轟炸，造成#C0x3D8A99#140%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊傷害#C0x5B545B#，使得目標【灼燒】3回合,"Magby grabs a single enemy target before blasting it with flames, dealing #C0x3D8A99#140% SP.ATK#C0x5B545B#+$(skillLevel*4*48)$ #C0xF13B54# SP.DMG#C0x5B545B#, with burning effect (extra #C0xE69900#40% SP.ATK#C0x5B545B# damage for 3 rounds, up to 5 stacks)",???? ? ??? 1??? ?? ?? ??? ??? #C0x3D8A99#?? ????140%#C0x5B545B#+$(skillLevel*4*48)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ???? 3? ? [??] ??? ????.,Magby grabs a single enemy target before blasting it with flames,鴨嘴寶寶擁抱住敵方單體目標，然後進行火焰轟炸,Magby grabs a single enemy target before blasting it with flames,???? ? ??? 1??? ?? ?? ??? ???.,,,,,,,<79002>,鸭嘴宝宝拥抱住敌方单体目标，然后进行火焰轰炸，造成#C0x3D8A99#140%特攻#C0x5B545B#+$(skillLevel*4*48)$的#C0xF13B54#特殊伤害#C0x5B545B#，使得目标和另一随机敌方单位【灼烧】3回合,,,,,2,使得目标【灼烧】3回合\n#F20# \n#F40##C0x5c9970#→使得目标和另一随机敌方单位【灼烧】3回合,,,,DMG+192,固定傷害+192,DMG+192,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,1,1,2,,,,2,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,特攻,self:specialDamage()*1.4+(self:flag(99) and skillLevel or skillLevel*4)*48,self:specialDamage()*1.6+skillLevel*30,,,,<60121;60122;60123>,,,,,,,360,,,2,{x=-250;y=0},,,,skill1,,,,,,,,,,,,,{res=hero_sound/yazuibaobao_skill1.mp3;loop=0;delay=0},,,,,,
6013,Flamethrower,噴射火焰,Flamethrower,????,鸭嘴宝宝,,,,"Magby fires hot flames at enemy targets in the front line, dealing #C0x3D8A99#230% SP.ATK#C0x5B545B#+$(skillLevel*4*42)$ #C0xF13B54# SP.DMG#C0x5B545B#, and triggers the total damage to be inflicted by the Burn effect (total damage does exceed 1000% of its own SP.ATK). If the target is still alive, it will add another stack of Burn (with extra #C0xE69900#40% SP.ATK#C0x5B545B# damage for 2 rounds, up to 5 stacks), for 2 rounds",,鴨嘴寶寶噴射火焰攻擊敵方前排目標，造成#C0x3D8A99#230%特攻#C0x5B545B#+$(skillLevel*4*42)$的#C0xF13B54#特殊傷害#C0x5B545B#，一次性結算目標身上的所有【灼燒】傷害（結算的傷害最高不可超過自身特攻的1000%），若未擊殺目標則給其添加【灼燒】2回合,"Magby fires hot flames at enemy targets in the front line, dealing #C0x3D8A99#230% SP.ATK#C0x5B545B#+$(skillLevel*4*42)$ #C0xF13B54# SP.DMG#C0x5B545B#, and triggers the total damage to be inflicted by the Burn effect (total damage does exceed 1000% of its own SP.ATK). If the target is still alive, it will add another stack of Burn (with extra #C0xE69900#40% SP.ATK#C0x5B545B# damage for 2 rounds, up to 5 stacks), for 2 rounds",???? ????? ?? ??? ?? ??? #C0x3D8A99#?? ???? 230%#C0x5B545B#+$(skillLevel*4*42)$? #C0xF13B54#?? ??#C0x5B545B#? ??? ??? ??? ?? [??]??? ? ?? ???(?? ??? ??? ?? ???? 1000%?? ?? ? ??). ?? ??? ???? ???? ?? ???? 2? ? [??] ??? ????.,"Magby fires hot flames at enemy targets in the front line, causes burning targets to explode and adds one stack to the burn effect",鴨嘴寶寶噴射火焰攻擊敵方前排目標，引爆目標身上的灼燒，並添加一層灼燒,"Magby fires hot flames at enemy targets in the front line, causes burning targets to explode and adds one stack to the burn effect","???? ? ?? ?? ???? ????? ????, ???? ??? ?? ??? ?????, ?? ?? 1??? ????.",<11>,"Additional effect: Increases 20% burn damage limit, adds 1 more burn stack if the target is not knocked out",,額外效果：提升20%結算灼燒傷害上限，未擊殺目標額外添加1層灼燒,"Additional effect: Increases 20% burn damage limit, adds 1 more burn stack if the target is not knocked out","?? ??: ?? ?? ??? 20% ????, ??? ???? ???? ??? ?? ??? 1??? ????",<79003;1>,额外效果：提升20%结算灼烧伤害上限，未击杀目标额外添加1层灼烧，并以20%比例再结算一次目标身上的灼烧伤害,,,,,1,#C0x5c9970#并以20%比例再结算一次目标身上的灼烧伤害,,,,DMG+168,固定傷害+168,DMG+168,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,2,1,2,,,,,,,,,2,,,,,2,,,Front row,"""row""",Front row,? ?? ??,敵方前排,特攻,self:specialDamage()*2.3+(self:flag(99) and skillLevel or skillLevel*4)*42,self:specialDamage()*2.35+skillLevel*42,,,,<60131;60132;60133;60134>,,,,,1000,,,,,3,{x=-400;y=0},,,,skill2,,0,,5000,,5000,,<img_240_yzbb@>,,TRUE,,,{res=hero_sound/yazuibaobao_skill2.mp3;loop=0;delay=0},,,,,,
6014,404404,,404404,,鸭嘴宝宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,3,3,,,,,,,,,7,,5,,,,,,,,,,,,,,,,,,,<60141>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
