变量名,name
3281,哈力栗
3282,胖胖哈力
3283,布里卡隆
3291,火狐狸
3292,长尾火狐
3293,妖火红狐
3301,呱呱泡蛙
3302,呱头蛙
3303,甲贺忍蛙
3341,小狮狮
3342,火炎狮
3351,花蓓蓓
3352,花叶蒂
3353,花洁夫人
3411,独剑鞘
3412,双剑鞘
3413,坚盾剑怪·盾牌
3431,绵绵泡芙
3432,胖甜妮
3471,铁臂枪虾
3472,钢炮臂虾
3501,冰雪龙
3502,冰雪巨龙
3511,摔角鹰人
3541,黏黏宝
3542,黏美儿
3543,黏美龙
3561,小木灵
3562,朽木妖
3631,蒂安希
3642,解放胡帕
3771,好坏星
3772,超坏星
4023,索尔迦雷欧
