变量名,openLevel,sceneCount,showLevel,backGround,roundLimit,gateType,deployType,limitType,sceneLevel3,sceneLevel2,sceneLevel,showLevel3,showLevel2,backMusic,roundLimit3,roundLimit2,sceneType,icon3,icon,gateDesc3,lowestFightingPoint,sceneCount3,sceneCount2,gateDesc2,gateDesc1,languages,monsters1,boss1,monsters2,boss2,monsters3,boss3,bg_boss_pos,limitArg,firstAward,firstAwardShow,skillLevel2,skillLevel,skillLevel3,sceneName
200009,,,417,battle/scene/bg_grass.jpg,,,,5,600,600,600,417,417,,,,26,,config/portrait/jinglingtouxiang1/img_383_gld@.png,,,,,,,<cn>,<{level=417;advance=31;unitId=510592};{level=417;advance=31;unitId=522032};{level=417;advance=31;unitId=513142};{level=417;advance=31;unitId=531081};{level=417;advance=31;unitId=543772}>,<{level=417;advance=31;unitId=531971}>,<{level=417;advance=31;unitId=510393};{level=417;advance=31;unitId=522022};{level=417;advance=31;unitId=510431};{level=417;advance=31;unitId=531294};{level=417;advance=31;unitId=543661}>,<{level=417;advance=31;unitId=533623}>,,,,<<27;0;22%>;<26;0;22%>>,{451=50;452=20;gold=320000},<<gold;320000;1>;<451;50;1>;<452;20;1>>,130,130,130,第9关
200010,,,419,battle/scene/bg_night.jpg,,,,5,625,625,625,419,419,,,,26,,config/portrait/jinglingtouxiang1/img_720_jfhp@.png,,,,,怪物攻击附带【波导能量】，闪光超级路卡利欧攻击【波导能量】目标时额外造成【波导能量】伤害,精灵全体禁疗，不足5名恶系怪物时消除该效果,<cn>,<{level=419;advance=31;unitId=513611};{level=419;advance=31;unitId=524631};{level=419;advance=31;unitId=513611};{level=419;advance=31;unitId=532821};{level=419;advance=31;unitId=542821}>,<{level=419;advance=31;unitId=560020}>,<{level=419;advance=31;unitId=513052};{level=419;advance=31;unitId=524601};{level=419;advance=31;unitId=513161};{level=419;advance=31;unitId=534121};{level=419;advance=31;unitId=544121}>,<{level=419;advance=31;unitId=570020}>,,,,<<1;1;32%>;<13;0;32%>>,{501=1;451=50;gold=320000},<<gold;320000;1>;<451;50;1>;<501;1;1>>,130,130,130,第10关
200011,,,421,battle/scene/bg_grass.jpg,,,,3,650,650,650,421,421,,,,26,,config/portrait/jinglingtouxiang1/img_892_wdxsljl@.png,,,,,,,<cn>,<{level=421;advance=32;unitId=510731};{level=421;advance=32;unitId=523001};{level=421;advance=32;unitId=511072};{level=421;advance=32;unitId=534202};{level=421;advance=32;unitId=543143}>,<{level=421;advance=32;unitId=534623}>,<{level=421;advance=32;unitId=512042};{level=421;advance=32;unitId=520302};{level=421;advance=32;unitId=511511};{level=421;advance=32;unitId=530782};{level=421;advance=32;unitId=542401}>,<{level=421;advance=32;unitId=534852}>,,,,<<9;1;22%>;<10;1;22%>>,{451=50;452=20;gold=340000},<<gold;340000;1>;<451;50;1>;<452;20;1>>,130,130,130,第11关
200012,,,423,battle/scene/bg_night.jpg,,,,4,675,675,675,423,423,,,,26,,config/portrait/jinglingtouxiang1/img_254_xyw@.png,,,,,,,<cn>,<{level=423;advance=32;unitId=513282};{level=423;advance=32;unitId=524641};{level=423;advance=32;unitId=510044};{level=423;advance=32;unitId=530634};{level=423;advance=32;unitId=541293}>,<{level=423;advance=32;unitId=531293}>,<{level=423;advance=32;unitId=512233};{level=423;advance=32;unitId=520024};{level=423;advance=32;unitId=513591};{level=423;advance=32;unitId=530574};{level=423;advance=32;unitId=540883}>,<{level=423;advance=32;unitId=530254}>,,,,<<9;0;21%>;<10;0;21%>;<17;0;21%>>,{502=1;451=50;gold=340000},<<gold;340000;1>;<451;50;1>;<502;1;1>>,130,130,130,第12关
200013,,,425,battle/scene/bg_sd.jpg,,,,5,700,700,700,425,425,,,,26,,config/portrait/jinglingtouxiang1/img_887_dlblt@.png,,,,,,,<cn>,<{level=425;advance=32;unitId=513541};{level=425;advance=32;unitId=520601};{level=425;advance=32;unitId=513161};{level=425;advance=32;unitId=533052};{level=425;advance=32;unitId=543152}>,<{level=425;advance=32;unitId=534583}>,<{level=425;advance=32;unitId=513961};{level=425;advance=32;unitId=520603};{level=425;advance=32;unitId=512233};{level=425;advance=32;unitId=530603};{level=425;advance=32;unitId=544392}>,<{level=425;advance=32;unitId=534193}>,,,,<<9;0;22%>;<10;0;22%>>,{rmb=100;451=50;gold=340000},<<gold;340000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第13关
200014,,,427,battle/scene/bg_tower.jpg,,,,5,725,725,725,427,427,,,,26,,config/portrait/jinglingtouxiang1/img_793_xwyd@.png,,,,,,,<cn>,<{level=427;advance=32;unitId=510331};{level=427;advance=32;unitId=524651};{level=427;advance=32;unitId=514203};{level=427;advance=32;unitId=531396};{level=427;advance=32;unitId=541241}>,<{level=427;advance=32;unitId=534031}>,<{level=427;advance=32;unitId=512371};{level=427;advance=32;unitId=521396};{level=427;advance=32;unitId=514622};{level=427;advance=32;unitId=530162};{level=427;advance=32;unitId=540015}>,<{level=427;advance=32;unitId=534661}>,,,,<<9;0;22%>;<10;0;22%>;<22;0;22%>>,{451=50;452=20;gold=340000},<<gold;340000;1>;<451;50;1>;<452;20;1>>,130,130,130,第14关
200015,,,429,battle/scene/bg_grass.jpg,,,,5,750,750,750,429,429,,,,26,,config/portrait/jinglingtouxiang1/img_490_mnf@.png,,,,,虫系怪物攻击时有几率触发【连击I】，击杀光环怪解除,怪物全体暴击抗性大幅度提升，击杀光环怪解除,<cn>,<{level=429;advance=32;unitId=512411};{level=429;advance=32;unitId=520394};{level=429;advance=32;unitId=512411};{level=429;advance=32;unitId=531951};{level=429;advance=32;unitId=541304}>,<{level=429;advance=32;unitId=560030}>,<{level=429;advance=32;unitId=514041};{level=429;advance=32;unitId=523351};{level=429;advance=32;unitId=514041};{level=429;advance=32;unitId=530574};{level=429;advance=32;unitId=540574}>,<{level=429;advance=32;unitId=570030}>,,,,<<9;1;28%>;<10;0;28%>;<13;0;28%>>,{519=1;451=50;gold=340000},<<gold;340000;1>;<451;50;1>;<519;1;1>>,130,130,130,第15关
200016,,,431,battle/scene/bg_night.jpg,,,,3,775,775,775,431,431,,,,26,,config/portrait/jinglingtouxiang1/img_639_dljw@.png,,,,,,,<cn>,<{level=431;advance=32;unitId=511072};{level=431;advance=32;unitId=524132};{level=431;advance=32;unitId=510712};{level=431;advance=32;unitId=533542};{level=431;advance=32;unitId=542022}>,<{level=431;advance=32;unitId=533171}>,<{level=431;advance=32;unitId=510144};{level=431;advance=32;unitId=521171};{level=431;advance=32;unitId=510861};{level=431;advance=32;unitId=530024};{level=431;advance=32;unitId=543413}>,<{level=431;advance=32;unitId=531841}>,,,,<<13;1;22%>>,{451=50;452=20;gold=360000},<<gold;360000;1>;<451;50;1>;<452;20;1>>,130,130,130,第16关
200017,,,433,battle/scene/bg_sd.jpg,,,,4,800,800,800,433,433,,,,26,,config/portrait/jinglingtouxiang1/img_359_absl@.png,,,,,,,<cn>,<{level=433;advance=32;unitId=510501};{level=433;advance=32;unitId=524132};{level=433;advance=32;unitId=511812};{level=433;advance=32;unitId=534181};{level=433;advance=32;unitId=540263}>,<{level=433;advance=32;unitId=531841}>,<{level=433;advance=32;unitId=513673};{level=433;advance=32;unitId=524582};{level=433;advance=32;unitId=510721};{level=433;advance=32;unitId=533941};{level=433;advance=32;unitId=541031}>,<{level=433;advance=32;unitId=530381}>,,,,<<13;0;21%>;<24;0;21%>>,{502=1;451=50;gold=360000},<<gold;360000;1>;<451;50;1>;<502;1;1>>,130,130,130,第17关
200018,,,435,battle/scene/bg_tower.jpg,,,,5,825,825,825,435,435,,,,26,,config/portrait/jinglingtouxiang1/img_610_yy@.png,,,,,,,<cn>,<{level=435;advance=32;unitId=510431};{level=435;advance=32;unitId=524622};{level=435;advance=32;unitId=512022};{level=435;advance=32;unitId=530252};{level=435;advance=32;unitId=543301}>,<{level=435;advance=32;unitId=533001}>,<{level=435;advance=32;unitId=510391};{level=435;advance=32;unitId=520992};{level=435;advance=32;unitId=514671};{level=435;advance=32;unitId=530442};{level=435;advance=32;unitId=543542}>,<{level=435;advance=32;unitId=532723}>,,,,<<9;0;22%>;<10;0;22%>>,{rmb=100;451=50;gold=360000},<<gold;360000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第18关
200019,,,437,battle/scene/bg_grass.jpg,,,,5,850,850,850,437,437,,,,26,,config/portrait/jinglingtouxiang1/img_249_lqy@.png,,,,,,,<cn>,<{level=437;advance=32;unitId=510262};{level=437;advance=32;unitId=520901};{level=437;advance=32;unitId=510591};{level=437;advance=32;unitId=533832};{level=437;advance=32;unitId=540263}>,<{level=437;advance=32;unitId=531261}>,<{level=437;advance=32;unitId=513251};{level=437;advance=32;unitId=524051};{level=437;advance=32;unitId=514622};{level=437;advance=32;unitId=530634};{level=437;advance=32;unitId=544131}>,<{level=437;advance=32;unitId=537091}>,,,,<<9;0;22%>;<10;0;22%>;<22;0;22%>>,{451=50;452=20;gold=360000},<<gold;360000;1>;<451;50;1>;<452;20;1>>,130,130,130,第19关
200020,,,439,battle/scene/bg_night.jpg,,,,5,875,875,875,439,439,,,,26,,config/portrait/jinglingtouxiang1/img_791_sejlo@.png,,,,,场上龙系精灵大于4人时，超级裂空座不会阵亡,怪物每个大回合获得【护盾】，不足4名钢系怪物时消除该效果,<cn>,<{level=439;advance=32;unitId=511504};{level=439;advance=32;unitId=523161};{level=439;advance=32;unitId=511504};{level=439;advance=32;unitId=534023};{level=439;advance=32;unitId=547111}>,<{level=439;advance=32;unitId=560040}>,<{level=439;advance=32;unitId=513981};{level=439;advance=32;unitId=524091};{level=439;advance=32;unitId=513981};{level=439;advance=32;unitId=532391};{level=439;advance=32;unitId=544611}>,<{level=439;advance=32;unitId=570040}>,,,,<<9;1;32%>;<10;0;32%>;<13;0;32%>>,{502=3;451=50;gold=360000},<<gold;360000;1>;<451;50;1>;<502;3;1>>,130,130,130,第20关
200021,,,441,battle/scene/bg_grass.jpg,,,,3,905,905,905,441,441,,,,26,,config/portrait/jinglingtouxiang1/img_645_tdy@.png,,,,,,,<cn>,<{level=441;advance=33;unitId=510401};{level=441;advance=33;unitId=523293};{level=441;advance=33;unitId=510151};{level=441;advance=33;unitId=530323};{level=441;advance=33;unitId=542071}>,<{level=441;advance=33;unitId=533231}>,<{level=441;advance=33;unitId=510472};{level=441;advance=33;unitId=520392};{level=441;advance=33;unitId=512072};{level=441;advance=33;unitId=530281};{level=441;advance=33;unitId=542132}>,<{level=441;advance=33;unitId=534071}>,,,,<<1;1;31%>>,{451=50;452=20;gold=380000},<<gold;380000;1>;<451;50;1>;<452;20;1>>,130,130,130,第21关
200022,,,443,battle/scene/bg_night.jpg,,,,4,935,935,935,443,443,,,,26,,config/portrait/jinglingtouxiang1/img_804_sezl@.png,,,,,,,<cn>,<{level=443;advance=33;unitId=510803};{level=443;advance=33;unitId=521861};{level=443;advance=33;unitId=510463};{level=443;advance=33;unitId=532821};{level=443;advance=33;unitId=542272}>,<{level=443;advance=33;unitId=534132}>,<{level=443;advance=33;unitId=511443};{level=443;advance=33;unitId=522233};{level=443;advance=33;unitId=514621};{level=443;advance=33;unitId=530052};{level=443;advance=33;unitId=543412}>,<{level=443;advance=33;unitId=530432}>,,,,<<1;0;22%>;<28;0;22%>>,{502=1;451=50;gold=380000},<<gold;380000;1>;<451;50;1>;<502;1;1>>,130,130,130,第22关
200023,,,445,battle/scene/bg_sd.jpg,,,,5,965,965,965,445,445,,,,26,,config/portrait/jinglingtouxiang1/img_374_tyl@.png,,,,,,,<cn>,<{level=445;advance=33;unitId=513842};{level=445;advance=33;unitId=524393};{level=445;advance=33;unitId=510251};{level=445;advance=33;unitId=531082};{level=445;advance=33;unitId=541671}>,<{level=445;advance=33;unitId=531901}>,<{level=445;advance=33;unitId=513301};{level=445;advance=33;unitId=520333};{level=445;advance=33;unitId=512722};{level=445;advance=33;unitId=530054};{level=445;advance=33;unitId=544132}>,<{level=445;advance=33;unitId=530241}>,,,,<<7;0;22%>;<8;0;22%>>,{rmb=100;451=50;gold=380000},<<gold;380000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第23关
200024,,,447,battle/scene/bg_tower.jpg,,,,5,995,995,995,447,447,,,,26,,config/portrait/jinglingtouxiang1/img_60_wxkd@.png,,,,,,,<cn>,<{level=447;advance=33;unitId=511293};{level=447;advance=33;unitId=520901};{level=447;advance=33;unitId=512993};{level=447;advance=33;unitId=530254};{level=447;advance=33;unitId=541921}>,<{level=447;advance=33;unitId=530251}>,<{level=447;advance=33;unitId=511231};{level=447;advance=33;unitId=521902};{level=447;advance=33;unitId=514013};{level=447;advance=33;unitId=530144};{level=447;advance=33;unitId=543682}>,<{level=447;advance=33;unitId=534852}>,,,,<<1;0;22%>;<22;0;22%>>,{451=50;452=20;gold=380000},<<gold;380000;1>;<451;50;1>;<452;20;1>>,130,130,130,第24关
200025,,,449,battle/scene/bg_grass.jpg,,,,5,1025,1025,1025,449,449,,,,26,,config/portrait/jinglingtouxiang1/img_445_bzcjlyls@.png,,,,,闪光超级妙蛙花入场永久【吞噬】1个单位，光环怪阵亡后解除该效果,攻击时几率附带【致盲II】,<cn>,<{level=449;advance=33;unitId=512721};{level=449;advance=33;unitId=521653};{level=449;advance=33;unitId=512721};{level=449;advance=33;unitId=534081};{level=449;advance=33;unitId=543771}>,<{level=449;advance=33;unitId=560050}>,<{level=449;advance=33;unitId=510562};{level=449;advance=33;unitId=524013};{level=449;advance=33;unitId=510561};{level=449;advance=33;unitId=534081};{level=449;advance=33;unitId=544081}>,<{level=449;advance=33;unitId=570050}>,,,,<<1;1;28%>;<7;0;28%>;<8;0;28%>>,{519=1;451=50;gold=380000},<<gold;380000;1>;<451;50;1>;<519;1;1>>,130,130,130,第25关
200026,,,451,battle/scene/bg_night.jpg,,,,3,1055,1055,1055,451,451,,,,26,,config/portrait/jinglingtouxiang1/img_151_mh@.png,,,,,,,<cn>,<{level=451;advance=33;unitId=511071};{level=451;advance=33;unitId=521951};{level=451;advance=33;unitId=510492};{level=451;advance=33;unitId=534132};{level=451;advance=33;unitId=542132}>,<{level=451;advance=33;unitId=530771}>,<{level=451;advance=33;unitId=511173};{level=451;advance=33;unitId=520323};{level=451;advance=33;unitId=510144};{level=451;advance=33;unitId=534581};{level=451;advance=33;unitId=542331}>,<{level=451;advance=33;unitId=534561}>,,,,<<7;1;31%>;<8;1;31%>>,{451=50;452=20;gold=400000},<<gold;400000;1>;<451;50;1>;<452;20;1>>,130,130,130,第26关
200027,,,453,battle/scene/bg_sd.jpg,,,,4,1085,1085,1085,453,453,,,,26,,config/portrait/jinglingtouxiang1/img_130_cjbll@.png,,,,,,,<cn>,<{level=453;advance=33;unitId=513981};{level=453;advance=33;unitId=521671};{level=453;advance=33;unitId=510241};{level=453;advance=33;unitId=533681};{level=453;advance=33;unitId=540441}>,<{level=453;advance=33;unitId=530634}>,<{level=453;advance=33;unitId=514641};{level=453;advance=33;unitId=523191};{level=453;advance=33;unitId=510721};{level=453;advance=33;unitId=531391};{level=453;advance=33;unitId=543542}>,<{level=453;advance=33;unitId=531653}>,,,,<<7;0;22%>;<8;0;22%>;<14;0;22%>>,{502=1;451=50;gold=400000},<<gold;400000;1>;<451;50;1>;<502;1;1>>,130,130,130,第27关
200028,,,455,battle/scene/bg_tower.jpg,,,,5,1115,1115,1115,455,455,,,,26,,config/portrait/jinglingtouxiang1/img_571_slyk@.png,,,,,,,<cn>,<{level=455;advance=33;unitId=514181};{level=455;advance=33;unitId=523681};{level=455;advance=33;unitId=512493};{level=455;advance=33;unitId=532473};{level=455;advance=33;unitId=543152}>,<{level=455;advance=33;unitId=532822}>,<{level=455;advance=33;unitId=511072};{level=455;advance=33;unitId=520492};{level=455;advance=33;unitId=512822};{level=455;advance=33;unitId=530441};{level=455;advance=33;unitId=543411}>,<{level=455;advance=33;unitId=530431}>,,,,<<7;0;22%>;<8;0;22%>>,{rmb=100;451=50;gold=400000},<<gold;400000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第28关
200029,,,457,battle/scene/bg_grass.jpg,,,,5,1145,1145,1145,457,457,,,,26,,config/portrait/jinglingtouxiang1/img_643_lxlm@.png,,,,,,,<cn>,<{level=457;advance=33;unitId=513003};{level=457;advance=33;unitId=521392};{level=457;advance=33;unitId=513542};{level=457;advance=33;unitId=531301};{level=457;advance=33;unitId=541423}>,<{level=457;advance=33;unitId=533211}>,<{level=457;advance=33;unitId=510861};{level=457;advance=33;unitId=520592};{level=457;advance=33;unitId=513961};{level=457;advance=33;unitId=531241};{level=457;advance=33;unitId=542131}>,<{level=457;advance=33;unitId=534024}>,,,,<<1;0;22%>;<22;0;22%>>,{451=50;452=20;gold=400000},<<gold;400000;1>;<451;50;1>;<452;20;1>>,130,130,130,第29关
200030,,,459,battle/scene/bg_night.jpg,,,,5,1175,1175,1175,459,459,,,,26,,config/portrait/jinglingtouxiang1/img_888_cx@.png,,,,,每个大回合对敌方全体几率添加随机【灼烧】效果;不足3名火系时消除该效果,怪物妖精系精灵攻击时，苍响可额外释放一把【妖精飞剑】,<cn>,<{level=459;advance=33;unitId=514012};{level=459;advance=33;unitId=523651};{level=459;advance=33;unitId=514013};{level=459;advance=33;unitId=534011};{level=459;advance=33;unitId=544111}>,<{level=459;advance=33;unitId=560060}>,<{level=459;advance=33;unitId=511241};{level=459;advance=33;unitId=521231};{level=459;advance=33;unitId=511221};{level=459;advance=33;unitId=532461};{level=459;advance=33;unitId=541271}>,<{level=459;advance=33;unitId=570060}>,,,,<<1;1;32%>;<7;0;32%>;<8;0;32%>>,{501=1;451=50;gold=400000},<<gold;400000;1>;<451;50;1>;<501;1;1>>,130,130,130,第30关
200031,,,461,battle/scene/bg_grass.jpg,,,,3,1205,1205,1205,461,461,,,,26,,config/portrait/jinglingtouxiang1/img_25_xzpkq@.png,,,,,,,<cn>,<{level=461;advance=34;unitId=510463};{level=461;advance=34;unitId=520212};{level=461;advance=34;unitId=510002};{level=461;advance=34;unitId=534203};{level=461;advance=34;unitId=540332}>,<{level=461;advance=34;unitId=537001}>,<{level=461;advance=34;unitId=511891};{level=461;advance=34;unitId=523143};{level=461;advance=34;unitId=510801};{level=461;advance=34;unitId=532472};{level=461;advance=34;unitId=544391}>,<{level=461;advance=34;unitId=530593}>,,,,<<9;1;31%>;<10;1;31%>>,{451=50;452=20;gold=420000},<<gold;420000;1>;<451;50;1>;<452;20;1>>,130,130,130,第31关
200032,,,463,battle/scene/bg_night.jpg,,,,4,1235,1235,1235,463,463,,,,26,,config/portrait/jinglingtouxiang1/img_149_kl@.png,,,,,,,<cn>,<{level=463;advance=34;unitId=512401};{level=463;advance=34;unitId=520023};{level=463;advance=34;unitId=510801};{level=463;advance=34;unitId=530641};{level=463;advance=34;unitId=540242}>,<{level=463;advance=34;unitId=530753}>,<{level=463;advance=34;unitId=510221};{level=463;advance=34;unitId=520801};{level=463;advance=34;unitId=512612};{level=463;advance=34;unitId=530463};{level=463;advance=34;unitId=540001}>,<{level=463;advance=34;unitId=530881}>,,,,<<9;0;22%>;<10;0;22%>;<17;0;22%>>,{502=1;451=50;gold=420000},<<gold;420000;1>;<451;50;1>;<502;1;1>>,130,130,130,第32关
200033,,,465,battle/scene/bg_sd.jpg,,,,5,1265,1265,1265,465,465,,,,26,,config/portrait/jinglingtouxiang1/img_61_wxj@.png,,,,,,,<cn>,<{level=465;advance=34;unitId=514671};{level=465;advance=34;unitId=521893};{level=465;advance=34;unitId=513351};{level=465;advance=34;unitId=531291};{level=465;advance=34;unitId=541293}>,<{level=465;advance=34;unitId=530252}>,<{level=465;advance=34;unitId=510991};{level=465;advance=34;unitId=524431};{level=465;advance=34;unitId=511173};{level=465;advance=34;unitId=534031};{level=465;advance=34;unitId=544583}>,<{level=465;advance=34;unitId=532401}>,,,,<<9;0;22%>;<10;0;22%>>,{rmb=100;451=50;gold=420000},<<gold;420000;1>;<451;50;1>;<rmb;100;1>>,130,130,130,第33关
