变量名,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
9,101056,9,继续向前Ⅲ,繼續向前Ⅲ,,,,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2360;y=340},<<2030;480>;<2090;414>;<2234;368>;<2290;358>;<2360;340>>,8,180,,{8118=5},1,<4>,2,<2;1>,,,,,,,{rmb=50;2027=1}
10,101056,10,过河Ⅰ,過河Ⅰ,,,,小智一行走到了河边，眼见河上木桥单薄，不堪行走，小智打算安排精灵们趟河而过,小智一行走到了河邊，眼見河上木橋單薄，不堪行走，小智打算安排精靈們趟河而過,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2620;y=520},<<2360;340>;<2430;374>;<2504;428>;<2558;478>;<2620;520>>,9,720,,{8118=20},3,<1>,5,<1.8;1>,10,<3;1>,5,<3;1>,{501=1},,{gold=150000;902=10}
11,101056,11,过河Ⅱ,過河Ⅱ,,,,趟过了一条河，却见另一条更宽大些的河，小智和精灵们不得不再次趟河而过,趟過了一條河，卻見另一條更寬大些的河，小智和精靈們不得不再次趟河而過,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=2940;y=290},<<2620;520>;<2740;386>;<2798;342>;<2866;316>;<2940;290>>,10,180,,{8118=5},1,<3>,11,<3>,,,,,,,{gold=150000;967=1}
12,101056,12,空中飞人,空中飛人,,,,小智一行终于离河而去，来到了片绵延的青山脚下，山高耸入云，小智打算让自己“飞”上去,小智一行終於離河而去，來到了片綿延的青山腳下，山高聳入雲，小智打算讓自己“飛”上去,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box1_51send.png,1,1,{x=3068;y=660},<<2940;290>;<2980;434>;<3030;574>;<3068;660>>,11,360,,{8118=10},5,<1.5;1>,11,<10;2>,,,,,,,{rmb=50;20701=10}
13,101056,13,篝火,篝火,,,,在常年树荫遮蔽的群山中可真有点寒冷，小智打算生火，他需要精灵们的帮助,在常年樹蔭遮蔽的群山中可真有點寒冷，小智打算生火，他需要精靈們的幫助,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3300;y=870},<<3068;660>;<3168;786>;<3300;870>>,12,480,,{8118=15},6,<1;2>,9,<60;1>,2,<2;2>,,,,,{gold=300000;850=100}
14,101056,14,探险准备,探險準備,,,,翻越山林，眼前是一处广袤无垠的大漠区域，气候好似突然炎热起来，进入荒漠可要做好准备,翻越山林，眼前是一處廣袤無垠的大漠區域，氣候好似突然炎熱起來，進入荒漠可要做好準備,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=3534;y=732},<<3300;870>;<3398;776>;<3460;750>;<3534;732>>,13,720,,{8118=20},3,<21>,4,<0;2;2>,11,<3>,11,<4;2>,{rmb=50},,{gold=300000;2103=10}
15,101056,15,清理陷阱,清理陷阱,,,,小智一行需要穿过一片齐腰的草丛，但草丛内好像有猎人设置的陷阱，很是危险，需要清理掉,小智一行需要穿過一片齊腰的草叢，但草叢內好像有獵人設置的陷阱，很是危險，需要清理掉,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=3830;y=960},<<3534;732>;<3554;798>;<3588;852>;<3712;926>;<3830;960>>,14,360,,{8118=10},1,<4>,4,<0;1;2>,8,<25;1>,,,,,{rmb=100;talent_point=5}
16,101056,16,继续向前Ⅳ,繼續向前Ⅳ,,,,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=940},<<3830;960>;<3902;970>;<3980;970>;<4048;958>;<4096;946>;<4170;940>>,15,360,,{8118=10},1,<4>,2,<5;1>,2,<10;1>,,,,,{gold=300000;501=3}
17,101056,17,怪圈,怪圈,,,,路边的草像是被碾压过一样，绵延数里，看着很是突兀，小智带着精灵们决定走近些观察,路邊的草像是被碾壓過一樣，綿延數裏，看著很是突兀，小智帶著精靈們決定走近些觀察,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4170;y=550},<<4170;940>;<4308;852>;<4318;768>;<4294;686>;<4272;634>;<4236;590>;<4170;550>>,16,720,,{8118=20},3,<91>,7,<50;2>,9,<60;1>,,,,,{gold=300000;20701=15}
18,101056,18,继续向前Ⅴ,繼續向前Ⅴ,,,,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4480;y=320},<<4170;550>;<4280;430>;<4326;390>;<4398;350>;<4480;320>>,17,180,,{8118=5},2,<1;1>,9,<25;2>,,,,,,,{rmb=100;930=100}
19,101056,19,生命之源,生命之源,,,,小智一行不停的赶路口渴至极，终于看见路边有郁葱的植物了，就用它们获取一些生命之源吧,小智一行不停的趕路口渴至極，終於看見路邊有郁蔥的植物了，就用它們獲取一些生命之源吧,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4630;y=652},<<4480;320>;<4512;426>;<4514;480>;<4534;534>;<4538;570>;<4580;608>;<4630;652>>,18,360,,{8118=10},2,<4;3>,9,<35;1>,,,,,,,{gold=300000;2416=1}
20,101056,20,岔路Ⅰ,岔路Ⅰ,,,,初入大漠，就碰上了岔路，小路细窄，但隐约可见风光不错，小智打算派一个探险小分队查看,初入大漠，就碰上了岔路，小路細窄，但隱約可見風光不錯，小智打算派一個探險小分隊查看,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4920;y=740},<<4630;652>;<4770;696>;<4920;740>>,19,720,,{8118=20},3,<91>,1,<4>,7,<50;1>,9,<80;1>,{502=2},,{gold=300000;529=1000}
21,101056,21,灭火,滅火,,,,烈日灼晒大地，竟然使路边的一颗枯树着起火来，浓烈的黑烟和热气挡住了路，需要即刻灭火,烈日灼曬大地，竟然使路邊的一顆枯樹著起火來，濃烈的黑煙和熱氣擋住了路，需要即刻滅火,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5124;y=520},<<4920;740>;<5000;626>;<5050;558>;<5124;520>>,20,180,,{8118=5},3,<21>,1,<4>,,,,,,,{rmb=100;2241=1}
22,101056,22,寻找Ⅱ,尋找Ⅱ,,,,道路的旁边是一座小山头，大漠的气候将它风化成独特的样子，这里是否住着新的精灵呢？,道路的旁邊是一座小山頭，大漠的氣候將它風化成獨特的樣子，這裏是否住著新的精靈呢？,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5482;y=652},<<5124;520>;<5168;480>;<5236;472>;<5292;488>;<5362;554>;<5408;610>;<5482;652>>,21,360,,{8118=10},1,<4>,10,<3;2>,11,<2;15>,,,,,{gold=300000;20701=15}
23,101056,23,不可通行,不可通行,,,,这里明明是最快前往小镇的地方，但前方却没了道路，小智决定在兵分多路弄清地形,這裏明明是最快前往小鎮的地方，但前方卻沒了道路，小智決定在兵分多路弄清地形,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5554;y=916},<<5482;652>;<5468;716>;<5440;770>;<5464;842>;<5502;880>;<5554;916>>,22,720,,{8118=20},2,<9;1>,2,<10;1>,2,<11;1>,,,,,{gold=300000;5000=100}
24,101056,24,助人为乐,助人為樂,,,,前面似乎能看到道路通向了小镇，在路的旁边，似乎有人在种绿植，小智决定加入帮忙,前面似乎能看到道路通向了小鎮，在路的旁邊，似乎有人在種綠植，小智決定加入幫忙,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5772;y=592},<<5554;916>;<5650;774>;<5696;608>;<5772;592>>,23,180,,{8118=5},4,<0;2;1>,10,<3;2>,,,,,,,{rmb=100;974=1}
25,101056,25,岔路Ⅱ,岔路Ⅱ,,,,这是第2次在大漠发现岔路，根据上一次的经验，小智和精灵们可不想就这么错过“宝藏”,這是第2次在大漠發現岔路，根據上一次的經驗，小智和精靈們可不想就這麼錯過“寶藏”,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5958;y=748},<<5772;592>;<5814;638>;<5852;676>;<5958;748>>,24,720,,{8118=20},1,<4>,2,<8;1>,2,<10;2>,5,<1.5;1>,{501=1},,{gold=300000;4000=500}
26,101056,26,问路Ⅰ,問路Ⅰ,,,,在路边不远处有一栋矮房子，像是有人居住，小智打算带几个精灵前往问路,在路邊不遠處有一棟矮房子，像是有人居住，小智打算帶幾個精靈前往問路,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6318;y=664},<<5958;748>;<6112;672>;<6166;662>;<6226;654>;<6318;664>>,25,180,,{8118=5},6,<2;2>,10,<2;2>,,,,,,,{gold=300000;2152=1}
27,101056,27,问路Ⅱ,問路Ⅱ,,,,按住民的指示，小智一行很快找到了不远处的小镇，夜色已晚，小智打算快速找到住宿的地方,按住民的指示，小智一行很快找到了不遠處的小鎮，夜色已晚，小智打算快速找到住宿的地方,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6180;y=1040},<<6318;664>;<6328;728>;<6266;880>;<6180;1040>>,26,360,,{8118=10},2,<1;1>,4,<0;2;2>,9,<45;1>,,,,,{rmb=100;20701=15}
28,101056,28,岔路Ⅲ,岔路Ⅲ,,,,又又又一条岔路！只是这次岔路看起来延伸至到很远的地方，这路上可需万分小心,又又又一條岔路！只是這次岔路看起來延伸至到很遠的地方，這路上可需萬分小心,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6462;y=1008},<<6180;1040>;<6322;1014>;<6462;1008>>,27,480,,{8118=20},3,<91>,2,<5;2>,9,<65;1>,1,<4>,{521=1},,{gold=300000;604=10}
29,101056,29,整装待发,整裝待發,,,,炎热的天气下，多次行进让许多精灵感到疲惫，或许可以自制一些冰制食物可以缓解暑气？,炎熱的天氣下，多次行進讓許多精靈感到疲憊，或許可以自制一些冰制食物可以緩解暑氣？,,,,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6980;y=980},<<6462;1008>;<6634;996>;<6834;976>;<6980;980>>,28,360,,{8118=10},10,<3;1>,2,<3;1>,2,<6;1>,,,,,{gold=300000;529=2000}
30,101056,30,阳光沙滩,陽光沙灘,,,,路的尽头是一望无际的大海，景色可真是别有天地。小智一行便打算于此小驻，开启度假时光！,路的盡頭是一望無際的大海，景色可真是別有天地。小智一行便打算於此小駐，開啟度假時光！,,,,common/icon/icon_box1.png,,activity/dispatch/box1_51send.png,3,1,{x=7252;y=650},<<6980;980>;<7144;974>;<7264;898>;<7304;796>;<7252;650>>,29,0,,{8118=20},,,,,,,,,,,{rmb=100;521=6}
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101056,2~1,寻找Ⅰ,尋找Ⅰ,,,,小智和精灵们意外发现了一片生意盎然的丛林，训练家的直觉告诉他这里可能会有新精灵,小智和精靈們意外發現了一片生意盎然的叢林，訓練家的直覺告訴他這裏可能會有新精靈,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1024;y=990},<<866;812>;<918;914>;<962;970>;<1024;990>>,2,30,,{8118=2},1,<4>,2,<2;1>,2,<5;1>,,,,,{coin1=800;503=1}
42,101056,4~1,春天的收获,春天的收獲,,,,小路的尽头是一片茂野的田地，远看结了不少野果，恰巧路边有农用器具，小智决定去采摘,小路的盡頭是一片茂野的田地，遠看結了不少野果，恰巧路邊有農用器具，小智決定去采摘,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1632;y=474},<<1478;746>;<1582;690>;<1672;592>;<1672;528>;<1632;474>>,4,180,,{8118=5},9,<25;1>,10,<2;3>,,,,,,,{coin2=800;519=1}
43,101056,4~2,真香,真香,,,,果然是一片弃用已久的田地，虽杂草疯长但也结了不少的果实，足够小智和精灵们饱餐一顿了,果然是一片棄用已久的田地，雖雜草瘋長但也結了不少的果實，足夠小智和精靈們飽餐一頓了,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1322;y=386},<<1632;474>;<1486;432>;<1322;386>>,42,0,,{8118=10},,,,,,,,,,,{coin3=800;520=1}
44,101056,7~1,采摘,采摘,,,,树林的叶子呈针状且多，果实虽好但还需费力采摘，如果有精灵的帮忙那一定很快能吃上,樹林的葉子呈針狀且多，果實雖好但還需費力采摘，如果有精靈的幫忙那一定很快能吃上,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=2204;y=656},<<2392;858>;<2314;750>;<2204;656>>,7,360,,{8118=5},6,<1;1>,9,<40;1>,10,<2;2>,,,,,{gold=200000;522=2}
45,101056,7~2,大快朵颐,大快朵頤,,,,虽然取果实花了不少气力，但是果实甘甜多汁，鲜香解渴，简直让小智和精灵们吃到停不下来,雖然取果實花了不少氣力，但是果實甘甜多汁，鮮香解渴，簡直讓小智和精靈們吃到停不下來,,,,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1888;y=708},<<2204;656>;<2150;654>;<2048;660>;<1982;672>;<1888;708>>,44,0,,{8118=20},,,,,,,,,,,{coin1=800;531=1}
46,101056,10~1,河底的宝藏,河底的寶藏,,,,精灵们在上流的河底发现了大量“宝藏”！但河水湍急，这就需要擅水的精灵们的帮助啦,精靈們在上流的河底發現了大量“寶藏”！但河水湍急，這就需要擅水的精靈們的幫助啦,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_jqr.png,activity/dispatch/box1_51send.png,2,5,{x=2794;y=880},<<2620;520>;<2694;644>;<2750;756>;<2794;880>>,10,480,,{8118=10},3,<21>,7,<10;2>,11,<10>,9,<100;1>,,120,{coin2=800;503=1}
47,101056,14~1,山脚洞穴,山腳洞穴,,,,精灵在山脚处发现一个隐蔽的洞口，洞口很小，仿佛有隐隐光亮，该不会又是宝藏吧？,精靈在山腳處發現一個隱蔽的洞口，洞口很小，仿佛有隱隱光亮，該不會又是寶藏吧？,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_aqm.png,activity/dispatch/box2_51send.png,2,5,{x=3600;y=340},<<3534;732>;<3634;638>;<3662;482>;<3600;340>>,14,600,,{8118=10},3,<11>,1,<4>,2,<2;2>,9,<100;1>,,120,{coin3=800;519=1}
48,101056,17~1,空中的宝藏,空中的寶藏,,,,飞属性的精灵告诉小智，从上面看仿佛画了一个路线图，他们随着路线，找到了一个大宝箱！,飛屬性的精靈告訴小智，從上面看仿佛畫了一個路線圖，他們隨著路線，找到了一個大寶箱！,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,1,{x=3952;y=510},<<4170;550>;<3952;510>>,17,0,,{8118=20},,,,,,,,,,,{gold=200000;520=1}
49,101056,20~1,小型矿洞,小型礦洞,,,,小分队发现这路的尽头是个矿洞，矿洞洞口很大，门口堆了不少大型叉车，看来得费写功夫,小分隊發現這路的盡頭是個礦洞，礦洞洞口很大，門口堆了不少大型叉車，看來得費寫功夫,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=4600;y=1000},<<4920;740>;<4816;836>;<4680;934>;<4600;1000>>,20,720,,{8118=10},1,<4>,9,<80;2>,11,<2;5>,10,<3;4>,,180,{coin1=800;522=2}
50,101056,23~1,意外收获,意外收獲,,,,这条路正在翻修中，并不通往小镇，幸运的是精灵们竟然发现了宝箱，里面有不少东西呢！,這條路正在翻修中，並不通往小鎮，幸運的是精靈們竟然發現了寶箱，裏面有不少東西呢！,,,,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,1,{x=5230;y=980},<<5554;916>;<5384;960>;<5230;980>>,23,0,,{8118=20},,,,,,,,,,,{coin2=800;531=1}
51,101056,25~1,大型矿洞,大型礦洞,,,,果不其然，小分队又发现了个矿洞，这矿洞看着比上次的大了不少，精灵们早已准备就绪,果不其然，小分隊又發現了個礦洞，這礦洞看著比上次的大了不少，精靈們早已準備就緒,,,,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_cz.png,activity/dispatch/box_51send.png,2,3,{x=5964;y=346},<<5958;748>;<5944;538>;<5964;346>>,25,720,,{8118=10},9,<100;2>,10,<3;4>,,,10,<4;1>,,240,{coin3=800;503=2}
52,101056,28~1,行进,行進,,,,眼看行进了大半天，好像并没有新的进展，更不要说奇怪的洞穴了，小分队决定再往前探探,眼看行進了大半天，好像並沒有新的進展，更不要說奇怪的洞穴了，小分隊決定再往前探探,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,1,{x=6628;y=660},<<6462;1008>;<6506;854>;<6544;708>;<6628;660>>,28,180,,{8118=3},1,<4>,9,<30;2>,,,,,,,{gold=200000;519=1}
53,101056,28~2,继续行进,繼續行進,,,,岔路上不说矿洞，就连地坑都没见着1个，分队里有精灵已经力竭，剩余精灵决定继续向前,岔路上不說礦洞，就連地坑都沒見著1個，分隊裏有精靈已經力竭，剩余精靈決定繼續向前,,,,activity/dispatch/icon_zxrw.png,,activity/dispatch/box_51send.png,2,1,{x=6886;y=376},<<6628;660>;<6728;630>;<6774;486>;<6814;422>;<6886;376>>,52,180,,{8118=3},4,<0;1;2>,9,<30;1>,,,,,,,{coin1=800;520=1}
