变量名,huodongID,daySum,themeType,themeName,themeName_tw,tabIndex,tabName,countType,taskType,taskParam,taskSpecialParam,desc,award,costMap,priceShow,buyMax
19,11001,1,0,第1天,第1天,2,通关之路,1,2,10710,,通过第七章10关,{20391=1;gold=18000;12=20},,,
20,11001,1,0,第1天,第1天,2,通关之路,1,2,10810,,通过第八章10关,{20391=1;gold=18000;12=20},,,
21,11001,1,0,第1天,第1天,3,限时折扣,3,72,,,限时折扣,{20391=1;13=10;504=10;gold=30000},{rmb=600},{rmb=6000},
,,,,,,,,,,,,,,,,
22,11001,2,1,第2天,第2天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
23,11001,2,1,第2天,第2天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
24,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{3=3},3个宝可精灵升级至绿+1品质,{20391=1;gold=4000;12=20},,,
25,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{5=2},5个宝可精灵升级至绿色品质,{20391=1;gold=6000;12=20},,,
26,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{5=4},5个宝可精灵升级至绿+2品质,{20391=1;gold=8000;12=20},,,
27,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{3=5},3个宝可精灵升级至蓝色品质,{20391=1;gold=10000;12=20},,,
28,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=5},6个宝可精灵升级至蓝色品质,{20391=1;gold=12000;12=20},,,
29,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=6},6个宝可精灵升级至蓝+1品质,{20391=1;gold=14000;12=20},,,
30,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=7},6个宝可精灵升级至蓝+2品质,{20391=1;gold=16000;12=20},,,
31,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=8},6个宝可精灵升级至蓝+3品质,{20391=1;gold=18000;12=20},,,
32,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=9},6个宝可精灵升级至紫色品质,{20391=1;gold=20000;12=20},,,
33,11001,2,1,第2天,第2天,1,精灵进阶,1,9,,{6=10},6个宝可精灵升级至紫+1品质,{20391=1;gold=10000;12=20},,,
34,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{2=3},获得2个3星宝可精灵,{20391=1;gold=12000;12=20},,,
35,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{4=3},获得4个3星宝可精灵,{20391=1;gold=4000;12=20},,,
36,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{6=3},获得6个3星宝可精灵,{20391=1;gold=6000;12=20},,,
37,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{2=4},获得2个4星宝可精灵,{20391=1;gold=8000;12=20},,,
38,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{4=4},获得4个4星宝可精灵,{20391=1;gold=10000;12=20},,,
39,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{6=4},获得6个4星宝可精灵,{20391=1;gold=12000;12=20},,,
40,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{1=5},获得1个5星宝可精灵,{20391=1;gold=14000;12=20},,,
41,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{3=5},获得3个5星宝可精灵,{20391=1;gold=8000;12=20},,,
42,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{2=6},获得2个6星宝可精灵,{20391=1;gold=10000;12=20},,,
43,11001,2,1,第2天,第2天,2,精灵升星,1,10,,{1=7},获得1个7星宝可精灵,{20391=1;gold=12000;12=20},,,
44,11001,2,1,第2天,第2天,3,限时折扣,3,72,,,限时折扣,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
45,11001,3,2,第3天,第3天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
46,11001,3,2,第3天,第3天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
47,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{10=2},10件装备升级至绿色品质,{20391=1;gold=4000;12=20},,,
48,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=2},20件装备升级至绿色品质,{20391=1;gold=6000;12=20},,,
49,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{10=3},10件装备升级至绿色+1品质,{20391=1;gold=8000;12=20},,,
50,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=3},20件装备升级至绿色+1品质,{20391=1;gold=10000;12=20},,,
51,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{10=4},10件装备升级至绿色+2品质,{20391=1;gold=12000;12=20},,,
52,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=4},20件装备升级至绿色+2品质,{20391=1;gold=14000;12=20},,,
53,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{10=5},10件装备升级至蓝色品质,{20391=1;gold=16000;12=20},,,
54,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=5},20件装备升级至蓝色品质,{20391=1;gold=18000;12=20},,,
55,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=6},20件装备升级至蓝色+1品质,{20391=1;gold=20000;12=20},,,
56,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=7},20件装备升级至蓝色+2品质,{20391=1;gold=10000;12=20},,,
57,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=8},20件装备升级至蓝色+3品质,{20391=1;gold=4000;12=20},,,
58,11001,3,2,第3天,第3天,1,装备进阶,1,11,,{20=9},20件装备升级至紫色品质,{20391=1;gold=6000;12=20},,,
59,11001,3,2,第3天,第3天,2,装备升星,1,12,,{3=1},3件装备升级到1星,{20391=1;gold=8000;12=20},,,
60,11001,3,2,第3天,第3天,2,装备升星,1,12,,{10=1},10件装备升级到1星,{20391=1;gold=10000;12=20},,,
61,11001,3,2,第3天,第3天,2,装备升星,1,12,,{20=1},20件装备升级到1星,{20391=1;gold=12000;12=20},,,
62,11001,3,2,第3天,第3天,2,装备升星,1,12,,{3=2},3件装备升级到2星,{20391=1;gold=14000;12=20},,,
63,11001,3,2,第3天,第3天,2,装备升星,1,12,,{10=2},10件装备升级到2星,{20391=1;gold=16000;12=20},,,
64,11001,3,2,第3天,第3天,2,装备升星,1,12,,{20=2},20件装备升级到2星,{20391=1;gold=18000;12=20},,,
65,11001,3,2,第3天,第3天,2,装备升星,1,12,,{3=3},3件装备升级到3星,{20391=1;gold=20000;12=20},,,
66,11001,3,2,第3天,第3天,2,装备升星,1,12,,{10=3},10件装备升级到3星,{20391=1;gold=10000;12=20},,,
67,11001,3,2,第3天,第3天,2,装备升星,1,12,,{20=3},20件装备升级到3星,{20391=1;gold=10000;12=20},,,
68,11001,3,2,第3天,第3天,2,装备升星,1,12,,{20=4},20件装备升级到4星,{20391=1;gold=10000;12=20},,,
69,11001,3,2,第3天,第3天,3,限时折扣,3,72,,,限时折扣,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
70,11001,4,3,第4天,第4天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
71,11001,4,3,第4天,第4天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
72,11001,4,3,第4天,第4天,1,竞技积分,1,43,6,,获得积分6,{20391=1;gold=4000;12=20},,,
73,11001,4,3,第4天,第4天,1,竞技积分,1,43,12,,获得积分12,{20391=1;gold=6000;12=20},,,
74,11001,4,3,第4天,第4天,1,竞技积分,1,43,24,,获得积分24,{20391=1;gold=8000;12=20},,,
75,11001,4,3,第4天,第4天,1,竞技积分,1,43,36,,获得积分36,{20391=1;gold=10000;12=20},,,
76,11001,4,3,第4天,第4天,1,竞技积分,1,43,48,,获得积分48,{20391=1;gold=12000;12=20},,,
77,11001,4,3,第4天,第4天,1,竞技积分,1,43,60,,获得积分60,{20391=1;gold=14000;12=20},,,
78,11001,4,3,第4天,第4天,1,竞技积分,1,43,80,,获得积分80,{20391=1;gold=4000;12=20},,,
79,11001,4,3,第4天,第4天,1,竞技积分,1,43,100,,获得积分100,{20391=1;gold=6000;12=20},,,
80,11001,4,3,第4天,第4天,2,竞技排名,1,44,3000,,获得排名3000,{20391=1;gold=8000;12=20},,,
81,11001,4,3,第4天,第4天,2,竞技排名,1,44,1000,,获得排名1000,{20391=1;gold=10000;12=20},,,
82,11001,4,3,第4天,第4天,2,竞技排名,1,44,300,,获得排名300,{20391=1;gold=6000;12=20},,,
83,11001,4,3,第4天,第4天,2,竞技排名,1,44,100,,获得排名100,{20391=1;gold=8000;12=20},,,
84,11001,4,3,第4天,第4天,2,竞技排名,1,44,30,,获得排名30,{20391=1;gold=10000;12=20},,,
85,11001,4,3,第4天,第4天,2,竞技排名,1,44,10,,获得排名10,{20391=1;gold=6000;12=20},,,
86,11001,4,3,第4天,第4天,2,竞技排名,1,44,3,,获得排名3,{20391=1;gold=8000;12=20},,,
87,11001,4,3,第4天,第4天,2,竞技排名,1,44,1,,获得排名1,{20391=1;gold=6000;12=20},,,
88,11001,4,3,第4天,第4天,3,限时折扣,3,72,,,限时折扣,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
89,11001,5,4,第5天,第5天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
90,11001,5,4,第5天,第5天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
91,11001,5,4,第5天,第5天,1,玩家战力,1,6,3000,,战斗力达到3000,{20391=1;gold=4000;12=20},,,
92,11001,5,4,第5天,第5天,1,玩家战力,1,6,6000,,战斗力达到6000,{20391=1;gold=6000;12=20},,,
93,11001,5,4,第5天,第5天,1,玩家战力,1,6,10000,,战斗力达到10000,{20391=1;gold=8000;12=20},,,
94,11001,5,4,第5天,第5天,1,玩家战力,1,6,15000,,战斗力达到15000,{20391=1;gold=10000;12=20},,,
95,11001,5,4,第5天,第5天,1,玩家战力,1,6,20000,,战斗力达到20000,{20391=1;gold=6000;12=20},,,
96,11001,5,4,第5天,第5天,1,玩家战力,1,6,30000,,战斗力达到30000,{20391=1;gold=8000;12=20},,,
97,11001,5,4,第5天,第5天,1,玩家战力,1,6,50000,,战斗力达到50000,{20391=1;gold=10000;12=20},,,
98,11001,5,4,第5天,第5天,1,玩家战力,1,6,100000,,战斗力达到100000,{20391=1;gold=6000;12=20},,,
99,11001,5,4,第5天,第5天,2,消费钻石,1,25,6,,钻石消耗6,{20391=1;gold=8000;12=20},,,
100,11001,5,4,第5天,第5天,2,消费钻石,1,25,12,,钻石消耗12,{20391=1;gold=10000;12=20},,,
101,11001,5,4,第5天,第5天,2,消费钻石,1,25,20,,钻石消耗20,{20391=1;gold=6000;12=20},,,
102,11001,5,4,第5天,第5天,2,消费钻石,1,25,30,,钻石消耗30,{20391=1;gold=8000;12=20},,,
103,11001,5,4,第5天,第5天,2,消费钻石,1,25,40,,钻石消耗40,{20391=1;gold=8000;12=20},,,
104,11001,5,4,第5天,第5天,2,消费钻石,1,25,50,,钻石消耗50,{20391=1;gold=8000;12=20},,,
105,11001,5,4,第5天,第5天,3,限时折扣,3,72,,,限时折扣,{20391=1;5007=2;5008=2;5009=2},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
106,11001,6,5,第6天,第6天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
107,11001,6,5,第6天,第6天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
108,11001,6,5,第6天,第6天,1,副本挑战,1,29,50,,普通副本挑战50次,{20391=1;gold=8000;12=20},,,
109,11001,6,5,第6天,第6天,1,副本挑战,1,29,100,,普通副本挑战100次,{20391=1;gold=8000;12=20},,,
110,11001,6,5,第6天,第6天,1,副本挑战,1,29,200,,普通副本挑战200次,{20391=1;gold=8000;12=20},,,
111,11001,6,5,第6天,第6天,1,副本挑战,1,29,300,,普通副本挑战300次,{20391=1;gold=8000;12=20},,,
112,11001,6,5,第6天,第6天,1,副本挑战,1,29,450,,普通副本挑战450次,{20391=1;gold=8000;12=20},,,
113,11001,6,5,第6天,第6天,1,副本挑战,1,29,600,,普通副本挑战600次,{20391=1;gold=8000;12=20},,,
114,11001,6,5,第6天,第6天,1,副本挑战,1,29,750,,普通副本挑战750次,{20391=1;gold=8000;12=20},,,
115,11001,6,5,第6天,第6天,1,副本挑战,1,29,900,,普通副本挑战900次,{20391=1;gold=8000;12=20},,,
116,11001,6,5,第6天,第6天,2,困难挑战,1,30,20,,困难副本挑战20次,{20391=1;gold=8000;12=20},,,
117,11001,6,5,第6天,第6天,2,困难挑战,1,30,40,,困难副本挑战40次,{20391=1;gold=8000;12=20},,,
118,11001,6,5,第6天,第6天,2,困难挑战,1,30,60,,困难副本挑战60次,{20391=1;gold=8000;12=20},,,
119,11001,6,5,第6天,第6天,2,困难挑战,1,30,90,,困难副本挑战90次,{20391=1;gold=8000;12=20},,,
120,11001,6,5,第6天,第6天,2,困难挑战,1,30,120,,困难副本挑战120次,{20391=1;gold=8000;12=20},,,
121,11001,6,5,第6天,第6天,2,困难挑战,1,30,150,,困难副本挑战150次,{20391=1;gold=8000;12=20},,,
122,11001,6,5,第6天,第6天,2,困难挑战,1,30,200,,困难副本挑战200次,{20391=1;gold=8000;12=20},,,
123,11001,6,5,第6天,第6天,3,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
124,11001,7,6,第7天,第7天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
125,11001,7,6,第7天,第7天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
126,11001,7,6,第7天,第7天,1,拥有精灵,1,3,3,,拥有精灵数量3只,{20391=1;gold=8000;12=20},,,
127,11001,7,6,第7天,第7天,1,拥有精灵,1,3,4,,拥有精灵数量4只,{20391=1;gold=8000;12=20},,,
128,11001,7,6,第7天,第7天,1,拥有精灵,1,3,5,,拥有精灵数量5只,{20391=1;gold=8000;12=20},,,
129,11001,7,6,第7天,第7天,1,拥有精灵,1,3,6,,拥有精灵数量6只,{20391=1;gold=8000;12=20},,,
130,11001,7,6,第7天,第7天,1,拥有精灵,1,3,7,,拥有精灵数量7只,{20391=1;gold=8000;12=20},,,
131,11001,7,6,第7天,第7天,1,拥有精灵,1,3,8,,拥有精灵数量8只,{20391=1;gold=8000;12=20},,,
132,11001,7,6,第7天,第7天,1,拥有精灵,1,3,9,,拥有精灵数量9只,{20391=1;gold=8000;12=20},,,
133,11001,7,6,第7天,第7天,1,拥有精灵,1,3,10,,拥有精灵数量10只,{20391=1;gold=8000;12=20},,,
134,11001,7,6,第7天,第7天,2,购买体力,1,30,5,,购买体力5次,{20391=1;gold=8000;12=20},,,
135,11001,7,6,第7天,第7天,2,购买体力,1,30,10,,购买体力10次,{20391=1;gold=8000;12=20},,,
136,11001,7,6,第7天,第7天,2,购买体力,1,30,15,,购买体力15次,{20391=1;gold=8000;12=20},,,
137,11001,7,6,第7天,第7天,2,购买体力,1,30,20,,购买体力20次,{20391=1;gold=8000;12=20},,,
138,11001,7,6,第7天,第7天,2,购买体力,1,30,25,,购买体力25次,{20391=1;gold=8000;12=20},,,
139,11001,7,6,第7天,第7天,2,购买体力,1,30,30,,购买体力30次,{20391=1;gold=8000;12=20},,,
140,11001,7,6,第7天,第7天,2,购买体力,1,30,35,,购买体力35次,{20391=1;gold=8000;12=20},,,
141,11001,7,6,第7天,第7天,3,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
142,11001,8,7,第8天,第8天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
143,11001,8,7,第8天,第8天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
144,11001,8,7,第8天,第8天,1,购买金币,1,18,3,,购买金币3次,{20391=1;gold=8000;12=20},,,
145,11001,8,7,第8天,第8天,1,购买金币,1,18,4,,购买金币4次,{20391=1;gold=8000;12=20},,,
146,11001,8,7,第8天,第8天,1,购买金币,1,18,5,,购买金币5次,{20391=1;gold=8000;12=20},,,
147,11001,8,7,第8天,第8天,1,购买金币,1,18,6,,购买金币6次,{20391=1;gold=8000;12=20},,,
148,11001,8,7,第8天,第8天,1,购买金币,1,18,7,,购买金币7次,{20391=1;gold=8000;12=20},,,
149,11001,8,7,第8天,第8天,1,购买金币,1,18,8,,购买金币8次,{20391=1;gold=8000;12=20},,,
150,11001,8,7,第8天,第8天,1,购买金币,1,18,9,,购买金币9次,{20391=1;gold=8000;12=20},,,
151,11001,8,7,第8天,第8天,1,购买金币,1,18,10,,购买金币10次,{20391=1;gold=8000;12=20},,,
152,11001,8,7,第8天,第8天,2,消耗金币,1,20,50000,,消耗金币50000,{20391=1;gold=8000;12=20},,,
153,11001,8,7,第8天,第8天,2,消耗金币,1,20,100000,,消耗金币100000,{20391=1;gold=8000;12=20},,,
154,11001,8,7,第8天,第8天,2,消耗金币,1,20,150000,,消耗金币150000,{20391=1;gold=8000;12=20},,,
155,11001,8,7,第8天,第8天,2,消耗金币,1,20,200000,,消耗金币200000,{20391=1;gold=8000;12=20},,,
156,11001,8,7,第8天,第8天,2,消耗金币,1,20,250000,,消耗金币250000,{20391=1;gold=8000;12=20},,,
157,11001,8,7,第8天,第8天,2,消耗金币,1,20,300000,,消耗金币300000,{20391=1;gold=8000;12=20},,,
158,11001,8,7,第8天,第8天,2,消耗金币,1,20,35,,消耗金币350000,{20391=1;gold=8000;12=20},,,
159,11001,8,7,第8天,第8天,3,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,
160,11001,9,8,第9天,第9天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
161,11001,9,8,第9天,第9天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
162,11001,9,8,第9天,第9天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
163,11001,10,9,第10天,第10天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
164,11001,10,9,第10天,第10天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
165,11001,10,9,第10天,第10天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
166,11001,11,10,第11天,第11天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
167,11001,11,10,第11天,第11天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
168,11001,11,10,第11天,第11天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
169,11001,12,11,第12天,第12天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
170,11001,12,11,第12天,第12天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
171,11001,12,11,第12天,第12天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
172,11001,13,12,第13天,第13天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
173,11001,13,12,第13天,第13天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
174,11001,13,12,第13天,第13天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
175,11001,14,13,第14天,第14天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
176,11001,14,13,第14天,第14天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
177,11001,14,13,第14天,第14天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
178,11001,15,14,第15天,第15天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
179,11001,15,14,第15天,第15天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
180,11001,15,14,第15天,第15天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
181,11001,16,15,第16天,第16天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
182,11001,16,15,第16天,第16天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
183,11001,16,15,第16天,第16天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
184,11001,17,16,第17天,第17天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
185,11001,17,16,第17天,第17天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
186,11001,17,16,第17天,第17天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
187,11001,18,17,第18天,第18天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
188,11001,18,17,第18天,第18天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
189,11001,18,17,第18天,第18天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
190,11001,19,18,第19天,第19天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
191,11001,19,18,第19天,第19天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
192,11001,19,18,第19天,第19天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
193,11001,20,19,第20天,第20天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
194,11001,20,19,第20天,第20天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
195,11001,20,19,第20天,第20天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
196,11001,21,20,第21天,第21天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
197,11001,21,20,第21天,第21天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
198,11001,21,20,第21天,第21天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
199,11001,22,21,第22天,第22天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
200,11001,22,21,第22天,第22天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
201,11001,22,21,第22天,第22天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
202,11001,23,22,第23天,第23天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
203,11001,23,22,第23天,第23天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
204,11001,23,22,第23天,第23天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
205,11001,24,23,第24天,第24天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
206,11001,24,23,第24天,第24天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
207,11001,24,23,第24天,第24天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
208,11001,25,24,第25天,第25天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
209,11001,25,24,第25天,第25天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
210,11001,25,24,第25天,第25天,1,限时折扣,3,72,,,限时折扣,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
211,11001,26,25,第26天,第26天,0,每日福利,1,15,1,,每日登录豪礼,{20391=1;13=10;504=10;gold=30000},,,
212,11001,26,25,第26天,第26天,0,每日福利,2,22,300,,当日累积充值300钻石,{20391=1;13=10;504=10;gold=30000},,,
