变量名,huodongID,_beizhu,titleName,titleName_tw,titleName_en,titleName_kr,name,name_tw,name_en,name_kr,targetType,targetArg,item,limit,rechargeID,rmbCost,discount,icon
23,1001,5级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,5级神兽掌握者,5級神獸掌握者,,,3,<16;19>,{card={id=9003};rmb=6480;19=100;604=100;452=300},1,110,,100,activity/exclusive_limit/box_zsss.png
24,1001,6级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,6级神兽掌握者,6級神獸掌握者,,,3,<20;30>,{card={id=9003};rmb=6480;19=100;604=100;452=300},1,111,,100,activity/exclusive_limit/box_zsss.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,1002,新手礼包,专属新人礼包,專屬新人禮包,,,新手礼包,新手禮包,,,1,<1;9>,{11=3;13=1;gold=300000;rmb=5000;12=5},1,,1000,100,activity/exclusive_limit/box_zsdj.png
26,1002,10+礼包,专属等级礼包,專屬等級禮包,,,10+礼包,10+禮包,,,1,<10;19>,{13=3;11=1;gold=300000;rmb=5000;12=5},1,102,,100,activity/exclusive_limit/box_zsdj.png
27,1002,20+礼包,专属等级礼包,專屬等級禮包,,,20+礼包,20+禮包,,,1,<20;29>,{gold=300000;rmb=5000;12=5},1,,3000,100,activity/exclusive_limit/box_zsdj.png
28,1002,30+礼包,专属等级礼包,專屬等級禮包,,,30+礼包,30+禮包,,,1,<30;39>,{rmb=300000;gold=5000;12=5},1,104,,100,activity/exclusive_limit/box_zsdj.png
29,1002,40+礼包,专属等级礼包,專屬等級禮包,,,40+礼包,40+禮包,,,1,<40;49>,{gold=10004},1,105,,100,activity/exclusive_limit/box_zsdj.png
30,1002,50+礼包,专属等级礼包,專屬等級禮包,,,50+礼包,50+禮包,,,1,<50;59>,{11=3;13=1;gold=300000;rmb=5000;12=5},1,106,,100,activity/exclusive_limit/box_zsdj.png
31,1002,60+礼包,专属等级礼包,專屬等級禮包,,,60+礼包,60+禮包,,,1,<60;69>,{13=3;11=1;gold=300000;rmb=5000;12=5},1,107,,100,activity/exclusive_limit/box_zsdj.png
32,1002,70+礼包,专属等级礼包,專屬等級禮包,,,70+礼包,70+禮包,,,1,<70;79>,{gold=300000;rmb=5000;12=5},1,108,,100,activity/exclusive_limit/box_zsdj.png
33,1002,80+礼包,专属等级礼包,專屬等級禮包,,,80+礼包,80+禮包,,,1,<80;89>,{rmb=300000;gold=5000;12=5},1,109,,100,activity/exclusive_limit/box_zsdj.png
34,1002,90+礼包,专属等级礼包,專屬等級禮包,,,90+礼包,90+禮包,,,1,<90;99>,{gold=10004},1,110,,100,activity/exclusive_limit/box_zsdj.png
35,1002,100+礼包,专属等级礼包,專屬等級禮包,,,100+礼包,100+禮包,,,1,<100;103>,{11=3;13=1;gold=300000;rmb=5000;12=5},1,111,,100,activity/exclusive_limit/box_zsdj.png
36,1002,满级礼包,专属满级礼包,專屬滿級禮包,,,满级礼包,滿級禮包,,,1,<104;104>,{13=3;11=1;gold=300000;rmb=5000;12=5},1,112,,100,activity/exclusive_limit/box_zsdj.png
37,1002,青铜vip之星,专属贵族礼包,專屬貴族禮包,,,青铜vip之星,青銅vip之星,,,2,<1;3>,{card={id=9002};rmb=3280;519=10;942=1},1,,2000,100,activity/exclusive_limit/box_zsvip.png
38,1002,白银vip之星,专属贵族礼包,專屬貴族禮包,,,白银vip之星,白銀vip之星,,,2,<4;6>,{card={id=9002};rmb=3280;519=10;942=1},1,108,,100,activity/exclusive_limit/box_zsvip.png
39,1002,黄金vip之星,专属贵族礼包,專屬貴族禮包,,,黄金vip之星,黃金vip之星,,,2,<7;9>,{card={id=9002};rmb=3280;519=10;942=1},1,,4000,100,activity/exclusive_limit/box_zsvip.png
40,1002,白金vip之星,专属贵族礼包,專屬貴族禮包,,,白金vip之星,白金vip之星,,,2,<10;12>,{card={id=9002};rmb=3280;519=10;942=1},1,110,,100,activity/exclusive_limit/box_zsvip.png
41,1002,钻石vip之星,专属贵族礼包,專屬貴族禮包,,,钻石vip之星,鑽石vip之星,,,2,<13;15>,{card={id=9002};rmb=3280;519=10;942=1},1,111,,100,activity/exclusive_limit/box_zsvip.png
42,1002,王者vip之星,专属贵族礼包,專屬貴族禮包,,,王者vip之星,王者vip之星,,,2,<16;18>,{card={id=9002};rmb=3280;519=10;942=1},1,112,,100,activity/exclusive_limit/box_zsvip.png
43,1002,1级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,1级神兽掌握者,1級神獸掌握者,,,3,<1;4>,{card={id=9003};rmb=1280;19=10;604=10;},1,,3000,100,activity/exclusive_limit/box_zsss.png
44,1002,2级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,2级神兽掌握者,2級神獸掌握者,,,3,<5;8>,{card={id=9003};rmb=3280;19=50;604=50;452=100},1,107,,100,activity/exclusive_limit/box_zsss.png
45,1002,3级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,3级神兽掌握者,3級神獸掌握者,,,3,<9;12>,{card={id=9003};rmb=4880;19=100;604=100;452=200},1,,6000,100,activity/exclusive_limit/box_zsss.png
46,1002,4级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,4级神兽掌握者,4級神獸掌握者,,,3,<13;15>,{card={id=9003};rmb=6480;19=100;604=100;452=300},1,109,,100,activity/exclusive_limit/box_zsss.png
47,1002,5级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,5级神兽掌握者,5級神獸掌握者,,,3,<16;19>,{card={id=9003};rmb=6480;19=100;604=100;452=300},1,110,,100,activity/exclusive_limit/box_zsss.png
48,1002,6级神兽掌握者,专属神兽礼包,專屬神獸禮包,,,6级神兽掌握者,6級神獸掌握者,,,3,<20;30>,{card={id=9003};rmb=6480;19=100;604=100;452=300},1,111,,100,activity/exclusive_limit/box_zsss.png
