变量名,huodongID,_beizhu,name,name_tw,name_en,name_vn,name_kr,res,item,rechargeID,limitType,limitNum
201,1002,回归成长礼包-6元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
202,1002,金币礼包-30元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
203,1002,回归碎片礼包-98元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
204,1002,抽卡礼包-198元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
205,1002,紫色礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
206,1002,回归升星礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
,,,,,,,,,,,,
301,1003,回归成长礼包-6元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
302,1003,金币礼包-30元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
303,1003,回归碎片礼包-98元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
304,1003,抽卡礼包-198元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
305,1003,紫色礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
306,1003,回归升星礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
,,,,,,,,,,,,
401,1004,回归成长礼包-6元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
402,1004,金币礼包-30元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
403,1004,回归碎片礼包-98元-限购一次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
404,1004,抽卡礼包-198元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
405,1004,紫色礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
406,1004,回归升星礼包-328元-每周限购1次,回归礼包,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
