变量名,huodongID,daySum,desc,desc_tw,desc_en,desc_vn,desc_kr,award
1345,13003,5,对应天数第5天,對應天數第5天,404,S? Ngày T??ng ?ng Ngày 5,?? ?? 5? ?,{6372=3;6373=3;6374=3;6375=1}
1346,13003,6,对应天数第6天,對應天數第6天,404,S? Ngày T??ng ?ng Ngày 6,?? ?? 6? ?,{6372=3;6373=3;6374=3;6375=1}
1347,13003,7,对应天数第7天,對應天數第7天,404,S? Ngày T??ng ?ng Ngày 7,?? ?? 7? ?,{6372=3;6373=3;6374=3;6375=1}
1348,13003,8,对应天数第8天,對應天數第8天,404,S? Ngày T??ng ?ng Ngày 8,?? ?? 8? ?,{6372=3;6373=3;6374=3;6375=1}
1349,13003,9,对应天数第9天,對應天數第9天,404,S? Ngày T??ng ?ng Ngày 9,?? ?? 9? ?,{6372=3;6373=3;6374=3;6375=1}
1350,13003,10,对应天数第10天,對應天數第10天,404,S? Ngày T??ng ?ng Ngày 10,?? ?? 10? ?,{6372=3;6373=3;6374=3;6375=1}
1351,13003,11,对应天数第11天,對應天數第11天,404,S? Ngày T??ng ?ng Ngày 11,?? ?? 11? ?,{6372=3;6373=3;6374=3;6375=1}
1352,13003,12,对应天数第12天,對應天數第12天,404,S? Ngày T??ng ?ng Ngày 12,?? ?? 12? ?,{6372=3;6373=3;6374=3;6375=1}
1353,13003,13,对应天数第13天,對應天數第13天,404,S? Ngày T??ng ?ng Ngày 13,?? ?? 13? ?,{6372=3;6373=3;6374=3;6375=1}
1354,13003,14,对应天数第14天,對應天數第14天,404,S? Ngày T??ng ?ng Ngày 14,?? ?? 14? ?,{6372=3;6373=3;6374=3;6375=1}
1355,13003,15,对应天数第15天,對應天數第15天,404,S? Ngày T??ng ?ng Ngày 15,?? ?? 15? ?,{6372=3;6373=3;6374=3;6375=1}
1356,13003,16,对应天数第16天,對應天數第16天,404,S? Ngày T??ng ?ng Ngày 16,?? ?? 16? ?,{6372=3;6373=3;6374=3;6375=1}
,,,,,,,,
10181,10012,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=188;520=2;gold=100000;2301=1}
10182,10012,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=188;503=3;gold=100000;13=10}
10183,10012,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=188;519=2;gold=100000;2009=1}
10184,10012,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10185,10012,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=188;19=5;gold=100000;13=20}
10186,10012,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=188;6050=1;gold=100000;13=20}
10187,10012,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;501=2;gold=100000;2401=1}
10188,10012,8,累计登录8天,累計登錄8天,404,Tích lu? ??ng nh?p 8 ngày,?? 8? ???,{card={id=9002};rmb=188;gold=100000;13=25}
10189,10012,9,累计登录9天,累計登錄9天,404,Tích lu? ??ng nh?p 9 ngày,?? 9? ???,{rmb=188;502=10;gold=100000;13=30}
,,,,,,,,
10191,10013,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=100;520=2;gold=100000;2313=1}
10192,10013,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=100;503=3;gold=100000;13=10}
10193,10013,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=100;519=2;gold=100000;13=15}
10194,10013,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10195,10013,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=100;19=5;gold=100000;13=20}
10196,10013,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=100;501=2;gold=100000;13=20}
10197,10013,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;521=3;gold=100000;13=20}
,,,,,,,,
10201,2152,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{6381=3;6385=1;6386=1}
10202,2152,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{6381=3;6387=1;6388=1}
10203,2152,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{6381=3;6389=1;6390=1}
10204,2152,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{6381=3;6385=1;6386=1}
10205,2152,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{6381=3;6387=1;6388=1}
10206,2152,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{6381=3;6389=1;6390=1}
10207,2152,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{6381=3;6385=1;6386=1}
,,,,,,,,
10211,10014,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{gold=100000000;521=88;6071=500;3134=100}
10212,10014,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{gold=200000000;521=188;2153=1;8160=1}
10213,10014,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{gold=300000000;500=188;7325=5;994=5}
10214,10014,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{talent_point=188;19=188;500=288;172=200}
10215,10014,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{124=2888;851=2888;702=5;card={id=5481}}
10216,10014,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{6071=1000;2153=2;703=3;172=100}
10217,10014,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{521=288;500=288;133=588;card={id=7231}}
,,,,,,,,
10221,10015,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=100;520=2;gold=100000;2320=1}
10222,10015,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=100;503=3;gold=100000;13=10}
10223,10015,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=100;519=2;gold=100000;13=15}
10224,10015,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;2021=1}
10225,10015,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=100;19=5;gold=100000;13=20}
10226,10015,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=100;501=2;gold=100000;13=20}
10227,10015,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;502=6;gold=100000;2410=1}
,,,,,,,,
10230,10016,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=188;520=2;gold=100000;2321=1}
10231,10016,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=188;503=3;gold=100000;13=10}
10232,10016,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=188;519=2;gold=100000;2023=1}
10233,10016,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10234,10016,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=188;19=5;gold=100000;13=20}
10235,10016,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=188;6050=1;gold=100000;13=20}
10236,10016,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;501=2;gold=100000;2412=1}
10237,10016,8,累计登录8天,累計登錄8天,404,Tích lu? ??ng nh?p 8 ngày,?? 8? ???,{card={id=9002};rmb=188;gold=100000;13=25}
10238,10016,9,累计登录9天,累計登錄9天,404,Tích lu? ??ng nh?p 9 ngày,?? 9? ???,{rmb=188;502=10;gold=100000;13=30}
,,,,,,,,
10240,10017,1,周年庆登录大礼领一次,周年慶登錄大禮領一次,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{gold=3880000;rmb=388;502=10;519=10}
,,,,,,,,
10250,10018,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=100;520=2;gold=100000;2325=1}
10251,10018,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=100;503=3;gold=100000;13=10}
10252,10018,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=100;519=2;gold=100000;13=15}
10253,10018,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10254,10018,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=100;19=5;gold=100000;13=20}
10255,10018,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=100;501=2;gold=100000;13=20}
10256,10018,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;502=6;gold=100000;13=20}
,,,,,,,,
10260,10019,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=100;520=2;gold=100000;2328=1}
10261,10019,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=100;503=3;gold=100000;13=10}
10262,10019,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=100;519=2;gold=100000;13=15}
10263,10019,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10264,10019,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=100;19=5;gold=100000;13=20}
10265,10019,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=100;501=2;gold=100000;13=20}
10266,10019,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;521=3;gold=100000;13=20}
,,,,,,,,
,周年庆v2-登录礼,,,,,,,
10301,108006,1,累计登录1天,累計登錄1天,404,Tích lu? ??ng nh?p 1 ngày,?? 1? ???,{rmb=100;520=2;gold=100000;2025=1}
10302,108006,2,累计登录2天,累計登錄2天,404,Tích lu? ??ng nh?p 2 ngày,?? 2? ???,{rmb=100;503=3;gold=100000;13=10}
10303,108006,3,累计登录3天,累計登錄3天,404,Tích lu? ??ng nh?p 3 ngày,?? 3? ???,{rmb=100;519=2;gold=100000;13=15}
10304,108006,4,累计登录4天,累計登錄4天,404,Tích lu? ??ng nh?p 4 ngày,?? 4? ???,{rmb=188;502=3;gold=100000;13=15}
10305,108006,5,累计登录5天,累計登錄5天,404,Tích lu? ??ng nh?p 5 ngày,?? 5? ???,{rmb=100;19=5;gold=100000;13=20}
10306,108006,6,累计登录6天,累計登錄6天,404,Tích lu? ??ng nh?p 6 ngày,?? 6? ???,{rmb=100;501=2;gold=100000;13=20}
10307,108006,7,累计登录7天,累計登錄7天,404,Tích lu? ??ng nh?p 7 ngày,?? 7? ???,{rmb=188;502=6;gold=100000;2181=1}
