变量名,_beizhu,team1,team2,focus,point,startDate,startTime,betStartDate,betStartTime,betEndDate,betEndTime,awardDate,awardTime,bet,odds,oddsShow,betWDLAwards,betWrong,betScoreAwards,huodongID
7,B组第2场,7,8,0,0:1,20260411,2400,20260411,800,20260411,2300,20260412,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
8,F组第2场,23,24,0,3:0,20260411,2400,20260411,800,20260411,2300,20260412,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第3天 4月12日（C组+G组）,,,,,,,,,,,,,,,,,,,
9,C组第1场,9,10,1,1:0,20260412,2100,20260412,800,20260412,2000,20260412,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
10,G组第1场,25,26,1,1:1,20260412,2100,20260412,800,20260412,2000,20260412,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
11,C组第2场,11,12,0,2:1,20260412,2400,20260412,800,20260412,2300,20260413,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
12,G组第2场,27,28,0,0:2,20260412,2400,20260412,800,20260412,2300,20260413,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第4天 4月13日（D组+H组）,,,,,,,,,,,,,,,,,,,
13,D组第1场,13,14,1,0:1,20260413,2100,20260413,800,20260413,2000,20260413,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
14,H组第1场,29,30,1,2:0,20260413,2100,20260413,800,20260413,2000,20260413,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
15,D组第2场,15,16,0,1:0,20260413,2400,20260413,800,20260413,2300,20260414,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
16,H组第2场,31,32,0,1:1,20260413,2400,20260413,800,20260413,2300,20260414,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第5天 4月14日（A组+E组 第2轮）,,,,,,,,,,,,,,,,,,,
17,A组第3场,1,3,0,0:0,20260414,2100,20260414,800,20260414,2000,20260414,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
18,E组第3场,17,19,0,1:0,20260414,2100,20260414,800,20260414,2000,20260414,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
19,A组第4场,4,2,0,1:3,20260414,2400,20260414,800,20260414,2300,20260415,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
20,E组第4场,20,18,0,2:1,20260414,2400,20260414,800,20260414,2300,20260415,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第6天 4月15日（B组+F组 第2轮）,,,,,,,,,,,,,,,,,,,
21,B组第3场,5,7,0,2:0,20260415,2100,20260415,800,20260415,2000,20260415,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
22,F组第3场,21,23,0,0:1,20260415,2100,20260415,800,20260415,2000,20260415,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
23,B组第4场,8,6,0,1:1,20260415,2400,20260415,800,20260415,2300,20260416,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
24,F组第4场,24,22,0,2:2,20260415,2400,20260415,800,20260415,2300,20260416,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第7天 4月16日（C组+G组 第2轮）,,,,,,,,,,,,,,,,,,,
25,C组第3场,9,11,0,3:0,20260416,2100,20260416,800,20260416,2000,20260416,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
26,G组第3场,25,27,0,3:1,20260416,2100,20260416,800,20260416,2000,20260416,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
27,C组第4场,12,10,0,0:2,20260416,2400,20260416,800,20260416,2300,20260417,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
28,G组第4场,28,26,0,2:0,20260416,2400,20260416,800,20260416,2300,20260417,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第8天 4月17日（D组+H组 第2轮）,,,,,,,,,,,,,,,,,,,
29,D组第3场,13,15,0,2:2,20260417,2100,20260417,800,20260417,2000,20260417,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
30,H组第3场,29,31,0,0:0,20260417,2100,20260417,800,20260417,2000,20260417,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
31,D组第4场,16,14,0,0:3,20260417,2400,20260417,800,20260417,2300,20260418,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
32,H组第4场,32,30,0,3:1,20260417,2400,20260417,800,20260417,2300,20260418,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第9天 4月18日（A组+E组 第3轮）,,,,,,,,,,,,,,,,,,,
33,A组第5场,4,1,1,0:2,20260418,2100,20260418,800,20260418,2000,20260418,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
34,E组第5场,20,17,1,0:3,20260418,2100,20260418,800,20260418,2000,20260418,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
35,A组第6场,2,3,0,2:0,20260418,2400,20260418,800,20260418,2300,20260419,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
36,E组第6场,18,19,0,1:1,20260418,2400,20260418,800,20260418,2300,20260419,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第10天 4月19日（B组+F组 第3轮）,,,,,,,,,,,,,,,,,,,
37,B组第5场,8,5,1,0:4,20260419,2100,20260419,800,20260419,2000,20260419,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
38,F组第5场,24,21,1,1:0,20260419,2100,20260419,800,20260419,2000,20260419,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
39,B组第6场,6,7,0,2:2,20260419,2400,20260419,800,20260419,2300,20260420,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
40,F组第6场,22,23,0,0:2,20260419,2400,20260419,800,20260419,2300,20260420,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第11天 4月20日（C组+G组 第3轮）,,,,,,,,,,,,,,,,,,,
41,C组第5场,12,9,1,1:1,20260420,2100,20260420,800,20260420,2000,20260420,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
42,G组第5场,28,25,1,1:2,20260420,2100,20260420,800,20260420,2000,20260420,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
43,C组第6场,10,11,0,1:3,20260420,2400,20260420,800,20260420,2300,20260421,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
44,G组第6场,26,27,0,1:0,20260420,2400,20260420,800,20260420,2300,20260421,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,第12天 4月21日（D组+H组 第3轮）,,,,,,,,,,,,,,,,,,,
45,D组第5场,16,13,1,1:2,20260421,2100,20260421,800,20260421,2000,20260421,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
46,H组第5场,32,29,1,1:2,20260421,2100,20260421,800,20260421,2000,20260421,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
47,D组第6场,14,15,0,4:0,20260421,2400,20260421,800,20260421,2300,20260422,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
48,H组第6场,30,31,0,0:1,20260421,2400,20260421,800,20260421,2300,20260422,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,八强赛,,,,,,,,,,,,,,,,,,,
49,八强第1场,1,8,0,3:1,20260424,2100,20260424,800,20260424,2000,20260424,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
50,八强第2场,5,2,0,2:0,20260424,2400,20260424,800,20260424,2300,20260425,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
51,八强第3场,9,14,0,1:0,20260425,2100,20260425,800,20260425,2000,20260425,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
52,八强第4场,14,11,0,2:1,20260425,2400,20260425,800,20260425,2300,20260426,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
53,八强第5场,17,22,0,0:1,20260426,2100,20260426,800,20260426,2000,20260426,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
54,八强第6场,23,28,0,2:2,20260426,2400,20260426,800,20260426,2300,20260427,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
55,八强第7场,25,29,0,1:0,20260427,2100,20260427,800,20260427,2000,20260427,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
56,八强第8场,32,20,0,0:2,20260427,2400,20260427,800,20260427,2300,20260428,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,四强赛,,,,,,,,,,,,,,,,,,,
57,四强第1场,1,5,1,2:1,20260430,2100,20260430,800,20260430,2000,20260430,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
58,四强第2场,9,14,0,0:1,20260430,2400,20260430,800,20260430,2300,20260501,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
59,四强第3场,22,23,0,1:0,20260503,2100,20260503,800,20260503,2000,20260503,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
60,四强第4场,25,20,1,3:2,20260503,2400,20260503,800,20260503,2300,20260504,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,半决赛,,,,,,,,,,,,,,,,,,,
61,半决赛第1场,1,14,1,2:0,20260507,2100,20260507,800,20260507,2000,20260507,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
62,半决赛第2场,22,25,1,1:3,20260507,2400,20260507,800,20260507,2300,20260508,200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,三四名决赛,,,,,,,,,,,,,,,,,,,
63,三四名决赛,14,22,1,0:2,20260510,2100,20260510,800,20260510,2000,20260510,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
,,,,,,,,,,,,,,,,,,,,
,决赛,,,,,,,,,,,,,,,,,,,
64,决赛,1,25,1,1:0,20260513,2100,20260513,800,20260513,2000,20260513,2200,1000,{right=2;wrong=0.5},{win=2;draw=3;lose=4},{6450=1},{6451=1},{6452=2},1
