变量名,huodongID,tab,tabText,item,costMap,buyMax,refresh
302,23401,1,,{851=50},{8125=200},10,FALSE
303,23401,1,,{5014=10},{8125=300},5,FALSE
304,23401,1,,{930=20},{8125=150},20,FALSE
305,23401,1,,{5000=20},{8125=150},20,FALSE
306,23401,2,,{925=1},{8126=200},3,FALSE
307,23401,2,,{942=1},{8126=300},2,FALSE
308,23401,2,,{962=1},{8126=150},5,FALSE
309,23401,2,,{973=1},{8126=100},5,FALSE
310,23401,3,,{521=5},{8127=100},10,FALSE
311,23401,3,,{502=1},{8127=200},5,FALSE
312,23401,3,,{501=1},{8127=150},5,FALSE
313,23401,3,,{talent_point=5},{8127=250},10,FALSE
,,,,,,,
,周年庆v2-礼券商店,,,,,,
401,108005,1,,{2025=1},{6393=50},1,FALSE
402,108005,1,,{2181=1},{6393=50},1,FALSE
403,108005,1,,{2429=1},{6393=50},1,FALSE
404,108005,1,,{521=20},{6393=20},10,FALSE
405,108005,1,,{850=30},{6393=1},100,FALSE
406,108005,1,,{851=30},{6393=5},100,FALSE
407,108005,1,,{2103=1},{6393=1},500,FALSE
408,108005,1,,{6071=10},{6393=1},500,FALSE
409,108005,1,,{142=10},{6393=2},1000,FALSE
410,108005,1,,{91261=1},{6393=2},300,FALSE
411,108005,1,,{98002=1},{6393=100},5,FALSE
412,108005,1,,{2153=1},{6393=50},2,FALSE
413,108005,1,,{6104=1},{6393=100},1,FALSE
414,108005,1,,{967=1},{6393=20},10,FALSE
415,108005,1,,{7373=1},{6393=50},5,FALSE
416,108005,1,,{7374=1},{6393=300},2,FALSE
417,108005,1,,{925=1},{6393=50},5,FALSE
418,108005,1,,{6220=1},{6393=50},5,FALSE
,,,,,,,
,世界杯-兑换商店,,,,,,
501,12001,1,,{521=10},{6330=20},20,FALSE
502,12001,1,,{850=50},{6330=10},50,FALSE
503,12001,1,,{851=50},{6330=20},50,FALSE
504,12001,1,,{2103=5},{6330=10},100,FALSE
505,12001,1,,{142=20},{6330=20},50,FALSE
506,12001,1,,{6071=20},{6330=10},100,FALSE
