变量名,huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
,,,,,,,,,,,
221,4014,开服连续充值30元-水跃鱼,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=60000},
222,4014,开服连续充值30元-水跃鱼,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=70000},
223,4014,开服连续充值30元-水跃鱼,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=80000},
224,4014,开服连续充值30元-水跃鱼,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=90000},
225,4014,开服连续充值30元-水跃鱼,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21311=10;516=6;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1001,4101,连续充值30元-闪电鸟,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=60000},
1002,4101,连续充值30元-闪电鸟,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=70000},
1003,4101,连续充值30元-闪电鸟,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=80000},
1004,4101,连续充值30元-闪电鸟,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=90000},
1005,4101,连续充值30元-闪电鸟,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20731=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1011,4102,连续充值30元-黏黏宝,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=60000},
1012,4102,连续充值30元-黏黏宝,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=70000},
1013,4102,连续充值30元-黏黏宝,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=80000},
1014,4102,连续充值30元-黏黏宝,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=90000},
1015,4102,连续充值30元-黏黏宝,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};23541=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1021,4103,连续充值30元-鬼斯,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=60000},
1022,4103,连续充值30元-鬼斯,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=70000},
1023,4103,连续充值30元-鬼斯,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=80000},
1024,4103,连续充值30元-鬼斯,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=90000},
1025,4103,连续充值30元-鬼斯,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20391=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1031,4104,连续充值30元-水君,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=60000},
1032,4104,连续充值30元-水君,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=70000},
1033,4104,连续充值30元-水君,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=80000},
1034,4104,连续充值30元-水君,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=90000},
1035,4104,连续充值30元-水君,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21241=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1041,4105,连续充值30元-拉鲁拉斯,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=60000},
1042,4105,连续充值30元-拉鲁拉斯,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=70000},
1043,4105,连续充值30元-拉鲁拉斯,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=80000},
1044,4105,连续充值30元-拉鲁拉斯,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=90000},
1045,4105,连续充值30元-拉鲁拉斯,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21391=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1051,4106,连续充值30元-急冻鸟,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=60000},
1052,4106,连续充值30元-急冻鸟,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=70000},
1053,4106,连续充值30元-急冻鸟,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=80000},
1054,4106,连续充值30元-急冻鸟,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=90000},
1055,4106,连续充值30元-急冻鸟,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20721=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1061,4107,连续充值30元-炎帝,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1062,4107,连续充值30元-炎帝,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1063,4107,连续充值30元-炎帝,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1064,4107,连续充值30元-炎帝,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1065,4107,连续充值30元-炎帝,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21231=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1071,4108,连续充值30元-鸭嘴宝宝,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=60000},
1072,4108,连续充值30元-鸭嘴宝宝,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=70000},
1073,4108,连续充值30元-鸭嘴宝宝,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=80000},
1074,4108,连续充值30元-鸭嘴宝宝,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=90000},
1075,4108,连续充值30元-鸭嘴宝宝,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20601=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1081,4109,连续充值30元-木守宫,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=60000},
1082,4109,连续充值30元-木守宫,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=70000},
1083,4109,连续充值30元-木守宫,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=80000},
1084,4109,连续充值30元-木守宫,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=90000},
1085,4109,连续充值30元-木守宫,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20571=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1091,4110,连续充值30元-风速狗,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=60000},
1092,4110,连续充值30元-风速狗,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=70000},
1093,4110,连续充值30元-风速狗,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=80000},
1094,4110,连续充值30元-风速狗,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=90000},
1095,4110,连续充值30元-风速狗,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20241=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1101,4111,连续充值30元-火焰鸟,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=60000},
1102,4111,连续充值30元-火焰鸟,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=70000},
1103,4111,连续充值30元-火焰鸟,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=80000},
1104,4111,连续充值30元-火焰鸟,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=90000},
1105,4111,连续充值30元-火焰鸟,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20741=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1111,4112,连续充值30元-狃拉,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=60000},
1112,4112,连续充值30元-狃拉,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=70000},
1113,4112,连续充值30元-狃拉,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=80000},
1114,4112,连续充值30元-狃拉,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=90000},
1115,4112,连续充值30元-狃拉,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21081=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1121,4113,连续充值30元-雷公,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=60000},
1122,4113,连续充值30元-雷公,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=70000},
1123,4113,连续充值30元-雷公,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=80000},
1124,4113,连续充值30元-雷公,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=90000},
1125,4113,连续充值30元-雷公,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21221=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1131,4114,连续充值30元-独角犀牛,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=60000},
1132,4114,连续充值30元-独角犀牛,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=70000},
1133,4114,连续充值30元-独角犀牛,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=80000},
1134,4114,连续充值30元-独角犀牛,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=90000},
1135,4114,连续充值30元-独角犀牛,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20491=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1141,4115,连续充值30元-可可多拉,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=60000},
1142,4115,连续充值30元-可可多拉,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=70000},
1143,4115,连续充值30元-可可多拉,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=80000},
1144,4115,连续充值30元-可可多拉,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=90000},
1145,4115,连续充值30元-可可多拉,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21501=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1151,4116,连续充值30元-牙牙,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=60000},
1152,4116,连续充值30元-牙牙,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=70000},
1153,4116,连续充值30元-牙牙,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=80000},
1154,4116,连续充值30元-牙牙,4,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=90000},
1155,4116,连续充值30元-牙牙,5,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};23001=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1161,4117,连续充值30元-班吉拉斯,1,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=60000},
1162,4117,连续充值30元-班吉拉斯,2,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=70000},
1163,4117,连续充值30元-班吉拉斯,3,300,累计充值300钻石,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=80000},
