变量名,huodongID,rechargeID,icon,name,awards,buyTimes,optionalAwards1,optionalAwards2,optionalAwards3,optionalAwards4
13,1001,113,,648元订制礼包,{rmb=6480},1,<{card={id=1971}};{card={id=1961}};{card={id=1981}}>,<{coin7=10000};{coin8=10000};{coin14=10000};{coin1=10000}>,,
,,,,,,,,,,
101,1002,102,,6元订制礼包,{rmb=120},2,<{gold=50000}>,<{503=1};{519=1};{520=1};>,<{502=2};{19=3};{531=1};{537=1}>,
102,1002,106,,30元订制礼包,{rmb=300},2,<{gold=500000}>,<{452=75};{503=4};{604=10};{851=150};{152=30};{112=30};{531=4};{537=4};{520=4}>,<{451=150};{2103=30};{902=30};{850=300};{151=300};{111=150};{529=750};{124=10};{4000=100}>,
103,1002,107,,60元订制礼包,{rmb=600},2,<{502=5};{501=1};{gold=500000};{519=3};{527=3}>,<{452=150};{503=8};{604=20};{851=300};{152=60};{112=60};{531=8};{537=8};{520=8}>,<{451=300};{2103=60};{902=60};{850=600};{151=600};{111=300};{529=1500};{124=20};{4000=200}>,
104,1002,108,,98元订制礼包,{rmb=980},2,<{502=8};{501=2};{gold=800000};{519=5};{527=5}>,<{452=200};{503=10};{604=30};{851=400};{152=80};{112=80};{531=10};{537=10};{520=10}>,<{451=400};{2103=80};{902=80};{850=800};{151=800};{111=400};{529=2000};{124=30};{4000=300}>,
105,1002,111,,198元订制礼包,{rmb=1980},2,<{502=15};{501=4};{gold=150000};{519=10};{527=10}>,<{452=400};{503=20};{604=60};{851=800};{152=160};{112=160};{531=20};{537=20};{520=20}>,<{451=800};{2103=160};{902=160};{850=1600};{151=1600};{111=800};{529=4000};{124=60};{4000=600}>,
106,1002,112,,328元订制礼包,{rmb=3280},2,<{2152=1};{942=1};{962=1};{993=1};{7324=1}>,<{452=600};{503=30};{604=90};{851=1200};{152=240};{112=240};{531=30};{537=30};{520=30}>,<{451=1200};{2103=240};{902=240};{850=2400};{151=2400};{111=1200};{529=6000};{124=90};{4000=900}>,
107,1002,113,,648元订制礼包,{rmb=6480},2,<{2152=2};{942=2};{963=1};{994=1};{7325=1};{521=10}>,<{452=1200};{503=60};{604=180};{851=2400};{152=480};{112=480};{531=60};{537=60};{520=60}>,<{451=2400};{2103=480};{902=480};{850=4800};{151=4800};{111=2400};{529=12000};{124=180};{4000=1800}>,
,,,,,,,,,,
201,1003,102,,6元订制礼包,{rmb=60},2,<{521=50};{502=120};{603=600};{605=600};{19=20}>,<{452=1000};{451=2000};{100=300};{851=750};{850=1500}>,<{111=600};{112=80};{4000=3000};{453=600};{142=500};{161=100}>,
202,1003,106,,30元订制礼包,{rmb=300},2,<{500=200};{452=6666};{451=12888};{coin10=8000};{coin2=8000};{coin1=8000};{coin6=8000}>,<{4000=25888};{966=20};{967=10};{161=888};{453=4000}>,<{rmb=200000};{701=20};{702=6};{703=1};{7362=20};{7363=6};{7364=1}>,
203,1003,107,,60元订制礼包,{rmb=600},2,<{7325=20};{994=15};{8834=20};{124=4000};{121=8000};{529=200000}>,<{2153=2};{2152=8};{6071=800};{2103=4000};{talent_point=80}>,<{rmb=400000};{161=1500};{151=40000};{152=888};{coin22=2888};{453=8888}>,
204,1003,108,,98元订制礼包,{rmb=980},2,<{500=500};{521=888};{502=2588};{19=288};{501=1888};{452=18888};{451=40000}>,<{453=12888};{coin22=5888};{2153=3};{6071=1288};{111=8888};{112=1888}>,<{rmb=600000};{851=18888};{850=28888};{talent_point=128};{161=2588};{966=60};{967=30}>,
205,1003,110,,168元订制礼包,{rmb=1680},2,<{500=888};{521=1588};{2153=5};{6071=2000};{151=88888};{152=2888}>,<{133=500};{702=30};{703=5};{705=3};{8834=50};{7325=50}>,<{rmb=1000000};{994=40};{529=588888};{142=18888};{967=50};{talent_point=258}>,
206,1003,111,,198元订制礼包,{rmb=1980},2,<{500=1288};{521=1888};{502=5288};{19=888};{453=28888};{coin22=8888};{talent_point=288}>,<{967=58};{966=128};{4000=128888};{2153=6};{2152=25};{6071=2500}>,<{529=500000};{133=2500};{4000=80000};{152=2000}>,
207,1003,112,,328元订制礼包,{rmb=3280},2,<{500=1888};{521=2888};{19=1288};{452=58888};{451=128888};{6220=10}>,<{111=35888};{112=5000};{2153=10};{6071=4000};{2103=18888}>,<{rmb=2000000};{453=40000};{coin22=15888};{talent_point=400};{152=5000};{142=28888};{4000=188888};{161=8000}>,
208,1003,113,,648元订制礼包,{rmb=6480},2,<{500=4000};{521=5888};{112=8888};{111=88888};{6059=4000};{703=25}>,<{2153=20};{6071=8000};{967=200};{966=400};{161=15888};{talent_point=888};{453=88888};{7364=25}>,<{rmb=1280000};{161=5288};{152=2888};{151=128888};{133=666};{142=21888};{703=8};{7364=8}>,
