变量名,serverOpenDays,fightPointLimit,vipLimit
589,589,3000000,5
590,590,3000000,5
591,591,3000000,5
592,592,3000000,5
593,593,3000000,5
594,594,3000000,5
595,595,3000000,5
596,596,3000000,5
597,597,3000000,5
598,598,3000000,5
599,599,3000000,5
600,600,3000000,5
601,601,3000000,5
602,602,3000000,5
603,603,3000000,5
604,604,3000000,5
605,605,3000000,5
606,606,3000000,5
607,607,3000000,5
608,608,3000000,5
609,609,3000000,5
610,610,3000000,5
611,611,3000000,5
612,612,3000000,5
613,613,3000000,5
614,614,3000000,5
615,615,3000000,5
616,616,3000000,5
617,617,3000000,5
618,618,3000000,5
619,619,3000000,5
620,620,3000000,5
621,621,3000000,5
622,622,3000000,5
623,623,3000000,5
624,624,3000000,5
625,625,3000000,5
626,626,3000000,5
627,627,3000000,5
628,628,3000000,5
629,629,3000000,5
630,630,3000000,5
631,631,3000000,5
632,632,3000000,5
633,633,3000000,5
634,634,3000000,5
635,635,3000000,5
636,636,3000000,5
637,637,3000000,5
638,638,3000000,5
639,639,3000000,5
640,640,3000000,5
641,641,3000000,5
642,642,3000000,5
643,643,3000000,5
644,644,3000000,5
645,645,3000000,5
646,646,3000000,5
647,647,3000000,5
648,648,3000000,5
649,649,3000000,5
650,650,3000000,5
651,651,3000000,5
652,652,3000000,5
653,653,3000000,5
654,654,3000000,5
655,655,3000000,5
656,656,3000000,5
657,657,3000000,5
658,658,3000000,5
659,659,3000000,5
660,660,3000000,5
661,661,3000000,5
662,662,3000000,5
663,663,3000000,5
664,664,3000000,5
665,665,3000000,5
666,666,3000000,5
667,667,3000000,5
668,668,3000000,5
669,669,3000000,5
670,670,3000000,5
671,671,3000000,5
672,672,3000000,5
673,673,3000000,5
674,674,3000000,5
675,675,3000000,5
676,676,3000000,5
677,677,3000000,5
678,678,3000000,5
679,679,3000000,5
680,680,3000000,5
681,681,3000000,5
682,682,3000000,5
683,683,3000000,5
684,684,3000000,5
685,685,3000000,5
686,686,3000000,5
687,687,3000000,5
688,688,3000000,5
689,689,3000000,5
690,690,3000000,5
691,691,3000000,5
692,692,3000000,5
693,693,3000000,5
694,694,3000000,5
695,695,3000000,5
696,696,3000000,5
697,697,3000000,5
698,698,3000000,5
699,699,3000000,5
700,700,3000000,5
701,701,3000000,5
702,702,3000000,5
703,703,3000000,5
704,704,3000000,5
705,705,3000000,5
706,706,3000000,5
707,707,3000000,5
708,708,3000000,5
709,709,3000000,5
710,710,3000000,5
711,711,3000000,5
712,712,3000000,5
713,713,3000000,5
714,714,3000000,5
715,715,3000000,5
716,716,3000000,5
717,717,3000000,5
718,718,3000000,5
719,719,3000000,5
720,720,3000000,5
721,721,3000000,5
722,722,3000000,5
723,723,3000000,5
724,724,3000000,5
725,725,3000000,5
726,726,3000000,5
727,727,3000000,5
728,728,3000000,5
729,729,3000000,5
730,730,3000000,5
731,731,3000000,5
732,732,3000000,5
733,733,3000000,5
734,734,3000000,5
735,735,3000000,5
736,736,3000000,5
737,737,3000000,5
738,738,3000000,5
739,739,3000000,5
740,740,3000000,5
741,741,3000000,5
742,742,3000000,5
743,743,3000000,5
744,744,3000000,5
745,745,3000000,5
746,746,3000000,5
747,747,3000000,5
748,748,3000000,5
749,749,3000000,5
750,750,3000000,5
751,751,3000000,5
752,752,3000000,5
753,753,3000000,5
754,754,3000000,5
755,755,3000000,5
756,756,3000000,5
757,757,3000000,5
758,758,3000000,5
759,759,3000000,5
760,760,3000000,5
761,761,3000000,5
762,762,3000000,5
763,763,3000000,5
764,764,3000000,5
765,765,3000000,5
766,766,3000000,5
767,767,3000000,5
768,768,3000000,5
769,769,3000000,5
770,770,3000000,5
771,771,3000000,5
772,772,3000000,5
773,773,3000000,5
774,774,3000000,5
775,775,3000000,5
776,776,3000000,5
777,777,3000000,5
778,778,3000000,5
779,779,3000000,5
780,780,3000000,5
781,781,3000000,5
782,782,3000000,5
783,783,3000000,5
784,784,3000000,5
785,785,3000000,5
786,786,3000000,5
787,787,3000000,5
788,788,3000000,5
789,789,3000000,5
790,790,3000000,5
791,791,3000000,5
792,792,3000000,5
793,793,3000000,5
794,794,3000000,5
795,795,3000000,5
796,796,3000000,5
797,797,3000000,5
798,798,3000000,5
799,799,3000000,5
800,800,3000000,5
801,801,3000000,5
802,802,3000000,5
803,803,3000000,5
804,804,3000000,5
805,805,3000000,5
806,806,3000000,5
807,807,3000000,5
808,808,3000000,5
809,809,3000000,5
810,810,3000000,5
811,811,3000000,5
812,812,3000000,5
813,813,3000000,5
814,814,3000000,5
815,815,3000000,5
816,816,3000000,5
817,817,3000000,5
818,818,3000000,5
819,819,3000000,5
820,820,3000000,5
821,821,3000000,5
822,822,3000000,5
823,823,3000000,5
824,824,3000000,5
825,825,3000000,5
826,826,3000000,5
827,827,3000000,5
828,828,3000000,5
829,829,3000000,5
830,830,3000000,5
831,831,3000000,5
832,832,3000000,5
833,833,3000000,5
834,834,3000000,5
835,835,3000000,5
836,836,3000000,5
837,837,3000000,5
838,838,3000000,5
839,839,3000000,5
840,840,3000000,5
841,841,3000000,5
842,842,3000000,5
843,843,3000000,5
844,844,3000000,5
845,845,3000000,5
846,846,3000000,5
847,847,3000000,5
848,848,3000000,5
849,849,3000000,5
850,850,3000000,5
851,851,3000000,5
852,852,3000000,5
853,853,3000000,5
854,854,3000000,5
855,855,3000000,5
856,856,3000000,5
857,857,3000000,5
858,858,3000000,5
859,859,3000000,5
860,860,3000000,5
861,861,3000000,5
862,862,3000000,5
863,863,3000000,5
864,864,3000000,5
865,865,3000000,5
866,866,3000000,5
867,867,3000000,5
868,868,3000000,5
869,869,3000000,5
870,870,3000000,5
871,871,3000000,5
872,872,3000000,5
873,873,3000000,5
874,874,3000000,5
875,875,3000000,5
876,876,3000000,5
877,877,3000000,5
878,878,3000000,5
879,879,3000000,5
880,880,3000000,5
881,881,3000000,5
882,882,3000000,5
883,883,3000000,5
884,884,3000000,5
885,885,3000000,5
886,886,3000000,5
887,887,3000000,5
888,888,3000000,5
889,889,3000000,5
890,890,3000000,5
891,891,3000000,5
892,892,3000000,5
893,893,3000000,5
894,894,3000000,5
895,895,3000000,5
896,896,3000000,5
897,897,3000000,5
898,898,3000000,5
899,899,3000000,5
900,900,3000000,5
901,901,3000000,5
902,902,3000000,5
903,903,3000000,5
904,904,3000000,5
905,905,3000000,5
906,906,3000000,5
907,907,3000000,5
908,908,3000000,5
909,909,3000000,5
910,910,3000000,5
911,911,3000000,5
912,912,3000000,5
913,913,3000000,5
914,914,3000000,5
915,915,3000000,5
916,916,3000000,5
917,917,3000000,5
918,918,3000000,5
919,919,3000000,5
920,920,3000000,5
921,921,3000000,5
922,922,3000000,5
923,923,3000000,5
924,924,3000000,5
925,925,3000000,5
926,926,3000000,5
927,927,3000000,5
928,928,3000000,5
929,929,3000000,5
930,930,3000000,5
931,931,3000000,5
932,932,3000000,5
933,933,3000000,5
934,934,3000000,5
935,935,3000000,5
936,936,3000000,5
937,937,3000000,5
938,938,3000000,5
939,939,3000000,5
940,940,3000000,5
941,941,3000000,5
942,942,3000000,5
943,943,3000000,5
944,944,3000000,5
945,945,3000000,5
946,946,3000000,5
947,947,3000000,5
948,948,3000000,5
949,949,3000000,5
950,950,3000000,5
951,951,3000000,5
952,952,3000000,5
953,953,3000000,5
954,954,3000000,5
955,955,3000000,5
956,956,3000000,5
957,957,3000000,5
958,958,3000000,5
959,959,3000000,5
960,960,3000000,5
961,961,3000000,5
962,962,3000000,5
963,963,3000000,5
964,964,3000000,5
965,965,3000000,5
966,966,3000000,5
967,967,3000000,5
968,968,3000000,5
969,969,3000000,5
970,970,3000000,5
971,971,3000000,5
972,972,3000000,5
973,973,3000000,5
974,974,3000000,5
975,975,3000000,5
976,976,3000000,5
977,977,3000000,5
978,978,3000000,5
979,979,3000000,5
980,980,3000000,5
981,981,3000000,5
982,982,3000000,5
983,983,3000000,5
984,984,3000000,5
985,985,3000000,5
986,986,3000000,5
987,987,3000000,5
988,988,3000000,5
989,989,3000000,5
990,990,3000000,5
991,991,3000000,5
992,992,3000000,5
993,993,3000000,5
994,994,3000000,5
995,995,3000000,5
996,996,3000000,5
997,997,3000000,5
998,998,3000000,5
999,999,3000000,5
1000,1000,3000000,5
1001,1001,3000000,5
1002,1002,3000000,5
1003,1003,3000000,5
1004,1004,3000000,5
1005,1005,3000000,5
1006,1006,3000000,5
1007,1007,3000000,5
1008,1008,3000000,5
1009,1009,3000000,5
1010,1010,3000000,5
1011,1011,3000000,5
1012,1012,3000000,5
1013,1013,3000000,5
1014,1014,3000000,5
1015,1015,3000000,5
1016,1016,3000000,5
1017,1017,3000000,5
1018,1018,3000000,5
1019,1019,3000000,5
1020,1020,3000000,5
1021,1021,3000000,5
1022,1022,3000000,5
1023,1023,3000000,5
1024,1024,3000000,5
1025,1025,3000000,5
1026,1026,3000000,5
1027,1027,3000000,5
1028,1028,3000000,5
1029,1029,3000000,5
1030,1030,3000000,5
1031,1031,3000000,5
1032,1032,3000000,5
1033,1033,3000000,5
1034,1034,3000000,5
1035,1035,3000000,5
1036,1036,3000000,5
1037,1037,3000000,5
1038,1038,3000000,5
1039,1039,3000000,5
1040,1040,3000000,5
1041,1041,3000000,5
1042,1042,3000000,5
1043,1043,3000000,5
1044,1044,3000000,5
1045,1045,3000000,5
1046,1046,3000000,5
1047,1047,3000000,5
1048,1048,3000000,5
1049,1049,3000000,5
1050,1050,3000000,5
1051,1051,3000000,5
1052,1052,3000000,5
1053,1053,3000000,5
1054,1054,3000000,5
1055,1055,3000000,5
1056,1056,3000000,5
1057,1057,3000000,5
1058,1058,3000000,5
1059,1059,3000000,5
1060,1060,3000000,5
1061,1061,3000000,5
1062,1062,3000000,5
1063,1063,3000000,5
1064,1064,3000000,5
1065,1065,3000000,5
1066,1066,3000000,5
1067,1067,3000000,5
1068,1068,3000000,5
1069,1069,3000000,5
1070,1070,3000000,5
1071,1071,3000000,5
1072,1072,3000000,5
1073,1073,3000000,5
1074,1074,3000000,5
1075,1075,3000000,5
1076,1076,3000000,5
1077,1077,3000000,5
1078,1078,3000000,5
1079,1079,3000000,5
1080,1080,3000000,5
1081,1081,3000000,5
1082,1082,3000000,5
1083,1083,3000000,5
1084,1084,3000000,5
1085,1085,3000000,5
1086,1086,3000000,5
1087,1087,3000000,5
1088,1088,3000000,5
1089,1089,3000000,5
1090,1090,3000000,5
1091,1091,3000000,5
1092,1092,3000000,5
1093,1093,3000000,5
1094,1094,3000000,5
1095,1095,3000000,5
1096,1096,3000000,5
1097,1097,3000000,5
1098,1098,3000000,5
1099,1099,3000000,5
1100,1100,3000000,5
1101,1101,3000000,5
1102,1102,3000000,5
1103,1103,3000000,5
1104,1104,3000000,5
1105,1105,3000000,5
1106,1106,3000000,5
1107,1107,3000000,5
1108,1108,3000000,5
1109,1109,3000000,5
1110,1110,3000000,5
1111,1111,3000000,5
1112,1112,3000000,5
1113,1113,3000000,5
1114,1114,3000000,5
1115,1115,3000000,5
1116,1116,3000000,5
1117,1117,3000000,5
1118,1118,3000000,5
1119,1119,3000000,5
1120,1120,3000000,5
1121,1121,3000000,5
1122,1122,3000000,5
1123,1123,3000000,5
1124,1124,3000000,5
1125,1125,3000000,5
1126,1126,3000000,5
1127,1127,3000000,5
1128,1128,3000000,5
1129,1129,3000000,5
1130,1130,3000000,5
1131,1131,3000000,5
1132,1132,3000000,5
1133,1133,3000000,5
1134,1134,3000000,5
1135,1135,3000000,5
1136,1136,3000000,5
1137,1137,3000000,5
1138,1138,3000000,5
1139,1139,3000000,5
1140,1140,3000000,5
1141,1141,3000000,5
1142,1142,3000000,5
1143,1143,3000000,5
1144,1144,3000000,5
1145,1145,3000000,5
1146,1146,3000000,5
1147,1147,3000000,5
1148,1148,3000000,5
1149,1149,3000000,5
1150,1150,3000000,5
1151,1151,3000000,5
1152,1152,3000000,5
1153,1153,3000000,5
1154,1154,3000000,5
1155,1155,3000000,5
1156,1156,3000000,5
1157,1157,3000000,5
1158,1158,3000000,5
1159,1159,3000000,5
1160,1160,3000000,5
1161,1161,3000000,5
1162,1162,3000000,5
1163,1163,3000000,5
1164,1164,3000000,5
1165,1165,3000000,5
1166,1166,3000000,5
1167,1167,3000000,5
1168,1168,3000000,5
1169,1169,3000000,5
1170,1170,3000000,5
1171,1171,3000000,5
1172,1172,3000000,5
1173,1173,3000000,5
1174,1174,3000000,5
1175,1175,3000000,5
1176,1176,3000000,5
1177,1177,3000000,5
1178,1178,3000000,5
1179,1179,3000000,5
1180,1180,3000000,5
1181,1181,3000000,5
1182,1182,3000000,5
1183,1183,3000000,5
1184,1184,3000000,5
1185,1185,3000000,5
1186,1186,3000000,5
1187,1187,3000000,5
1188,1188,3000000,5
1189,1189,3000000,5
1190,1190,3000000,5
1191,1191,3000000,5
1192,1192,3000000,5
1193,1193,3000000,5
1194,1194,3000000,5
1195,1195,3000000,5
1196,1196,3000000,5
1197,1197,3000000,5
1198,1198,3000000,5
1199,1199,3000000,5
1200,1200,3000000,5
1201,1201,3000000,5
1202,1202,3000000,5
1203,1203,3000000,5
1204,1204,3000000,5
1205,1205,3000000,5
1206,1206,3000000,5
1207,1207,3000000,5
1208,1208,3000000,5
1209,1209,3000000,5
1210,1210,3000000,5
1211,1211,3000000,5
1212,1212,3000000,5
1213,1213,3000000,5
1214,1214,3000000,5
1215,1215,3000000,5
1216,1216,3000000,5
1217,1217,3000000,5
1218,1218,3000000,5
1219,1219,3000000,5
1220,1220,3000000,5
1221,1221,3000000,5
1222,1222,3000000,5
1223,1223,3000000,5
1224,1224,3000000,5
1225,1225,3000000,5
1226,1226,3000000,5
1227,1227,3000000,5
1228,1228,3000000,5
1229,1229,3000000,5
1230,1230,3000000,5
1231,1231,3000000,5
1232,1232,3000000,5
1233,1233,3000000,5
1234,1234,3000000,5
1235,1235,3000000,5
1236,1236,3000000,5
1237,1237,3000000,5
1238,1238,3000000,5
1239,1239,3000000,5
1240,1240,3000000,5
1241,1241,3000000,5
1242,1242,3000000,5
1243,1243,3000000,5
1244,1244,3000000,5
1245,1245,3000000,5
1246,1246,3000000,5
1247,1247,3000000,5
1248,1248,3000000,5
1249,1249,3000000,5
1250,1250,3000000,5
1251,1251,3000000,5
1252,1252,3000000,5
1253,1253,3000000,5
1254,1254,3000000,5
1255,1255,3000000,5
1256,1256,3000000,5
1257,1257,3000000,5
1258,1258,3000000,5
1259,1259,3000000,5
1260,1260,3000000,5
1261,1261,3000000,5
1262,1262,3000000,5
1263,1263,3000000,5
1264,1264,3000000,5
1265,1265,3000000,5
1266,1266,3000000,5
1267,1267,3000000,5
1268,1268,3000000,5
1269,1269,3000000,5
1270,1270,3000000,5
1271,1271,3000000,5
1272,1272,3000000,5
1273,1273,3000000,5
1274,1274,3000000,5
1275,1275,3000000,5
1276,1276,3000000,5
1277,1277,3000000,5
1278,1278,3000000,5
1279,1279,3000000,5
1280,1280,3000000,5
1281,1281,3000000,5
1282,1282,3000000,5
1283,1283,3000000,5
1284,1284,3000000,5
1285,1285,3000000,5
1286,1286,3000000,5
1287,1287,3000000,5
1288,1288,3000000,5
1289,1289,3000000,5
1290,1290,3000000,5
1291,1291,3000000,5
1292,1292,3000000,5
1293,1293,3000000,5
1294,1294,3000000,5
1295,1295,3000000,5
1296,1296,3000000,5
1297,1297,3000000,5
1298,1298,3000000,5
1299,1299,3000000,5
1300,1300,3000000,5
1301,1301,3000000,5
1302,1302,3000000,5
1303,1303,3000000,5
1304,1304,3000000,5
1305,1305,3000000,5
1306,1306,3000000,5
1307,1307,3000000,5
1308,1308,3000000,5
1309,1309,3000000,5
1310,1310,3000000,5
1311,1311,3000000,5
1312,1312,3000000,5
1313,1313,3000000,5
1314,1314,3000000,5
1315,1315,3000000,5
1316,1316,3000000,5
1317,1317,3000000,5
1318,1318,3000000,5
1319,1319,3000000,5
1320,1320,3000000,5
1321,1321,3000000,5
1322,1322,3000000,5
1323,1323,3000000,5
1324,1324,3000000,5
1325,1325,3000000,5
1326,1326,3000000,5
