变量名,huodongID,item,rmbShow,rmbCost,buyMax,logo,refresh
100105,100401,{502=200;gold=10000000},999999,50000,20,1,FALSE
100106,100401,{605=1000;603=1000;gold=10000000},999999,50000,20,1,FALSE
100107,100401,{19=30;gold=10000000},999999,50000,20,1,FALSE
100108,100401,{501=200;gold=10000000},999999,50000,20,1,FALSE
100109,100401,{6050=80;gold=10000000},999999,50000,20,1,FALSE
100110,100401,{100=300;gold=10000000},999999,50000,20,1,FALSE
100111,100401,{111=1000;112=150;gold=10000000},999999,100000,20,1,FALSE
100112,100401,{452=1500;451=3000;gold=10000000},999999,100000,20,1,FALSE
100113,100401,{851=1250;850=2500;gold=10000000},999999,100000,20,1,FALSE
100114,100401,{529=50000;gold=10000000},999999,100000,20,1,FALSE
100115,100401,{124=500;123=1000;gold=10000000},999999,100000,20,1,FALSE
100116,100401,{121=2000;gold=10000000},999999,100000,20,1,FALSE
100117,100401,{2103=1000;gold=10000000},999999,100000,20,1,FALSE
100118,100401,{161=400;gold=10000000},999999,100000,20,1,FALSE
100119,100401,{4000=1000;gold=10000000},999999,100000,20,1,FALSE
100120,100401,{961=50;960=88;gold=10000000},999999,100000,20,1,FALSE
100121,100401,{453=2000;gold=10000000},999999,100000,20,1,FALSE
100122,100401,{152=258;151=8888;gold=10000000},999999,200000,20,1,FALSE
100123,100401,{8821=188;8822=50;gold=10000000},999999,100000,20,1,FALSE
100124,100401,{142=1500;gold=10000000},999999,100000,20,1,FALSE
,,,,,,,
,钻石高级商城,,,,,,
100200,100501,{984=18;983=88;gold=20000000},999999,200000,3,1,FALSE
100201,100501,{7315=10;7314=50;gold=10000000},999999,200000,3,1,FALSE
100202,100501,{2153=2;2152=3;gold=50000000},999999,500000,3,1,FALSE
100203,100501,{6071=1000;gold=50000000},999999,500000,1,1,FALSE
100204,100501,{963=10;962=20;gold=10000000},999999,200000,3,1,FALSE
100205,100501,{133=88;132=188;gold=10000000},999999,200000,3,1,FALSE
100206,100501,{701=30;gold=10000000},999999,200000,3,1,FALSE
100207,100501,{702=5;gold=10000000},999999,200000,3,1,FALSE
100208,100501,{703=1;gold=10000000},999999,200000,3,1,FALSE
100209,100501,{7362=5;133=100;gold=10000000},999999,200000,3,1,FALSE
100210,100501,{7363=2;133=200;gold=20000000},999999,400000,3,1,FALSE
100211,100501,{7364=1;133=200;gold=30000000},999999,600000,3,1,FALSE
100212,100501,{8824=10;8823=40;gold=10000000},999999,200000,3,1,FALSE
100213,100501,{171=50;gold=10000000},999999,250000,2,1,FALSE
100214,100501,{172=50;gold=20000000},999999,500000,2,1,FALSE
100215,100501,{173=1;142=1500;gold=10000000},999999,1000000,2,1,FALSE
