变量名,huodongID,rank,award,pointLeast,desc,desc_en
62,1006,2,{card={id=4682};24682=160;501=4},5000,,
63,1006,3,{card={id=4682};24682=80;501=4},4000,,
64,1006,6,{card={id=4682};501=4;14=40},3500,,
65,1006,10,{22241=80;501=3;14=30},2000,,
66,1006,20,{22241=50;501=2;14=30},1000,,
67,1006,30,{22241=30;501=2;14=30},0,,
,凯路迪欧·觉悟,,,,,
71,1007,1,{card={id=7071};27071=240;2128=1;501=5},7000,,
72,1007,2,{card={id=7071};27071=160;501=4},5000,,
73,1007,3,{card={id=7071};27071=80;501=4},4000,,
74,1007,6,{card={id=7071};501=4;14=40},3500,,
75,1007,10,{21921=80;501=3;14=30},2000,,
76,1007,20,{21921=50;501=2;14=30},1000,,
77,1007,30,{21921=30;501=2;14=30},0,,
,帕路奇亚·起源,,,,,
81,1008,1,{card={id=2362};22362=240;2956=1;501=5},7000,,
82,1008,2,{card={id=2362};22362=160;501=4},5000,,
83,1008,3,{card={id=2362};22362=80;501=4},4000,,
84,1008,6,{card={id=2362};501=4;14=40},3500,,
85,1008,10,{22401=80;501=3;14=30},2000,,
86,1008,20,{22401=50;501=2;14=30},1000,,
87,1008,30,{22401=30;501=2;14=30},0,,
,闪光超级化石翼龙,,,,,
91,1009,1,{card={id=7221};27221=240;2955=1;501=5},7000,,
92,1009,2,{card={id=7221};27221=160;501=4},5000,,
93,1009,3,{card={id=7221};27221=80;501=4},4000,,
94,1009,6,{card={id=7221};501=4;14=40},3500,,
95,1009,10,{22471=80;501=3;14=30},2000,,
96,1009,20,{22471=50;501=2;14=30},1000,,
97,1009,30,{22471=30;501=2;14=30},0,,
,帝牙卢卡·起源,,,,,
100,1010,1,{card={id=2352};22352=240;2952=1;501=5},7000,,
101,1010,2,{card={id=2352};22352=160;501=4},5000,,
102,1010,3,{card={id=2352};22352=80;501=4},4000,,
103,1010,6,{card={id=2352};501=4;14=40},3500,,
104,1010,10,{23151=80;501=3;14=30},2000,,
105,1010,20,{23151=50;501=2;14=30},1000,,
106,1010,30,{23151=30;501=2;14=30},0,,
,虫王赫拉克罗斯,,,,,
110,1011,1,{card={id=7201};27201=240;2953=1;501=5},7000,,
111,1011,2,{card={id=7201};27201=160;501=4},5000,,
112,1011,3,{card={id=7201};27201=80;501=4},4000,,
113,1011,6,{card={id=7201};501=4;14=40},3500,,
114,1011,10,{20641=80;501=3;14=30},2000,,
115,1011,20,{20641=50;501=2;14=30},1000,,
116,1011,30,{20641=30;501=2;14=30},0,,
,,,,,,
120,1012,1,{card={id=7211};27211=240;2954=1;501=5},7000,,
121,1012,2,{card={id=7211};27211=160;501=4},5000,,
122,1012,3,{card={id=7211};27211=80;501=4},4000,,
123,1012,6,{card={id=7211};501=4;14=40},3500,,
124,1012,10,{23771=80;501=3;14=30},2000,,
125,1012,20,{23771=50;501=2;14=30},1000,,
126,1012,30,{23771=30;501=2;14=30},0,,
,,,,,,
130,1013,1,{card={id=7191};27191=240;2150=1;501=5},7000,,
131,1013,2,{card={id=7191};27191=160;501=4},5000,,
132,1013,3,{card={id=7191};27191=80;501=4},4000,,
133,1013,6,{card={id=7191};501=4;14=40},3500,,
134,1013,10,{23841=80;501=3;14=30},2000,,
135,1013,20,{23841=50;501=2;14=30},1000,,
136,1013,30,{23841=30;501=2;14=30},0,,
,,,,,,
140,1014,1,{card={id=7221};27221=240;2955=1;501=5},7000,,
141,1014,2,{card={id=7221};27221=160;501=4},5000,,
142,1014,3,{card={id=7221};27221=80;501=4},4000,,
143,1014,6,{card={id=7221};501=4;14=40},3500,,
144,1014,10,{21031=80;501=3;14=30},2000,,
145,1014,20,{21031=50;501=2;14=30},1000,,
146,1014,30,{21031=30;501=2;14=30},0,,
,,,,,,
150,1015,1,{card={id=7181};27181=240;2149=1;501=5},7000,,
151,1015,2,{card={id=7181};27181=160;501=4},5000,,
152,1015,3,{card={id=7181};27181=80;501=4},4000,,
153,1015,6,{card={id=7181};501=4;14=40},3500,,
154,1015,10,{24131=80;501=3;14=30},2000,,
155,1015,20,{24131=50;501=2;14=30},1000,,
156,1015,30,{24131=30;501=2;14=30},0,,
,,,,,,
160,1016,1,{card={id=4611};24611=240;2140=1;501=5},7000,,
161,1016,2,{card={id=4611};24611=160;501=4},5000,,
162,1016,3,{card={id=4611};24611=80;501=4},4000,,
163,1016,6,{card={id=4611};501=4;14=40},3500,,
164,1016,10,{20861=80;501=3;14=30},2000,,
165,1016,20,{20861=50;501=2;14=30},1000,,
166,1016,30,{20861=30;501=2;14=30},0,,
,,,,,,
170,1017,1,{card={id=7091};27091=240;2134=1;501=5},7000,,
171,1017,2,{card={id=7091};27091=160;501=4},5000,,
172,1017,3,{card={id=7091};27091=80;501=4},4000,,
173,1017,6,{card={id=7091};501=4;14=40},3500,,
174,1017,10,{23251=80;501=3;14=30},2000,,
175,1017,20,{23251=50;501=2;14=30},1000,,
176,1017,30,{23251=30;501=2;14=30},0,,
,,,,,,
180,1018,1,{card={id=7151};27151=240;2143=1;501=5},7000,,
181,1018,2,{card={id=7151};27151=160;501=4},5000,,
182,1018,3,{card={id=7151};27151=80;501=4},4000,,
183,1018,6,{card={id=7151};501=4;14=40},3500,,
184,1018,10,{23161=80;501=3;14=30},2000,,
185,1018,20,{23161=50;501=2;14=30},1000,,
186,1018,30,{23161=30;501=2;14=30},0,,
,,,,,,
190,1019,1,{card={id=7171};27171=240;2147=1;501=5},7000,,
191,1019,2,{card={id=7171};27171=160;501=4},5000,,
192,1019,3,{card={id=7171};27171=80;501=4},4000,,
193,1019,6,{card={id=7171};501=4;14=40},3500,,
194,1019,10,{23171=80;501=3;14=30},2000,,
195,1019,20,{23171=50;501=2;14=30},1000,,
196,1019,30,{23171=30;501=2;14=30},0,,
,,,,,,
200,1020,1,{card={id=7161};27161=240;2146=1;501=5},7000,,
201,1020,2,{card={id=7161};27161=160;501=4},5000,,
202,1020,3,{card={id=7161};27161=80;501=4},4000,,
203,1020,6,{card={id=7161};501=4;14=40},3500,,
204,1020,10,{23181=80;501=3;14=30},2000,,
205,1020,20,{23181=50;501=2;14=30},1000,,
206,1020,30,{23181=30;501=2;14=30},0,,
,,,,,,
210,1021,1,{card={id=5561};25561=240;2957=1;501=5},7000,,
211,1021,2,{card={id=5561};25561=160;501=4},5000,,
212,1021,3,{card={id=5561};25561=80;501=4},4000,,
213,1021,6,{card={id=5561};501=4;14=40},3500,,
214,1021,10,{20381=80;501=3;14=30},2000,,
215,1021,20,{20381=50;501=2;14=30},1000,,
216,1021,30,{20381=30;501=2;14=30},0,,
,,,,,,
220,1022,1,{card={id=1281};21281=240;2055=1;501=5},7000,,
221,1022,2,{card={id=1281};21281=160;501=4},5000,,
222,1022,3,{card={id=1281};21281=80;501=4},4000,,
223,1022,6,{card={id=1281};501=4;14=40},3500,,
224,1022,10,{20501=80;501=3;14=30},2000,,
225,1022,20,{20501=50;501=2;14=30},1000,,
226,1022,30,{20501=30;501=2;14=30},0,,
,,,,,,
230,1023,1,{card={id=3271};23271=240;2056=1;501=5},7000,,
231,1023,2,{card={id=3271};23271=160;501=4},5000,,
232,1023,3,{card={id=3271};23271=80;501=4},4000,,
233,1023,6,{card={id=3271};501=4;14=40},3500,,
234,1023,10,{20611=80;501=3;14=30},2000,,
235,1023,20,{20611=50;501=2;14=30},1000,,
236,1023,30,{20611=30;501=2;14=30},0,,
,,,,,,
240,1024,1,{card={id=3601};23601=240;2057=1;501=5},7000,,
241,1024,2,{card={id=3601};23601=160;501=4},5000,,
242,1024,3,{card={id=3601};23601=80;501=4},4000,,
243,1024,6,{card={id=3601};501=4;14=40},3500,,
244,1024,10,{23681=80;501=3;14=30},2000,,
245,1024,20,{23681=50;501=2;14=30},1000,,
246,1024,30,{23681=30;501=2;14=30},0,,
,,,,,,
250,1025,1,{card={id=4161};24161=240;2058=1;501=5},7000,,
251,1025,2,{card={id=4161};24161=160;501=4},5000,,
252,1025,3,{card={id=4161};24161=80;501=4},4000,,
253,1025,6,{card={id=4161};501=4;14=40},3500,,
254,1025,10,{23201=80;501=3;14=30},2000,,
255,1025,20,{23201=50;501=2;14=30},1000,,
256,1025,30,{23201=30;501=2;14=30},0,,
