变量名,huodongID,costMap,items,exchangeTimes,limit,desc
,10052,{gold=8800},{611=10},5,,金币*8800   兑换   晶石盒子*10
,10052,{gold=18800},{5000=30},5,,金币*18800   兑换   能量药剂*30
,10052,{gold=28800},{504=10},5,,金币*28800   兑换   斗魂精华*10
,10052,{gold=38800},{411=30},5,,金币*38800   兑换   神器能量之魂*30
,10052,{gold=58800},{604=10},5,,金币*58800   兑换   经典礼物盒子*10
,,,,,,
,10053,{gold=200000},{810=1},1,,金币*20W   兑换   钢铁加鲁鲁X皮肤（3天）*1
,10053,{rmb=480},{811=1},1,,钻石*480   兑换   钢铁加鲁鲁X皮肤（7天）*1
,10053,{rmb=4880},{812=1},1,,钻石*4880   兑换   钢铁加鲁鲁X皮肤（永久）*1
,10053,{gold=50000},{611=10},5,,金币*5W   兑换   晶石盒子*10
,10053,{gold=30000},{5000=10},10,,金币*3W   兑换   能量药剂*10
,10053,{gold=100000},{504=10},3,,金币*10W   兑换   斗魂精华*10
,10053,{rmb=600},{411=150},3,,钻石*600   兑换   神器能量之魂*150
,10053,{rmb=600},{603=20},3,,钻石*600   兑换   紫色礼物盒子*20
,10053,{coin2=1500},{560=1},1,,试炼币*1500   兑换   进阶重生石*1
,10053,{coin2=1500},{561=1},1,,试炼币*1500   兑换   技能重生石*1
,10053,{coin2=1500},{562=1},1,,试炼币*1500   兑换   斗魂重生石*1
,10053,{coin2=1500},{563=1},1,,试炼币*1500   兑换   装备重生石*1
,,,,,,
,10054,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10054,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10054,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10054,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10054,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10054,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10054,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10054,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10054,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10054,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10054,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10055,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10055,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10055,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10055,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10055,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10055,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10055,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10055,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10055,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10055,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10055,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10056,{150=1},{531=100},1,,格斗家指环之魂*1   兑换   指环能量精华*100
,10056,{151=1},{531=100},1,,暗领主指环之魂*1   兑换   指环能量精华*100
,10056,{152=1},{531=100},1,,分析师指环之魂*1   兑换   指环能量精华*100
,10056,{153=1},{531=100},1,,魔术师指环之魂*1   兑换   指环能量精华*100
,10056,{154=1},{531=100},1,,爆破师指环之魂*1   兑换   指环能量精华*100
,10056,{155=1},{531=100},1,,大天使指环之魂*1   兑换   指环能量精华*100
,10056,{156=1},{531=100},1,,坦克车指环之魂*1   兑换   指环能量精华*100
,10056,{158=1},{531=100},1,,异能者指环之魂*1   兑换   指环能量精华*100
,10056,{rmb=588},{531=50},2,,钻石*588   兑换   指环能量精华*50
,10056,{rmb=388;531=150},{150=1},1,,钻石*388 指环能量精华*150   兑换   格斗家指环之魂*1
,10056,{rmb=388;531=150},{151=1},1,,钻石*388 指环能量精华*150   兑换   暗领主指环之魂*1
,10056,{rmb=388;531=150},{152=1},1,,钻石*388 指环能量精华*150   兑换   分析师指环之魂*1
,10056,{rmb=388;531=150},{153=1},1,,钻石*388 指环能量精华*150   兑换   魔术师指环之魂*1
,10056,{rmb=388;531=150},{154=1},1,,钻石*388 指环能量精华*150   兑换   爆破师指环之魂*1
,10056,{rmb=388;531=150},{155=1},1,,钻石*388 指环能量精华*150   兑换   大天使指环之魂*1
,10056,{rmb=388;531=150},{156=1},1,,钻石*388 指环能量精华*150   兑换   坦克车指环之魂*1
,10056,{rmb=388;531=150},{158=1},1,,钻石*388 指环能量精华*150   兑换   异能者指环之魂*1
,,,,,,
,10059,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10059,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10059,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10059,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10059,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10059,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10059,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10059,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10059,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10059,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10059,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10060,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10060,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10060,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10060,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10060,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10060,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10060,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10060,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10060,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10060,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10060,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10061,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10061,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10061,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10061,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10061,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10061,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10061,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10061,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10061,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10061,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10061,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10062,{130=1},{530=100},1,,烈焰神圣*1   兑换   神圣计划精华*100
,10062,{131=1},{530=100},1,,暗焰神圣*1   兑换   神圣计划精华*100
,10062,{132=1},{530=100},1,,疾风神圣*1   兑换   神圣计划精华*100
,10062,{133=1},{530=100},1,,光芒神圣*1   兑换   神圣计划精华*100
,10062,{134=1},{530=100},1,,钢甲神圣*1   兑换   神圣计划精华*100
,10062,{135=1},{530=100},1,,遁甲神圣*1   兑换   神圣计划精华*100
,10062,{rmb=588},{530=50},2,,钻石*588   兑换   神圣计划精华*50
,10062,{rmb=388;530=150},{130=1},1,,钻石*388 神圣计划精华*150   兑换   烈焰神圣*1
,10062,{rmb=388;530=150},{131=1},1,,钻石*388 神圣计划精华*150   兑换   暗焰神圣*1
,10062,{rmb=388;530=150},{132=1},1,,钻石*388 神圣计划精华*150   兑换   疾风神圣*1
,10062,{rmb=388;530=150},{133=1},1,,钻石*388 神圣计划精华*150   兑换   光芒神圣*1
,10062,{rmb=388;530=150},{134=1},1,,钻石*388 神圣计划精华*150   兑换   钢甲神圣*1
,10062,{rmb=388;530=150},{135=1},1,,钻石*388 神圣计划精华*150   兑换   遁甲神圣*1
,,,,,,
,10063,{rmb=180},{21001=3},2,,钻石*180   兑换   亚古兽碎片*3
,10063,{rmb=180},{21002=3},2,,钻石*180   兑换   加鲁鲁兽碎片*3
,10063,{rmb=180},{21004=3},2,,钻石*180   兑换   巴多拉兽碎片*3
,10063,{rmb=180},{21011=3},2,,钻石*180   兑换   战甲兽碎片*3
,10063,{rmb=180},{21015=3},2,,钻石*180   兑换   九尾狐兽碎片*3
,10063,{rmb=180},{21022=3},2,,钻石*180   兑换   巫师兽碎片*3
,10063,{rmb=180},{21033=3},2,,钻石*180   兑换   黑狮兽碎片*3
,10063,{rmb=180},{21028=3},2,,钻石*180   兑换   裂波兽碎片*3
,10063,{rmb=240},{21031=3},1,,钻石*240   兑换   电光兽碎片*3
,10063,{rmb=240},{21026=3},1,,钻石*240   兑换   伽奥伽兽碎片*3
,10063,{rmb=240},{21023=3},1,,钻石*240   兑换   火神兽碎片*3
,,,,,,
,10101,{gold=100000},{801=1},1,,金币*10W   兑换   丧尸暴龙兽皮肤（3天）*1
,10101,{rmb=380},{802=1},1,,钻石*380   兑换   丧尸暴龙兽皮肤（7天）*1
,10101,{rmb=2880},{803=1},1,,钻石*2880   兑换   丧尸暴龙兽皮肤（永久）*1
,10101,{gold=80000},{807=1},1,,金币*8W   兑换   古代甲虫兽皮肤（3天）*1
,10101,{rmb=280},{808=1},1,,钻石*280   兑换   古代甲虫兽皮肤（7天）*1
,10101,{rmb=2280},{809=1},1,,钻石*2280   兑换   古代甲虫兽皮肤（永久）*1
,10101,{gold=60000},{816=1},1,,金币*6W  兑换   爆裂蔷薇兽皮肤（3天）*1
,10101,{rmb=180},{817=1},1,,钻石*180  兑换  爆裂蔷薇兽皮肤（7天）*1
,10101,{rmb=1680},{818=1},1,,钻石*1680  兑换  爆裂蔷薇兽皮肤（永久）*1
,,,,,,
,10103,{gold=100000},{801=1},1,,金币*10W   兑换   丧尸暴龙兽皮肤（3天）*1
,10103,{rmb=380},{802=1},1,,钻石*380   兑换   丧尸暴龙兽皮肤（7天）*1
,10103,{rmb=2880},{803=1},1,,钻石*2880   兑换   丧尸暴龙兽皮肤（永久）*1
,10103,{gold=80000},{807=1},1,,金币*8W   兑换   古代甲虫兽皮肤（3天）*1
,10103,{rmb=280},{808=1},1,,钻石*280   兑换   古代甲虫兽皮肤（7天）*1
,10103,{rmb=2280},{809=1},1,,钻石*2280   兑换   古代甲虫兽皮肤（永久）*1
,10103,{gold=60000},{816=1},1,,金币*6W  兑换   爆裂蔷薇兽皮肤（3天）*1
,10103,{rmb=180},{817=1},1,,钻石*180  兑换  爆裂蔷薇兽皮肤（7天）*1
,10103,{rmb=1680},{818=1},1,,钻石*1680  兑换  爆裂蔷薇兽皮肤（永久）*1
,10103,{gold=120000},{822=1},1,,金币*12W  兑换   神官天女皮肤（3天）*1
,10103,{rmb=380},{823=1},1,,钻石*380  兑换  神官天女皮肤（7天）*1
,10103,{rmb=3280},{824=1},1,,钻石*3280  兑换  神官天女皮肤（永久）*1
,10103,{523=1},{803=1},1,,皮肤兑换券*1  兑换  丧尸暴龙兽皮肤（永久）*1
,10103,{523=1},{809=1},1,,皮肤兑换券*1  兑换  古代甲虫兽皮肤（永久）*1
,10103,{523=1},{818=1},1,,皮肤兑换券*1  兑换  爆裂蔷薇兽皮肤（永久）*1
,10103,{523=1},{824=1},1,,皮肤兑换券*1  兑换  神官天女皮肤（永久）*1
,10103,{523=1},{806=1},1,,皮肤兑换券*1  兑换  神官形态皮肤（永久）*1
,10103,{523=1},{815=1},1,,皮肤兑换券*1  兑换  真红莲形态皮肤（永久）*1
,,,,,,
,10104,{524=1},{207=1},1,,武器兑换券*1  兑换   神圣之剑*1
,10104,{524=1},{238=1},1,,武器兑换券*1  兑换   神圣闪电长矛*1
,10104,{524=1},{246=1},1,,武器兑换券*1  兑换   审判之剑*1
,10104,{524=1},{219=1},1,,武器兑换券*1  兑换   吸血魔爪*1
,,,,,,
,10105,{524=1},{207=1},1,,武器兑换券*1  兑换   神圣之剑*1
,10105,{524=1},{238=1},1,,武器兑换券*1  兑换   神圣闪电长矛*1
,10105,{524=1},{246=1},1,,武器兑换券*1  兑换   审判之剑*1
,10105,{524=1},{219=1},1,,武器兑换券*1  兑换   吸血魔爪*1
,,,,,,
,10103,{339=5},{336=5},15,,王者之印*5  兑换  希望十字架*5
,10103,{336=5},{339=5},15,,希望十字架*5  兑换  王者之印*5
,10103,{133=1},{130=1},1,,光芒神圣计划*1  兑换  烈焰神圣计划*1
,10103,{155=1},{152=1},1,,大天使指环*1  兑换  分析师指环*1
,10103,{130=1},{133=1},1,,烈焰神圣计划*1  兑换 光芒神圣计划*1
,10103,{152=1},{155=1},1,,分析师指环*1  兑换  大天使指环*1
,,,,,,
,10110,{523=1},{827=1},1,,皮肤兑换券*1  兑换  月光吸血魔兽皮肤（永久）*1
,10110,{523=1},{830=1},1,,皮肤兑换券*1  兑换  别西卜兽皮肤（永久）*1
,10110,{523=1},{rmb=2280},2,,皮肤兑换券*1  兑换  钻石*2280
,,,,,,
,10112,{gold=150000},{831=1},1,,金币*15W  兑换   凯撒暴龙兽皮肤（3天）*1
,10112,{rmb=480},{832=1},1,,钻石*480  兑换  凯撒暴龙兽皮肤（7天）*1
,10112,{rmb=3880},{833=1},1,,钻石*3880  兑换  凯撒暴龙兽皮肤（永久）*1
,10112,{gold=100000},{801=1},1,,金币*10W   兑换   丧尸暴龙兽皮肤（3天）*1
,10112,{rmb=380},{802=1},1,,钻石*380   兑换   丧尸暴龙兽皮肤（7天）*1
,10112,{rmb=2880},{803=1},1,,钻石*2880   兑换   丧尸暴龙兽皮肤（永久）*1
,10112,{gold=80000},{807=1},1,,金币*8W   兑换   古代甲虫兽皮肤（3天）*1
,10112,{rmb=280},{808=1},1,,钻石*280   兑换   古代甲虫兽皮肤（7天）*1
,10112,{rmb=2280},{809=1},1,,钻石*2280   兑换   古代甲虫兽皮肤（永久）*1
,10112,{gold=60000},{816=1},1,,金币*6W  兑换   爆裂蔷薇兽皮肤（3天）*1
,10112,{rmb=180},{817=1},1,,钻石*180  兑换  爆裂蔷薇兽皮肤（7天）*1
,10112,{rmb=1680},{818=1},1,,钻石*1680  兑换  爆裂蔷薇兽皮肤（永久）*1
,10112,{gold=120000},{822=1},1,,金币*12W  兑换   神官天女皮肤（3天）*1
,10112,{rmb=380},{823=1},1,,钻石*380  兑换  神官天女皮肤（7天）*1
,10112,{rmb=3280},{824=1},1,,钻石*3280  兑换  神官天女皮肤（永久）*1
,10112,{gold=200000},{810=1},1,,金币*20W   兑换   钢铁加鲁鲁X皮肤（3天）*1
,10112,{rmb=480},{811=1},1,,钻石*480   兑换   钢铁加鲁鲁X皮肤（7天）*1
,10112,{rmb=4880},{812=1},1,,钻石*4880   兑换   钢铁加鲁鲁X皮肤（永久）*1
,,,,,,
1001,10101,{rmb=100},{20391=3},2,,鬼斯
1002,10101,{rmb=100},{20491=3},2,,独角犀牛
1003,10101,{rmb=100},{20571=3},2,,飞天螳螂
1004,10101,{rmb=100},{20631=3},2,,暴鲤龙
1005,10101,{rmb=100},{20721=3},2,,急冻鸟
1006,10101,{rmb=100},{20771=3},2,,梦幻
1007,10101,{rmb=100},{21081=3},2,,狃拉
1008,10101,{rmb=100},{21221=3},2,,雷公
1009,10101,{rmb=100},{21251=3},2,,幼基拉斯
1010,10101,{rmb=100},{21421=3},2,,懒人獭
1011,10101,{rmb=100},{21841=3},2,,阿勃梭鲁
1012,10101,{rmb=100},{23021=3},2,,几何雪花
1013,10101,{rmb=100},{23301=3},2,,呱呱泡蛙
1014,10101,{rmb=100},{23351=3},2,,花蓓蓓
1015,10101,{rmb=100},{21891=3},2,,宝贝龙碎片
1016,10101,{rmb=100},{22241=3},2,,利欧路碎片
1017,10101,{rmb=100},{21931=3},2,,雷吉斯奇鲁碎片
1018,10101,{rmb=100},{21911=3},2,,雷吉洛克碎片
,,,,,,
1021,10102,{rmb=100},{20261=3},2,,凯西碎片
1022,10102,{rmb=100},{20401=3},2,,大岩蛇碎片
1023,10102,{rmb=100},{21231=3},2,,炎帝碎片
1024,10102,{rmb=100},{20241=3},2,,卡蒂狗碎片
1025,10102,{rmb=100},{20741=3},2,,火焰鸟碎片
1026,10102,{rmb=100},{20601=3},2,,鸭嘴宝宝碎片
1027,10102,{rmb=100},{20491=3},2,,独角犀牛碎片
1028,10102,{rmb=100},{21501=3},2,,可可多拉碎片
1029,10102,{rmb=100},{23411=3},2,,独剑鞘碎片
1030,10102,{rmb=100},{20331=3},2,,小磁怪碎片
1031,10102,{rmb=100},{20591=3},2,,电击怪碎片
1032,10102,{rmb=100},{20881=3},2,,咩利羊碎片
1033,10102,{rmb=100},{20731=3},2,,闪电鸟碎片
1034,10102,{rmb=100},{21221=3},2,,雷公碎片
1035,10102,{rmb=100},{20711=3},2,,卡比兽碎片
1036,10102,{rmb=100},{21311=3},2,,水跃鱼碎片
1037,10102,{rmb=100},{23661=3},2,,木木枭碎片
1038,10102,{rmb=100},{22231=3},2,,圆陆鲨碎片
,,,,,,
1501,10501,{200=1},{6060=100},1,,"200	翡翠护符"
1502,10501,{201=1},{6060=100},1,,"201	精致护符"
1503,10501,{202=1},{6060=100},1,,"202	通讯护符"
1504,10501,{203=1},{6060=100},1,,"203	酒红护符"
