变量名,_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,award,vip,activeDays,jumpTo
303,购买体力,8829,26,3,,购买体力3次,{31301=1;rmb=12},,,
304,购买体力,8829,26,4,,购买体力4次,{card={id=12};rmb=12},,,
305,购买体力,8829,26,5,,购买体力5次,{card={id=13};rmb=12},,,
306,购买体力,8829,26,6,,购买体力6次,{card={id=1};rmb=12},,,
307,购买体力,8829,26,7,,购买体力7次,{card={id=21};rmb=12},,,
,,,,,,,,,,
401,累积登录_测试任务,8830,17,1,,累计登录1天,{gold=2000;rmb=10},,,
402,累积登录,8830,17,2,,累计登录2天,{gold=2000;rmb=10},,,
403,累积登录,8830,17,3,,累计登录3天,{gold=2000;rmb=10},,,
404,累积登录,8830,17,4,,累计登录4天,{gold=2000;rmb=10},,,
405,累积登录,8830,17,5,,累计登录5天,{gold=2000;rmb=10},,,
406,累积登录,8830,17,6,,累计登录6天,{gold=2000;rmb=10},,,
407,累积登录,8830,17,7,,累计登录7天,{gold=2000;rmb=10},,,
,,,,,,,,,,
501,测试任务,100033,1,25,,角色等级达到25级,{gold=2000;rmb=10},,,
502,测试任务,100033,2,10102,,通关第一章第2关卡,{gold=2000;rmb=10},,,
503,测试任务,100033,3,5,,拥有5个任意精灵,{gold=2000;rmb=10},,,
504,测试任务,100033,5,7,,VIP等级达到7级,{gold=2000;rmb=10},,,
505,测试任务,100033,6,10000,,战斗力达到10000,{gold=2000;rmb=10},,,
506,测试任务,100033,9,,{5=3},拥有5个A级精灵,{gold=2000;rmb=10},,,
507,测试任务,100033,10,,{2=4},拥有4星精灵2个,{gold=2000;rmb=10},,,
508,测试任务,100033,11,,{1=3},拥有蓝色饰品1个,{gold=2000;rmb=10},,,
509,测试任务,100033,12,,{1=2},拥有2星饰品1个,{gold=2000;rmb=10},,,
510,测试任务,100033,13,1,,激活妙蛙种子,{gold=2000;rmb=10},,,
511,测试任务,100033,15,,,今日登录,{gold=2000;rmb=10},,,
512,测试任务,100033,17,2,,登录2天,{gold=2000;rmb=10},,,
513,测试任务,100033,18,2,,累计聚宝2次,{gold=2000;rmb=10},,,
514,测试任务,100033,19,10000,,累计获得10000金币,{gold=2000;rmb=10},,,
515,测试任务,100033,20,10000,,累计消耗10000金币,{gold=2000;rmb=10},,,
516,测试任务,100033,21,500,,累计消费500钻石,{gold=2000;rmb=10},,,
517,测试任务,100033,22,500,,累计充值500钻石,{gold=2000;rmb=10},,,
518,测试任务,100033,26,2,,累计购买体力2次,{gold=2000;rmb=10},,,
519,测试任务,100033,29,2,,累计挑战普通关卡2次,{gold=2000;rmb=10},,,
520,测试任务,100033,30,1,,累计挑战困难关卡1次,{gold=2000;rmb=10},,,
521,测试任务,100033,31,1,,累计挑战噩梦关卡1次,{gold=2000;rmb=10},,,
522,测试任务,100033,32,2,,累计通关活动副本2次,{gold=2000;rmb=10},,,
523,测试任务,100033,33,2,,累计通关任意关卡2次,{gold=2000;rmb=10},,,
524,测试任务,100033,34,10,,任意精灵技能升级10次,{gold=2000;rmb=10},,,
525,测试任务,100033,35,5,,累计精灵进阶5次,{gold=2000;rmb=10},,,
526,测试任务,100033,36,5,,累计精灵升级5次,{gold=2000;rmb=10},,,
527,测试任务,100033,37,5,,累计精灵升星5次,{gold=2000;rmb=10},,,
528,测试任务,100033,38,5,,累计饰品强化5次,{gold=2000;rmb=10},,,
529,测试任务,100033,39,2,,累计饰品突破2次,{gold=2000;rmb=10},,,
530,测试任务,100033,40,2,,累计饰品升星2次,{gold=2000;rmb=10},,,
531,测试任务,100033,41,5,,竞技场战斗5次,{gold=2000;rmb=10},,,
532,测试任务,100033,43,500,,竞技场积分达到20,{gold=2000;rmb=10},,,
533,测试任务,100033,44,10,,竞技场排名达到10,{gold=2000;rmb=10},,,
534,测试任务,100033,46,2,,进行钻石10连抽2次,{gold=2000;rmb=10},,,
535,测试任务,100033,47,2,,进行钻石单抽2次,{gold=2000;rmb=10},,,
536,测试任务,100033,48,2,,进行金币10连抽2次,{gold=2000;rmb=10},,,
537,测试任务,100033,49,2,,进行金币单抽2次,{gold=2000;rmb=10},,,
538,测试任务,100033,50,6,,钻石抽卡5次,{gold=2000;rmb=10},,,
539,测试任务,100033,51,6,,金币抽卡5次,{gold=2000;rmb=10},,,
540,测试任务,100033,52,6,,饰品抽卡5次,{gold=2000;rmb=10},,,
541,测试任务,100033,53,2,,进行饰品10连抽2次,{gold=2000;rmb=10},,,
542,测试任务,100033,54,2,,进行饰品单抽2次,{gold=2000;rmb=10},,,
543,测试任务,100033,55,3,,公会捐献3次,{gold=2000;rmb=10},,,
544,测试任务,100033,57,2,,公会发红包2次,{gold=2000;rmb=10},,,
545,测试任务,100033,58,2,,公会抢红包2次,{gold=2000;rmb=10},,,
546,测试任务,100033,59,1,,参与公会副本1次,{gold=2000;rmb=10},,,
547,测试任务,100033,60,2,,以太乐园通关2个房间,{gold=2000;rmb=10},,,
548,测试任务,100033,61,6,,以太乐园宝箱开启6次,{gold=2000;rmb=10},,,
549,测试任务,100033,62,100,,以太乐园当日积分达到100,{gold=2000;rmb=10},,,
550,测试任务,100033,63,300,,以太乐园积分达到300,{gold=2000;rmb=10},,,
551,测试任务,100033,64,2,,随机试炼塔累计通过2层数,{gold=2000;rmb=11},,,
552,测试任务,100033,66,3,,参与元素挑战胜利3次,{gold=2000;rmb=12},,,
553,测试任务,100033,67,3,,随机试炼塔最高通过3层数,{gold=2000;rmb=13},,,
554,测试任务,100033,70,3,,日常任务完成3次,{gold=2000;rmb=14},,,
555,测试任务,100033,83,3,,探险器组件升级3次,{gold=2000;rmb=10},,,
556,测试任务,100033,84,3,,探险器激活/进阶3次,{gold=2000;rmb=10},,,
557,测试任务,100033,85,3,,完成派遣任务3次,{gold=2000;rmb=10},,,
558,测试任务,100033,86,,{3=4},完成S品质派遣任务3次,{gold=2000;rmb=10},,,
559,测试任务,100033,87,3,,携带道具强化3次,{gold=2000;rmb=10},,,
560,测试任务,100033,88,3,,携带道具突破3次,{gold=2000;rmb=10},,,
561,测试任务,100033,89,20,,努力值培养20次,{gold=2000;rmb=10},,,
562,测试任务,100033,90,10,,努力值普通培养10次,{gold=2000;rmb=10},,,
563,测试任务,100033,91,10,,努力值高级培养10次,{gold=2000;rmb=10},,,
564,测试任务,100033,92,3,,潜能升级3次,{gold=2000;rmb=10},,,
565,测试任务,100033,95,10,,限定抽卡10次,{gold=2000;rmb=10},,,
566,测试任务,100033,96,3,,钻石和限定抽卡3次,{gold=2000;rmb=10},,,
,,,,,,,,,,
601,测试任务,100034,64,2,,随机试炼塔累计通过2层数,{gold=2000;rmb=11},,,
602,测试任务,100034,67,3,,随机试炼塔最高通过3层数,{gold=2000;rmb=13},,,
603,测试任务,100034,60,2,,以太乐园通关2个房间,{gold=2000;rmb=10},,,
,,,,,,,,,,
611,5级等级礼包_测试任务,100035,1,5,,等级达到5级,{gold=100000;rmb=100;11=30;5000=10},,,
612,10级等级礼包,100035,1,10,,等级达到10级,{gold=150000;rmb=200;11=30;19=5},,,
613,15级等级礼包,100035,1,15,,等级达到15级,{gold=200000;rmb=300;11=30;100=5},,,
,,,,,,,,,,
621,20级等级礼包,100036,1,20,,等级达到20级,{gold=250000;rmb=300;12=20;800=5},,,
622,25级等级礼包,100036,1,25,,等级达到25级,{gold=300000;rmb=400;12=20;801=5},,,
623,30级等级礼包,100036,1,30,,等级达到30级,{gold=350000;rmb=400;12=20;451=5},,,
,,,,,,,,,,
,,,,,,,,,,
1001,开服活动-抽卡送暴鲤龙,1001,51,10,,在金币抽卡中抽卡10次,{20631=2;gold=10000;13=10},,,
1002,开服活动-抽卡送暴鲤龙,1001,51,20,,在金币抽卡中抽卡20次,{20631=2;gold=20000;13=10},,,
1003,开服活动-抽卡送暴鲤龙,1001,50,2,,在钻石抽卡中抽卡2次,{20631=2;gold=20000;13=10},,,
1004,开服活动-抽卡送暴鲤龙,1001,50,10,,在钻石抽卡中抽卡10次,{20631=4;gold=20000;13=10},,,
1005,开服活动-抽卡送暴鲤龙,1001,50,20,,在钻石抽卡中抽卡20次,{20631=6;gold=30000;13=10},,,
1006,开服活动-抽卡送暴鲤龙,1001,50,30,,在钻石抽卡中抽卡30次,{20631=6;gold=40000;13=10},,,
1007,开服活动-抽卡送暴鲤龙,1001,50,40,,在钻石抽卡中抽卡40次,{20631=8;gold=50000;14=10},,,
1008,开服活动-抽卡送暴鲤龙,1001,50,60,,在钻石抽卡中抽卡60次,{card={id=631};14=10;gold=60000},,,
1009,开服活动-抽卡送暴鲤龙,1001,50,80,,在钻石抽卡中抽卡80次,{talent_point=6;gold=80000;14=10},,,
1010,开服活动-抽卡送暴鲤龙,1001,50,100,,在钻石抽卡中抽卡100次,{20631=10;gold=100000;15=10},,,
1011,开服活动-抽卡送暴鲤龙,1001,50,120,,在钻石抽卡中抽卡120次,{20631=10;gold=120000;15=10},,,
1012,开服活动-抽卡送暴鲤龙,1001,50,150,,在钻石抽卡中抽卡150次,{card={id=631};15=10;gold=150000},,,
,,,,,,,,,,
1031,开服活动-充值送黏美龙,1002,22,60,,充值60钻石,{gold=60000;rmb=60;5000=20;501=1},,,
1032,开服活动-充值送黏美龙,1002,22,300,,充值300钻石,{gold=80000;503=3;13=20;501=1},,,
1033,开服活动-充值送黏美龙,1002,22,600,,充值600钻石,{gold=100000;503=5;2102=3;930=30},,,
1034,开服活动-充值送黏美龙,1002,22,980,,充值980钻石,{gold=120000;901=20;2102=3;501=1},,,
1035,开服活动-充值送黏美龙,1002,22,1980,,充值1980钻石,{card={id=3541};gold=140000;902=30;2102=3},,,
1036,开服活动-充值送黏美龙,1002,22,3280,,充值3280钻石,{gold=160000;502=15;2103=1;501=3},,,
1037,开服活动-充值送黏美龙,1002,22,6480,,充值6480钻石,{gold=180000;23541=50;2103=1;14=20},,,
1038,开服活动-充值送黏美龙,1002,22,9680,,充值9680钻石,{gold=200000;213=1;223=1;14=20},,,
1039,开服活动-充值送黏美龙,1002,22,12000,,充值12000钻石,{gold=220000;23541=100;2103=2;14=30},,,
1040,开服活动-充值送黏美龙,1002,22,15000,,充值15000钻石,{gold=250000;203=1;233=1;14=50},,,
1041,开服活动-充值送黏美龙,1002,22,20000,,充值20000钻石,{gold=300000;23541=100;942=1;14=50},,,
1042,开服活动-充值送黏美龙,1002,22,25000,,充值25000钻石.,{gold=500000;502=50;902=50;14=50},,,
,,,,,,,,,,
1051,开服活动-充值送火焰鸟,1003,22,60,,充值60钻石,{gold=60000;rmb=60;5000=20;14=10},,,
1052,开服活动-充值送火焰鸟,1003,22,300,,充值300钻石,{gold=80000;901=20;2102=3;14=10},,,
1053,开服活动-充值送火焰鸟,1003,22,600,,充值600钻石,{gold=100000;501=2;2102=3;14=10},,,
1054,开服活动-充值送火焰鸟,1003,22,1280,,充值1280钻石,{gold=120000;519=10;2102=3;14=15},,,
1055,开服活动-充值送火焰鸟,1003,22,1980,,充值1980钻石,{gold=140000;502=10;19=10;14=15},,,
1056,开服活动-充值送火焰鸟,1003,22,3280,,充值3280钻石,{gold=160000;519=10;2103=1;14=20},,,
1057,开服活动-充值送火焰鸟,1003,22,6480,,充值6480钻石,{card={id=741};gold=180000;2103=1;14=20},,,
1058,开服活动-充值送火焰鸟,1003,22,9680,,充值9680钻石,{gold=200000;213=1;223=1;14=20},,,
1059,开服活动-充值送火焰鸟,1003,22,12000,,充值12000钻石,{gold=220000;20741=100;2103=2;14=30},,,
1060,开服活动-充值送火焰鸟,1003,22,15000,,充值15000钻石,{gold=250000;203=1;233=1;14=40},,,
1061,开服活动-充值送火焰鸟,1003,22,20000,,充值20000钻石,{gold=300000;20741=100;942=1;14=50},,,
1062,开服活动-充值送火焰鸟,1003,22,25000,,充值25000钻石,{gold=500000;502=50;902=50;14=50},,,
,,,,,,,,,,
1071,开服活动-消耗送小磁怪,1004,21,300,,累计消耗300钻石,{gold=60000;5000=10;930=10},,,
1072,开服活动-消耗送小磁怪,1004,21,1000,,累计消耗1000钻石,{gold=80000;5000=15;20331=10},,,
1073,开服活动-消耗送小磁怪,1004,21,2000,,累计消耗2000钻石,{gold=80000;5000=10;452=20},,,
1074,开服活动-消耗送小磁怪,1004,21,4000,,累计消耗4000钻石,{gold=100000;5000=15;20331=20},,,
1075,开服活动-消耗送小磁怪,1004,21,7000,,累计消耗7000钻石,{gold=120000;5000=15;452=30},,,
1076,开服活动-消耗送小磁怪,1004,21,10000,,累计消耗10000钻石,{gold=120000;5000=15;20331=30},,,
1077,开服活动-消耗送小磁怪,1004,21,14000,,累计消耗14000钻石,{gold=140000;5000=20;452=40},,,
1078,开服活动-消耗送小磁怪,1004,21,18000,,累计消耗18000钻石,{gold=160000;5000=20;20331=40},,,
1079,开服活动-消耗送小磁怪,1004,21,22000,,累计消耗22000钻石,{gold=180000;5000=25;452=50},,,
1080,开服活动-消耗送小磁怪,1004,21,25000,,累计消耗25000钻石,{gold=200000;5000=30;20331=50},,,
,,,,,,,,,,
1091,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,10,,抽饰品魔方10次,{gold=20000;talent_point=2;516=1;941=1},,,
1092,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,30,,抽饰品魔方30次,{gold=30000;talent_point=3;516=1},,,
1093,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,60,,抽饰品魔方60次,{gold=40000;talent_point=4;516=2;941=1},,,
1094,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,100,,抽饰品魔方100次,{gold=50000;talent_point=5;516=3},,,
1095,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,150,,抽饰品魔方150次,{gold=60000;talent_point=6;516=4;942=1},,,
1096,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,200,,抽饰品魔方200次,{gold=80000;talent_point=8;516=4},,,
1097,开服活动-抽饰品箱子得天赋点和紫色携带道具,1005,52,300,,抽饰品魔方300次,{gold=100000;talent_point=8;516=5;942=1},,,
,,,,,,,,,,
1101,开服活动-累积登录,1006,17,1,,累计登录1天,{rmb=100;519=10;930=5;gold=10000},,,
1102,开服活动-累积登录,1006,17,2,,累计登录2天,{card={id=271};rmb=100;31201=1;gold=10000},,,
1103,开服活动-累积登录,1006,17,3,,累计登录3天,{card={id=391};rmb=100;13=20;gold=12000},,,
1104,开服活动-累积登录,1006,17,4,,累计登录4天,{rmb=120;100=3;503=2;gold=12000},,,
1105,开服活动-累积登录,1006,17,5,,累计登录5天,{rmb=120;501=1;451=30;gold=15000},,,
1106,开服活动-累积登录,1006,17,6,,累计登录6天,{rmb=120;talent_point=3;502=2;gold=20000},,,
1107,开服活动-累积登录,1006,17,7,,累计登录7天,{card={id=771};rmb=150;13=20;gold=30000},,,
,,,,,,,,,,
1201,开服活动-等级礼包,1007,1,5,,等级达到5级,{rmb=50;20091=5;12=3;gold=5000},,,
1202,开服活动-等级礼包,1007,1,10,,等级达到10级,{rmb=50;20091=5;930=3;gold=5000},,,
1203,开服活动-等级礼包,1007,1,15,,等级达到15级,{rmb=50;20091=5;13=5;gold=8000},,,
1204,开服活动-等级礼包,1007,1,20,,等级达到20级,{rmb=50;20091=5;5000=5;gold=8000},,,
1205,开服活动-等级礼包,1007,1,25,,等级达到25级,{rmb=50;20091=5;940=1;gold=10000},,,
1206,开服活动-等级礼包,1007,1,30,,等级达到30级,{rmb=50;20091=5;talent_point=2;gold=10000},,,
1207,开服活动-等级礼包,1007,1,33,,等级达到33级,{rmb=50;20091=5;901=5;gold=15000},,,
1208,开服活动-等级礼包,1007,1,36,,等级达到36级,{rmb=50;20091=5;452=10;gold=20000},,,
1209,开服活动-等级礼包,1007,1,39,,等级达到39级,{rmb=50;20091=5;14=5;gold=25000},,,
1210,开服活动-等级礼包,1007,1,42,,等级达到42级,{rmb=50;20091=5;100=3;gold=30000},,,
1211,开服活动-等级礼包,1007,1,45,,等级达到45级,{rmb=50;20091=5;930=10;gold=35000},,,
1212,开服活动-等级礼包,1007,1,48,,等级达到48级,{rmb=50;20091=5;5000=10;gold=40000},,,
1213,开服活动-等级礼包,1007,1,50,,等级达到50级,{rmb=50;20391=5;941=1;gold=45000},,,
1214,开服活动-等级礼包,1007,1,52,,等级达到52级,{rmb=50;20391=5;talent_point=2;gold=50000},,,
1215,开服活动-等级礼包,1007,1,54,,等级达到54级,{rmb=50;20391=5;901=5;gold=60000},,,
1216,开服活动-等级礼包,1007,1,56,,等级达到56级,{rmb=50;20391=5;452=10;gold=70000},,,
1217,开服活动-等级礼包,1007,1,58,,等级达到58级,{rmb=50;20391=5;14=5;gold=80000},,,
1218,开服活动-等级礼包,1007,1,60,,等级达到60级.,{rmb=50;20391=5;100=3;gold=90000},,,
1219,开服活动-等级礼包,1007,1,62,,等级达到62级,{rmb=50;20391=5;941=1;gold=100000},,,
1220,开服活动-等级礼包,1007,1,64,,等级达到64级,{rmb=50;20391=5;talent_point=2;gold=110000},,,
1221,开服活动-等级礼包,1007,1,66,,等级达到66级,{rmb=50;20391=5;901=5;gold=120000},,,
1222,开服活动-等级礼包,1007,1,68,,等级达到68级,{rmb=50;20391=5;452=10;gold=130000},,,
1223,开服活动-等级礼包,1007,1,70,,等级达到70级,{rmb=50;20391=5;14=5;gold=140000},,,
1224,开服活动-等级礼包,1007,1,72,,等级达到72级,{rmb=50;20391=5;100=3;gold=150000},,,
1225,开服活动-等级礼包,1007,1,74,,等级达到74级,{rmb=50;20391=5;941=1;gold=160000},,,
1226,开服活动-等级礼包,1007,1,76,,等级达到76级,{rmb=50;20391=5;talent_point=2;gold=170000},,,
1227,开服活动-等级礼包,1007,1,78,,等级达到78级,{rmb=50;20391=5;901=5;gold=180000},,,
1228,开服活动-等级礼包,1007,1,80,,等级达到80级,{rmb=50;20391=5;452=10;gold=190000},,,
1229,开服活动-等级礼包,1007,1,82,,等级达到82级,{rmb=50;20391=5;14=5;gold=200000},,,
1241,开服活动-等级礼包,1007,1,84,,等级达到84级,{rmb=50;20391=5;100=3;gold=210000},,,
1242,开服活动-等级礼包,1007,1,86,,等级达到86级,{rmb=50;20391=5;452=10;gold=220000},,,
1243,开服活动-等级礼包,1007,1,88,,等级达到88级.,{rmb=50;20391=5;14=5;gold=230000},,,
1244,开服活动-等级礼包,1007,1,90,,等级达到90级,{rmb=50;20391=5;100=3;gold=240000},,,
,,,,,,,,,,
1230,开服活动-消耗送普通和神兽万能碎片,1008,21,300,,累计消耗300钻石,{gold=60000;503=1;13=10},,,
1231,开服活动-消耗送普通和神兽万能碎片,1008,21,600,,累计消耗600钻石,{gold=60000;503=1;13=10},,,
1232,开服活动-消耗送普通和神兽万能碎片,1008,21,1000,,累计消耗1000钻石,{gold=80000;503=1;13=20},,,
1233,开服活动-消耗送普通和神兽万能碎片,1008,21,2000,,累计消耗2000钻石,{gold=80000;503=2;14=10},,,
1234,开服活动-消耗送普通和神兽万能碎片,1008,21,3000,,累计消耗3000钻石,{gold=80000;503=2;14=10},,,
1235,开服活动-消耗送普通和神兽万能碎片,1008,21,5000,,累计消耗5000钻石,{gold=100000;502=10;14=10},,,
1236,开服活动-消耗送普通和神兽万能碎片,1008,21,7000,,累计消耗7000钻石,{gold=120000;502=10;15=10},,,
1237,开服活动-消耗送普通和神兽万能碎片,1008,21,10000,,累计消耗10000钻石,{gold=140000;502=15;902=20},,,
1238,开服活动-消耗送普通和神兽万能碎片,1008,21,15000,,累计消耗15000钻石,{gold=160000;502=15;902=20},,,
1239,开服活动-消耗送普通和神兽万能碎片,1008,21,20000,,累计消耗20000钻石,{gold=180000;521=30;902=30},,,
1240,开服活动-消耗送普通和神兽万能碎片,1008,21,30000,,累计消耗30000钻石.,{gold=200000;521=50;902=30},,,
,,,,,,,,,,
1250,开服活动-抽卡送梦幻碎片,1009,51,10,,金币抽卡10次,{20771=2;gold=10000;13=10},,,
1251,开服活动-抽卡送梦幻碎片,1009,51,20,,金币抽卡20次,{20771=2;gold=20000;13=10},,,
1252,开服活动-抽卡送梦幻碎片,1009,50,2,,钻石抽卡2次,{20771=2;gold=20000;13=10},,,
1253,开服活动-抽卡送梦幻碎片,1009,50,10,,钻石抽卡10次,{20771=4;gold=30000;12=10},,,
1254,开服活动-抽卡送梦幻碎片,1009,50,20,,钻石抽卡20次,{20771=4;gold=40000;12=10},,,
1255,开服活动-抽卡送梦幻碎片,1009,50,30,,钻石抽卡30次,{20771=6;gold=50000;12=10;519=5},,,
1256,开服活动-抽卡送梦幻碎片,1009,50,40,,钻石抽卡40次,{20771=6;gold=60000;13=10},,,
1257,开服活动-抽卡送梦幻碎片,1009,50,60,,钻石抽卡60次,{20771=8;gold=80000;13=10},,,
1258,开服活动-抽卡送梦幻碎片,1009,50,80,,钻石抽卡80次,{20771=10;gold=100000;13=10},,,
1259,开服活动-抽卡送梦幻碎片,1009,50,100,,钻石抽卡100次,{20771=15;gold=120000;13=10;519=10},,,
1260,开服活动-抽卡送梦幻碎片,1009,50,120,,钻石抽卡120次,{20771=20;gold=150000;14=10},,,
1261,开服活动-抽卡送梦幻碎片,1009,50,150,,钻石抽卡150次,{20771=25;gold=150000;14=10},,,
,,,,,,,,,,
1271,开服活动-累积登录,1010,17,1,,累计登录1天,{rmb=50;520=1;gold=10000},,,
1272,开服活动-累积登录,1010,17,2,,累计登录2天,{rmb=50;503=1;gold=10000},,,
1273,开服活动-累积登录,1010,17,3,,累计登录3天,{rmb=100;519=1;gold=12000},,,
1274,开服活动-累积登录,1010,17,4,,累计登录4天,{rmb=50;502=3;gold=12000},,,
1275,开服活动-累积登录,1010,17,5,,累计登录5天,{rmb=50;501=1;gold=15000},,,
1276,开服活动-累积登录,1010,17,6,,累计登录6天,{rmb=50;503=1;gold=20000},,,
1277,开服活动-累积登录,1010,17,7,,累计登录7天,{rmb=100;6050=1;gold=30000},,,
,,,,,,,,,,
1281,开服活动-抽探险器,1011,94,5,,探险寻宝5次,{gold=20000;4000=50;961=1},,,
1282,开服活动-抽探险器,1011,94,10,,探险寻宝10次,{gold=30000;4000=50;961=1},,,
1283,开服活动-抽探险器,1011,94,30,,探险寻宝30次,{gold=40000;4000=100;962=1},,,
1284,开服活动-抽探险器,1011,94,50,,探险寻宝50次,{gold=50000;4000=100;962=1},,,
1285,开服活动-抽探险器,1011,94,70,,探险寻宝70次,{gold=60000;4000=100;962=1},,,
1286,开服活动-抽探险器,1011,94,100,,探险寻宝100次,{gold=80000;4000=200;963=1},,,
1287,开服活动-抽探险器,1011,94,150,,探险寻宝150次,{gold=100000;4000=200;963=1},,,
,,,,,,,,,,
1291,开服活动-累积登录,1012,17,1,,累计登录1天,{rmb=50;502=2;gold=10000},,,
1292,开服活动-累积登录,1012,17,2,,累计登录2天,{rmb=50;503=1;gold=10000},,,
1293,开服活动-累积登录,1012,17,3,,累计登录3天,{rmb=100;519=1;gold=12000},,,
1294,开服活动-累积登录,1012,17,4,,累计登录4天,{rmb=50;502=3;gold=12000},,,
1295,开服活动-累积登录,1012,17,5,,累计登录5天,{rmb=50;501=1;gold=15000},,,
1296,开服活动-累积登录,1012,17,6,,累计登录6天,{rmb=50;520=1;gold=20000},,,
1297,开服活动-累积登录,1012,17,7,,累计登录7天,{rmb=100;502=6;gold=30000},,,
,,,,,,,,,,
1300,开服活动-充值送水君-正式改版,1013,22,60,,充值60钻石,{gold=60000;rmb=60;5000=20;501=1},,,
1301,开服活动-充值送水君-正式改版,1013,22,300,,充值300钻石,{gold=80000;503=3;13=20;501=1},,,
1302,开服活动-充值送水君-正式改版,1013,22,600,,充值600钻石,{gold=100000;503=5;2102=3;930=30},,,
1303,开服活动-充值送水君-正式改版,1013,22,980,,充值980钻石,{gold=120000;901=20;2102=3;501=1},,,
1304,开服活动-充值送水君-正式改版,1013,22,1980,,充值1980钻石,{card={id=1241};gold=140000;902=30;2102=3},,,
1305,开服活动-充值送水君-正式改版,1013,22,3280,,充值3280钻石,{gold=160000;502=15;2103=1;501=3},,,
1306,开服活动-充值送水君-正式改版,1013,22,6480,,充值6480钻石,{gold=180000;21241=50;2103=1;14=20},,,
1307,开服活动-充值送水君-正式改版,1013,22,9680,,充值9680钻石,{gold=200000;212=1;222=1;14=20},,,
1308,开服活动-充值送水君-正式改版,1013,22,12000,,充值12000钻石,{gold=220000;21241=100;2103=2;14=30},,,
1309,开服活动-充值送水君-正式改版,1013,22,15000,,充值15000钻石,{gold=250000;202=1;232=1;14=50},,,
1310,开服活动-充值送水君-正式改版,1013,22,20000,,充值20000钻石,{gold=300000;21241=100;942=1;14=50},,,
1311,开服活动-充值送水君-正式改版,1013,22,25000,,充值25000钻石,{gold=500000;502=50;902=50;14=50},,,
,,,,,,,,,,
1321,开服活动-充值送炎帝-正式改版,1014,22,60,,充值60钻石,{gold=60000;rmb=60;5000=20;14=10},,,
1322,开服活动-充值送炎帝-正式改版,1014,22,300,,充值300钻石,{gold=80000;901=20;2102=3;14=10},,,
1323,开服活动-充值送炎帝-正式改版,1014,22,600,,充值600钻石,{gold=100000;501=2;2102=3;14=10},,,
1324,开服活动-充值送炎帝-正式改版,1014,22,1280,,充值1280钻石,{gold=120000;519=10;2102=3;14=15},,,
1325,开服活动-充值送炎帝-正式改版,1014,22,1980,,充值1980钻石,{gold=140000;502=10;19=10;14=15},,,
1326,开服活动-充值送炎帝-正式改版,1014,22,3280,,充值3280钻石,{gold=160000;519=10;2103=1;14=20},,,
1327,开服活动-充值送炎帝-正式改版,1014,22,6480,,充值6480钻石,{card={id=1231};gold=180000;2103=1;14=20},,,
