变量名,huodongID,_beizhu,name,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,clientParam,idLimit
145,23105,探险器礼包-98元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,,,
146,23105,饰品抽卡礼包-98元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,,,
147,23105,紫色礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,,,
148,23105,紫色礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,,,
149,23105,升星礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{card={id=9002};rmb=2680;gold=200000},111,,,,,activity/direct_gift/icon_gjbx4.png,,,,,
150,23105,觉醒礼包-328元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,,,
151,23105,升星礼包-648元-限购2次-新手礼包,开服特惠礼包,2,,{card={id=9003};rmb=6480;gold=600000},113,,,,,activity/direct_gift/icon_gjbx13.png,,,,,
,,,,,,,,,,,,,,,,,
159,23106,每日神兽礼包-12元-限购一次,每日神兽礼包,1,,{rmb=120;521=1;520=1},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,
160,23106,日礼包-免费领取,免费礼包,1,,{rmb=10;516=1;gold=10000},,0,0,TRUE,,activity/direct_gift/icon_cjbx.png,,,,,
161,23106,每日成长礼包-6元-限购一次,每日成长礼包,1,,{rmb=120;stamina=100;503=1},102,,0,TRUE,,activity/direct_gift/icon_cjbx13.png,,,,,
162,23106,每日抽卡礼包-6元-限购一次,每日抽卡礼包,1,,{rmb=120;519=1;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx2.png,,,,,
163,23106,每日碎片礼包-6元-限购一次,每日碎片礼包,1,,{rmb=120;502=2;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,
164,23106,努力养成礼包-30元-限购一次,努力养成礼包,1,,{rmb=300;452=50;451=100},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,,,
165,23106,携带养成礼包-30元-限购一次,携带养成礼包,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,,,
166,23106,好感度礼包-30元-限购一次,好感度礼包,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,,,
167,23106,金币礼包-30元-限购一次,金币礼包,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,,,
168,23106,洗练礼包-30元-限购一次,个体值礼包,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,,,
169,23106,符石礼包-30元-活动限购1次,符石礼包,1,,{rmb=300;529=1000},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,,,
10170,23106,道馆礼包-30元-限购一次,道馆礼包,1,68,{rmb=300;151=300;152=30},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,<cn>,,
10171,23106,芯片礼包-30元-限购一次,芯片礼包,1,80,{rmb=300;124=15},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,<cn>,,
,,,,,,,,,,,,,,,,,
170,23107,周礼包-免费领取,免费礼包,1,,{rmb=30;502=1;gold=30000},,0,0,,1,activity/direct_gift/icon_cjbx.png,,,,,
171,23107,抽卡礼包-98元-每周限购1次,抽卡礼包,2,,{rmb=980;519=10},108,,0,,1,activity/direct_gift/icon_zjbx3.png,,,,,
172,23107,探险器礼包-98元-每周限购2次,探险器礼包,2,,{rmb=980;520=10;4000=100},108,,0,,1,activity/direct_gift/icon_zjbx7.png,,,,,
173,23107,饰品抽卡礼包-98元-每周限购2次,饰品抽卡礼包,2,,{rmb=980;503=20;501=1},108,,0,,1,activity/direct_gift/icon_zjbx8.png,,,,,
174,23107,万能碎片礼包-198元-每周限购2次,升星礼包,2,,{rmb=1980;502=30},111,,0,,1,activity/direct_gift/icon_gjbx17.png,,,,,
175,23107,抽卡礼包-328元-每周限购2次,抽卡礼包,2,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,,,
176,23107,升星礼包-328元-每周限购2次,升星礼包,2,,{card={id=9002};rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,,,
177,23107,紫色礼包-328元-每周限购2次,携带道具礼包,2,,{rmb=3280;942=1;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,,,
178,23107,升星礼包-648元-每周限购2次,升星礼包,2,,{rmb=6480;521=30;gold=500000},113,,3,,1,activity/direct_gift/icon_gjbx19.png,,,,,
10179,23107,符石礼包-198元-每周限购2次,符石礼包,2,,{rmb=1980;531=30;529=3000},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,,,
10180,23107,道馆礼包-198元-每周限购2次,道馆礼包,2,68,{rmb=1980;151=1500;152=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>,,
10181,23107,饰品礼包-328元-每周限购2次,饰品升星礼包,2,,{rmb=3280;6059=1;501=8},112,,2,,1,activity/direct_gift/icon_zjbx8.png,,,,,
10182,23107,刻印礼包-198元-每周限购2次,刻印礼包,2,78,{rmb=1980;111=750;112=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>,,
,,,,,,,,,,,,,,,,,
179,23108,特惠礼包-免费领取,开服特惠礼包,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,
180,23108,特惠礼包-6元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,,,
181,23108,特惠礼包-6元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,,,
182,23108,特惠礼包-30元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,,,
183,23108,特惠礼包-60元-限购一次-新手礼包,开服特惠礼包,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,,,
184,23108,探险器礼包-98元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,,,
185,23108,饰品抽卡礼包-98元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,,,
186,23108,紫色礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,,,
187,23108,紫色礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,,,
188,23108,升星礼包-198元-限购2次-新手礼包,开服特惠礼包,2,,{card={id=9002};rmb=2680;gold=150000;13=20},111,,,,,activity/direct_gift/icon_gjbx4.png,,,,,
189,23108,觉醒礼包-328元-限购2次-新手礼包,开服特惠礼包,2,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,,,
190,23108,升星礼包-648元-限购2次-新手礼包,开服特惠礼包,2,,{card={id=9003};rmb=6480;gold=500000;13=50},113,,,,,activity/direct_gift/icon_gjbx13.png,,,,,
,,,,,,,,,,,,,,,,,
200,23109,特惠礼包-免费领取-韩服增加数量,开服特惠礼包,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,
201,23109,特惠礼包-6元-限购一次-新手礼包-韩服增加数量,开服特惠礼包,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,,,
202,23109,特惠礼包-6元-限购一次-新手礼包-韩服增加数量,开服特惠礼包,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,,,
203,23109,特惠礼包-30元-限购一次-新手礼包-韩服增加数量,开服特惠礼包,2,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,,,
204,23109,特惠礼包-60元-限购一次-新手礼包-韩服增加数量,开服特惠礼包,2,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,,,
205,23109,探险器礼包-98元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,,,
206,23109,饰品抽卡礼包-98元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,,,
207,23109,紫色礼包-198元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,,,
208,23109,紫色礼包-198元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,,,
209,23109,升星礼包-198元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{card={id=9002};rmb=2680;gold=150000;13=20},111,,,,,activity/direct_gift/icon_gjbx4.png,,,,,
210,23109,觉醒礼包-328元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,3,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,,,
211,23109,升星礼包-648元-限购2次-新手礼包-韩服增加数量,开服特惠礼包,4,,{card={id=9003};rmb=6480;gold=500000;13=50},113,,,,,activity/direct_gift/icon_gjbx13.png,,,,,
,,,,,,,,,,,,,,,,,
220,22110,每日神兽礼包-12元-限购一次-韩服增加数量,每日神兽礼包,1,,{rmb=120;521=1;520=1},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,
221,22110,日礼包-免费领取,免费礼包,1,,{rmb=10;516=1;gold=10000},,0,0,TRUE,,activity/direct_gift/icon_cjbx.png,,,,,
222,22110,每日成长礼包-6元-限购一次-韩服增加数量,每日成长礼包,1,,{rmb=120;stamina=100;503=1},102,,0,TRUE,,activity/direct_gift/icon_cjbx13.png,,,,,
223,22110,每日抽卡礼包-6元-限购一次-韩服增加数量,每日抽卡礼包,1,,{rmb=120;519=1;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx2.png,,,,,
224,22110,每日碎片礼包-6元-限购一次-韩服增加数量,每日碎片礼包,1,,{rmb=120;502=2;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,
225,22110,努力养成礼包-30元-限购一次-韩服增加数量,努力养成礼包,1,,{rmb=300;452=50;451=100},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,,,
226,22110,携带养成礼包-30元-限购一次-韩服增加数量,携带养成礼包,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,,,
227,22110,好感度礼包-30元-限购一次-韩服增加数量,好感度礼包,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,,,
228,22110,金币礼包-30元-限购一次-韩服增加数量,金币礼包,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,,,
229,22110,洗练礼包-30元-限购一次-韩服增加数量,个体值礼包,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,,,
,22110,符石礼包-30元-活动限购1次,符石礼包,1,,{rmb=300;529=1000},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,,,
,22110,道馆礼包-30元-限购一次,道馆礼包,1,68,{rmb=300;151=300;152=30},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,,,
,,,,,,,,,,,,,,,,,
240,22111,周礼包-免费领取-韩服增加数量,免费礼包,1,,{rmb=30;502=1;gold=30000},,0,0,,1,activity/direct_gift/icon_cjbx.png,,,,,
241,22111,抽卡礼包-98元-每周限购1次-韩服增加数量,抽卡礼包,3,,{rmb=980;519=10},108,,0,,1,activity/direct_gift/icon_zjbx3.png,,,,,
242,22111,探险器礼包-98元-每周限购2次-韩服增加数量,探险器礼包,3,,{rmb=980;520=10;4000=100},108,,0,,1,activity/direct_gift/icon_zjbx7.png,,,,,
243,22111,饰品抽卡礼包-98元-每周限购2次-韩服增加数量,饰品抽卡礼包,3,,{rmb=980;503=20;501=1},108,,0,,1,activity/direct_gift/icon_zjbx8.png,,,,,
244,22111,万能碎片礼包-198元-每周限购2次-韩服增加数量,升星礼包,3,,{rmb=1980;502=30},111,,0,,1,activity/direct_gift/icon_gjbx17.png,,,,,
245,22111,抽卡礼包-328元-每周限购2次-韩服增加数量,抽卡礼包,3,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,,,
246,22111,升星礼包-328元-每周限购2次-韩服增加数量,升星礼包,3,,{card={id=9002};rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,,,
247,22111,紫色礼包-328元-每周限购2次-韩服增加数量,携带道具礼包,3,,{rmb=3280;942=1;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,,,
248,22111,升星礼包-648元-每周限购2次-韩服增加数量,升星礼包,3,,{rmb=6480;521=30;gold=500000},113,,2,,1,activity/direct_gift/icon_gjbx19.png,,,,,
,22111,符石礼包-198元-每周限购2次,符石礼包,2,,{rmb=1980;531=30;529=3000},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,,,
,22111,道馆礼包-198元-每周限购2次,道馆礼包,2,68,{rmb=1980;151=1500;152=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,,,
,,,,,,,,,,,,,,,,,
1001,23111,每日成长礼包-1元-限购一次,每日成长礼包,1,,{rmb=20;stamina=50;gold=10000},102,,,TRUE,,,,,,,
1002,23111,每日成长礼包-6元-限购一次,每日抽卡礼包,1,,{rmb=60;519=1;gold=20000},102,,,TRUE,,activity/direct_gift/icon_cjbx2.png,,,,,
1003,23111,每日成长礼包-6元-限购一次,每日碎片礼包,1,,{rmb=60;502=1;gold=20000},102,,,TRUE,,activity/direct_gift/icon_cjbx3.png,,,,,
1004,23111,每日成长礼包-30元-限购一次,努力养成礼包,1,,{rmb=300;452=30;13=20},106,,,TRUE,,activity/direct_gift/icon_zjbx1.png,,,,,
1005,23111,携带每日礼包-30元-限购一次,携带养成礼包,1,,{rmb=300;2103=10;gold=100000},106,,,TRUE,,activity/direct_gift/icon_zjbx2.png,,,,,
,,,,,,,,,,,,,,,,,
1011,23112,抽卡礼包-98元-每周限购1次,抽卡礼包,1,,{rmb=300;519=10},108,,,,,activity/direct_gift/icon_zjbx3.png,,,,,
1012,23112,探险器礼包-98元-每周限购2次,探险器礼包,2,,{520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,,,
1013,23112,饰品抽卡礼包-98元-每周限购2次,饰品抽卡礼包,2,,{503=20;941=1},108,,,,,activity/direct_gift/icon_zjbx5.png,,,,,
1014,23112,抽卡礼包-328元-每周限购2次,抽卡礼包,2,,{rmb=3280;519=10},112,,,,,activity/direct_gift/icon_gjbx1.png,,,,,
1015,23112,升星礼包-648元-每周限购一次,升星礼包,1,,{card={id=9002};rmb=5000;gold=150000;13=20},113,,,,,activity/direct_gift/icon_gjbx4.png,,,,,
1016,23112,紫色礼包-648元-每周限购一次,携带道具礼包,1,,{rmb=5000;942=1;2103=50;gold=100000},113,,,,,activity/direct_gift/icon_gjbx3.png,,,,,
1017,23112,抽卡礼包-648元-每周限购1次,抽卡礼包,1,,{rmb=5000;519=20},113,,,,,activity/direct_gift/icon_gjbx2.png,,,,,
,,,,,,,,,,,,,,,,,
2000,23211,探险器礼包-0元-活动限购1次,免费礼包,1,,{520=1;503=1;rmb=30},,0,,,,activity/direct_gift/icon_cjbx10.png,,,,,
2001,23211,探险器礼包-6元-活动限购1次,探险器礼包,1,,{520=1;4000=30;rmb=120},102,,,,,activity/direct_gift/icon_cjbx10.png,,,,,
2002,23211,探险器礼包-30元-活动限购1次,探险器礼包,1,,{520=5;962=1;rmb=200},106,,,,,activity/direct_gift/icon_cjbx11.png,,,,,
2003,23211,探险器礼包-198元-活动限购1次,探险器礼包,1,,{520=20;962=2;rmb=500},111,,,,,activity/direct_gift/icon_gjbx15.png,,,,,
2004,23211,探险器礼包-648元-活动限购1次,探险器礼包,2,,{520=50;963=2;rmb=2000},113,,,,,activity/direct_gift/icon_gjbx16.png,,,,,
2005,23211,饰品抽卡礼包-6元-活动限购1次,饰品抽卡礼包,1,,{503=2;941=1;rmb=120},102,,,,,activity/direct_gift/icon_cjbx12.png,,,,,
2006,23211,饰品抽卡礼包-30元-活动限购1次,饰品抽卡礼包,1,,{503=10;941=2;rmb=200},106,,,,,activity/direct_gift/icon_cjbx12.png,,,,,
2007,23211,饰品抽卡礼包-198元-活动限购1次,饰品抽卡礼包,1,,{503=40;2103=30;rmb=500},111,,,,,activity/direct_gift/icon_gjbx12.png,,,,,
2008,23211,饰品抽卡礼包-648元-活动限购1次,饰品抽卡礼包,2,,{503=100;942=2;rmb=2000},113,,,,,activity/direct_gift/icon_gjbx14.png,,,,,
,,,,,,,,,,,,,,,,,
2011,23212,up抽卡礼包-6元-活动限购1次,限定抽卡礼包,1,,{527=1;14=5;rmb=120},102,,,,,activity/direct_gift/icon_cjbx.png,,,,,
2012,23212,up抽卡礼包-60元-活动限购2次,限定抽卡礼包,2,,{527=5;14=10;rmb=300},107,,,,,activity/direct_gift/icon_zjbx.png,,,,,
2013,23212,up抽卡礼包-168元-活动限购2次,限定抽卡礼包,2,,{527=10;14=20;rmb=600},110,,,,,activity/direct_gift/icon_zjbx.png,,,,,
2014,23212,up抽卡礼包-328元-活动限购2次,限定抽卡礼包,2,,{527=20;14=30;rmb=1000},112,,,,,activity/direct_gift/icon_gjbx.png,,,,,
2015,23212,up抽卡礼包-648元-活动限购2次,限定抽卡礼包,2,,{527=40;14=40;rmb=2000},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,
2016,23212,抽卡礼包-98元-每周限购2次,抽卡礼包,2,,{519=10;14=10;rmb=980},108,,,,,activity/direct_gift/icon_zjbx.png,,,,,
2017,23212,抽卡礼包-328元-活动限购2次,抽卡礼包,2,,{519=20;14=20;rmb=3280},112,,,,,activity/direct_gift/icon_gjbx.png,,,,,
,,,,,,,,,,,,,,,,,
2020,23213,春节特惠礼包-1元-限购一次,端午特惠礼包,1,,{rmb=60;stamina=50;gold=10000},,0,,,,activity/direct_gift/box_18_1.png,,,,,
2021,23213,春节特惠礼包-6元-限购一次,端午特惠礼包,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/box_18_1.png,,,,,
2022,23213,春节特惠礼包-6元-限购一次,端午特惠礼包,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/box_18_1.png,,,,,
2023,23213,春节特惠礼包-30元-限购一次,端午特惠礼包,1,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/box_18_1.png,,,,,
2024,23213,春节特惠礼包-60元-限购一次,端午特惠礼包,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/box_18_1.png,,,,,
2025,23213,探险器礼包-98元-限购2次,端午特惠礼包,2,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/box_18_1.png,,,,,
2026,23213,饰品抽卡礼包-98元-限购2次,端午特惠礼包,2,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/box_18_1.png,,,,,
2027,23213,紫色礼包-198元-限购2次,端午特惠礼包,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/box_18_1.png,,,,,
2028,23213,紫色礼包-198元-限购2次,端午特惠礼包,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/box_18_1.png,,,,,
2029,23213,符石礼包-198元-活动限购2次,端午特惠礼包,2,,{531=30;529=1000;rmb=2680},111,,,,,activity/direct_gift/box_18_1.png,,,,,
2030,23213,升星礼包-198元-限购2次,端午特惠礼包,2,,{card={id=9002};rmb=2680;gold=150000;13=20},111,,,,,activity/direct_gift/box_18_1.png,,,,,
2031,23213,觉醒礼包-328元-限购2次,端午特惠礼包,2,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/box_18_1.png,,,,,
2032,23213,升星礼包-648元-限购2次,端午特惠礼包,2,,{card={id=9003};rmb=6480;gold=500000;13=50},113,,,,,activity/direct_gift/box_18_1.png,,,,,
,,,,,,,,,,,,,,,,,
2041,23214,清明礼包-免费领取,节日免费礼包,1,,{rmb=50;527=1;19=3},,0,,,,activity/direct_gift/icon_cjbx.png,,,,,
2042,23214,清明礼包-198元-限购一次,三圣鸟三选一礼包,1,,{rmb=2280;6212=1;519=10},111,,,,,activity/direct_gift/icon_zjbx.png,,,,,
2043,23214,清明礼包-648元-限购一次,性格薄荷自选礼包,1,,{rmb=6880;937=1;19=150},113,,,,,activity/direct_gift/icon_gjbx.png,,,,,
,,,,,,,,,,,,,,,,,
2051,23215,免费养成礼包-0元-活动限购1次,免费礼包,1,,{4000=20;2103=3;rmb=30},,0,,,,activity/direct_gift/icon_cjbx10.png,,,,,
2052,23215,携带材料礼包-98元-活动限购2次,携带兑换礼包,3,,{6071=20;2103=10;rmb=980},108,,,,,activity/direct_gift/icon_cjbx11.png,,,,,
