变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
3001040,3001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
,,,,,,,
4001001,4001,1,2,{gold=1000000},{rmb=200},,
4001002,4001,2,4,{coin4=30},{520=2},,
4001003,4001,3,6,{14=50},{15=20;16=30},,
4001004,4001,4,8,{19=2},{19=10;801=1},,
4001005,4001,5,10,{gold=1000000},{gold=3000000},,
4001006,4001,6,12,{coin4=500},{coin4=2000;520=1},,
4001007,4001,7,14,{532=20},{533=10},,
4001008,4001,8,16,{940=5},{941=5;942=5},,
4001009,4001,9,18,{gold=1000001},{rmb=201},,
4001010,4001,10,20,{coin4=31},{520=3},1,<1;2;3>
4001011,4001,11,22,{14=51},{15=20;16=31},,
4001012,4001,12,24,{19=3},{19=10;801=2},,
4001013,4001,13,26,{gold=1000000},{gold=3000000},,
4001014,4001,14,28,{coin4=501},{coin4=2000;520=2},,
4001015,4001,15,30,{532=21},{533=11},,
4001016,4001,16,32,{940=6},{941=5;942=6},,
4001017,4001,17,34,{gold=1000002},{rmb=202},,
4001018,4001,18,36,{coin4=32},{520=4},,
4001019,4001,19,38,{14=52},{15=20;16=32},,
4001020,4001,20,40,{19=4},{19=10;801=3},1,<1;2;3>
4001021,4001,21,42,{gold=1000000},{gold=3000000},,
4001022,4001,22,44,{coin4=502},{coin4=2000;520=3},,
4001023,4001,23,46,{532=22},{533=12},,
4001024,4001,24,48,{940=7},{941=5;942=7},,
4001025,4001,25,50,{gold=1000003},{rmb=203},,
4001026,4001,26,52,{coin4=33},{520=5},,
4001027,4001,27,54,{14=53},{15=20;16=33},,
4001028,4001,28,56,{19=5},{19=10;801=4},,
4001029,4001,29,58,{gold=1000000},{gold=3000000},,
4001030,4001,30,60,{coin4=503},{coin4=2000;520=4},1,<1;2;3>
4001031,4001,31,62,{532=23},{533=13},,
4001032,4001,32,64,{940=8},{941=5;942=8},,
4001033,4001,33,66,{gold=1000004},{rmb=204},,
4001034,4001,34,68,{coin4=34},{520=6},,
4001035,4001,35,70,{14=54},{15=20;16=34},,
4001036,4001,36,72,{19=6},{19=10;801=5},,
4001037,4001,37,74,{gold=1000000},{gold=3000000},,
4001038,4001,38,76,{coin4=504},{coin4=2000;520=5},,
4001039,4001,39,78,{532=24},{533=14},,
4001040,4001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
,,,,,,,
4010001,4010,1,1,{151=30},{151=70;gold=200000},,
4010002,4010,2,1,{151=30},{151=70;gold=200000},,
4010003,4010,3,1,{151=30},{151=70;gold=200000},,
4010004,4010,4,1,{151=30},{151=70;gold=200000},,
4010005,4010,5,1,{151=50},{151=200;gold=500000},,<1;2;3>
4010006,4010,6,2,{151=30},{151=70;gold=200000},,
4010007,4010,7,2,{151=30},{151=70;gold=200000},,
4010008,4010,8,2,{151=30},{151=70;gold=200000},,
4010009,4010,9,2,{151=30},{151=70;gold=200000},,
4010010,4010,10,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010011,4010,11,2,{151=30},{151=70;gold=200000},,
4010012,4010,12,2,{151=30},{151=70;gold=200000},,
4010013,4010,13,2,{151=30},{151=70;gold=200000},,
4010014,4010,14,2,{151=30},{151=70;gold=200000},,
4010015,4010,15,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010016,4010,16,2,{151=30},{151=70;gold=200000},,
4010017,4010,17,2,{151=30},{151=70;gold=200000},,
4010018,4010,18,2,{151=30},{151=70;gold=200000},,
4010019,4010,19,2,{151=30},{151=70;gold=200000},,
4010020,4010,20,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010021,4010,21,2,{151=30},{151=70;gold=200000},,
4010022,4010,22,2,{151=30},{151=70;gold=200000},,
4010023,4010,23,2,{151=30},{151=70;gold=200000},,
4010024,4010,24,2,{151=30},{151=70;gold=200000},,
4010025,4010,25,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010026,4010,26,2,{151=30},{151=70;gold=200000},,
4010027,4010,27,2,{151=30},{151=70;gold=200000},,
4010028,4010,28,2,{151=30},{151=70;gold=200000},,
4010029,4010,29,2,{151=30},{151=70;gold=200000},,
4010030,4010,30,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010031,4010,31,2,{151=30},{151=70;gold=200000},,
4010032,4010,32,2,{151=30},{151=70;gold=200000},,
4010033,4010,33,2,{151=30},{151=70;gold=200000},,
4010034,4010,34,2,{151=30},{151=70;gold=200000},,
4010035,4010,35,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010036,4010,36,2,{151=30},{151=70;gold=200000},,
4010037,4010,37,2,{151=30},{151=70;gold=200000},,
4010038,4010,38,2,{151=30},{151=70;gold=200000},,
4010039,4010,39,2,{151=30},{151=70;gold=200000},,
4010040,4010,40,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010041,4010,41,2,{151=30},{151=70;gold=200000},,
4010042,4010,42,2,{151=30},{151=70;gold=200000},,
4010043,4010,43,2,{151=30},{151=70;gold=200000},,
4010044,4010,44,2,{151=30},{151=70;gold=200000},,
4010045,4010,45,3,{151=50},{151=200;gold=500000},,<1;2;3>
4010046,4010,46,3,{151=30},{151=70;gold=200000},,
4010047,4010,47,3,{151=30},{151=70;gold=200000},,
4010048,4010,48,3,{151=30},{151=70;gold=200000},,
4010049,4010,49,3,{151=30},{151=70;gold=200000},,
4010050,4010,50,3,{152=30},{152=90;rmb=150},1,<1;2;3>
,,,,,,,
,道馆通行证,,,,,,
50010001,5001,1,4,{151=500},{151=1000;rmb=880000},,
50010002,5001,2,4,{151=500},{151=1000;6116=5},,
50010003,5001,3,4,{151=500},{151=1000;6116=5},,
50010004,5001,4,4,{151=500},{151=1000;6116=5},,
50010005,5001,5,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010006,5001,6,4,{151=500},{151=1000;6116=5},,
50010007,5001,7,4,{151=500},{151=1000;6116=5},,
50010008,5001,8,4,{151=500},{151=1000;6116=5},,
50010009,5001,9,4,{151=500},{151=1000;6116=5},,
50010010,5001,10,4,{151=500},{151=1000;541=500},1,<1;2;3>
50010011,5001,11,4,{151=500},{151=1000;6116=5},,
50010012,5001,12,4,{151=500},{151=1000;6116=5},,
50010013,5001,13,4,{151=500},{151=1000;6116=5},,
50010014,5001,14,4,{151=500},{151=1000;6116=5},,
50010015,5001,15,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010016,5001,16,4,{151=500},{151=1000;6116=5},,
50010017,5001,17,4,{151=500},{151=1000;6116=5},,
50010018,5001,18,4,{151=500},{151=1000;6116=5},,
50010019,5001,19,4,{151=500},{151=1000;6116=5},,
50010020,5001,20,4,{151=500},{151=1000;6071=500},1,<1;2;3>
50010021,5001,21,4,{151=500},{151=1000;6116=5},,
50010022,5001,22,4,{151=500},{151=1000;6116=5},,
50010023,5001,23,4,{151=500},{151=1000;6116=5},,
50010024,5001,24,4,{151=500},{151=1000;6116=5},,
50010025,5001,25,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010026,5001,26,4,{151=500},{151=1000;6116=5},,
50010027,5001,27,4,{151=500},{151=1000;6116=5},,
50010028,5001,28,4,{151=500},{151=1000;6116=5},,
50010029,5001,29,4,{151=500},{151=1000;6116=5},,
50010030,5001,30,4,{151=500},{151=1000;529=100000},1,<1;2;3>
50010031,5001,31,4,{151=500},{151=1000;6116=5},,
50010032,5001,32,4,{151=500},{151=1000;6116=5},,
50010033,5001,33,4,{151=500},{151=1000;6116=5},,
50010034,5001,34,4,{151=500},{151=1000;6116=5},,
50010035,5001,35,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010036,5001,36,4,{151=500},{151=1000;6116=5},,
50010037,5001,37,4,{151=500},{151=1000;6116=5},,
50010038,5001,38,4,{151=500},{151=1000;6116=5},,
50010039,5001,39,4,{151=500},{151=1000;6116=5},,
50010040,5001,40,4,{151=500},{151=1000;994=10},1,<1;2;3>
50010041,5001,41,4,{151=500},{151=1000;6116=5},,
50010042,5001,42,4,{151=500},{151=1000;6116=5},,
50010043,5001,43,4,{151=500},{151=1000;6116=5},,
50010044,5001,44,4,{151=500},{151=1000;6116=5},,
50010045,5001,45,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010046,5001,46,4,{151=500},{151=1000;6116=5},,
50010047,5001,47,4,{151=500},{151=1000;6116=5},,
50010048,5001,48,4,{151=500},{151=1000;6116=5},,
50010049,5001,49,4,{151=500},{151=1000;6116=5},,
50010050,5001,50,4,{151=500},{151=1000;7362=20},1,<1;2;3>
50010051,5001,51,4,{151=500},{151=1000;6116=5},,
50010052,5001,52,4,{151=500},{151=1000;6116=5},,
50010053,5001,53,4,{151=500},{151=1000;6116=5},,
50010054,5001,54,4,{151=500},{151=1000;6116=5},,
50010055,5001,55,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010056,5001,56,4,{151=500},{151=1000;6116=5},,
50010057,5001,57,4,{151=500},{151=1000;6116=5},,
50010058,5001,58,4,{151=500},{151=1000;6116=5},,
50010059,5001,59,4,{151=500},{151=1000;6116=5},,
50010060,5001,60,4,{151=500},{151=1000;7363=10},1,<1;2;3>
50010061,5001,61,4,{151=500},{151=1000;6116=5},,
50010062,5001,62,4,{151=500},{151=1000;6116=5},,
50010063,5001,63,4,{151=500},{151=1000;6116=5},,
50010064,5001,64,4,{151=500},{151=1000;6116=5},,
50010065,5001,65,4,{151=500},{151=1000;6116=5},,<1;2;3>
50010066,5001,66,4,{151=500},{151=1000;6116=5},,
50010067,5001,67,4,{151=500},{151=1000;6116=5},,
50010068,5001,68,4,{151=500},{151=1000;6116=5},,
50010069,5001,69,4,{151=500},{151=1000;6116=5},,
50010070,5001,70,4,{151=500},{151=1000;7364=5},1,<1;2;3>
,,,,,,,
,,,,,,,
,以太通行证,,,,,,
50020001,5002,1,2,{4000=500},{4000=1000;rmb=880000},,
50020002,5002,2,2,{4000=500},{4000=1000;6116=5},,
50020003,5002,3,2,{4000=500},{4000=1000;6116=5},,
50020004,5002,4,2,{4000=500},{4000=1000;6116=5},,
50020005,5002,5,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020006,5002,6,2,{4000=500},{4000=1000;6116=5},,
50020007,5002,7,2,{4000=500},{4000=1000;6116=5},,
50020008,5002,8,2,{4000=500},{4000=1000;6116=5},,
50020009,5002,9,2,{4000=500},{4000=1000;6116=5},,
50020010,5002,10,2,{4000=500},{4000=1000;500=200},1,<1;2;3>
50020011,5002,11,2,{4000=500},{4000=1000;6116=5},,
50020012,5002,12,2,{4000=500},{4000=1000;6116=5},,
50020013,5002,13,2,{4000=500},{4000=1000;6116=5},,
50020014,5002,14,2,{4000=500},{4000=1000;6116=5},,
50020015,5002,15,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020016,5002,16,2,{4000=500},{4000=1000;6116=5},,
50020017,5002,17,2,{4000=500},{4000=1000;6116=5},,
50020018,5002,18,2,{4000=500},{4000=1000;6116=5},,
50020019,5002,19,2,{4000=500},{4000=1000;6116=5},,
50020020,5002,20,2,{4000=500},{4000=1000;6071=500},1,<1;2;3>
50020021,5002,21,2,{4000=500},{4000=1000;6116=5},,
50020022,5002,22,2,{4000=500},{4000=1000;6116=5},,
50020023,5002,23,2,{4000=500},{4000=1000;6116=5},,
50020024,5002,24,2,{4000=500},{4000=1000;6116=5},,
50020025,5002,25,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020026,5002,26,2,{4000=500},{4000=1000;6116=5},,
50020027,5002,27,2,{4000=500},{4000=1000;6116=5},,
50020028,5002,28,2,{4000=500},{4000=1000;6116=5},,
50020029,5002,29,2,{4000=500},{4000=1000;6116=5},,
50020030,5002,30,2,{4000=500},{4000=1000;452=10000},1,<1;2;3>
50020031,5002,31,2,{4000=500},{4000=1000;6116=5},,
50020032,5002,32,2,{4000=500},{4000=1000;6116=5},,
50020033,5002,33,2,{4000=500},{4000=1000;6116=5},,
50020034,5002,34,2,{4000=500},{4000=1000;6116=5},,
50020035,5002,35,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020036,5002,36,2,{4000=500},{4000=1000;6116=5},,
50020037,5002,37,2,{4000=500},{4000=1000;6116=5},,
50020038,5002,38,2,{4000=500},{4000=1000;6116=5},,
50020039,5002,39,2,{4000=500},{4000=1000;6116=5},,
50020040,5002,40,2,{4000=500},{4000=1000;coin22=10000},1,<1;2;3>
50020041,5002,41,2,{4000=500},{4000=1000;6116=5},,
50020042,5002,42,2,{4000=500},{4000=1000;6116=5},,
50020043,5002,43,2,{4000=500},{4000=1000;6116=5},,
50020044,5002,44,2,{4000=500},{4000=1000;6116=5},,
50020045,5002,45,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020046,5002,46,2,{4000=500},{4000=1000;6116=5},,
50020047,5002,47,2,{4000=500},{4000=1000;6116=5},,
50020048,5002,48,2,{4000=500},{4000=1000;6116=5},,
50020049,5002,49,2,{4000=500},{4000=1000;6116=5},,
50020050,5002,50,2,{4000=500},{4000=1000;7362=20},1,<1;2;3>
50020051,5002,51,2,{4000=500},{4000=1000;6116=5},,
50020052,5002,52,2,{4000=500},{4000=1000;6116=5},,
50020053,5002,53,2,{4000=500},{4000=1000;6116=5},,
50020054,5002,54,2,{4000=500},{4000=1000;6116=5},,
50020055,5002,55,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020056,5002,56,2,{4000=500},{4000=1000;6116=5},,
50020057,5002,57,2,{4000=500},{4000=1000;6116=5},,
50020058,5002,58,2,{4000=500},{4000=1000;6116=5},,
50020059,5002,59,2,{4000=500},{4000=1000;6116=5},,
50020060,5002,60,2,{4000=500},{4000=1000;7363=10},1,<1;2;3>
50020061,5002,61,2,{4000=500},{4000=1000;6116=5},,
50020062,5002,62,2,{4000=500},{4000=1000;6116=5},,
50020063,5002,63,2,{4000=500},{4000=1000;6116=5},,
50020064,5002,64,2,{4000=500},{4000=1000;6116=5},,
50020065,5002,65,2,{4000=500},{4000=1000;6116=5},,<1;2;3>
50020066,5002,66,2,{4000=500},{4000=1000;6116=5},,
50020067,5002,67,2,{4000=500},{4000=1000;6116=5},,
50020068,5002,68,2,{4000=500},{4000=1000;6116=5},,
50020069,5002,69,2,{4000=500},{4000=1000;6116=5},,
50020070,5002,70,2,{4000=500},{4000=1000;7364=5},1,<1;2;3>
,,,,,,,
,,,,,,,
,战队通行证,,,,,,
50030001,5003,1,100,{500=10},{521=50;rmb=880000},,
50030002,5003,2,100,{500=10},{521=50;6116=10},,
50030003,5003,3,100,{500=10},{521=50;6116=10},,
50030004,5003,4,100,{500=10},{521=50;6116=10},,
50030005,5003,5,100,{500=10},{521=938},,<1;2;3>
50030006,5003,6,100,{500=10},{521=50;6116=10},,
50030007,5003,7,100,{500=10},{521=50;6116=10},,
50030008,5003,8,100,{500=10},{521=50;6116=10},,
50030009,5003,9,100,{500=10},{521=50;6116=10},,
50030010,5003,10,100,{500=10},{521=50;502=2888},1,<1;2;3>
50030011,5003,11,100,{500=10},{521=50;6116=10},,
50030012,5003,12,100,{500=10},{521=50;6116=10},,
50030013,5003,13,100,{500=10},{521=50;6116=10},,
50030014,5003,14,100,{500=10},{521=50;6116=10},,
50030015,5003,15,100,{500=10},{521=50;2152=10},,<1;2;3>
50030016,5003,16,100,{500=10},{521=50;6116=10},,
50030017,5003,17,100,{500=10},{521=50;6116=10},,
50030018,5003,18,100,{500=10},{521=50;6116=10},,
50030019,5003,19,100,{500=10},{521=50;6116=10},,
50030020,5003,20,100,{500=10},{521=50;994=10},1,<1;2;3>
50030021,5003,21,100,{500=10},{521=50;6116=10},,
50030022,5003,22,100,{500=10},{521=50;6116=10},,
50030023,5003,23,100,{500=10},{521=50;6116=10},,
50030024,5003,24,100,{500=10},{521=50;6116=10},,
50030025,5003,25,100,{500=10},{521=50;6071=1000},,<1;2;3>
50030026,5003,26,100,{500=10},{521=50;6116=10},,
50030027,5003,27,100,{500=10},{521=50;6116=10},,
50030028,5003,28,100,{500=10},{521=50;6116=10},,
50030029,5003,29,100,{500=10},{521=50;6116=10},,
50030030,5003,30,100,{500=10},{521=50;7362=20},1,<1;2;3>
50030031,5003,31,100,{500=10},{521=50;6116=10},,
50030032,5003,32,100,{500=10},{521=50;6116=10},,
50030033,5003,33,100,{500=10},{521=50;6116=10},,
50030034,5003,34,100,{500=10},{521=50;6116=10},,
50030035,5003,35,100,{500=10},{521=50;7363=10},,<1;2;3>
50030036,5003,36,100,{500=10},{521=50;6116=10},,
50030037,5003,37,100,{500=10},{521=50;6116=10},,
50030038,5003,38,100,{500=10},{521=50;6116=10},,
50030039,5003,39,100,{500=10},{521=50;6116=10},,
50030040,5003,40,100,{500=10},{521=50;7364=5},1,<1;2;3>
,体力通行证,,,,,,
50040001,5004,1,500,{gold=8880000;rmb=28888},{rmb=880000;161=888},,
50040002,5004,2,1000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040003,5004,3,1500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040004,5004,4,2000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040005,5004,5,2500,{gold=18880000;rmb=58888},{rmb=88888;161=288},1,<1;2;3>
50040006,5004,6,3000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040007,5004,7,3500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040008,5004,8,4000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040009,5004,9,4500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040010,5004,10,5000,{gold=18880000;rmb=58888},{rmb=88888;173=1},1,<1;2;3>
50040011,5004,11,5500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040012,5004,12,6000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040013,5004,13,6500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040014,5004,14,7000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040015,5004,15,7500,{gold=18880000;rmb=58888},{rmb=88888;161=288},1,<1;2;3>
50040016,5004,16,8000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040017,5004,17,8500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040018,5004,18,9000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040019,5004,19,9500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040020,5004,20,10000,{gold=18880000;rmb=58888},{rmb=88888;2181=1},1,<1;2;3>
50040021,5004,21,10500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040022,5004,22,11000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040023,5004,23,11500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040024,5004,24,12000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040025,5004,25,12500,{gold=18880000;rmb=58888},{rmb=88888;161=288},1,<1;2;3>
50040026,5004,26,13000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040027,5004,27,13500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040028,5004,28,14000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040029,5004,29,14500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040030,5004,30,15000,{gold=18880000;rmb=58888},{rmb=88888;2152=10},1,<1;2;3>
50040031,5004,31,15500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040032,5004,32,16000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040033,5004,33,16500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040034,5004,34,17000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040035,5004,35,17500,{gold=18880000;rmb=58888},{rmb=88888;161=288},1,<1;2;3>
50040036,5004,36,18000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040037,5004,37,18500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040038,5004,38,19000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040039,5004,39,19500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040040,5004,40,20000,{gold=18880000;rmb=58888},{rmb=88888;6071=1000},1,<1;2;3>
50040041,5004,41,20500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040042,5004,42,21000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040043,5004,43,21500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040044,5004,44,22000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040045,5004,45,22500,{gold=18880000;rmb=58888},{rmb=88888;161=288},1,<1;2;3>
50040046,5004,46,23000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040047,5004,47,23500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040048,5004,48,24000,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
50040049,5004,49,24500,{gold=8880000;rmb=28888},{rmb=58888;161=188},,
