变量名,_yyId,_beizhu,card1,res1,resScale1,resPos1,titleRes1,posRes1,card2,res2,resScale2,resPos2,titleRes2,posRes2
23,,酋雷姆/谢米,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png
24,,雷吉奇卡斯/蒂安希,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
25,,盖欧卡洛奇亚,1961,config/big_hero/normal/img_382_gok@.png,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png,1261,config/big_hero/normal/img_249_lqy@.png,2.618,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
26,,美洛耶塔胡帕,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
27,,基拉祈/莱希拉姆,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
28,,蒂安希/洛奇亚,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png,1261,config/big_hero/normal/img_249_lqy@.png,2.14,,common/txt/txt_lqy.png,common/txt/txt_dw_lqy.png
29,,帕路奇亚/达克莱伊,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
30,,美录坦/捷克罗姆,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png
31,,裂空座/固拉多,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png
32,,骑拉帝纳雷吉奇卡斯,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
33,,伊裴尔塔尔/酋雷姆,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png
34,,固拉多/蒂安希,1961,config/big_hero/normal/img_382_gok@.png,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
35,,谢米/帝牙卢卡,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
36,,时拉比/美洛耶塔,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
37,,达克莱,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,,,,,,
,,,,,,,,,,,,,,
38,,惩戒胡帕/帕路奇亚,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png
39,,盖诺赛克特/基拉祈,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png
40,,骑拉帝纳/莱希拉姆,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
41,,固拉多/帝牙卢卡,1971,config/big_hero/normal/img_383_gld@.png,2.618,,common/txt/txt_gld.png,common/txt/txt_dw_gld.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
42,,美录坦/哲尔尼亚斯,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png
43,,裂空座/蒂安希,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
44,,谢米/捷克罗姆,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png
45,,捷克罗姆/莱希拉姆,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
46,,伊裴尔塔尔/捷拉奥拉,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
47,,酋雷姆/惩戒胡帕,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png
48,,谢米/裂空座,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png
49,,达克莱伊/帝牙卢卡,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
50,,酋雷姆/美洛耶塔·歌声,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
51,,裂空座/骑拉帝纳,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png
52,,莱希拉姆/美洛耶塔·歌声,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
53,,比克提尼/时拉比,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png
54,,美录坦/基拉祈,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png
55,,基拉祈/捷克罗姆,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,3221,config/big_hero/normal/img_644_jklm@.png,2,,common/txt/txt_jklm.png,common/txt/txt_dw_jklm.png
56,,惩戒胡帕/达克莱伊,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png,2431,config/big_hero/normal/img_491_dkly@.png,1.6,,common/txt/txt_dkly.png,common/txt/txt_dw_dkly.png
57,,盖诺赛克特/基格尔德·100%,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
58,,帕路奇亚/蒂安希,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png
59,,美录坦/酋雷姆,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,3241,config/big_hero/normal/img_646_qlm@.png,2,,common/txt/txt_qlm.png,common/txt/txt_dw_qlm.png
60,,玛机雅娜/哲尔尼亚斯,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png
61,,伊裴尔塔尔/美洛耶塔·歌声,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
62,,骑拉帝纳/帝牙卢卡,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
63,,玛纳霏/捷拉奥拉,2421,config/big_hero/normal/img_490_mnf@.png,2,,common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
64,,帕路奇亚/帝牙卢卡,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,2351,config/big_hero/normal/img_483_dylk@.png,2.33,,common/txt/txt_dylk.png,common/txt/txt_dw_dylk.png
65,,时拉比/基拉祈,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png
66,,时拉比/雷吉奇卡斯,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png,2381,config/big_hero/normal/img_486_ljqks@.png,2.33,,common/txt/txt_ljqks.png,common/txt/txt_dw_ljqks.png
67,,盖诺赛克特/美录坦,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png
68,,索尔迦雷欧/比克提尼,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
69,,伊裴尔塔尔/哲尔尼亚斯,3611,config/big_hero/normal/img_717_ypete@.png,2,,common/txt/txt_ypete.png,common/txt/txt_dw_ypete.png,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png
70,,玛机雅娜/基格尔德·100%,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
71,,时拉比/捷拉奥拉,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
72,,玛机雅娜/波尔凯尼恩,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,3651,config/big_hero/normal/img_721_bekne@.png,2,,common/txt/txt_bekne.png,common/txt/txt_dw_bekne.png
73,,比克提尼/盖诺赛克特,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png,3271,config/big_hero/normal/img_649_gnskt@.png,2,,common/txt/txt_gnskt.png,common/txt/txt_dw_gnskt.png
74,,玛纳霏/露奈雅拉,2421,config/big_hero/normal/img_490_mnf@.png,2,,common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png
75,,惩戒胡帕/谢米,3641,config/big_hero/normal/img_720_cjhp@.png,2,,common/txt/txt_cjhp.png,common/txt/txt_dw_hp.png,2441,config/big_hero/normal/img_492_xm@.png,2,,common/txt/txt_xm.png,common/txt/txt_dw_xm.png
76,,哲尔尼亚斯/基格尔德·100%,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
77,,蒂安希/莱希拉姆,3631,config/big_hero/standby/img_719_dax@.png,2.33,,common/txt/txt_dax.png,common/txt/txt_dw_dax.png,3211,config/big_hero/normal/img_643_lxlm@.png,2,,common/txt/txt_lxlm.png,common/txt/txt_dw_lxlm.png
78,,索尔迦雷欧/闪光超级耿鬼,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png
79,,玛机雅娜/捷拉奥拉,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,4161,config/big_hero/normal/img_807_jlal@.png,2,,common/txt/txt_jlal.png,common/txt/txt_dw_jlal.png
80,,闪光超级班基拉斯/波尔凯尼恩,7031,config/big_hero/normal/img_248_sgcjbjls@.png,2,,common/txt/txt_sgcjbjls.png,common/txt/txt_dw_sgcjbjls.png,3651,config/big_hero/normal/img_721_bekne@.png,2,,common/txt/txt_bekne.png,common/txt/txt_dw_bekne.png
81,,盖欧卡/裂空座,1961,config/big_hero/normal/img_382_gok@.png,2,,common/txt/txt_gok.png,common/txt/txt_dw_gok.png,1981,config/big_hero/normal/img_384_lkz@.png,2.33,,common/txt/txt_lkz.png,common/txt/txt_dw_lkz.png
82,,基拉祈/美洛耶塔·歌声,1991,config/big_hero/normal/img_385_jlq@.png,2,,common/txt/txt_jlq.png,common/txt/txt_dw_jlq.png,3261,config/big_hero/normal/img_648_mlyt@.png,2,,common/txt/txt_mlyt.png,common/txt/txt_dw_mlyt.png
83,,玛纳霏/比克提尼,2421,config/big_hero/normal/img_490_mnf@.png,2,,common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
84,,奈克洛兹玛/藏玛然特,4101,config/big_hero/normal/img_800_nklzm@.png,2,,common/txt/txt_nklzm.png,common/txt/txt_dw_nklzm.png,4601,config/big_hero/normal/img_889_zmrt@.png,2,,common/txt/txt_zmrt.png,common/txt/txt_dw_zmrt.png
85,,索尔迦雷欧/基格尔德·100%,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,3623,config/big_hero/normal/img_718_jged100@.png,2,,common/txt/txt_jged.png,common/txt/txt_dw_jged.png
86,,起源梦幻/闪光超级艾路雷朵,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
87,,美录坦/骑拉帝纳,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,2391,config/big_hero/normal/img_487_qldnsxt@.png,2,,common/txt/txt_qldn.png,common/txt/txt_dw_qldn.png
88,,索尔迦雷欧/玛机雅娜,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png
89,,美录坦/时拉比,4171,config/big_hero/normal/img_809_mlmt@.png,2,,common/txt/txt_mlmt.png,common/txt/txt_dw_mlmt.png,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png
90,,玛机雅娜/玛机雅娜,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png
91,,闪光超级沙奈朵/闪光超级艾路雷朵,7051,config/big_hero/normal/img_282_sgcjsnd@.png,2,,common/txt/txt_sgcjsnd.png,common/txt/txt_dw_sgcjsnd.png,7061,config/big_hero/normal/img_475_sgcjalld@.png,2,,common/txt/txt_sgcjalld.png,common/txt/txt_dw_sgcjalld.png
92,,波尔凯尼恩/玛纳霏,3651,config/big_hero/normal/img_721_bekne@.png,2,,common/txt/txt_bekne.png,common/txt/txt_dw_bekne.png,2421,config/big_hero/normal/img_490_mnf@.png,2,,common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png
93,,奈克洛兹玛/苍响,4101,config/big_hero/normal/img_800_nklzm@.png,2,,common/txt/txt_nklzm.png,common/txt/txt_dw_nklzm.png,4591,config/big_hero/normal/img_888_cx@.png,2,,common/txt/txt_cx.png,common/txt/txt_dw_cx.png
94,,玛机雅娜/比克提尼,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,2461,config/big_hero/normal/img_494_bktn@.png,2,,common/txt/txt_bktn.png,common/txt/txt_dw_bktn.png
95,,帕路奇亚/时拉比,2361,config/big_hero/normal/img_484_plqy@.png,2.33,,common/txt/txt_plqy.png,common/txt/txt_dw_plqy.png,1281,config/big_hero/normal/img_251_slb@.png,2,,common/txt/txt_slb.png,common/txt/txt_dw_slb.png
96,,索尔迦雷欧/露奈雅拉,4023,config/big_hero/normal/img_791_sejlo@.png,2,,common/txt/txt_sejlo.png,common/txt/txt_dw_sejlo.png,4024,config/big_hero/normal/img_792_lnyl@.png,2,,common/txt/txt_lnyl.png,common/txt/txt_dw_lnyl.png
97,,起源梦幻/闪光超级路卡利欧,7041,config/big_hero/normal/img_151_qymh@.png,2,,common/txt/txt_qymh.png,common/txt/txt_dw_qymh.png,7111,config/big_hero/normal/img_448_sgcjlklo@.png,2,,common/txt/txt_sgcjlklo.png,common/txt/txt_dw_sgcjlklo.png
98,,奈克洛兹玛/哲尔尼亚斯,4101,config/big_hero/normal/img_800_nklzm@.png,2,,common/txt/txt_nklzm.png,common/txt/txt_dw_nklzm.png,3601,config/big_hero/normal/img_716_zenys@.png,2,,common/txt/txt_zenys.png,common/txt/txt_dw_zenys.png
99,,玛机雅娜/闪光超级耿鬼,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png
100,,闪光超级耿鬼/闪光超级沙奈朵,397,config/big_hero/normal/img_94_yscjgg@.png,2,,common/txt/txt_sgcjgg.png,common/txt/txt_dw_sgcjgg.png,7051,config/big_hero/normal/img_282_sgcjsnd@.png,2,,common/txt/txt_sgcjsnd.png,common/txt/txt_dw_sgcjsnd.png
101,,玛机雅娜/玛纳霏,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png,2421,config/big_hero/normal/img_490_mnf@.png,2,,common/txt/txt_mnf.png,common/txt/txt_dw_mnf.png
102,,闪光超级班基拉斯/玛机雅娜,7031,config/big_hero/normal/img_248_sgcjbjls@.png,2,,common/txt/txt_sgcjbjls.png,common/txt/txt_dw_sgcjbjls.png,4111,config/big_hero/normal/img_801_mjyn@.png,2,,common/txt/txt_mjyn.png,common/txt/txt_dw_mjyn.png
103,,凯路迪欧·觉悟/苍响,7071,config/big_hero/normal/img_647_kldojwxt@.png,2,,common/txt/txt_kldojw.png,common/txt/txt_dw_kldojw.png,4591,config/big_hero/normal/img_888_cx@.png,2,,common/txt/txt_cx.png,common/txt/txt_dw_cx.png
