变量名,huodongID,_beizhu,rank,award,desc
1007,1011,潜能,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
1008,1011,潜能,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
1009,1011,潜能,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
1010,1011,潜能,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
1011,1011,潜能,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
1012,1011,潜能,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
,,,,,
1101,1012,努力,1,{rmb=8888;talent_point=10;161=50},世界BOSS奖励
1102,1012,努力,2,{rmb=6666;talent_point=8;161=40},世界BOSS奖励
1103,1012,努力,3,{rmb=5888;talent_point=6;161=30},世界BOSS奖励
1104,1012,努力,6,{rmb=2888;talent_point=4;161=20},世界BOSS奖励
1105,1012,努力,10,{rmb=1888;talent_point=2;161=10},世界BOSS奖励
1106,1012,努力,30,{gold=880000;talent_point=1;161=1},世界BOSS奖励
1107,1012,努力,60,{gold=660000;talent_point=1;161=1},世界BOSS奖励
1108,1012,努力,100,{gold=500000;talent_point=1;161=1},世界BOSS奖励
1109,1012,努力,300,{gold=400000;talent_point=1;161=1},世界BOSS奖励
1110,1012,努力,600,{gold=300000;talent_point=1;161=1},世界BOSS奖励
1111,1012,努力,1000,{gold=200000;talent_point=1;161=1},世界BOSS奖励
1112,1012,努力,99999,{gold=100000;talent_point=1;161=1},世界BOSS奖励
