变量名,gateID,sceneCount,cards,cards_tw,cards_en,cards_vn,cards_kr,hpFix,hpFix_tw,hpFix_en,hpFix_vn,hpFix_kr,damageFix,damageFix_tw,damageFix_en,damageFix_vn,damageFix_kr,defenceFix,defenceFix_tw,defenceFix_en,defenceFix_vn,defenceFix_kr,speedFix,speedFix_tw,speedFix_en,speedFix_vn,speedFix_kr,storys,__version
123,103,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
131,104,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
132,104,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
133,104,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
141,105,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
142,105,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
143,105,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
151,106,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
152,106,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
153,106,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
161,107,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
162,107,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
163,107,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
171,108,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
172,108,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
173,108,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
181,109,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
182,109,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
183,109,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
191,110,,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
192,110,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
193,110,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,,
1001,1001,,<400001;0;400002;400003;400004;400005>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100001>;<98;100011>>,
1011,1011,,<400101;400102;400103;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100101>;<98;100109>>,
1021,1021,,<400201;400202;400203;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100201>;<98;100206>>,
1031,1031,,<0;0;0;400301;0;400302>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100301>;<98;100303>>,
1041,1041,,<400401;400402;400403;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100401>;<98;100403>>,
1051,1051,,<400501;400502;400503;400504;400505;400506>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<1;1;1;1;1;1>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<<1001;100501>;<98;100503>;<1;100511>;<1;100512>;<1;100513>;<1;100514>;<1;100515>;<1;100516>>,
1061,1061,,<400601;400602;400603;400604;400605;400606>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100601>;<98;100616>>,
1071,1071,,<400701;400702;400703;400704;400705;400706>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<<1001;100701>;<98;100703>>,
1081,1081,,<400801;400802;400803;400804;400805;400806>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100801>;<98;100819>>,
1091,1091,,<400901;400902;400903;400904;400905;400906>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100901>;<98;100912>>,
2001,2001,,<500001;500001;500001;500001;500001;500001>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,,,,,,,,,,,<2;2;2;2;2;2>,,,,,<<1001;200001>>,
2011,2011,,<500101;500102;500103;500104;500105;500106>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,,,,,,,,,,,,,,,,<<1001;200101>>,
2021,2021,,<500201;500202;500203;500204;500205;500206>,,,,,<1;1;1;0.4;0.3;0.5>,,,,,<0.4;0.4;0.4;0.8;0.8;0.8>,,,,,,,,,,,,,,,<<1001;200201>>,
2031,2031,,<500301;500302;500303;0;0;0>,,,,,<0.75;0.75;0.75;0;0;0>,,,,,<0.3;0.3;0.3;0.8;0.8;0.8>,,,,,,,,,,<2;2;2;2;2;2>,,,,,<<1001;200301>>,
2041,2041,,<500401;500402;500403;500404;500405;500406>,,,,,,,,,,,,,,,,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;200401>>,
2051,2051,,<500501;500502;500503;500504;500505;500506>,,,,,<0.45;0.45;0.45;0.45;0.45;0.45>,,,,,,,,,,,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;200501>>,
2061,2061,,<500601;500602;500603;500604;500605;500606>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;200601>>,
2071,2071,,<500701;500702;500703;0;0;0>,,,,,<20;20;20;0;0;0>,,,,,<0.6;0.7;0.8;0;0;0>,,,,,,,,,,<0.8;0.9;1;0;0;0>,,,,,<<1001;200701>>,
2081,2081,,<500801;500802;500803;0;0;0>,,,,,<2;2;2;0;0;0>,,,,,<1.5;1.5;1.5;0;0;0>,,,,,,,,,,,,,,,<<1001;200801>>,
2091,2091,,<500901;500902;500903;500904;500905;500906>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;200901>>,
3001,3001,,<600001;600002;600003>,,,,,<0.45;0.45;0.45;0.45;0.45;0.45>,,,,,,,,,,,,,,,,,,,,<<1001;400001>>,
3011,3011,,<0;600101>,,,,,<2;2;2;0;0;0>,,,,,,,,,,,,,,,,,,,,<<1001;400101>>,
3021,3021,,<600201;600202;600203;600204;600205;600206>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400201>>,
3031,3031,,<600301;600302;600303;600304;600305;600306>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400301>>,
3041,3041,,<600401;600402;600403;600404;600405;600406>,,,,,<0.75;0.75;0.5;0.7;0.7;0.7>,,,,,,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,,,,,,<<1001;400401>>,
3051,3051,,<600501;600502;600503;600504;600505;600506>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.3;0.3;0.3;0.3;0.3;0.3>,,,,,,,,,,,,,,,<<1001;400501>>,
3061,3061,,<600604;600605;600606;600601;600602;600603>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400601>>,
3071,3071,,<600701;600702;600703;600704;600705;600706>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400701>>,
3081,3081,,<0;600801;0;600802;600803;600804>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400801>;<98;400803>>,
3091,3091,,<600901;600902;600903;600904;600905;600906>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;400901>>,
4001,4001,,<0;800001;0;0;800002;0>,,,,,<1;2.5;1;1;20;1>,,,,,,,,,,,,,,,,,,,,<<1001;700001>>,
4011,4011,,<800101;800102;800103;0;0;0>,,,,,<2.5;2.5;25;0;0;0>,,,,,,,,,,,,,,,<1.1;1.5;1.2;1;1;1>,,,,,<<1001;700101>>,
4021,4021,,<800201;800202;800203;800204;800205;800206>,,,,,<2;2;2;1.5;1.5;1.5>,,,,,<1.2;1.2;1.2;1.5;1.5;1.5>,,,,,<1.5;1.5;1.5;1;1;1>,,,,,<1.1;1.5;1.2;1.3;1.2;1.1>,,,,,<<1001;700201>>,
4031,4031,,<800301;800302;800303;800304;800305;800306>,,,,,<0.7;0.7;0.7;0.5;0.5;0.5>,,,,,,,,,,,,,,,,,,,,<<1001;700301>>,
4041,4041,,<800401;800402;800403;800404;800405;800406>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;700401>>,
4051,4051,,<800501;800502;800503;0;0;0>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,<<1001;700501>>,
4061,4061,,<800601;800602;800603;0;0;0>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,<<1001;700601>>,
4071,4071,,<800701;800702;800703;800704;800705;800706>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,<<1001;700701>>,
4081,4081,,<800801;800802;800803;0;0;0>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,<<1001;700801>>,
4091,4091,,<0;800901;0;0;0;0>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,<<1001;700901>>,
5001,5001,,<810001;810002;810003;810003;810002;810001>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,,,,,,,
5011,5011,,<810101;810102;810103;810104;810105;810106>,,,,,,,,,,,,,,,,,,,,,,,,,,
5021,5021,,<810201;810202;810203;810204;810205;810206>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,,,,,,,
5031,5031,,<810301;810302;810303;810304;810305;810306>,,,,,,,,,,,,,,,,,,,,,,,,,,
5041,5041,,<0;810402;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
5051,5051,,<810501;810502;810502;810502;810502;810502>,,,,,,,,,,,,,,,,,,,,,,,,,,
5061,5061,,<400001;0;400002;400003;400004;400005>,,,,,<2.5;1;5;5;1;5>,,,,,<0.6;0.6;0.6;1;0.5;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;5;1;1;1>,,,,,,
5071,5071,,<810704;0;810705;810702;0;810703>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,,,,,,,
5081,5081,,<0;810802;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
5091,5091,,<0;800901;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,6001,,<820001;820001;820001;0;0;0>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<1;1;5;1;1;1>,,,,,<<1001;701001>>,
6011,6011,,<820107;820108;820109;820110;820111;820112>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;701101>>,
6021,6021,,<820201;820202;820203;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;701201>>,
6031,6031,,<820303;0;820302;820301;0;820304>,,,,,<25;25;25;25;25;25>,,,,,<25;25;25;25;25;25>,,,,,<25;25;25;25;25;25>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;701301>;<1;701351>;<1;701352>;<1;701353>;<1;701354>;<2;701357>;<2;701361>;<2;701362>;<2;701363>;<2;701364>>,
6041,6041,,<820403;820404;820405;820401;0;820402>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,<1;0.5;5;0.3;2;2>,,,,,<<1001;701401>>,
6051,6051,,<820501;820504;820503;820502;820505;820506>,,,,,<1;0.7;1;0.7;0.7;0.7>,,,,,,,,,,<0.5;0.5;0.5;0.5;0.5;0.5>,,,,,,,,,,<<1001;701501>>,
6061,6061,,<820601;820602;820603;820604;820605;820606>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;701601>>,
6071,6071,,<820702;820702;820702;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;701701>>,
6081,6081,,<820801;0;820802;0;0;0>,,,,,<1;0.5;1;0.3;0.3;0.3>,,,,,<1;0.5;1;0.3;0.3;0.3>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;701801>>,
6091,6091,,<0;800901;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;701901>>,
7001,7001,,<830001;830002;830003;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
7011,7011,,<0;830102;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,7021,,<830201;830202;830203;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
7031,7031,,<830301;830301;830301;830301;830301;830301>,,,,,,,,,,,,,,,,,,,,,,,,,,
7041,7041,,<0;830401;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
7051,7051,,<830503;0;830504;0;830502;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
7061,7061,,<830601;830601;830601;830601;830601;830601>,,,,,,,,,,,,,,,,,,,,,,,,,,
7071,7071,,<830702;830702;830702;830702;830702;830702>,,,,,,,,,,,,,,,,,,,,,,,,,,
7081,7081,,<830801;830802;830803;830804;830805;830806>,,,,,,,,,,,,,,,,,,,,,,,,,,
7091,7091,,<0;800901;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
8001,8001,,<400001;0;400002;400003;400004;400005>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100001>;<98;100011>>,
8011,8011,,<400101;400102;400103;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100101>;<98;100109>>,
8021,8021,,<400201;400202;400203;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100201>;<98;100206>>,
8031,8031,,<0;0;0;400301;0;400302>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100301>;<98;100303>>,
8041,8041,,<400401;400402;400403;0;0;0>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100401>;<98;100403>>,
8051,8051,,<400501;400502;400503;400504;400505;400506>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<1;1;1;1;1;1>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<<1001;100501>;<98;100503>;<1;100511>;<1;100512>;<1;100513>;<1;100514>;<1;100515>;<1;100516>>,
8061,8061,,<400601;400602;400603;400604;400605;400606>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100601>;<98;100616>>,
8071,8071,,<400701;400702;400703;400704;400705;400706>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<0.01;0.01;0.01;0.01;0.01;0.01>,,,,,<<1001;100701>;<98;100703>>,
8081,8081,,<400801;400802;400803;400804;400805;400806>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100801>;<98;100819>>,
8091,8091,,<400901;400902;400903;400904;400905;400906>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<<1001;100901>;<98;100912>>,
9001,9001,,<840001;840001;840001;840001;840002;840001>,,,,,,,,,,,,,,,,,,,,,,,,,,
9011,9011,,<0;840102;0;840103;840101;840103>,,,,,,,,,,,,,,,,,,,,,,,,,,
9021,9021,,<840201;840201;840201;840202;840201;840201>,,,,,,,,,,,,,,,,,,,,,,,,,,
9031,9031,,<840302;840302;840302;840301;840301;840301>,,,,,<0.5;0.5;0.5;0.3;0.3;0.3>,,,,,,,,,,,,,,,,,,,,,
9041,9041,,<840403;840402;840401;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
9051,9051,,<840501;840501;840501;840502;840502;840502>,,,,,,,,,,,,,,,,,,,,,,,,,,
9061,9061,,<840601;840601;840601;840601;840602;840601>,,,,,,,,,,,,,,,,,,,,,,,,,,
9071,9071,,<840701;840702;840703;0;0;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
9081,9081,,<0;840801;0;840801;840802;840803>,,,,,,,,,,,,,,,,,,,,,,,,,,
9091,9091,,<0;840904;0;840902;840901;840902>,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,10001,,<1040001;1040002;1040003;0;1040004;0>,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,10011,,<1040105;1040101;1040103;1040104;1040106;1040102>,,,,,<10;10;10;10;10;10>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,,,,,,,,,,,,
10021,10021,,<1040202;1040201;1040203;1040204;1040205;1040206>,,,,,<10;2.5;10;10;10;10>,,,,,<0.1;0.1;0.1;0.1;0.1;0.1>,,,,,<10;1;10;10;10;10>,,,,,,,,,,,
10031,10031,,<1040301;1040302;1040303;1040304;1040305;1040306>,,,,,<0.8;0.8;0.8;0.8;0.8;0.8>,,,,,,,,,,,,,,,,,,,,,
10041,10041,,<1040401;1040402;1040401;1040404;1040403;1040404>,,,,,<5;5;5;5;5;5>,,,,,,,,,,,,,,,,,,,,,
10051,10051,,<0;1040501;0;0;0;0>,,,,,<0;0.5;0;0;0;0>,,,,,,,,,,,,,,,,,,,,,
10061,10061,,<1040601;1040602;1040603;1040604;1040605;1040606>,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,10071,,<1040701;1040703;1040704;1040702;1040705;1040706>,,,,,<10;10;10;10;10;10>,,,,,,,,,,,,,,,,,,,,,
10081,10081,,<1040806;1040805;1040804;1040802;1040801;1040803>,,,,,<0.8;0.8;0.8;0.8;0.8;0.8>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,<0.7;0.7;0.7;0.7;0.7;0.7>,,,,,,,,,,,
10091,10091,,<1040904;1040905;1040906;1040902;1040901;1040903>,,,,,<1.5;1.5;1.5;1.5;1.5;1.5>,,,,,,,,,,<1.5;1.5;1.5;1.5;1.5;1.5>,,,,,,,,,,,
