变量名,floor,openDay,gateSeq,autoCards,autoCards_tw,autoCards_en,autoCards_vn,autoCards_kr,cards,cards_tw,cards_en,cards_vn,cards_kr,deployLock,winCondition,roundLimit,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,deployDesc,monsterIDs,scene,beforePlot,beforePlotRepeat,beforeRes,reviewPlot,reviewPlot_tw,reviewPlot_en,reviewPlot_vn,reviewPlot_kr,award,award_tw,award_en,award_vn,award_kr,__version,gateIcon,iconPos,isFullManual,points
109,9,3,,{1=2},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;0;0;0;0;0>,,,测试9,,,,,这是测试9,,,,,,<181;182;183>,csv.stage.summer,,,,回顾9，要通关后才显示哦,,,,,{5000=1;5001=1},,,,,,,,,
110,10,3,,{112=0},,,,,<3;13;23;31;72;93;482;551>,,,,,<0;1;0;1;0;1>,,,测试10,,,,,这是测试10,,,,,,<191;192;193>,csv.stage.summer,,,,回顾10，要通关后才显示哦,,,,,{2415=1;5000=1;5001=1},,,,,,,,,
1001,1,1,1,,,,,,<100001;100002;100003;100004;100005;100006;100007;100008;100009;100010>,,,,,<0;1;0;0;1;0>,,,植物园,,,,,关卡效果：潜行取消冷却时间；谢米永久禁疗；其他精灵治疗率大幅提升。\n胜利条件：击败谢米,,,,,,<1001>,csv.stage.summer,1001,,,通过考验后，你们获得了一块画有#L10##C0x57D700#毽子棉图案#C0x5B545B##L0#的绿色石板。,,,,,{500=1;6394=15;21771=6;gold=50000},,,,,,,,,
1011,2,1,1,,,,,,<100101;100102;100103;100104;100105;100106;100107;100108;100109;100110>,,,,,<0;0;0;0;1;0>,,,冰雪屋,,,,,关卡效果：冰冻目标变为不可选中，己方全体被冰冻则失败；敌方每回合提升控制率。\n胜利条件：获得战斗胜利,,,,,,<1011>,csv.stage.summer,,,,通过考验后，你们获得了一块画着#L10##C0x00CED7#海星星图案#C0x5B545B##L0#的蓝色石板。,,,,,{527=2;6394=15;21771=7;gold=60000},,,,,,,,,
1021,3,1,1,,,,,,<100201;100202;100203;100204;100205;100206;100207;100208;100209;100210>,,,,,<0;0;0;1;1;1>,,,镜之城,,,,,关卡效果：对位的敌人会成为镜像，敌方受到镜像目标攻击会获得治疗。\n胜利条件：获得战斗胜利,,,,,,<1021>,csv.stage.summer,,,,通过考验后，你们获得了一块画着#L10##C0xAEAEA8#绿毛虫图案#C0x5B545B##L0#的白色石板。,,,,,{6394=15;21771=8;gold=70000;rmb=100},,,,,,,,,
1031,4,2,1,,,,,,<100301;100302;100303;100304;100305;100306;100307;100308;100309;100310>,,,,,<0;0;0;1;1;1>,,,火炎岛,,,,,关卡效果：喷火龙各自拥有不同的能力，努力活下去！\n胜利条件：第7回合开始时仍然存活,,,,,,<1031>,csv.stage.summer,,,,通过考验后，你们获得了一块画着#L10##C0xEE2417#走路草图案#C0x5B545B##L0#的红色石板。,,,,,{151=150;152=15;6394=15;21771=9;gold=80000},,,,,,,,,
1041,5,2,1,,,,,,<100401;100402;100403;100404;100405;100406;100407;100408;100409;100410>,,,,,<0;0;0;1;1;1>,,,幻境,,,,,关卡效果：胡地的真实意念隐藏在多个分身之中，找到他！胡地在遇到危险时会转移自己的真实意念哦\n胜利条件：击败胡地的真实意念,,,,,,<1041>,csv.stage.summer,,,,通过考验后，你们获得了一块画着#L10##C0xC817EE#怪力图案#C0x5B545B##L0#的紫色石板。,,,,,{529=1000;6394=15;21771=10;gold=90000},,,,,,,,,
1051,6,2,1,{100501=2},,,,,,,,,,<1;0;1;1;1;1>,,,摩天轮,,,,,关卡效果：调皮的胡帕爱说谎，找到说真话的胡帕才能得到线索。\n胜利条件：击败所有说真话的胡帕,,,,,,<1051>,csv.stage.summer,,,,通过考验后，你们获得了一块画着#L10##C0xEEE017#角金鱼图案#C0x5B545B##L0#的黄色石板。,,,,,{501=2;6394=15;21771=11;gold=100000},,,,,,,,,
1061,7,3,1,{100611=2},,,,,<100601;100602;100603;100604;100605;100606;100607;100608;100609;100610>,,,,,<1;0;1;0;0;0>,,,救援,,,,,关卡效果：保护好受伤的丑丑鱼。\n胜利条件：获得游戏胜利且丑丑鱼存活,,,,,,<1061>,csv.stage.summer,,,,赶跑不良少年后，你们救下了受伤的丑丑鱼，并将它暂时收服在精灵球中。,,,,,{111=200;112=40;6394=15;21771=12;gold=110000},,,,,,,,,
1071,8,3,1,{100701=1;100702=2;100703=3;100704=4;100705=5;100706=6},,,,,,,,,,<0;0;0;0;0;0>,,,藏宝地,,,,,关卡效果：五颜六色的柱子，似乎和之前获得的石板有某种关联，石板上的图案又是代表什么呢？\n胜利条件：获得游戏胜利,,,,,,<1071>,csv.stage.summer,,,,破解了荒漠中的谜题后，你们找到了一尊精美的美纳斯雕像。,,,,,{502=6;6394=15;21771=13;gold=120000},,,,,,,,,
1081,9,3,1,,,,,,<100801;100802;100803;100804;100805;100806;100807;100808;100809;100810>,,,,,<1;0;1;0;1;0>,,1,抢夺,,,,,关卡效果：小心点，可别把美纳斯雕像打碎了。\n胜利条件：在一回合内获得游戏胜利且美纳斯雕像未破碎,,,,,,<1081>,csv.stage.summer,,,,美纳斯雕像被火箭队一行抢走，在夺回美纳斯雕像的过程中，你不慎跌下飞艇……,,,,,{973=1;6394=15;21771=14;gold=130000},,,,,,,,,
1091,10,3,1,{100911=0},,,,,<100901;100902;100903;100904;100905;100906;100907;100908;100909;100910>,,,,,<1;0;0;0;1;0>,,,神殿,,,,,关卡效果：和美纳斯一起打跑火箭队吧！\n胜利条件：获得游戏胜利,,,,,,<1091>,csv.stage.summer,,,,在美纳斯的帮助下，你们击败了火箭队，并获得了夏日探险活动的最终胜利！,,,,,{2419=1;6394=30;7304=1;21771=15;gold=140000},,,,,,,,,
2001,1,1,2,,,,,,<200001;200002;200003;200004;200005;200006;200007;200008;200009;200010>,,,,,<0;0;0;0;0;0>,,1,初遇呆呆兽,,,,,关卡效果：呆呆兽受到的主动攻击伤害大幅降低。\n胜利条件：在限定时间内击败所有呆呆兽,,,,,,<2001>,csv.stage.summer,,,,在河谷的中央，你们发现了一块古老的石碑，上面刻着呆呆王的传说。,,,,,{500=1;6393=15;20321=5;gold=100000},,,,,,activity/summer_challenge/btn_2zn_1.png,,,
2011,2,1,2,,,,,,<200101;200102;200103;200104;200105;200106;200107;200108;200109;200110>,,,,,<1;0;1;0;1;0>,,2,呆呆王传说,,,,,关卡效果：大舌贝的贝壳生命大幅提升。\n胜利条件：在限定时间内击败所有大舌贝,,,,,,<2011>,csv.stage.summer,,,,在你们的帮助下，一只呆呆兽成功取得了河谷中央的王者的信物……,,,,,{901=20;6393=15;20321=5;gold=120000},,,,,,activity/summer_challenge/btn_2zn_2.png,,,
2021,3,2,2,{200211=2},,,,,<200201;200202;200203;200204;200205;200206;200207;200208;200209;200210>,,,,,<1;0;1;0;0;0>,,5,火箭队来袭,,,,,关卡效果：保护好呆呆兽。\n胜利条件：保护呆呆兽并击败敌人,,,,,,<2021>,csv.stage.summer,,,,你们成功地暂时赶跑了火箭队一行……,,,,,{519=2;6393=15;20321=5;gold=140000},,,,,,activity/summer_challenge/btn_2zn_3.png,,,
2031,4,2,2,{200301=1;200302=2;200303=3},,,,,,,,,,<0;0;0;1;1;1>,,3,进化！呆呆王,,,,,关卡效果：王者之证触发几率大幅提升，呆呆兽会自我治疗。\n胜利条件：击败携带王者之证的呆呆兽,,,,,,<2031>,csv.stage.summer,,,,在一片光芒中，戴着王者之证的呆呆兽成功进化成了呆呆王。,,,,,{527=2;6393=15;20321=5;gold=160000},,,,,,activity/summer_challenge/btn_2zn_4.png,,,
2041,5,3,2,{200401=1;200402=2;200403=3},,,,,,,,,,<0;0;0;1;1;1>,,1,火之圣物,,,,,关卡效果：光暗相生，火光通明。\n胜利条件：点亮所有火把,,,,,,<2041>,csv.stage.summer,,,,你们成功破解了火焰鸟的谜题，拿到了火之圣物。,,,,,{6393=20;20321=7;gold=180000;rmb=128},,,,,,activity/summer_challenge/btn_2zn_5.png,,,
2051,6,3,2,{200501=1;200502=2;200503=3;200504=4;200505=5;200506=6},,,,,,,,,,<0;0;0;0;0;0>,,3,电之圣物,,,,,关卡效果：电极流转，正负中和。\n胜利条件：击败所有敌人,,,,,,<2051>,csv.stage.summer,,,,你们成功破解了闪电鸟的谜题，拿到了电之圣物。,,,,,{503=3;6393=20;20321=7;gold=200000},,,,,,activity/summer_challenge/btn_2zn_6.png,,,
2061,7,3,2,,,,,,<200601;200602;200603;200604;200605;200606;200607;200608;200609;200610>,,,,,<0;0;0;0;0;0>,,1,冰之圣物,,,,,关卡效果：深浅冻土，冰窟圣物。\n胜利条件：不击破圣物的情况下击破所有冰块,,,,,,<2061>,csv.stage.summer,,,,你们成功破解了急冻鸟的谜题，拿到了冰之圣物。,,,,,{520=3;6393=20;20321=7;gold=220000},,,,,,activity/summer_challenge/btn_2zn_7.png,,,
2071,8,4,2,{200711=2},,,,,<200701;200702;200703;200704;200705;200706;200707;200708;200709;200710>,,,,,<1;0;1;0;1;0>,,,洛奇亚之歌,,,,,关卡效果：呆呆王每次行动均会演奏1层，5层即可奏响洛奇亚之歌。\n胜利条件：保护呆呆王奏响洛奇亚之歌,,,,,,<2071>,csv.stage.summer,,,,呆呆王演奏完毕，洛奇亚从海中升起……,,,,,{521=3;6393=30;20321=10;gold=240000},,,,,,activity/summer_challenge/btn_2zn_8.png,,,
2081,9,4,2,{200811=0;200812=0},,,,,<200801;200802;200803;200804;200805;200806;200807;200808;200809;200810>,,,,,<0;0;0;0;0;0>,,3,洛奇亚降临,,,,,关卡效果：三圣鸟能力大幅提升，洛奇亚会随机削弱三圣鸟\n胜利条件：击败失控的三圣鸟,,,,,,<2081>,csv.stage.summer,,,,在火箭队和洛奇亚的帮助下，你们成功地平息了失控的三圣鸟的怒火……,,,,,{501=2;6393=30;20321=10;gold=260000},,,,,,activity/summer_challenge/btn_2zn_9.png,,,
2091,10,4,2,{200911=0},,,,,<200901;200902;200903;200904;200905;200906;200907;200908;200909;200910>,,,,,<0;0;0;0;0;0>,,,送别火箭队,,,,,关卡效果：和呆呆王一起送别火箭队吧！\n胜利条件：击败火箭队,,,,,,<2091>,csv.stage.summer,,,,在结束这一切之后，湖泊周围的环境渐渐恢复了原样……,,,,,{974=1;2430=1;6393=30;20321=10;gold=280000},,,,,,activity/summer_challenge/btn_2zn_10.png,,,
3001,1,1,3,{300001=1;300002=2;300003=3},,,,,,,,,,<0;0;0;1;1;1>,,1,新伙伴，水水獭！,,,,,关卡效果：到博士的研究所领取一只水水獭吧！\n胜利条件：击败水水獭,,,,,,<3001>,csv.stage.summer,,,,你在红豆杉博士那里领取了一只水水獭，水水獭似乎也很愿意成为你的伙伴。,,,,,{6394=20;20211=10;22491=6;gold=50000;rmb=100},,,,,,activity/summer_challenge/btn_bksy_1.png,{x=264;y=1212},,
3011,2,1,3,{300101=2},,,,,,,,,,<1;0;1;1;1;1>,,,梦中情獭,,,,,关卡效果：情敌初遇之战！战斗开始时可以为敌方选择一个效果，自己获得剩下的两个效果。\n胜利条件：使用双刃丸击败水水獭,,,,,,<3011>,csv.stage.summer,,,,水水獭爱上了水水可，却遇到了强大的情敌，你要帮助它训练来夺回它的爱情。,,,,,{5000=10;6394=22;20211=10;22491=7;gold=60000},,,,,,activity/summer_challenge/btn_bksy_2.png,{x=804;y=998},,
3021,3,2,3,,,,,,<300201;300202;300203;300204;300205;300206;300207;300208;300209;300210>,,,,,<0;0;0;0;0;0>,,3,平衡特训,,,,,关卡效果：要保持平衡哦！前两个大回合如果行动后导致任意单位阵亡的话就会失败。\n胜利条件：击败所有敌人,,,,,,<3021>,csv.stage.summer,,,,水水獭成功地通过了平衡特训。,,,,,{502=5;6394=24;20211=12;22491=8;gold=70000},,,,,,activity/summer_challenge/btn_bksy_3.png,{x=204;y=671},TRUE,
3031,4,2,3,{300301=0;300302=0;300303=0;300304=0;300305=0;300306=0},,,,,,,,,,<0;0;0;0;0;0>,,1,灵敏特训,,,,,关卡效果：灵巧躲避特训，被攻击到三次就会失败哦！\n胜利条件：受击少于3次,,,,,,<3031>,csv.stage.summer,,,,水水獭成功地通过了灵敏特训。,,,,,{501=1;6394=26;20211=12;22491=9;gold=80000},,,,,,activity/summer_challenge/btn_bksy_4.png,{x=428;y=274},,
3041,5,3,3,{300401=0},,,,,<300411;300402;300403;300404;300405;300406;300407;300408;300409;300410>,,,,,<0;0;0;0;0;0>,,,力量特训,,,,,关卡效果：力量控制特训，只有水水獭击败的才算哦！\n胜利条件：由水水獭击败6个敌人,,,,,,<3041>,csv.stage.summer,,,,水水獭成功地通过了力量特训。,,,,,{527=2;6394=28;20211=15;22491=10;gold=90000},,,,,,activity/summer_challenge/btn_bksy_5.png,{x=1308;y=335},,
3051,6,3,3,,,,,,<300501;300502;300503;300504;300505;300506;300507;300508;300509;300510;300511;300512;300513;300515;300516;300517;300518;300519>,,,,,<0;0;0;1;0;1>,,,耐力特训,,,,,关卡效果：耐力训练，己方全体不可主动行动，敌方暴击率提升！\n胜利条件：击败所有敌人,,,,,,<3051>,csv.stage.summer,,,,水水獭成功地通过了耐力特训。,,,,,{112=10;6394=30;20211=15;22491=11;gold=100000},,,,,,activity/summer_challenge/btn_bksy_6.png,{x=2262;y=366},,
3061,7,3,3,{300601=2},,,,,,,,,,<1;0;1;1;1;1>,,1,精准特训,,,,,关卡效果：击破冰块时扇贝贝会飞回手中，水水獭技能替换为关卡专属技能。\n胜利条件：在限定时间内击破所有冰块,,,,,,<3061>,csv.stage.summer,,,,水水獭成功地通过了精准特训。,,,,,{152=10;6394=32;20211=18;22491=12;gold=110000},,,,,,activity/summer_challenge/btn_bksy_7.png,{x=2364;y=1142},,
3071,8,4,3,{300711=2},,,,,<300707;300708;300709;300710;300712;300713;300714;300715;300716;300717;300701;300702;300703;300704;300705;300706>,,,,,<0;0;0;1;0;1>,,,速度特训,,,,,关卡效果：单位死亡后会满血满怒复活，每次行动前进1米。\n胜利条件：最先累计前进50米的阵营获胜,,,,,,<3071>,csv.stage.summer,,,,水水獭成功地通过了速度特训。,,,,,{521=2;6394=34;20211=18;22491=13;gold=120000},,,,,,activity/summer_challenge/btn_bksy_8.png,{x=1888;y=940},,
3081,9,4,3,{300801=2},,,,,<300802;300803;300804;300805;300806;300807;300808;300809;300810;300811;300812;300813;300814;300815;300816;300817>,,,,,<1;0;1;0;0;0>,,,扇贝贝王争夺战！,,,,,关卡效果：啦啦队员会为双刃丸提供不同的效果，啦啦队员被击败后立即复活并晕眩1回合。\n胜利条件：击败敌方双刃丸,,,,,,<3081>,csv.stage.summer,,,,水水獭在比赛中战胜了自己的情敌，在感情上却输的彻底,,,,,{6394=36;7303=1;20211=20;22491=14;gold=130000},,,,,,activity/summer_challenge/btn_bksy_9.png,{x=1396;y=750},,
3091,10,4,3,,,,,,<300901;300902;300903;300904;300905;300906;300907;300908;300909;300910;300911;300912;300913;300914;300915;300916;300917;300918;300919;300920>,,,,,<0;0;0;0;0;0>,,,捣乱的火箭队,,,,,关卡效果：火箭队又来捣乱了！\n胜利条件：击败火箭队,,,,,,<3091>,csv.stage.summer,,,,携手击败火箭队后，水水獭终于从失恋的苦痛中走出来，这个世界不是只有爱情，还有真挚的友谊，值得去守护！,,,,,{973=1;2435=1;6394=38;20211=25;22491=15;gold=140000},,,,,,activity/summer_challenge/btn_bksy_10.png,{x=1330;y=1244},,
4001,1,1,4,,,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<0;0;0;1;1;1>,,1,初遇！大葱鸭！,,,,,关卡效果：遇到了一只拦路的大葱鸭。\n胜利条件：完成所选择的胜利条件,,,,,,<4001>,csv.stage.summer,,,,大葱鸭被你的勇敢与智慧折服，愿意成为你的伙伴,,,,,{500=1;6393=15;24431=5;gold=100000},,,,,,activity/summer_challenge/btn_23znq_1.png,{x=330;y=638},,
4011,2,1,4,{700101=5},,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<0;0;0;1;0;1>,,1,成为伙伴吧,,,,,关卡效果：皮卡丘技能替换为关卡专属捕捉技能。\n胜利条件：使用皮卡丘的精灵球技能收服一只大葱鸭,,,,,,<4011>,csv.stage.summer,,,,成功地收服了大葱鸭,,,,,{901=20;6393=15;24431=5;gold=120000},,,,,,activity/summer_challenge/btn_23znq_2.png,{x=426;y=1130},,
4021,3,2,4,,,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<1;0;1;0;1;0>,,,又见火箭队,,,,,关卡效果：又是火箭队，你知道该怎么做。\n胜利条件：存活5回合,,,,,,<4021>,csv.stage.summer,,,,在与火箭队对战的过程中，大葱鸭被趁乱捉走,,,,,{519=2;6393=15;24431=5;gold=140000},,,,,,activity/summer_challenge/btn_23znq_3.png,{x=978;y=1074},,
4031,4,2,4,,,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<0;0;0;0;0;0>,,5,营救大葱鸭,,,,,关卡效果：大葱鸭受到伤害就会失败。\n胜利条件：击败全部敌人,,,,,,<4031>,csv.stage.summer,,,,成功救下了大葱鸭并赶跑了火箭队,,,,,{527=2;6393=15;24431=5;gold=160000},,,,,,activity/summer_challenge/btn_23znq_4.png,{x=1478;y=1232},,
4041,5,3,4,,,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<0;1;0;0;1;0>,,1,草原的谜题,,,,,关卡效果：开局满怒，敌方受击变化形态。\n胜利条件：使敌方全部变为霸王花,,,,,,<4041>,csv.stage.summer,,,,没有找到合适的大葱,,,,,{6393=20;24431=7;gold=180000;rmb=128},,,,,,activity/summer_challenge/btn_23znq_5.png,{x=2008;y=1068},,
4051,6,3,4,{700501=2},,,,,,,,,,<1;0;1;1;1;1>,,5,特训,,,,,关卡效果：选择一项负重。温馨提示：先了解一下葱游兵的技能哦！\n胜利条件：击败全部敌人,,,,,,<4051>,csv.stage.summer,,,,你让大葱鸭进行特训，适应断掉的大葱,,,,,{503=3;6393=20;24431=7;gold=200000},,,,,,activity/summer_challenge/btn_23znq_6.png,{x=2336;y=584},,
4061,7,3,4,{300302=2;300303=3;700601=1},,,,,,,,,,<0;0;0;1;1;1>,,5,防御训练,,,,,关卡效果：炮台攻击对位目标，每回合随机两个炮台大幅提升伤害。自身行动前随机换位。\n胜利条件：击败全部敌人,,,,,,<4061>,csv.stage.summer,,,,特训还在继续,,,,,{520=3;6393=20;24431=7;gold=220000},,,,,,activity/summer_challenge/btn_23znq_7.png,{x=1890;y=254},,
4071,8,4,4,{700701=0},,,,,<700001;700002;700003;700004;700005;700006;700007;700008;700009;700010;700011;700012;700013;700014;700015;700016;700017;700018;700019;700020;700021;700022;700023;700024;700025;700026;700027;700028;700029>,,,,,<1;0;1;0;1;0>,,,友谊的力量,,,,,关卡效果：己方前排怒气回复提升。己方后排速度降低，伤害提升。\n胜利条件：击败全部敌人,,,,,,<4071>,csv.stage.summer,,,,大葱鸭在和其他宝可梦的友谊中受益匪浅,,,,,{521=3;6393=30;24431=10;gold=240000},,,,,,activity/summer_challenge/btn_23znq_8.png,{x=1654;y=710},,
4081,9,4,4,{700801=2},,,,,,,,,,<1;0;1;1;1;1>,,,进化！葱游兵,,,,,关卡效果：开局满怒，速度提升。击杀敌方获得效果：土地云--抵御提升；雷电云--命中提升；龙卷云--闪避提升。\n胜利条件：击败全部敌人,,,,,,<4081>,csv.stage.summer,,,,大葱鸭进化成为了葱游兵,,,,,{501=2;6393=30;24431=10;gold=260000},,,,,,activity/summer_challenge/btn_23znq_9.png,{x=994;y=546},,
4091,10,4,4,{700901=0;700902=0;700903=0;700904=0;700905=0},,,,,,,,,,<0;0;0;0;0;0>,,,决战王牌,,,,,关卡效果：对决王牌喷火龙！喷火龙技能替换为关卡专属技能。\n胜利条件：击败全部敌人,,,,,,<4091>,csv.stage.summer,,,,大葱鸭击败了王牌喷火龙,,,,,{974=1;2446=1;6393=30;24431=10;gold=280000},,,,,,activity/summer_challenge/btn_23znq_10.png,{x=560;y=261},,
5001,1,1,5,,,,,,<710001;710002;710003;710004;710005;710006;710007;710008;710009;710010;710011;710012;710013;710014;710015;710016;710017;710018;710019;710020;710021;710022;710023;710024;710025;710026;710027;710028;710029;710030;710031;710032;710033>,,,,,<0;0;0;1;1;1>,,,矿山,,,,,关卡效果：经过了一座矿山。\n胜利条件：获得战斗胜利,,,,,,<5001>,csv.stage.summer,,,,你在矿山遇到了两个研究人员,,,,,{500=1;6394=15;24561=6;gold=50000},,,,,,activity/summer_challenge/btn_xrtz_1.png,{x=407;y=1138},,
5011,2,1,5,,,,,,<710001;710002;710003;710004;710005;710006;710007;710008;710009;710010;710011;710012;710013;710014;710015;710016;710017;710018;710019;710020;710021;710022;710023;710024;710025;710026;710027;710028;710029;710030;710031;710032;710033>,,,,,<1;0;1;0;1;0>,,,研究人员,,,,,关卡效果：不要损坏珍贵的化石。\n胜利条件：清理土层，挖出化石,,,,,,<5011>,csv.stage.summer,,,,你帮助研究人员挖掘出了珍贵的化石,,,,,{527=2;6394=15;24561=7;gold=60000},,,,,,activity/summer_challenge/btn_xrtz_2.png,{x=915;y=1095},,
5021,3,2,5,,,,,,<710001;710002;710003;710004;710005;710006;710007;710008;710009;710010;710011;710012;710013;710014;710015;710016;710017;710018;710019;710020;710021;710022;710023;710024;710025;710026;710027;710028;710029;710030;710031;710032;710033>,,,,,<1;0;1;0;1;0>,,6,火箭队的捣乱,,,,,关卡效果：火箭队又来捣乱啦！\n胜利条件：你懂的,,,,,,<5021>,csv.stage.summer,,,,你成功打跑了火箭队,,,,,{6394=15;24561=8;gold=70000;rmb=100},,,,,,activity/summer_challenge/btn_xrtz_3.png,{x=1770;y=1197},,
5031,4,2,5,,,,,,<710001;710002;710003;710004;710005;710006;710007;710008;710009;710010;710011;710012;710013;710014;710015;710016;710017;710018;710019;710020;710021;710022;710023;710024;710025;710026;710027;710028;710029;710030;710031;710032;710033>,,,,,<0;0;0;0;0;0>,,,化石研究,,,,,关卡效果：受到攻击后会切换颜色。\n胜利条件：将所有化石变为同一颜色,,,,,,<5031>,csv.stage.summer,,,,你成功的用化石复活了一只古代精灵,,,,,{151=150;152=15;6394=15;24561=9;gold=80000},,,,,,activity/summer_challenge/btn_xrtz_4.png,{x=2263;y=1003},,
5041,5,3,5,{810401=2;810403=1;810404=3},,,,,,,,,,<0;0;0;1;1;1>,,4,啊呜！美味的头,,,,,关卡效果：鳃鱼龙似乎对你的头很感兴趣。\n胜利条件：存活3回合,,,,,,<5041>,csv.stage.summer,,,,看起来鳃鱼龙并没有恶意,,,,,{529=1000;6394=15;24561=10;gold=90000},,,,,,activity/summer_challenge/btn_xrtz_5.png,{x=2193;y=479},,
