变量名,targetArg2,targetType2,redPoint,exchangeTimes,targetDesc1,targetArg1,targetType1,contractCsvID,onlyShow,targetDesc3,targetArg3,targetType3,targetDesc2,pos,targetParam1,targetParam2,targetParam3,costItems,costContractMap,languages,__version
1539,,,1,1,闪光超级耿鬼达到12星解锁,,128,81619,,,,,,,{12=<7021>},,,{521=10;27021=30;gold=6000000;rmb=1500},{6=1},<cn;tw;en_us>,
1540,,,1,1,闪光超级班基拉斯达到12星解锁,,128,81620,,,,,,,{12=<7031>},,,{521=10;27031=30;gold=6000000;rmb=1500},{6=1},<cn;tw;en_us>,
1541,,,1,1,起源梦幻达到12星解锁,,128,83614,,,,,,,{12=<7041>},,,{521=10;27041=30;gold=6000000;rmb=1500},{6=1},<cn;tw;en_us>,
1542,,,1,1,闪光超级艾路雷朵达到12星解锁,,128,81621,,,,,,,{12=<7061>},,,{521=10;27061=30;gold=6000000;rmb=1500},{6=1},<cn>,
1543,,,1,1,凯路迪欧·觉悟达到12星解锁,,128,81622,,,,,,,{12=<7071>},,,{521=10;27071=30;gold=6000000;rmb=1500},{6=1},<cn>,
1544,,,1,1,闪光超级沙奈朵达到12星解锁,,128,83615,,,,,,,{12=<7051>},,,{521=10;27051=30;gold=6000000;rmb=1500},{6=1},<cn>,
1545,,,1,1,大吾超级巨金怪达到12星解锁,,128,82609,,,,,,,{12=<7081>},,,{521=10;27081=30;gold=6000000;rmb=1500},{6=1},<cn>,
1546,,,1,1,竹兰超级烈咬陆鲨达到12星解锁,,128,81623,,,,,,,{12=<7091>},,,{521=10;27091=30;gold=6000000;rmb=1500},{6=1},<cn>,
1547,,,1,1,闪光超级路卡利欧达到12星解锁,,128,81624,,,,,,,{12=<7111>},,,{521=10;27111=30;gold=6000000;rmb=1500},{6=1},<cn>,
1548,,,1,1,蕾冠王·黑马达到12星解锁,,128,81625,,,,,,,{12=<4683>},,,{521=10;24683=30;gold=6000000;rmb=1500},{6=1},<cn>,
1549,,,1,1,闪光超级暴雪王达到12星解锁,,128,81626,,,,,,,{12=<7131>},,,{521=10;27131=30;gold=6000000;rmb=1500},{6=1},<cn>,
1550,,,1,1,蕾冠王·白马达到12星解锁,,128,83616,,,,,,,{12=<4682>},,,{521=10;24682=30;gold=6000000;rmb=1500},{6=1},<cn>,
1551,,,1,1,密勒顿达到12星解锁,,128,81627,,,,,,,{12=<5391>},,,{521=10;25391=30;gold=6000000;rmb=1500},{6=1},<cn>,
1552,,,1,1,闪光超级妙蛙花达到12星解锁,,128,83617,,,,,,,{12=<7151>},,,{521=10;27151=30;gold=6000000;rmb=1500},{6=1},<cn>,
1554,,,1,1,无极汰那达到12星解锁,,128,81629,,,,,,,{12=<4611>},,,{521=10;24611=30;gold=6000000;rmb=1500},{6=1},<cn>,
1601,,,,1,呱呱泡蛙达到12星解锁,,128,81501,,,,,,,{12=<3301>},,,{502=30;23301=150;gold=3000000;rmb=1000},{5=1},,
1602,,,,1,飞天螳螂达到12星解锁,,128,81504,,,,,,,{12=<571>},,,{502=30;20571=150;gold=3000000;rmb=1000},{5=1},,
1603,,,,1,懒人獭达到12星解锁,,128,81502,,,,,,,{12=<1421>},,,{502=30;21421=150;gold=3000000;rmb=1000},{5=1},,
1604,,,,1,火焰鸟达到12星解锁,,128,81507,,,,,,,{12=<741>},,,{502=30;20741=150;gold=3000000;rmb=1000},{5=1},,
1605,,,,1,宝贝龙达到12星解锁,,128,81508,,,,,,,{12=<1891>},,,{502=30;21891=150;gold=3000000;rmb=1000},{5=1},,
1606,,,,1,利欧路达到12星解锁,,128,81509,,,,,,,{12=<2241>},,,{502=30;22241=150;gold=3000000;rmb=1000},{5=1},,
1607,,,,1,可可多拉达到12星解锁,,128,82501,,,,,,,{12=<1501>},,,{502=30;21501=150;gold=3000000;rmb=1000},{5=1},,
1608,,,,1,小卡比兽达到12星解锁,,128,82502,,,,,,,{12=<711>},,,{502=30;20711=150;gold=3000000;rmb=1000},{5=1},,
1609,,,,1,大舌贝达到12星解锁,,128,82506,,,,,,,{12=<381>},,,{502=30;20381=150;gold=3000000;rmb=1000},{5=1},,
1610,,,,1,独剑鞘达到12星解锁,,128,82507,,,,,,,{12=<3411>},,,{502=30;23411=150;gold=3000000;rmb=1000},{5=1},,
1611,,,,1,土地云达到12星解锁,,128,82508,,,,,,,{12=<3231>},,,{502=30;23231=150;gold=3000000;rmb=1000},{5=1},,
1612,,,,1,急冻鸟达到12星解锁,,128,82509,,,,,,,{12=<721>},,,{502=30;20721=150;gold=3000000;rmb=1000},{5=1},,
1613,,,,1,花蓓蓓达到12星解锁,,128,83504,,,,,,,{12=<3351>},,,{502=30;23351=150;gold=3000000;rmb=1000},{5=1},,
1614,,,,1,克雷色利亚达到12星解锁,,128,83503,,,,,,,{12=<2401>},,,{502=30;22401=150;gold=3000000;rmb=1000},{5=1},,
1615,,,,1,闪电鸟达到12星解锁,,128,83502,,,,,,,{12=<731>},,,{502=30;20731=150;gold=3000000;rmb=1000},{5=1},,
1616,,,,1,龙卷云达到12星解锁,,128,83506,,,,,,,{12=<3191>},,,{502=30;23191=150;gold=3000000;rmb=1000},{5=1},,
1617,,,,1,水君达到12星解锁,,128,83507,,,,,,,{12=<1241>},,,{502=30;21241=150;gold=3000000;rmb=1000},{5=1},,
1618,,,,1,藤藤蛇达到12星解锁,,128,83509,,,,,,,{12=<2471>},,,{502=30;22471=150;gold=3000000;rmb=1000},{5=1},,
1619,,,,1,雷吉斯奇鲁达到12星解锁,,128,81510,,,,,,,{12=<1931>},,,{502=30;21931=150;gold=3000000;rmb=1000},{5=1},,
1620,,,,1,雷吉洛克达到12星解锁,,128,82510,,,,,,,{12=<1911>},,,{502=30;21911=150;gold=3000000;rmb=1000},{5=1},,
1621,,,,1,雷吉艾斯达到12星解锁,,128,83510,,,,,,,{12=<1921>},,,{502=30;21921=150;gold=3000000;rmb=1000},{5=1},,
1622,,,,1,代拉基翁达到12星解锁,,128,81511,,,,,,,{12=<3171>},,,{502=30;23171=150;gold=3000000;rmb=1000},{5=1},,
1623,,,,1,毕力吉翁达到12星解锁,,128,81512,,,,,,,{12=<3181>},,,{502=30;23181=150;gold=3000000;rmb=1000},{5=1},,
1624,,,,1,勾帕路翁达到12星解锁,,128,82511,,,,,,,{12=<3161>},,,{502=30;23161=150;gold=3000000;rmb=1000},{5=1},,
1625,,,,1,拉帝欧斯达到12星解锁,,128,81513,,,,,,,{12=<1951>},,,{502=30;21951=150;gold=3000000;rmb=1000},{5=1},,
1626,,,,1,拉帝亚斯达到12星解锁,,128,83511,,,,,,,{12=<1941>},,,{502=30;21941=150;gold=3000000;rmb=1000},{5=1},,
1627,,,,1,甜竹竹达到12星解锁,,128,81514,,,,,,,{12=<3841>},,,{502=30;23841=150;gold=3000000;rmb=1000},{5=1},,
1628,,,,1,木木枭达到12星解锁,,128,81515,,,,,,,{12=<3661>},,,{502=30;23661=150;gold=3000000;rmb=1000},{5=1},,
1629,,,,1,纸御剑达到12星解锁,,128,81516,,,,,,,{12=<4081>},,,{502=30;24081=150;gold=3000000;rmb=1000},{5=1},,
1630,,,,1,黏黏宝达到12星解锁,,128,82512,,,,,,,{12=<3541>},,,{502=30;23541=150;gold=3000000;rmb=1000},{5=1},,
1631,,,,1,球球海狮达到12星解锁,,128,83512,,,,,,,{12=<3681>},,,{502=30;23681=150;gold=3000000;rmb=1000},{5=1},,
1632,,,,1,雷电云达到12星解锁,,128,83513,,,,,,,{12=<3201>},,,{502=30;23201=150;gold=3000000;rmb=1000},{5=1},,
1633,,,,1,凯西达到12星解锁,,128,83514,,,,,,,{12=<261>},,,{502=30;20261=150;gold=3000000;rmb=1000},{5=1},,
1634,,,,1,鬼斯达到12星解锁,,128,83515,,,,,,,{12=<391>},,,{502=30;20391=150;gold=3000000;rmb=1000},{5=1},,
1635,,,,1,梦妖达到12星解锁,,128,83516,,,,,,,{12=<971>},,,{502=30;20971=150;gold=3000000;rmb=1000},{5=1},,
1636,,,,1,拉鲁拉丝达到12星解锁,,128,83517,,,,,,,{12=<1391>},,,{502=30;21391=150;gold=3000000;rmb=1000},{5=1},,
1637,,,,1,小磁怪达到12星解锁,,128,81517,,,,,,,{12=<331>},,,{502=30;20331=150;gold=3000000;rmb=1000},{5=1},,
1638,,,,1,电击怪达到12星解锁,,128,81518,,,,,,,{12=<591>},,,{502=30;20591=150;gold=3000000;rmb=1000},{5=1},,
1639,,,,1,卡蒂狗达到12星解锁,,128,81519,,,,,,,{12=<241>},,,{502=30;20241=150;gold=3000000;rmb=1000},{5=1},,
1640,,,,1,鸭嘴宝宝达到12星解锁,,128,81520,,,,,,,{12=<601>},,,{502=30;20601=150;gold=3000000;rmb=1000},{5=1},,
1641,,,,1,戴鲁比达到12星解锁,,128,81521,,,,,,,{12=<1171>},,,{502=30;21171=150;gold=3000000;rmb=1000},{5=1},,
1642,,,,1,炎帝达到12星解锁,,128,82513,,,,,,,{12=<1231>},,,{502=30;21231=150;gold=3000000;rmb=1000},{5=1},,
1643,,,,1,烛光灵达到12星解锁,,128,83518,,,,,,,{12=<2991>},,,{502=30;22991=150;gold=3000000;rmb=1000},{5=1},,
1644,,,,1,燃烧虫达到12星解锁,,128,83519,,,,,,,{12=<3151>},,,{502=30;23151=150;gold=3000000;rmb=1000},{5=1},,
1645,,,,1,蚊香蝌蚪达到12星解锁,,128,83520,,,,,,,{12=<251>},,,{502=30;20251=150;gold=3000000;rmb=1000},{5=1},,
1646,,,,1,呆呆兽达到12星解锁,,128,83521,,,,,,,{12=<321>},,,{502=30;20321=150;gold=3000000;rmb=1000},{5=1},,
1647,,,,1,暴鲤龙达到12星解锁,,128,81522,,,,,,,{12=<631>},,,{502=30;20631=150;gold=3000000;rmb=1000},{5=1},,
1648,,,,1,拉普拉斯达到12星解锁,,128,83522,,,,,,,{12=<641>},,,{502=30;20641=150;gold=3000000;rmb=1000},{5=1},,
1649,,,,1,水跃鱼达到12星解锁,,128,82514,,,,,,,{12=<1311>},,,{502=30;21311=150;gold=3000000;rmb=1000},{5=1},,
1650,,,,1,丑丑鱼达到12星解锁,,128,83523,,,,,,,{12=<1771>},,,{502=30;21771=150;gold=3000000;rmb=1000},{5=1},,
1651,,,,1,凯罗斯达到12星解锁,,128,81523,,,,,,,{12=<611>},,,{502=30;20611=150;gold=3000000;rmb=1000},{5=1},,
1652,,,,1,化石翼龙达到12星解锁,,128,81524,,,,,,,{12=<701>},,,{502=30;20701=150;gold=3000000;rmb=1000},{5=1},,
1653,,,,1,大岩蛇达到12星解锁,,128,82515,,,,,,,{12=<401>},,,{502=30;20401=150;gold=3000000;rmb=1000},{5=1},,
1654,,,,1,独角犀牛达到12星解锁,,128,82516,,,,,,,{12=<491>},,,{502=30;20491=150;gold=3000000;rmb=1000},{5=1},,
1655,,,,1,铁哑铃达到12星解锁,,128,82517,,,,,,,{12=<1901>},,,{502=30;21901=150;gold=3000000;rmb=1000},{5=1},,
1656,,,,1,垒磊石达到12星解锁,,128,82518,,,,,,,{12=<4141>},,,{502=30;24141=150;gold=3000000;rmb=1000},{5=1},,
1657,,,,1,炎兔儿达到12星解锁,,128,81525,,,,,,,{12=<4191>},,,{502=30;24191=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1658,,,,1,雷公达到12星解锁,,128,82519,,,,,,,{12=<1221>},,,{502=30;21221=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1659,,,,1,蛋蛋达到12星解锁,,128,83524,,,,,,,{12=<441>},,,{502=30;20441=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1660,,,,1,小福蛋达到12星解锁,,128,83525,,,,,,,{12=<501>},,,{502=30;20501=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1661,,,,1,波克比达到12星解锁,,128,83526,,,,,,,{12=<861>},,,{502=30;20861=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1662,,,,1,咩利羊达到12星解锁,,128,83527,,,,,,,{12=<881>},,,{502=30;20881=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1663,,,1,1,快龙达到12星解锁,,128,81526,,,,,,,{12=<751>},,,{502=30;20751=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1664,,,1,1,梦幻达到12星解锁,,128,82520,,,,,,,{12=<771>},,,{502=30;20771=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1665,,,1,1,幼基拉斯达到12星解锁,,128,82521,,,,,,,{12=<1251>},,,{502=30;21251=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1666,,,1,1,木守宫达到12星解锁,,128,81527,,,,,,,{12=<1291>},,,{502=30;21291=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1667,,,1,1,火雉鸡达到12星解锁,,128,81528,,,,,,,{12=<1301>},,,{502=30;21301=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1668,,,1,1,小火焰猴达到12星解锁,,128,81529,,,,,,,{12=<2021>},,,{502=30;22021=150;gold=3000000;rmb=1000},{5=1},<cn;kr;tw;en_us>,
1669,,,1,1,天蝎达到12星解锁,,128,81530,,,,,,,{12=<1031>},,,{502=30;21031=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1670,,,1,1,赫拉克罗斯达到12星解锁,,128,81531,,,,,,,{12=<1071>},,,{502=30;21071=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1671,,,1,1,狃拉达到12星解锁,,128,81532,,,,,,,{12=<1081>},,,{502=30;21081=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1672,,,1,1,牙牙达到12星解锁,,128,81533,,,,,,,{12=<3001>},,,{502=30;23001=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1673,,,1,1,圆陆鲨达到12星解锁,,128,81534,,,,,,,{12=<2231>},,,{502=30;22231=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1674,,,1,1,单首龙达到12星解锁,,128,81535,,,,,,,{12=<3141>},,,{502=30;23141=150;gold=3000000;rmb=1000},{5=1},<cn;tw;en_us>,
1675,,,1,1,谜拟Ｑ达到12星解锁,,128,83528,,,,,,,{12=<3961>},,,{502=30;23961=150;gold=3000000;rmb=1000},{5=1},<cn>,
1676,,,1,1,阿勃梭鲁达到12星解锁,,128,83529,,,,,,,{12=<1841>},,,{502=30;21841=150;gold=3000000;rmb=1000},{5=1},<cn>,
1677,,,1,1,夜巡灵达到12星解锁,,128,83530,,,,,,,{12=<1811>},,,{502=30;21811=150;gold=3000000;rmb=1000},{5=1},<cn>,
1678,,,1,1,黑眼鳄达到12星解锁,,128,81536,,,,,,,{12=<2721>},,,{502=30;22721=150;gold=3000000;rmb=1000},{5=1},<cn>,
1679,,,1,1,索罗亚达到12星解锁,,128,81537,,,,,,,{12=<2821>},,,{502=30;22821=150;gold=3000000;rmb=1000},{5=1},<cn>,
1680,,,1,1,好坏星达到12星解锁,,128,82522,,,,,,,{12=<3771>},,,{502=30;23771=150;gold=3000000;rmb=1000},{5=1},<cn>,
1681,,,1,1,毒贝比达到12星解锁,,128,81538,,,,,,,{12=<4131>},,,{502=30;24131=150;gold=3000000;rmb=1000},{5=1},<cn>,
1682,,,1,1,嗡蝠达到12星解锁,,128,83533,,,,,,,{12=<3591>},,,{502=30;23591=150;gold=3000000;rmb=1000},{5=1},<cn>,
1683,,,1,1,几何雪花达到12星解锁,,128,82523,,,,,,,{12=<3021>},,,{502=30;23021=150;gold=3000000;rmb=1000},{5=1},<cn>,
1684,,,1,1,小果然达到12星解锁,,128,82524,,,,,,,{12=<991>},,,{502=30;20991=150;gold=3000000;rmb=1000},{5=1},<cn>,
1685,,,1,1,超音蝠达到12星解锁,,128,83531,,,,,,,{12=<161>},,,{502=30;20161=150;gold=3000000;rmb=1000},{5=1},<cn>,
1686,,,1,1,魔尼尼达到12星解锁,,128,83532,,,,,,,{12=<561>},,,{502=30;20561=150;gold=3000000;rmb=1000},{5=1},<cn>,
1687,,,1,1,席多蓝恩达到12星解锁,,128,82525,,,,,,,{12=<2371>},,,{502=30;22371=150;gold=3000000;rmb=1000},{5=1},<cn>,
1688,,,1,1,青绵鸟达到12星解锁,,128,83534,,,,,,,{12=<1671>},,,{502=30;21671=150;gold=3000000;rmb=1000},{5=1},<cn>,
1689,,,1,1,火斑喵达到12星解锁,,128,81539,,,,,,,{12=<3671>},,,{502=30;23671=150;gold=3000000;rmb=1000},{5=1},<cn>,
1690,,,1,1,霏欧纳达到12星解锁,,128,83535,,,,,,,{12=<2411>},,,{502=30;22411=150;gold=3000000;rmb=1000},{5=1},<cn>,
1691,,,1,1,敲音猴达到12星解锁,,128,83536,,,,,,,{12=<4181>},,,{502=30;24181=150;gold=3000000;rmb=1000},{5=1},<cn>,
1692,,,1,1,盆才怪达到12星解锁,,128,83537,,,,,,,{12=<901>},,,{502=30;20901=150;gold=3000000;rmb=1000},{5=1},<cn>,
1693,,,1,1,凯路迪欧达到12星解锁,,128,81540,,,,,,,{12=<3251>},,,{502=30;23251=150;gold=3000000;rmb=1000},{5=1},<cn>,
1694,,,1,1,功夫鼬达到12星解锁,,128,81541,,,,,,,{12=<3051>},,,{502=30;23051=150;gold=3000000;rmb=1000},{5=1},<cn>,
1695,,,1,1,童偶熊达到12星解锁,,128,81542,,,,,,,{12=<3831>},,,{502=30;23831=150;gold=3000000;rmb=1000},{5=1},<cn>,
1696,,,1,1,虚吾伊德达到12星解锁,,128,82526,,,,,,,{12=<4031>},,,{502=30;24031=150;gold=3000000;rmb=1000},{5=1},<cn>,
1697,,,1,1,鳃鱼龙达到12星解锁,,128,82527,,,,,,,{12=<4561>},,,{502=30;24561=150;gold=3000000;rmb=1000},{5=1},<cn>,
1698,,,1,1,费洛美螂达到12星解锁,,128,83538,,,,,,,{12=<4051>},,,{502=30;24051=150;gold=3000000;rmb=1000},{5=1},<cn>,
1699,,,1,1,泳圈鼬达到12星解锁,,128,81543,,,,,,,{12=<2131>},,,{502=30;22131=150;gold=3000000;rmb=1000},{5=1},<cn>,
1700,,,1,1,小智版皮卡丘达到12星解锁,,128,81544,,,,,,,{12=<7001>},,,{502=30;27001=150;gold=3000000;rmb=1000},{5=1},<cn>,
1701,,,1,1,姆克儿达到12星解锁,,128,81545,,,,,,,{12=<2041>},,,{502=30;22041=150;gold=3000000;rmb=1000},{5=1},<cn>,
1702,,,1,1,爆焰龟兽达到12星解锁,,128,82528,,,,,,,{12=<3941>},,,{502=30;23941=150;gold=3000000;rmb=1000},{5=1},<cn>,
1703,,,1,1,铁火辉夜达到12星解锁,,128,82529,,,,,,,{12=<4071>},,,{502=30;24071=150;gold=3000000;rmb=1000},{5=1},<cn>,
1704,,,1,1,艾姆利多达到12星解锁,,128,83539,,,,,,,{12=<2331>},,,{502=30;22331=150;gold=3000000;rmb=1000},{5=1},<cn>,
