变量名,damageAdd,damageDodge,damageHit,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speed,specialDefenceIgnore,defenceIgnore,specialDefence,specialDamage,damage,hp,level,quality,defence,pvpDamageSub,pvpDamageAdd,finalDamageReduce,finalDamageDeepen,finalDamageSub,finalDamageAdd,immuneControl,controlPer,natureRestraint,cure,rebound,suckBlood,damageReduce,damageDeepen,ultimateSub,ultimateAdd,damageSub,__version
23,50,50,50,50,50,50,50,50,50,54,0,0,621,1480,1480,7776,23,1,621,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
24,52,52,52,52,52,52,52,52,52,56,0,0,644,1534,1534,8064,24,1,644,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,
25,53,53,53,53,53,53,53,53,53,58,0,0,667,1589,1589,8352,25,1,667,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,
26,54,54,54,54,54,54,54,54,54,60,0,0,690,1644,1644,8640,26,1,690,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,
27,55,55,55,55,55,55,55,55,55,62,0,0,713,1699,1699,8928,27,1,713,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,
28,56,56,56,56,56,56,56,56,56,64,0,0,736,1754,1754,9216,28,1,736,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,
29,58,58,58,58,58,58,58,58,58,66,0,0,759,1808,1808,9504,29,1,759,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
30,59,59,59,59,59,59,59,59,59,68,0,0,782,1863,1863,9792,30,1,782,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,
101,24,24,24,24,24,24,24,24,24,10,,,115,274,274,1440,1,2,115,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
102,25,25,25,25,25,25,25,25,25,12,,,138,329,329,1728,2,2,138,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
103,26,26,26,26,26,26,26,26,26,14,,,161,384,384,2016,3,2,161,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
104,28,28,28,28,28,28,28,28,28,16,,,184,438,438,2304,4,2,184,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
105,29,29,29,29,29,29,29,29,29,18,,,207,493,493,2592,5,2,207,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
106,30,30,30,30,30,30,30,30,30,20,,,230,548,548,2880,6,2,230,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
107,31,31,31,31,31,31,31,31,31,22,,,253,603,603,3168,7,2,253,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
108,32,32,32,32,32,32,32,32,32,24,,,276,658,658,3456,8,2,276,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,
109,34,34,34,34,34,34,34,34,34,26,,,299,712,712,3744,9,2,299,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
110,35,35,35,35,35,35,35,35,35,28,,,322,767,767,4032,10,2,322,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
111,36,36,36,36,36,36,36,36,36,30,,,345,822,822,4320,11,2,345,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
112,37,37,37,37,37,37,37,37,37,32,,,368,877,877,4608,12,2,368,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,
113,38,38,38,38,38,38,38,38,38,34,,,391,932,932,4896,13,2,391,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
114,40,40,40,40,40,40,40,40,40,36,,,414,986,986,5184,14,2,414,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
115,41,41,41,41,41,41,41,41,41,38,,,437,1041,1041,5472,15,2,437,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
116,42,42,42,42,42,42,42,42,42,40,,,460,1096,1096,5760,16,2,460,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
117,43,43,43,43,43,43,43,43,43,42,,,483,1151,1151,6048,17,2,483,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
118,44,44,44,44,44,44,44,44,44,44,,,506,1206,1206,6336,18,2,506,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,
119,46,46,46,46,46,46,46,46,46,46,,,529,1260,1260,6624,19,2,529,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,
120,47,47,47,47,47,47,47,47,47,48,,,552,1315,1315,6912,20,2,552,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,
121,48,48,48,48,48,48,48,48,48,50,,,575,1370,1370,7200,21,2,575,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,
122,49,49,49,49,49,49,49,49,49,52,,,598,1425,1425,7488,22,2,598,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
123,50,50,50,50,50,50,50,50,50,54,,,621,1480,1480,7776,23,2,621,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
124,52,52,52,52,52,52,52,52,52,56,,,644,1534,1534,8064,24,2,644,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,
125,53,53,53,53,53,53,53,53,53,58,,,667,1589,1589,8352,25,2,667,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,
126,54,54,54,54,54,54,54,54,54,60,,,690,1644,1644,8640,26,2,690,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,
127,55,55,55,55,55,55,55,55,55,62,,,713,1699,1699,8928,27,2,713,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,
128,56,56,56,56,56,56,56,56,56,64,,,736,1754,1754,9216,28,2,736,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,
129,58,58,58,58,58,58,58,58,58,66,,,759,1808,1808,9504,29,2,759,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
130,59,59,59,59,59,59,59,59,59,68,,,782,1863,1863,9792,30,2,782,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,
201,40,40,40,40,40,40,40,40,40,15,,,173,410,410,2160,1,3,173,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
202,42,42,42,42,42,42,42,42,42,18,,,208,492,492,2592,2,3,208,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
203,44,44,44,44,44,44,44,44,44,21,,,242,574,574,3024,3,3,242,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,
204,46,46,46,46,46,46,46,46,46,24,,,277,656,656,3456,4,3,277,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,
205,48,48,48,48,48,48,48,48,48,27,,,311,738,738,3888,5,3,311,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,
206,50,50,50,50,50,50,50,50,50,30,,,346,820,820,4320,6,3,346,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
207,52,52,52,52,52,52,52,52,52,33,,,381,902,902,4752,7,3,381,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,
208,54,54,54,54,54,54,54,54,54,36,,,415,984,984,5184,8,3,415,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,
209,56,56,56,56,56,56,56,56,56,39,,,450,1066,1066,5616,9,3,450,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,
210,58,58,58,58,58,58,58,58,58,42,,,484,1148,1148,6048,10,3,484,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
211,60,60,60,60,60,60,60,60,60,45,,,519,1230,1230,6480,11,3,519,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
212,62,62,62,62,62,62,62,62,62,48,,,554,1312,1312,6912,12,3,554,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,
213,64,64,64,64,64,64,64,64,64,51,,,588,1394,1394,7344,13,3,588,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,
214,66,66,66,66,66,66,66,66,66,54,,,623,1476,1476,7776,14,3,623,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,
215,68,68,68,68,68,68,68,68,68,57,,,657,1558,1558,8208,15,3,657,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,
216,70,70,70,70,70,70,70,70,70,60,,,692,1640,1640,8640,16,3,692,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
217,72,72,72,72,72,72,72,72,72,63,,,727,1722,1722,9072,17,3,727,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
218,74,74,74,74,74,74,74,74,74,66,,,761,1804,1804,9504,18,3,761,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,
219,76,76,76,76,76,76,76,76,76,69,,,796,1886,1886,9936,19,3,796,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,
220,78,78,78,78,78,78,78,78,78,72,,,830,1968,1968,10368,20,3,830,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,
221,80,80,80,80,80,80,80,80,80,75,,,865,2050,2050,10800,21,3,865,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
222,82,82,82,82,82,82,82,82,82,78,,,900,2132,2132,11232,22,3,900,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
223,84,84,84,84,84,84,84,84,84,81,,,934,2214,2214,11664,23,3,934,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
224,86,86,86,86,86,86,86,86,86,84,,,969,2296,2296,12096,24,3,969,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,
225,88,88,88,88,88,88,88,88,88,87,,,1003,2378,2378,12528,25,3,1003,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,
226,90,90,90,90,90,90,90,90,90,90,,,1038,2460,2460,12960,26,3,1038,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,
227,92,92,92,92,92,92,92,92,92,93,,,1073,2542,2542,13392,27,3,1073,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,
228,94,94,94,94,94,94,94,94,94,96,,,1107,2624,2624,13824,28,3,1107,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,
229,96,96,96,96,96,96,96,96,96,99,,,1142,2706,2706,14256,29,3,1142,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
230,98,98,98,98,98,98,98,98,98,102,,,1176,2788,2788,14688,30,3,1176,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,
301,55,55,55,55,55,55,55,55,55,22,,,253,602,602,3168,1,4,253,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,
302,58,58,58,58,58,58,58,58,58,26,,,304,722,722,3802,2,4,304,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,
303,61,61,61,61,61,61,61,61,61,31,,,354,843,843,4435,3,4,354,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,
304,63,63,63,63,63,63,63,63,63,35,,,405,963,963,5069,4,4,405,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
305,66,66,66,66,66,66,66,66,66,40,,,455,1084,1084,5702,5,4,455,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,
306,69,69,69,69,69,69,69,69,69,44,,,506,1204,1204,6336,6,4,506,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
307,72,72,72,72,72,72,72,72,72,48,,,557,1324,1324,6970,7,4,557,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
308,74,74,74,74,74,74,74,74,74,53,,,607,1445,1445,7603,8,4,607,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,
309,77,77,77,77,77,77,77,77,77,57,,,658,1565,1565,8237,9,4,658,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,
310,80,80,80,80,80,80,80,80,80,62,,,708,1686,1686,8870,10,4,708,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
311,83,83,83,83,83,83,83,83,83,66,,,759,1806,1806,9504,11,4,759,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
312,85,85,85,85,85,85,85,85,85,70,,,810,1926,1926,10138,12,4,810,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,
313,88,88,88,88,88,88,88,88,88,75,,,860,2047,2047,10771,13,4,860,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,
314,91,91,91,91,91,91,91,91,91,79,,,911,2167,2167,11405,14,4,911,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,
315,94,94,94,94,94,94,94,94,94,84,,,961,2288,2288,12038,15,4,961,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,
316,96,96,96,96,96,96,96,96,96,88,,,1012,2408,2408,12672,16,4,1012,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
317,99,99,99,99,99,99,99,99,99,92,,,1063,2528,2528,13306,17,4,1063,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
318,102,102,102,102,102,102,102,102,102,97,,,1113,2649,2649,13939,18,4,1113,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,
319,105,105,105,105,105,105,105,105,105,101,,,1164,2769,2769,14573,19,4,1164,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,
320,107,107,107,107,107,107,107,107,107,106,,,1214,2890,2890,15206,20,4,1214,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,
321,110,110,110,110,110,110,110,110,110,110,,,1265,3010,3010,15840,21,4,1265,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,
322,113,113,113,113,113,113,113,113,113,114,,,1316,3130,3130,16474,22,4,1316,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,
323,116,116,116,116,116,116,116,116,116,119,,,1366,3251,3251,17107,23,4,1366,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
324,118,118,118,118,118,118,118,118,118,123,,,1417,3371,3371,17741,24,4,1417,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,
325,121,121,121,121,121,121,121,121,121,128,,,1467,3492,3492,18374,25,4,1467,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,
326,124,124,124,124,124,124,124,124,124,132,,,1518,3612,3612,19008,26,4,1518,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,
327,127,127,127,127,127,127,127,127,127,136,,,1569,3732,3732,19642,27,4,1569,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,
328,129,129,129,129,129,129,129,129,129,141,,,1619,3853,3853,20275,28,4,1619,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,
329,132,132,132,132,132,132,132,132,132,145,,,1670,3973,3973,20909,29,4,1670,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,
330,135,135,135,135,135,135,135,135,135,150,,,1720,4094,4094,21542,30,4,1720,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
401,80,80,80,80,80,80,80,80,80,34,,,392,930,930,4896,1,5,392,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
402,84,84,84,84,84,84,84,84,84,41,,,470,1116,1116,5875,2,5,470,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
403,88,88,88,88,88,88,88,88,88,48,,,549,1302,1302,6854,3,5,549,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,
404,92,92,92,92,92,92,92,92,92,54,,,627,1488,1488,7834,4,5,627,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,
405,96,96,96,96,96,96,96,96,96,61,,,706,1674,1674,8813,5,5,706,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
406,100,100,100,100,100,100,100,100,100,68,,,784,1860,1860,9792,6,5,784,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
407,104,104,104,104,104,104,104,104,104,75,,,862,2046,2046,10771,7,5,862,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,
408,108,108,108,108,108,108,108,108,108,82,,,941,2232,2232,11750,8,5,941,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,
409,112,112,112,112,112,112,112,112,112,88,,,1019,2418,2418,12730,9,5,1019,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,
410,116,116,116,116,116,116,116,116,116,95,,,1098,2604,2604,13709,10,5,1098,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
411,120,120,120,120,120,120,120,120,120,102,,,1176,2790,2790,14688,11,5,1176,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
412,124,124,124,124,124,124,124,124,124,109,,,1254,2976,2976,15667,12,5,1254,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,
413,128,128,128,128,128,128,128,128,128,116,,,1333,3162,3162,16646,13,5,1333,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,
414,132,132,132,132,132,132,132,132,132,122,,,1411,3348,3348,17626,14,5,1411,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,
415,136,136,136,136,136,136,136,136,136,129,,,1490,3534,3534,18605,15,5,1490,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,
416,140,140,140,140,140,140,140,140,140,136,,,1568,3720,3720,19584,16,5,1568,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,
417,144,144,144,144,144,144,144,144,144,143,,,1646,3906,3906,20563,17,5,1646,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,
418,148,148,148,148,148,148,148,148,148,150,,,1725,4092,4092,21542,18,5,1725,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,
419,152,152,152,152,152,152,152,152,152,156,,,1803,4278,4278,22522,19,5,1803,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,
420,156,156,156,156,156,156,156,156,156,163,,,1882,4464,4464,23501,20,5,1882,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,
421,160,160,160,160,160,160,160,160,160,170,,,1960,4650,4650,24480,21,5,1960,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
422,164,164,164,164,164,164,164,164,164,177,,,2038,4836,4836,25459,22,5,2038,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,
423,168,168,168,168,168,168,168,168,168,184,,,2117,5022,5022,26438,23,5,2117,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,
424,172,172,172,172,172,172,172,172,172,190,,,2195,5208,5208,27418,24,5,2195,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,
425,176,176,176,176,176,176,176,176,176,197,,,2274,5394,5394,28397,25,5,2274,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,
426,180,180,180,180,180,180,180,180,180,204,,,2352,5580,5580,29376,26,5,2352,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
427,184,184,184,184,184,184,184,184,184,211,,,2430,5766,5766,30355,27,5,2430,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,
428,188,188,188,188,188,188,188,188,188,218,,,2509,5952,5952,31334,28,5,2509,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,
429,192,192,192,192,192,192,192,192,192,224,,,2587,6138,6138,32314,29,5,2587,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,
430,196,196,196,196,196,196,196,196,196,231,,,2666,6324,6324,33293,30,5,2666,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,
501,120,120,120,120,120,120,120,120,120,50,,,576,1368,1368,7200,1,6,576,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
502,126,126,126,126,126,126,126,126,126,60,,,691,1642,1642,8640,2,6,691,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,
503,132,132,132,132,132,132,132,132,132,70,,,806,1915,1915,10080,3,6,806,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,
504,138,138,138,138,138,138,138,138,138,80,,,922,2189,2189,11520,4,6,922,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,
505,144,144,144,144,144,144,144,144,144,90,,,1037,2462,2462,12960,5,6,1037,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,
506,150,150,150,150,150,150,150,150,150,100,,,1152,2736,2736,14400,6,6,1152,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
507,156,156,156,156,156,156,156,156,156,110,,,1267,3010,3010,15840,7,6,1267,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,
508,162,162,162,162,162,162,162,162,162,120,,,1382,3283,3283,17280,8,6,1382,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,
509,168,168,168,168,168,168,168,168,168,130,,,1498,3557,3557,18720,9,6,1498,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,
510,174,174,174,174,174,174,174,174,174,140,,,1613,3830,3830,20160,10,6,1613,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,
511,180,180,180,180,180,180,180,180,180,150,,,1728,4104,4104,21600,11,6,1728,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
512,186,186,186,186,186,186,186,186,186,160,,,1843,4378,4378,23040,12,6,1843,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,
513,192,192,192,192,192,192,192,192,192,170,,,1958,4651,4651,24480,13,6,1958,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,
514,198,198,198,198,198,198,198,198,198,180,,,2074,4925,4925,25920,14,6,2074,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,
515,204,204,204,204,204,204,204,204,204,190,,,2189,5198,5198,27360,15,6,2189,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,
516,210,210,210,210,210,210,210,210,210,200,,,2304,5472,5472,28800,16,6,2304,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,
517,216,216,216,216,216,216,216,216,216,210,,,2419,5746,5746,30240,17,6,2419,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,
518,222,222,222,222,222,222,222,222,222,220,,,2534,6019,6019,31680,18,6,2534,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,
519,228,228,228,228,228,228,228,228,228,230,,,2650,6293,6293,33120,19,6,2650,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,
520,234,234,234,234,234,234,234,234,234,240,,,2765,6566,6566,34560,20,6,2765,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,
521,240,240,240,240,240,240,240,240,240,250,,,2880,6840,6840,36000,21,6,2880,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,
522,246,246,246,246,246,246,246,246,246,260,,,2995,7114,7114,37440,22,6,2995,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,
523,252,252,252,252,252,252,252,252,252,270,,,3110,7387,7387,38880,23,6,3110,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,
524,258,258,258,258,258,258,258,258,258,280,,,3226,7661,7661,40320,24,6,3226,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,
