变量名,damageReduce,damageDeepen,ultimateSub,ultimateAdd,damageSub,damageAdd,damageDodge,damageHit,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speed,specialDefenceIgnore,defenceIgnore,specialDefence,defence,specialDamage,damage,hp,advance,quality,pvpDamageSub,pvpDamageAdd,finalDamageSub,finalDamageAdd,immuneControl,controlPer,natureRestraint,cure,rebound,suckBlood,__version
110,104,104,104,104,104,104,104,104,104,104,104,104,104,104,31,,,998,998,2246,2246,12480,10,2,104,104,104,104,104,104,104,104,104,104,
201,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,,,96,96,217,217,1206,1,3,12,12,12,12,12,12,12,12,12,12,
202,23,23,23,23,23,23,23,23,23,23,23,23,23,23,7,,,192,192,431,431,2394,2,3,23,23,23,23,23,23,23,23,23,23,
203,37,37,37,37,37,37,37,37,37,37,37,37,37,37,11,,,302,302,680,680,3780,3,3,37,37,37,37,37,37,37,37,37,37,
204,53,53,53,53,53,53,53,53,53,53,53,53,53,53,15,,,432,432,972,972,5400,4,3,53,53,53,53,53,53,53,53,53,53,
205,70,70,70,70,70,70,70,70,70,70,70,70,70,70,20,,,576,576,1296,1296,7200,5,3,70,70,70,70,70,70,70,70,70,70,
206,89,89,89,89,89,89,89,89,89,89,89,89,89,89,26,,,734,734,1652,1652,9180,6,3,89,89,89,89,89,89,89,89,89,89,
207,110,110,110,110,110,110,110,110,110,110,110,110,110,110,32,,,907,907,2041,2041,11340,7,3,110,110,110,110,110,110,110,110,110,110,
208,131,131,131,131,131,131,131,131,131,131,131,131,131,131,38,,,1080,1080,2430,2430,13500,8,3,131,131,131,131,131,131,131,131,131,131,
209,156,156,156,156,156,156,156,156,156,156,156,156,156,156,45,,,1282,1282,2884,2884,16020,9,3,156,156,156,156,156,156,156,156,156,156,
210,182,182,182,182,182,182,182,182,182,182,182,182,182,182,52,,,1498,1498,3370,3370,18720,10,3,182,182,182,182,182,182,182,182,182,182,
301,17,17,17,17,17,17,17,17,17,17,17,17,17,17,5,,,141,141,318,318,1769,1,4,17,17,17,17,17,17,17,17,17,17,
302,33,33,33,33,33,33,33,33,33,33,33,33,33,33,9,,,281,281,632,632,3511,2,4,33,33,33,33,33,33,33,33,33,33,
303,53,53,53,53,53,53,53,53,53,53,53,53,53,53,15,,,443,443,998,998,5544,3,4,53,53,53,53,53,53,53,53,53,53,
304,75,75,75,75,75,75,75,75,75,75,75,75,75,75,21,,,633,633,1425,1425,7920,4,4,75,75,75,75,75,75,75,75,75,75,
305,100,100,100,100,100,100,100,100,100,100,100,100,100,100,28,,,844,844,1900,1900,10560,5,4,100,100,100,100,100,100,100,100,100,100,
306,128,128,128,128,128,128,128,128,128,128,128,128,128,128,36,,,1076,1076,2423,2423,13464,6,4,128,128,128,128,128,128,128,128,128,128,
307,158,158,158,158,158,158,158,158,158,158,158,158,158,158,44,,,1329,1329,2993,2993,16632,7,4,158,158,158,158,158,158,158,158,158,158,
308,188,188,188,188,188,188,188,188,188,188,188,188,188,188,53,,,1583,1583,3563,3563,19800,8,4,188,188,188,188,188,188,188,188,188,188,
309,223,223,223,223,223,223,223,223,223,223,223,223,223,223,62,,,1878,1878,4228,4228,23496,9,4,223,223,223,223,223,223,223,223,223,223,
310,260,260,260,260,260,260,260,260,260,260,260,260,260,260,73,,,2194,2194,4940,4940,27456,10,4,260,260,260,260,260,260,260,260,260,260,
401,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7,,,218,218,492,492,2734,1,5,25,25,25,25,25,25,25,25,25,25,
402,50,50,50,50,50,50,50,50,50,50,50,50,50,50,13,,,434,434,976,976,5426,2,5,50,50,50,50,50,50,50,50,50,50,
403,79,79,79,79,79,79,79,79,79,79,79,79,79,79,21,,,685,685,1541,1541,8568,3,5,79,79,79,79,79,79,79,79,79,79,
404,113,113,113,113,113,113,113,113,113,113,113,113,113,113,30,,,978,978,2202,2202,12240,4,5,113,113,113,113,113,113,113,113,113,113,
405,150,150,150,150,150,150,150,150,150,150,150,150,150,150,40,,,1304,1304,2936,2936,16320,5,5,150,150,150,150,150,150,150,150,150,150,
406,191,191,191,191,191,191,191,191,191,191,191,191,191,191,51,,,1663,1663,3743,3743,20808,6,5,191,191,191,191,191,191,191,191,191,191,
407,236,236,236,236,236,236,236,236,236,236,236,236,236,236,63,,,2054,2054,4624,4624,25704,7,5,236,236,236,236,236,236,236,236,236,236,
408,281,281,281,281,281,281,281,281,281,281,281,281,281,281,75,,,2445,2445,5505,5505,30600,8,5,281,281,281,281,281,281,281,281,281,281,
409,334,334,334,334,334,334,334,334,334,334,334,334,334,334,89,,,2901,2901,6533,6533,36312,9,5,334,334,334,334,334,334,334,334,334,334,
410,390,390,390,390,390,390,390,390,390,390,390,390,390,390,104,,,3390,3390,7634,7634,42432,10,5,390,390,390,390,390,390,390,390,390,390,
501,34,34,34,34,34,34,34,34,34,34,34,34,34,34,10,,,322,322,724,724,4020,1,6,34,34,34,34,34,34,34,34,34,34,
502,67,67,67,67,67,67,67,67,67,67,67,67,67,67,20,,,638,638,1436,1436,7980,2,6,67,67,67,67,67,67,67,67,67,67,
503,105,105,105,105,105,105,105,105,105,105,105,105,105,105,32,,,1008,1008,2268,2268,12600,3,6,105,105,105,105,105,105,105,105,105,105,
504,150,150,150,150,150,150,150,150,150,150,150,150,150,150,45,,,1440,1440,3240,3240,18000,4,6,150,150,150,150,150,150,150,150,150,150,
505,200,200,200,200,200,200,200,200,200,200,200,200,200,200,60,,,1920,1920,4320,4320,24000,5,6,200,200,200,200,200,200,200,200,200,200,
506,255,255,255,255,255,255,255,255,255,255,255,255,255,255,77,,,2448,2448,5508,5508,30600,6,6,255,255,255,255,255,255,255,255,255,255,
507,315,315,315,315,315,315,315,315,315,315,315,315,315,315,95,,,3024,3024,6804,6804,37800,7,6,315,315,315,315,315,315,315,315,315,315,
508,375,375,375,375,375,375,375,375,375,375,375,375,375,375,113,,,3600,3600,8100,8100,45000,8,6,375,375,375,375,375,375,375,375,375,375,
509,445,445,445,445,445,445,445,445,445,445,445,445,445,445,134,,,4272,4272,9612,9612,53400,9,6,445,445,445,445,445,445,445,445,445,445,
510,520,520,520,520,520,520,520,520,520,520,520,520,520,520,156,,,4992,4992,11232,11232,62400,10,6,520,520,520,520,520,520,520,520,520,520,
