变量名,name,triggerType,startRound,awakeDescribes,cdRound,timesLimit,devSkillID,skin2SkillID,buffs,conditions,roundTimes,skillID,keyWords,showConfig
1271,Phoenix Ascension,3,,"Additionally grants 【Aid: Nirvana】 to 1 ally (once per unit). After triggering, the target gains 20% damage reduction for 2 rounds (【Aid: Nirvana】: special effect; when taking lethal damage, consumes 【Aid: Nirvana】 and becomes a Phoenix Egg that can withstand #C0x5c9970#$(3+(skillLevel >= 2 and 1 or 0)+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# active attacks. When attacked, applies 1 stack of 【Sacred Flame Burn】 to the enemy. If not broken, before acting next round, revives with #C0x5c9970#$(50+(skillLevel >= 3 and 10 or 0)+(skillLevel >= 5 and 20 or 0))$%#C0x5B545B# HP and #C0x5c9970#$(50+(skillLevel >= 3 and 20 or 0)+(skillLevel >= 5 and 30 or 0))$%#C0x5B545B# Rage)",3,1+(self:flagAS6() and 1 or 0),,,<850000201>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8012711,,
1281,Space-Time Turbulence,1,,"Additionally grants 【Aid: Time Imprint】 to the #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# allied Psychic/Grass-type Pokemon with the highest ATK for #C0x5c9970#$(1+(skillLevel >= 1 and 1 or 0)+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# rounds. 【Aid: Time Imprint】: Lv.3 buff; when taking fatal damage, consumes this imprint and rewinds to #C0x5c9970#$(20+(skillLevel >= 3 and 20 or 0))$%#C0x5B545B# Rage and #C0x5c9970#$(20+(skillLevel >= 2 and 20 or 0))$%#C0x5B545B# HP (unaffected by healing effects and Rage recovery speed)",3,1+(self:flagAS6() and 1 or 0),,{1282=8012821},,"{1=""true""}",<1;1>,8012811,,
1311,Mud Tide,3,,,,1,<8013111;8013121;8013131>,,<850000301;850000901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8013131,,
1314,Super Mud Tide,3,,,,1,,,<850000301;850000901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8013141,,
1391,Psychic Impulse,3,,,,1,<8013911;8013921;8013931>,{1394=8013941},<850001101;850001801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8013911,,
1396,Super Psychic Impulse,3,,,,1,,,<850001101;850001801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8013961,,
1421,Frenzy,3,,,,1,<8014211;8014221;8014231>,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8014211,,
1891,Explosive Dragon Breath,3,,,,1,<8018911;8018921;8018931>,,<850001001;850001501>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8018911,,
1911,Rock Impact,3,,,,1,,,<850001301>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8019111,,
1921,Frozen Earth,3,,,,1,,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8019211,,
1931,Flash Cannon,3,,,,1,,,<850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8019311,,
1991,Super Serene Grace,3,,"Additionally grants 【Wish】 to 1 Psychic/Steel-type ally with 【Aid: Heavenly Grace】 for #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# rounds. 【Wish】: before each active action, gains 1 extra Wish Charm. Each time a Wish Charm is gained, strengthens the target based on the charm: 【Aid: Counter Wish】 grants the target a shield equal to #C0x5c9970#$(10+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B# of Jirachi's Max HP, 【Aid: Assist Wish】 heals #C0x5c9970#$(5+(skillLevel >= 3 and 5 or 0))$%#C0x5B545B# of the target's Max HP, and 【Aid: Pursuit Wish】 grants #C0x5c9970#$(7+(skillLevel >= 4 and 8 or 0))$%#C0x5B545B# Life Steal",3,1+(self:flagAS6() and 1 or 0),,{1992=8019921},<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8019911,,
2241,Focus Blast,3,,,,1,<8022411;8022421>,{2243=8022431},<850001701;850000701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8022421,,
2243,Super Focus Blast,3,,,,1,,,<850001701;850000701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8022441,,
2351,Roar of Time,3,,"Applies 【Time Echo】 to 1 allied unit with the highest dual ATK for #C0x5c9970#$(2+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# rounds (prioritizes the ally with the highest ATK) (【Time Echo】: Lv.2 buff; during the effect, damage bonus increases by #C0x5c9970#$(10+(skillLevel >= 3 and 10 or 0))$%#C0x5B545B#. After using an active skill, at the end of the major round there is a #C0x5c9970#$(30+(skillLevel >= 2 and 10 or 0)+(skillLevel >= 4 and 20 or 0))$%#C0x5B545B# chance to cast the corresponding skill again at no cost)",3,1+(self:flagAS6() and 1 or 0),,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8023511,,
2361,Spacial Rend,1,,"Additionally applies 【Spatial Warp】 to 1 enemy (prioritizes the enemy with the highest ATK) (【Spatial Warp】: Lv.2 debuff; during the effect, the target gains #C0x5c9970#$(5+(skillLevel >= 3 and 10 or 0))$%#C0x5B545B# Water-type vulnerability, and #C0x5c9970#$(30+(skillLevel >= 2 and 20 or 0)+(skillLevel >= 4 and 20 or 0))$%#C0x5B545B# of the damage dealt by Water Blade is transferred to this target. When an allied unit takes Ultimate damage, this unit warps to that ally's position to block the damage; removed after triggering #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# times)",2,1+(self:flagAS6() and 1 or 0),,,,"{1=""true""}",<1;1>,8023611,,
2381,Crush,1,,"Before casting, triggers 【Aid: Tectonic Shift】 first (prioritizes swapping front and back rows). After triggering, swapped units take #C0x5c9970#$(20+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B# increased damage for 1 round and cannot gain Rage from HP loss during the effect (【Aid: Tectonic Shift】: Lv.3 control; randomly swaps the positions of #C0x5c9970#$(2+(skillLevel >= 5 and 2 or 0))$#C0x5B545B# enemy targets. Swapped units lose #C0x5c9970#$(5+(skillLevel >= 3 and 10 or 0))$%#C0x5B545B# dual ATK and #C0x5c9970#$(3+(skillLevel >= 3 and 6 or 0))$%#C0x5B545B# Speed for #C0x5c9970#$(1+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# rounds)",2,1+(self:flagAS6() and 1 or 0),,,,"{1=""true""}",<1;1>,8023811,,
2391,Nether Ghostfire,3,2,"Additionally grants 【Aid: Ghost Shield】 to #C0x5c9970#$(2+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# random units (prioritizes Ghost-type units): special shield, does not decay, blocks damage equal to #C0x5c9970#$(8+(skillLevel >= 3 and 8 or 0))$%#C0x5B545B# of the target's Max HP (#C0x5c9970#$(12+(skillLevel >= 3 and 12 or 0))$%#C0x5B545B# for Ghost types). When broken, reduces the attacker's Rage by #C0x5c9970#$(20+(skillLevel >= 2 and 40 or 0)+(skillLevel >= 4 and 40 or 0))$#C0x5B545B#",3,1+(self:flagAS6() and 1 or 0),,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8023911,,
2421,Lord of the Sea,3,,"Grants 【Aid: Water Bubble】 to #C0x5c9970#$(2+(skillLevel >= 3 and 2 or 0)+(skillLevel >= 5 and 2 or 0)+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# random Water-type Pokemon for 1 major round (【Aid: Water Bubble】: Lv.3 buff; immediately removes Burn effects, reduces ongoing and reflect-type damage taken by #C0x5c9970#$(20+(skillLevel >= 4 and 20 or 0))$%#C0x5B545B#, increases Crit Resistance by #C0x5c9970#$(5+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B#, and reduces Crit Damage taken by #C0x5c9970#$(5+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B#)",3,1+(self:flagAS6() and 1 or 0),,{2424=8024241},<850000301>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8024211,,
2431,Nightmare Dreamscape,1,,"Puts 1 enemy (prioritizes the one with the highest dual ATK) into 【Aid: Deep Sleep】 for 1 round and additionally grants 1 stack of 【Nightmare Mark】 for #C0x5c9970#$(1+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# rounds (【Aid: Deep Sleep】: Lv.1 control; deep sleep prevents action and can be removed after being hit 2 times or by 2 cleanse/dispels. During the effect, the target loses #C0x5c9970#$(5+(skillLevel >= 4 and 10 or 0))$%#C0x5B545B# Speed and #C0x5c9970#$(5+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B# damage, and the chance for 【Nightmare Mark】 to convert into 【Aid: Deep Sleep】 increases by #C0x5c9970#$(10+(skillLevel >= 5 and 20 or 0))$%#C0x5B545B#)",3,1+(self:flagAS6() and 1 or 0),,{2432=8024321},<802431111>,"{1=""true""}",<1;1>,8024311,,
2461,V-create,3,,"Additionally releases 【Aid: Ember Seed】, fusing with the allied Fire-type Pokemon with the highest ATK for #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# rounds. 【Aid: Ember Seed】: on fusion, immediately restores #C0x5c9970#$(8+(skillLevel >= 2 and 8 or 0))$%#C0x5B545B# HP to the target, grants #C0x5c9970#$(8+(skillLevel >= 3 and 8 or 0))$%#C0x5B545B# of Victini's base dual ATK, and increases Crit Rate and Crit Damage by #C0x5c9970#$(10+(skillLevel >= 4 and 10 or 0))$%#C0x5B545B#",3,1+(self:flagAS6() and 1 or 0),,{2463=8024621},<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8024611,,
2471,Thorn Dance,3,,,,1,<8024711;8024721;8024731>,,<850000401>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8024711,,
2721,Hidden Hunt,3,,,,1,<8027211;8027221;8027231>,,<850000901;850001601>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8027231,,
3151,Bugfire,3,,,,1,<8031511;8031521>,,<850001201;850000201>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8031511,,
3261,Twin Phantoms,3,,"Applies 【Aid: Magenta Melody Fruit】 to #C0x5c9970#$(1+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# random enemy Pokemon for 1 major round (【Aid: Magenta Melody Fruit】: special effect; has a #C0x5c9970#$(20+(skillLevel >= 3 and 20 or 0)+(skillLevel >= 5 and 20 or 0))$%#C0x5B545B# chance to Charm enemies for 1 round, reduces dual DEF by #C0x5c9970#$(10+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B#, and weakens damage reduction by #C0x5c9970#$(5+(skillLevel >= 2 and 5 or 0))$%#C0x5B545B#)",3,1+(self:flagAS6() and 1 or 0),,{3262=8032621;3265=8032651;3266=8032661},<850000101;850001101;850000701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8032611,,
3271,Focused Flash Cannon,3,,"Grants 【Aid: Turret Mode】 to the #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# allied Bug/Steel-type Pokemon with the highest ATK for #C0x5c9970#$(1+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# major rounds (【Aid: Turret Mode】: special effect; damage increases by #C0x5c9970#$(10+(skillLevel >= 2 and 10 or 0))$%#C0x5B545B#. When a Bug/Steel-type ally uses an active attack, uses Flash Cannon to assist, dealing #C0x5c9970#$(160+(skillLevel >= 2 and 20 or 0))$%#C0x5B545B# P.ATK damage to a single target, up to #C0x5c9970#$(2+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# triggers per round)",3,1+(self:flagAS6() and 1 or 0),,,<850001201;850001701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8032711,,
3351,Floral Surge,3,,,,1,<8033511;8033521;8033531>,,<850001801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8033511,,
3601,Life Link,3,,"Links the team's highest-ATK Fairy/Grass/Ground-type Pokemon with the #C0x5c9970#$(2+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# other Fairy/Grass/Ground-type Pokemon with the highest Max HP using 【Aid: Life Link】 for #C0x5c9970#$(1+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# major rounds (【Aid: Life Link】: Lv.4 buff; when a linked target takes damage, 50% of the damage is shared evenly with other linked allies, and the target's damage reduction increases by #C0x5c9970#$(5+(skillLevel >= 2 and 5 or 0)+(skillLevel >= 5 and 5 or 0))$%#C0x5B545B#)",3,1+(self:flagAS6() and 1 or 0),,{3603=8036021},<850001801>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8036011,,
3611,Death Curse,3,,"Forms 【Aid: Death Link】 on #C0x5c9970#$(2+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# random enemies for #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# rounds. 【Aid: Death Link】: Lv.3 debuff, non-stackable; links several enemy units. Active attack damage taken by one linked unit conducts #C0x5c9970#$(10+(skillLevel >= 3 and 15 or 0))$%#C0x5B545B# to the other targets (Dark-type conducted damage is doubled), and linked targets' healing rate is reduced by #C0x5c9970#$(15+(skillLevel >= 2 and 15 or 0))$%#C0x5B545B#",3,1+(self:flagAS6() and 1 or 0),,,<850001601;850001001>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8036111,,
3651,Steam Eruption,3,,"Additionally applies 【Aid: Steam】 to #C0x5c9970#$(1+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# random enemies for 2 rounds and makes all 【Aid: Steam】 carry the 【Steam Eruption】 trait (【Steam Eruption】: after all enemy targets with 【Aid: Steam】 are attacked 6 times by Water/Fire Pokemon, immediately triggers Steam Eruption once, dealing Fire elemental damage equal to 20% of Volcanion's SP.ATK to all enemies. For each stack of 【Aid: Steam】 on the target, this damage multiplier increases by 10%; cooldown #C0x5c9970#$(3+(skillLevel >= 5 and -1 or 0))$#C0x5B545B# rounds, limited to #C0x5c9970#$(1+(skillLevel >= 2 and 1 or 0)+(skillLevel >= 4 and 1 or 0))$#C0x5B545B# times per battle)",3,1+(self:flagAS6() and 1 or 0),,,<850000201;850000301>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8036511,,
3661,Mighty Bow and Crossbow,3,,,,1,<8036611;8036621;8036631>,,<850009901>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8036631,,
4121,Defense into Offense,3,,"Grants 【Aid: All-Out Mode】 to the allied Fighting/Ghost-type Pokemon with the highest ATK for #C0x5c9970#$(1+(skillLevel >= 3 and 1 or 0))$#C0x5B545B# major rounds (【Aid: All-Out Mode】: special effect; Break Block Rate and Basic Attack damage increase by #C0x5c9970#$(10+(skillLevel >= 2 and 10 or 0)+(skillLevel >= 4 and 10 or 0)+(skillLevel >= 5 and 10 or 0))$%#C0x5B545B#. Each active attack deals additional Ghost-type damage equal to #C0x5c9970#$(40+(skillLevel >= 2 and 20 or 0)+(skillLevel >= 4 and 20 or 0)+(skillLevel >= 5 and 20 or 0))$%#C0x5B545B# P.ATK, up to 2 triggers per round. Attacks ignore shields and damage sharing)",3,1+(self:flagAS6() and 1 or 0),,{4122=8041221},<850001401;850000701>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8041211,,
4161,Plasma Fists,3,,"Creates 1 【Aid: Thunder Phantom】 for 1 Electric-type ally for #C0x5c9970#$(1+(skillLevel >= 5 and 1 or 0))$#C0x5B545B# rounds (prioritizes the one with the highest ATK). 【Aid: Thunder Phantom】: following summon; inherits #C0x5c9970#$(50+(skillLevel >= 2 and 20 or 0)+(skillLevel >= 3 and 10 or 0)+(skillLevel >= 4 and 20 or 0))$%#C0x5B545B# of the caster's stats, follows the main body to deal phantom Electric elemental damage equal to #C0x5c9970#$(50+(skillLevel >= 3 and 25 or 0)+(skillLevel >= 4 and 25 or 0))$%#C0x5B545B# P.ATK to the main target, and has a #C0x5c9970#$(30+(skillLevel >= 3 and 20 or 0)+(skillLevel >= 4 and 20 or 0))$%#C0x5B545B# chance to block active attacks and effects for the main body (does not block Ground-type attacks)",3,1+(self:flagAS6() and 1 or 0),,{4162=8041621;4163=8041631},<850000501>,"{3=""moreE(self:getBuffOverlayCount(850000000),1)""}",<1;1>,8041611,,
