变量名,produceGate4,produceGate3,produceGate2,stackMax,name,quality,produceGate6,produceGate7,produceDesc,produceGate1,desc1,desc,icon,sortValue,sortType,type,switchNeedItemID,produceGate5,languages,switchCost,effBtn,pageTag,effect
90351,,,,,Doduo Aid Essence,3,,,,,Exclusive material used to advance Doduo's Aid breakthrough,Exclusive material used to advance Doduo's Aid breakthrough,config/portrait/simple/img_84_dd@.png,,,,,,,,,,
90371,,,,,Grimer Aid Essence,,,,,,Exclusive material used to advance Grimer's Aid breakthrough,Exclusive material used to advance Grimer's Aid breakthrough,config/portrait/simple/img_88_cn@.png,,,,,,,,,,
90381,,,,,Shellder Aid Essence,5,,,,,Exclusive material used to advance Shellder's Aid breakthrough,Exclusive material used to advance Shellder's Aid breakthrough,config/portrait/simple/img_90_dsb@.png,,,,171,,,,,,
90391,,,,,Gastly Aid Essence,5,,,,,Exclusive material used to advance Gastly's Aid breakthrough,Exclusive material used to advance Gastly's Aid breakthrough,config/portrait/simple/img_92_gs@.png,,,,171,,,,,,
90401,,,,,Onix Aid Essence,5,,,,,Exclusive material used to advance Onix's Aid breakthrough,Exclusive material used to advance Onix's Aid breakthrough,config/portrait/simple/img_95_dys@.png,,,,171,,,,,,
90441,,,,,Exeggcute Aid Essence,5,,,,,Exclusive material used to advance Exeggcute's Aid breakthrough,Exclusive material used to advance Exeggcute's Aid breakthrough,config/portrait/simple/img_102_dd@.png,,,,171,,,,,,
90451,,,,,Cubone Aid Essence,3,,,,,Exclusive material used to advance Cubone's Aid breakthrough,Exclusive material used to advance Cubone's Aid breakthrough,config/portrait/simple/img_104_klkl@.png,,,,,,,,,,
90461,,,,,Tyrogue Aid Essence,,,,,,Exclusive material used to advance Tyrogue's Aid breakthrough,Exclusive material used to advance Tyrogue's Aid breakthrough,config/portrait/simple/img_236_wwxz@.png,,,,,,,,,,
90471,,,,,Lickitung Aid Essence,,,,,,Exclusive material used to advance Lickitung's Aid breakthrough,Exclusive material used to advance Lickitung's Aid breakthrough,config/portrait/simple/img_108_dst@.png,,,,,,,,,,
90481,,,,,Koffing Aid Essence,,,,,,Exclusive material used to advance Koffing's Aid breakthrough,Exclusive material used to advance Koffing's Aid breakthrough,config/portrait/simple/img_109_wsd@.png,,,,,,,,,,
90491,,,,,Rhyhorn Aid Essence,5,,,,,Exclusive material used to advance Rhyhorn's Aid breakthrough,Exclusive material used to advance Rhyhorn's Aid breakthrough,config/portrait/simple/img_111_djxn@.png,,,,171,,,,,,
90501,,,,,Happiny Aid Essence,5,,,,,Exclusive material used to advance Happiny's Aid breakthrough,Exclusive material used to advance Happiny's Aid breakthrough,config/portrait/simple/img_440_xfd@.png,,,,171,,,,,,
90541,,,,,Goldeen Aid Essence,3,,,,,Exclusive material used to advance Goldeen's Aid breakthrough,Exclusive material used to advance Goldeen's Aid breakthrough,config/portrait/simple/img_118_jjy@.png,,,,,,,,,,
90551,,,,,Staryu Aid Essence,,,,,,Exclusive material used to advance Staryu's Aid breakthrough,Exclusive material used to advance Staryu's Aid breakthrough,config/portrait/simple/img_120_hxx@.png,,,,,,,,,,
90561,,,,,Mime Jr. Aid Essence,5,,,,,Exclusive material used to advance Mime Jr.'s Aid breakthrough,Exclusive material used to advance Mime Jr.'s Aid breakthrough,config/portrait/simple/img_439_mnn@.png,,,,171,,,,,,
90571,,,,,Scyther Aid Essence,5,,,,,Exclusive material used to advance Scyther's Aid breakthrough,Exclusive material used to advance Scyther's Aid breakthrough,config/portrait/simple/img_123_fttl@.png,,,,171,,,,,,
90591,,,,,Elekid Aid Essence,5,,,,,Exclusive material used to advance Elekid's Aid breakthrough,Exclusive material used to advance Elekid's Aid breakthrough,config/portrait/simple/img_239_djg@.png,,,,171,,,,,,
90601,,,,,Magby Aid Essence,5,,,,shop-10,Exclusive material used to advance Magby's Aid breakthrough,Exclusive material used to advance Magby's Aid breakthrough,config/portrait/simple/img_240_yzbb@.png,,,,171,,,,,,
90611,,,,,Pinsir Aid Essence,5,,,,,Exclusive material used to advance Pinsir's Aid breakthrough,Exclusive material used to advance Pinsir's Aid breakthrough,config/portrait/simple/img_127_kls@.png,,,,171,,,,,,
90631,,,,,Gyarados Aid Essence,5,,,,,Exclusive material used to advance Gyarados's Aid breakthrough,Exclusive material used to advance Gyarados's Aid breakthrough,config/portrait/simple/img_130_bll@.png,,,,171,,,,,,
90641,,,,,Lapras Aid Essence,5,,,,,Exclusive material used to advance Lapras's Aid breakthrough,Exclusive material used to advance Lapras's Aid breakthrough,config/portrait/simple/img_131_lpls@.png,,,,171,,,,,,
90691,,,,,Kabuto Aid Essence,,,,,,Exclusive material used to advance Kabuto's Aid breakthrough,Exclusive material used to advance Kabuto's Aid breakthrough,config/portrait/simple/img_140_hsk@.png,,,,,,,,,,
90701,,,,,Aerodactyl Aid Essence,5,,,,,Exclusive material used to advance Aerodactyl's Aid breakthrough,Exclusive material used to advance Aerodactyl's Aid breakthrough,config/portrait/simple/img_142_hsyl@.png,,,,171,,,,,,
90711,,,,,Munchlax Aid Essence,5,,,,,Exclusive material used to advance Munchlax's Aid breakthrough,Exclusive material used to advance Munchlax's Aid breakthrough,config/portrait/simple/img_446_xkbs@.png,,,,171,,,,,,
90721,,,,,Articuno Aid Essence,5,,,,,Exclusive material used to advance Articuno's Aid breakthrough,Exclusive material used to advance Articuno's Aid breakthrough,config/portrait/simple/img_144_jdn@.png,,,,171,,,,,,
90731,,,,,Zapdos Aid Essence,5,,,,,Exclusive material used to advance Zapdos's Aid breakthrough,Exclusive material used to advance Zapdos's Aid breakthrough,config/portrait/simple/img_145_sdn@.png,,,,171,,,,,,
90741,,,,,Moltres Aid Essence,5,,,,,Exclusive material used to advance Moltres's Aid breakthrough,Exclusive material used to advance Moltres's Aid breakthrough,config/portrait/simple/img_146_hyn@.png,,,,171,,,,,,
90751,,,,,Dratini Aid Essence,5,,,,,Exclusive material used to advance Dratini's Aid breakthrough,Exclusive material used to advance Dratini's Aid breakthrough,config/portrait/simple/img_147_mnl@.png,,,,171,,,,,,
90761,,,,,Mewtwo Aid Essence,6,,,,,Exclusive material used to advance Mewtwo's Aid breakthrough,Exclusive material used to advance Mewtwo's Aid breakthrough,config/portrait/simple/img_150_cm@.png,,,,172,,,,,,
90771,,,,,Mew Aid Essence,5,,,,,Exclusive material used to advance Mew's Aid breakthrough,Exclusive material used to advance Mew's Aid breakthrough,config/portrait/simple/img_151_mh@.png,,,,171,,,,,,
90781,,,,,Chikorita Aid Essence,,,,,,Exclusive material used to advance Chikorita's Aid breakthrough,Exclusive material used to advance Chikorita's Aid breakthrough,config/portrait/simple/img_152_jcy@.png,,,,,,,,,,
90791,,,,,Cyndaquil Aid Essence,,,,,,Exclusive material used to advance Cyndaquil's Aid breakthrough,Exclusive material used to advance Cyndaquil's Aid breakthrough,config/portrait/simple/img_155_hqs@.png,,,,,,,,,,
90801,,,,,Totodile Aid Essence,,,,,,Exclusive material used to advance Totodile's Aid breakthrough,Exclusive material used to advance Totodile's Aid breakthrough,config/portrait/simple/img_158_xje@.png,,,,,,,,,,
90861,,,,,Togepi Aid Essence,5,,,,,Exclusive material used to advance Togepi's Aid breakthrough,Exclusive material used to advance Togepi's Aid breakthrough,config/portrait/simple/img_175_bkb@.png,,,,171,,,,,,
90881,,,,,Mareep Aid Essence,5,,,,,Exclusive material used to advance Mareep's Aid breakthrough,Exclusive material used to advance Mareep's Aid breakthrough,config/portrait/simple/img_179_mly@.png,,,,171,,,,,,
90891,,,,,Azurill Aid Essence,3,,,,,Exclusive material used to advance Azurill's Aid breakthrough,Exclusive material used to advance Azurill's Aid breakthrough,config/portrait/simple/img_298_lll@.png,,,,,,,,,,
90971,,,,,Misdreavus Aid Essence,5,,,,,Exclusive material used to advance Misdreavus's Aid breakthrough,Exclusive material used to advance Misdreavus's Aid breakthrough,config/portrait/simple/img_200_my@.png,,,,171,,,,,,
90991,,,,,Wynaut Aid Essence,5,,,,,Exclusive material used to advance Wynaut's Aid breakthrough,Exclusive material used to advance Wynaut's Aid breakthrough,config/portrait/simple/img_360_xgr@.png,,,,171,,,,,,
91031,,,,,Gligar Aid Essence,5,,,,,Exclusive material used to advance Gligar's Aid breakthrough,Exclusive material used to advance Gligar's Aid breakthrough,config/portrait/simple/img_207_tx@.png,,,,171,,,,,,
91071,,,,,Heracross Aid Essence,5,,,,,Exclusive material used to advance Heracross's Aid breakthrough,Exclusive material used to advance Heracross's Aid breakthrough,config/portrait/simple/img_214_hlkls@.png,,,,171,,,,,,
91081,,,,,Sneasel Aid Essence,5,,,,,Exclusive material used to advance Sneasel's Aid breakthrough,Exclusive material used to advance Sneasel's Aid breakthrough,config/portrait/simple/img_215_nl@.png,,,,171,,,,,,
91171,,,,,Houndour Aid Essence,5,,,,townSupermarket,Exclusive material used to advance Houndour's Aid breakthrough,Exclusive material used to advance Houndour's Aid breakthrough,config/portrait/simple/img_228_dlb@.png,,,,171,,,,,,
91221,,,,,Raikou Aid Essence,5,,,,,Exclusive material used to advance Raikou's Aid breakthrough,Exclusive material used to advance Raikou's Aid breakthrough,config/portrait/simple/img_243_lg@.png,,,,171,,,,,,
91231,,,,,Entei Aid Essence,5,,,,,Exclusive material used to advance Entei's Aid breakthrough,Exclusive material used to advance Entei's Aid breakthrough,config/portrait/simple/img_244_yd@.png,,,,171,,,,,,
91241,,,,,Suicune Aid Essence,5,,,,shop-13,Exclusive material used to advance Suicune's Aid breakthrough,Exclusive material used to advance Suicune's Aid breakthrough,config/portrait/simple/img_245_sj@.png,,,,171,,,,,,
91251,,,,,Larvitar Aid Essence,5,,,,,Exclusive material used to advance Larvitar's Aid breakthrough,Exclusive material used to advance Larvitar's Aid breakthrough,config/portrait/simple/img_246_yjls@.png,,,,171,,,,,,
91261,,,,,Lugia Aid Essence,6,,,,,Exclusive material used to advance Lugia's Aid breakthrough,Exclusive material used to advance Lugia's Aid breakthrough,config/portrait/simple/img_249_lqy@.png,,,,172,,,,,,
91271,,,,,Ho-Oh Aid Essence,6,,,,,Exclusive material used to advance Ho-Oh's Aid breakthrough,Exclusive material used to advance Ho-Oh's Aid breakthrough,config/portrait/simple/img_250_fw@.png,,,,172,,,,,,
91281,,,,,Celebi Aid Essence,6,,,,,Exclusive material used to advance Celebi's Aid breakthrough,Exclusive material used to advance Celebi's Aid breakthrough,config/portrait/simple/img_251_slb@.png,,,,172,,,,,,
91291,,,,,Treecko Aid Essence,5,,,,,Exclusive material used to advance Treecko's Aid breakthrough,Exclusive material used to advance Treecko's Aid breakthrough,config/portrait/simple/img_252_msg@.png,,,,171,,,,,,
91301,,,,,Torchic Aid Essence,5,,,,,Exclusive material used to advance Torchic's Aid breakthrough,Exclusive material used to advance Torchic's Aid breakthrough,config/portrait/simple/img_255_hzj@.png,,,,171,,,,,,
91311,,,,,Mudkip Aid Essence,5,,,,townSupermarket,Exclusive material used to advance Mudkip's Aid breakthrough,Exclusive material used to advance Mudkip's Aid breakthrough,config/portrait/simple/img_258_syy@.png,,,,171,,,,,,
91351,,,,,Lotad Aid Essence,3,,,,,Exclusive material used to advance Lotad's Aid breakthrough,Exclusive material used to advance Lotad's Aid breakthrough,config/portrait/simple/img_270_lytz@.png,,,,,,,,,,
91391,,,,,Ralts Aid Essence,5,,,,,Exclusive material used to advance Ralts's Aid breakthrough,Exclusive material used to advance Ralts's Aid breakthrough,config/portrait/simple/img_280_llls@.png,,,,171,,,,,,
91421,,,,,Slakoth Aid Essence,5,,,,,Exclusive material used to advance Slakoth's Aid breakthrough,Exclusive material used to advance Slakoth's Aid breakthrough,config/portrait/simple/img_287_lrt@.png,,,,171,,,,,,
91441,,,,,Whismur Aid Essence,,,,,,Exclusive material used to advance Whismur's Aid breakthrough,Exclusive material used to advance Whismur's Aid breakthrough,config/portrait/simple/img_293_gzz@.png,,,,,,,,,,
91481,,,,,Sableye Aid Essence,,,,,,Exclusive material used to advance Sableye's Aid breakthrough,Exclusive material used to advance Sableye's Aid breakthrough,config/portrait/simple/img_302_ghy@.png,,,,,,,,,,
91501,,,,,Aron Aid Essence,5,,,,,Exclusive material used to advance Aron's Aid breakthrough,Exclusive material used to advance Aron's Aid breakthrough,config/portrait/simple/img_304_kkdl@.png,,,,171,,,,,,
91611,,,,,Numel Aid Essence,,,,,,Exclusive material used to advance Numel's Aid breakthrough,Exclusive material used to advance Numel's Aid breakthrough,config/portrait/simple/img_322_dht@.png,,,,,,,,,,
91641,,,,,Spinda Aid Essence,,,,,,Exclusive material used to advance Spinda's Aid breakthrough,Exclusive material used to advance Spinda's Aid breakthrough,config/portrait/simple/img_327_hhb@.png,,,,,,,,,,
91771,,,,,Feebas Aid Essence,5,,,,,Exclusive material used to advance Feebas's Aid breakthrough,Exclusive material used to advance Feebas's Aid breakthrough,config/portrait/simple/img_349_ccy@.png,,,,171,,,,,,
91801,,,,,Shuppet Aid Essence,,,,,,Exclusive material used to advance Shuppet's Aid breakthrough,Exclusive material used to advance Shuppet's Aid breakthrough,config/portrait/simple/img_353_yyww@.png,,,,,,,,,,
91811,,,,,Duskull Aid Essence,5,,,,,Exclusive material used to advance Duskull's Aid breakthrough,Exclusive material used to advance Duskull's Aid breakthrough,config/portrait/simple/img_355_yxl@.png,,,,171,,,,,,
91841,,,,,Absol Aid Essence,5,,,,,Exclusive material used to advance Absol's Aid breakthrough,Exclusive material used to advance Absol's Aid breakthrough,config/portrait/simple/img_359_absl@.png,,,,171,,,,,,
91851,,,,,Snorunt Aid Essence,,,,,,Exclusive material used to advance Snorunt's Aid breakthrough,Exclusive material used to advance Snorunt's Aid breakthrough,config/portrait/simple/img_361_xtz@.png,,,,,,,,,,
91861,,,,,Spheal Aid Essence,,,,,,Exclusive material used to advance Spheal's Aid breakthrough,Exclusive material used to advance Spheal's Aid breakthrough,config/portrait/simple/img_363_hbq@.png,,,,,,,,,,
91891,,,,,Bagon Aid Essence,5,,,,,Exclusive material used to advance Bagon's Aid breakthrough,Exclusive material used to advance Bagon's Aid breakthrough,config/portrait/simple/img_371_bbl@.png,,,,171,,,,,,
91901,,,,,Beldum Aid Essence,5,,,,,Exclusive material used to advance Beldum's Aid breakthrough,Exclusive material used to advance Beldum's Aid breakthrough,config/portrait/simple/img_374_tyl@.png,,,,171,,,,,,
91911,,,,,Regirock Aid Essence,5,,,,,Exclusive material used to advance Regirock's Aid breakthrough,Exclusive material used to advance Regirock's Aid breakthrough,config/portrait/simple/img_377_ljlk@.png,,,,171,,,,,,
91921,,,,,Regice Aid Essence,5,,,,,Exclusive material used to advance Regice's Aid breakthrough,Exclusive material used to advance Regice's Aid breakthrough,config/portrait/simple/img_378_ljas@.png,,,,171,,,,,,
91931,,,,,Registeel Aid Essence,5,,,,,Exclusive material used to advance Registeel's Aid breakthrough,Exclusive material used to advance Registeel's Aid breakthrough,config/portrait/simple/img_379_ljsql@.png,,,,171,,,,,,
91941,,,,,Latias Aid Essence,5,,,,,Exclusive material used to advance Latias's Aid breakthrough,Exclusive material used to advance Latias's Aid breakthrough,config/portrait/simple/img_380_ldys@.png,,,,171,,,,,,
91951,,,,,Latios Aid Essence,5,,,,,Exclusive material used to advance Latios's Aid breakthrough,Exclusive material used to advance Latios's Aid breakthrough,config/portrait/simple/img_381_ldos@.png,,,,171,,,,,,
91961,,,,,Kyogre Aid Essence,6,,,,,Exclusive material used to advance Kyogre's Aid breakthrough,Exclusive material used to advance Kyogre's Aid breakthrough,config/portrait/simple/img_382_gok@.png,,,,172,,,,,,
91971,,,,,Groudon Aid Essence,6,,,,,Exclusive material used to advance Groudon's Aid breakthrough,Exclusive material used to advance Groudon's Aid breakthrough,config/portrait/simple/img_383_gld@.png,,,,172,,,,,,
91981,,,,,Rayquaza Aid Essence,6,,,,,Exclusive material used to advance Rayquaza's Aid breakthrough,Exclusive material used to advance Rayquaza's Aid breakthrough,config/portrait/simple/img_384_lkz@.png,,,,172,,,,,,
91991,,,,,Jirachi Aid Essence,6,,,,,Exclusive material used to advance Jirachi's Aid breakthrough,Exclusive material used to advance Jirachi's Aid breakthrough,config/portrait/simple/img_385_jlq@.png,,,,172,,,,,,
92011,,,,,Turtwig Aid Essence,,,,,,Exclusive material used to advance Turtwig's Aid breakthrough,Exclusive material used to advance Turtwig's Aid breakthrough,config/portrait/simple/img_387_cmg@.png,,,,,,,,,,
92021,,,,,Chimchar Aid Essence,5,,,,,Exclusive material used to advance Chimchar's Aid breakthrough,Exclusive material used to advance Chimchar's Aid breakthrough,config/portrait/simple/img_390_xhyh@.png,,,,171,,,,,,
92031,,,,,Piplup Aid Essence,5,,,,,Exclusive material used to advance Piplup's Aid breakthrough,Exclusive material used to advance Piplup's Aid breakthrough,config/portrait/simple/img_393_bjm@.png,,,,171,,,,,,
92041,,,,,Starly Aid Essence,5,,,,,Exclusive material used to advance Starly's Aid breakthrough,Exclusive material used to advance Starly's Aid breakthrough,config/portrait/simple/img_397_mkn@.png,,,,171,,,,,,
92071,,,,,Shinx Aid Essence,,,,,,Exclusive material used to advance Shinx's Aid breakthrough,Exclusive material used to advance Shinx's Aid breakthrough,config/portrait/simple/img_403_xmg@.png,,,,,,,,,,
92231,,,,,Gible Aid Essence,5,,,,,Exclusive material used to advance Gible's Aid breakthrough,Exclusive material used to advance Gible's Aid breakthrough,config/portrait/simple/img_443_yls@.png,,,,171,,,,,,
92241,,,,,Riolu Aid Essence,5,,,,,Exclusive material used to advance Riolu's Aid breakthrough,Exclusive material used to advance Riolu's Aid breakthrough,config/portrait/simple/img_447_lol@.png,,,,171,,,,,,
92271,,,,,Croagunk Aid Essence,,,,,,Exclusive material used to advance Croagunk's Aid breakthrough,Exclusive material used to advance Croagunk's Aid breakthrough,config/portrait/simple/img_453_blw@.png,,,,,,,,,,
92301,,,,,Snover Aid Essence,,,,,,Exclusive material used to advance Snover's Aid breakthrough,Exclusive material used to advance Snover's Aid breakthrough,config/portrait/simple/img_459_xzg@.png,,,,,,,,,,
92351,,,,,Dialga Aid Essence,6,,,,,Exclusive material used to advance Dialga's Aid breakthrough,Exclusive material used to advance Dialga's Aid breakthrough,config/portrait/simple/img_483_dylk@.png,,,,172,,,,,,
92361,,,,,Palkia Aid Essence,6,,,,,Exclusive material used to advance Palkia's Aid breakthrough,Exclusive material used to advance Palkia's Aid breakthrough,config/portrait/simple/img_484_plqy@.png,,,,172,,,,,,
92371,,,,,Heatran Aid Essence,5,,,,,Exclusive material used to advance Heatran's Aid breakthrough,Exclusive material used to advance Heatran's Aid breakthrough,config/portrait/simple/img_485_xdle@.png,,,,171,,,,,,
92381,,,,,Regigigas Aid Essence,6,,,,,Exclusive material used to advance Regigigas's Aid breakthrough,Exclusive material used to advance Regigigas's Aid breakthrough,config/portrait/simple/img_486_ljqks@.png,,,,172,,,,,,
92391,,,,,Giratina Aid Essence,6,,,,,Exclusive material used to advance Giratina's Aid breakthrough,Exclusive material used to advance Giratina's Aid breakthrough,config/portrait/simple/img_487_qldn@.png,,,,172,,,,,,
92401,,,,,Cresselia Aid Essence,5,,,,,Exclusive material used to advance Cresselia's Aid breakthrough,Exclusive material used to advance Cresselia's Aid breakthrough,config/portrait/simple/img_488_klsly@.png,,,,171,,,,,,
92411,,,,,Phione Aid Essence,5,,,,,Exclusive material used to advance Phione's Aid breakthrough,Exclusive material used to advance Phione's Aid breakthrough,config/portrait/simple/img_489_fon@.png,,,,171,,,,,,
92421,,,,,Manaphy Aid Essence,6,,,,,Exclusive material used to advance Manaphy's Aid breakthrough,Exclusive material used to advance Manaphy's Aid breakthrough,config/portrait/simple/img_490_mnf@.png,,,,172,,,,,,
92431,,,,,Darkrai Aid Essence,6,,,,,Exclusive material used to advance Darkrai's Aid breakthrough,Exclusive material used to advance Darkrai's Aid breakthrough,config/portrait/simple/img_491_dkly@.png,,,,172,,,,,,
92441,,,,,Shaymin Aid Essence,6,,,,,Exclusive material used to advance Shaymin's Aid breakthrough,Exclusive material used to advance Shaymin's Aid breakthrough,config/portrait/simple/img_492_xm@.png,,,,172,,,,,,
92461,,,,,Victini Aid Essence,6,,,,,Exclusive material used to advance Victini's Aid breakthrough,Exclusive material used to advance Victini's Aid breakthrough,config/portrait/simple/img_494_bktn@.png,,,,172,,,,,,
92471,,,,,Snivy Aid Essence,5,,,,,Exclusive material used to advance Snivy's Aid breakthrough,Exclusive material used to advance Snivy's Aid breakthrough,config/portrait/simple/img_495_tts@.png,,,,171,,,,,,
