变量名,activeDemandLevel,awakeMaterialID,awakeDemandAidStage,awakeDemandAidLevel,awakeSequenceID,fightPointFactor,stageMaterialID,stageSequenceID,levelSequenceID,activeDemandStar,activeDemandAdvance,activeCost,awakeCost,languages
1081,75,,,,,0.003,91081,1,1,11,14,{501=5;91081=50;gold=600000},,<cn;tw>
1171,75,,,,,0.003,91171,1,1,11,14,{501=5;91171=50;gold=600000},,<cn;en;tw;kr;en_us>
1173,75,,,,,0.003,91171,1,1,11,14,{501=5;91171=50;gold=600000},,<cn;en;tw;kr;en_us>
1221,75,,,,,0.003,91221,1,1,11,14,{501=5;91221=50;gold=600000},,<cn;en;tw;kr;en_us>
1231,75,,,,,0.003,91231,1,1,11,14,{501=5;91231=50;gold=600000},,<cn;en;tw;kr;en_us>
1241,75,,,,,0.003,91241,1,1,11,14,{501=5;91241=50;gold=600000},,<cn;en;tw;kr;en_us>
1261,75,98002,3,30,1,0.003,91261,2,2,,14,{501=10;91261=100;gold=1200000},{501=5;521=10;98002=1;gold=2000000},<cn;en;tw;kr;en_us>
1271,75,98003,3,30,1,0.003,91271,2,2,,14,{501=10;91271=100;gold=1200000},{501=5;521=10;98003=1;gold=2000000},<cn;en;tw;kr;en_us>
1281,75,98004,3,30,1,0.003,91281,2,2,,14,{501=10;91281=100;gold=1200000},{501=5;521=10;98004=1;gold=2000000},<cn>
1311,75,,,,,0.003,91311,1,1,11,14,{501=5;91311=50;gold=600000},,<cn;en;tw;kr;en_us>
1314,75,,,,,0.003,91311,1,1,11,14,{501=5;91311=50;gold=600000},,<cn;en;tw;kr;en_us>
1391,75,,,,,0.003,91391,1,1,11,14,{501=5;91391=50;gold=600000},,<cn>
1396,75,,,,,0.003,91391,1,1,11,14,{501=5;91391=50;gold=600000},,<cn>
1421,75,,,,,0.003,91421,1,1,11,14,{501=5;91421=50;gold=600000},,<cn>
1891,75,,,,,0.003,91891,1,1,11,14,{501=5;91891=50;gold=600000},,<cn>
1911,75,,,,,0.003,91911,1,1,11,14,{501=5;91911=50;gold=600000},,<cn;en;tw;kr;en_us>
1921,75,,,,,0.003,91921,1,1,11,14,{501=5;91921=50;gold=600000},,<cn;en;tw;kr;en_us>
1931,75,,,,,0.003,91931,1,1,11,14,{501=5;91931=50;gold=600000},,<cn;en;tw;kr;en_us>
1991,75,98008,3,30,1,0.003,91991,2,2,,14,{501=10;91991=100;gold=1200000},{501=5;521=10;98008=1;gold=2000000},<cn;tw>
2241,75,,,,,0.003,92241,1,1,11,14,{501=5;92241=50;gold=600000},,<cn;en;tw;kr;en_us>
2243,75,,,,,0.003,92241,1,1,11,14,{501=5;92241=50;gold=600000},,<cn;en;tw;kr;en_us>
2351,75,98009,3,30,1,0.003,92351,2,2,,14,{501=10;92351=100;gold=1200000},{501=5;521=10;98009=1;gold=2000000},<cn;en;tw;kr;en_us>
2361,75,98010,3,30,1,0.003,92361,2,2,,14,{501=10;92361=100;gold=1200000},{501=5;521=10;98010=1;gold=2000000},<cn;en;tw;kr;en_us>
2381,75,98011,3,30,1,0.003,92381,2,2,,14,{501=10;92381=100;gold=1200000},{501=5;521=10;98011=1;gold=2000000},<cn;en;tw;kr;en_us>
2391,75,98012,3,30,1,0.003,92391,2,2,,14,{501=10;92391=100;gold=1200000},{501=5;521=10;98012=1;gold=2000000},<cn;tw;en_us>
2421,75,98013,3,30,1,0.003,92421,2,2,,14,{501=10;92421=100;gold=1200000},{501=5;521=10;98013=1;gold=2000000},<cn>
2431,75,98014,3,30,1,0.003,92431,2,2,,14,{501=10;92431=100;gold=1200000},{501=5;521=10;98014=1;gold=2000000},<cn;en;tw;kr;en_us>
2461,75,98016,3,30,1,0.003,92461,2,2,,14,{501=10;92461=100;gold=1200000},{501=5;521=10;98016=1;gold=2000000},<cn>
2471,75,,,,,0.003,92471,1,1,11,14,{501=5;92471=50;gold=600000},,<cn;en;tw;kr;en_us>
2721,75,,,,,0.003,92721,1,1,11,14,{501=5;92721=50;gold=600000},,<cn;en;tw;kr;en_us>
3151,75,,,,,0.003,93151,1,1,11,14,{501=5;93151=50;gold=600000},,<cn;en;tw;kr;en_us>
3261,75,98020,3,30,1,0.003,93261,2,2,,14,{501=10;93261=100;gold=1200000},{501=5;521=10;98020=1;gold=2000000},<cn>
3271,75,98021,3,30,1,0.003,93271,2,2,,14,{501=10;93271=100;gold=1200000},{501=5;521=10;98021=1;gold=2000000},<cn>
3351,75,,,,,0.003,93351,1,1,11,14,{501=5;93351=50;gold=600000},,<cn;en;tw;kr;en_us>
3601,75,98022,3,30,1,0.003,93601,2,2,,14,{501=10;93601=100;gold=1200000},{501=5;521=10;98022=1;gold=2000000},<cn>
3611,75,98023,3,30,1,0.003,93611,2,2,,14,{501=10;93611=100;gold=1200000},{501=5;521=10;98023=1;gold=2000000},<cn>
3651,75,98027,3,30,1,0.003,93651,2,2,,14,{501=10;93651=100;gold=1200000},{501=5;521=10;98027=1;gold=2000000},<cn>
3661,75,,,,,0.003,93661,1,1,11,14,{501=5;93661=50;gold=600000},,<cn;en;tw;kr;en_us>
4121,75,98032,3,30,1,0.003,94121,2,2,,14,{501=10;94121=100;gold=1200000},{501=5;521=10;98032=1;gold=2000000},<cn>
4161,75,98033,3,30,1,0.003,94161,2,2,,14,{501=10;94161=100;gold=1200000},{501=5;521=10;98033=1;gold=2000000},<cn;tw>
