变量名,describes,quality,describeStage,triggerTimes,triggerCondition,keyWords,aidID
2169,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】3回合；同时令目标获得20%毒元素易伤1回合,9,同时令目标获得20%毒元素易伤1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2242,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为1名火系友方添加【速度Ⅱ】1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2243,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为1名火系友方添加【速度Ⅱ】1回合,2,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2244,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】1回合,3,为2名火系友方添加【速度Ⅱ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2245,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】1回合,4,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2246,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】2回合,5,效果持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2247,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#240%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】2回合,6,伤害系数提升至240%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2248,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#240%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】2回合；同时提升目标5%物攻1回合,7,同时提升目标5%物攻1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2249,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】2回合；同时提升目标5%物攻1回合,8,伤害系数提升至280%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2250,#L10#助战技能效果：#L0#对敌方列排造成#C0xE69900#280%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为2名火系友方添加【速度Ⅱ】2回合；同时提升目标10%物攻1回合,9,同时提升目标10%物攻1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【速度Ⅱ】>,241
2263,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#40%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，5%概率【石化】目标1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】>,261
2264,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，5%概率【石化】目标1回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】>,261
2265,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合,3,【石化】概率提升5%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】>,261
2266,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】>,261
2267,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合；【石化】未添加成功时40%概率添加【沉默】1回合,5,【石化】未添加成功时40%概率添加【沉默】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】;【沉默】>,261
2268,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合；【石化】未添加成功时40%概率添加【沉默】1回合,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】;【沉默】>,261
2269,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合；【石化】未添加成功时40%概率添加【沉默】1回合；石化目标免伤降低5%,7,石化目标免伤降低5%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】;【沉默】>,261
2270,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合；【石化】未添加成功时40%概率添加【沉默】1回合；石化目标免伤降低5%,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】;【沉默】>,261
2271,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，10%概率【石化】目标1回合；【石化】未添加成功时40%概率添加【沉默】1回合；石化目标免伤降低10%,9,石化目标免伤降低10%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【石化】;【沉默】>,261
2382,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#40%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为3名友方添加【反弹Ⅱ】1回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2383,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为3名友方添加【反弹Ⅱ】1回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2384,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#80%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】1回合,3,为全体友方添加【反弹Ⅱ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2385,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】1回合,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2386,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#120%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】2回合,5,效果持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2387,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】2回合,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2388,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#160%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】2回合；同时提升目标5%生命上限1回合（最高不可超过自身100%物攻值）,7,同时提升目标5%生命上限1回合（最高不可超过自身100%物攻值）,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2389,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】2回合；同时提升目标5%生命上限1回合（最高不可超过自身100%物攻值）,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2390,#L10#助战技能效果：#L0#对敌方全体造成#C0xE69900#200%物攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#物理伤害#C0x5B545B#，为全体友方添加【反弹Ⅱ】2回合；同时提升目标10%生命上限1回合（最高不可超过自身200%物攻值）,9,同时提升目标10%生命上限1回合（最高不可超过自身200%物攻值）,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#大回合开始时触发,<【反弹Ⅱ】>,381
2391,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#40%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给1名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,,对敌方全体造成40%特攻加成的特殊伤害，对1名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2392,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给1名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,2,伤害系数提升至80%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2393,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,3,对2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2394,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】1回合,4,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2395,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】2回合,5,【助·恐惧Ⅰ】持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2396,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】2回合,6,伤害系数提升至160%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2397,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#160%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】2回合（【助·恐惧Ⅰ】效果变为降低10%初始双攻和5%怒气恢复速度）,7,【助·恐惧Ⅰ】效果变为降低10%初始双攻和5%怒气恢复速度,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2398,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】2回合（【助·恐惧Ⅰ】效果变为降低10%初始双攻和5%怒气恢复速度）,8,伤害系数提升至200%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2399,#L10#助战技能效果：#L0#对敌方全体造成#C0x3D8A99#200%特攻#C0x5B545B#+$(skillLevel*4*36*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，给2名随机敌方（优先攻击最高）添加【助·恐惧Ⅰ】2回合（【助·恐惧Ⅰ】效果变为降低10%初始双攻和10%怒气恢复速度）,9,【助·恐惧Ⅰ】效果变为降低10%初始双攻和10%怒气恢复速度,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#鬼/毒系必杀技时触发,<【助·恐惧Ⅰ】>,391
2571,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】1回合,,对敌方后排血量最低目标造成220%物攻加成的物理伤害，攻击前给目标添加【助·掠杀】1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2572,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】1回合,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2573,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合,3,攻击前给目标添加【助·掠杀】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2574,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2575,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%,5,若目标生命比例低于50%，本次助战技能伤害额外提升20%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2576,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%,6,伤害系数提升至340%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2577,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标15%物攻1回合,7,攻击前吸收目标15%物攻1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2578,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标10%物攻2回合,8,伤害系数提升至380%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2579,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标30%物攻1回合,9,攻击前吸收目标30%物攻1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,571
2581,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】2回合,,对敌方后排血量最低目标造成220%物攻加成的物理伤害，攻击前给目标添加【助·掠杀】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2582,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】1回合,2,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2583,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合,3,攻击前给目标添加【助·掠杀】3回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2584,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合,4,伤害系数提升至300%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2585,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#300%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%,5,若目标生命比例低于50%，本次助战技能伤害额外提升20%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2586,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%,6,伤害系数提升至340%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2587,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#340%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标15%物攻2回合,7,攻击前吸收目标10%物攻1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2588,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标10%物攻2回合,8,伤害系数提升至380%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2589,#L10#助战技能效果：#L0#对敌方后排血量最低目标造成#C0xE69900#380%物攻#C0x5B545B#+$(skillLevel*4*50*2)$的#C0xF13B54#物理伤害#C0x5B545B#，攻击前给目标添加【助·掠杀】3回合;若目标生命比例低于50%，本次助战技能伤害额外提升20%;攻击前吸收目标30%物攻2回合,9,攻击前吸收目标30%物攻2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放虫/钢系必杀技时触发,<【助·掠杀】>,574
2603,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，引爆所有敌人身上的灼烧,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#火系精灵释放必杀技时,,601
2604,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，引爆所有敌人身上的灼烧,2,伤害系数提升至120%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#火系精灵释放必杀技时,,601
2605,#L10#助战技能效果：#L0#对敌方前排造成#C0x3D8A99#120%特攻#C0x5B545B#+$(skillLevel*4*42*2)$的#C0xF13B54#特殊伤害#C0x5B545B#，引爆所有敌人身上的灼烧；引爆伤害提升1.5倍,3,引爆伤害提升1.5倍,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#火系精灵释放必杀技时,,601
