变量名,aidFightPoint6,demandStage6,aidFightPoint5,demandStage5,aidFightPoint4,demandStage4,aidFightPoint3,demandStage3,aidFightPoint2,demandStage2,aidFightPoint1,demandStage1,level,costMap1,attrMap1,costMap2,attrMap2,costMap3,attrMap3,costMap4,attrMap4,costMap5,attrMap5,costMap6,attrMap6
默认值,0,15,0,14,0,13,0,12,0,11,0,10,0,{},{},{},{},{},{},{},{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
11,,,,,,,2600,2,2600,2,1300,2,11,{142=75;gold=150000},{1=905;7=249;8=249;9=125;10=125;13=4},{142=135;gold=270000},{1=1810;7=498;8=498;9=250;10=250;13=8},{142=195;gold=390000},{1=1810;7=498;8=498;9=250;10=250},,,,,,
12,,,,,,,2660,2,2660,2,1330,2,12,{142=75;gold=150000},{1=941;7=259;8=259;9=130;10=130;13=4},{142=135;gold=270000},{1=1882;7=518;8=518;9=260;10=260;13=8},{142=195;gold=390000},{1=1882;7=518;8=518;9=260;10=260},,,,,,
13,,,,,,,2720,2,2720,2,1360,2,13,{142=80;gold=160000},{1=977;7=269;8=269;9=134;10=134;13=4},{142=145;gold=288000},{1=1954;7=538;8=538;9=268;10=268;13=8},{142=210;gold=416000},{1=1954;7=538;8=538;9=268;10=268},,,,,,
14,,,,,,,2780,2,2780,2,1390,2,14,{142=80;gold=160000},{1=1013;7=279;8=279;9=139;10=139;13=4},{142=145;gold=288000},{1=2026;7=558;8=558;9=278;10=278;13=8},{142=210;gold=416000},{1=2026;7=558;8=558;9=278;10=278},,,,,,
15,,,,,,,2840,2,2840,2,1420,2,15,{142=85;gold=170000},{1=1049;7=289;8=289;9=144;10=144;13=5},{142=155;gold=306000},{1=2098;7=578;8=578;9=288;10=288;13=10},{142=220;gold=442000},{1=2098;7=578;8=578;9=288;10=288},,,,,,
16,,,,,,,2900,2,2900,2,1450,2,16,{142=85;gold=170000},{1=1085;7=299;8=299;9=149;10=149;13=5},{142=155;gold=306000},{1=2170;7=598;8=598;9=298;10=298;13=10},{142=220;gold=442000},{1=2170;7=598;8=598;9=298;10=298},,,,,,
17,,,,,,,2960,2,2960,2,1480,2,17,{142=90;gold=180000},{1=1121;7=309;8=309;9=154;10=154;13=5},{142=160;gold=324000},{1=2242;7=618;8=618;9=308;10=308;13=10},{142=235;gold=468000},{1=2242;7=618;8=618;9=308;10=308},,,,,,
18,,,,,,,3020,2,3020,2,1510,2,18,{142=90;gold=180000},{1=1157;7=318;8=318;9=159;10=159;13=5},{142=160;gold=324000},{1=2314;7=636;8=636;9=318;10=318;13=10},{142=235;gold=468000},{1=2314;7=636;8=636;9=318;10=318},,,,,,
19,,,,,,,3080,2,3080,2,1540,2,19,{142=95;gold=190000},{1=1193;7=328;8=328;9=164;10=164;13=5},{142=170;gold=342000},{1=2386;7=656;8=656;9=328;10=328;13=10},{142=245;gold=494000},{1=2386;7=656;8=656;9=328;10=328},,,,,,
20,,,,,,,3140,2,3140,2,1570,2,20,{142=95;gold=190000},{1=1229;7=338;8=338;9=169;10=169;13=6},{142=170;gold=342000},{1=2458;7=676;8=676;9=338;10=338;13=12},{142=245;gold=494000},{1=2458;7=676;8=676;9=338;10=338},,,,,,
21,,,,,,,3200,3,3200,3,1600,3,21,{142=100;gold=200000},{1=1271;7=350;8=350;9=175;10=175;13=6},{142=180;gold=360000},{1=2542;7=700;8=700;9=350;10=350;13=12},{142=260;gold=520000},{1=2542;7=700;8=700;9=350;10=350},,,,,,
22,,,,,,,3270,3,3270,3,1635,3,22,{142=100;gold=200000},{1=1313;7=361;8=361;9=181;10=181;13=6},{142=180;gold=360000},{1=2626;7=722;8=722;9=362;10=362;13=12},{142=260;gold=520000},{1=2626;7=722;8=722;9=362;10=362},,,,,,
23,,,,,,,3340,3,3340,3,1670,3,23,{142=105;gold=210000},{1=1355;7=373;8=373;9=186;10=186;13=6},{142=190;gold=378000},{1=2710;7=746;8=746;9=372;10=372;13=12},{142=275;gold=546000},{1=2710;7=746;8=746;9=372;10=372},,,,,,
24,,,,,,,3410,3,3410,3,1705,3,24,{142=105;gold=210000},{1=1397;7=384;8=384;9=192;10=192;13=6},{142=190;gold=378000},{1=2794;7=768;8=768;9=384;10=384;13=12},{142=275;gold=546000},{1=2794;7=768;8=768;9=384;10=384},,,,,,
25,,,,,,,3480,3,3480,3,1740,3,25,{142=110;gold=220000},{1=1439;7=396;8=396;9=198;10=198;13=7},{142=200;gold=396000},{1=2878;7=792;8=792;9=396;10=396;13=14},{142=285;gold=572000},{1=2878;7=792;8=792;9=396;10=396},,,,,,
26,,,,,,,3550,3,3550,3,1775,3,26,{142=110;gold=220000},{1=1481;7=408;8=408;9=204;10=204;13=7},{142=200;gold=396000},{1=2962;7=816;8=816;9=408;10=408;13=14},{142=285;gold=572000},{1=2962;7=816;8=816;9=408;10=408},,,,,,
27,,,,,,,3620,3,3620,3,1810,3,27,{142=115;gold=230000},{1=1523;7=419;8=419;9=210;10=210;13=7},{142=205;gold=414000},{1=3046;7=838;8=838;9=420;10=420;13=14},{142=300;gold=598000},{1=3046;7=838;8=838;9=420;10=420},,,,,,
28,,,,,,,3690,3,3690,3,1845,3,28,{142=115;gold=230000},{1=1565;7=431;8=431;9=215;10=215;13=7},{142=205;gold=414000},{1=3130;7=862;8=862;9=430;10=430;13=14},{142=300;gold=598000},{1=3130;7=862;8=862;9=430;10=430},,,,,,
29,,,,,,,3760,3,3760,3,1880,3,29,{142=120;gold=240000},{1=1607;7=442;8=442;9=221;10=221;13=7},{142=215;gold=432000},{1=3214;7=884;8=884;9=442;10=442;13=14},{142=310;gold=624000},{1=3214;7=884;8=884;9=442;10=442},,,,,,
30,,,,,,,3830,3,3830,3,1915,3,30,{142=120;gold=240000},{1=1649;7=454;8=454;9=227;10=227;13=8},{142=215;gold=432000},{1=3298;7=908;8=908;9=454;10=454;13=16},{142=310;gold=624000},{1=3298;7=908;8=908;9=454;10=454},,,,,,
31,,,,,,,3900,4,3900,4,1950,4,31,{142=130;gold=260000},{1=1697;7=467;8=467;9=233;10=233;13=8},{142=235;gold=468000},{1=3394;7=934;8=934;9=466;10=466;13=16},{142=340;gold=676000},{1=3394;7=934;8=934;9=466;10=466},,,,,,
32,,,,,,,3970,4,3970,4,1985,4,32,{142=130;gold=260000},{1=1745;7=480;8=480;9=240;10=240;13=8},{142=235;gold=468000},{1=3490;7=960;8=960;9=480;10=480;13=16},{142=340;gold=676000},{1=3490;7=960;8=960;9=480;10=480},,,,,,
33,,,,,,,4040,4,4040,4,2020,4,33,{142=140;gold=280000},{1=1793;7=493;8=493;9=247;10=247;13=8},{142=250;gold=504000},{1=3586;7=986;8=986;9=494;10=494;13=16},{142=365;gold=728000},{1=3586;7=986;8=986;9=494;10=494},,,,,,
34,,,,,,,4110,4,4110,4,2055,4,34,{142=140;gold=280000},{1=1840;7=507;8=507;9=253;10=253;13=8},{142=250;gold=504000},{1=3680;7=1014;8=1014;9=506;10=506;13=16},{142=365;gold=728000},{1=3680;7=1014;8=1014;9=506;10=506},,,,,,
35,,,,,,,4180,4,4180,4,2090,4,35,{142=150;gold=300000},{1=1888;7=520;8=520;9=260;10=260;13=9},{142=270;gold=540000},{1=3776;7=1040;8=1040;9=520;10=520;13=18},{142=390;gold=780000},{1=3776;7=1040;8=1040;9=520;10=520},,,,,,
36,,,,,,,4250,4,4250,4,2125,4,36,{142=150;gold=300000},{1=1936;7=533;8=533;9=266;10=266;13=9},{142=270;gold=540000},{1=3872;7=1066;8=1066;9=532;10=532;13=18},{142=390;gold=780000},{1=3872;7=1066;8=1066;9=532;10=532},,,,,,
37,,,,,,,4320,4,4320,4,2160,4,37,{142=160;gold=320000},{1=1984;7=546;8=546;9=273;10=273;13=9},{142=290;gold=576000},{1=3968;7=1092;8=1092;9=546;10=546;13=18},{142=415;gold=832000},{1=3968;7=1092;8=1092;9=546;10=546},,,,,,
38,,,,,,,4390,4,4390,4,2195,4,38,{142=160;gold=320000},{1=2032;7=559;8=559;9=280;10=280;13=9},{142=290;gold=576000},{1=4064;7=1118;8=1118;9=560;10=560;13=18},{142=415;gold=832000},{1=4064;7=1118;8=1118;9=560;10=560},,,,,,
39,,,,,,,4460,4,4460,4,2230,4,39,{142=170;gold=340000},{1=2080;7=573;8=573;9=286;10=286;13=9},{142=305;gold=612000},{1=4160;7=1146;8=1146;9=572;10=572;13=18},{142=440;gold=884000},{1=4160;7=1146;8=1146;9=572;10=572},,,,,,
40,,,,,,,4530,4,4530,4,2265,4,40,{142=170;gold=340000},{1=2128;7=586;8=586;9=293;10=293;13=10},{142=305;gold=612000},{1=4256;7=1172;8=1172;9=586;10=586;13=20},{142=440;gold=884000},{1=4256;7=1172;8=1172;9=586;10=586},,,,,,
41,,,,,,,4610,5,4610,5,2305,5,41,{142=180;gold=360000},{1=2182;7=601;8=601;9=300;10=300;13=10},{142=325;gold=648000},{1=4364;7=1202;8=1202;9=600;10=600;13=20},{142=470;gold=936000},{1=4364;7=1202;8=1202;9=600;10=600},,,,,,
42,,,,,,,4690,5,4690,5,2345,5,42,{142=180;gold=360000},{1=2236;7=615;8=615;9=308;10=308;13=10},{142=325;gold=648000},{1=4472;7=1230;8=1230;9=616;10=616;13=20},{142=470;gold=936000},{1=4472;7=1230;8=1230;9=616;10=616},,,,,,
43,,,,,,,4770,5,4770,5,2385,5,43,{142=190;gold=380000},{1=2290;7=630;8=630;9=315;10=315;13=10},{142=340;gold=684000},{1=4580;7=1260;8=1260;9=630;10=630;13=20},{142=495;gold=988000},{1=4580;7=1260;8=1260;9=630;10=630},,,,,,
44,,,,,,,4850,5,4850,5,2425,5,44,{142=190;gold=380000},{1=2344;7=645;8=645;9=323;10=323;13=10},{142=340;gold=684000},{1=4688;7=1290;8=1290;9=646;10=646;13=20},{142=495;gold=988000},{1=4688;7=1290;8=1290;9=646;10=646},,,,,,
45,,,,,,,4930,5,4930,5,2465,5,45,{142=200;gold=400000},{1=2398;7=660;8=660;9=330;10=330;13=11},{142=360;gold=720000},{1=4796;7=1320;8=1320;9=660;10=660;13=22},{142=520;gold=1040000},{1=4796;7=1320;8=1320;9=660;10=660},,,,,,
46,,,,,,,5010,5,5010,5,2505,5,46,{142=200;gold=400000},{1=2452;7=675;8=675;9=337;10=337;13=11},{142=360;gold=720000},{1=4904;7=1350;8=1350;9=674;10=674;13=22},{142=520;gold=1040000},{1=4904;7=1350;8=1350;9=674;10=674},,,,,,
47,,,,,,,5090,5,5090,5,2545,5,47,{142=210;gold=420000},{1=2506;7=690;8=690;9=345;10=345;13=11},{142=380;gold=756000},{1=5012;7=1380;8=1380;9=690;10=690;13=22},{142=545;gold=1092000},{1=5012;7=1380;8=1380;9=690;10=690},,,,,,
48,,,,,,,5170,5,5170,5,2585,5,48,{142=210;gold=420000},{1=2560;7=705;8=705;9=352;10=352;13=11},{142=380;gold=756000},{1=5120;7=1410;8=1410;9=704;10=704;13=22},{142=545;gold=1092000},{1=5120;7=1410;8=1410;9=704;10=704},,,,,,
49,,,,,,,5250,5,5250,5,2625,5,49,{142=220;gold=440000},{1=2614;7=719;8=719;9=360;10=360;13=11},{142=395;gold=792000},{1=5228;7=1438;8=1438;9=720;10=720;13=22},{142=570;gold=1144000},{1=5228;7=1438;8=1438;9=720;10=720},,,,,,
50,,,,,,,5330,5,5330,5,2665,5,50,{142=220;gold=440000},{1=2668;7=734;8=734;9=367;10=367;13=12},{142=395;gold=792000},{1=5336;7=1468;8=1468;9=734;10=734;13=24},{142=570;gold=1144000},{1=5336;7=1468;8=1468;9=734;10=734},,,,,,
51,,,,,,,5410,6,5410,6,2705,6,51,{142=230;gold=460000},{1=2728;7=751;8=751;9=375;10=375;13=12},{142=415;gold=828000},{1=5456;7=1502;8=1502;9=750;10=750;13=24},{142=600;gold=1196000},{1=5456;7=1502;8=1502;9=750;10=750},,,,,,
52,,,,,,,5490,6,5490,6,2745,6,52,{142=230;gold=460000},{1=2788;7=767;8=767;9=384;10=384;13=12},{142=415;gold=828000},{1=5576;7=1534;8=1534;9=768;10=768;13=24},{142=600;gold=1196000},{1=5576;7=1534;8=1534;9=768;10=768},,,,,,
53,,,,,,,5570,6,5570,6,2785,6,53,{142=240;gold=480000},{1=2848;7=784;8=784;9=392;10=392;13=12},{142=430;gold=864000},{1=5696;7=1568;8=1568;9=784;10=784;13=24},{142=625;gold=1248000},{1=5696;7=1568;8=1568;9=784;10=784},,,,,,
54,,,,,,,5650,6,5650,6,2825,6,54,{142=240;gold=480000},{1=2908;7=800;8=800;9=400;10=400;13=12},{142=430;gold=864000},{1=5816;7=1600;8=1600;9=800;10=800;13=24},{142=625;gold=1248000},{1=5816;7=1600;8=1600;9=800;10=800},,,,,,
55,,,,,,,5730,6,5730,6,2865,6,55,{142=250;gold=500000},{1=2968;7=817;8=817;9=408;10=408;13=13},{142=450;gold=900000},{1=5936;7=1634;8=1634;9=816;10=816;13=26},{142=650;gold=1300000},{1=5936;7=1634;8=1634;9=816;10=816},,,,,,
56,,,,,,,5810,6,5810,6,2905,6,56,{142=250;gold=500000},{1=3027;7=833;8=833;9=417;10=417;13=13},{142=450;gold=900000},{1=6054;7=1666;8=1666;9=834;10=834;13=26},{142=650;gold=1300000},{1=6054;7=1666;8=1666;9=834;10=834},,,,,,
57,,,,,,,5890,6,5890,6,2945,6,57,{142=260;gold=520000},{1=3087;7=850;8=850;9=425;10=425;13=13},{142=470;gold=936000},{1=6174;7=1700;8=1700;9=850;10=850;13=26},{142=675;gold=1352000},{1=6174;7=1700;8=1700;9=850;10=850},,,,,,
58,,,,,,,5970,6,5970,6,2985,6,58,{142=260;gold=520000},{1=3147;7=866;8=866;9=433;10=433;13=13},{142=470;gold=936000},{1=6294;7=1732;8=1732;9=866;10=866;13=26},{142=675;gold=1352000},{1=6294;7=1732;8=1732;9=866;10=866},,,,,,
59,,,,,,,6050,6,6050,6,3025,6,59,{142=270;gold=540000},{1=3207;7=883;8=883;9=441;10=441;13=13},{142=485;gold=972000},{1=6414;7=1766;8=1766;9=882;10=882;13=26},{142=700;gold=1404000},{1=6414;7=1766;8=1766;9=882;10=882},,,,,,
60,,,,,,,6140,6,6140,6,3070,6,60,{142=270;gold=540000},{1=3267;7=899;8=899;9=450;10=450;13=14},{142=485;gold=972000},{1=6534;7=1798;8=1798;9=900;10=900;13=28},{142=700;gold=1404000},{1=6534;7=1798;8=1798;9=900;10=900},,,,,,
