变量名,stage,stageFactor,stageFightPoint,stageName,materialCostNum,sequenceID,costMap,attrMap,stageAttrFactor
202,2,0.2,1500,Green,120,3,{501=4;502=6;gold=2250000},{1=167;7=46;8=46;9=22;10=22;13=1},{1=2%;7=2%;8=2%;9=2%;10=2%;13=2%}
203,3,0.25,4000,Blue,160,3,{501=5;502=8;gold=3000000},{1=388;7=107;8=107;9=53;10=53;13=2},{1=4%;7=4%;8=4%;9=4%;10=4%;13=4%}
204,4,0.3,5500,Purple,200,3,{501=5;502=8;gold=3750000},{1=638;7=175;8=175;9=87;10=87;13=3},{1=6%;7=6%;8=6%;9=6%;10=6%;13=6%}
205,5,0.35,8000,Orange,240,3,{501=6;502=9;gold=4500000},{1=916;7=252;8=252;9=126;10=126;13=5},{1=8%;7=8%;8=8%;9=8%;10=8%;13=8%}
206,6,0.4,10500,Orange+1,280,3,{501=7;502=11;gold=5250000},{1=1222;7=337;8=337;9=168;10=168;13=6},{1=10%;7=10%;8=10%;9=10%;10=10%;13=10%}
207,7,0.45,13500,Red,320,3,{501=8;502=12;gold=6000000},{1=1568;7=432;8=432;9=215;10=215;13=7},{1=12%;7=12%;8=12%;9=12%;10=12%;13=12%}
208,8,0.5,16000,Red+1,400,3,{501=9;502=13;gold=6750000},{1=1942;7=534;8=534;9=267;10=267;13=9},{1=14%;7=14%;8=14%;9=14%;10=14%;13=14%}
209,9,0.55,18500,Red+2,480,3,{501=10;502=14;gold=7500000},{1=2345;7=646;8=646;9=322;10=322;13=10},{1=16%;7=16%;8=16%;9=16%;10=16%;13=16%}
210,10,0.6,21000,Red+3,560,3,{501=11;502=15;gold=8250000},{1=2777;7=764;8=764;9=382;10=382;13=11},{1=18%;7=18%;8=18%;9=18%;10=18%;13=18%}
211,11,0.65,23500,Red+4,,3,,{1=3237;7=891;8=891;9=445;10=445;13=13},{1=20%;7=20%;8=20%;9=20%;10=20%;13=20%}
