±äÁ¿Ãû,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
9,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,6,,7,9%,8,9%,,
10,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,6,66005,,,,,,
11,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,2,,7,3%,8,3%,,
12,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,2,66006,,,,,,
13,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,3,,7,4%,8,4%,,
14,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,3,66007,,,,,,
15,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,4,,7,5%,8,5%,,
16,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,4,66008,,,,,,
17,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,5,,7,6%,8,6%,,
18,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,5,66009,,,,,,
19,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,6,,7,9%,8,9%,,
20,2,ÍÜ´Ì?,ÍÜ´Ì?,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,6,66010,,,,,,
21,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,2,,7,3%,8,3%,,
22,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,2,66011,,,,,,
23,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,3,,7,4%,8,4%,,
24,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,3,66012,,,,,,
25,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,4,,7,5%,8,5%,,
26,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,4,66013,,,,,,
27,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,5,,7,6%,8,6%,,
28,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,5,66014,,,,,,
29,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,6,,7,9%,8,9%,,
30,3,ÀÇÐÐÕß,ÀÇÐÐÕß,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,6,66015,,,,,,
31,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,2,,1,4%,,,,
32,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,2,66016,,,,,,
33,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,3,,1,5%,,,,
34,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,3,66017,,,,,,
35,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,4,,1,6.50%,,,,
36,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,4,66018,,,,,,
37,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,5,,1,8%,,,,
38,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,5,66019,,,,,,
39,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,2,6,,1,12%,,,,
40,4,¹ê¼×,ý”¼×,Tortoise Shell,404,404,config/chip/suit/img_fy_1_00.png,4,6,66020,,,,,,
41,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,2,,1,4%,,,,
42,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,2,66021,,,,,,
43,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,3,,1,5%,,,,
44,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,3,66022,,,,,,
45,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,4,,1,6.50%,,,,
46,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,4,66023,,,,,,
47,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,5,,1,8%,,,,
48,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,5,66024,,,,,,
49,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,2,6,,1,12%,,,,
50,5,È­¶Ü,È­¶Ü,Fist shield,404,404,config/chip/suit/img_fy_2_00.png,4,6,66025,,,,,,
51,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,2,,1,4%,,,,
52,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,2,66026,,,,,,
53,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,3,,1,5%,,,,
54,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,3,66027,,,,,,
55,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,4,,1,6.50%,,,,
56,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,4,66028,,,,,,
57,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,5,,1,8%,,,,
58,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,5,66029,,,,,,
59,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,2,6,,1,12%,,,,
60,6,ÉßÁé,Éßì`,Snake Soul,404,404,config/chip/suit/img_fy_3_00.png,4,6,66030,,,,,,
61,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,2,,1,3%,7,2%,8,2%
62,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,2,66031,,,,,,
63,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,3,,1,4%,7,3%,8,3%
64,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,3,66032,,,,,,
65,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,4,,1,5%,7,4%,8,4%
66,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,4,66033,,,,,,
67,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,5,,1,7.50%,7,5%,8,5%
68,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,5,66034,,,,,,
69,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,2,6,,1,9%,7,6%,8,6%
70,7,³¬ÄÜ,³¬ÄÜ,Psychic,404,404,config/chip/suit/img_kz_1_00.png,4,6,66035,,,,,,
71,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,2,,1,3%,7,2%,8,2%
72,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,2,66036,,,,,,
73,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,3,,1,4%,7,3%,8,3%
74,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,3,66037,,,,,,
75,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,4,,1,5%,7,4%,8,4%
76,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,4,66038,,,,,,
77,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,5,,1,7.50%,7,5%,8,5%
78,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,5,66039,,,,,,
79,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,2,6,,1,9%,7,6%,8,6%
80,8,¿Ö¾å,¿Ö‘Ö,Fear,404,404,config/chip/suit/img_kz_2_00.png,4,6,66040,,,,,,
81,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,2,,1,3%,7,2%,8,2%
82,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,2,66041,,,,,,
83,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,3,,1,4%,7,3%,8,3%
84,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,3,66042,,,,,,
85,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,4,,1,5%,7,4%,8,4%
86,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,4,66043,,,,,,
87,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,5,,1,7.50%,7,5%,8,5%
88,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,5,66044,,,,,,
89,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,2,6,,1,9%,7,6%,8,6%
90,9,Ï×¼À,«I¼À,Sacrifice,404,404,config/chip/suit/img_kz_3_00.png,4,6,66045,,,,,,
