变量名,title,order,activeNumber,regainNumber,activeWeight,weight,chapter,desc,award
默认值,"""""",1,100,20,100,100,1,"""""",{}
13,哑声祭典,,0,0,0,0,3,一路平稳航行，很快泊入下一处探索地—彩陶岛。船只停靠在红岩港，皮卡丘正准备跳上岸打探情况，就被一群哭泣的黏黏宝团团围住，软乎乎的身子蹭得它浑身发痒。\n跟着黏黏宝来到岛屿中心的祭坛，只见一只缠着绷带的腕力，正紧紧抱着一个裂开的陶鼓胚，声音带着哭腔：“火山窑突然就冷却了…… 这是最后一个鼓胚了啊……”\n骤然乌云密布，整个祭坛看起来格外压抑。岛屿的长老拄着拐杖，颤巍巍地指向祭坛墙壁上的古老壁画，叹息着说：“百年前，就是因为没能完成陶鼓祭，才引发了吞没半座岛的海啸，如今怕是又要再现了。”,{135=100;gold=100000}
14,岩釉之谜,,0,0,0,0,3,皮卡丘看着大家焦急的模样，决定帮忙解决难题。它跟着黏美儿潜入了岛上的温暖干燥的火山窑洞，岩壁上挂满了历代传承下来的陶鼓，其中最古早的那面鼓身流淌着熔岩，透着一股神秘的气息。\n“想要让陶鼓拥有守护力量，只有用活火山的釉彩，才能画出真正的守护波纹。” 黏美儿用触角轻轻抚过古老鼓面，话音刚落，鼓身上的暗红釉彩泛出金光 \n是皮卡丘靠近时，身上散发的静电激活了鼓面里的特殊矿物！,{135=100;gold=100000}
15,电窑星纹,,0,0,0,0,3,找到关键办法后，皮卡丘立刻召集船员，一起在窑洞外垒砌陶土窑。它将尾巴尖插入柔软的黏土中，缓缓释放电流，借助电气力量助力陶窑升温。\n随着电流不断输入，窑内温度飞速飙升，很快达到白炽状态，窑中的鼓胚在电光映照下，渐渐透出晶蓝色的脉络。\n黏美儿看着这一幕，惊喜地喊道：“以前祖先都是用火来淬鼓，没想到也可以用雷电之力！” 等到开窑的瞬间，所有人眼前一亮，鼓身上布满了银河般的釉裂。,{135=100;gold=100000}
16,浪釉共舞,,0,0,0,0,3,眼看祭坛上空的乌云越来越沉，黏美儿犯难不知该如何把握釉彩泼洒的节奏。\n皮卡丘跃上 “破浪号” 的桅杆，尾巴用力一甩，引下几道细小的闪电，发出清脆的雷鸣。船上的吼爆弹们立刻心领神会，跟着雷声的节奏，用厚重的脚掌踏击甲板，模拟出惊涛拍岸的声响。\n黏美儿随着这律动的声波翩翩起舞，手中的金釉也跟着节奏泼溅而出，在布满星纹的鼓面上，勾勒出一个完美的螺旋 ，形状恰似台风眼中最平静的模样，充满了守护的力量。,{135=100;gold=100000}
17,陶鼓镇海,,0,0,0,0,3,当祭典的鼓声响彻整个海湾时，天空中那片压抑的乌云也正缓缓向港口压来。\n黏美儿深吸一口气，奏响了陶鼓的最终乐章。神奇的一幕发生了，陶鼓竟自行发出悠扬的声响，声波化作一道道金色涟漪，朝着乌云蔓延而去。\n原本厚重的乌云，像是被某种神秘力量轻轻推散，消散在天际，阳光重新洒向大地，温润的雾气在岛屿上空弥漫，一道绚丽的彩虹，稳稳地挂在曾经乌云聚集的地方。,{135=100;gold=100000}
18,安定碎鼓,,0,0,0,0,3,离港的时候，之前抱着裂鼓胚哭泣的老腕力，特意敲下了新陶鼓边缘的一小块碎片，递给皮卡丘：“这碎片带着陶鼓的守护力量，让它替陶鼓守护勇敢的你们吧。”\n 皮卡丘小心翼翼地收下陶片，将它贴在 “破浪号” 的船舷上。\n在之后的航行中，每当夜幕降临，船舷上的陶片就会自动发出轻柔的嗡鸣，那声音像极了彩陶岛的陶鼓韵律，温和又治愈。。\n船员们常常伴着这声音入眠，睡得格外安稳，也为 “破浪号” 的航程增添了不少浪漫与安心。,{135=100;gold=100000}
19,骤雨迷航,,0,0,0,0,4,“破浪号”朝着下一个探索地七岛海域驶去。暮色铺满海面，原本平静得像块蓝绸的海水，骤然天气突变。狂风划破平静的海面，掀起墨黑色的巨浪冲向船身；\n一道闪电撕裂天际，短短一瞬，照亮了前方海面狰狞的漩涡，水流疯狂旋转，像仿佛是要把一切都吞进去。\n“破浪号” 的船身不堪重负，开始剧烈倾斜。皮卡丘死死抓住栏杆，爪子都快嵌进木头里，可还没等它站稳，一个滔天巨浪再次拍下，冰冷又咸涩的海水瞬间涌来，吞没了它所有的感官，陷入了无边的黑暗中。,{135=100;gold=100000}
20,深渊微光,,0,0,0,0,4,窒息般的压力和无边的黑暗，紧紧包裹着皮卡丘。就在它的意识快要被冰冷海水彻底吞噬时，一点柔和的金色光晕，在下方幽幽亮起，好似点点星芒。\n光晕轻轻巧巧地靠近，一条灯笼鱼出现在皮卡丘模糊的视野里。\n它额鳍发着光，望着皮卡丘，眼睛里满是担忧，额前的光球还特意散发出更明亮的暖光，像是在给它打气。灯笼鱼灵巧地绕着下沉的皮卡丘游动，用身体努力顶着下沉的皮卡丘，那一点微光，成了这绝望深渊里唯一的希望浮标。,{135=100;gold=100000}
21,搁浅,,0,0,0,0,4,在灯笼鱼坚持不懈的托举下，皮卡丘终于挣扎着浮出了海面，又被后续涌来的海浪推着，摔在了一片陌生的礁石滩上。\n它趴在礁石上剧烈地咳嗽，吐出苦涩的海水，浑身都在发抖。还没从惊魂未定中缓过劲，一阵微弱又痛苦的呜咽声，顺着风传入了它的耳朵。\n皮卡丘撑起身子循声望去，不远处，一只体型巨大的拉普拉斯，被汹涌的潮水死死卡在了嶙峋的礁石缝隙里！\n它的身体上布满了刮痕，每一次的挣扎都会发出痛苦的低鸣，那双眼睛里充满了无助和绝望。,{135=100;gold=100000}
22,涟漪,,0,0,0,0,4,皮卡丘顾不上自己的虚弱，立刻冲进冰冷的海水里，朝着受困的拉普拉斯跑去。\n冰冷的海水，锋利的礁石，摧残着皮卡丘弱小的身躯。它试着用身体去推挤卡住拉普拉斯的庞大礁石，可礁石纹丝不动。\n它焦急地对着茫茫大海呼喊，声音却在风浪里显得格外微弱，很快就被吹散了。突然水面上浮出光点，灯笼鱼小小的脑袋从水里探了出来，额上的光一闪一闪的，像是在跟它打招呼。\n它似乎一下子明白了皮卡丘的意图，迅速转身潜入了深海。,{135=100;gold=100000}
23,众鳍,,0,0,0,0,4,就在皮卡丘快要被焦虑淹没的时候，海面下亮起了一片星星点点的光芒！灯笼鱼回来了！身后还跟着一群形态各异的海洋伙伴 ，几只玛力露在水面上快速穿梭，强壮的巨牙鲨用背鳍破开波浪，甚至还有几只宝石海星，旋转着靠近。\n不用多说一句话，灯笼鱼额上的光急促地闪烁着，像是在给大家分配任务。巨牙鲨立刻游到礁石旁，用坚硬的头颅猛地撞击卡住拉普拉斯的礁石；玛力露们纷纷潜入水下，用小小的身体顶住拉普拉斯的腹部，帮它减轻压力；皮卡丘也用尽全身力气，在礁石上使劲推着拉普拉斯侧鳍。,{135=100;gold=100000}
24,归途,,0,0,0,0,4,一声脆响，顽固的礁石在巨牙鲨的撞击下，终于裂开了一道缝，接着彻底碎裂！\n拉普拉斯发出一声解脱般的长鸣，庞大的身躯在众宝可梦齐心协力的托举下，借着涌来的潮势，终于划进大海！\n它游到皮卡丘身边，感激地用鼻子轻轻触碰它的脸颊，又温柔地蹭了蹭灯笼鱼和其他伙伴。\n夕阳的金辉洒满海面，皮卡丘坐在拉普拉斯宽阔的背上，身边围绕着欢快游动的玛力露、灯笼鱼，连刚才还显得很凶猛的巨牙鲨，也温顺地游弋在一旁。风浪早已平息，海面上只荡漾着温暖的友谊，和带着大家朝着归航方向蔓延的涟漪。?,{135=100;gold=100000}
25,甜蜜陷阱,,0,0,0,0,5,皮卡丘和船员们把 “破浪号” 停靠在一座陌生岛屿，刚下船准备探索，一只巴大蝶从头顶飞过，它的翅膀在阳光映照下显现异色。皮卡丘追了上去，不知不觉跟着巴大蝶钻进了丰饶森林的腹地，等反应过来时，身边早已没了船员们的身影。\n一阵浓郁的甜香顺着风飘来，皮卡丘脚步不由自主地跟着香味往前挪。\n绕过几棵挂满桃桃果的大树，眼前忽然变得开阔，一片缓坡上，竟堆着好几座树果小山！皮卡丘飞奔下坡，抱起一颗最大的文柚果刚要啃，头顶的树冠突然剧烈摇晃，无数双狡黠的眼睛在枝叶间凝视下来。,{135=100;gold=100000}
26,树冠囚徒,,0,0,0,0,5,几十只猴怪从四面八方荡着藤蔓扑下来，瞬间把皮卡丘围得严严实实。\n猴怪动作很敏捷，皮卡丘仓促间放出的电击，全被它们轻巧地跳着躲开。几只壮实的猴怪不由分说，用藤蔓把皮卡丘捆住，像扛战利品似的，把它和一堆树果一起抬起来，朝着森林深处陡峭的山丘跑去。,{135=100;gold=100000}
27,丘顶秘窟,,0,0,0,0,5,猴怪们扛着挣扎的皮卡丘，敏捷地攀上几乎垂直的岩壁，钻进了一个藏在巨大藤蔓后的山洞。\n一进洞，里面竟是个宽敞的天然石窟！石窟中央，一只体型庞大的过动猿正懒洋洋地躺着，眼神里带着几分憨傻。猴怪们恭恭敬敬地把树果 “贡品” 堆在过动猿脚边，又把捆着的皮卡丘推到最前面。\n过动猿打了个哈欠，抬起巨大的手掌随意拨弄了一下皮卡丘，看样子，是对这个 “新奇玩具” 生出了点兴趣。,{135=100;gold=100000}
28,岩壁微光,,0,0,0,0,5,被丢在石窟角落的皮卡丘，沮丧地蹭着捆住自己的藤蔓。洞里光线昏暗，只有高处岩缝透进几缕微光。\n忽然，它瞥见对面的岩壁上，有东西在反光，粗糙的岩石表面凝结着许多细小的金色结晶，闪着微弱的光。\n靠近地面的岩壁裂缝里，几根断了的电线露在外面，电线外面的绝缘皮都老化了，一直延伸到洞穴深处—这里好像曾经有人类建设的痕迹，还留下了设施！,{135=100;gold=100000}
29,雷霆引线,,0,0,0,0,5,突然，一个大胆的念头迸发。皮卡丘故意低垂着脑袋，装作没力气的样子，一点点挪动被捆住的身体，艰难地蹭到裸露的电线旁。\n趁着猴怪们围着过动猿抢树果、打闹的间隙，皮卡丘猛地把脸颊的电气囊紧紧贴在电线末端，积蓄已久的十万伏特全力爆发，耀眼的金色电蛇顺着电线窜出去，钻进洞穴深处！,{135=100;gold=100000}
30,飞毯奇遁,,0,0,0,0,5,洞穴深处传来一声沉闷的爆响！紧接着，整个石窟剧烈震动起来，不断有碎石坠落，墙壁上的金色结晶突然发出刺眼的强光！\n猴怪和过动猿被这突如其来的变故和强光吓得尖叫起来，乱作一团，本能地朝着洞口逃去。混乱中，皮卡丘感觉身下剧烈震动，身下类苔藓的东西，竟在一阵奇怪的嗡鸣声中，载着它慢慢飘了起来！\n这是块靠微弱电流驱动的古老悬浮平台！皮卡丘乘着这意外的 “飞毯”，在猴怪们目瞪口呆的注视下飞出洞口，朝着山下的光亮滑翔而去。,{135=100;gold=100000}
40,孤独等待,,0,0,0,0,6,小智，小霞，小刚在还没走出森林时遇到了新的状况，不知为何此地竟有一只落单的小火龙，独自守在一块岩石上。\n通过小刚的观察才知道，小火龙的身体已经非常虚弱了，如果尾巴上的火焰熄灭，它的生命也将走到尽头。\n于是小智拿出精灵球打算将其收服再带去治疗，可精灵球完全不管用，小火龙抗拒被收服。,{135=100;gold=100000}
41,暴雨将至,,0,0,0,0,6,通过皮卡丘和它对话才得知，小火龙是有主人的，因为主人下了命令让它等自己回来，所以小火龙才死守在此。\n三人听了这个消息只好继续前行，不多时便来到野外的宝可梦中心，与此同时一场暴风雨也如期而至，这场暴雨对于独自守候的小火龙来说更是雪上加霜。\n现在小火龙尾巴上的火焰已经快熄灭了。,{135=100;gold=100000}
42,遗弃,,0,0,0,0,6,小智等人在宝可梦中心，正准备用餐，邻桌的年轻训练家们的对话引起了他们的注意。\n小火龙正是这一伙人中领头者的宝可梦，因嫌弃小火龙实力太弱，所以欺骗它让它在原地等候。\n小智等人听到后立刻与领头者爆发矛盾，关键时刻乔伊小姐的出现平息了这次对峙，于是三人披上雨衣前去搭救小火龙。,{135=100;gold=100000}
43,危难救援,,0,0,0,0,6,小火龙已是危在旦夕，虚弱的身体硬抗着烈雀群的袭击，见此小智让皮卡丘前去解围，自己则和小刚抱着小火龙的身体，保护尾巴上的火焰，送到了宝可梦中心。\n在乔伊小姐的救助下，小火龙转危为安。\n即便如此，刚有好转的小火龙还是打算回到岩石上等待主人。\n小智一行人对此也只能表示无奈并准备继续出发。,{135=100;gold=100000}
44,潜能回馈,,0,0,0,0,6,三人刚准备动身时，就踩中了火箭队本要抓皮卡丘的陷阱，火箭队穿着一身绝缘装备成功捕捉在陷阱外的皮卡丘。\n小火龙见恩人陷入危机，立刻上前要求他们放开皮卡丘，火箭队完全无视它的警告准备逃走，小火龙使用威力巨大的喷射火焰瞬间击退火箭队。\n同一时间抛弃小火龙的领头者折返回来，看到小火龙变强试图将其收回。,{135=100;gold=100000}
45,真诚跟随,,0,0,0,0,6,领头者承认了自己当初抛弃小火龙这件事，并抛出精灵球，小火龙看破了原主人的虚伪，使用甩尾将飞来的精灵球打回原主人的脸上。\n气急败坏的领导者准备投掷更多的精灵球，但被小火龙的喷射火焰击退，皮卡丘见状又补上十万伏特攻击原主人。\n最终原主人被击退逃走，小火龙恢复了自由，并被小智的真心打动，愿意一同冒险继续修行。,{135=100;gold=100000}
50,守护,,0,0,0,0,7,幼年的卡拉卡拉在森林里玩耍，被宝可梦猎人发现，狩猎者想要捕捉卡拉卡拉卖掉，于是他们的追逐战开始了。\n卡拉卡拉跑到森林深处，前路被一块巨石拦住无法翻越，就在它走投无路时，一道身影从宝可梦猎人的身侧出现并将对方撞飞出去。\n是卡拉卡拉的母亲嘎啦嘎啦，母亲让卡拉卡拉先跑，而自己留下来应对宝可梦猎人。,{135=100;gold=100000}
51,牺牲,,0,0,0,0,7,当可拉可拉跑出一段距离后回头看，缺是让它这辈子都无法忘记的画面…嘎啦嘎啦为了保护它的孩子，被宝可梦猎人猎杀。\n与这对母子相熟的老爷爷找到了失魂落魄的可拉可拉并抱起了它，此刻崩溃的情绪才完全释放，紧握着老爷爷的衣服伤心痛哭。\n从此它总是对除了老爷爷外的人保持着警惕。,{135=100;gold=100000}
52,哀鸣,,0,0,0,0,7,一位少年来探望在收容所的可拉可拉时，听了它的遭遇并深感愤怒。\n同时带来了消息，说是幽灵塔内近期晚上都会传出凄厉的叫声，可能有幽灵出没，很多宝可梦猎人都被袭击，在塔附近的收容所需要注意安全。\n同一天的晚上，卡拉卡拉好像感应到了什么，拼命地打破了收容所的门跑了出去，收容所的少女也紧随其后跟了出去。,{135=100;gold=100000}
53,永别,,0,0,0,0,7,它跑到了幽灵塔内，随即竟看到了已经变为幽灵的母亲，她的母亲正在攻击之前猎杀她的宝可梦猎人。\n可拉可拉跑了上去抱住了已是幽灵的母亲，互相紧紧相拥，而母亲嘎啦嘎啦见到眼前的可拉可拉，确保它牵挂的孩子平安无事，她终于放心了~\n她缓缓放开卡拉卡拉，并飞向了高空，在其孩子的目送下她去了原本该去的地方，而卡拉卡拉则是挥舞手中的骨头为其送行。,{135=100;gold=100000}
54,复仇,,0,0,0,0,7,卡拉卡拉想要找这些宝可梦猎人报仇，但被追随而来的少女拦下。\n之前在收容所愤怒的少年上前与猎人们对战，对战途中少年的宝可梦被对方的毒气攻击困扰。\n关键时刻可拉可拉丢出手中的棒骨划破了毒气，为少年解除了危机。\n摆脱毒气的少年指挥宝可梦成功击败了猎人。猎人见不敌直接逃走了。,{135=100;gold=100000}
55,成长,,0,0,0,0,7,敌人逃走后，少女表扬着可拉可拉的救助。\n她带着可拉可拉走出了塔，可拉可拉看到了天边正在对自己微笑的嘎啦嘎啦幻影，是一份勇气的认可，也是一份成长的欣慰，幻影随着可拉可拉最后一滴泪的落下而消散。\n经此一事它也解开了自己的心结，变得开朗起来，不再抗拒其他人。\n它走到少年面前，挥舞着棒骨在表达着自己的感谢。送别少年后，卡拉卡拉继续和少女一起生活下去。,{135=100;gold=100000}
60,初识,,0,0,0,0,8,小智与小霞在森林里前进，突然小霞被一只绿色的毛毛虫吓到，要求小智收服它，小智急忙的拿出精灵球扔了过去，绿毛虫没有挣扎，轻松的被小智收服。\n成功收服绿毛虫后，小智拿着精灵球疯狂向小霞炫耀，这是小智第一次成功收服宝可梦，但相比于小智，绿毛虫更喜欢小霞，从精灵球出来后，贴在小霞的腿上。\n但小霞不喜欢虫系宝可梦，十分抗拒。当晚皮卡丘和绿毛虫畅谈，绿毛虫下定决心要快速变强，进化成巴大蝶，不让小霞再讨厌它。,{135=100;gold=100000}
61,重创,,0,0,0,0,8,第二天小霞醒来，看到绿毛虫就在自己身边。\n立刻害怕的大叫起来，无意识的说了很多绿毛虫的坏话，伤害到了绿毛虫的感情，小智只能追随着绿毛虫并安慰。\n此时一只比比鸟路过，小智居然派出绿毛虫出站，物种上的天生压制导致绿毛虫被比比鸟重创，幸好皮卡丘及时救场，才免着被比比鸟吃掉。,{135=100;gold=100000}
62,结蛹,,0,0,0,0,8,事后小霞狠狠地教训了小智，她只是讨厌虫系，但是没有想要伤害他们的想法。\n就在小霞数落小智的时候，火箭队出现，准备抢夺皮卡丘，身负重伤的绿毛虫迎战，使用吐丝和撞击击退了火箭队。\n当小霞因为绿毛虫的英勇表现想要尝试抚摸它时，绿毛虫吐出丝线，将自己缠绕，进化成了铁甲蛹。\n小霞还是无法接受虫系宝可梦，这次英勇的抚摸还是没有下得了手。,{135=100;gold=100000}
63,蜂群突袭,,0,0,0,0,8,在前往深灰市的途中，一位武士少年想要和小智来一场宝可梦对战，小智派出铁甲蛹应对少年的凯罗斯，尽管铁甲蛹没用攻击技能，但靠着变硬的反伤成功击败凯罗斯。\n武士少年也派出铁甲蛹出场作战，两只铁甲蛹一直在使用变硬耗了几个小时，直到一群大针蜂袭击他们才打断了这场变硬比赛。\n混乱中大针蜂抓走了小智的铁甲蛹，小智想要救被抓走的铁甲蛹，但大针蜂群蜂多势众，小智只好先丢下铁甲蛹逃跑。,{135=100;gold=100000}
64,破蛹成蝶,,0,0,0,0,8,事后自责的小智前往大针蜂的领地尝试救出铁甲蛹，但火箭队突然出现把熟睡的大针蜂吵醒，面对大针蜂群，小智鼓起勇气冲进大针蜂领地就出了铁甲蛹。\n但铁甲蛹似乎因被小智丢下而不高兴，小智连忙道歉并向铁甲蛹解释，还表示再也不会丢下同伴自己逃跑了。\n突然一只大针蜂偷袭小智，铁甲蛹奋身跃起，用身体挡住了大针蜂的攻击，蛹身被划出一道缺口，就在小智担心时，铁甲蛹破茧成蝶，进化成了巴大蝶。\n巴大蝶对大针蜂群使用了催眠粉，因此小智一行人逃过了一劫。,{135=100;gold=100000}
65,挥泪送别,,0,0,0,0,8,在后续的冒险中，小智与巴大蝶的羁绊逐渐深厚。\n冒险到一处巴大蝶群的位置，才得知现在是巴大蝶求偶的季节，它对一只粉色的巴大蝶产生了爱意，但粉色巴大蝶并不接受，小智一行人尽力安慰鼓励它，并给它系上一条黄色围巾。\n它再次尝试，但依旧失败，这时火箭队捕捉了巴大蝶群，只有小智的巴大蝶逃过一劫，为了爱情它与火箭队交战，换来了粉色巴大蝶的好感。\n最后在夕阳下，小智成全了这一对，含泪送走了巴大蝶。,{135=100;gold=100000}
70,古老传说,,0,0,0,0,9,故事要从百年前说起，那是一个没有精灵球的时代，路卡利欧用着波导之力扫描大地，察觉到一场战争即将爆发。\n路卡利欧告知到他的人类伙伴亚朗，想要一起阻止这场战斗，但它却被亚朗封印在勇者之杖里，亚朗让梦幻和创世之树发出力量，平息了战争，后人都称他为波导的勇者，可封印路卡利欧依旧是个未解之谜。,{135=100;gold=100000}
71,对战庆典,,0,0,0,0,9,小智一行人来到了欧鲁德朗城，参加为了赞颂亚朗而举行的宝可梦庆典，几人换上了古老的服装，在艾琳女王的主持下，对战开始。\n小智过关斩将来到了决赛，在与琪朵的冠军之战中获胜，最终小智被封上波导的勇者称号。小智拿着勇者之杖，在祭典时化身勇者参与。\n小智仿佛在手中的勇者之杖中听到了一个声音，以为是错觉并没有在意，放出宝可梦一起享受宴会。喵喵混入其中，偶然发现了琪朵也是身为火箭队的秘密，喵喵紧跟着琪朵，但因为失足掉入了阁楼中，正好偶遇了正在和梦幻玩耍的小智一众宝可梦，这一幕也刚好被琪朵看到并派出自己的宝可梦攻击。\n梦幻见皮卡丘不敌，带着皮卡丘和喵喵使用瞬间移动成功脱逃。,{135=100;gold=100000}
72,创世之树,,0,0,0,0,9,小智又一次听到了手杖中的声音，刚摆出勇者的造型，勇者之杖中封印的路卡利欧也冲了出来。\n通过波导感应错将小智认成亚朗，心怀怨念的睁开眼，发现眼前人并不是亚朗，一切都物是人非。艾琳告诉路卡利欧，当时战争骤起，是亚朗平息了战争，但路卡利欧所知的和传说不一样，说亚朗临阵脱逃，并与有着和亚朗一样的波导能量的小智闹了矛盾。\n突然小胜跑来，说梦幻把皮卡丘和喵喵带走了，为了找回皮卡丘，小智决定前往创世之树，琪朵也要一并随行，她的目的是为了揭开创世之树的秘密才特地来此，于是路卡利欧使用波导能量，带着小智一行人前往创世之树。,{135=100;gold=100000}
