变量名,backGround,type,point,deployNum,deployCardNumLimit,deployType,teamMininum,weight,fightC,deployNatureLimit,monsters,monsters2,monsters3,monsters4,winResult,winAward,failResult,failAward,skipBattleResult,skipBattleAward,battleFlag
10015,,8,,,1,2,,50,0.07,,<3511;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10016,,8,,,1,2,,50,0.07,,<13;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10017,,8,,,1,2,,50,0.07,,<23;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10018,,8,,,1,2,,50,0.07,,<3;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10019,,8,,,1,2,,50,0.07,,<2483;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10020,,8,,,1,2,,50,0.07,,<1481;0;0;0;0;0>,,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10021,,8,,,,3,3,50,0.45,,<1;2;3;0;0;0>,<11;12;13;0;0;0>,<21;22;23;0;0;0>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10022,,8,,,,3,3,50,0.6,,<91;0;91;91;0;91>,<92;0;92;92;0;92>,<93;0;93;93;0;93>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10023,,8,,,,3,3,50,0.45,,<271;0;271;0;271;0>,<272;0;272;0;272;0>,<273;0;273;0;273;0>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10024,,8,,,,3,3,50,0.45,,<301;301;301;0;0;0>,<302;302;302;0;0;0>,<303;303;303;0;0;0>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10025,,8,,,,3,3,50,0.45,,<0;462;0;462;0;462>,<0;463;0;463;0;463>,<0;464;0;464;0;464>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10026,,8,,,,3,3,50,0.6,,<0;2924;0;1862;2302;2873>,<1862;0;1352;0;3472;692>,<2923;801;221;0;1351;0>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10027,,8,,,,3,3,50,0.6,,<462;0;3283;0;3283;3293>,<1612;3511;792;0;0;12>,<462;3291;0;0;1611;232>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10028,,8,,,,3,3,50,0.6,,<2302;0;372;781;3282;0>,<781;2011;0;2013;0;123>,<0;2271;783;0;3283;171>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10029,,8,,,,3,3,50,0.6,,<123;0;2592;0;113;2013>,<101;101;2963;0;0;2013>,<2612;2611;113;0;302;0>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10030,,8,,,,3,3,50,0.6,,<482;81;3561;0;0;123>,<82;0;282;0;122;172>,<1801;0;192;371;0;41>,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10031,,8,,2,,4,3,50,0.7,,<1861;0;1861;1862;1863;1862>,<2011;0;2011;2012;2013;2012>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10032,,8,,2,,4,3,50,0.56,,<2611;0;2611;2612;0;2612>,<2831;0;2831;2832;0;2832>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10033,,8,,2,,4,3,50,0.84,,<231;231;231;232;232;232>,<351;351;351;352;352;352>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10034,,8,,2,,4,3,50,0.56,,<191;191;0;192;0;192>,<371;0;371;0;372;372>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10035,,8,,2,,4,3,50,0.42,,<471;471;471;0;0;0>,<472;472;472;0;0;0>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10036,,8,,2,,4,3,50,0.56,,<0;1351;1853;0;2924;802>,<1861;0;0;2873;2301;222>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10037,,8,,2,,4,3,50,0.56,,<0;0;2302;221;2922;1862>,<0;2871;0;2302;552;2922>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10038,,8,,2,,4,3,50,0.56,,<3291;1511;0;0;12;791>,<3293;0;11;0;232;792>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10039,,8,,2,,4,3,50,0.56,,<3283;273;2633;0;0;1511>,<0;462;2483;793;0;3342>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
10040,,8,,2,,4,3,50,0.56,,<112;121;0;0;782;41>,<0;171;3281;44;1853;0>,,,{coin=100;points=200},,{coin=40;points=80},,{coin=50;points=100},,
20001,,9,,,,,4,50,0.6,,<251;252;251;253;252;254>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20002,,9,,,,,4,50,0.6,,<321;263;552;411;771;561>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20003,,9,,,,,4,50,0.6,,<241;741;241;2023;603;1303>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20004,,9,,,,,4,50,0.6,,<442;4183;442;2473;1293;3181>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20005,,9,,,,,4,50,0.6,,<333;332;333;2963;2962;2963>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20006,,9,,,,,4,50,0.6,,<1081;803;2031;221;2132;3012>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20007,,9,,,,,4,50,0.6,,<3472;3772;1082;2873;3302;3501>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20008,,9,,,,,4,50,0.6,,<272;12;3293;3152;2023;741>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20009,,9,,,,,4,50,0.6,,<242;253;2481;3152;793;3673>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20010,,9,,,,,4,50,0.6,,<162;2271;161;283;3282;163>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20011,,9,,,1,2,,50,0.12,,<393;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20012,,9,,,1,2,,50,0.12,,<493;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20013,,9,,,1,2,,50,0.12,,<992;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20014,,9,,,1,2,,50,0.12,,<1393;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20015,,9,,,1,2,,50,0.12,,<1423;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20016,,9,,,1,2,,50,0.12,,<264;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20017,,9,,,1,2,,50,0.12,,<323;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20018,,9,,,1,2,,50,0.12,,<771;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20019,,9,,,1,2,,50,0.12,,<972;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20020,,9,,,1,2,,50,0.12,,<4081;0;0;0;0;0>,,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20021,,9,,,,3,4,50,0.72,,<1911;0;1911;0;1911;0>,<1921;1921;1921;0;0;0>,<0;1931;0;1931;0;1931>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20022,,9,,,,3,4,50,0.64,,<323;382;323;0;0;0>,<0;1772;0;0;3683;0>,<3772;2033;2493;0;0;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20023,,9,,,,3,4,50,0.64,,<0;641;0;3303;0;3303>,<4561;0;3251;0;4203;0>,<0;1314;0;0;632;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20024,,9,,,,3,4,50,0.72,,<721;721;721;0;0;0>,<3021;0;3021;0;4661;0>,<1082;0;1082;0;2303;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20025,,9,,,,3,4,50,0.64,,<0;4013;0;0;3663;0>,<0;4181;0;4182;0;4183>,<4;2303;1294;0;0;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20026,,9,,,,3,4,50,1.28,,<4181;4182;4131;781;4;1851>,<0;3283;2472;2013;3842;1863>,<163;0;3661;1082;2872;3181>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20027,,9,,,,3,4,50,1.28,,<3661;1921;482;2682;3502;4131>,<4031;1082;0;2872;3;4131>,<3663;3282;2473;0;161;3021>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20028,,9,,,,3,4,50,1.2,,<1512;793;3161;4621;791;0>,<603;1612;0;2993;2483;1171>,<3161;3673;2482;3151;253;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20029,,9,,,,3,4,50,1.2,,<461;242;4191;1231;0;3181>,<0;2371;3292;2243;241;4191>,<3673;1172;2481;3342;2632;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20030,,9,,,,3,4,50,1.2,,<1512;3941;3341;4002;1304;0>,<601;2482;0;3291;741;2481>,<1301;1397;0;741;464;3673>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20031,,9,,2,,4,3,,,,<2991;4151;2991;3673;0;3673>,<3941;0;3941;4191;4193;4192>,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20032,,9,,2,,4,3,,,,<1241;1241;2411;3251;0;3303>,<3882;4561;4014;4623;0;3301>,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20033,,9,,2,,4,3,,,,<333;432;333;432;0;432>,<4061;1221;4641;4011;0;731>,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20034,,9,,2,,4,3,,0.9,,<2483;1394;0;3283;2242;3051>,<0;3171;0;3181;4041;3161>,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20035,,9,,2,,4,3,,,,<3772;372;2683;4131;163;4132>,<391;0;392;393;0;394>,,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20041,,9,,3,,5,2,0,1.2,,<452;403;0;0;1252;2721>,<0;2721;0;3231;1653;3231>,<493;0;493;2612;0;2612>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20042,,9,,3,,5,2,0,1.2,,<0;2801;0;3191;3201;3231>,<0;4071;0;721;731;741>,<1671;3511;0;3661;2043;0>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20043,,9,,3,,5,2,0,1.2,,<0;562;552;1393;1511;0>,<0;1903;992;263;0;3293>,<1941;0;1951;2401;0;4521>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20044,,9,,3,,5,2,0,1.2,,<3151;3881;5221;0;44;0>,<4701;0;4701;571;572;0>,<1071;0;5221;4051;0;4041>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
20045,,9,,3,,5,2,0,1.2,,<0;3502;0;4701;1253;901>,<2592;2593;0;701;0;2592>,<0;54;2802;0;2612;51>,,{coin=200;points=300},,{coin=80;points=120},,{coin=100;points=150},,
30001,,2,500,,,,,,0.1,,<2351;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30002,,2,500,,,,,,0.1,,<4683;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30003,,2,500,,,,,,0.1,,<7171;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30004,,2,500,,,,,,0.1,,<4631;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30005,,2,500,,,,,,0.1,,<7041;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30006,,2,500,,,,,,0.1,,<7121;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30007,,2,500,,,,,,0.1,,<3641;0;0;0;0;0>,,,,{points=200},{135=75;7396=1;gold=100000},{points=80},{135=30;gold=40000},,,
30011,,2,1100,,,,,,0.2,,<0;4631;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30012,,2,1100,,,,,,0.2,,<0;4172;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30013,,2,1100,,,,,,0.2,,<0;7181;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30014,,2,1100,,,,,,0.2,,<0;4601;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30015,,2,1100,,,,,,0.2,,<0;4101;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30016,,2,1100,,,,,,0.2,,<0;2391;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30017,,2,1100,,,,,,0.2,,<0;7051;0;0;0;0>,,,,{points=200},{135=90;7396=1;gold=120000},{points=80},{135=36;7380=1;gold=48000},,,
30021,,2,1700,,,,,,0.3,,<0;0;7131;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30022,,2,1700,,,,,,0.3,,<0;0;4161;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30023,,2,1700,,,,,,0.3,,<0;0;7111;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30024,,2,1700,,,,,,0.3,,<0;0;7021;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30025,,2,1700,,,,,,0.3,,<0;0;2421;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30026,,2,1700,,,,,,0.3,,<0;0;7171;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30027,,2,1700,,,,,,0.3,,<0;0;1271;0;0;0>,,,,{points=300},{135=105;136=1;7396=1;gold=140000},{points=120},{135=42;gold=56000},,,
30031,,2,2300,,,,,,0.4,,<0;0;0;3631;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30032,,2,2300,,,,,,0.4,,<0;0;0;7051;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30033,,2,2300,,,,,,0.4,,<0;0;0;7201;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30034,,2,2300,,,,,,0.4,,<0;0;0;4161;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30035,,2,2300,,,,,,0.4,,<0;0;0;2361;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30036,,2,2300,,,,,,0.4,,<0;0;0;1281;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30037,,2,2300,,,,,,0.4,,<0;0;0;2461;0;0>,,,,{points=300},{135=120;7396=1;gold=160000},{points=120},{135=48;7396=1;gold=64000},,,
30041,,2,2900,,,,,,0.5,,<0;0;0;0;7061;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30042,,2,2900,,,,,,0.5,,<0;0;0;0;761;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30043,,2,2900,,,,,,0.5,,<0;0;0;0;4591;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30044,,2,2900,,,,,,0.5,,<0;0;0;0;4161;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30045,,2,2900,,,,,,0.5,,<0;0;0;0;1971;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30046,,2,2900,,,,,,0.5,,<0;0;0;0;7211;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30047,,2,2900,,,,,,0.5,,<0;0;0;0;4111;0>,,,,{points=400},{135=135;7396=1;gold=180000},{points=160},{135=54;gold=72000},,,
30051,,2,3500,,,,,,0.6,,<0;0;0;0;0;762>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30052,,2,3500,,,,,,0.6,,<0;0;0;0;0;763>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30053,,2,3500,,,,,,0.6,,<0;0;0;0;0;1962>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30054,,2,3500,,,,,,0.6,,<0;0;0;0;0;1972>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30055,,2,3500,,,,,,0.6,,<0;0;0;0;0;1982>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30056,,2,3500,,,,,,0.6,,<0;0;0;0;0;3242>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30057,,2,3500,,,,,,0.6,,<0;0;0;0;0;3243>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30058,,2,3500,,,,,,0.6,,<0;0;0;0;0;3632>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
30059,,2,3500,,,,,,0.6,,<0;0;0;0;0;4103>,,,,{points=500},{135=150;136=1;7396=1;gold=200000},{points=200},{135=60;136=1;7396=1;gold=80000},,,
40001,,15,,,,,4,,0.72,,<4061;7161;5391;731;3201;4011>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40002,,15,,,,,4,,0.72,,<4682;3021;1921;4661;3241;721>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40003,,15,,,,,4,,0.72,,<2391;1811;2991;4583;4024;4671>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40004,,15,,,,,4,,0.72,,<641;641;641;2361;2361;2361>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40005,,15,,,,,4,,0.72,,<4631;4393;4091;3303;2431;3143>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40011,,15,,,1,2,,50,0.16,,<4023;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40012,,15,,,1,2,,50,0.16,,<3241;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40013,,15,,,1,2,,50,0.16,,<2361;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40014,,15,,,1,2,,50,0.16,,<1981;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40015,,15,,,1,2,,50,0.16,,<2351;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40016,,15,,,1,2,,50,0.16,,<5391;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40017,,15,,,1,2,,50,0.16,,<4611;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40018,,15,,,1,2,,50,0.16,,<3631;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40019,,15,,,1,2,,50,0.16,,<2391;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40020,,15,,,1,2,,50,0.16,,<2421;0;0;0;0;0>,,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40021,,15,,,,3,4,,1.4,,<4521;1903;2401;1981;761;0>,<1391;1392;1391;0;7051;1941>,<1951;1901;1941;0;4101;0>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40022,,15,,,,3,4,,1.2,,<0;333;0;731;4011;5391>,<431;0;431;0;4011;3221>,<0;4161;0;3201;4011;884>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40023,,15,,,,3,4,,1.2,,<4993;4111;0;0;4012;3353>,<861;0;3631;0;4012;4391>,<0;3961;0;3601;4012;863>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40024,,15,,,,3,4,,1.2,,<0;1281;0;4851;4013;4081>,<0;4183;3841;0;4013;2442>,<0;4631;0;3181;4013;3663>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40025,,15,,,,3,4,,1.2,,<0;1961;0;3302;4014;3302>,<0;3882;0;4203;4014;2361>,<2421;3772;4561;0;4014;0>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40031,,15,,2,,4,3,,1.44,,<4023;4571;4141;2351;4081;3161>,<1893;1261;51;701;1981;753>,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40032,,15,,2,,4,3,,1.44,,<1261;52;1271;761;31;1981>,<2401;4012;501;3601;3291;1393>,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40033,,15,,2,,4,3,,1.44,,<11;1231;2483;2461;603;7121>,<241;3152;1172;741;7101;1611>,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40034,,15,,2,,4,3,,1.44,,<1903;7081;333;2963;3161;2963>,<331;4172;3412;1502;2242;4081>,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40035,,15,,2,,4,3,,1.44,,<4013;4661;7151;4081;1294;4683>,<4992;4571;4023;572;574;572>,,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40041,,15,,3,,5,2,0,1.44,,<0;7201;3152;611;0;571>,<3882;7211;0;4041;4051;0>,<4611;0;3771;163;4132;0>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40042,,15,,3,,5,2,0,1.44,,<1911;0;7221;901;901;0>,<2023;0;5381;3832;3052;0>,<991;7041;0;2331;771;0>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40043,,15,,3,,5,2,0,1.44,,<0;7091;493;2231;1032;0>,<1651;2721;0;0;1971;5241>,<1313;1313;7171;0;7011;0>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40044,,15,,3,,5,2,0,1.44,,<0;3021;4661;1082;7131;0>,<0;1394;4601;0;2241;1303>,<7161;1221;731;0;0;753>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
40045,,15,,3,,5,2,0,1.44,,<1893;0;7061;3051;0;4002>,<0;5391;1221;0;3201;731>,<0;2411;7071;3771;0;3303>,,{coin=300;points=400},,{coin=120;points=160},,{coin=150;points=200},,
