变量名,targetArg,targetType,taskType,desc,award
默认值,0,0,0,"""""",{}
ID,目标数值(达成条件),目标类型(1=挑战次数/2=击杀领主/3=消耗行动力/4=获取见闻/8=小游戏胜利/9=消耗航海币),任务类型(1=每周任务/2=累计任务),任务描述文本,任务奖励{道具ID=数量;gold=金币}
251,456,8,2,累计获得小游戏胜利/平局456次,{135=400;7390=1;gold=200000}
252,466,8,2,累计获得小游戏胜利/平局466次,{135=400;7390=1;gold=200000}
253,476,8,2,累计获得小游戏胜利/平局476次,{135=400;7390=1;gold=200000}
254,486,8,2,累计获得小游戏胜利/平局486次,{135=400;7391=1;gold=200000}
255,496,8,2,累计获得小游戏胜利/平局496次,{135=400;7390=1;gold=200000}
256,506,8,2,累计获得小游戏胜利/平局506次,{135=400;7390=1;gold=200000}
257,516,8,2,累计获得小游戏胜利/平局516次,{135=400;7390=1;gold=200000}
258,526,8,2,累计获得小游戏胜利/平局526次,{135=400;7390=1;gold=200000}
259,536,8,2,累计获得小游戏胜利/平局536次,{135=400;7393=1;gold=200000}
300,3600,9,2,累计消耗3600航海币(含事件消耗）,{135=200;7390=1;gold=100000}
301,7200,9,2,累计消耗7200航海币(含事件消耗）,{135=200;7390=1;gold=100000}
302,10800,9,2,累计消耗10800航海币(含事件消耗）,{135=200;7390=1;gold=100000}
303,14400,9,2,累计消耗14400航海币(含事件消耗）,{135=200;7390=1;gold=100000}
304,18000,9,2,累计消耗18000航海币(含事件消耗）,{135=200;7391=1;gold=100000}
305,21600,9,2,累计消耗21600航海币(含事件消耗）,{135=200;7390=1;gold=100000}
306,25200,9,2,累计消耗25200航海币(含事件消耗）,{135=200;7390=1;gold=100000}
307,28800,9,2,累计消耗28800航海币(含事件消耗）,{135=200;7390=1;gold=100000}
308,32400,9,2,累计消耗32400航海币(含事件消耗）,{135=200;7390=1;gold=100000}
309,36000,9,2,累计消耗36000航海币(含事件消耗）,{135=200;7392=1;gold=100000}
310,39600,9,2,累计消耗39600航海币(含事件消耗）,{135=200;7390=1;gold=100000}
311,44400,9,2,累计消耗44400航海币(含事件消耗）,{135=200;7390=1;gold=100000}
312,49200,9,2,累计消耗49200航海币(含事件消耗）,{135=200;7390=1;gold=100000}
313,54000,9,2,累计消耗54000航海币(含事件消耗）,{135=200;7390=1;gold=100000}
314,58800,9,2,累计消耗58800航海币(含事件消耗）,{135=200;7391=1;gold=100000}
315,63600,9,2,累计消耗63600航海币(含事件消耗）,{135=200;7390=1;gold=100000}
316,68400,9,2,累计消耗68400航海币(含事件消耗）,{135=200;7390=1;gold=100000}
317,73200,9,2,累计消耗73200航海币(含事件消耗）,{135=200;7390=1;gold=100000}
318,78000,9,2,累计消耗78000航海币(含事件消耗）,{135=200;7390=1;gold=100000}
319,82800,9,2,累计消耗82800航海币(含事件消耗）,{135=200;7393=1;gold=100000}
320,87600,9,2,累计消耗87600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
321,92400,9,2,累计消耗92400航海币(含事件消耗）,{135=300;7390=1;gold=150000}
322,97200,9,2,累计消耗97200航海币(含事件消耗）,{135=300;7390=1;gold=150000}
323,102000,9,2,累计消耗102000航海币(含事件消耗）,{135=300;7390=1;gold=150000}
324,106800,9,2,累计消耗106800航海币(含事件消耗）,{135=300;7391=1;gold=150000}
325,111600,9,2,累计消耗111600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
326,116400,9,2,累计消耗116400航海币(含事件消耗）,{135=300;7390=1;gold=150000}
327,121200,9,2,累计消耗121200航海币(含事件消耗）,{135=300;7390=1;gold=150000}
328,126000,9,2,累计消耗126000航海币(含事件消耗）,{135=300;7390=1;gold=150000}
329,130800,9,2,累计消耗130800航海币(含事件消耗）,{135=300;7392=1;gold=150000}
330,135600,9,2,累计消耗135600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
331,141600,9,2,累计消耗141600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
332,147600,9,2,累计消耗147600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
333,153600,9,2,累计消耗153600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
334,159600,9,2,累计消耗159600航海币(含事件消耗）,{135=300;7391=1;gold=150000}
335,165600,9,2,累计消耗165600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
336,171600,9,2,累计消耗171600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
337,177600,9,2,累计消耗177600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
338,183600,9,2,累计消耗183600航海币(含事件消耗）,{135=300;7390=1;gold=150000}
339,189600,9,2,累计消耗189600航海币(含事件消耗）,{135=300;7393=1;gold=150000}
340,195600,9,2,累计消耗195600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
341,201600,9,2,累计消耗201600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
342,207600,9,2,累计消耗207600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
343,213600,9,2,累计消耗213600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
344,219600,9,2,累计消耗219600航海币(含事件消耗）,{135=400;7391=1;gold=200000}
345,225600,9,2,累计消耗225600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
346,231600,9,2,累计消耗231600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
347,237600,9,2,累计消耗237600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
348,243600,9,2,累计消耗243600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
349,249600,9,2,累计消耗249600航海币(含事件消耗）,{135=400;7392=1;gold=200000}
350,255600,9,2,累计消耗255600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
351,261600,9,2,累计消耗261600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
352,267600,9,2,累计消耗267600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
353,273600,9,2,累计消耗273600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
354,279600,9,2,累计消耗279600航海币(含事件消耗）,{135=400;7391=1;gold=200000}
355,285600,9,2,累计消耗285600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
356,291600,9,2,累计消耗291600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
357,297600,9,2,累计消耗297600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
358,303600,9,2,累计消耗303600航海币(含事件消耗）,{135=400;7390=1;gold=200000}
359,309600,9,2,累计消耗309600航海币(含事件消耗）,{135=400;7393=1;gold=200000}
