变量名,name,resultDesc3,choice3,resultDesc2,choice2,resultDesc1,choice1,desc,limit,weight,res,group,theme,cost1,result1,award1,cost2,result2,award2,cost3,result3,award3
10,甜甜蜜危机,悄悄离开，没有被大针蜂发现，你一无所获,无视离开,一群大针蜂冲向你的蜂蜜，只能快速逃跑，但至少三蜜蜂安全了,购买甜甜蜜引开大针蜂（消耗50航海币）,更多的大针蜂加入战斗，只能先逃从长计议,正面驱逐大针蜂（消耗全队精灵1点体力）,三蜜蜂的蜂巢被大针蜂占领，是否帮助三蜜蜂夺回蜂巢？,999,40,,5,,{cardAction=1},,,{coin=50},,,,,
11,幽灵船的邀请,,,未知的东西果然都是可怕的，不去为妙,感觉很危险，不去,发现了幽灵船上的宝藏，获得了50冒险见闻和100航海币,上船探索（消耗1行动力）,浓雾中出现载着水晶灯火灵的幽灵船，船上传来靡靡之音，似乎在传达某种信息，是否上船查看？,999,110,,6,,{action=1},{coin=100;points=50},,,,,,,
12,幽灵船的邀请,,,未知的东西果然都是可怕的，不去为妙,感觉很危险，不去,幽灵船内破烂不堪，并没有发现什么宝藏,上船探索（消耗1行动力）,浓雾中出现载着水晶灯火灵的幽灵船，船上传来靡靡之音，似乎在传达某种信息，是否上船查看？,999,40,,6,,{action=1},,,,,,,,
13,镜面洞穴的幻影,镜子里的倒影露出了惋惜的神情,不想交换,行动力从体内落入镜中，全精灵回复1点体力,用行动力交换精灵体力（消耗1点行动力）,航海币投入镜中，2点行动力涌入你的体内,用航海币交换行动力（消耗10航海币）,洞穴墙壁布满未知图腾纹路的镜面，你的倒影突然举起手向你交换物品,999,110,,7,,{coin=10},{action=2},,{action=1},{cardAction=1},,,,
14,镜面洞穴的幻影,镜子里的倒影露出了惋惜的神情,不想交换,行动力从体内落入镜中，镜子里的倒影狡黠一笑后消失了,用行动力交换精灵体力（消耗1点行动力）,航海币投入镜中，镜子里的倒影狡黠一笑后消失了,用航海币交换行动力（消耗10航海币）,洞穴墙壁布满未知图腾纹路的镜面，你的倒影突然举起手向你交换物品,999,40,,7,,{coin=10},,,{action=1},,,,,
15,时间沙漏的代价,,,沙漏的时间能量迸发，流入到你的体内，获得2点行动力,感觉不妙，打碎这个沙漏,时间和体力就是金钱，流沙逐渐凝聚成为航海币，恭喜获得100航海币,触摸沙漏，注入2点行动力,沙丘中浮现破损的时拉比沙漏，凝视着流沙，感受到一种不可知的神秘能量,999,110,,8,,{action=2},{coin=100},,,{action=2},,,,
16,时间沙漏的代价,,,沙漏的时间能量迸发，及时躲避了沙漏的反噬之力，但一无所获,感觉不妙，打碎这个沙漏,投入的行动力在浩瀚的时间长廊内毫无波澜,触摸沙漏，注入2点行动力,沙丘中浮现破损的时拉比沙漏，凝视着流沙，感受到一种不可知的神秘能量,999,40,,8,,{action=2},,,,,,,,
17,欺诈魔墙人偶,,,弹出一个精灵体力晶核，全体精灵回复1点体力,选右盒,弹出一个钱袋，里面装了20个航海币,选左盒,街角人偶突然递出两个盒子，左盒散发航海币光泽，右盒传出宝可梦呜咽声,999,110,,9,,,{coin=20},,,{cardAction=1},,,,
18,欺诈魔墙人偶,,,弹出一个惊吓小丑！抢走了你20航海币,选右盒,弹出一个恶作剧之拳！扣除1点行动力,选左盒,街角人偶突然递出两个盒子，左盒散发航海币光泽，右盒传出宝可梦呜咽声,999,40,,9,,,{action=-1},,,{coin=-20},,,,
19,双生森林的抉择,,,清凉的活力之泉滋润了疲态的身体，恢复1点行动力,畅饮活力之泉,充盈的知识涌入身体，获得50点冒险见闻,攀爬知识之树,岔路口分别立着「知识之树」与「活力之泉」，要往那个方向前行？,999,110,,10,,,{points=50},,,{action=1},,,,
20,双生森林的抉择,,,活力之泉貌似被过度开采已经干枯，未获得任何奖励,畅饮活力之泉,攀爬过程中失足滑落，未获得任何奖励,攀爬知识之树,岔路口分别立着「知识之树」与「活力之泉」，要往那个方向前行？,999,40,,10,,,,,,,,,,
21,时空裂缝的献祭,,,虚空之手径直从身旁穿过，并没有触及到，无任何损失,放弃抵抗，等待虚空之手的随机夺取,虚空之手仿佛得到了满足，反向赠与你50冒险见闻,使用航海币阻挡手臂前进的路线（消耗100航海币）,帝牙卢卡和帕路奇亚的战斗撕裂了时空，裂缝中伸出无数虚幻手臂，仿佛要将一切触及的物品全部拖入深渊，此刻,999,110,,11,,{coin=100},{points=50},,,,,,,
22,时空裂缝的献祭,,,虚空之手径直穿过身体，掏除了2点行动力,放弃抵抗，等待虚空之手的随机夺取,虚空之手毫不满足，继续向前推进，穿过身体额外夺取1点行动力,使用航海币阻挡手臂前进的路线（消耗100航海币）,帝牙卢卡和帕路奇亚的战斗撕裂了时空，裂缝中伸出无数虚幻手臂，仿佛要将一切触及的物品全部拖入深渊，此刻,999,40,,11,,{coin=100},{action=-1},,,{action=-2},,,,
23,黑市情报贩子,,,没有理睬索罗亚克，继续冒险,不确认真假，还是选择不要情报,透露了神秘的[神兽线索]，获得50点冒险见闻,支付航海币购买情报（消耗50个航海币）,变装索罗亚克兜售秘密情报，需要承担一些“费用”，才能换取情报，但情报真伪难辨。,999,110,,12,,{coin=50},{points=50},,,,,,,
24,黑市情报贩子,,,索罗亚克见没有理睬自己，使用影遁摸到身后，偷走了30航海币,不确认真假，还是选择不要情报,给予了一张[伪造地图]，损失了1点行动力,支付航海币购买情报（消耗50个航海币）,变装索罗亚克兜售秘密情报，需要承担一些“费用”，才能换取情报，但情报真伪难辨。,999,40,,12,,{coin=50},{action=-1},,,{coin=-30},,,,
25,古碑文破译,,,碑文逐渐暗淡，光芒消失的最后，偶然获得50冒险见闻,太过于神秘，感觉有诈，不破译,消耗的航海币与光芒交织，破译出行动力恢复秘术，获得1点行动力和50点冒险见闻,消耗航海币破译文字（消耗50个航海币）,腐朽的祭坛上悬浮着刻满未知文字的青铜碑，触碰时文字发出异样的光芒,999,110,,13,,{coin=50},{action=1;points=50},,,{points=50},,,,
26,古碑文破译,,,碑文暗淡，光芒逐渐变为冥火，受到了行动力诅咒，扣除2点行动力,太过于神秘，感觉有诈，不破译,消耗的航海币与光芒交织，破译出行动诅咒，行动力被夺取了1点,消耗航海币破译文字（消耗50个航海币）,腐朽的祭坛上悬浮着刻满未知文字的青铜碑，触碰时文字发出异样的光芒,999,40,,13,,{coin=50},{action=-1},,,{action=-2},,,,
27,双生契约,,,在美梦中偶遇宝箱，宝箱内的100航海币变为实物，获得100航海币,信仰克雷色利亚,通过噩梦的磨炼，提升了自己意志，行动力+3,信仰达克莱伊,达克莱伊与克雷色利亚的信仰雕塑耸立，信仰任意一方都可以获得神秘的加持，您的选择是？,999,110,,14,,,{action=3},,,{coin=100},,,,
28,双生契约,,,在美梦中，精灵们的疲惫得到了缓解，全体精灵体力恢复1点,信仰克雷色利亚,在噩梦的探索中，获得了50点冒险见闻,信仰达克莱伊,达克莱伊与克雷色利亚的信仰雕塑耸立，信仰任意一方都可以获得神秘的加持，您的选择是？,999,40,,14,,,{points=50},,,{cardAction=1},,,,
29,万能交易所,你被请离了万能交易所,不接受兑换,交易已生效，恭喜获得100冒险见闻,使者2：可使用2点行动力换取100冒险见闻,交易已生效，恭喜获得1点行动力,使者1：可使用50航海币换取1点行动力,交易所可服务任何需求，但需要满足使者的条件，不同的使者所交易的内容不同，本次的使者兑换的内容为,999,110,,15,,{coin=50},{action=1},,{action=2},{points=100},,,,
30,万能交易所,你被请离了万能交易所,不接受兑换,交易已生效，恭喜获得100冒险见闻,使者2：可使用100航海币换取100点冒险见闻,交易已生效，恭喜获得2点行动力,使者1：可使用100航海币换取2点行动力,交易所可服务任何需求，但需要满足使者的条件，不同的使者所交易的内容不同，本次的使者兑换的内容为,999,40,,15,,{coin=100},{action=2},,{coin=100},{points=100},,,,
31,沉没成本陷阱,,,拆开成功！取出了已投入的5枚航海币,强制暴力拆解回收,随着航海币投入，游戏机加速运转，成功修复并获得了50冒险见闻,赌一把，追加50枚航海币尝试修复,已投入50枚航海币的老化游戏机突然卡住，屏幕提示“继续投币”或“强制回收”,999,110,,16,,{coin=50},{points=50},,,{coin=5},,,,
32,沉没成本陷阱,,,机器爆炸，毫无所获，并损失了1点行动力,强制暴力拆解回收,投入后，游戏机依旧毫无反应，一无所获,赌一把，追加10枚航海币尝试修复,已投入50枚航海币的老化游戏机突然卡住，屏幕提示“继续投币”或“强制回收”,999,40,,16,,{coin=50},,,,{action=-1},,,,
33,疗愈的悖论,精灵们眼馋的看着温润的泉水，但紧跟着您的步伐继续冒险,本次先不使用，继续冒险,与精灵们一同进入泉水，自身的行动力转化为精灵们的体力，全体精灵恢复1点体力并意外收获50冒险见闻,代价2：消耗2点行动力(恢复全体精灵1点体力）,投入航海币，精灵进入泉水后得到了疗愈，全体精灵回复1点体力值并意外收获50冒险见闻,代价1：消耗100航海币(恢复全体精灵1点体力）,平日的战斗让精灵们身心疲惫，神秘的「疗愈泉水」可以缓解精灵们的疲惫，但是与此同时，是需要付出一些代价,999,110,,17,,{coin=100},{cardAction=1;points=50},,{action=2},{cardAction=1;points=50},,,,
34,疗愈的悖论,精灵们眼馋的看着温润的泉水，但紧跟着您的步伐继续冒险,本次先不使用，继续冒险,与精灵们一同进入泉水，自身的行动力转化为精灵们的体力，全体精灵恢复1点体力并意外收获50冒险见闻,代价2：消耗4点行动力(恢复全体精灵1点体力）,投入航海币，精灵进入泉水后得到了疗愈，全体精灵回复1点体力值并意外收获100冒险见闻,代价1：消耗300航海币(恢复全体精灵1点体力）,平日的战斗让精灵们身心疲惫，神秘的「高级疗愈泉水」可以缓解精灵们的疲惫，但相比于普通的「疗愈泉水」，付出代价要更大,999,40,,17,,{coin=300},{cardAction=1;points=100},,{action=4},{cardAction=1;points=50},,,,
35,月下残影,,,利欧路看着你慢慢走远的身影逐渐放松戒备,不予理会，继续冒险,利欧路看着你手持伤药没有敌意，接受了您的治疗，波导之证使您的避战次数+2，并额外获得50点冒险见闻,消耗100航海币购买伤药,月光下，一只受伤的利欧路正警惕地盯着您，身体不自觉的摆出了攻击的架势，此刻,999,110,,18,,{coin=100},{points=50;skipBattleTimes=2},,,,,,,
36,月下残影,,,利欧路看着你慢慢走远的身影逐渐放松戒备,不予理会，继续冒险,警惕的利欧路使用波导之力瞬身抢走了你的伤药逃走了,消耗100航海币购买伤药,月光下，一只受伤的利欧路正警惕地盯着您，身体不自觉的摆出了攻击的架势，此刻,999,40,,18,,{coin=100},,,,,,,,
37,真新镇的宝可梦研究所,最后火箭队归还了宝可梦，得到了应有的惩罚,无视离开,警方赶到，成功捕捉火箭队，获得100航海币与50点冒险见闻,消耗1次避战次数报警,成功夺回宝可梦，获得了100航海币和50冒险见闻奖励,消耗2点行动力追击火箭队,大木博士的研究所遭到火箭队袭击，很多宝可梦被抢走，此刻,999,110,,19,,{action=2},{coin=50;points=100},,{skipBattleTimes=1},{coin=50;points=100},,,,
38,真新镇的宝可梦研究所,最后火箭队归还了宝可梦，得到了应有的惩罚,无视离开,警方来迟，火箭队已成功脱逃,消耗1次避战次数报警,遭遇了火箭队其他队员的埋伏，精灵不敌，全体精灵体力扣减1点,消耗2点行动力追击火箭队,大木博士的研究所遭到火箭队袭击，很多宝可梦被抢走，此刻,999,40,,19,,{action=2},{cardAction=-1},,{skipBattleTimes=1},,,,,
39,迷路的幼基拉斯,在幼基拉斯的哀嚎声中走远,防止班基拉斯误会，不理会,拔出的同时，幼基拉斯手里还握着一个钱袋，为了表达感谢，它把钱袋送给你，获得200航海币,消耗全队精灵1点体力拔起,成功救出，幼基拉斯把手中的恢复体力的药剂给你表示感谢，全体精灵恢复1点体力,消耗50航海币购买绳索救援,沙尘暴中传来哭声，一只幼基拉斯被困在流沙坑，周围有班基拉斯爪印，它应该是走散了,999,110,,20,,{coin=50},{cardAction=1},,{cardAction=1},{coin=200},,,,
40,迷路的幼基拉斯,在幼基拉斯的哀嚎声中走远,防止班基拉斯误会，不理会,流沙范围逐渐扩大，自身也受困在流沙里，行动力扣除2点,消耗全队精灵1点体力拔起,无端的靠近激怒赶回的班基拉斯，只能快速逃离，行动力扣除2点,消耗50航海币购买绳索救援,沙尘暴中传来哭声，一只幼基拉斯被困在流沙坑，周围有班基拉斯爪印，它应该是走散了,999,40,,20,,{coin=50},{action=-2},,{cardAction=1},{action=-2},,,,
41,被冰冻的拉普拉斯,快速的离开了这是非之地,未知的黑影比较惧怕，直接逃离,在精灵们不懈的努力下，拉普拉斯终于脱困，航海币+100，冒险见闻+50,消耗全队精灵1点体力帮忙脱困,救援成功，拉普拉斯带着你行滑行，行动力+5，冒险见闻+50,消耗100航海币购买解冻药救援,冰川裂缝中卡着冰冻的拉普拉斯，冰面下有不知名的黑影游动，此刻,999,110,,21,,{coin=100},{action=5;points=50},,{cardAction=-1},{coin=100;points=50},,,,
42,被冰冻的拉普拉斯,快速的离开了这是非之地,未知的黑影比较惧怕，直接逃离,水下的黑影冲出，是巨牙鲨群，他们冲碎了冰层只能及时逃避，行动力-5,消耗全队精灵1点体力帮忙脱困,在使用解冻药的过程中，水下的黑影冲出，是巨牙鲨群，精灵们全力抵挡，全体精灵体力-1，冒险见闻+50,消耗100航海币购买解冻药救援,冰川裂缝中卡着冰冻的拉普拉斯，冰面下有不知名的黑影游动，此刻,999,40,,21,,{coin=100},{cardAction=-1;points=50},,{cardAction=-1},{action=-5},,,,
43,神秘洞穴探险,,,绕过这神秘洞穴，继续前进，获得50冒险见闻,选择不进入,意外发现宝箱，里面装有100航海币,进入一探究竟,发现了一个散发着神秘气息的洞穴，内部频繁传出低沉的咆哮声，此刻,999,110,,22,,,{coin=100},,,{points=50},,,,
44,神秘洞穴探险,,,绕过这神秘洞穴，继续前进，获得50冒险见闻,选择不进入,被守护者大钢蛇追赶，行动力减少1点,进入一探究竟,发现了一个散发着神秘气息的洞穴，内部频繁传出低沉的咆哮声，此刻,999,40,,22,,,{action=-1},,,{points=50},,,,
45,集市奇遇,,,摊主送了一次机会，砸出了3等奖，获得100航海币和50冒险见闻,感觉是骗局，不砸,恭喜！砸出特等奖，获得100航海币，50冒险见闻,花费30航海币试一下！,来到了一个热闹的宝可梦集市，各种摊位琳琅满目，一个摊位正在举办砸金蛋活动，此刻,999,110,,23,,{coin=30},{coin=100;points=50},,,{coin=100;points=50},,,,
46,集市奇遇,,,摊主见你不为所动，又去迎接新的客人,感觉是骗局，不砸,很遗憾！里面什么都没有，但获得了50冒险见闻作为安慰奖,花费30航海币试一下！,来到了一个热闹的宝可梦集市，各种摊位琳琅满目，一个摊位正在举办砸金蛋活动，此刻,999,40,,23,,{coin=30},{points=50},,,,,,,
47,森林的召唤,,,听着治愈的笛声，所有宝可梦的体力恢复1点,悄悄观察不打扰,神秘人很欢迎，围坐在旁边听着治愈的笛声，获得1点行动力,上前与神秘人交谈,踏入了一片神秘的森林，发现远处有一位穿着长袍的神秘人正坐在一块石头上吹奏笛子，周围围绕着许多宝可梦。此刻,999,110,,24,,,{action=1},,,{cardAction=1},,,,
48,森林的召唤,,,神秘人的笛声停止，带着宝可梦消失在森林深处,悄悄观察不打扰,神秘人停止演奏，不欢迎任何外来者并转身离去,上前与神秘人交谈,踏入了一片神秘的森林，发现远处有一位穿着长袍的神秘人正坐在一块石头上吹奏笛子，周围围绕着许多宝可梦。此刻,999,40,,24,,,,,,,,,,
49,沙漠中的幻影,,,绕过了神秘的黑影，继续冒险,放弃前往,是一只很友善的沙漠蜻蜓，被沙漠蜻蜓赐福，恢复3次避战次数,朝着幻影前进,在炎热的沙漠中看到远处有一团模糊的幻影，若隐若现，似乎是一只巨大的宝可梦,999,110,,25,,,{skipBattleTimes=3},,,,,,,
50,沙漠中的幻影,,,绕路行走掉入沙穴，行动力扣除3点,放弃前往,是一只被打扰休眠的混混鳄，被一群混混鳄追赶，行动力扣除2点,朝着幻影前进,在炎热的沙漠中看到远处有一团模糊的幻影，若隐若现，似乎是一只巨大的宝可梦,999,40,,25,,,{action=-2},,,{action=-3},,,,
51,海上的旋涡,,,在另一片海域发现了一群可爱的灯笼鱼，恢复全体精灵1点体力,调转船头,靠近后，旋涡逐渐消散，浮上来一个钱袋，获得100航海币和50冒险见闻,靠近旋涡,乘船航行时，前方突然出现巨大的旋涡，隐隐能看到水下有宝可梦的身影在游动,999,110,,26,,,{coin=100;points=50},,,{cardAction=1},,,,
52,海上的旋涡,,,顺利避开危险,调转船头,靠近后，旋涡中的黑影迸发而出，是一只暴鲤龙，冲碎了船只，赔付100航海币,靠近旋涡,乘船航行时，前方突然出现巨大的旋涡，隐隐能看到水下有宝可梦的身影在游动,999,40,,26,,,{coin=-100},,,,,,,
53,冰雪世界的呼唤,,,一只传说级宝可梦急冻鸟从头顶飞过，获得50冒险见闻,忽略声音，继续赶路,发现了传说宝可梦急冻鸟，冒险见闻增加50点,循着声音寻找来源,踏入寒冷的冰雪区域，你听到远处传来神秘的呼唤声，声音空灵悠长,999,110,,27,,,{points=50},,,{points=50},,,,
54,冰雪世界的呼唤,,,继续踏上冒险之路,忽略声音，继续赶路,只有几只雪童子在雪地里嬉戏，没有收获,循着声音寻找来源,踏入寒冷的冰雪区域，你听到远处传来神秘的呼唤声，声音空灵悠长,999,40,,27,,,,,,,,,,
55,遗迹中的机关,,,离开遗迹后，在遗迹外面发现传说宝可梦梦幻的身影，获得50冒险见闻,尝试关闭机关，离开遗迹,发现了一个神秘的遗迹祭坛，全体精灵体力恢复1点并获得200冒险见闻,按照符号的指引继续前进,探索古老遗迹时，触发了一个神秘机关，墙壁上出现了发光的符号,999,110,,28,,,{cardAction=1;points=200},,,{points=50},,,,
56,遗迹中的机关,,,成功离开遗迹，继续冒险,尝试关闭机关，离开遗迹,受到神秘图腾的干扰，行动力扣减2点,按照符号的指引继续前进,探索古老遗迹时，触发了一个神秘机关，墙壁上出现了发光的符号,999,40,,28,,,{action=-2},,,,,,,
57,森林中的伤者,,,你避开了潜在危险。刚走几步，发现草丛中有50航海币,悄悄离开不惊扰它,皮卡丘放松戒备，开心地吃下树果。作为回报，赠与100航海币和50冒险见闻,投喂橙橙果安抚,穿越幽暗的森林时，发现一只腿部受伤的皮卡丘蜷缩在树根旁。它警惕地盯着你，周围散落着被撕碎的树果，显然刚经历过一场战斗。,999,110,,29,,,{coin=100;points=50},,,{coin=50},,,,
58,森林中的伤者,,,绕过皮卡丘。刚走几步掉入了一个陷阱，损失50航海币,悄悄离开不惊扰它,树果香气引来一群烈雀！皮卡丘趁机逃走，只能消耗2点行动力与烈雀对战,投喂橙橙果安抚,穿越幽暗的森林时，发现一只腿部受伤的皮卡丘蜷缩在树根旁。它警惕地盯着你，周围散落着被撕碎的树果，显然刚经历过一场战斗。,999,40,,29,,,{action=-2},,,{coin=-50},,,,
59,沉船中的珍珠贝,,,泡沫蕴含稀有成分！沐浴在水里的精灵恢复1点体力,调查紫色泡沫,珍珠贝感激地张开壳，送你100航海币和50冒险见闻,撬开木板救出它,你乘船航行时遭遇暴风雨，漂流至一艘半沉的古船残骸。甲板裂缝中透出微光，一只紧闭贝壳的「珍珠贝」正卡在腐朽的木板间，壳缝中渗出七彩珍珠粉，周围漂浮着可疑的紫色泡沫,999,110,,30,,,{coin=100;points=50},,,{cardAction=1},,,,
60,沉船中的珍珠贝,,,泡沫突然爆炸！珍珠贝袭击了你！精灵们体力扣除1点,调查紫色泡沫,木板断裂！你坠入海中，消耗2点行动力游会岸边,撬开木板救出它,你乘船航行时遭遇暴风雨，漂流至一艘半沉的古船残骸。甲板裂缝中透出微光，一只紧闭贝壳的「珍珠贝」正卡在腐朽的木板间，壳缝中渗出七彩珍珠粉，周围漂浮着可疑的紫色泡沫,999,40,,30,,,{action=-2},,,{cardAction=-1},,,,
61,洞穴的震动,,,你成功冲出洞穴。穿山鼠拿出装着100航海币的钱袋以表感谢,抱起穿山鼠直接逃跑,隆隆石被声响吸引改道。穿山鼠安全后带你找到地下水源，全员宝可梦体力恢复1点,朝隆隆石丢石头引开注意,你在岩洞探险时，突然感到地面震动！一只惊慌的穿山鼠从裂缝中钻出，背上扎着尖锐的碎石。它焦急地刨着左侧岩壁，而右侧通道传来隆隆石滚动的声音,999,110,,31,,,{cardAction=1},,,{coin=100},,,,
62,洞穴的震动,,,逃跑时岩顶崩塌！逃出来时发现丢失了100航海币,抱起穿山鼠直接逃跑,石头激怒隆隆石！只能快跑躲避，损失1次避战次数,朝隆隆石丢石头引开注意,你在岩洞探险时，突然感到地面震动！一只惊慌的穿山鼠从裂缝中钻出，背上扎着尖锐的碎石。它焦急地刨着左侧岩壁，而右侧通道传来隆隆石滚动的声音,999,40,,31,,,{skipBattleTimes=-1},,,{coin=-100},,,,
63,银冠盗窃,精灵从后方成功拦截，拿回王冠，获得100航海币嘉奖,让宝可梦悄悄靠近截住它,抛出它爱吃的辣樱果，夜盗火蜥放下王冠来吃，获得50冒险见闻嘉奖,用食物引诱它过来,敏捷追上夺回王冠，夜盗火蜥对你的速度钦佩，奖励你100航海币和50冒险见闻,立刻追上去抢夺！,博物馆中，珍贵的银色王冠被一只调皮的夜盗火蜥偷走，它正叼着王冠对你做鬼脸。,999,110,,32,,,{coin=100;points=50},,,{points=50},,,{coin=100},
64,银冠盗窃,夜盗火蜥喷出毒烟迷昏你的宝可梦，消耗100航海币给精灵们治疗,让宝可梦悄悄靠近截住它,食物反而吸引了更凶的猾大狐，夜盗火蜥受惊逃跑，一无所获,用食物引诱它过来,追逐中惊动大群超音蝠，消耗2点行动力躲避追赶,立刻追上去抢夺！,博物馆中，珍贵的银色王冠被一只调皮的夜盗火蜥偷走，它正叼着王冠对你做鬼脸。,999,40,,32,,,{action=-2},,,,,,{coin=-100},
65,峭壁陨石争夺战,,,返回时钢铠鸦已离开，陨石完好留在原地，火恐龙为了感谢你的治疗，将陨石赠送给你。售卖获得100航海币,暂时撤退治疗火恐龙,火恐龙斗志爆发，凭借自身意志进化为喷火龙战胜了钢铠鸦，获得50冒险见闻,指挥火恐龙战斗！,火山峭壁上，一只钢铠鸦正与受伤的火恐龙激烈争夺一块闪烁的奇异陨石,999,110,,33,,,{points=50},,,{coin=100},,,,
66,峭壁陨石争夺战,,,返回发现陨石已消失，踪迹全无，一无所获,暂时撤退治疗火恐龙,钢铠鸦用钢翼攻击，火恐龙躲闪不及被正面击中，重伤倒地。花费100航海币急救火恐龙,指挥火恐龙战斗！,火山峭壁上，一只钢铠鸦正与受伤的火恐龙激烈争夺一块闪烁的奇异陨石,999,40,,33,,,{coin=-100},,,,,,,
67,堵塞的河道,转身离开继续冒险，你一无所获,无视离开,你成功警告了下游的莲叶童子族群，它们安全撤离并开心得到跳起舞。获得50冒险见闻,去下游通知撤离(消耗1点行动力）,在玛力露们的协助下成功移开树干，水流恢复。玛力露首领送给你100航海币和50冒险见闻,帮忙移开树干(消耗全精灵1点体力),在通往下一个城镇的小河边，你发现几只玛力露正焦急地围着一段被倒下大树堵住的河道。水流被阻断，下游的莲叶童子们处境危险,999,110,,34,,{cardAction=-1},{coin=100;points=50},,{action=-1},{points=50},,,,
68,堵塞的河道,转身离开继续冒险，你一无所获,无视离开,赶到下游时，水位已因堵塞急剧下降，几只莲叶童子搁浅受伤,去下游通知撤离(消耗1点行动力）,树干意外滑落，砸伤了其中一只玛力露，消耗100航海币救治,帮忙移开树干(消耗全精灵1点体力),在通往下一个城镇的小河边，你发现几只玛力露正焦急地围着一段被倒下大树堵住的河道。水流被阻断，下游的莲叶童子们处境危险,999,40,,34,,{cardAction=-1},{coin=-100},,{action=-1},,,,,
69,深夜的幽灵,,,你避免了可能的麻烦，安稳地休息了一晚。恢复2次避战次数,"无视它,直接进入宝可梦中心",梦妖高兴地点头，带你找到它丢失的诅咒之符。作为感谢，它轻轻触碰你，获得1点行动力,主动询问它是否需要帮助,深夜的宝可梦中心外，一只小小的梦妖在路灯下焦急地飘来飘去，似乎在寻找什么，发出呜咽般的叫声,999,110,,35,,,{action=1},,,{skipBattleTimes=2},,,,
