变量名,damageC,hpC,skillLevel,starEnd,starStart,advanceEnd,advanceStart,fightEnd,level,fightStart,specialDefenceC,defenceC,specialDamageC
27,0.61,0.23,1,3,2,7,6,31118,29,28290,0.23,0.23,0.61
28,0.61,0.23,1,3,2,7,6,34230,30,31119,0.23,0.23,0.61
29,0.61,0.23,1,3,2,7,6,37653,31,34231,0.23,0.23,0.61
30,0.61,0.23,1,3,2,7,6,41418,32,37654,0.23,0.23,0.61
31,0.61,0.23,1,3,2,7,6,45560,33,41419,0.23,0.23,0.61
32,0.61,0.23,1,3,2,7,6,50116,34,45561,0.23,0.23,0.61
33,0.61,0.23,1,4,3,8,7,55128,35,50117,0.23,0.23,0.61
34,0.61,0.23,1,4,3,8,7,60641,36,55129,0.23,0.23,0.61
35,0.61,0.23,1,4,3,8,7,66705,37,60642,0.23,0.23,0.61
36,0.61,0.23,1,4,3,8,7,73376,38,66706,0.23,0.23,0.61
37,0.61,0.23,1,4,3,8,7,80714,39,73377,0.23,0.23,0.61
38,0.61,0.23,1,4,3,9,8,88785,40,80715,0.23,0.23,0.61
39,0.61,0.23,1,4,3,9,8,97664,41,88786,0.23,0.23,0.61
40,0.61,0.23,1,4,3,9,8,107430,42,97665,0.23,0.23,0.61
41,0.61,0.23,1,4,3,9,8,118173,43,107431,0.23,0.23,0.61
42,0.61,0.23,1,4,3,9,8,129990,44,118174,0.23,0.23,0.61
43,0.61,0.23,1,4,3,10,9,142989,45,129991,0.23,0.23,0.61
44,0.61,0.23,1,4,3,10,9,157288,46,142990,0.23,0.23,0.61
45,0.61,0.23,1,4,3,10,9,173017,47,157289,0.23,0.23,0.61
46,0.61,0.23,1,4,3,10,9,190319,48,173018,0.23,0.23,0.61
47,0.61,0.23,1,4,3,10,9,209351,49,190320,0.23,0.23,0.61
48,0.61,0.23,1,5,4,11,10,230286,50,209352,0.23,0.23,0.61
49,0.61,0.23,1,5,4,11,10,241800,51,230287,0.23,0.23,0.61
50,0.61,0.23,1,5,4,11,10,253890,52,241801,0.23,0.23,0.61
51,0.6,0.23,1,5,4,11,10,266585,53,253891,0.23,0.23,0.6
52,0.6,0.23,1,5,4,11,10,279914,54,266586,0.23,0.23,0.6
53,0.59,0.23,1,5,4,12,11,293910,55,279915,0.23,0.23,0.59
54,0.59,0.23,1,5,4,12,11,308606,56,293911,0.23,0.23,0.59
55,0.59,0.23,1,5,4,12,11,324036,57,308607,0.23,0.23,0.59
56,0.59,0.23,1,5,4,12,11,340238,58,324037,0.23,0.23,0.59
57,0.58,0.22,1,5,4,12,11,357250,59,340239,0.22,0.22,0.58
58,0.58,0.22,1,5,4,13,12,375113,60,357251,0.22,0.22,0.58
59,0.58,0.22,1,5,4,13,12,393869,61,375114,0.22,0.22,0.58
60,0.58,0.22,1,5,4,13,12,413562,62,393870,0.22,0.22,0.58
61,0.57,0.22,1,5,4,13,12,434240,63,413563,0.22,0.22,0.57
62,0.57,0.22,1,5,4,13,12,455952,64,434241,0.22,0.22,0.57
63,0.56,0.22,1,5,4,14,13,478750,65,455953,0.22,0.22,0.56
64,0.56,0.21,1,5,4,14,13,502688,66,478751,0.21,0.21,0.56
65,0.56,0.21,1,5,4,14,13,527822,67,502689,0.21,0.21,0.56
66,0.56,0.21,1,5,4,14,13,554213,68,527823,0.21,0.21,0.56
67,0.55,0.21,1,5,4,14,13,581924,69,554214,0.21,0.21,0.55
68,0.55,0.21,1,5,4,15,14,611020,70,581925,0.21,0.21,0.55
69,0.55,0.21,1,5,4,15,14,641571,71,611021,0.21,0.21,0.55
70,0.54,0.21,1,5,4,15,14,673650,72,641572,0.21,0.21,0.54
71,0.54,0.21,1,5,4,15,14,707333,73,673651,0.21,0.21,0.54
72,0.53,0.21,1,5,4,15,14,742700,74,707334,0.21,0.21,0.53
73,0.53,0.21,1,5,4,16,15,779835,75,742701,0.21,0.21,0.53
74,0.53,0.2,1,5,4,16,15,818827,76,779836,0.2,0.2,0.53
75,0.53,0.2,1,5,4,16,15,859768,77,818828,0.2,0.2,0.53
76,0.52,0.2,1,5,4,16,15,902756,78,859769,0.2,0.2,0.52
77,0.52,0.2,1,5,4,16,15,947894,79,902757,0.2,0.2,0.52
78,0.52,0.2,1,6,5,17,16,976331,80,947895,0.2,0.2,0.52
79,0.52,0.2,1,6,5,17,16,1005621,81,976332,0.2,0.2,0.52
80,0.51,0.2,1,6,5,17,16,1035790,82,1005622,0.2,0.2,0.51
81,0.51,0.2,1,6,5,17,16,1066864,83,1035791,0.2,0.2,0.51
82,0.5,0.2,1,6,5,17,16,1098870,84,1066865,0.2,0.2,0.5
83,0.5,0.19,1,6,5,18,17,1131836,85,1098871,0.19,0.19,0.5
84,0.5,0.19,1,6,5,18,17,1165791,86,1131837,0.19,0.19,0.5
85,0.5,0.19,1,6,5,18,17,1200765,87,1165792,0.19,0.19,0.5
86,0.49,0.19,1,6,5,18,17,1236788,88,1200766,0.19,0.19,0.49
87,0.49,0.19,1,6,5,18,17,1273892,89,1236789,0.19,0.19,0.49
88,0.49,0.19,1,6,5,19,18,1312109,90,1273893,0.19,0.19,0.49
89,0.49,0.19,1,6,5,19,18,1351472,91,1312110,0.19,0.19,0.49
90,0.49,0.19,1,6,5,19,18,1392016,92,1351473,0.19,0.19,0.49
91,0.49,0.19,1,6,5,19,18,1433776,93,1392017,0.19,0.19,0.49
92,0.49,0.19,1,6,5,19,18,1476789,94,1433777,0.19,0.19,0.49
93,0.49,0.19,1,6,5,19,18,1521093,95,1476790,0.19,0.19,0.49
94,0.49,0.19,1,6,5,19,18,1566726,96,1521094,0.19,0.19,0.49
95,0.49,0.19,1,6,5,19,18,1613728,97,1566727,0.19,0.19,0.49
96,0.49,0.19,1,6,5,19,18,1662140,98,1613729,0.19,0.19,0.49
97,0.49,0.19,1,6,5,19,18,1712004,99,1662141,0.19,0.19,0.49
98,0.49,0.19,1,7,6,19,18,1763364,100,1712005,0.19,0.19,0.49
99,0.49,0.19,1,7,6,20,19,1816265,101,1763365,0.19,0.19,0.49
100,0.49,0.19,1,7,6,20,19,1870753,102,1816266,0.19,0.19,0.49
101,0.49,0.19,1,7,6,20,19,1926876,103,1870754,0.19,0.19,0.49
102,0.49,0.19,1,7,6,20,19,1984682,104,1926877,0.19,0.19,0.49
103,0.49,0.19,1,7,6,20,19,2044222,105,1984683,0.19,0.19,0.49
104,0.49,0.19,1,7,6,21,20,2105549,106,2044223,0.19,0.19,0.49
105,0.49,0.19,1,7,6,21,20,2168715,107,2105550,0.19,0.19,0.49
106,0.49,0.19,1,7,6,21,20,2233776,108,2168716,0.19,0.19,0.49
107,0.49,0.19,1,7,6,21,20,2300789,109,2233777,0.19,0.19,0.49
108,0.49,0.19,1,7,6,21,20,2369813,110,2300790,0.19,0.19,0.49
109,0.49,0.19,1,7,6,22,21,2440907,111,2369814,0.19,0.19,0.49
110,0.49,0.19,1,7,6,22,21,2514134,112,2440908,0.19,0.19,0.49
111,0.49,0.19,1,7,6,22,21,2589558,113,2514135,0.19,0.19,0.49
112,0.49,0.19,1,7,6,22,21,2667245,114,2589559,0.19,0.19,0.49
113,0.49,0.19,1,7,6,22,21,2747262,115,2667246,0.19,0.19,0.49
114,0.49,0.19,1,7,6,23,22,2829680,116,2747263,0.19,0.19,0.49
115,0.49,0.19,1,7,6,23,22,2914570,117,2829681,0.19,0.19,0.49
116,0.49,0.19,1,7,6,23,22,3002007,118,2914571,0.19,0.19,0.49
117,0.49,0.19,1,7,6,23,22,3092067,119,3002008,0.19,0.19,0.49
118,0.49,0.19,1,7,6,23,22,3184829,120,3092068,0.19,0.19,0.49
119,0.49,0.19,1,7,6,24,23,3280374,121,3184830,0.19,0.19,0.49
120,0.49,0.19,1,7,6,24,23,3378785,122,3280375,0.19,0.19,0.49
121,0.49,0.19,1,7,6,24,23,3480149,123,3378786,0.19,0.19,0.49
122,0.49,0.19,1,7,6,24,23,3584553,124,3480150,0.19,0.19,0.49
123,0.49,0.19,1,7,6,24,23,3692090,125,3584554,0.19,0.19,0.49
124,0.49,0.19,1,7,6,25,24,3802853,126,3692091,0.19,0.19,0.49
125,0.49,0.19,1,7,6,25,24,3916939,127,3802854,0.19,0.19,0.49
126,0.49,0.19,1,7,6,25,24,4034447,128,3916940,0.19,0.19,0.49
127,0.49,0.19,1,7,6,25,24,4155480,129,4034448,0.19,0.19,0.49
128,0.49,0.19,1,7,6,25,24,4280144,130,4155481,0.19,0.19,0.49
129,0.49,0.19,1,7,6,26,25,4408548,131,4280145,0.19,0.19,0.49
130,0.49,0.19,1,7,6,26,25,4540804,132,4408549,0.19,0.19,0.49
131,0.49,0.19,1,7,6,26,25,4677028,133,4540805,0.19,0.19,0.49
132,0.49,0.19,1,7,6,26,25,4817339,134,4677029,0.19,0.19,0.49
133,0.49,0.19,1,7,6,26,25,4961859,135,4817340,0.19,0.19,0.49
134,0.49,0.19,1,7,6,27,26,5110715,136,4961860,0.19,0.19,0.49
135,0.49,0.19,1,7,6,27,26,5264036,137,5110716,0.19,0.19,0.49
136,0.49,0.19,1,7,6,27,26,5421957,138,5264037,0.19,0.19,0.49
137,0.49,0.19,1,7,6,27,26,5584616,139,5421958,0.19,0.19,0.49
138,0.49,0.19,1,7,6,27,26,5752154,140,5584617,0.19,0.19,0.49
139,0.49,0.19,1,7,6,28,27,5924719,141,5752155,0.19,0.19,0.49
140,0.49,0.19,1,7,6,28,27,6102461,142,5924720,0.19,0.19,0.49
141,0.49,0.19,1,7,6,28,27,6285535,143,6102462,0.19,0.19,0.49
142,0.49,0.19,1,7,6,28,27,6474101,144,6285536,0.19,0.19,0.49
143,0.49,0.19,1,7,6,28,27,6668324,145,6474102,0.19,0.19,0.49
144,0.49,0.19,1,7,6,29,28,6868374,146,6668325,0.19,0.19,0.49
145,0.49,0.19,1,7,6,29,28,7074425,147,6868375,0.19,0.19,0.49
146,0.49,0.19,1,7,6,29,28,7286658,148,7074426,0.19,0.19,0.49
147,0.49,0.19,1,7,6,29,28,7505258,149,7286659,0.19,0.19,0.49
148,0.49,0.19,1,7,6,29,28,99999999,150,7505259,0.19,0.19,0.49
