变量名,cost1,cost2,cost3,cost7,cost5,cost4,cost6
12,{gold=1020000;502=2;161=400},{gold=1122000;502=2;161=440},{gold=1224000;502=2;161=480},{gold=2142000;502=2;161=840},{gold=1530000;502=2;161=600},{gold=1326000;502=2;161=520},{gold=1836000;502=3;161=720}
13,{gold=1080000;161=425},{gold=1188000;161=470},{gold=1296000;161=510},{501=1;gold=2268000;161=895},{gold=1620000;161=640},{gold=1404000;161=555},{501=1;gold=1944000;161=765}
14,{501=1;gold=1140000;161=450},{501=1;gold=1254000;161=495},{501=1;gold=1368000;161=540},{501=1;gold=2394000;161=945},{501=1;gold=1710000;161=675},{501=1;gold=1482000;161=585},{501=1;gold=2052000;161=810}
15,{gold=1200000;502=2;161=475},{gold=1320000;502=2;161=525},{gold=1440000;502=2;161=570},{161=1000;501=1;502=2;gold=2520000},{gold=1800000;502=2;161=715},{gold=1560000;502=2;161=620},{161=855;501=1;502=3;gold=2160000}
16,{gold=1260000;161=500},{gold=1386000;161=550},{gold=1512000;161=600},{501=1;gold=2646000;161=1050},{gold=1890000;161=750},{gold=1638000;161=650},{501=1;gold=2268000;161=900}
17,{501=1;gold=1320000;161=525},{501=1;gold=1452000;161=580},{501=1;gold=1584000;161=630},{501=1;gold=2772000;161=1105},{501=1;gold=1980000;161=790},{501=1;gold=1716000;161=685},{501=1;gold=2376000;161=945}
18,{gold=1380000;502=2;161=550},{gold=1518000;502=2;161=605},{gold=1656000;502=2;161=660},{161=1155;501=1;502=2;gold=2898000},{gold=2070000;502=2;161=825},{gold=1794000;502=2;161=715},{161=990;501=1;502=2;gold=2484000}
19,{501=1;gold=1440000;161=575},{501=1;gold=1584000;161=635},{501=1;gold=1728000;161=690},{501=1;gold=3024000;161=1210},{501=1;gold=2160000;161=865},{501=1;gold=1872000;161=750},{501=1;gold=2592000;161=1035}
20,{gold=1500000;502=2;161=600},{gold=1650000;502=2;161=660},{gold=1800000;502=2;161=720},{gold=3150000;502=2;161=1260},{gold=2250000;502=2;161=900},{gold=1950000;502=2;161=780},{gold=2700000;502=3;161=1080}
21,{501=1;gold=1560000;161=625},{501=1;gold=1716000;161=690},{501=1;gold=1872000;161=750},{501=1;gold=3276000;161=1315},{501=1;gold=2340000;161=940},{501=1;gold=2028000;161=815},{501=1;gold=2808000;161=1125}
22,{gold=1620000;502=2;161=650},{gold=1782000;502=2;161=715},{gold=1944000;502=2;161=780},{gold=3402000;502=2;161=1365},{gold=2430000;502=2;161=975},{gold=2106000;502=2;161=845},{gold=2916000;502=3;161=1170}
23,{501=1;gold=1680000;161=675},{501=1;gold=1848000;161=745},{501=1;gold=2016000;161=810},{501=1;gold=3528000;161=1420},{501=1;gold=2520000;161=1015},{501=1;gold=2184000;161=880},{501=1;gold=3024000;161=1215}
24,{gold=1740000;502=2;161=700},{gold=1914000;502=2;161=770},{gold=2088000;502=2;161=840},{161=1470;501=1;502=2;gold=3654000},{gold=2610000;502=2;161=1050},{gold=2262000;502=2;161=910},{161=1260;501=1;502=3;gold=3132000}
25,{161=725;501=1;502=2;gold=1800000},{161=800;501=1;502=2;gold=1980000},{161=870;501=1;502=2;gold=2160000},{161=1525;501=1;502=2;gold=3780000},{161=1090;501=1;502=2;gold=2700000},{161=945;501=1;502=2;gold=2340000},{161=1305;501=1;502=3;gold=3240000}
26,{161=750;501=1;502=2;gold=1860000},{161=825;501=1;502=2;gold=2046000},{161=900;501=1;502=2;gold=2232000},{161=1575;501=1;502=2;gold=3906000},{161=1125;501=1;502=2;gold=2790000},{161=975;501=1;502=2;gold=2418000},{161=1350;501=1;502=3;gold=3348000}
27,{161=775;501=1;502=2;gold=1920000},{161=855;501=1;502=2;gold=2112000},{161=930;501=1;502=2;gold=2304000},{161=1630;501=1;502=2;gold=4032000},{161=1165;501=1;502=2;gold=2880000},{161=1010;501=1;502=2;gold=2496000},{161=1395;501=1;502=3;gold=3456000}
28,{161=800;501=1;502=2;gold=1980000},{161=880;501=1;502=2;gold=2178000},{161=960;501=1;502=2;gold=2376000},{161=1680;501=1;502=2;gold=4158000},{161=1200;501=1;502=2;gold=2970000},{161=1040;501=1;502=2;gold=2574000},{161=1440;501=1;502=3;gold=3564000}
29,{161=825;501=1;502=2;gold=2040000},{161=910;501=1;502=2;gold=2244000},{161=990;501=1;502=2;gold=2448000},{161=1735;501=1;502=2;gold=4284000},{161=1240;501=1;502=2;gold=3060000},{161=1075;501=1;502=2;gold=2652000},{161=1485;501=1;502=3;gold=3672000}
