变量名,attr7,attr5,attr2,attr3,attr6,attr4,attr1
默认值,{},{},{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值
17,{1=4527;7=1246;8=1246;9=477;10=477},{1=4179;7=1150;8=1150;9=440;10=440},{1=3656;7=1006;8=1006;9=385;10=385},{1=3830;7=1054;8=1054;9=404;10=404},{1=4353;7=1198;8=1198;9=459;10=459},{1=4004;7=1102;8=1102;9=422;10=422},{1=3482;7=958;8=958;9=367;10=367}
18,{1=4825;7=1328;8=1328;9=510;10=510},{1=4454;7=1226;8=1226;9=470;10=470},{1=3897;7=1073;8=1073;9=412;10=412},{1=4083;7=1124;8=1124;9=431;10=431},{1=4640;7=1277;8=1277;9=490;10=490},{1=4269;7=1175;8=1175;9=451;10=451},{1=3712;7=1022;8=1022;9=392;10=392}
19,{1=5126;7=1411;8=1411;9=541;10=541},{1=4731;7=1302;8=1302;9=499;10=499},{1=4140;7=1139;8=1139;9=437;10=437},{1=4337;7=1194;8=1194;9=457;10=457},{1=4929;7=1356;8=1356;9=520;10=520},{1=4534;7=1248;8=1248;9=478;10=478},{1=3943;7=1085;8=1085;9=416;10=416}
20,{1=5424;7=1493;8=1493;9=573;10=573},{1=5007;7=1378;8=1378;9=529;10=529},{1=4381;7=1206;8=1206;9=463;10=463},{1=4590;7=1263;8=1263;9=485;10=485},{1=5216;7=1436;8=1436;9=551;10=551},{1=4798;7=1321;8=1321;9=507;10=507},{1=4173;7=1148;8=1148;9=441;10=441}
21,{1=5761;7=1586;8=1586;9=607;10=607},{1=5317;7=1464;8=1464;9=561;10=561},{1=4653;7=1281;8=1281;9=491;10=491},{1=4874;7=1342;8=1342;9=514;10=514},{1=5539;7=1525;8=1525;9=584;10=584},{1=5096;7=1403;8=1403;9=537;10=537},{1=4431;7=1220;8=1220;9=467;10=467}
22,{1=6097;7=1678;8=1678;9=644;10=644},{1=5628;7=1549;8=1549;9=594;10=594},{1=4924;7=1356;8=1356;9=520;10=520},{1=5159;7=1420;8=1420;9=545;10=545},{1=5862;7=1614;8=1614;9=619;10=619},{1=5393;7=1485;8=1485;9=569;10=569},{1=4690;7=1291;8=1291;9=495;10=495}
23,{1=6435;7=1771;8=1771;9=680;10=680},{1=5940;7=1635;8=1635;9=627;10=627},{1=5198;7=1430;8=1430;9=549;10=549},{1=5445;7=1498;8=1498;9=575;10=575},{1=6188;7=1703;8=1703;9=653;10=653},{1=5693;7=1567;8=1567;9=601;10=601},{1=4950;7=1362;8=1362;9=523;10=523}
24,{1=6771;7=1864;8=1864;9=714;10=714},{1=6250;7=1720;8=1720;9=659;10=659},{1=5469;7=1505;8=1505;9=577;10=577},{1=5730;7=1577;8=1577;9=604;10=604},{1=6511;7=1792;8=1792;9=686;10=686},{1=5990;7=1649;8=1649;9=631;10=631},{1=5209;7=1434;8=1434;9=549;10=549}
25,{1=7108;7=1956;8=1956;9=750;10=750},{1=6561;7=1806;8=1806;9=692;10=692},{1=5741;7=1580;8=1580;9=606;10=606},{1=6014;7=1655;8=1655;9=635;10=635},{1=6834;7=1881;8=1881;9=721;10=721},{1=6288;7=1731;8=1731;9=663;10=663},{1=5467;7=1505;8=1505;9=577;10=577}
26,{1=7482;7=2059;8=2059;9=789;10=789},{1=6906;7=1901;8=1901;9=729;10=729},{1=6043;7=1663;8=1663;9=638;10=638},{1=6331;7=1742;8=1742;9=668;10=668},{1=7194;7=1980;8=1980;9=759;10=759},{1=6618;7=1822;8=1822;9=698;10=698},{1=5755;7=1584;8=1584;9=607;10=607}
27,{1=7856;7=2162;8=2162;9=829;10=829},{1=7252;7=1996;8=1996;9=765;10=765},{1=6345;7=1746;8=1746;9=669;10=669},{1=6647;7=1830;8=1830;9=701;10=701},{1=7554;7=2079;8=2079;9=797;10=797},{1=6949;7=1913;8=1913;9=733;10=733},{1=6043;7=1663;8=1663;9=638;10=638}
28,{1=8230;7=2265;8=2265;9=868;10=868},{1=7597;7=2091;8=2091;9=802;10=802},{1=6647;7=1830;8=1830;9=701;10=701},{1=6964;7=1917;8=1917;9=735;10=735},{1=7913;7=2178;8=2178;9=835;10=835},{1=7280;7=2004;8=2004;9=768;10=768},{1=6331;7=1742;8=1742;9=668;10=668}
29,{1=8604;7=2368;8=2368;9=908;10=908},{1=7942;7=2186;8=2186;9=838;10=838},{1=6949;7=1913;8=1913;9=733;10=733},{1=7280;7=2004;8=2004;9=768;10=768},{1=8273;7=2277;8=2277;9=873;10=873},{1=7611;7=2095;8=2095;9=803;10=803},{1=6618;7=1822;8=1822;9=698;10=698}
30,{1=8978;7=2471;8=2471;9=947;10=947},{1=8287;7=2281;8=2281;9=874;10=874},{1=7252;7=1996;8=1996;9=765;10=765},{1=7597;7=2091;8=2091;9=802;10=802},{1=8633;7=2376;8=2376;9=911;10=911},{1=7942;7=2186;8=2186;9=838;10=838},{1=6906;7=1901;8=1901;9=729;10=729}
