变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs
408264,,1,14,,,,,,,<4081191;4081195>,<999;999>,"<self:flagZ4() and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<<0>;0>,,
409111,,,,,,,,,,,,,,,409111,
409112,,,,,,,,,,<4091111>,<1>,<1>,,<1>,,
409121,,,,,,,,,,,,,,,409121,
409122,,,,,,,,,,<4091211>,<2>,<1>,,<0>,,
409123,,,,,,,,,,<4091217>,<2>,<self:flagZ2() and 1 or 0>,,<0>,,
409131,,,11,,,,,,,,,,,,409131,
409132,,,11,,,,,,,,,,,,409132,
409133,,,,,,,,,,,,,,,,
409134,,1,14,,,,,,,<4091311>,<1>,<1>,,<self:hpMax()*0.2>,,
409135,,,,enemyForce|nodead,rowback,,,,,<4091312>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
409136,,1,14,,,,,,,<4091313>,<1>,<1>,,<0>,,
409161,,1,14,,,,,,,<4091611>,<999>,<1>,,<0>,,
409162,,,,selfForce|nodead,"battleFlagDiffer('battleFlag', {1200})|exclude(list(csvSelf:id()))",,,,,<4091612>,<999>,<1>,,<self:BhpMax()*(0.05+skillLevel*0.0005-0.0005)>,,
409163,,1,14,,,,,,,<4091613>,<999>,<1>,,<self:BhpMax()*(0.05+skillLevel*0.0005-0.0005)>,,
409164,,1,14,,,,,,,<4091614>,<999>,<self:flagZ4() and 1 or 0>,,<0>,,
409165,,1,14,,,,,,,<4091621;4091621;4091621>,<999;999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0;moreE(self:star(),6) and 1 or 0>",,<0;0;0>,,
409166,,1,14,,,,,,,<4091623>,<999>,<1>,,<0>,,
409171,,,,,,,,,,,,,,,409171,
409172,,1,14,,,,,,,<4091626>,<1>,<1>,,<0>,,
410111,,,,,,,,,,,,,,,410111,
410112,,,,,,,,,,<4101111>,<1>,<self:flagZ1() and 1 or 0>,,"<list(list(c.gabuff1_oc()),2,1)>",,
410113,,,,,,,,,,,,,,,,
410121,,,,,,,,,,,,,,,410121,
410122,,1,14,,,,,,,<4101322>,<4>,<1>,,<0>,,
410123,,,,,,,,,,<4101321>,<5>,<1>,,<<list(2);list(0);list(c.debuff1_debuff2_oc());15;1>>,,
410124,,,,,,,,,,<4101214>,<2>,<self:flagZ2() and 1 or 0>,,<0>,,
410131,,,,,,,,,,,,,,,410131,
410132,,,,,,,,,,,,,,,410132,
410133,,,,,,,,,,<4101211>,<1>,<1>,,<0>,,
410134,,1,14,,,,,,,<4101341>,<1>,<1>,,"<(20+skillLv(41016,41026) *0.2-0.2)*100>",,
410135,,1,14,,,,,,,<4101010>,<1>,"<ifElse(skill:getDamageState('strike'),0,1)>",,<0>,,
410136,,1,14,,,,,,,<4101331>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<0>,,
410161,,1,14,,,,,,,<4101611;4101631>,<999;999>,<1;1>,,<0;0>,,
410162,,1,14,,,,,,,,,,,,,
410163,,,,,,,,,,,,,,,,
410211,,,,,,,,,,,,,,,410211,
410212,,,,,,,,,,<4101111>,<1>,<self:flagZ1() and 1 or 0>,,"<list(list(c.gabuff1_oc()),2,1)>",,
410213,,,,,,,,,,,,,,,,
410221,,,,,,,,,,,,,,,410221,
410222,,1,14,,,,,,,<4101322>,<4>,<1>,,<0>,,
410223,,,,,,,,,,<4101321>,<5>,<1>,,<<list(2);list(0);list(c.debuff1_debuff2_oc());15;1>>,,
410224,,,,,,,,,,<4101214>,<2>,<self:flagZ2() and 1 or 0>,,<0>,,
410231,,,,,,,,,,,,,,,410231,
410232,,,,,,,,,,,,,,,410232,
410233,,,,,,,,,,<4101211>,<1>,<1>,,<0>,,
410234,,1,14,,,,,,,<4101341>,<1>,<1>,,"<(20+skillLv(41016,41026) *0.2-0.2)*100>",,
410235,,1,14,,,,,,,<4101010>,<1>,"<ifElse(skill:getDamageState('strike'),0,1)>",,<0>,,
410236,,1,14,,,,,,,<4101331>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<0>,,
410261,,1,14,,,,,,,<4101611;4101631>,<999;999>,<1;1>,,<0;0>,,
410262,,1,14,,,,,,,,,,,,,
410263,,,,,,,,,,,,,,,,
410311,,,,,,,,,,,,,,,410311,
410312,,1,14,,,,,,,<4103111;4103314>,<2;999>,<1;1>,,<self:Bdefence()*0.2;self:Bdefence()*0.2+(self:hasBuff(4103314) and self:getBuff(4103314):getValue() or 0)>,,
410313,,1,14,,,,,,,<4103114>,<2>,<1>,,<self:Bdamage()*0.1>,,
410314,,1,14,,,,,,,<4103113>,<999>,<self:flagZ1() and 1 or 0>,,<self:defence()*2>,,
410321,,,,,,,,,,,,,,,410321,
410322,,1,14,,,,,,,<4103212;4103211>,<999;1>,<1;1>,,<self:defence()*3;0>,,
410323,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {11,17})|attr({""damage"",""specialDamage""},""max"",1)",,,,,<4103212;4103211>,<999;1>,<self:flagZ2() and 1 or 0;self:flagZ2() and 1 or 0>,,<self:defence()*3;0>,,
410331,,,11,,,,,,,,,,,,410331,
410332,,,11,,,,,,,,,,,,410332,
410333,,1,14,,,,,,,<4103321>,<self:hasBuff(4103822) and 2 or 1>,<1>,,<0>,,
410334,,1,14,,,,,,,<4103315>,<self:hasBuff(4103822) and 2 or 1>,<1>,,<0>,,
410335,,1,14,,,,,,,<4103360;4103362>,<self:hasBuff(4103822) and 2 or 1;self:hasBuff(4103822) and 2 or 1>,"<moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and moreE(self:getBuffOverlayCount(4103621),5) and 1 or 0>",,<0;<0>>,,
410351,,,,,,,,,,,,,,,410351,
410352,,1,14,,,,,,,<4103657>,<999>,<1>,,<self:sTDmg()*1>,,
410353,,,,enemyForce | nodead,useOtherProcess(410351),,,,,<4103658>,<999>,<1>,,<self:defence()*1*self:getBuffOverlayCount(4103621)>,,
410361,,1,14,,,,,,,<4103610>,<999>,<1>,,<<0>>,,
410362,,1,14,,,,,,,<4103631>,<999>,<1>,,<0>,,
410363,,1,14,,,,,,,<4103641>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<0>,,
410364,,1,14,,,,,,,<4103650>,<999>,"<moreE(self:star(),7) and 1 or 0>",,<<0>>,,
410365,,1,14,,,,,,,<4103811>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,
410366,,1,14,,,,,,,<4103350>,<999>,<self:flagZ3() and 1 or 0>,,<0>,,
410371,,,,,,,,,,,,,,,410341,
410372,,,,,,,,,,<4103617>,<1>,<1>,,<0>,,
410373,,,,selfForce()|nodead,"buffDiffer('id',{4103631})",,,,,<4103621>,<999>,<1>,,<0>,,
410374,,1,14,,,,,,,<4103615;4103228>,<1;1>,<1;1>,,<0;0>,,
410375,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {11,17})|shuffle|sortByProcess(""buffDiffer"",{""id"",{4103211}})|limit(1)",,,,,<4103216>,<999>,<1>,,"<<list(1,0,0);1;1>>",,
410381,,,4,,,,,,,,,,,,410341,
410382,,1,14,,,,,,,<4103711>,<1>,<1>,,<<list();list();list(c.zhangaiwuflag_oc())>>,,
410383,,,,enemyForce | nodead,useOtherProcess(410381),,,,,<4103618>,<1>,<1>,,<0>,,
410384,,,,selfForce()|nodead,"buffDiffer('id',{4103631})",,,,,<4103621>,<999>,<1>,,<0>,,
410385,,1,14,,,,,,,<4103615;4103229>,<1;1>,<1;1>,,<0;0>,,
410386,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {11,17})|shuffle|sortByProcess(""buffDiffer"",{""id"",{4103211}})|limit(2)",,,,,<4103216>,<999>,<1>,,"<<list(1,0,0);1;1>>",,
410391,,,11,,,,,,,,,,,,410331,
410392,,,11,,,,,,,,,,,,410332,
410393,,1,14,,,,,,,<4103321>,<self:hasBuff(4103822) and 2 or 1>,<1>,,<0>,,
410394,,1,14,,,,,,,<4103315>,<1>,<1>,,<0>,,
410395,,1,14,,,,,,,<4103360;4103362>,<self:hasBuff(4103822) and 2 or 1;self:hasBuff(4103822) and 2 or 1>,"<moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and moreE(self:getBuffOverlayCount(4103621),5) and 1 or 0>",,<0;<0>>,,
410396,,1,14,,,,,,,<4103355>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
410411,,,,,,,,,,,,,,,410411,
410412,,1,14,,,,,,,<4104111;4104112>,<2;2>,<1;1>,,<self:BhpMax()*0.1;1000>,,
410413,,,,enemyForce|nodead,"buffDifferExclude('group',{c.fly_notbuff_oc()})|random(1)",,,,,<4104617>,<1>,<self:flagZ1() and 1 or 0>,,<0>,,
410421,,,,,,,,,,,,,,,410421,
410422,,1,14,,,,,,,<4104211>,<1>,<1>,,<0>,,
410423,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer('natureType', {14})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",1)",,,,,<4104211;4104221>,<1;1>,<1;1>,,<0;1>,,
410424,,,,selfForce|nodead,"otherProcessExcept(410422,410423)|attrDiffer('natureType', {14})|random(1)",,,,,<4104211;4104221>,<1;1>,<self:flagZ2() and 1 or 0;self:flagZ2() and 1 or 0>,,<0;1>,,
410425,,1,14,,,,,,,<4104231>,<1>,<self:flagZ2() and 1 or 0>,,"<min(self:hpMax()*0.15,self:specialDamage()*3)>",,
410431,,,,enemyForce | nodead,random(1),,,,,,,,,,,
410432,,,,enemyForce | nodead,otherProcessExcept(410431)|random(1),,,,,,,,,,,
410433,,,,enemyForce | nodead,"otherProcessExcept(410431,410432)|random(1)",,,,,,,,,,,{prob=(self:flagZ3() and 1 or 0);needUpdateTarget=TRUE}
410434,,,,enemyForce | nodead,"buffDifferExclude('group',{c.fly_notbuff_oc()})|random(3)",,,,,,,,,,410431,
410435,,,,enemyForce | nodead,useOtherProcess(410434),,,,,,,,,,410432,
410436,,,,enemyForce | nodead,useOtherProcess(410434),,,,,<4104311>,<1>,<target:natureIntersection(list(16)) and 0 or 1>,,<0>,,
410437,,1,14,,,,,,,<4104321>,<1>,<1>,,<<0>>,,
410461,,1,14,,,,,,,<4104611;4104711;4104851>,<999;999;999>,<1;1;1>,,<0;0;0>,,
410462,,1,14,,,,,,,<4104661>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<0>,,
410463,,1,14,,,,,,,<4104910>,<999>,"<moreE(self:star(),7) and 1 or 0>",,<<0>>,,
410464,,1,14,,,,,,,<4104411>,<999>,"<moreE(self:star(),8) and 0 or 0>",,<0>,,
410465,,1,14,,,,,,,<4104000;4104001>,<999;999>,<1;1>,,<0;0>,,
410466,,1,14,,,,,,,<4104351>,<999>,<0>,,<<0>>,,
410467,,1,14,,,,,,,<4104651;4104651;4104651>,<999;999;999>,<1;1;1>,,<0;0;0>,,
410471,,,,,,,,,,,,,,,402411,
410472,,,,,,,,,,<4104617>,<1>,<1>,,<0>,,
410511,,,,,,,,,,,,,,,410511,
410521,,,,,,,,,,,,,,,410521,
410531,,,11,,,,,,,,,,,,410531,
410532,,,11,,,,,,,,,,,,410532,
410551,,,,,,,,,,,,,,,410551,
410561,,1,14,,,,,,,<4103000>,<999>,<1>,,<0>,,
410571,,,,,,,,,,,,,,,410541,
410581,,,4,,,,,,,,,,,,410541,
410591,,,11,,,,,,,,,,,,410531,
410592,,,11,,,,,,,,,,,,410532,
410611,,,,,,,,,,,,,,,410611,
410621,,,,,,,,,,,,,,,410621,
410634,,,,enemyForce | nodead,"buffDifferExclude('group',{c.fly_notbuff_oc()})|random(3)",,,,,,,,,,410631,
410635,,,,enemyForce | nodead,useOtherProcess(410634),,,,,,,,,,410632,
410636,,,,enemyForce | nodead,useOtherProcess(410634),,,,,<4104311>,<1>,<target:natureIntersection(list(16)) and 0 or 1>,,<0>,,
410665,,1,14,,,,,,,<4104000;4104002>,<999;999>,<1;1>,,<0;0>,,
411111,,,,,,,,,,,,,,,411111,
411112,,1,14,,,,,,,<4112111>,<2>,<1>,,<1000>,,
411113,,,,,,,,,,<4112121>,<2>,<self:flagZ1() and 1 or 0>,,<0>,,
411121,,,4,,,,,,,,,,,,411121,
411122,,1,14,,,,,,,<4112211>,<3>,<1>,,<<2;100;1>>,,
411123,,,,selfForce | nodead,"exclude(list(csvSelf:id()))|buffDifferExclude('id',{4112211})|random(1)",,,,,<4112211>,<3>,<1>,,<<2;100;1>>,,
411131,,,,selectedTwoColumn,,,,,,,,,,,411131,
411132,,,,enemyForce | nodead,useOtherProcess(411131),,,,,,,,,,411132,
411133,,1,14,,,,,,,<4112311;4112331>,<3;999>,<1;1>,,<0;0>,,
411134,,,,enemyForce | nodead,"buffDifferExclude('id',{4112633})|random(1)",,,,,<4112632>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<0>,,
411135,,,,selfForce | nodead,"exclude(list(csvSelf:id()))|attrDiffer('natureType', {17,18})|setSelectAttr({'damage','specialDamage'},'max')|attrWitOutFilter('selectAttr','max',1)",,,,,<4112610>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
411161,,1,14,,,,,,,<4112631>,<999>,<1>,,<0>,,
411162,,1,14,,,,,,,<4112681>,<1>,<self:flagZ4() and 1 or 0>,,<0>,,
411163,,,,,,,,,,,,,,,,
411211,,,,,,,,,,,,,,,411211,
411212,,1,14,,,,,,,<4112111>,<2>,<1>,,<500>,,
411213,,,,,,,,,,<4112121>,<2>,<self:flagZ1() and 1 or 0>,,<0>,,
411221,,,4,,,,,,,,,,,,411221,
411222,,1,14,,,,,,,<4112211>,<3>,<1>,,<<2;100;1>>,,
411223,,,,selfForce | nodead,"exclude(list(csvSelf:id()))|buffDifferExclude('id',{4112211})|random(1)",,,,,<4112211>,<3>,<1>,,<<2;100;1>>,,
411231,,,,selectedTwoColumn,,,,,,,,,,,411231,
411232,,,,enemyForce | nodead,useOtherProcess(411131),,,,,,,,,,411232,
411233,,1,14,,,,,,,<4112311;4112331>,<3;999>,<1;1>,,<0;0>,,
411234,,,,enemyForce | nodead,"buffDifferExclude('id',{4112633})|random(1)",,,,,<4112632>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<0>,,
411235,,,,selfForce | nodead,"exclude(list(csvSelf:id()))|attrDiffer('natureType', {17,18})|setSelectAttr({'damage','specialDamage'},'max')|attrWitOutFilter('selectAttr','max',1)",,,,,<4112610>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
411261,,1,14,,,,,,,<4112631>,<999>,<1>,,<0>,,
411262,,1,14,,,,,,,<4112681>,<1>,<self:flagZ4() and 1 or 0>,,<0>,,
411263,,,,,,,,,,,,,,,,
412111,,,,,,,,,,,,,,,412111,
412112,,1,14,,,,,,,<4122111;4122114>,<999;2>,<1;1>,,<0;2000>,,
412113,,,,,,,,,,<4122113>,<1>,<self:hasBuff(4122112) and 1 or 0>,,<-100>,,
412114,,1,14,,,,,,,<4122121>,<1>,<self:flagZ1() and 1 or 0>,,<1500>,,
412121,,,,,,,,,,,,,,,412121,
412122,,1,14,,,,,,,<4122211>,<1>,<1>,,<5000>,,
412131,,,,,,,,,,,,,,,412131,
412132,,,,,,,,,,,,,,,412132,
412133,,1,14,,,,,,,<4122341>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<<self:flag(200) and 41224 or 41214>>,,
412134,,1,14,,,,,,,<4122311>,<2>,<1>,,"<<list(1,0,0);1;1;list(self:flag(200) and 41229 or 41219)>>",,
412135,,,,selfForce,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {14,7})",,,,,<4122351>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
412141,,,,,,,,,,,,,,,412148,
412142,,1,14,,,,,,,,,,,,,
412161,,1,14,,,,,,,<4122611;4122621>,<999;999>,<1;1>,,<2500;0>,,
412162,,1,14,,,,,,,<4122661;4122681>,<999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<0;<1;1;0>>,,
412163,,,,selfForce,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {14})|random(1)",,,,,<4122611>,<999>,<1>,,<2500>,,
412191,,,,,,,,,,,,,,,412191,
412192,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412191,""nodead"");value=<useOtherProcess(412191);attr(""hp"",""min"",1)>}}",,,,,,,,,412192,{prob=1;needUpdateTarget=TRUE}
412193,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412192,""nodead"");value=<useOtherProcess(412192);attr(""hp"",""min"",1)>}}",,,,,,,,,412193,{prob=1;needUpdateTarget=TRUE}
412194,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412193,""nodead"");value=<useOtherProcess(412193);attr(""hp"",""min"",1)>}}",,,,,,,,,412194,{prob=1;needUpdateTarget=TRUE}
412195,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412194,""nodead"");value=<useOtherProcess(412194);attr(""hp"",""min"",1)>}}",,,,,,,,,412195,{prob=1;needUpdateTarget=TRUE}
412196,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412195,""nodead"");value=<useOtherProcess(412195);random(1)>}}",,,,<4122321>,<2>,<self:hasBuff(4122682) and 0 or 1>,,<0>,,{prob=1;needUpdateTarget=TRUE}
412197,,1,14,,,,,,,<4122111;4122111;4122111>,<999;999;999>,<1;1;1>,,<0;0;0>,,
412198,,,,,,,,,,<4122113>,<1>,<self:hasBuff(4122112) and 1 or 0>,,<-100>,,
412199,,1,14,,,,,,,<4122688>,<1>,<self:hasBuff(4122682) and 1 or 0>,,<0>,,
412211,,,,,,,,,,,,,,,412211,
412212,,1,14,,,,,,,<4122111;4122114>,<999;2>,<1;1>,,<0;2000>,,
412213,,,,,,,,,,<4122113>,<1>,<self:hasBuff(4122112) and 1 or 0>,,<-100>,,
412214,,1,14,,,,,,,<4122121>,<1>,<self:flagZ1() and 1 or 0>,,<1500>,,
412221,,,,,,,,,,,,,,,412221,
412222,,1,14,,,,,,,<4122211>,<1>,<1>,,<5000>,,
412231,,,,,,,,,,,,,,,412231,
412232,,,,,,,,,,,,,,,412232,
412233,,1,14,,,,,,,<4122341>,<1>,"<moreE(self:star(),11) and 1 or 0>",,<<self:flag(200) and 41224 or 41214>>,,
412234,,1,14,,,,,,,<4122311>,<2>,<1>,,"<<list(1,0,0);1;1;list(self:flag(200) and 41229 or 41219)>>",,
412235,,,,selfForce,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {14,7})",,,,,<4122351>,<1>,<self:flagZ3() and 1 or 0>,,<0>,,
412241,,,,,,,,,,,,,,,412248,
412242,,1,14,,,,,,,,,,,,,
412261,,1,14,,,,,,,<4122611;4122621>,<999;999>,<1;1>,,<2500;0>,,
412262,,1,14,,,,,,,<4122661;4122681>,<999;999>,"<moreE(self:star(),6) and 1 or 0;moreE(self:star(),8) and 1 or 0>",,<0;<1;1;0>>,,
412263,,,,selfForce,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {14})|random(1)",,,,,<4122611>,<999>,<1>,,<2500>,,
412291,,,,,,,,,,,,,,,412291,
412292,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412291,""nodead"");value=<useOtherProcess(412291);attr(""hp"",""min"",1)>}}",,,,,,,,,412292,{prob=1;needUpdateTarget=TRUE}
412293,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412292,""nodead"");value=<useOtherProcess(412292);attr(""hp"",""min"",1)>}}",,,,,,,,,412293,{prob=1;needUpdateTarget=TRUE}
412294,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412293,""nodead"");value=<useOtherProcess(412293);attr(""hp"",""min"",1)>}}",,,,,,,,,412294,{prob=1;needUpdateTarget=TRUE}
412295,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412294,""nodead"");value=<useOtherProcess(412294);attr(""hp"",""min"",1)>}}",,,,,,,,,412295,{prob=1;needUpdateTarget=TRUE}
412296,,,,enemyForce | nodead,,"{process={key=self:curSkill():checkProcessTargetsState(412295,""nodead"");value=<useOtherProcess(412295);random(1)>}}",,,,<4122321>,<2>,<self:hasBuff(4122682) and 0 or 1>,,<0>,,{prob=1;needUpdateTarget=TRUE}
412297,,1,14,,,,,,,<4122111;4122111;4122111>,<999;999;999>,<1;1;1>,,<0;0;0>,,
412298,,,,,,,,,,<4122113>,<1>,<self:hasBuff(4122112) and 1 or 0>,,<-100>,,
412299,,1,14,,,,,,,<4122688>,<1>,<self:hasBuff(4122682) and 1 or 0>,,<0>,,
412311,,,,,,,,,,,,,,,412311,
412312,,1,14,,,,,,,<4023645;4023111;4023112>,<999;2;2>,<1;self:flagZ1() and 0 or 1;self:flagZ1() and 1 or 0>,,<self:Bdefence()*(self:flagZ1() and 0.3 or 0.2)+(self:hasBuff(4023645) and self:getBuff(4023645):getValue() or 0);self:Bdefence()*0.2;self:Bdefence()*0.3>,,
412321,,,,,,,,,,,,,,,412321,
412322,,1,14,,,,,,,<4023211>,<999>,<1>,,<0>,,
412323,,,,selfForce()|nodead,"exclude(list(csvSelf:id()))|selfRowOptional|attrDifferOptional(""natureType"", {11,17})|random(1)",,,,,<4023221>,<999>,<1>,,<0>,,
412324,,,,selfForce()|nodead,"exclude(list(csvSelf:id()))|attrDiffer(""natureType"", {11,17})|random(1)",,,,,<4023211>,<999>,<self:flagZ2() and 1 or 0>,,<0>,,
412331,,,11,,,,,,,<4023331>,<2>,"<moreE(self:star(),11) and 1 or 0>",,<0>,412331,
412332,,,11,,,,,,,,,,,,412332,
412333,,,,enemyForce | nodead,curSelected,,,,,,,,,,,
412334,,,,enemyForce | nodead,otherProcessExcept(412333)|random(2),,,,,,,,,,,
412335,,,11,,,,,,,,,,,,,
412336,,,,enemyForce | nodead,,"{process={keyNum=self:flagZ3() and 2 or 1;value=<useOtherProcess(412333,412334);useOtherProcess(412335)>}}",,,,<4023311>,<1>,<1>,,<<0;3;3;0;100;10;40239>>,,
412337,,1,14,,,,,,,<4023321>,<1>,<1>,,<0>,,
412338,,,,enemyForce | nodead,useOtherProcess(412331),,,,,<4023352>,<1>,<self:flagZ3() and 1 or 0>,,<self:defence()+self:specialDefence()>,,
412341,,1,14,,,,,,,<4023630>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<<0>>,,
412351,,,,,,,,,,,,,,,412351,
412352,,1,14,,,,,,,<4023636;4023637>,<999;1>,<1;1>,,<0;self:curSkill():getTotalDamage()*0.5>,,
412361,,1,14,,,,,,,<4023611>,<999>,<1>,,<0>,,
412362,,1,14,,,,,,,<4023621>,<999>,<1>,,<0>,,
412363,,1,14,,,,,,,<4023641>,<999>,"<moreE(self:star(),8) and 1 or 0>",,<0>,,
412364,,1,14,,,,,,,<4023351>,<999>,<self:flagZ3() and 1 or 0>,,<<list(41233);list(41238)>>,,
412371,,,,,,,,,,<4023711>,<2>,<1>,,<-target:defence()*0.05>,412311,
412411,,,,,,,,,,,,,,,412411,
412412,,1,14,,,,,,,<4024111>,<2>,<1>,,"<min(self:BhpMax()*0.1,self:BspecialDamage()*3)>",,
412413,,,,enemyForce | nodead,"buffDifferOptional('id',{4024311})|random(1)",,,,,<4024321>,<1>,<self:flagZ1() and 1 or 0>,,<0>,,
412421,,,,,,,,,,,,,,,412421,
412422,,1,14,,,,,,,<4024211>,<1>,<1>,,<<1;1;1>>,,
412423,,,,selfForce|nodead,"exclude(list(csvSelf:id()))|attrDiffer('natureType', {14})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",1)",,,,,<4024211>,<1>,<1>,,<<1;1;1>>,,
412424,,,,selfForce|nodead,"otherProcessExcept(412422,412423)|attrDiffer('natureType', {14})|random(1)",,,,,<4024211>,<1>,<self:flagZ2() and 1 or 0>,,<<1;1;1>>,,
412425,,1,14,,,,,,,<4024212>,<1>,<self:flagZ2() and 1 or 0>,,"<min(self:hpMax()*0.15,self:specialDamage()*3)>",,
412431,,,,enemyForce | nodead,random(1),,,,,,,,,,,
412432,,,,enemyForce | nodead,otherProcessExcept(412431)|random(1),,,,,,,,,,,
412433,,,,enemyForce | nodead,"otherProcessExcept(412431,412432)|random(1)",,,,,,,,,,,{prob=(self:flagZ3() and 1 or 0);needUpdateTarget=TRUE}
412434,,,,enemyForce | nodead,,"{process={keyNum=self:flagZ3() and 2 or 1;value=<useOtherProcess(412431,412432);useOtherProcess(412431,412432,412433)>}}",,,,,,,,,412431,
412435,,,,enemyForce | nodead,useOtherProcess(412434),,,,,,,,,,412432,
412436,,,,enemyForce | nodead,useOtherProcess(412434),,,,,<4024311>,"<moreE(self:star(),11) and 2 or 1>",<1>,,<0>,,
412437,,1,14,,,,,,,<4024331>,<1>,<1>,,<0>,,
412461,,1,14,,,,,,,<4024611>,<999>,<1>,,<0>,,
412462,,1,14,,,,,,,<4024911>,<999>,<1>,,<0>,,
412463,,1,14,,,,,,,<4024711>,<999>,"<moreE(self:star(),6) and 1 or 0>",,<0>,,
