变量名,变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,buffFlag,iconShowType,roundInherit,spineEffect,skinEffect,extraOverlayLimit,pointEffect,effectViewArgs,delRefreshMode,rayEffect
7101337,,,,,,damageAdd,,,,,,,,,,1,1,,FALSE,battle/buff_icon/logo_shjc_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,1,<1>,,,,,,,,,,,,,,,,,,,,,,,,,
7101341,,,,,,,,,2,5315,,,,,,1,1,,,battle/buff_icon/icon_zrzy.png,,koudai_jiamianmegahuoyanji/hero_jiamianmegahuoyanji.skel,<zrzy_loop>,,825,,,{x=40;y=0},,koudai_jiamianmegahuoyanji/hero_jiamianmegahuoyanji.skel,zrzy_chuxian,,4,,{x=40;y=0},TRUE,,{pos=0;aniName=zrzy_xiaoshi;res=koudai_jiamianmegahuoyanji/hero_jiamianmegahuoyanji.skel},,battle/txt/txt_zrzy.png,,,,,,,{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{value=3000;cfgId=7101342;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>>};2={extraAttackTrigger=2;triggerPoint=14;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:damage()*1;caster=2;holder=15;cfgId=7101343;prob=1;lifeRound=1}>;<{value=self:damage()*1;caster=2;holder=2;cfgId=7101344;prob=1;lifeRound=1}>>}},,,,,,,,,,,,,,,,<1;15>,,,,,,,,
7101342,,,,,,block,,,2,1028,,,,,,2,6,,FALSE,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
7101343,,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=3002;damageType=2;natureType=2}>,,,<1>,,,,,,,,,,,,,,,,<4002;4021>,,,,,,,,,
7101344,,,,,,assimilateDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,
7101351,,,,,,,,,2,70025,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_yxzz.png,,,,,,,"{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{value=1500;cfgId=7101352;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>;<{value=1500;cfgId=7101353;caster=2;bond=1;holder=1;lifeRound=999;prob=0}>;<{value=1500;cfgId=7101359;caster=2;bond=1;holder=1;lifeRound=999;prob=1}>;<{lifeRound=999;cfgId=7101356;value=<999;2;0;list(0,0.3);18>;caster=2;holder=1;bond=1;prob=1}>;<{lifeRound=999;cfgId=7101357;value=<1;2;2>;caster=2;holder=1;bond=1;prob=1}>;<{lifeRound=999;cfgId=7101358;value=<1;99;1>;caster=2;holder=1;bond=1;prob=1}>>};2={extraAttackTrigger=2;triggerPoint=10;effectFuncs=<castBuff>;funcArgs=<<{value=0;cfgId=7101355;caster=2;bond=1;holder=2;lifeRound=999;prob=1}>>};3={extraAttackTrigger=2;triggerPoint=10;onSomeFlag=<moreE(self:getBuffOverlayCount(7101355),5)>;delSelfWhenTriggered=1}}",,,,,,,,,,,,,,,<1044>,,,{action={standby_loop=standby2_loop};unitRes=<koudai_jiamianmegahuoyanji/hero_jiamianmegahuoyanji.skel>},,,,,,
7101352,,,,,,strike,,,,1006,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101353,,,,,,strikeDamage,,,,1007,,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101354,,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=3002;damageType=2;natureType=2}>,,,<1>,,,,,,,,,,,,,,,,<4002;4021>,,,,,,,,,
7101355,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,,,,,,,,<9999>,,,,,,,,,
7101356,,,,,,lockHp,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{type=1;limit=1}>,1,,,,,{triggerEffect={onceEffectAniName=effect;textResPath=battle/txt/txt_mysw.png;onceEffectResPath=buff/miansi/miansi.skel}},,<2009;9999>,<1;10>,,,,,,,,
7101357,,,,,,alterDmgRecordVal,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{strike=setSign(list(c.yuansudamage_oc()),list(),'multiply')}>",,1,<1>,,,,,,,,,1,,,,,,,,,{gameEnd=0;wave=0},,,,,,,
7101358,,,,,,alterDmgRecordVal,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),intersection(arg.buffFlag,list(3002,71014)) and list(calFinalDamage*1.2) or list(calFinalDamage*1))>}>",,,,,,,,,,,,,,,,,,,<3014>,,,,,,,,,
7101359,,,,,,damageSub,,,,70011,,,,,,1,1,,FALSE,battle/buff_icon/logo_shjm_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,,,<1;10>,,,,,,,,
7101360,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{lifeRound=1;value=<list(1,0,0);1;1>;holder=1;caster=2;prob=self:flagZ3() and 0 or 1;cfgId=7101361}>;<{lifeRound=1;value=<list(1,0,0);1;1;list(71015)>;holder=1;caster=2;prob=self:flagZ3() and 1 or 0;cfgId=7101371}>>}}",,,,,,,,,,,,,,,,,,,,,,,,
7101361,,,,,,assistAttack,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,<{input=curHeroMainTarget;process=random(1)}>,,,{0={triggerPoint=1};1={extraAttackTrigger=3;triggerPoint=7;onSomeFlag=<getExtraRoundId()==7101361>;effectFuncs=<castBuff>;funcArgs=<<{value=2000;caster=2;holder=1;cfgId=7101362;prob=1;lifeRound=1}>>}},,,,,,,,,,,,,,,<1022>,,,,,,,,,
7101362,,,,,,finalSkillAddRate,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zd2.png,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101371,,,,,,assistAttack,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,<{input=curHeroMainTarget;process=random(1)}>,,,"{0={triggerPoint=1};1={extraAttackTrigger=3;triggerPoint=7;onSomeFlag=<getExtraRoundId()==7101371>;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder=1;cfgId=7101372;prob=1;lifeRound=1}>>};2={extraAttackTrigger=3;triggerPoint=8;onSomeFlag=<getExtraRoundId()==7101371 and (self:curSkill():getDamageState('strike') or (not target:curSkill():getDamageState('block')))>;effectFuncs=<castBuff>;funcArgs=<<{lifeRound=1;value=<list(1,0,0);1;1;list(71015)>;holder=1;caster=2;prob=1;cfgId=7101373}>>};3={extraAttackTrigger=3;triggerPoint=8;onSomeFlag=<getExtraRoundId()==7101371>;effectFuncs=<castBuff>;funcArgs=<<{value=self:damage()*1;caster=2;holder=8;cfgId=7101375;prob=1;lifeRound=1}>>}}",,,,,,,,,,,,,,,<1022>,,,,,,,,,
7101372,,,,,,finalSkillAddRate,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bylt.png,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101373,,,,,,assistAttack,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,<{input=curHeroMainTarget;process=random(1)}>,,,{0={triggerPoint=1};1={extraAttackTrigger=3;triggerPoint=7;onSomeFlag=<getExtraRoundId()==7101373>;effectFuncs=<castBuff>;funcArgs=<<{value=3333;caster=2;holder=1;cfgId=7101374;prob=1;lifeRound=1}>>};2={extraAttackTrigger=3;triggerPoint=8;onSomeFlag=<getExtraRoundId()==7101371>;effectFuncs=<castBuff>;funcArgs=<<{value=self:damage()*0.65;caster=2;holder=8;cfgId=7101375;prob=1;lifeRound=1}>>}},,,,,,,,,,,,,,,<1022>,,,,,,,,,
7101374,,,,,,finalSkillAddRate,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_zd2.png,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101375,,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=3002;damageType=2;natureType=2}>,,,<1>,,,,,,,,,,,,,,,,<4002;4021>,,,,,,,,,
7101601,,,,,,finalDamageAdd,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,1,,,,,,,,,,,,,,,,
7101602,,,,,,finalDamageSub,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,,,,,,,,,1,,,,,,,,,,,,,,,,
7101611,,,,,,aura,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{0={triggerPoint=1};1={triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{value=0;cfgId=7101612;caster=2;bond=1;holder=20;lifeRound=999;prob=target2:natureIntersection(list(2,7)) and (target2:id()==self:id() and 0 or 1) or 0}>>};2={extraAttackTrigger=2;triggerPoint=7;effectFuncs=<castBuff>;funcArgs=<<{value=(0.1+(skillLv(71016) or 0)*0.001-0.001)*10000;caster=2;holder=2;cfgId=7101613;prob=1;lifeRound=1}>>};3={extraAttackTrigger=2;triggerPoint=8;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=500;caster=2;holder=2;cfgId=7101614;prob=1;lifeRound=1}>;<{value=1000;caster=2;holder=2;cfgId=7101615;prob=1;lifeRound=1}>>};4={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{value=0;cfgId=7101616;caster=2;bond=1;holder=2;lifeRound=999;prob=1}>>}}",,,,,,,,1,,,,,,,,,,,,,,,,
7101612,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0={triggerPoint=1};1={extraAttackTrigger=2;triggerPoint=7;effectFuncs=<castBuff>;onSkillType=3;funcArgs=<<{value=(0.1+(skillLv(71016) or 0)*0.001-0.001)*10000;caster=2;holder=1;cfgId=7101613;prob=1;lifeRound=1}>>}},,,,,,,,,,,,,,,,,,,,,,,,
7101613,,,,,,damageAdd,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101614,,,,,,damageAdd,,,2,1005,,,,,,2,6,,,battle/buff_icon/logo_shjc_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,1,<1>,,,2,,,,,,,,,,,,,,,,,,,,,,
7101615,,,,,,block,,,2,1028,,,,,,2,6,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
7101616,,,,,,,,,2,70040,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101621,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{0={triggerPoint=1};1={extraAttackTrigger=2;triggerPoint=7;effectFuncs=<castBuff;castBuff;castBuff>;funcArgs=<<{value=700*self2:sumBuffOverlayByGroup(c.ptzhuoshao_oc());caster=8;holder=2;cfgId=7101622;prob=1;lifeRound=1}>;<{value=300*min(5,self2:sumBuffOverlayByGroup(c.ptzhuoshao_oc()));caster=8;holder=2;cfgId=7101623;prob=1;lifeRound=1}>;<{lifeRound=1;value=<1;98;1>;holder=2;caster=8;prob=moreE(self2:sumBuffOverlayByGroup(c.ptzhuoshao_oc()),5) and (not self2:natureIntersection(list(3)) and 1 or 0) or 0;cfgId=7101624}>>}}",,,,,,,,1,,,,,,,,,,,,,,,,
7101622,,,,,,strike,,,,1006,102,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,1,<1>,,,4,,,,,,,,,,,,,,,,,,,,,,
7101623,,,,,,strikeDamage,,,,1007,102,,,,,1,1,,,battle/buff_icon/logo_bjsh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,1,<1>,,,4,,,,,,,,,,,,,,,,,,,,,,
7101624,,,,,,alterDmgRecordVal,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{strike=<setValue(list(""strike""),list(200000))>}>",,1,<1>,,,4,,,,,,,,,,,,,,,,,,,,,,
7101631,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{0={triggerPoint=1};1={triggerPoint=8;onSomeFlag=<self:curSkill():getDamageState('strike')>;effectFuncs=<castBuff>;funcArgs=<<{lifeRound=1;holder=2;value=<list(1,0,0);1;1>;caster=2;cfgId=7101632}>>};2={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{lifeRound=999;cfgId=7101633;value=<1;98;1>;caster=2;holder=2;bond=1;prob=1}>>};3={extraAttackTrigger=2;triggerPoint=14;effectFuncs=<castBuff>;funcArgs=<<{value=3000;caster=15;holder=2;cfgId=7101637;prob=self2:natureIntersection(list(4,6,12,17,1,13,16,18)) and 1 or 0;lifeRound=1}>>}}",,,,,,,,1,,,,,,,,,,,,,,,,
7101632,,,,,,assistAttack,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,<{input=curHeroMainTarget;process=random(1)}>,,,"{0={triggerPoint=1};1={extraAttackTrigger=3;triggerPoint=8;onSomeFlag=<getExtraRoundId()==7101632>;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:damage()*0.5;caster=2;holder=8;cfgId=7101635;prob=1;lifeRound=1}>;<{value=2000;caster=2;holder=2;cfgId=7101638;prob=1;lifeRound=1}>>};2={triggerPoint=8;onSomeFlag=<self:curSkill():getDamageState('strike') and getExtraRoundId()==7101632>;effectFuncs=<castBuff>;funcArgs=<<{lifeRound=1;value=<list(1,0,0);1;1>;holder=2;caster=2;prob=0.5;cfgId=7101636}>>};3={extraAttackTrigger=3;triggerPoint=7;onSomeFlag=<getExtraRoundId()==7101632>;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder=2;cfgId=7101634;prob=1;lifeRound=1}>>}}",,2,,,,,,,,,,,,,<1022>,,,,,,,,,
7101633,,,,,,alterDmgRecordVal,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{block=<setValue(list(""breakBlock""),list(ifElse(arg.strike == true,100000,target:breakBlock()*10000)))>}>",,1,<1>,,,,,,,,,,,,,,,,,,,,,,,,,
7101634,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_hylt.png,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101635,,,,,,buffDamage,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=3002;damageType=2;natureType=2}>,,,<1>,,,,,,,,,,,,,,,,<4002;4021>,,,,,,,,,
7101636,,,,,,assistAttack,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,<{input=curHeroMainTarget;process=random(1)}>,,,{0={triggerPoint=1};1={extraAttackTrigger=3;triggerPoint=8;onSomeFlag=<getExtraRoundId()==7101636>;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=self:damage()*0.5;caster=2;holder=8;cfgId=7101635;prob=1;lifeRound=1}>;<{value=2000;caster=2;holder=2;cfgId=7101638;prob=1;lifeRound=1}>>};2={extraAttackTrigger=3;triggerPoint=7;onSomeFlag=<getExtraRoundId()==7101636>;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder=2;cfgId=7101634;prob=1;lifeRound=1}>>}},,2,,,,,,,,,,,,,<1022>,,,,,,,,,
7101637,,,,,,block,,,2,,,,,,,1,1,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
7101638,,,,,,block,,,2,1028,,,,,,2,10,,,battle/buff_icon/logo_dyl_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_dyltg.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101640,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<1>,"{0={triggerPoint=1};1={triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{value=0;caster=2;holder={input=enemyForce|nodead;process=buffDifferExclude('group',{c.fly_notbuff_oc()})|setSelectAttr({""damage"",""specialDamage""},""max"")|attr(""selectAttr"",""max"",(csvSelf:flagZ4() and 2 or 1))};cfgId=7101641;prob=1;lifeRound=999}>>}}",,,,,,,<{type=1;limit=1}>,1,,,,,,,<9998>,,,,,,,,,
7101641,,,,,,,,,,,,,,,,1,1,,,battle/buff_icon/icon_sd.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_sd2.png,,,,,1,<1>,"{0={triggerPoint=1};1={extraAttackTrigger=2;triggerPoint=10;onSomeFlag=<less(self:getBuffOverlayCount(7101651),3)>;effectFuncs=<castBuff;castBuff>;funcArgs=<<{lifeRound=1;value=<list(1,0,0);1;1>;holder=2;caster=7;prob=self2:id()==self:id() and 0 or (self2:natureIntersection(list(2,7)) and 1 or 0);cfgId=7101642}>;<{value=0;caster=7;holder=2;cfgId=7101651;prob=self2:id()==self:id() and 0 or 1;lifeRound=1}>>};2={extraAttackTrigger=2;triggerPoint=7;effectFuncs=<castBuff>;funcArgs=<<{value=5000;caster=8;holder=1;cfgId=7101643;prob=self2:id()==self:id() and 1 or 0;lifeRound=1}>>};3={extraAttackTrigger=2;triggerPoint=14;effectFuncs=<castBuff;castBuff>;funcArgs=<<{value=1500;caster=15;holder=15;cfgId=7101644;prob=self2:id()==self:id() and 1 or 0;lifeRound=1}>;<{value=1500;caster=15;holder=15;cfgId=7101645;prob=self2:id()==self:id() and 1 or 0;lifeRound=1}>>};4={triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{lifeRound=999;cfgId=7101649;value={1=1;2=1;3=0;5=4};caster=2;holder=2;bond=1;prob=1}>;<{lifeRound=999;cfgId=7101649;value={1=1;2=1;3=0;5=4};caster=2;holder=2;bond=1;prob=1}>>};5={triggerPoint=13;effectFuncs=<castBuff;castBuff;castBuff;castBuff>;funcArgs=<<{value=1500;caster=2;holder=2;cfgId=7101646;prob=1;lifeRound=999}>;<{value=1000;caster=2;holder=2;cfgId=7101647;prob=1;lifeRound=999}>;<{value=self:hpMax()*0.3;caster=2;holder=2;cfgId=7101648;prob=1;lifeRound=1}>;<{value=0;caster=2;holder=2;cfgId=7101650;prob=0;lifeRound=1}>>}}",,,,,,,<{type=1;limit=1}>,1,,,,,,,<9998>,<1;20>,,,,,,,,
