变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
102,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,8,<200;200>,,,
103,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,8,<200;200>,,,
104,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,8,<200;200>,,,
105,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,8,<200;200>,,,
106,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,8,<200;200>,,,
107,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,8,<200;200>,,,
108,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,8,<200;200>,,,
109,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,8,<200;200>,,,
110,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,8,<200;200>,,,
111,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
112,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
113,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
114,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
115,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,8,<200;200>,,,
116,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,8,<200;200>,,,
117,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,8,<200;200>,,,
118,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,8,<200;200>,,,
119,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
120,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
121,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,8,<200;200>,,,
122,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,8,<200;200>,,,
,,,,,,,,,,,,,
201,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,7,<200;200>,,,
202,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,7,<200;200>,,,
203,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,7,<200;200>,,,
204,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,7,<200;200>,,,
205,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,7,<200;200>,,,
206,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,7,<200;200>,,,
207,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,7,<200;200>,,,
208,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,7,<200;200>,,,
209,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,7,<200;200>,,,
210,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,7,<200;200>,,,
211,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,7,<200;200>,,,
212,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,7,<200;200>,,,
213,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,7,<200;200>,,,
214,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,7,<200;200>,,,
215,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,7,<200;200>,,,
216,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,7,<200;200>,,,
217,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,7,<200;200>,,,
218,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,7,<200;200>,,,
219,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,7,<200;200>,,,
220,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,7,<200;200>,,,
221,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,7,<200;200>,,,
222,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,7,<200;200>,,,
,,,,,,,,,,,,,
301,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,9,<200;200>,,,
302,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,9,<200;200>,,,
303,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,9,<200;200>,,,
304,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,9,<200;200>,,,
305,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,9,<200;200>,,,
306,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,9,<200;200>,,,
307,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,9,<200;200>,,,
308,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,9,<200;200>,,,
309,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,9,<200;200>,,,
310,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,9,<200;200>,,,
311,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,9,<200;200>,,,
312,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,9,<200;200>,,,
313,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,9,<200;200>,,,
314,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,9,<200;200>,,,
315,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,9,<200;200>,,,
316,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,9,<200;200>,,,
317,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,9,<200;200>,,,
318,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,9,<200;200>,,,
319,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,9,<200;200>,,,
320,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,9,<200;200>,,,
321,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,9,<200;200>,,,
322,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,9,<200;200>,,,
,,,,,,,,,,,,,
401,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,11,<200;200>,,,
402,宝石21,{5001=100;5002=100;5003=100},30,{coin2=300},,100,,,11,<200;200>,,,
403,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,11,<200;200>,,,
404,宝石22,{5004=100;5005=100;5006=100},30,{coin2=360},,100,,,11,<200;200>,,,
405,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,11,<200;200>,,,
406,宝石31,{5007=100;5008=100;5009=100},30,{coin2=360},,100,,,11,<200;200>,,,
407,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,11,<200;200>,,,
408,宝石32,{5010=100;5011=100;5012=100},30,{coin2=430},,100,,,11,<200;200>,,,
409,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,11,<200;200>,,,
410,宝石33,{5013=100;5014=100;5015=100},30,{coin2=500},,100,,,11,<200;200>,,,
411,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,11,<200;200>,,,
412,宝石41,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,11,<200;200>,,,
413,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,11,<200;200>,,,
414,宝石42,{5019=100;5020=100;5021=100},30,{coin2=650},,100,,,11,<200;200>,,,
415,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,11,<200;200>,,,
416,宝石51,{5022=100;5023=100;5024=100},30,{coin2=720},,100,,,11,<200;200>,,,
417,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,11,<200;200>,,,
418,宝石52,{5025=100;5026=100;5027=100},30,{coin2=790},,100,,,11,<200;200>,,,
419,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,11,<200;200>,,,
420,宝石53,{5028=100;5029=100;5030=100},30,{coin2=860},,100,,,11,<200;200>,,,
421,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,11,<200;200>,,,
422,宝石54,{5031=100;5032=100;5033=100},30,{coin2=930},,0,,,11,<200;200>,,,
