变量名,room,_roomType,_beizhu,icon,weight,group,name,monsterType,type,desc,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
46,8,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
47,8,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
48,9,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,50000,200,{libs=<500;504;>},{libs=<506;505;>}
49,10,换层,,,,,,,,,,,,,,,,,,,
50,11,3选1被动,定库被动1,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;100>>,,,,,,
51,11,3选1被动,定库被动2,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<102;100>>,,,,,,
52,11,3选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;100>;<1000;90>;<2223;100>>,,,,,,
10052,11,3选1被动,定库被动3,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<200;100>;<1000;90>;<2224;100>>,,,,,,
53,12,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
54,12,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
55,12,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
56,12,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
57,12,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
58,12,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
59,13,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10059,13,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
60,13,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
61,13,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
10061,13,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
62,13,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
63,13,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
64,13,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
65,13,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,-1,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,12000,20,{libs=<504;504;>},
66,13,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
67,13,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
68,13,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
69,14,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10069,14,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
70,14,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
71,14,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
10071,14,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
72,14,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
73,14,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
74,14,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
75,14,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,12000,20,{libs=<504;504;>},
76,14,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
77,14,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
78,14,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
79,15,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10079,15,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10080,15,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10081,15,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
80,15,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
81,15,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
82,15,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
10082,15,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
83,15,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
84,15,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
85,15,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,12000,20,{libs=<504;504;>},
86,15,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
87,15,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
88,15,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
89,16,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
90,16,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
91,16,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
92,16,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
93,16,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
94,16,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
95,16,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,12000,20,{libs=<504;504;>},
96,16,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
97,16,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
98,16,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
99,17,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
100,17,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
101,17,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
102,17,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
103,17,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
104,17,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
105,18,混合,补给大,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
106,18,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
107,18,混合,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<2;100>>,,,,,,
108,18,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
109,18,混合,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<3;100>>,,,,,,
110,18,混合,随机事件中,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
111,19,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,极为艰难的力量在前方,4,0.8,0.8,,,,,,,,
112,19,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,霸主,4,1,最为艰难的力量在前方,4,,,,,,,,,,
113,20,大宝箱,大宝箱,city/adventure/random_tower/icon_hhbx.png,,,豪华宝箱,,3,跨越巨大挑战后才会配拥有此回报,,,,,,,2,60000,200,{libs=<501;503;504>},{libs=<506;505;>}
114,21,换层,,,,,,,,,,,,,,,,,,,
115,22,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
116,22,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
117,22,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
10117,22,3选1被动,混合被动,city/adventure/random_tower/icon/icon_wz.png,,,战斗加成,,2,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
118,23,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
119,23,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
120,23,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
121,23,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
122,23,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
123,23,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
124,24,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
10124,24,混固箱,属性加成小,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>>,,,,,,
125,24,混固箱,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
126,24,混固箱,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
127,24,混固箱,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
128,24,混固箱,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
129,24,混固箱,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
130,24,混固箱,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,14000,20,{libs=<504;504;>},
131,24,混固箱,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
132,24,混固箱,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
133,24,混固箱,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
134,25,混固怪,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
135,25,混固怪,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
136,25,混固怪,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
137,25,混固怪,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
138,25,混固怪,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
139,25,混固怪,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
140,25,混固怪,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,14000,20,{libs=<504;504;>},
141,25,混固怪,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
142,25,混固怪,普通,city/adventure/random_tower/icon/img_ptdr@.png,-1,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
143,25,混固怪,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
144,26,混固补,属性加成小,city/adventure/random_tower/icon/icon_wz.png,-1,,属性加成,,2,,,,,,<<1;100>>,,,,,,
145,26,混固补,补给,city/adventure/random_tower/icon/icon_wz.png,-1,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
146,26,混固补,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
147,26,混固补,属性加成大,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
148,26,混固补,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
149,26,混固补,随机事件中,city/adventure/random_tower/icon/icon_sj.png,0,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
150,26,混固补,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,14000,20,{libs=<504;504;>},
151,26,混固补,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
152,26,混固补,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
153,26,混固补,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
154,27,混固事,属性加成小,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>>,,,,,,
155,27,混固事,补给,city/adventure/random_tower/icon/icon_wz.png,,,战斗补给,,2,,,,,,<<5;100>>,,,,,,
156,27,混固事,属性加成中,city/adventure/random_tower/icon/icon_wz.png,,,属性加成,,2,,,,,,<<1;100>;<2;40>>,,,,,,
157,27,混固事,属性加成大,city/adventure/random_tower/icon/icon_wz.png,0,,属性加成,,2,,,,,,<<1;100>;<2;20>>,,,,,,
158,27,混固事,随机事件劣,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,谁也不知道会发生什么,,,,,,<<1;100>;<2;10>>,,,,,
159,27,混固事,随机事件中,city/adventure/random_tower/icon/icon_sj.png,-1,,事件,,4,你的选择也许会带来幸运，也可能会招致灾祸,,,,,,<<2;100>;<3;10>>,,,,,
160,27,混固事,小宝箱,city/adventure/random_tower/icon_bx.png,,,宝箱,,3,不经意间发现的宝箱,,,,,,,1,14000,20,{libs=<504;504;>},
161,27,混固事,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,0.6,,,,,,,,
162,27,混固事,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,0.6,,,,,,,,
163,27,混固事,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,0.6,,,,,,,,
164,28,战斗,简单,city/adventure/random_tower/icon/img_jddr@.png,,,简单的敌人,1,1,似乎是可以轻松击败的对手,1,,,,,,,,,,
165,28,战斗,困难,city/adventure/random_tower/icon/img_kndr@.png,,,困难的敌人,3,1,请谨慎挑选对手,3,,,,,,,,,,
166,28,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
167,28,战斗,普通,city/adventure/random_tower/icon/img_ptdr@.png,,,普通的敌人,2,1,小有实力，但是不足为惧的对手,2,,,,,,,,,,
