变量名,group,desc,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
14,2,我方精灵暴击率+10%,120,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,1000,,,,,,,,,,,,,,,3,,,
15,3,我方精灵暴击率+15%,150,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,1500,,,,,,,,,,,,,,TRUE,1,,,
16,1,我方精灵暴击伤害+10%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,1000,,,,,,,,,,,,,,,,,,
17,2,我方精灵暴击伤害+15%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,1500,,,,,,,,,,,,,,,3,,,
18,3,我方精灵暴击伤害+20%,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,2000,,,,,,,,,,,,,,TRUE,1,,,
19,1111,我方精灵物理防御力+15%,20,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,15%,,,,,,,,,,,,,,,,,,
20,1111,我方精灵物理防御力+20%,50,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,20%,,,,,,,,,,,,,,,3,,,
21,1111,我方精灵物理防御力+25%,10,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,25%,,,,,,,,,,,,,,TRUE,1,,,
22,1111,我方精灵特殊防御力+15%,20,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,15%,,,,,,,,,,,,,,,,,,
23,1111,我方精灵特殊防御力+20%,50,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,20%,,,,,,,,,,,,,,,3,,,
24,1111,我方精灵特殊防御力+25%,10,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,25%,,,,,,,,,,,,,,TRUE,1,,,
25,1,我方精灵物理和特殊防御力+10%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,10%,9,10%,,,,,,,,,,,,,,,,
26,2,我方精灵物理和特殊防御力+15%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,15%,9,15%,,,,,,,,,,,,,3,,,
27,3,我方精灵物理和特殊防御力+20%,200,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,20%,9,20%,,,,,,,,,,,,,2,,,
28,1,我方精灵伤害减免+5%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,500,,,,,,,,,,,,,,,,,,
29,2,我方精灵伤害减免+10%,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,1000,,,,,,,,,,,,,,,3,,,
30,3,我方精灵伤害减免+15%,50,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,1500,,,,,,,,,,,,,,TRUE,1,,,
31,1,我方精灵抵御+10%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,1000,,,,,,,,,,,,,,,,,,
32,2,我方精灵抵御+15%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,1500,,,,,,,,,,,,,,,,,,
33,3,我方精灵抵御+20%,50,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,17,2000,,,,,,,,,,,,,,,,,,
34,1,我方精灵吸血+4%,50,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,400,,,,,,,,,,,,,,,,,,
35,2,我方精灵吸血+8%,40,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,800,,,,,,,,,,,,,,,,,,
36,3,我方精灵吸血+10%,30,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,1,,26,1000,,,,,,,,,,,,,,,,,,
37,4,回复一只精灵25%生命值,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
38,5,回复一只精灵50%生命值,50,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,50,,,,,,,,,,1
39,5,回复一只精灵100%生命值,10,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,100,,,,,,,,,,1
40,4,回复一只精灵25%生命值,1,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
41,4,回复一只精灵200怒气值,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,25,,,,,,,,,,2
42,5,回复一只精灵500怒气值,50,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,50,,,,,,,,,,2
43,5,回复一只精灵1000怒气值,10,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
44,5,回复一只精灵1000怒气值,1,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
45,4,复活一只精灵,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
46,5,复活一只精灵,20,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
47,4,复活一只精灵,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
48,5,复活一只精灵,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
49,6,上阵精灵血量全回复,20,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,2,100,,,,,,,,,,1
50,6,上阵精灵怒气全回复,20,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,2,100,,,,,,,,,,2
51,6,复活一只精灵,1,city/adventure/random_tower/icon/icon_fh.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
52,99,战斗结束时可以额外获得剩余回合数*2的积分,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,1,2,,,,TRUE,,,,
53,99,战斗结束时可以额外获得存活精灵数*1的积分,10,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,2,1,,,,TRUE,,,,
54,99,战斗结束时可以额外获得存活精灵数*2的积分,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,2,2,,,,TRUE,,,,
55,99,战斗结束时可以额外获得当前层数*2的积分,,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,3,2,,,,TRUE,,,,
56,99,我方精灵物攻和特攻+5%,1,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,21,我方精灵物攻+20%,,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,7,20%,,,,,,,,,,,,,,TRUE,1,,,
102,21,我方精灵特攻+20%,,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,,8,20%,,,,,,,,,,,,,,TRUE,1,,,
103,21,我方精灵物攻和特攻+15%,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,15%,7,15%,,,,,,,,,,,,,2,,,
104,21,我方精灵伤害加成+20%,,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,22,2000,,,,,,,,,,,,,,TRUE,1,,,
105,21,我方精灵暴击率+20%,,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,14,2000,,,,,,,,,,,,,,TRUE,1,,,
106,21,我方精灵暴击伤害+30%,,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,1,,15,30%,,,,,,,,,,,,,,TRUE,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,22,我方精灵物理防御力+30%,,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,1,,9,30%,,,,,,,,,,,,,,TRUE,1,,,
122,22,我方精灵特殊防御力+30%,,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,1,,10,30%,,,,,,,,,,,,,,TRUE,1,,,
123,22,我方精灵物理和特殊防御力+25%,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,1,,10,25%,9,25%,,,,,,,,,,,,,2,,,
124,22,我方精灵伤害减免+20%,,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,1,,23,2000,,,,,,,,,,,,,,TRUE,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1111,当前生命值减少10%,,,,,2,,,,,,,,,4,2,10,,,,,,,,,,
201,1111,当前生命值减少20%,,,,,2,,,,,,,,,4,2,20,,,,,,,,,,
202,1111,当前生命值减少30%,,,,,2,,,,,,,,,4,2,30,,,,,,,,,,
203,1111,当前怒气值减少200,,,,,2,,,,,,,,,5,2,20,,,,,,,,,,
204,1111,当前怒气值减少500,,,,,2,,,,,,,,,5,2,50,,,,,,,,,,
205,1111,当前怒气值减少1000,,,,,2,,,,,,,,,5,2,100,,,,,,,,,,
206,1111,当前怒气值增加500,,,,,2,,,,,,,,,2,2,50,,,,,,,,,,
207,1111,我方精灵速度-20%,,city/adventure/random_tower/icon/icon_wf.png,,effect_lan,1,,13,-20%,,,,,,,,,,,,,,,,,,
208,1111,我方精灵速度-40%,,city/adventure/random_tower/icon/icon_wf.png,,effect_lan,1,,13,-40%,,,,,,,,,,,,,,,,,,
210,1111,上阵精灵血量全回复,,,,,2,,,,,,,,,1,2,100,,,,,,,,,,
211,1111,上阵精灵怒气全回复,,,,,2,,,,,,,,,2,2,100,,,,,,,,,,
212,1111,我方精灵物攻-5%,,city/adventure/random_tower/icon/icon_tg.png,,effect,1,,7,-5%,,,,,,,,,,,,,,,,,,
213,1111,我方精灵特攻-5%,,city/adventure/random_tower/icon/icon_tg.png,,effect,1,,8,-5%,,,,,,,,,,,,,,,,,,
214,1111,上阵精灵血量回复20%,,,,,2,,,,,,,,,1,2,20,,,,,,,,,,
215,1111,上阵精灵怒气增加200,,,,,2,,,,,,,,,2,2,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,103,我方精灵生命值小于40%时，每次攻击伤害提升10%（可叠加）,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80001,,,TRUE,1,5,,
1002,200,我方精灵每损失10%生命值，伤害提升8%,,city/adventure/random_tower/icon/icon_cxsh.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80002,,,TRUE,,,5,
1003,200,每次对敌方造成伤害时额外附加当前自身损失生命值的8%的真实伤害,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80003,,,TRUE,,,5,
1004,200,每次对敌方造成伤害时额外附加敌方已损失生命值的5%的真实伤害,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80004,,,TRUE,,,2,
1005,101,自身攻击力提升，提升的值为当前防御力的30%,,city/adventure/random_tower/icon/icon_qs.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80005,,,TRUE,1,7,,
1006,999,进入战斗首次使用大招时，额外获得50%暴击率加成,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80006,1,,TRUE,,,,
1007,200,每使用一次大招，额外提升10%伤害加成，效果持续到战斗结束,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80007,,,TRUE,,,2,
1008,200,每使用一次普攻或者小技能，下一次使用大招时伤害提升10%，使用大招后加成消失,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80008,,,TRUE,,,2,
1009,200,我方精灵生命值小于50%时，获得20%伤害减免，直到战斗结束,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_blue,4,,,,,,,,,,,,,,80009,,,TRUE,,,5,
1010,200,我方精灵生命值小于30%时，额外提升30%吸血，直到战斗结束,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80010,,,TRUE,,,5,
1011,200,每受到一次伤害提升15%物理和特殊防御力，最多叠加3次，持续2回合,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_blue,4,,,,,,,,,,,,,,80011,,,TRUE,,,7,
1012,200,精灵当前生命值每降低10%，提升5%吸血,,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80012,,,TRUE,,,5,
1013,102,将自身所有的吸血加成转化为自身的护盾值（护盾值=生命上限*吸血率*1.5），护盾持续2回合,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80013,,,TRUE,1,9,,
1014,200,有护盾时免疫控制效果,,city/adventure/random_tower/icon/icon_qs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80014,,,TRUE,,,9,
1015,200,我方精灵受到伤害时有5%概率沉默攻击者一回合,,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80015,,,TRUE,,,7,
1016,1000,战斗开始时，额外获得100怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80016,,,TRUE,,,,
1017,1000,击败敌人时，额外获得100怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80017,,,TRUE,,,,
1018,1000,受到伤害时，额外获得100怒气值,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80018,,,TRUE,,,,
1019,101,给所有在场的精灵提供当前属性种类*5%（只计算第一属性）的物攻和特攻,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80019,,,TRUE,1,1,,
1020,1111,每场战斗随机一个精灵获得20%的物攻和特攻属性加成,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80020,,,TRUE,,,2,
1021,102,计算上阵精灵的属性（只计算第一属性），对使用最多的属性类型的精灵额外提升其数量*5%的物攻和特攻,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80021,,,TRUE,1,2,,
1022,1000,造成特攻伤害时，暴击率提升5%，持续2回合，最多可叠加4次，叠加刷新持续时间,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect,4,,,,,,,,,,,,,,80022,,,TRUE,,,,
1023,1000,每获得20%特攻加成，可额外获得10%物攻加成,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80023,,,TRUE,1,,,
1024,1000,提升20%暴击伤害，造成暴击时回复自身生命上限10%的生命值,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80024,,,TRUE,,,,
1025,1000,每获得20%物攻加成，可额外获得10%特攻加成,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80025,,,TRUE,,,,
1026,200,对受控敌人造成伤害时解除其控制效果，并对其造成当前血量20%的伤害,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80026,,,TRUE,1,,6,
1027,1000,造成特攻暴击伤害时，额外提升20%此次暴击伤害，并回复此伤害值5%的生命值,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80027,,,TRUE,,,,
1028,1000,每大回合结束时解除我方所有精灵随机一种控制效果,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80028,,,TRUE,1,,,
1029,1111,攻击时结算目标身上的所有持续伤害，使其身上的剩余持续伤害值立即生效,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80029,,,TRUE,,6,,
1030,200,每回合开始时解除自身身上的一个负面效果，每解除一个，该回合获得5%伤害加成和5%伤害减免，最高叠加4层,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80030,,,TRUE,,,6,
1031,103,受到攻击时降低目标5%的双攻，最高可叠加6次,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80031,,,TRUE,,6,,
1032,200,每有2%吸血加成，额外提升1%伤害加成,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80032,,,TRUE,,,6,
1033,9999,每次攻击永久降低敌人10%物理和特殊攻击力，持续2回合，最多叠加4层,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80033,,,TRUE,,,7,
1034,200,每有2%吸血加成，额外提升1%伤害加成,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80034,,,TRUE,,,8,
1035,1111,造成伤害后获得当前伤害15%的恢复量,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80035,,,TRUE,,8,,
1036,200,每次造成伤害额外附加护盾值的伤害,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80036,,,TRUE,,,9,
1037,200,造成伤害时，额外提升 当前护盾/当前生命值 的伤害,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80037,,,TRUE,,,9,
1038,999,下一次战斗中，我方精灵击杀敌人后可以获得100%的攻击力加成，持续2回合,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80038,1,,,,,,
1039,999,下一次战斗开始时，我方第一只行动的精灵造成双倍伤害,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80039,1,,,,,,
1040,9999,下一次战斗开始时，15%几率对方敌人的当前生命值减半，只有第一次挑战该战斗时可能触发，之后挑战不会触发,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect,4,,,,,,,,,,,,,,80040,1,,,,,,
1041,9999,下一次战斗开始时，敌人有50%概率直接死亡（每个敌人单独计算概率）,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80041,1,,,,,,
1042,200,每使用一种属性的精灵，额外获得2%的伤害减免,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80042,,,TRUE,,,1,
1043,1111,我方全体精灵的免控率提升30%,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80043,,,TRUE,,,6,
1044,1000,每5%额外防御力（以太乐园加成，特殊战斗加成，buff增益），提升5%反伤效果,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80044,,,TRUE,,,,
1045,200,每次造成伤害可以获得伤害值5%的护盾值,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80045,,,TRUE,,,9,
1046,200,每点溢出生命回复值转换为2点护盾值,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80046,,,TRUE,,,9,
1047,9999,我方首只精灵阵亡时，会在下一回合行动开始前复活，回复50%生命值和100%怒气值，此效果只可作用一场战斗,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80047,1,,,,,,
1048,1111,每回合开始20%晕眩敌方随机一个精灵,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80048,,,TRUE,,,6,
1049,200,我方精灵控制几率提升20%,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80049,,,TRUE,,,6,
1050,1111,战斗前2回合，己方物攻最高角色攻击后有50%的概率可获得额外行动回合,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80050,,,TRUE,,,6,
1051,200,增加10%中毒、流血、灼烧的伤害,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80051,,,TRUE,,,6,
1052,999,下一次战斗开始时，沉默所有敌人一回合,,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80052,1,,,,,,
1053,999,下一次战斗开始时，所有敌人陷入睡眠一回合,,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80053,1,,,,,,
