变量名,_beizhu,name,group,res,desc,onlyOne,limit,choice1,resultDesc1,result1,choice2,resultDesc2,result2,choice3,resultDesc3,result3
9,,神秘人,2,,忽然遇到一个形迹可疑的人，你向他搭话,,,你是谁,神秘人说出自己身份，其实他是一个探险家，从口袋里拿出一个宝石，你接过宝石后，得到了宝石的祝福，下一次开始战斗时，我方精灵获得1000初始怒气值,{buff=<1057>},你从哪里来,神秘人指了指某个方向，沿着那个方向，你发现了一个奇怪的装置，开启装置，获得了200额外积分,{points=200},你要到哪儿去,神秘人似乎不想告诉你，从口袋里掏出一个袋子交给了你，（获得一个小奖励）,{items={gold=15000}}
10,,未知力量,2,,似乎有某种奇怪的力量阻止你继续前行,,,调查原因,成功关上了妨碍装置，获得了一个奖励,{items={gold=5000}},绕道而行,找到了一条新的道路，正常前行（什么都没发生）,,勇往直前,似乎是触发了某个机关，上阵精灵减少20%当前生命值，怒气值增加50%,{buff=<200;206>}
11,,七夜之愿,3,,遇到了心情很好的基拉祈，它似乎在问你想要实现的愿望,TRUE,1,我要变强,下一次战斗开始时，15%几率对方敌人的当前生命值减半，只有第一次挑战该战斗时可能触发，之后挑战不会触发,{buff=<1040>},我要钻石,获得了50钻石,{items={rmb=50}},我要钱,获得了大量金钱,{items={gold=25000}}
12,,七夜之愿？,2,,遇到了心情一般的基拉祈，它似乎在问你想要实现的愿望,,,我要变强,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的金币的样子,{items={gold=6000}},我要钻石,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的钻石的样子,{items={rmb=10}},我要钱,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的金币的样子,{items={gold=6000}}
13,,七夜之愿？,1,,遇到了心情很差的基拉祈，它似乎在问你想要实现的愿望,,,我要变强,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的金币的样子,{items={gold=5000}},我要钻石,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的钻石的样子,{items={rmb=5}},我要钱,基拉祈解除变身恢复成了百变怪，什么都没有发生…......................等等，好像也不是，留下了少量的金币的样子,{items={gold=5000}}
14,,拦路凶兽,1,,一只巨大的请假王挡住了去路，它似乎睡得很香,,,叫醒它,请假王不乐意地离开了,,打醒它,请假王进行了反击，受到反击影响，全体精灵的攻击力加成降低5%,{buff=<212;213>},,,
15,,拦路凶兽,2,,一只巨大的请假王挡住了去路，它似乎睡得很香,,,叫醒它,请假王从睡梦中醒来，给了你一个香吻，获得祝福——下一次战斗开始时，沉默所有敌人一回合,{buff=<1052>},打醒它,请假王怕疼跑开了，它的身下似乎有一堆奇怪的东西,{items={gold=15000}},,,
16,,焦急的人,2,,你遇到了一个焦急左右走动的人，他向前向你搭话，希望你给他点钱买冰淇淋,,,给他钱,他开心地收下了，并给了你一个神秘的石头，下一次战斗开始时，所有敌人陷入睡眠一回合,{buff=<1053>},婉言拒绝他,他失望地走开了,,打跑他,他手中的精灵球闪烁着光芒，从里面跳出来一条暴鲤龙，受到惊吓，我方精灵怒气值被清空了,{buff=<205>}
17,,路不拾遗？,3,,发现地上有个钱包,,,等待失主,失主过来后看到，作为感谢，你得到了少量金币,{items={gold=10000}},私自收下,金币增加了，但是受到良心的谴责，我方阵容内精灵怒气值清空,{items={gold=25000};buff=<205>},置之不理,什么都没有发生,
18,,胖丁之歌,2,,看到了一只胖丁准备唱歌,,,听它唱,你安详地睡去，获得了充分的休息，上阵精灵血量回复了20%,{buff=<214>},制止它,胖丁非常生气，对你使用了连环巴掌，上阵精灵生命值减少了，但是获得了怒气值,{buff=<200;211>},拔腿就跑,跑离了胖丁的能力影响范围,
19,,胖丁之歌,2,,看到了一只胖丁准备唱歌,,,听它唱,你安详地睡去，获得了充分的休息，上阵精灵血量回复了20%,{buff=<214>},制止它,胖丁非常生气，对你使用了连环巴掌，上阵精灵生命值减少了，但是获得了怒气值,{buff=<200;211>},拔腿就跑,然而跑得还是太晚了，受到了胖丁能力影响，我方精灵生命值回复，同时怒气值减少了,{buff=<214;203>}
20,,神？,3,,忽然出现了一个自称为神的人，询问你是不是有掉了袋子,TRUE,1,我掉了个金色的袋子,获得了大量金币，但是上阵精灵生命值减少了,{items={gold=50000};buff=<202>},我掉了个银色的袋子,获得了大量金币，但是上阵精灵生命值减少了,{items={gold=25000};buff=<201>},我什么都没掉,诚实的孩子可以得到奖励,{items={rmb=20}}
21,,愿望,3,,来吧，说出你的愿望,,,强攻,下一次战斗中，我方精灵击杀敌人后可以获得100%的攻击力加成，持续2回合,{buff=<1038>},高速,下一次开始战斗时，我方精灵获得1000初始怒气值,{buff=<1057>},坐享其成,下一次战斗开始时，敌人有50%概率直接死亡（每个敌人单独计算概率）,{buff=<1041>}
22,,愿望,3,,来吧，说出你的愿望,,,免死,我方精灵阵亡时，立即复活，回复50%生命值和100%怒气值，此效果只可作用一次,{buff=<1047>},强攻,下一次战斗开始时，我方第一只行动的精灵造成双倍伤害,{buff=<1039>},控制,下一次战斗开始时，沉默所有敌人一回合,{buff=<1052>}
23,,吃？还是不吃？,3,,眼前有个男人正打算把大葱鸭烤起来吃,TRUE,1,我要吃肉,上阵精灵生命值完全回复,{buff=<210>},我要葱,最后的战斗中，战斗第二回合时清空敌方全体所有怒气值,{buff=<1102>},救下大葱鸭,与那个男子进行对战，救下并放走了大葱鸭，上阵精灵HP-10%，得到大葱鸭的祝福，进入战斗首次使用大招时，额外获得30%暴击率加成,{buff=<200;1006>}
24,,黑市商人,3,,出现了一个自称黑市商人的可疑的人，似乎说是可以救你于危难,TRUE,1,听听看,他从口袋里拿出一个宝珠，之后战斗中，每大回合结束时生命低于10%的敌方精灵将被死神伊裴尔塔尔收割，直接退场,{buff=<1110>},不理他,“作为客户扩展，这次就给你一点优惠吧”，下一次战斗开始时，沉默所有敌人一回合,{buff=<1052>},警觉,“哎呀哎呀，看来我还真是不被信任呢，这样吧，这个神秘符文算我送你了”获取了神秘符文的力量，之后的战斗击败敌人时，对其周围精灵造成该伤害值40%的伤害,{buff=<1116>}
25,,神秘人,3,,忽然遇到一个形迹可疑的人，你向他搭话,,,你是谁,神秘人说出自己身份，其实他是一个盗贼，从口袋里拿出一个灵玉，你接过灵玉后，得到了灵玉的祝福，之后战斗中，敌方精灵永久减少10%生命上限,{buff=<1114>},你从哪里来,神秘人指了指某个方向，沿着那个方向，你发现了一个奇怪的装置，开启装置，获得了200额外积分,{points=400},你要到哪儿去,神秘人似乎不想告诉你，从口袋里掏出一个袋子交给了你，（获得一个小奖励）,{items={gold=20000}}
26,,比克提尼的祝福,3,,野生的比克提尼出现了，那是象征着胜利的精灵，似乎可以给你祝福,TRUE,1,我的伤害不够，需要加强,给予你伤害增加的祝福，每大回合结束时对所有敌方精灵造成我方攻击最高精灵20%攻击的真实伤害,{buff=<1121>},我的精灵容易被击败，需要生存,给予你防御的祝福，进入战斗时获得一个全体护盾，该护盾可以吸收所有我方精灵受到的伤害，其吸收值与我方精灵中最高生命值相同,{buff=<1122>},敌人太强了,给予你湮灭的祝福，我方精灵使用必杀技时清除目标的所有增益效果,{buff=<1119>}
27,,今天的晚餐,3,,遇到一个沉思中的以太乐园训练家，她似乎是在为今天的晚餐发愁,TRUE,1,推荐她吃饭团,她接受了你的意见，去食堂买了饭团，并分了一个给你,{items={516=1}},时间不多，吃点便当算了吧,她接受了你的提议，去便利店买了些便当，并分了一些给你,{items={515=1}},,,
28,,潜入搜查？,2,,面前出现了一个自称是巡护员的人，似乎想请你协助调查附近精灵异常走失的情况,,1,热心协助,在你进入某个房间之后，被他暗算，上阵精灵生命值减少10%，但是怒气值增加了,{buff=<200;215>},表达怀疑,“没想到你居然能识破，此地不宜久留，我先走了”，你感到很不愉快，上阵精灵的怒气值增加了,{buff=<215>},,,
29,,潜入搜查,2,,面前出现了一个自称是巡护员的人，请你协助调查附近精灵异常走失的情况,,1,热心协助,和巡护员一起，与某个盗贼团伙发生了战斗，上阵精灵生命值减少10%，但是怒气值增加了,{buff=<200;215>},表达怀疑,“既然你不相信我也没办法，这样吧，我帮你治疗一下你的伙伴吧”，上阵精灵生命值获得了回复,{buff=<210>},,,
30,,点心房间,2,,进到了一个做点心的房间，但是这里似乎没有人在,,,偷吃点心,上阵精灵的hp回复了,{buff=<214>},打包带走,差点就被发现了，还好跑得快,,,,
,,,,,,,,,,,,,,,,
1000,,神秘人,1,,忽然遇到一个形迹可疑的人，你向他搭话,,,你是谁,神秘人“嘭”得一声变成了百变怪，飞快逃走了,,你从哪里来,神秘人指了指某个方向，沿着那个方向，你发现了一个奇怪的装置，开启装置，获得了50额外积分，还有金币,{points=50;items={gold=5000}},你要到哪儿去,神秘人似乎不想告诉你，从口袋里掏出一个袋子交给了你,{items={gold=6000}}
1001,,神秘人,2,,忽然遇到一个形迹可疑的人，你向他搭话,,,你是谁,神秘人指了指某个方向，沿着那个方向，你发现了一个奇怪的装置，开启装置，获得了50额外积分，还有金币,{points=50;items={gold=5000}},你从哪里来,神秘人似乎不想告诉你，从口袋里掏出一个袋子交给了你,{items={gold=6000}},你要到哪儿去,神秘人“嘭”得一声变成了百变怪，飞快逃走了,
1002,,神秘人,3,,忽然遇到一个形迹可疑的人，你向他搭话,,,你是谁,神秘人指了指某个方向，沿着那个方向，你发现了一个奇怪的装置，开启装置，获得了50额外积分，还有金币,{points=50;items={gold=5000}},你从哪里来,神秘人似乎不想告诉你，从口袋里掏出一个袋子交给了你,{items={gold=6000}},你要到哪儿去,神秘人略有所思，掏出一个小袋子给你,{items={rmb=10}}
