变量名,name,name_tw,name_en,name_vn,name_kr,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
52001,双人床,雙人床,Double Bed,Gi??ng ??i,2?? ??,3,0,{1=6385},1,2,city/homeland/home/icon/furniture/bed.png,city/homeland/home/item/furniture/bed.png,0.8,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-15;y=70}},,{width=4; height=3},{width=4;height=3;off={offWidth=2;offHeight=1}},{width=4;height=3;off={offWidth=2;offHeight=1}},{x=-300; y=25},5,,,
52002,冰箱,冰箱,Refrigerator,T? l?nh,???,3,1,{8=275},1,2,city/homeland/home/icon/furniture/bingxiang.png,city/homeland/home/item/furniture/bingxiang.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=3;offHeight=3}},{width=2;height=2;off={offWidth=3;offHeight=3}},{x=-125; y=14},5,,,
52003,搬家纸箱,搬家紙箱,Carton,H?p gi?y chuy?n nhà,??? ??,3,0,{1=2335},3,2,city/homeland/home/icon/furniture/box.png,city/homeland/home/item/furniture/box.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=2}},{x=-160; y=0},5,,,
52004,立式地灯,立式地燈,Vertical Floor Lamp,?èn cay,??? ?,3,1,{1=1645},4,1,city/homeland/home/icon/furniture/deng.png,city/homeland/home/item/furniture/deng.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=2}},{width=1;height=1;off={offWidth=2;offHeight=2}},{x=-40; y=20},5,,,
52005,可爱隔断,可愛隔斷,Cute Partition,Vách ng?n d? th??ng,??? ???,3,2,{8=185},2,1,city/homeland/home/icon/furniture/geduan.png,city/homeland/home/item/furniture/geduan.png,1,{flip=true},,,{width=1; height=3},{width=2;height=3;off={offWidth=2;offHeight=2}},{width=2;height=3;off={offWidth=2;offHeight=2}},{x=-55; y=12},5,,,
52006,滑板,滑板,Skateboard,Ván tr??t,??,3,2,{1=2225},3,2,city/homeland/home/icon/furniture/huaban.png,city/homeland/home/item/furniture/huaban.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=0;offHeight=0}},{width=1;height=2;off={offWidth=0;offHeight=0}},{x=-55; y=17},5,,,
52007,全身镜,全身鏡,Full-Length Mirror,G??ng toàn than,?? ??,3,0,{7=295},2,2,city/homeland/home/icon/furniture/mirror.png,city/homeland/home/item/furniture/mirror.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=3}},{width=1;height=1;off={offWidth=2;offHeight=3}},{x=-50; y=0},5,,,
52008,音响,音響,Acoustics,?m thanh,??,3,0,{7=255},4,2,city/homeland/home/icon/furniture/yinxiang.png,city/homeland/home/item/furniture/yinxiang.png,1.1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=-45; y=10},5,,,
52009,转杯,轉杯,Rotating Cup,C?c xoay,?,3,0,{1=7980},1,2,city/homeland/home/icon/furniture/zhuanbei.png,home/zhuanbei/zhuanbei.json,1,{flip=true},,,{width=5; height=5},{width=5;height=5;off={offWidth=0;offHeight=0}},{width=5;height=5;off={offWidth=0;offHeight=0}},{x=-5; y=250},5,,,
52010,写字台,寫字臺,Desk,Bàn làm vi?c,??,3,1,{7=800},1,2,city/homeland/home/icon/furniture/shuzhuo.png,city/homeland/home/item/furniture/shuzhuo.png,0.9,{flip=true},,,{width=2; height=4},{width=2;height=4;off={offWidth=1;offHeight=1}},{width=2;height=4;off={offWidth=1;offHeight=1}},{x=-145; y=30},5,,,
52011,天蓝沙发,天藍沙發,Sky Blue Sofa,Sofa xanh,??? ??,3,2,{7=495},2,2,city/homeland/home/icon/furniture/sofa.png,city/homeland/home/item/furniture/sofa.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-130; y=5},5,,,
52012,D牌电视,D牌電視,D Brand Tv,TV h?ng D,D??? TV,3,1,{7=1000},1,2,city/homeland/home/icon/furniture/tv.png,home/tv/tv.json,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=2}},{x=-35; y=60},5,,,
52013,熊仔地毯,熊仔地毯,Bear Doll Carpet,Th?m hình g?u,? ?? ??,3,0,{7=380},2,2,city/homeland/home/icon/furniture/tanzi.png,city/homeland/home/item/furniture/tanzi.png,1,{flip=true;walk=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-185; y=20},5,,,
52014,熊仔玩偶,熊仔玩偶,Bear Doll,G?u b?ng,??? ???,3,1,{7=650},1,2,city/homeland/home/icon/furniture/wanou.png,city/homeland/home/item/furniture/xiong.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-50; y=10},5,,,
52015,矮式餐桌,矮式餐桌,Lowe Dining Table,Bàn ?n th?p,?? ??,3,2,{7=400},2,1,city/homeland/home/icon/furniture/zhuozi.png,city/homeland/home/item/furniture/zhuozi.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=0;offHeight=0}},{width=2;height=2;off={offWidth=0;offHeight=0}},{x=-130; y=0},5,,,
52016,跷跷板,蹺蹺板,Seesaw,B?p bênh,??,3,2,{8=360},1,2,city/homeland/home/icon/furniture/qiaoqiaoban.png,home/qiaoqiaoban/qiaoqiaoban.json,1,{interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=qiaoqiaoban_loop;roleActionName=jump;off={x=70;y=-15}},{endPos={x=-210;y=70};time=0.9;height=60;count=1},{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=5; y=120},5,,,
52017,君子兰,君子蘭,Kaffir Lily,Lan quan t?,???,3,1,{7=175},4,1,city/homeland/home/icon/furniture/zhiwu.png,city/homeland/home/item/furniture/zhiwu.png,0.85,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=2;offHeight=2}},{width=1;height=1;off={offWidth=2;offHeight=2}},{x=-70; y=5},5,,,
52018,帐篷,帳篷,Tent,L?u,??,3,0,{8=300},1,2,city/homeland/home/icon/furniture/zhangpeng.png,city/homeland/home/item/furniture/zhangpeng.png,1,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=1;offHeight=1}},{width=2;height=2;off={offWidth=1;offHeight=1}},{x=-130; y=5},5,,,
52019,秋千,秋千,Swing,Xích ?u,??,3,0,{8=380},1,2,city/homeland/home/icon/furniture/qiuqian.png,home/qiuqian/qiuqian.json,0.9,{interactivity=true;interactivityTime=15},{interactivityName=standby_loop;interactFurnName=qiuqian_loop;roleActionName=sway;off={x=100;y=105}},{spine=home/qiuqian/qiuqian.json;effectName=qiuqian2_loop},{width=3; height=3},{width=3;height=3;off={offWidth=4;offHeight=4}},{width=3;height=3;off={offWidth=4;offHeight=4}},{x=0; y=120},5,,,
52020,卷轴矮桌,卷軸矮桌,Reel Low Table,Bàn cu?n,?? ??,3,0,{7=295},2,1,city/homeland/home/icon/furniture/zhuozijuanzhou.png,city/homeland/home/item/furniture/zhuozijuanzhou.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=0;offHeight=1}},{width=2;height=1;off={offWidth=0;offHeight=1}},{x=-120; y=25},5,,TRUE,
52021,日式桌毯,日式桌毯,Japanese Table Blanket,Kh?n tr?i bàn Nh?t,?? ???,3,1,{1=5775},1,1,city/homeland/home/icon/furniture/ditanhecha.png,city/homeland/home/item/furniture/ditanhecha.png,0.75,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=160;y=115}},,{width=3; height=6},{width=3;height=6;off={offWidth=0;offHeight=0}},{width=3;height=6;off={offWidth=0;offHeight=0}},{x=-218; y=20},5,,,
52022,榻榻米,榻榻米,Tatami,Chi?u Tatami,???,3,2,{1=6080},1,1,city/homeland/home/icon/furniture/tatami.png,city/homeland/home/item/furniture/tatami.png,0.635,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-35;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=0;offHeight=0}},{width=2;height=3;off={offWidth=0;offHeight=0}},{x=-160; y=7},5,,,
52023,蜡烛灯,蠟燭燈,Candle Light,?èn hình n?n,??,3,0,{8=85},4,1,city/homeland/home/icon/furniture/lazhudeng.png,city/homeland/home/item/furniture/lazhudeng.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=3;offHeight=3}},{width=1;height=1;off={offWidth=3;offHeight=3}},{x=-50; y=20},5,,,
52024,浮绘地毯,浮繪地毯,Floating Carpet,Th?m hoa n?i,??? ??,3,1,{7=325},2,1,city/homeland/home/icon/furniture/tanzi2.png,city/homeland/home/item/furniture/tanzi2.png,1,{flip=true;walk=true},,,{width=4; height=2},{width=3;height=2;off={offWidth=0;offHeight=0}},{width=3;height=2;off={offWidth=0;offHeight=0}},{x=-318; y=0},5,,TRUE,
52025,桃花枝,桃花枝,Peach Branch,Cành hoa ?ào,???? ??,3,1,{8=80},4,1,city/homeland/home/icon/furniture/zhiwu1.png,city/homeland/home/item/furniture/zhiwu1.png,1.1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0.2}},{width=1;height=1;off={offWidth=0;offHeight=0.2}},{x=-40; y=20},5,,,
52026,风信子,風信子,Hyacinth,Hoa d? lan,????,3,2,{7=165},4,1,city/homeland/home/icon/furniture/zhiwu2.png,city/homeland/home/item/furniture/zhiwu2.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=-40; y=20},5,,,
52027,帖纸隔断,帖紙隔斷,Paper Partition,Vách ng?n gi?y,??? ???,3,2,{7=310},2,1,city/homeland/home/icon/furniture/geduan1.png,city/homeland/home/item/furniture/geduan1.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=3;offHeight=3}},{width=2;height=1;off={offWidth=3;offHeight=3}},{x=-140; y=10},5,,TRUE,
52028,风铃隔断,風鈴隔斷,Wind Chime Partition,Vách ng?n chu?ng gió,?? ???,3,0,{8=125},2,1,city/homeland/home/icon/furniture/geduan2.png,city/homeland/home/item/furniture/geduan2.png,1,{flip=true},,,{width=3; height=1},{width=3;height=1;off={offWidth=3;offHeight=2.5}},{width=3;height=1;off={offWidth=3;offHeight=2.5}},{x=-210; y=10},5,,,
52029,原木书桌,原木書桌,Wooden Desk,Bàn g?,?? ??,3,2,{8=235},1,1,city/homeland/home/icon/furniture/shuzhuo1.png,city/homeland/home/item/furniture/shuzhuo1.png,1,{flip=true},,,{width=3; height=2},{width=3;height=2;off={offWidth=0;offHeight=1}},{width=3;height=2;off={offWidth=0;offHeight=1}},{x=-240; y=35},5,,,
52030,茶桌,茶桌,Tea Table,Bàn n??c,? ???,3,0,{8=300},1,1,city/homeland/home/icon/furniture/fanzhuo.png,city/homeland/home/item/furniture/fanzhuo.png,1,{flip=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-175; y=35},5,,,
52031,浴衣桌,浴衣桌,Bathrobe Table,Bàn áo t?m,?? ???,3,0,{1=2595},2,1,city/homeland/home/icon/furniture/yifutaizi.png,city/homeland/home/item/furniture/yifutaizi.png,1,{flip=true},,,{width=1; height=3},{width=1;height=3;off={offWidth=1;offHeight=0}},{width=1;height=3;off={offWidth=1;offHeight=0}},{x=-60; y=15},5,,TRUE,
52032,浴缸,浴缸,Bathtub,B?n t?m,??,3,1,{1=7220},1,1,city/homeland/home/icon/furniture/yugang.png,home/bathtub/mutong.json,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=kaiqi_loop;clip=true;off={x=-35;y=70}},,{width=3; height=2},{width=3;height=2;off={offWidth=1;offHeight=1}},{width=3;height=2;off={offWidth=1;offHeight=1}},{x=-90; y=60},5,,,
52033,懒人椅,懶人椅,Lazy Chair,Gh? l??i,????,3,1,{1=2345},2,1,city/homeland/home/icon/furniture/yizi.png,city/homeland/home/item/furniture/yizi.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-5;y=22}},,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-55; y=10},5,,TRUE,
52034,灯笼,燈籠,Lantern,?èn l?ng,??,3,0,{1=1815},4,1,city/homeland/home/icon/furniture/denglong.png,city/homeland/home/item/furniture/denglong.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-50; y=10},5,,,
52035,爱心椅,愛心椅,Love Chair,Gh? trái tim,?? ??,3,1,{8=75},3,2,city/homeland/home/icon/furniture/chair.png,city/homeland/home/item/furniture/chair.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;off={x=5;y=100}},,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-60; y=25},5,,,
52036,普通电视,普通電視,Normal Tv,TV th??ng,?? TV,3,2,{8=80},2,1,city/homeland/home/icon/furniture/dianshi.png,city/homeland/home/item/furniture/dianshi.png,1,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-55; y=15},5,,TRUE,
52037,玫红冲浪板,玫紅衝浪板,Rose Red Surfboard,Ván l??t sóng ??,?? ?? ????,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3chonglangb01.png,city/homeland/home/item/furniture/img_3chonglangb01.png,1.2,{flip=true},,,{width=1; height=1},{width=1;height=2;off={offWidth=4;offHeight=4}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-32;y=12},4,,,
52038,西瓜冲浪板,西瓜衝浪板,Watermelon Surfboard,Ván l??t sóng d?a h?u,?? ????,3,1,{7=520},2,3,city/homeland/home/icon/furniture/img_3chonglangb02.png,city/homeland/home/item/furniture/img_3chonglangb02.png,1.2,{flip=true},,,{width=1; height=1},{width=1;height=2;off={offWidth=4;offHeight=4}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-32;y=12},4,,,
52039,海蓝双人床,海藍雙人床,Sea Blue Double Bed,Gi??ng ??i xanh,2?? ???? ??,3,2,{7=950},1,3,city/homeland/home/icon/furniture/img_3chuang01.png,city/homeland/home/item/furniture/img_3chuang01.png,0.9,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=0;y=70}},,{width=4; height=3},{width=4;height=3;off={offWidth=2;offHeight=1}},{width=4;height=3;off={offWidth=0;offHeight=0}},{x=-295; y=20},4,,,
52040,儿童板凳,兒童板凳,Children'S Bench,Gh? tr? ?m,??? ??,3,0,{8=85},4,3,city/homeland/home/icon/furniture/img_3dengzi01.png,city/homeland/home/item/furniture/img_3dengzi01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-15;y=50}},,{width=1; height=1},{width=1;height=1;off={offWidth=0.5;offHeight=0}},{width=1;height=1;off={offWidth=0.5;offHeight=0}},{x=-42;y=10},4,,,
52041,海星地毯,海星地毯,Starfish Carpet,Th?m sao bi?n,???? ??,3,0,{7=720},1,3,city/homeland/home/icon/furniture/img_3ditan01.png,city/homeland/home/item/furniture/img_3ditan01.png,1,{flip=true;walk=true},,,{width=3; height=3},{width=3;height=3;off={offWidth=0;offHeight=0}},{width=3;height=3;off={offWidth=0;offHeight=0}},{x=-145;y=35},4,,,
52042,救生高椅,救生高椅,Lifesaving Chair,Gh? c?u h?,?? ??,3,2,{1=4940},2,3,city/homeland/home/icon/furniture/img_3gaoyi.png,city/homeland/home/item/furniture/img_3gaoyi.png,1.1,{flip=true},,,{width=2; height=2},{width=2;height=3;off={offWidth=4;offHeight=2}},{width=2;height=3;off={offWidth=4;offHeight=2}},{x=-125;y=15},4,,,
52043,琼花,瓊花,Viburnum,Hoa Qu?nh,???,3,1,{1=1645},4,3,city/homeland/home/icon/furniture/img_3huapen01.png,city/homeland/home/item/furniture/img_3huapen01.png,1,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-43;y=15},4,,,
52044,海滩手包,海灘手包,Beach Handbag,Túi ?i bi?n,??? ???,3,2,{8=150},2,3,city/homeland/home/icon/furniture/img_3lanzi01.png,city/homeland/home/item/furniture/img_3lanzi01.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=1;offHeight=1}},{width=2;height=1;off={offWidth=1;offHeight=1}},{x=-105;y=25},4,,,
52045,明黄水球,明黃水球,Spry Water Polo,Bóng n??c vàng,??? ??,3,0,{1=3370},2,3,city/homeland/home/icon/furniture/img_3qiu01.png,city/homeland/home/item/furniture/img_3qiu01.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52046,天蓝水球,天藍水球,Celest Water Polo,Bóng n??c xanh,??? ??,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3qiu02.png,city/homeland/home/item/furniture/img_3qiu02.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52047,湛蓝水球,湛藍水球,Azure Water Polo,Bóng n??c xanh ??m,??? ??,3,0,{8=160},2,3,city/homeland/home/icon/furniture/img_3qiu03.png,city/homeland/home/item/furniture/img_3qiu03.png,1.5,{flip=true},,,{width=1; height=1},{width=1;height=1;off={offWidth=1;offHeight=1}},{width=1;height=1;off={offWidth=1;offHeight=1}},{x=-48;y=15},4,,,
52048,沙堡,沙堡,Sandcastle,Lau ?ài cát,???,3,0,{7=905},1,3,city/homeland/home/icon/furniture/img_3shabao.png,city/homeland/home/item/furniture/img_3shabao.png,1.2,{flip=true},,,{width=2; height=2},{width=2;height=2;off={offWidth=2;offHeight=1}},{width=2;height=2;off={offWidth=2;offHeight=1}},{x=-134;y=40},4,,,
52049,休闲沙发,休閒沙發,Leisure Couch,Sofo th??ng,??? ??,3,0,{8=380},1,3,city/homeland/home/icon/furniture/img_3shafa01.png,city/homeland/home/item/furniture/img_3shafa01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=15;y=65}},,{width=3; height=2},{width=3;height=2;off={offWidth=3;offHeight=4}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-160; y=20},4,,,
52050,沙桶,沙桶,Sand Bucket,X? cát,???,3,2,{7=400},2,3,city/homeland/home/icon/furniture/img_3shuiyong.png,city/homeland/home/item/furniture/img_3shuiyong.png,1.2,{flip=true},,,{width=1; height=2},{width=1;height=2;off={offWidth=1;offHeight=1}},{width=1;height=2;off={offWidth=1;offHeight=1}},{x=-65;y=20},4,,,
52051,水蓝躺椅,水藍躺椅,Blue Lounge,Gh? n?m xanh,??? ??? ??,3,1,{8=145},2,3,city/homeland/home/icon/furniture/img_3tangyi01.png,city/homeland/home/item/furniture/img_3tangyi01.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=50}},,{width=2; height=3},{width=2;height=3;off={offWidth=0;offHeight=0}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-133; y=14},4,,,
52052,玫红躺椅,玫紅躺椅,Rosy Lounge,Gh? n?m ??,?? ?? ??? ??,3,2,{1=3950},2,3,city/homeland/home/icon/furniture/img_3tangyi02.png,city/homeland/home/item/furniture/img_3tangyi02.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-25;y=51}},,{width=2; height=3},{width=2;height=3;off={offWidth=3;offHeight=2}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-120; y=15},4,,,
52053,西瓜躺椅,西瓜躺椅,Watermelon Lounge,Gh? n?m d?a h?u,?? ??? ??,3,0,{1=4150},2,3,city/homeland/home/icon/furniture/img_3tangyi03.png,city/homeland/home/item/furniture/img_3tangyi03.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=-20;y=48}},,{width=2; height=3},{width=2;height=3;off={offWidth=3;offHeight=2}},{width=2;height=3;off={offWidth=1;offHeight=-0.5}},{x=-120; y=15},4,,,
52054,救生圈,救生圈,Life Buoy,Phao c?u sinh,?? ??,3,2,{1=4940},1,3,city/homeland/home/icon/furniture/img_3yongquan01.png,city/homeland/home/item/furniture/img_3yongquan01.png,1.1,{flip=true},,,{width=2; height=2},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{x=-70;y=24},4,,,
52055,明黄泳圈,明黃泳圈,Spry Life Buoy,Phao vàng,??? ??,3,1,{1=5775},1,3,city/homeland/home/icon/furniture/img_3yongquan02.png,city/homeland/home/item/furniture/img_3yongquan02.png,1.1,{flip=true},,,{width=2; height=2},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{width=1.5;height=1.5;off={offWidth=0;offHeight=0}},{x=-70;y=24},4,,,
52056,友谊小船,友誼小船,Friendship Boat,Thuy?n tình b?n,??? ?,3,2,{7=760},1,3,city/homeland/home/icon/furniture/img_3zaopen01.png,home/zaopen.json,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=standby_loop;interactFurnName=kaiqi_loop;clip=true;off={x=85;y=100}},,{width=5; height=6},{width=5;height=6;off={offWidth=0;offHeight=0}},{width=5;height=6;off={offWidth=0;offHeight=0}},{x=40;y=200},4,,,
52057,休闲餐桌,休閒餐桌,Casual Table,Bàn ?n th??ng,??? ??,3,0,{7=720},1,3,city/homeland/home/icon/furniture/img_3zhuozi01.png,city/homeland/home/item/furniture/img_3zhuozi01.png,1,{flip=true},,,{width=2; height=1},{width=2;height=1;off={offWidth=2;offHeight=2}},{width=2;height=1;off={offWidth=2;offHeight=1}},{x=-150;y=20},4,,,
52058,雪橇大床,雪橇大床,Sleigh Bed,Gi??ng Xe Tuy?t,??? ??,3,2,{1=6080},1,4,city/homeland/home/icon/furniture/icon_bed.png,city/homeland/home/item/furniture/img_bed.png,1,{flip=true;interactivity=true;interactivityTime=300},{interactivityName=sleep_loop;off={x=15;y=70}},,{width=4; height=3},{width=4; height=3;off={offWidth=2;offHeight=2}},{width=3; height=3;off={offWidth=2;offHeight=2}},{x=-255;y=15},3,,,
