变量名,contestEndTime,type,contestDate,rightTeam,leftTeam,betEndTime,contestName,betID,weatherDetail,weatherSkillIDs,weatherID,__version
46,1501,,5,12,10,1500,Group Stage C4,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
47,1601,,5,15,13,1600,Group Stage D3,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
48,1701,,5,16,14,1700,Group Stage D4,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
49,1801,,5,4,1,,Group Stage A5,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
50,1901,,5,3,2,1900,Group Stage A6,,"According to the Pokemon Weather Observatory forecast, snow will fall from Round 1 to Round 3, and rain will arrive from Round 4 to Round 6\n\n【Rainy】(Water-type Pokemon gain Speed, Fire-type Pokemon deal reduced damage, and at the end of each major round part of all Pokemon's negative effects are dispelled)\n【Snowy】(Ice-type Pokemon gain P.DEF and S.DEF, while all non-Ice-type Pokemon take a certain amount of Ice damage at the end of each major round and may be 【Frozen】)\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<110201;78101>,<1;3>,
51,1401,,6,8,5,1400,Group Stage B5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
52,1501,,6,7,6,1500,Group Stage B6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
53,1601,,6,12,9,1600,Group Stage C5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
54,1701,,6,11,10,1700,Group Stage C6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
55,1801,,6,16,13,,Group Stage D5,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
56,1901,,6,15,14,1900,Group Stage D6,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
57,1601,2,7,6,1,1600,Top 4 Match 1,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
58,1701,2,7,3,8,1700,Top 4 Match 2,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
59,1801,2,7,4,5,,Top 4 Match 3,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
60,1901,2,7,7,2,1900,Top 4 Match 4,102,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
61,1601,3,8,,,1600,Semifinal 1,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
62,1801,3,8,,,,Semifinal 2,103,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
63,1601,4,9,,,1600,Third-Place Match,104,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
64,1801,5,9,,,,Championship Match,203,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
65,1401,,3,2,1,1400,Group Stage A1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
66,1501,,3,4,3,1500,Group Stage A2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
67,1601,,3,6,5,1600,Group Stage B1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
68,1701,,3,8,7,1700,Group Stage B2,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
69,1801,,3,10,9,,Group Stage C1,,"According to the Pokemon Weather Observatory forecast, today's weather is bright and clear with not a cloud in sight. A fine day for battle.\n\n#C0xDCDCDC#              Weather can be unpredictable. Forecast results are for reference only.#C0x5B545B#\n#F10# \n#F40#",<78101>,<>,
