变量名,exchangeLimit,goods,cost,__version,shopID
316,,{card={id=9002}},{543=2500},,103
317,5,{6117=1},{543=800},,103
318,5,{59003=1},{543=600},,103
319,10,{5000=10},{543=120},,103
320,10,{930=10},{543=120},,103
321,5,{502=1},{543=400},,103
322,2,{501=1},{543=750},,103
323,10,{6115=1},{543=250},,103
324,5,{talent_point=1},{543=300},,103
325,10,{902=5},{543=200},,103
326,20,{529=200},{543=200},,103
327,10,{123=2},{543=100},,103
328,10,{124=1},{543=120},,103
329,30,{gold=100000},{543=100},,103
401,10,{59002=1},{543=250},,104
402,10,{20601=3},{543=200},,104
403,10,{23001=3},{543=200},,104
404,10,{23411=3},{543=200},,104
405,10,{20591=3},{543=200},,104
406,10,{24561=3},{543=250},,104
407,10,{24181=3},{543=250},,104
408,10,{20901=3},{543=250},,104
409,10,{24651=3},{543=250},,104
410,10,{22041=3},{543=250},,104
411,10,{24041=3},{543=350},,104
412,10,{24621=3},{543=350},,104
413,10,{24623=3},{543=350},,104
414,10,{24012=3},{543=350},,104
415,10,{24091=3},{543=350},,104
416,,{card={id=9002}},{543=2500},,104
417,5,{6117=1},{543=800},,104
418,5,{59003=1},{543=600},,104
419,10,{5000=10},{543=120},,104
420,10,{930=10},{543=120},,104
421,5,{502=1},{543=400},,104
422,2,{501=1},{543=750},,104
423,10,{6115=1},{543=250},,104
424,5,{talent_point=1},{543=300},,104
425,10,{902=5},{543=200},,104
426,20,{529=200},{543=200},,104
427,10,{123=2},{543=100},,104
428,10,{124=1},{543=120},,104
429,30,{gold=100000},{543=100},,104
501,10,{59002=1},{543=250},,105
502,10,{22401=3},{543=200},,105
503,10,{22991=3},{543=200},,105
504,10,{20261=3},{543=200},,105
505,10,{21311=3},{543=200},,105
506,10,{20701=3},{543=250},,105
507,10,{20431=3},{543=250},,105
508,10,{23671=3},{543=250},,105
509,10,{24431=3},{543=250},,105
510,10,{24141=3},{543=250},,105
511,10,{22331=3},{543=350},,105
512,10,{24671=3},{543=350},,105
513,10,{21651=3},{543=350},,105
514,10,{23051=3},{543=350},,105
515,10,{24661=3},{543=350},,105
516,,{card={id=9002}},{543=2500},,105
517,5,{6117=1},{543=800},,105
518,5,{59003=1},{543=600},,105
519,10,{5000=10},{543=120},,105
520,10,{930=10},{543=120},,105
521,5,{502=1},{543=400},,105
522,2,{501=1},{543=750},,105
523,10,{6115=1},{543=250},,105
524,5,{talent_point=1},{543=300},,105
525,10,{902=5},{543=200},,105
526,20,{529=200},{543=200},,105
527,10,{123=2},{543=100},,105
528,10,{124=1},{543=120},,105
529,30,{gold=100000},{543=100},,105
601,10,{59002=1},{543=250},,106
602,10,{20631=3},{543=200},,106
603,10,{20331=3},{543=200},,106
604,10,{23141=3},{543=200},,106
605,10,{20391=3},{543=200},,106
606,10,{22131=3},{543=250},,106
607,10,{24201=3},{543=250},,106
608,10,{24301=3},{543=250},,106
609,10,{24771=3},{543=250},,106
610,10,{23981=3},{543=250},,106
611,10,{23941=3},{543=350},,106
612,10,{20143=3},{543=350},,106
613,10,{24581=3},{543=350},,106
614,10,{24013=3},{543=350},,106
615,10,{24851=3},{543=350},,106
616,,{card={id=9002}},{543=2500},,106
617,5,{6117=1},{543=800},,106
618,5,{59003=1},{543=600},,106
619,10,{5000=10},{543=120},,106
620,10,{930=10},{543=120},,106
621,5,{502=1},{543=400},,106
622,2,{501=1},{543=750},,106
623,10,{6115=1},{543=250},,106
624,5,{talent_point=1},{543=300},,106
625,10,{902=5},{543=200},,106
626,20,{529=200},{543=200},,106
627,10,{123=2},{543=100},,106
628,10,{124=1},{543=120},,106
629,30,{gold=100000},{543=100},,106
701,10,{59002=1},{543=250},,107
702,10,{20711=3},{543=200},,107
703,10,{21081=3},{543=200},,107
704,10,{21301=3},{543=200},,107
705,10,{21501=3},{543=200},,107
706,10,{21771=3},{543=250},,107
707,10,{22021=3},{543=250},,107
708,10,{20971=3},{543=250},,107
709,10,{23831=3},{543=250},,107
710,10,{24991=3},{543=250},,107
711,10,{25361=3},{543=350},,107
712,10,{24701=3},{543=350},,107
713,10,{24571=3},{543=350},,107
714,10,{25221=3},{543=350},,107
715,10,{23881=3},{543=350},,107
716,,{card={id=9002}},{543=2500},,107
717,5,{6117=1},{543=800},,107
718,5,{59003=1},{543=600},,107
719,10,{5000=10},{543=120},,107
720,10,{930=10},{543=120},,107
721,5,{502=1},{543=400},,107
722,2,{501=1},{543=750},,107
723,10,{6115=1},{543=250},,107
724,5,{talent_point=1},{543=300},,107
725,10,{902=5},{543=200},,107
726,20,{529=200},{543=200},,107
727,10,{123=2},{543=100},,107
728,10,{124=1},{543=120},,107
729,30,{gold=100000},{543=100},,107
