变量名,index,damageRange,bossID,scoresCoefficient
119,3,9400000,1,0.9764
120,3,10200000,1,1.0036
121,3,11000000,1,1.03
122,3,12000000,1,1.0627
123,3,13000000,1,1.0936
124,3,14200000,1,1.13
125,3,15400000,1,1.1655
126,3,16900000,1,1.2082
127,3,18400000,1,1.2509
128,3,20400000,1,1.3064
129,3,22400000,1,1.3609
130,3,24900000,1,1.4291
131,3,27400000,1,1.4973
132,3,30400000,1,1.5773
133,3,33400000,1,1.6582
134,3,36900000,1,1.7518
135,3,40400000,1,1.8445
136,3,44400000,1,1.9509
137,3,48400000,1,2.0564
138,3,52900000,1,2.1755
139,3,57400000,1,2.2955
140,3,62400000,1,2.4273
141,3,67400000,1,2.56
142,3,72900000,1,2.7055
143,3,78400000,1,2.8518
144,3,84400000,1,3.0109
145,3,90400000,1,3.17
146,3,96900000,1,3.3418
147,3,103400000,1,3.5136
148,3,110400000,1,3.7
149,3,117400000,1,3.8855
150,3,124900000,1,4.0727
151,4,300000,1,0.3873
152,4,600000,1,0.4373
153,4,1000000,1,0.4945
154,4,1400000,1,0.5509
155,4,1800000,1,0.6064
156,4,2200000,1,0.66
157,4,2600000,1,0.7127
158,4,3000000,1,0.7645
159,4,3500000,1,0.8218
160,4,4000000,1,0.8773
161,4,4500000,1,0.9309
162,4,5000000,1,0.96
163,4,5500000,1,0.9873
164,4,6100000,1,1.0191
165,4,6700000,1,1.0491
166,4,7300000,1,1.0782
167,4,8000000,1,1.1109
168,4,8700000,1,1.1418
169,4,9400000,1,1.1718
170,4,10200000,1,1.2045
171,4,11000000,1,1.2364
172,4,12000000,1,1.2755
173,4,13000000,1,1.3127
174,4,14200000,1,1.3564
175,4,15400000,1,1.3982
176,4,16900000,1,1.45
177,4,18400000,1,1.5009
178,4,20400000,1,1.5673
179,4,22400000,1,1.6336
180,4,24900000,1,1.7155
181,4,27400000,1,1.7964
182,4,30400000,1,1.8927
183,4,33400000,1,1.99
184,4,36900000,1,2.1018
185,4,40400000,1,2.2136
186,4,44400000,1,2.3409
187,4,48400000,1,2.4682
188,4,52900000,1,2.6109
189,4,57400000,1,2.7536
190,4,62400000,1,2.9127
191,4,67400000,1,3.0718
192,4,72900000,1,3.2473
193,4,78400000,1,3.4218
194,4,84400000,1,3.6127
195,4,90400000,1,3.8036
196,4,96900000,1,4.01
197,4,103400000,1,4.2173
198,4,110400000,1,4.4391
199,4,117400000,1,4.6618
200,4,124900000,1,4.8873
201,5,300000,1,0.6455
202,5,600000,1,0.7282
203,5,1000000,1,0.8245
204,5,1400000,1,0.9182
205,5,1800000,1,1.0109
206,5,2200000,1,1.1009
207,5,2600000,1,1.1882
208,5,3000000,1,1.2745
209,5,3500000,1,1.3691
210,5,4000000,1,1.4618
211,5,4500000,1,1.5518
212,5,5000000,1,1.5991
213,5,5500000,1,1.6455
214,5,6100000,1,1.6982
215,5,6700000,1,1.7491
216,5,7300000,1,1.7973
217,5,8000000,1,1.8518
218,5,8700000,1,1.9036
219,5,9400000,1,1.9527
220,5,10200000,1,2.0073
221,5,11000000,1,2.0609
222,5,12000000,1,2.1255
223,5,13000000,1,2.1882
224,5,14200000,1,2.26
225,5,15400000,1,2.3309
226,5,16900000,1,2.4164
227,5,18400000,1,2.5018
228,5,20400000,1,2.6127
229,5,22400000,1,2.7227
230,5,24900000,1,2.8591
231,5,27400000,1,2.9936
232,5,30400000,1,3.1555
233,5,33400000,1,3.3164
234,5,36900000,1,3.5027
235,5,40400000,1,3.6891
236,5,44400000,1,3.9009
237,5,48400000,1,4.1127
238,5,52900000,1,4.3518
239,5,57400000,1,4.59
240,5,62400000,1,4.8555
241,5,67400000,1,5.12
242,5,72900000,1,5.4118
243,5,78400000,1,5.7027
244,5,84400000,1,6.0209
245,5,90400000,1,6.3391
246,5,96900000,1,6.6836
247,5,103400000,1,7.0282
248,5,110400000,1,7.3991
249,5,117400000,1,7.77
250,5,124900000,1,8.1455
251,6,300000,1,0.7736
252,6,600000,1,0.8745
253,6,1000000,1,0.9891
254,6,1400000,1,1.1018
255,6,1800000,1,1.2127
256,6,2200000,1,1.3209
257,6,2600000,1,1.4264
258,6,3000000,1,1.5291
259,6,3500000,1,1.6436
260,6,4000000,1,1.7545
261,6,4500000,1,1.8627
262,6,5000000,1,1.9191
263,6,5500000,1,1.9745
264,6,6100000,1,2.0373
265,6,6700000,1,2.0982
266,6,7300000,1,2.1573
267,6,8000000,1,2.2218
268,6,8700000,1,2.2836
269,6,9400000,1,2.3436
270,6,10200000,1,2.4091
271,6,11000000,1,2.4727
272,6,12000000,1,2.55
273,6,13000000,1,2.6255
274,6,14200000,1,2.7127
275,6,15400000,1,2.7964
276,6,16900000,1,2.9
277,6,18400000,1,3.0018
278,6,20400000,1,3.1355
279,6,22400000,1,3.2673
280,6,24900000,1,3.4309
281,6,27400000,1,3.5927
282,6,30400000,1,3.7864
283,6,33400000,1,3.9791
284,6,36900000,1,4.2036
285,6,40400000,1,4.4273
286,6,44400000,1,4.6809
287,6,48400000,1,4.9355
288,6,52900000,1,5.2218
289,6,57400000,1,5.5082
290,6,62400000,1,5.8264
291,6,67400000,1,6.1445
292,6,72900000,1,6.4936
293,6,78400000,1,6.8436
294,6,84400000,1,7.2255
295,6,90400000,1,7.6073
296,6,96900000,1,8.02
297,6,103400000,1,8.4336
298,6,110400000,1,8.8791
299,6,117400000,1,9.3245
300,6,124900000,1,9.7745
301,7,300000,1,1.9355
302,7,600000,1,2.1855
303,7,1000000,1,2.4736
304,7,1400000,1,2.7555
305,7,1800000,1,3.0318
306,7,2200000,1,3.3018
307,7,2600000,1,3.5655
308,7,3000000,1,3.8236
309,7,3500000,1,4.1082
310,7,4000000,1,4.3864
311,7,4500000,1,4.6564
312,7,5000000,1,4.7982
313,7,5500000,1,4.9355
314,7,6100000,1,5.0945
315,7,6700000,1,5.2464
316,7,7300000,1,5.3918
317,7,8000000,1,5.5545
318,7,8700000,1,5.71
319,7,9400000,1,5.8582
320,7,10200000,1,6.0227
321,7,11000000,1,6.1818
322,7,12000000,1,6.3755
323,7,13000000,1,6.5636
324,7,14200000,1,6.7809
325,7,15400000,1,6.9918
326,7,16900000,1,7.25
327,7,18400000,1,7.5045
328,7,20400000,1,7.8373
329,7,22400000,1,8.1673
330,7,24900000,1,8.5764
331,7,27400000,1,8.9818
332,7,30400000,1,9.4655
333,7,33400000,1,9.9482
334,7,36900000,1,10.5091
335,7,40400000,1,11.0673
336,7,44400000,1,11.7036
337,7,48400000,1,12.3391
338,7,52900000,1,13.0545
339,7,57400000,1,13.77
340,7,62400000,1,14.5655
341,7,67400000,1,15.36
342,7,72900000,1,16.2345
343,7,78400000,1,17.1091
344,7,84400000,1,18.0636
345,7,90400000,1,19.0173
346,7,96900000,1,20.0509
347,7,103400000,1,21.0845
348,7,110400000,1,22.1973
349,7,117400000,1,23.31
350,7,124900000,1,24.4355
351,8,300000,1,1.9355
352,8,600000,1,2.1855
353,8,1000000,1,2.4736
354,8,1400000,1,2.7555
355,8,1800000,1,3.0318
356,8,2200000,1,3.3018
357,8,2600000,1,3.5655
358,8,3000000,1,3.8236
359,8,3500000,1,4.1082
360,8,4000000,1,4.3864
361,8,4500000,1,4.6564
362,8,5000000,1,4.7982
363,8,5500000,1,4.9355
364,8,6100000,1,5.0945
365,8,6700000,1,5.2464
366,8,7300000,1,5.3918
367,8,8000000,1,5.5545
368,8,8700000,1,5.71
369,8,9400000,1,5.8582
370,8,10200000,1,6.0227
371,8,11000000,1,6.1818
372,8,12000000,1,6.3755
373,8,13000000,1,6.5636
374,8,14200000,1,6.7809
375,8,15400000,1,6.9918
376,8,16900000,1,7.25
377,8,18400000,1,7.5045
378,8,20400000,1,7.8373
379,8,22400000,1,8.1673
380,8,24900000,1,8.5764
381,8,27400000,1,8.9818
382,8,30400000,1,9.4655
383,8,33400000,1,9.9482
384,8,36900000,1,10.5091
385,8,40400000,1,11.0673
386,8,44400000,1,11.7036
387,8,48400000,1,12.3391
388,8,52900000,1,13.0545
389,8,57400000,1,13.77
390,8,62400000,1,14.5655
391,8,67400000,1,15.36
392,8,72900000,1,16.2345
393,8,78400000,1,17.1091
394,8,84400000,1,18.0636
395,8,90400000,1,19.0173
396,8,96900000,1,20.0509
397,8,103400000,1,21.0845
398,8,110400000,1,22.1973
399,8,117400000,1,23.31
400,8,124900000,1,24.4355
1001,1,300000,2,0.1291
1002,1,600000,2,0.1455
1003,1,1000000,2,0.1645
1004,1,1400000,2,0.1836
1005,1,1800000,2,0.2018
1006,1,2200000,2,0.22
1007,1,2600000,2,0.2373
1008,1,3000000,2,0.2545
1009,1,3500000,2,0.2736
1010,1,4000000,2,0.2927
1011,1,4500000,2,0.31
1012,1,5000000,2,0.32
1013,1,5500000,2,0.3291
1014,1,6100000,2,0.34
1015,1,6700000,2,0.35
1016,1,7300000,2,0.3591
1017,1,8000000,2,0.37
1018,1,8700000,2,0.3809
1019,1,9400000,2,0.3909
1020,1,10200000,2,0.4018
1021,1,11000000,2,0.4118
1022,1,12000000,2,0.4255
1023,1,13000000,2,0.4373
1024,1,14200000,2,0.4518
1025,1,15400000,2,0.4664
1026,1,16900000,2,0.4836
1027,1,18400000,2,0.5
1028,1,20400000,2,0.5227
1029,1,22400000,2,0.5445
1030,1,24900000,2,0.5718
1031,1,27400000,2,0.5991
1032,1,30400000,2,0.6309
1033,1,33400000,2,0.6636
1034,1,36900000,2,0.7009
1035,1,40400000,2,0.7382
1036,1,44400000,2,0.78
1037,1,48400000,2,0.8227
1038,1,52900000,2,0.87
1039,1,57400000,2,0.9182
1040,1,62400000,2,0.9709
1041,1,67400000,2,1.0236
1042,1,72900000,2,1.0827
1043,1,78400000,2,1.1409
1044,1,84400000,2,1.2045
1045,1,90400000,2,1.2682
1046,1,96900000,2,1.3364
1047,1,103400000,2,1.4055
1048,1,110400000,2,1.48
1049,1,117400000,2,1.5536
1050,1,124900000,2,1.6291
1051,2,300000,2,0.1936
1052,2,600000,2,0.2182
1053,2,1000000,2,0.2473
1054,2,1400000,2,0.2755
1055,2,1800000,2,0.3027
1056,2,2200000,2,0.33
1057,2,2600000,2,0.3564
1058,2,3000000,2,0.3827
1059,2,3500000,2,0.4109
1060,2,4000000,2,0.4382
1061,2,4500000,2,0.4655
1062,2,5000000,2,0.48
1063,2,5500000,2,0.4936
1064,2,6100000,2,0.5091
1065,2,6700000,2,0.5245
1066,2,7300000,2,0.5391
1067,2,8000000,2,0.5555
1068,2,8700000,2,0.5709
1069,2,9400000,2,0.5855
1070,2,10200000,2,0.6018
1071,2,11000000,2,0.6182
1072,2,12000000,2,0.6373
1073,2,13000000,2,0.6564
1074,2,14200000,2,0.6782
1075,2,15400000,2,0.6991
1076,2,16900000,2,0.7255
1077,2,18400000,2,0.7509
1078,2,20400000,2,0.7836
1079,2,22400000,2,0.8164
1080,2,24900000,2,0.8573
1081,2,27400000,2,0.8982
1082,2,30400000,2,0.9464
1083,2,33400000,2,0.9945
1084,2,36900000,2,1.0509
1085,2,40400000,2,1.1064
1086,2,44400000,2,1.17
1087,2,48400000,2,1.2336
1088,2,52900000,2,1.3055
1089,2,57400000,2,1.3773
1090,2,62400000,2,1.4564
1091,2,67400000,2,1.5364
1092,2,72900000,2,1.6236
1093,2,78400000,2,1.7109
1094,2,84400000,2,1.8064
1095,2,90400000,2,1.9018
1096,2,96900000,2,2.0055
1097,2,103400000,2,2.1082
1098,2,110400000,2,2.22
1099,2,117400000,2,2.3309
1100,2,124900000,2,2.4436
1101,3,300000,2,0.3227
1102,3,600000,2,0.3645
1103,3,1000000,2,0.4118
1104,3,1400000,2,0.4591
1105,3,1800000,2,0.5055
1106,3,2200000,2,0.55
1107,3,2600000,2,0.5945
1108,3,3000000,2,0.6373
1109,3,3500000,2,0.6845
1110,3,4000000,2,0.7309
1111,3,4500000,2,0.7764
1112,3,5000000,2,0.8
1113,3,5500000,2,0.8227
1114,3,6100000,2,0.8491
1115,3,6700000,2,0.8745
1116,3,7300000,2,0.8991
1117,3,8000000,2,0.9255
1118,3,8700000,2,0.9518
1119,3,9400000,2,0.9764
1120,3,10200000,2,1.0036
1121,3,11000000,2,1.03
1122,3,12000000,2,1.0627
1123,3,13000000,2,1.0936
1124,3,14200000,2,1.13
1125,3,15400000,2,1.1655
1126,3,16900000,2,1.2082
1127,3,18400000,2,1.2509
1128,3,20400000,2,1.3064
1129,3,22400000,2,1.3609
1130,3,24900000,2,1.4291
1131,3,27400000,2,1.4973
1132,3,30400000,2,1.5773
1133,3,33400000,2,1.6582
1134,3,36900000,2,1.7518
1135,3,40400000,2,1.8445
1136,3,44400000,2,1.9509
1137,3,48400000,2,2.0564
1138,3,52900000,2,2.1755
1139,3,57400000,2,2.2955
1140,3,62400000,2,2.4273
1141,3,67400000,2,2.56
1142,3,72900000,2,2.7055
1143,3,78400000,2,2.8518
1144,3,84400000,2,3.0109
1145,3,90400000,2,3.17
1146,3,96900000,2,3.3418
1147,3,103400000,2,3.5136
1148,3,110400000,2,3.7
1149,3,117400000,2,3.8855
1150,3,124900000,2,4.0727
1151,4,300000,2,0.3873
1152,4,600000,2,0.4373
1153,4,1000000,2,0.4945
1154,4,1400000,2,0.5509
1155,4,1800000,2,0.6064
1156,4,2200000,2,0.66
1157,4,2600000,2,0.7127
1158,4,3000000,2,0.7645
1159,4,3500000,2,0.8218
1160,4,4000000,2,0.8773
1161,4,4500000,2,0.9309
1162,4,5000000,2,0.96
1163,4,5500000,2,0.9873
1164,4,6100000,2,1.0191
1165,4,6700000,2,1.0491
1166,4,7300000,2,1.0782
1167,4,8000000,2,1.1109
1168,4,8700000,2,1.1418
1169,4,9400000,2,1.1718
1170,4,10200000,2,1.2045
1171,4,11000000,2,1.2364
1172,4,12000000,2,1.2755
1173,4,13000000,2,1.3127
1174,4,14200000,2,1.3564
1175,4,15400000,2,1.3982
1176,4,16900000,2,1.45
1177,4,18400000,2,1.5009
1178,4,20400000,2,1.5673
1179,4,22400000,2,1.6336
1180,4,24900000,2,1.7155
1181,4,27400000,2,1.7964
1182,4,30400000,2,1.8927
1183,4,33400000,2,1.99
1184,4,36900000,2,2.1018
1185,4,40400000,2,2.2136
1186,4,44400000,2,2.3409
1187,4,48400000,2,2.4682
1188,4,52900000,2,2.6109
1189,4,57400000,2,2.7536
1190,4,62400000,2,2.9127
1191,4,67400000,2,3.0718
1192,4,72900000,2,3.2473
1193,4,78400000,2,3.4218
1194,4,84400000,2,3.6127
1195,4,90400000,2,3.8036
1196,4,96900000,2,4.01
1197,4,103400000,2,4.2173
1198,4,110400000,2,4.4391
1199,4,117400000,2,4.6618
1200,4,124900000,2,4.8873
1201,5,300000,2,0.6455
1202,5,600000,2,0.7282
1203,5,1000000,2,0.8245
1204,5,1400000,2,0.9182
1205,5,1800000,2,1.0109
1206,5,2200000,2,1.1009
1207,5,2600000,2,1.1882
1208,5,3000000,2,1.2745
1209,5,3500000,2,1.3691
1210,5,4000000,2,1.4618
1211,5,4500000,2,1.5518
1212,5,5000000,2,1.5991
1213,5,5500000,2,1.6455
1214,5,6100000,2,1.6982
1215,5,6700000,2,1.7491
1216,5,7300000,2,1.7973
1217,5,8000000,2,1.8518
1218,5,8700000,2,1.9036
1219,5,9400000,2,1.9527
1220,5,10200000,2,2.0073
1221,5,11000000,2,2.0609
1222,5,12000000,2,2.1255
1223,5,13000000,2,2.1882
1224,5,14200000,2,2.26
1225,5,15400000,2,2.3309
1226,5,16900000,2,2.4164
1227,5,18400000,2,2.5018
1228,5,20400000,2,2.6127
1229,5,22400000,2,2.7227
1230,5,24900000,2,2.8591
1231,5,27400000,2,2.9936
1232,5,30400000,2,3.1555
1233,5,33400000,2,3.3164
1234,5,36900000,2,3.5027
1235,5,40400000,2,3.6891
1236,5,44400000,2,3.9009
1237,5,48400000,2,4.1127
1238,5,52900000,2,4.3518
1239,5,57400000,2,4.59
1240,5,62400000,2,4.8555
1241,5,67400000,2,5.12
1242,5,72900000,2,5.4118
1243,5,78400000,2,5.7027
1244,5,84400000,2,6.0209
1245,5,90400000,2,6.3391
1246,5,96900000,2,6.6836
1247,5,103400000,2,7.0282
1248,5,110400000,2,7.3991
1249,5,117400000,2,7.77
1250,5,124900000,2,8.1455
1251,6,300000,2,0.7736
1252,6,600000,2,0.8745
1253,6,1000000,2,0.9891
1254,6,1400000,2,1.1018
1255,6,1800000,2,1.2127
1256,6,2200000,2,1.3209
1257,6,2600000,2,1.4264
1258,6,3000000,2,1.5291
1259,6,3500000,2,1.6436
1260,6,4000000,2,1.7545
1261,6,4500000,2,1.8627
1262,6,5000000,2,1.9191
1263,6,5500000,2,1.9745
1264,6,6100000,2,2.0373
1265,6,6700000,2,2.0982
1266,6,7300000,2,2.1573
1267,6,8000000,2,2.2218
1268,6,8700000,2,2.2836
1269,6,9400000,2,2.3436
1270,6,10200000,2,2.4091
1271,6,11000000,2,2.4727
1272,6,12000000,2,2.55
1273,6,13000000,2,2.6255
1274,6,14200000,2,2.7127
1275,6,15400000,2,2.7964
1276,6,16900000,2,2.9
1277,6,18400000,2,3.0018
1278,6,20400000,2,3.1355
1279,6,22400000,2,3.2673
1280,6,24900000,2,3.4309
1281,6,27400000,2,3.5927
1282,6,30400000,2,3.7864
1283,6,33400000,2,3.9791
1284,6,36900000,2,4.2036
1285,6,40400000,2,4.4273
1286,6,44400000,2,4.6809
1287,6,48400000,2,4.9355
1288,6,52900000,2,5.2218
1289,6,57400000,2,5.5082
1290,6,62400000,2,5.8264
1291,6,67400000,2,6.1445
1292,6,72900000,2,6.4936
1293,6,78400000,2,6.8436
1294,6,84400000,2,7.2255
1295,6,90400000,2,7.6073
1296,6,96900000,2,8.02
1297,6,103400000,2,8.4336
1298,6,110400000,2,8.8791
1299,6,117400000,2,9.3245
1300,6,124900000,2,9.7745
1301,7,300000,2,1.9355
1302,7,600000,2,2.1855
1303,7,1000000,2,2.4736
1304,7,1400000,2,2.7555
1305,7,1800000,2,3.0318
1306,7,2200000,2,3.3018
1307,7,2600000,2,3.5655
1308,7,3000000,2,3.8236
1309,7,3500000,2,4.1082
1310,7,4000000,2,4.3864
1311,7,4500000,2,4.6564
1312,7,5000000,2,4.7982
1313,7,5500000,2,4.9355
1314,7,6100000,2,5.0945
1315,7,6700000,2,5.2464
1316,7,7300000,2,5.3918
1317,7,8000000,2,5.5545
1318,7,8700000,2,5.71
1319,7,9400000,2,5.8582
1320,7,10200000,2,6.0227
1321,7,11000000,2,6.1818
1322,7,12000000,2,6.3755
1323,7,13000000,2,6.5636
1324,7,14200000,2,6.7809
1325,7,15400000,2,6.9918
1326,7,16900000,2,7.25
1327,7,18400000,2,7.5045
1328,7,20400000,2,7.8373
1329,7,22400000,2,8.1673
1330,7,24900000,2,8.5764
1331,7,27400000,2,8.9818
1332,7,30400000,2,9.4655
1333,7,33400000,2,9.9482
1334,7,36900000,2,10.5091
1335,7,40400000,2,11.0673
1336,7,44400000,2,11.7036
1337,7,48400000,2,12.3391
1338,7,52900000,2,13.0545
1339,7,57400000,2,13.77
1340,7,62400000,2,14.5655
1341,7,67400000,2,15.36
1342,7,72900000,2,16.2345
1343,7,78400000,2,17.1091
1344,7,84400000,2,18.0636
1345,7,90400000,2,19.0173
1346,7,96900000,2,20.0509
1347,7,103400000,2,21.0845
1348,7,110400000,2,22.1973
1349,7,117400000,2,23.31
1350,7,124900000,2,24.4355
1351,8,300000,2,1.9355
1352,8,600000,2,2.1855
1353,8,1000000,2,2.4736
1354,8,1400000,2,2.7555
1355,8,1800000,2,3.0318
1356,8,2200000,2,3.3018
1357,8,2600000,2,3.5655
1358,8,3000000,2,3.8236
1359,8,3500000,2,4.1082
1360,8,4000000,2,4.3864
1361,8,4500000,2,4.6564
1362,8,5000000,2,4.7982
1363,8,5500000,2,4.9355
1364,8,6100000,2,5.0945
1365,8,6700000,2,5.2464
1366,8,7300000,2,5.3918
1367,8,8000000,2,5.5545
1368,8,8700000,2,5.71
1369,8,9400000,2,5.8582
1370,8,10200000,2,6.0227
1371,8,11000000,2,6.1818
1372,8,12000000,2,6.3755
1373,8,13000000,2,6.5636
1374,8,14200000,2,6.7809
1375,8,15400000,2,6.9918
1376,8,16900000,2,7.25
1377,8,18400000,2,7.5045
1378,8,20400000,2,7.8373
1379,8,22400000,2,8.1673
1380,8,24900000,2,8.5764
1381,8,27400000,2,8.9818
1382,8,30400000,2,9.4655
1383,8,33400000,2,9.9482
1384,8,36900000,2,10.5091
1385,8,40400000,2,11.0673
1386,8,44400000,2,11.7036
1387,8,48400000,2,12.3391
1388,8,52900000,2,13.0545
1389,8,57400000,2,13.77
1390,8,62400000,2,14.5655
1391,8,67400000,2,15.36
1392,8,72900000,2,16.2345
1393,8,78400000,2,17.1091
1394,8,84400000,2,18.0636
1395,8,90400000,2,19.0173
1396,8,96900000,2,20.0509
1397,8,103400000,2,21.0845
1398,8,110400000,2,22.1973
1399,8,117400000,2,23.31
1400,8,124900000,2,24.4355
2001,1,300000,3,0.1291
2002,1,600000,3,0.1455
2003,1,1000000,3,0.1645
2004,1,1400000,3,0.1836
2005,1,1800000,3,0.2018
2006,1,2200000,3,0.22
2007,1,2600000,3,0.2373
2008,1,3000000,3,0.2545
2009,1,3500000,3,0.2736
2010,1,4000000,3,0.2927
2011,1,4500000,3,0.31
2012,1,5000000,3,0.32
2013,1,5500000,3,0.3291
2014,1,6100000,3,0.34
2015,1,6700000,3,0.35
2016,1,7300000,3,0.3591
2017,1,8000000,3,0.37
2018,1,8700000,3,0.3809
2019,1,9400000,3,0.3909
2020,1,10200000,3,0.4018
2021,1,11000000,3,0.4118
2022,1,12000000,3,0.4255
2023,1,13000000,3,0.4373
2024,1,14200000,3,0.4518
2025,1,15400000,3,0.4664
2026,1,16900000,3,0.4836
2027,1,18400000,3,0.5
2028,1,20400000,3,0.5227
2029,1,22400000,3,0.5445
2030,1,24900000,3,0.5718
2031,1,27400000,3,0.5991
2032,1,30400000,3,0.6309
2033,1,33400000,3,0.6636
2034,1,36900000,3,0.7009
2035,1,40400000,3,0.7382
2036,1,44400000,3,0.78
2037,1,48400000,3,0.8227
2038,1,52900000,3,0.87
2039,1,57400000,3,0.9182
2040,1,62400000,3,0.9709
2041,1,67400000,3,1.0236
2042,1,72900000,3,1.0827
2043,1,78400000,3,1.1409
2044,1,84400000,3,1.2045
2045,1,90400000,3,1.2682
2046,1,96900000,3,1.3364
2047,1,103400000,3,1.4055
2048,1,110400000,3,1.48
2049,1,117400000,3,1.5536
2050,1,124900000,3,1.6291
2051,2,300000,3,0.1936
2052,2,600000,3,0.2182
2053,2,1000000,3,0.2473
2054,2,1400000,3,0.2755
2055,2,1800000,3,0.3027
2056,2,2200000,3,0.33
2057,2,2600000,3,0.3564
2058,2,3000000,3,0.3827
2059,2,3500000,3,0.4109
2060,2,4000000,3,0.4382
2061,2,4500000,3,0.4655
2062,2,5000000,3,0.48
2063,2,5500000,3,0.4936
2064,2,6100000,3,0.5091
2065,2,6700000,3,0.5245
2066,2,7300000,3,0.5391
2067,2,8000000,3,0.5555
2068,2,8700000,3,0.5709
2069,2,9400000,3,0.5855
2070,2,10200000,3,0.6018
2071,2,11000000,3,0.6182
2072,2,12000000,3,0.6373
2073,2,13000000,3,0.6564
2074,2,14200000,3,0.6782
2075,2,15400000,3,0.6991
2076,2,16900000,3,0.7255
2077,2,18400000,3,0.7509
2078,2,20400000,3,0.7836
2079,2,22400000,3,0.8164
2080,2,24900000,3,0.8573
2081,2,27400000,3,0.8982
2082,2,30400000,3,0.9464
2083,2,33400000,3,0.9945
2084,2,36900000,3,1.0509
2085,2,40400000,3,1.1064
2086,2,44400000,3,1.17
2087,2,48400000,3,1.2336
2088,2,52900000,3,1.3055
2089,2,57400000,3,1.3773
2090,2,62400000,3,1.4564
2091,2,67400000,3,1.5364
2092,2,72900000,3,1.6236
2093,2,78400000,3,1.7109
2094,2,84400000,3,1.8064
2095,2,90400000,3,1.9018
2096,2,96900000,3,2.0055
2097,2,103400000,3,2.1082
2098,2,110400000,3,2.22
2099,2,117400000,3,2.3309
2100,2,124900000,3,2.4436
2101,3,300000,3,0.3227
2102,3,600000,3,0.3645
2103,3,1000000,3,0.4118
