变量名,itemNum5,itemNum4,itemNum3,itemNum2,itemNum1,fragNum3,fragNum2,fragNum1,needLevel,gold7,gold6,gold5,gold4,gold3,gold2,gold1,itemMap1,itemMap2,itemMap3,itemMap4,itemMap5,itemMap6,itemMap7
15,10,10,10,10,10,10,10,10,16,4800,6000,3600,2400,3000,1800,1200,,,,,,,
16,10,10,10,10,10,10,10,10,17,5000,6250,3750,2500,3125,1875,1250,,,,,,,
17,10,10,10,10,10,10,10,10,18,5200,6500,3900,2600,3250,1950,1300,,,,,,,
18,10,10,10,10,10,10,10,10,19,5400,6750,4050,2700,3375,2025,1350,,,,,,,
19,10,10,10,10,10,10,10,10,20,5600,7000,4200,2800,3500,2100,1400,,,,,,,
20,15,15,15,15,15,10,10,10,21,5800,7250,4350,2900,3625,2175,1450,,,,,,,
21,15,15,15,15,15,10,10,10,22,6000,7500,4500,3000,3750,2250,1500,,,,,,,
22,15,15,15,15,15,10,10,10,23,6200,7750,4650,3100,3875,2325,1550,,,,,,,
23,15,15,15,15,15,10,10,10,24,6400,8000,4800,3200,4000,2400,1600,,,,,,,
24,15,15,15,15,15,10,10,10,25,6600,8250,4950,3300,4125,2475,1650,,,,,,,
25,15,15,15,15,15,10,10,10,26,6800,8500,5100,3400,4250,2550,1700,,,,,,,
26,15,15,15,15,15,10,10,10,27,7000,8750,5250,3500,4375,2625,1750,,,,,,,
27,15,15,15,15,15,10,10,10,28,7200,9000,5400,3600,4500,2700,1800,,,,,,,
28,15,15,15,15,15,15,15,15,29,7400,9250,5550,3700,4625,2775,1850,,,,,,,
29,15,15,15,15,15,15,15,15,30,7600,9500,5700,3800,4750,2850,1900,,,,,,,
30,20,20,20,20,20,15,15,15,31,7800,9750,5850,3900,4875,2925,1950,,,,,,,
31,20,20,20,20,20,15,15,15,32,8000,10000,6000,4000,5000,3000,2000,,,,,,,
32,20,20,20,20,20,15,15,15,33,20000,25000,15000,10000,12500,7500,5000,,,,,,,
33,20,20,20,20,20,15,15,15,34,20800,26000,15600,10400,13000,7800,5200,,,,,,,
34,20,20,20,20,20,15,15,15,35,21600,27000,16200,10800,13500,8100,5400,,,,,,,
35,20,20,20,20,20,15,15,15,36,22400,28000,16800,11200,14000,8400,5600,,,,,,,
36,20,20,20,20,20,15,15,15,37,23200,29000,17400,11600,14500,8700,5800,,,,,,,
37,20,20,20,20,20,15,15,15,38,24000,30000,18000,12000,15000,9000,6000,,,,,,,
38,20,20,20,20,20,20,20,20,39,24800,31000,18600,12400,15500,9300,6200,,,,,,,
39,20,20,20,20,20,20,20,20,40,25600,32000,19200,12800,16000,9600,6400,,,,,,,
40,25,25,25,25,25,20,20,20,41,26400,33000,19800,13200,16500,9900,6600,,,,,,,
41,25,25,25,25,25,20,20,20,42,27200,34000,20400,13600,17000,10200,6800,,,,,,,
42,25,25,25,25,25,20,20,20,43,28000,35000,21000,14000,17500,10500,7000,,,,,,,
43,25,25,25,25,25,20,20,20,44,30400,38000,22800,15200,19000,11400,7600,,,,,,,
44,25,25,25,25,25,20,20,20,45,33200,41500,24900,16600,20750,12450,8300,,,,,,,
45,25,25,25,25,25,20,20,20,46,35600,44500,26700,17800,22250,13350,8900,,,,,,,
46,25,25,25,25,25,20,20,20,47,38400,48000,28800,19200,24000,14400,9600,,,,,,,
47,25,25,25,25,25,20,20,20,48,40000,50000,30000,20000,25000,15000,10000,,,,,,,
48,25,25,25,25,25,25,25,25,49,44000,55000,33000,22000,27500,16500,11000,,,,,,,
49,25,25,25,25,25,25,25,25,50,48000,60000,36000,24000,30000,18000,12000,,,,,,,
50,30,30,30,30,30,25,25,25,51,48000,60000,36000,24000,30000,18000,12000,,,,,,,
51,30,30,30,30,30,25,25,25,52,52000,65000,39000,26000,32500,19500,13000,,,,,,,
52,30,30,30,30,30,25,25,25,53,56000,70000,42000,28000,35000,21000,14000,,,,,,,
53,30,30,30,30,30,25,25,25,54,60000,75000,45000,30000,37500,22500,15000,,,,,,,
54,30,30,30,30,30,25,25,25,55,64000,80000,48000,32000,40000,24000,16000,,,,,,,
55,30,30,30,30,30,25,25,25,56,72000,90000,54000,36000,45000,27000,18000,,,,,,,
56,30,30,30,30,30,25,25,25,57,76000,95000,57000,38000,47500,28500,19000,,,,,,,
57,30,30,30,30,30,25,25,25,58,80000,100000,60000,40000,50000,30000,20000,,,,,,,
58,30,30,30,30,30,30,30,30,59,88000,110000,66000,44000,55000,33000,22000,,,,,,,
59,30,30,30,30,30,30,30,30,60,96000,120000,72000,48000,60000,36000,24000,,,,,,,
60,35,35,35,35,35,30,30,30,61,104000,130000,78000,52000,65000,39000,26000,,,,,,,
61,35,35,35,35,35,30,30,30,62,112000,140000,84000,56000,70000,42000,28000,,,,,,,
62,35,35,35,35,35,30,30,30,63,120000,150000,90000,60000,75000,45000,30000,,,,,,,
63,35,35,35,35,35,30,30,30,64,128000,160000,96000,64000,80000,48000,32000,,,,,,,
64,35,35,35,35,35,30,30,30,65,136000,170000,102000,68000,85000,51000,34000,,,,,,,
65,35,35,35,35,35,30,30,30,66,148000,185000,111000,74000,92500,55500,37000,,,,,,,
66,35,35,35,35,35,30,30,30,67,156000,195000,117000,78000,97500,58500,39000,,,,,,,
67,35,35,35,35,35,30,30,30,68,164000,205000,123000,82000,102500,61500,41000,,,,,,,
68,35,35,35,35,35,35,35,35,69,172000,215000,129000,86000,107500,64500,43000,,,,,,,
69,35,35,35,35,35,35,35,35,70,192000,240000,144000,96000,120000,72000,48000,,,,,,,
70,40,40,40,40,40,35,35,35,71,208000,260000,156000,104000,130000,78000,52000,,,,,,,
71,40,40,40,40,40,35,35,35,72,228000,285000,171000,114000,142500,85500,57000,,,,,,,
72,40,40,40,40,40,35,35,35,73,248000,310000,186000,124000,155000,93000,62000,,,,,,,
73,40,40,40,40,40,35,35,35,74,268000,335000,201000,134000,167500,100500,67000,,,,,,,
74,40,40,40,40,40,35,35,35,75,292000,365000,219000,146000,182500,109500,73000,,,,,,,
75,40,40,40,40,40,35,35,35,76,440000,550000,330000,220000,275000,165000,110000,,,,,,,
76,40,40,40,40,40,35,35,35,77,480000,600000,360000,240000,300000,180000,120000,,,,,,,
77,40,40,40,40,40,35,35,35,78,520000,650000,390000,260000,325000,195000,130000,,,,,,,
78,40,40,40,40,40,40,40,40,79,560000,700000,420000,280000,350000,210000,140000,,,,,,,
79,40,40,40,40,40,40,40,40,80,600000,750000,450000,300000,375000,225000,150000,,,,,,,
80,50,50,50,50,50,40,40,40,81,600000,750000,450000,300000,375000,225000,150000,,,,,,,
81,50,50,50,50,50,40,40,40,82,640000,800000,480000,320000,400000,240000,160000,,,,,,,
82,50,50,50,50,50,40,40,40,83,680000,850000,510000,340000,425000,255000,170000,,,,,,,
83,50,50,50,50,50,40,40,40,84,720000,900000,540000,360000,450000,270000,180000,,,,,,,
84,50,50,50,50,50,40,40,40,85,760000,950000,570000,380000,475000,285000,190000,,,,,,,
85,50,50,50,50,50,40,40,40,86,760000,950000,570000,380000,475000,285000,190000,,,,,,,
86,50,50,50,50,50,40,40,40,87,800000,1000000,600000,400000,500000,300000,200000,,,,,,,
87,50,50,50,50,50,40,40,40,88,840000,1050000,630000,420000,525000,315000,210000,,,,,,,
88,50,50,50,50,50,45,45,45,89,880000,1100000,660000,440000,550000,330000,220000,,,,,,,
89,50,50,50,50,50,45,45,45,90,920000,1150000,690000,460000,575000,345000,230000,,,,,,,
90,60,60,60,60,60,45,45,45,91,920000,1150000,690000,460000,575000,345000,230000,,,,,,,
91,60,60,60,60,60,45,45,45,92,960000,1200000,720000,480000,600000,360000,240000,,,,,,,
92,60,60,60,60,60,45,45,45,93,1000000,1250000,750000,500000,625000,375000,250000,,,,,,,
93,60,60,60,60,60,45,45,45,94,1040000,1300000,780000,520000,650000,390000,260000,,,,,,,
94,60,60,60,60,60,45,45,45,95,1080000,1350000,810000,540000,675000,405000,270000,,,,,,,
95,60,60,60,60,60,45,45,45,96,1080000,1350000,810000,540000,675000,405000,270000,,,,,,,
96,60,60,60,60,60,45,45,45,97,1120000,1400000,840000,560000,700000,420000,280000,,,,,,,
97,60,60,60,60,60,45,45,45,98,1160000,1450000,870000,580000,725000,435000,290000,,,,,,,
98,60,60,60,60,60,50,50,50,99,1200000,1500000,900000,600000,750000,450000,300000,,,,,,,
99,60,60,60,60,60,50,50,50,100,1240000,1550000,930000,620000,775000,465000,310000,,,,,,,
100,60,60,60,60,60,50,50,50,101,1280000,1600000,960000,640000,800000,480000,320000,,,,,,,
101,60,60,60,60,60,50,50,50,102,1320000,1650000,990000,660000,825000,495000,330000,,,,,,,
102,60,60,60,60,60,50,50,50,103,1360000,1700000,1020000,680000,850000,510000,340000,,,,,,,
103,60,60,60,60,60,50,50,50,104,1400000,1750000,1050000,700000,875000,525000,350000,,,,,,,
104,60,60,60,60,60,50,50,50,105,1440000,1800000,1080000,720000,900000,540000,360000,,,,,,,
105,70,70,70,70,70,50,50,50,106,1480000,1850000,1110000,740000,925000,555000,370000,,,,,,,
106,70,70,70,70,70,50,50,50,107,1520000,1900000,1140000,760000,950000,570000,380000,,,,,,,
107,70,70,70,70,70,50,50,50,108,1560000,1950000,1170000,780000,975000,585000,390000,,,,,,,
108,70,70,70,70,70,50,50,50,109,1600000,2000000,1200000,800000,1000000,600000,400000,,,,,,,
109,70,70,70,70,70,50,50,50,110,1640000,2050000,1230000,820000,1025000,615000,410000,,,,,,,
110,70,70,70,70,70,50,50,50,111,1680000,2100000,1260000,840000,1050000,630000,420000,,,,,,,
111,70,70,70,70,70,50,50,50,112,1720000,2150000,1290000,860000,1075000,645000,430000,,,,,,,
112,70,70,70,70,70,50,50,50,113,1760000,2200000,1320000,880000,1100000,660000,440000,,,,,,,
113,70,70,70,70,70,50,50,50,114,1800000,2250000,1350000,900000,1125000,675000,450000,,,,,,,
114,70,70,70,70,70,50,50,50,115,1840000,2300000,1380000,920000,1150000,690000,460000,,,,,,,
115,70,70,70,70,70,50,50,50,116,1880000,2350000,1410000,940000,1175000,705000,470000,,,,,,,
116,70,70,70,70,70,50,50,50,117,1920000,2400000,1440000,960000,1200000,720000,480000,,,,,,,
117,70,70,70,70,70,50,50,50,118,1960000,2450000,1470000,980000,1225000,735000,490000,,,,,,,
118,70,70,70,70,70,50,50,50,119,2000000,2500000,1500000,1000000,1250000,750000,500000,,,,,,,
119,70,70,70,70,70,50,50,50,120,2040000,2550000,1530000,1020000,1275000,765000,510000,,,,,,,
120,80,80,80,80,80,50,50,50,121,2080000,2600000,1560000,1040000,1300000,780000,520000,,,,,,,
121,80,80,80,80,80,50,50,50,122,2120000,2650000,1590000,1060000,1325000,795000,530000,,,,,,,
122,80,80,80,80,80,50,50,50,123,2160000,2700000,1620000,1080000,1350000,810000,540000,,,,,,,
123,80,80,80,80,80,50,50,50,124,2200000,2750000,1650000,1100000,1375000,825000,550000,,,,,,,
124,80,80,80,80,80,50,50,50,125,2240000,2800000,1680000,1120000,1400000,840000,560000,,,,,,,
125,80,80,80,80,80,50,50,50,126,2280000,2850000,1710000,1140000,1425000,855000,570000,,,,,,,
126,80,80,80,80,80,50,50,50,127,2320000,2900000,1740000,1160000,1450000,870000,580000,,,,,,,
127,80,80,80,80,80,50,50,50,128,2360000,2950000,1770000,1180000,1475000,885000,590000,,,,,,,
128,80,80,80,80,80,50,50,50,129,2400000,3000000,1800000,1200000,1500000,900000,600000,,,,,,,
129,80,80,80,80,80,50,50,50,130,2440000,3050000,1830000,1220000,1525000,915000,610000,,,,,,,
130,80,80,80,80,80,50,50,50,131,2480000,3100000,1860000,1240000,1550000,930000,620000,,,,,,,
131,80,80,80,80,80,50,50,50,132,2520000,3150000,1890000,1260000,1575000,945000,630000,,,,,,,
132,80,80,80,80,80,50,50,50,133,2560000,3200000,1920000,1280000,1600000,960000,640000,,,,,,,
133,80,80,80,80,80,50,50,50,134,2600000,3250000,1950000,1300000,1625000,975000,650000,,,,,,,
134,80,80,80,80,80,50,50,50,135,2640000,3300000,1980000,1320000,1650000,990000,660000,,,,,,,
135,90,90,90,90,90,50,50,50,136,2680000,3350000,2010000,1340000,1675000,1005000,670000,,,,,,,
136,90,90,90,90,90,50,50,50,137,2720000,3400000,2040000,1360000,1700000,1020000,680000,,,,,,,
137,90,90,90,90,90,50,50,50,138,2760000,3450000,2070000,1380000,1725000,1035000,690000,,,,,,,
138,90,90,90,90,90,50,50,50,139,2800000,3500000,2100000,1400000,1750000,1050000,700000,,,,,,,
139,90,90,90,90,90,50,50,50,140,2840000,3550000,2130000,1420000,1775000,1065000,710000,,,,,,,
140,90,90,90,90,90,50,50,50,141,2880000,3600000,2160000,1440000,1800000,1080000,720000,,,,,,,
141,90,90,90,90,90,50,50,50,142,2920000,3650000,2190000,1460000,1825000,1095000,730000,,,,,,,
142,90,90,90,90,90,50,50,50,143,2960000,3700000,2220000,1480000,1850000,1110000,740000,,,,,,,
143,90,90,90,90,90,50,50,50,144,3000000,3750000,2250000,1500000,1875000,1125000,750000,,,,,,,
144,90,90,90,90,90,50,50,50,145,3040000,3800000,2280000,1520000,1900000,1140000,760000,,,,,,,
145,90,90,90,90,90,50,50,50,146,3080000,3850000,2310000,1540000,1925000,1155000,770000,,,,,,,
146,90,90,90,90,90,50,50,50,147,3120000,3900000,2340000,1560000,1950000,1170000,780000,,,,,,,
147,90,90,90,90,90,50,50,50,148,3160000,3950000,2370000,1580000,1975000,1185000,790000,,,,,,,
148,90,90,90,90,90,50,50,50,149,3200000,4000000,2400000,1600000,2000000,1200000,800000,,,,,,,
149,90,90,90,90,90,50,50,50,150,3240000,4050000,2430000,1620000,2025000,1215000,810000,,,,,,,
