变量名,handBookIsShow,limitIsShow,speed,specialDefence,defence,specialDamage,damage,hpMax,languages,autoCards,cards,deployLock,enemyRandomCards,enemydeployLock,passiveSkillList
2431,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102431=5;103611=2;103642=3;104631=1},<101173;104091;101841;101082;107031;103673;100632>,,,,
2441,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101281=4;101972=1;102441=5;104631=2},<104081;102303;101293;100004>,,,,
2442,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101281=4;101972=1;102442=5;104631=2},<101982;101271;103611;101261>,,,,
2461,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101271=1;101972=2;102461=6;103211=3;103651=4},<100014;100242;100603;102023;102371;104151;103673;104193>,,,,
2723,,,,,,,,,,{102723=0},<101971;101841;101172;101082;102233;101653>,,,,
3211,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101271=1;101972=2;102461=6;103211=3;103651=4},<100014;100242;100603;102023;102371;104151;103673;104193>,,,,
3221,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103221=4;104161=6},<100333;100593;100884;103201;104061>,,,,
3241,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103241=0},<100721;101921;103021;100382;101082;102303;100641>,,,,
3242,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103242=5},<107031;104682;101271;101972;101982>,,,,
3243,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103243=0},<103201;107081;102351;102361;102391;104161>,,,,
3261,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103261=0},<104591;103601;103211;103261;103632;102441;104111;107041;107051>,,,,
3262,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103262=0},<104591;103601;103211;103262;103632;102441;104111;107041;107051>,,,,
3271,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104172=1;107081=2},<104111;101991>,,,,
3601,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{103601=0},<104591;103601;103211;103261;103262;103632;102441;104111;107041;107051>,,,,
3611,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{102431=5;103611=2;103642=3;104631=1},<101173;104091;101841;101082;107031;103673;100632>,,,,
3623,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{101972=3;103623=1;103632=2;104111=5;107031=4},<103601;103271;102351;107091;102723>,,,,
3631,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{101972=3;103623=1;103631=2;104111=5;107031=4},<103601;103271;102351;107091;107051;107061;104141>,,,,
3632,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{101972=3;103623=1;103632=2;104111=5;107031=4},<103601;103271;102351;107091;107051;107061;104141>,,,,
3641,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
3642,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{102431=5;103611=2;103642=3;104631=1},<101173;104091;101841;101082;107031;103673;100632>,,,,
3651,,,,,,,,,<cn;kr;en;en_us;en_eu;tw>,{103651=0},<102421;101962;107011;102361;107071;101271;101972;103211;103651;102461;104111>,,,,
3673,,,,,,,,,,{103673=0},<101271;102461;100014;100741;101303;102023;101172>,,,,
4023,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104172=1;107081=2},<104111;101991>,,,,
4024,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
4101,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{100763=5;101261=3;104101=4;107041=1;107081=2},<101281;101991>,,,,
4103,,,,,,,,,<cn>,{104103=0},<104172;104111;107081;107171;101991;102351;103271>,,,,
4104,,,,,,,,,<cn>,{104104=0},<103641;104121;102391;107021;104683;107041;100763;104601;104611>,,,,
4111,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{104111=0},<104111;104172;107081;104023;103271;102351;101991;103601;104591;103632;107051;103651>,,,,
4121,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
4141,,,,,,,,,,{104141=0},<102351;101991;101903;100493;101253;101503;103411>,,,,
4151,,,,,,,,,,{104151=0},<101271;102461;102992;104071;101813;103412;104041>,,,,
4161,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{103221=4;104161=6},<100333;100593;100884;103201;104061>,,,,
4171,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104171=1;107081=2},<104111;101991>,,,,
4172,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104172=1;107081=2},<104111;101991>,,,,
4193,,,,,,,,,,{104193=0},<101271;102461;100014;101173;101231;100741;101304>,,,,
4591,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{104591=0},<104591;103601;103211;103261;103262;103632;102441;104111;107041;107051>,,,,
4601,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{100762=5;103262=3;104121=6;104591=4;104601=2;107061=1},<>,,,,
4611,,,,,,,,,<cn;tw;en_us;en_eu>,{104611=0},<103221;103241;103623;102361;103211;101982;102351;102391>,,,,
4631,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{104631=0},<101281;102441;104631;102431;103611;107031;107011;103642>,,,,
4682,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104682=6;107021=4},<>,,,,
4683,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
5381,,,,,,,,,<cn>,{105381=0},<107101;107071;107111;103262;104601;107061;100762;107051;104121>,,,,
5391,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{105391=0},<102351;102361;104161;103221;107161;101221;102391>,,,,
7011,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101962=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
7021,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102391=2;103641=1;104024=3;104121=5;104683=6;107021=4},<>,,,,
7031,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101972=3;103623=1;103632=2;107031=4},<103601;104591;107091;104111;107051;107061;104141>,,,,
7041,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{100763=5;101261=3;101281=6;104101=4;107041=1;107081=2},<>,,,,
7051,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{107051=0},<104591;103601;103211;103261;103262;103632;102441;104111;107041;107051;107061>,,,,
7061,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{100762=4;103262=1;104121=6;104601=2;107051=5;107061=3},<>,,,,
7071,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101962=2;102361=5;102421=1;107011=4;107071=6},<100632;102132>,,,,
7081,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{102351=5;103271=4;104023=3;104172=1;107081=2},<104111;101991>,,,,
7091,,TRUE,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{101972=3;103632=2;107031=4;107091=6},<101653;102723>,,,,
7101,,,,,,,,,<cn>,{107101=0},<101972;105381;107071;107061;104601;104591;100762;100014>,,,,
7111,,TRUE,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{107111=0},<104601;107071;104591;107061;104121;102351;100762;104111>,,,,
7141,,,,,,,,,<cn;tw;en;en_us>,{107141=0},<107031;104172;101281;104631;102441;103632;102391;103641>,,,,
7151,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,{107151=0},<103181;101962;107141;102441;101281;104631;107081>,,,,
7161,,,,,,,,,<cn>,{107161=0},<104061;105391;104161;103221;105391;101221;103201>,,,,
7171,,,,,,,,,<cn>,{107171=0},<104023;107081;104172;103271;101991;102351;107111;104111>,,,,
7191,,,,,,,,,<cn>,{107191=0},<104103;107171;107111;107081;104172;104111;102352;103271>,,,,
7201,,,,,,,,,<cn>,{107201=0},<107191;107171;107081;104103;103271;104111;102352>,,,,
