变量名,cardID,level,finalDamageReduce,finalDamageDeepen,pvpDamageSub,pvpDamageAdd,natureRestraint,damageReduce,damageDeepen,damageDodge,damageHit,dodge,hit,mp1,speedRate,equipAwake,equipLevel,equipStar,equipAdvance,fetters,star,advance,skillLevels,abilities,nvalue,attributeRandom,suckBlood,mp1Recover,hp,damageAdd,strike,specialDamage,rebound,block,ultimateAdd,strikeDamage,strikeResistance,controlPer,damage,initMp1,specialDefence,finalDamageAdd,cure,immuneControl,defenceIgnore,specialDefenceIgnore,damageSub,ultimateSub,speed,finalDamageSub,defence,breakBlock,blockPower,elementalDamageAdd,elementalDamageDeepen,elementalDamageReduce,elementalDamageSub,ignoreDamageSub,languages,mpAttackRecover,mpBeAttackRecover,shieldPower
100053,53,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,246878.4646,2200,0,54480.2796,0,0,1600,15000,0,0,55405.56486,400,15698.0526,0,0,0,0,0,1900,500,2460.76677,0,15796.92164,300,3000,,,,,,,,,
100054,54,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,253765.7165,2400,600,56032.07697,0,0,1600,15000,0,0,56995.83654,400,16182.55313,0,0,0,0,0,2200,500,2569.430052,0,16285.4263,600,3000,,,,,,,,,
100061,61,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,215744.1849,1900,600,47526.85359,0,0,200,16850,0,0,50188.01811,400,13994.51954,0,0,0,0,0,1900,0,2123.810577,0,13994.51954,100,3000,,,,,,,,,
100062,62,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,224860.7027,1900,600,49599.66147,0,0,200,16850,0,0,52280.89778,400,14942.49021,0,0,0,0,0,1900,0,2264.65848,0,14656.54271,100,3000,,,,,,,,,
100071,71,,,,,,,,,,,,,,,,,,,,,,,,,,0,901,219627.3838,2050,0,48110.74984,0,0,700,15000,0,0,50488.88703,400,13899.20371,0,0,0,0,0,1900,500,2123.810577,0,13809.21768,150,3000,,,,,,,,,
100072,72,,,,,,,,,,,,,,,,,,,,,,,,,,0,901,228773.0167,2050,0,50493.34743,0,0,700,15000,0,0,52893.78663,400,14658.31931,0,0,0,0,0,1900,500,2284.401609,0,14755.41174,150,3000,,,,,,,,,
100081,81,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,218293.8294,1900,500,48712.48768,0,0,200,15500,150,0,50488.88703,400,14469.46424,0,0,0,900,0,1900,0,2025.094932,0,14185.29334,150,3000,,,,,,,,,
100082,82,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227429.1716,1900,500,50794.21636,0,0,200,15500,150,0,53484.37347,400,15136.8172,0,0,0,900,0,1900,0,2183.039964,0,14850.72757,150,3000,,,,,,,,,
100091,91,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,221961.5936,2200,300,50263.93146,0,0,200,15000,0,1400,50844.52886,400,15001.7863,0,0,500,0,0,1900,0,2218.557222,0,14414.98296,0,3000,,,,,,,,,
100092,92,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227205.3704,2200,300,51733.34316,0,0,200,15000,0,1400,52092.38745,400,15489.8938,0,0,500,0,0,1900,0,2400.214383,0,15195.49875,0,3000,,,,,,,,,
100093,93,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237640.634,2200,300,55319.11454,0,0,200,15000,0,1400,55319.11454,400,16381.83545,0,0,500,0,0,1900,0,2521.319157,0,15592.26883,0,3000,,,,,,,,,
100101,101,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,223520.8734,1900,0,44115.65872,0,600,0,15000,0,0,48073.40489,400,15084.72089,0,0,0,0,0,2100,1100,1946.122416,0,16816.27543,0,3500,,,,,,,,,
100102,102,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,232698.0476,1900,0,45950.29461,0,600,0,15000,0,0,49941.67018,400,15840.64805,0,0,0,0,0,2100,1100,2084.324319,0,17586.2405,0,3500,,,,,,,,,
100111,111,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,224860.7027,2000,0,46253.76839,900,500,200,15000,0,0,46796.51,400,15076.31574,0,0,0,0,0,2100,0,1964.542545,0,15492.39945,0,3500,,,,,,,,,
100112,112,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,231350.0193,2000,0,47345.21191,900,500,200,15000,0,0,47889.83142,400,15498.29625,0,0,0,0,0,2100,0,2043.515061,0,15914.22271,0,3500,,,,,,,,,
100113,113,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237994.1144,2000,0,48977.02924,900,500,200,15000,0,0,50347.92672,400,16443.62464,0,0,0,0,0,2100,0,2144.876706,0,16447.55584,0,3500,,,,,,,,,
100121,121,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,222206.3108,2050,500,48712.48768,0,0,200,15500,0,0,50192.47851,400,14089.83538,0,0,0,900,0,1900,0,2005.351803,0,14089.83538,150,3000,,,,,,,,,
100122,122,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227452.1792,2050,500,49904.99079,0,0,200,15500,0,0,51391.4938,400,14471.24084,0,0,0,900,0,1900,0,2084.324319,0,14563.00347,150,3000,,,,,,,,,
100123,123,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,235306.4243,2050,500,52583.99691,0,0,200,15500,0,0,54086.11132,400,15039.58264,0,0,0,900,0,1900,0,2204.106093,0,15133.264,150,3000,,,,,,,,,
100131,131,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,233700.9619,2100,0,49363.37628,0,100,0,15000,0,500,47693.35876,400,16330.30642,0,0,500,0,0,2200,1100,1942.153416,0,15488.46825,0,3000,,,,,,,,,
100132,132,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,241594.9474,2100,0,50755.57347,0,100,0,15000,0,500,49363.37628,400,16646.67387,0,0,500,0,0,2200,1100,2060.61219,0,16119.23754,0,3000,,,,,,,,,
100133,133,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,250920.6251,2100,0,53589.99894,0,100,0,15000,0,500,51597.90284,400,17494.40885,0,0,500,0,0,2200,1100,2218.557222,0,16961.07572,0,3000,,,,,,,,,
100151,151,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237994.1144,1900,0,48548.57306,0,0,200,15000,200,500,47671.02417,400,13927.02262,0,0,500,0,0,2300,900,1807.920513,0,13736.98937,0,3000,,,,,,,,,
100152,152,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,247290.5098,1900,0,49127.13027,0,0,200,15000,200,500,49127.13027,400,14027.55805,0,0,500,0,0,2300,900,1846.083771,0,13927.02262,0,3000,,,,,,,,,
100153,153,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,256658.0196,1900,0,52398.20935,0,0,200,15000,200,500,51201.35555,400,14713.05721,0,0,500,0,0,2300,900,1984.285674,0,14612.52179,0,3000,,,,,,,,,
100161,161,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,255878.911,2600,0,52942.24621,0,200,500,15000,200,0,54169.14252,400,17906.53576,0,0,0,0,0,3200,2400,2575.6731,0,17679.62636,0,3000,,,,,,,,,
100162,162,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,271975.1078,2600,0,56288.21082,0,200,500,15000,200,0,57815.3296,400,19189.83157,0,0,0,0,0,3200,2400,2818.365581,0,19068.11127,0,3000,,,,,,,,,
100163,163,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,276413.8475,2600,0,56890.82298,0,200,500,15000,200,0,58744.34401,400,19420.87377,0,0,0,0,0,3200,2400,3108.333967,0,19420.87377,0,3000,,,,,,,,,
100171,171,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,222183.3032,2000,500,50784.27796,0,0,0,15500,100,0,48755.02696,400,15107.84052,0,0,900,0,0,2000,200,1886.893029,0,14813.59264,0,3000,,,,,,,,,
100172,172,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227429.1716,2000,500,51655.05914,0,0,0,15500,100,0,49915.83736,400,15402.08841,0,0,900,0,0,2000,200,1946.122416,0,15301.55298,0,3000,,,,,,,,,
100173,173,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,232698.0476,2000,500,53708.14934,0,0,0,15500,100,0,51356.18774,400,15800.69809,0,0,900,0,0,2000,200,2005.351803,0,15698.32306,0,3000,,,,,,,,,
100191,191,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,227429.1716,2000,100,48712.48768,0,0,700,15000,0,0,49904.99079,400,14471.24084,0,0,0,0,0,1900,500,1984.285674,0,14374.14841,100,3000,,,,,,,,,
100192,192,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,231350.0193,2000,100,52893.78663,0,0,700,15000,0,0,50794.21636,400,15039.58264,0,0,0,0,0,1900,500,2223.849222,0,14656.54271,100,3000,,,,,,,,,
100211,211,,,,,,,,,,,,,,,,,,,,,,<80;80;80;80;80;80;80>,,,,0,1,229774.0067,2000,1300,51729.32797,0,0,700,16000,0,0,52043.83799,400,14840.06797,0,0,0,0,0,1900,500,2400.214383,0,14652.98951,0,3000,,,,,,,,,
100212,212,,,,,,,,,,,,,,,,,,,,,,<80;80;80;80;80;80;80>,,,,0,1,239001.2119,2000,1300,53878.62676,0,0,700,16000,0,0,54480.2796,400,15509.19754,0,0,0,0,0,1900,500,2542.385286,0,15410.3285,0,3000,,,,,,,,,
100221,221,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,233700.9619,2000,600,53878.62676,0,100,1100,15500,100,0,52657.07628,400,15124.381,0,0,0,0,0,2000,0,2180.393964,0,15032.47624,100,3000,,,,,,,,,
100222,222,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245561.8103,2000,600,56652.38439,0,100,1100,15500,100,0,55416.96786,400,15985.7767,0,0,0,0,0,2000,0,2359.405125,0,15892.23747,100,3000,,,,,,,,,
100231,231,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,219627.3838,2000,1500,48409.38856,0,0,200,15500,0,0,52276.43738,400,14277.05597,0,0,0,0,0,1900,0,2123.810577,0,13994.51954,100,3000,,,,,,,,,
100232,232,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,228773.0167,2000,1500,50488.88703,0,0,200,15500,0,0,54384.75004,400,14942.49021,0,0,0,0,0,1900,0,2263.33548,0,14656.54271,100,3000,,,,,,,,,
100241,241,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263139.9402,2400,1500,60782.92771,0,0,200,18300,0,0,60782.92771,400,16782.07568,0,0,0,0,0,2100,0,2598.618053,0,16578.23137,0,3000,,,,,,,,,
100242,242,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,279325.0185,2400,1500,63858.86119,0,0,200,18300,0,0,64892.08851,400,17818.0008,0,0,0,0,0,2100,0,2861.483486,0,17818.0008,0,3000,,,,,,<cn;kr;en;en_us;en_eu;tw>,,,
100251,251,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,255878.911,2400,2100,57428.02111,0,500,200,15000,600,0,58437.30844,400,16469.87062,0,0,0,0,0,2400,0,2818.365581,0,16469.87062,400,3500,,,,,,,,,
100252,252,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,267549.8511,2400,2100,58437.30844,0,500,200,15000,600,0,60117.25149,400,16782.07568,0,0,0,0,0,2400,0,2818.365581,0,17298.27222,400,3500,,,,,,,,,
100253,253,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,279325.0185,2400,2100,60782.92771,0,500,200,15000,600,0,63503.28008,400,18134.03223,0,0,0,0,0,2400,0,2684.853864,0,18341.55574,400,3500,,,,,,,,,
100254,254,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,279325.0185,2400,2100,62830.42187,0,500,200,15000,600,0,61136.11481,400,18451.7561,0,0,0,0,0,2400,0,2684.853864,0,17612.31689,400,3500,,,,,,,,,
100261,261,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,248655.4035,3100,0,63118.28667,0,400,200,15000,300,1700,53988.23421,400,17486.1691,0,0,500,0,0,2900,0,2818.365581,0,16093.97429,0,3000,,,,,,,,,
100262,262,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,255878.911,3100,0,64775.31809,0,400,200,15000,300,1700,55596.57923,400,18025.34118,0,0,500,0,0,2900,0,2928.932345,0,16627.55399,0,3000,,,,,,,,,
100263,263,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263139.9402,3100,0,66131.86141,0,400,200,15000,300,1700,57214.01238,400,18897.36269,0,0,500,0,0,2900,0,3040.885109,0,17061.57293,0,3000,,,,,,,,,
100264,264,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263139.9402,3100,0,70511.25308,0,400,200,15000,300,2200,57214.01238,400,19228.1437,0,0,500,0,0,2900,0,3243.231684,0,17811.20451,0,3000,,,,,,,,,
100271,271,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,241594.9474,2000,700,51132.23633,0,0,200,15500,0,0,55405.56486,400,14652.98951,0,0,0,900,0,2100,0,2060.61219,0,15124.381,0,3000,,,,,,,,,
100272,272,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245561.8103,2000,700,52643.39268,0,0,200,15500,0,0,57260.87903,400,15410.3285,0,0,0,900,0,2100,0,2119.841577,0,15698.0526,0,3000,,,,,,,,,
100273,273,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,249543.1471,2000,700,53878.62676,0,0,200,15500,0,0,60068.84565,400,16086.56447,0,0,0,900,0,2100,0,2180.393964,0,15985.7767,0,3000,,,,,,,,,
100281,281,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,233700.9619,2100,500,51597.90284,0,0,0,15500,0,0,51890.53169,400,15589.99286,0,0,0,0,0,2300,200,2100.098448,0,15699.37988,0,3000,,,,,,,,,
100282,282,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,239001.2119,2100,500,52739.30318,0,0,0,15500,0,0,53295.27849,400,16013.78173,0,0,0,0,0,2300,200,2180.393964,0,16220.91941,0,3000,,,,,,,,,
100283,283,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,245561.8103,2100,500,54148.06585,0,0,0,15500,0,0,54442.7863,400,16855.6199,0,0,0,0,0,2300,200,2279.109609,0,16646.67387,0,3000,,,,,,,,,
100301,301,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,229826.2967,1900,0,47346.80171,0,1400,0,15000,100,0,51330.32398,400,15935.28366,0,0,0,0,0,2300,200,1981.639674,0,18152.18785,100,3500,,,,,,,,,
100302,302,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,235057.5239,1900,0,48469.88904,0,1400,0,15000,100,0,52569.20379,400,16372.6555,0,0,0,0,0,2300,200,2060.61219,0,18678.81809,100,3500,,,,,,,,,
100303,303,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245561.8103,1900,0,49284.98072,0,1400,0,15000,100,0,54772.94013,400,17025.83265,0,0,0,0,0,2300,200,2119.841577,0,19233.30242,100,3500,,,,,,,,,
100321,321,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,279325.0185,2700,0,52662.32582,1200,900,0,15000,400,0,55011.86393,400,18385.42414,0,0,0,0,0,3200,200,2292.634714,0,19350.00136,100,3500,,,,,,,,,
100323,323,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,282238.2296,2700,0,58280.84925,1200,900,0,15000,400,0,55902.02873,400,21063.05146,0,0,0,0,0,3200,200,2401.815478,0,19955.16476,100,3500,,,,,,,,,
100331,331,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,248655.4035,2600,500,63503.28008,0,0,700,15000,0,0,56767.1329,400,16986.06716,0,0,0,0,0,3100,500,2489.437289,0,17503.95613,0,3000,,,,,,,,,
100332,332,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,260262.0333,2600,500,66245.17846,0,0,700,15000,0,0,59451.57528,400,17503.95613,0,0,0,0,0,3100,500,2684.853864,0,18341.55574,0,3000,,,,,,,,,
100333,333,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,270440.8863,2600,500,67285.58778,0,0,700,15000,0,0,60782.92771,400,18134.03223,0,0,0,0,0,3100,500,2598.618053,0,18977.00347,0,3000,,,,,,,,,
100341,341,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,224791.6799,1900,500,50888.42491,0,0,200,15500,0,0,53643.93774,400,14660.09591,0,0,0,900,0,1900,0,2064.58119,0,14471.24084,0,3000,,,,,,,,,
100351,351,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,218293.8294,1900,1500,48409.38856,0,0,200,15500,100,0,52583.99691,400,13994.51954,0,0,0,0,0,2000,0,2143.553706,0,14277.05597,0,3000,,,,,,,,,
100352,352,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227429.1716,1900,1500,50488.88703,0,0,200,15500,100,0,54696.76996,400,14656.54271,0,0,0,0,0,2000,0,2344.953996,0,14942.49021,0,3000,,,,,,,,,
100371,371,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245561.8103,2200,0,49074.93062,900,100,500,15000,0,0,52446.507,400,16220.91941,0,0,0,0,0,1900,700,2001.382803,0,16220.91941,200,3000,,,,,,,,,
100372,372,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,254918.6948,2200,0,51046.11073,900,100,500,15000,0,0,54442.7863,400,17814.70749,0,0,0,0,0,1900,700,2159.327835,0,16965.00692,200,3000,,,,,,,,,
100381,381,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,251508.9169,2500,0,52966.71661,1200,800,0,15000,0,0,55011.86393,400,17788.82873,0,0,0,0,0,3600,200,2466.492336,0,20693.09902,300,3500,,,,,,,,,
100382,382,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,260262.0333,2500,0,56796.37673,1200,800,0,15000,0,0,57970.18365,400,18511.59762,0,0,0,0,0,3600,200,2684.853864,0,23918.43162,300,3500,,,,,,,,,
100391,391,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,251508.9169,2800,500,62464.35821,0,0,700,15000,0,0,55596.57923,400,16738.45272,0,0,0,0,0,2900,500,2750.916722,0,16627.55399,500,3000,,,,,,,,,
100392,392,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,257390.9565,2800,500,64118.88576,0,0,700,15000,0,0,57214.01238,400,17486.1691,0,0,0,0,0,2900,500,2861.483486,0,17061.57293,500,3000,,,,,,,,,
100393,393,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,264663.0738,2800,500,65782.87238,0,0,700,15000,0,0,58840.9046,400,18138.15512,0,0,0,0,0,2900,500,2951.877298,0,17598.98303,500,3000,,,,,,,,,
100394,394,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201,264663.0738,3400,600,70155.30885,0,0,700,15000,0,0,58840.9046,400,18897.36269,0,0,0,0,0,2900,500,3108.333967,0,18352.29179,800,3000,,,,,,,,,
100401,401,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,253014.3096,2200,0,51782.61902,0,500,0,15000,0,0,52966.71661,400,18511.59762,0,0,0,0,0,3600,1400,2684.853864,0,23161.21937,400,4000,,,,,,,,,
100402,402,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,271975.1078,2200,0,54123.79074,0,500,0,15000,0,0,56796.37673,400,19350.00136,0,0,0,0,0,3600,1400,2401.815478,0,24681.89851,400,4000,,,,,,,,,
100403,403,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,271975.1078,2200,0,54123.79074,0,900,0,15000,600,0,60680.58577,400,20564.78353,0,0,0,0,0,3600,1400,2401.815478,0,25952.37269,400,4000,,,,,,,,,
100441,441,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,264663.0738,2700,900,59451.57528,0,500,1800,15000,0,0,57428.02111,400,16578.23137,0,0,0,0,0,2500,0,2466.492336,0,17818.0008,200,3500,,,,,,,,,
100442,442,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,282238.2296,2700,900,66605.54757,0,500,1800,15000,0,0,63503.28008,400,17612.31689,0,0,0,0,0,2500,0,2575.6731,0,17928.20115,200,3500,,,,,,,,,
100451,451,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,223520.8734,2000,0,47892.91458,0,200,200,15000,0,1400,48755.02696,400,14713.05721,0,0,500,0,0,1900,0,1925.056287,0,15996.25014,0,3000,,,,,,,,,
100452,452,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227429.1716,2000,0,48755.02696,0,200,200,15000,0,1400,51356.18774,400,15597.78763,0,0,500,0,0,1900,0,1984.285674,0,16396.55225,0,3000,,,,,,,,,
100461,461,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227205.3704,2200,700,51132.23633,0,0,200,15500,0,0,51132.23633,400,14652.98951,0,0,0,900,0,2000,0,2060.61219,0,14652.98951,0,3000,,,,,,,,,
100462,462,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,233700.9619,2200,700,51132.23633,0,0,200,15500,0,0,59129.87679,400,16856.19754,0,0,0,900,0,2000,0,2379.148254,0,15219.69684,0,3000,,,,,,,,,
100463,463,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,233700.9619,2200,700,51132.23633,0,0,200,15500,0,0,57582.23085,400,16856.19754,0,0,0,900,0,2000,0,2318.595867,0,15894.01407,0,3000,,,,,,,,,
100464,464,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,233700.9619,2200,700,51132.23633,0,0,200,15500,0,0,56652.38439,400,16856.19754,0,0,0,900,0,2000,0,2279.109609,0,16376.06517,0,3000,,,,,,,,,
