变量名,passiveSkill,attrNatureType3,attrNatureType1,pointType,attrNum3,attrType3,extraWeight,name,limit,group,attrNum2,attrType2,attrNum1,attrType1,pointValue,buffColor,iconBg,unlockConditionDesc,icon,weight,belongLib,desc,condition,supplyNum,supplyTarget,supplyType,buffType,descNew,nameNew,logo,changeLib,effectTimes,unlockCondition,skillgroup,selfExtraWeight,__version,buffsGroup1,buffsGroup2,strategyGroup
12,,,,,,,,暴击伤害Ⅲ,1,3,,,2000,15,,effect,city/adventure/random_tower/icon/box_orange.png,,city/develop/talent/icon_bj.png,50,,我方精灵暴击伤害+20%,,,,,,,,,,,,,,,1001,,11
13,,,,,,,,伤害减免I,,,,,500,23,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_shjm.png,100,,我方精灵伤害减免+5%,,,,,,,,,,,,,,,,,11
14,,,,,,,,伤害减免Ⅱ,3,2,,,1000,23,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_shjm.png,100,,我方精灵伤害减免+10%,,,,,,,,,,,,,,,,,11
15,,,,,,,,伤害减免Ⅲ,1,3,,,1500,23,,effect,city/adventure/random_tower/icon/box_yellow.png,,city/develop/talent/icon_shjm.png,50,,我方精灵伤害减免+15%,,,,,,,,,,,,,,,,,11
16,,,,,,,,吸血I,,,,,400,26,,effect,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_xx.png,50,,我方精灵吸血+4%,,,,,,,,,,,,,,,1001,,11
17,,,,,,,,吸血Ⅱ,,2,,,800,26,,effect,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_xx.png,40,,我方精灵吸血+8%,,,,,,,,,,,,,,,1001,,11
18,,,,,,,,吸血Ⅲ,,3,,,1000,26,,effect,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_xx.png,30,,我方精灵吸血+10%,,,,,,,,,,,,,,,1001,,11
19,,,,,,,,抵御I,,,,,1000,17,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,50,,我方精灵抵御+10%,,,,,,,,,,,,,,,,,11
20,,,,,,,,抵御Ⅱ,,2,,,1500,17,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,50,,我方精灵抵御+15%,,,,,,,,,,,,,,,,,11
21,,,,,,,,抵御Ⅲ,,3,,,2000,17,,effect,city/adventure/random_tower/icon/box_blue.png,,city/adventure/random_tower/icon/icon_fy.png,50,,我方精灵抵御+20%,,,,,,,,,,,,,,,,,11
101,,,,,,,,补给-单体回血I,,4,,,,,,,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_hx.png,20,,回复一只精灵25%生命值,1,25,1,1,2,,,,,,,,,,,,21
102,,,,,,,,补给-单体回血II,,5,,,,,,,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_hx.png,50,,回复一只精灵50%生命值,1,50,1,1,2,,,,,,,,,,,,21
103,,,,,,,,补给-单体回血Ⅲ,,5,,,,,,,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_hx.png,10,,回复一只精灵100%生命值,1,100,1,1,2,,,,,,,,,,,,21
104,,,,,,,,补给-全体回血,,6,,,,,,,city/adventure/random_tower/icon/box_pink.png,,city/adventure/random_tower/icon/icon_hx.png,10,,上阵精灵血量全回复,1,100,2,1,2,,,,,,,,,,,,21
105,,,,,,,,补给-单体回怒I,,4,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_hn.png,20,,回复一只精灵200怒气值,2,25,1,2,2,,,,,,,,,,,,21
106,,,,,,,,补给-单体回怒II,,5,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_hn.png,50,,回复一只精灵500怒气值,2,50,1,2,2,,,,,,,,,,,,21
107,,,,,,,,补给-单体回怒Ⅲ,,5,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_hn.png,10,,回复一只精灵1000怒气值,2,100,1,2,2,,,,,,,,,,,,21
108,,,,,,,,补给-全体回怒,,6,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_hn.png,20,,上阵精灵怒气全回复,2,100,2,2,2,,,,,,,,,,,,21
109,,,,,,,,补给-复活,,4,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_fh.png,20,,复活一只精灵,3,,1,3,2,,,,,,,,,,,,21
110,,,,,,,,补给-复活,,5,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_fh.png,20,,复活一只精灵,3,,1,3,2,,,,,,,,,,,,21
111,,,,,,,,补给-复活,,6,,,,,,,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon/icon_fh.png,10,,复活一只精灵,3,,1,3,2,,,,,,,,,,,,21
151,,,,1,,,,,,99,,,,,2,effect_huang,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon_jf.png,,,战斗结束时可以额外获得剩余回合数*2的积分,,,,,3,,,,,,,,,,,,
152,,,,2,,,,,,99,,,,,1,effect_huang,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon_jf.png,,,战斗结束时可以额外获得存活精灵数*1的积分,,,,,3,,,,,,,,,,,,
153,,,,2,,,,,,99,,,,,2,effect_huang,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon_jf.png,,,战斗结束时可以额外获得存活精灵数*2的积分,,,,,3,,,,,,,,,,,,
154,,,,3,,,,,,99,,,,,2,effect_huang,city/adventure/random_tower/icon/box_yellow.png,,city/adventure/random_tower/icon_jf.png,,,战斗结束时可以额外获得当前层数*2的积分,,,,,3,,,,,,,,,,,,
200,,,,,,,,,,1111,,,,,,,,,,,,当前生命值减少10%,,10,2,4,2,,,,,,,,,,,,
201,,,,,,,,,,1111,,,,,,,,,,,,当前生命值减少20%,,20,2,4,2,,,,,,,,,,,,
202,,,,,,,,,,1111,,,,,,,,,,,,当前生命值减少30%,,30,2,4,2,,,,,,,,,,,,
203,,,,,,,,,,1111,,,,,,,,,,,,当前怒气值减少200,,20,2,5,2,,,,,,,,,,,,
204,,,,,,,,,,1111,,,,,,,,,,,,当前怒气值减少500,,50,2,5,2,,,,,,,,,,,,
205,,,,,,,,,,1111,,,,,,,,,,,,当前怒气值减少1000,,100,2,5,2,,,,,,,,,,,,
206,,,,,,,,,,1111,,,,,,,,,,,,当前怒气值增加500,,50,2,2,2,,,,,,,,,,,,
207,,,,,,,,,,1111,,,-20%,13,,effect_lan,,,,,,我方精灵速度-20%,,,,,,,,,,,,,,,,,
208,,,,,,,,,,1111,,,-40%,13,,effect_lan,,,,,,我方精灵速度-40%,,,,,,,,,,,,,,,,,
210,,,,,,,,,,1111,,,,,,,,,,,,上阵精灵血量全回复,,100,2,1,2,,,,,,,,,,,,
211,,,,,,,,,,1111,,,,,,,,,,,,上阵精灵怒气全回复,,100,2,2,2,,,,,,,,,,,,
212,,,,,,,,,,1111,,,-5%,7,,effect,,,,,,我方精灵物攻-5%,,,,,,,,,,,,,,,,,
213,,,,,,,,,,1111,,,-5%,8,,effect,,,city/adventure/random_tower/icon/icon_tg.png,,,我方精灵特攻-5%,,,,,,,,,,,,,,,,,
214,,,,,,,,,,1111,,,,,,,,,,,,上阵精灵血量回复20%,,20,2,1,2,,,,,,,,,,,,
215,,,,,,,,,,1111,,,,,,,,,,,,上阵精灵怒气增加200,,20,2,2,2,,,,,,,,,,,,
301,80052,,,,,,,,,1000,,,,,,effect,city/adventure/random_tower/icon/box_green.png,,city/adventure/random_tower/icon/icon_kz.png,,,下一次战斗开始时，沉默所有敌人一回合,,,,,4,,噤敌封喉,,,1,,,,,,,
1001,82001,,,,,,,强袭·赐福迭加,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,每拥有一个强袭的祝福，精灵造成的普攻伤害提升6%，该效果最多可叠加6层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=30},,1002,101,11
1002,82002,,,,,,,强袭·破晓之击,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,精灵造成的普攻伤害提升15%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=30},,1002,101,11
1003,82003,,,,,,,强袭·裂空暴击,1,101,,,,,,effect,,,city/develop/talent/icon_bj.png,100,,精灵释放普攻时暴击率提升10%2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=30},,1002,101,11
1004,82004,,,,,,,强袭·余晖暴伤,1,101,,,,,,effect,,,city/develop/talent/icon_bj.png,100,,精灵释放普攻后暴击伤害提升15%2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=30},,1002,101,11
1005,82005,,,,,,,强袭·风驰攻击,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,精灵释放普攻双攻提升10%2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=30},,1002,101,11
1006,82006,,,,,,,强袭·坚岩防御,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_fy.png,10,,精灵释放普攻双防提升20%2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=20},,1002,101,11
1007,82007,,,,,,,强袭·连珠伤害,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj1.png,10,,单个大回合内每次普攻伤害递增10%（可叠加3层）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=20},,1002,101,11
1008,82008,,,,,,,强袭·蓄势破空,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj1.png,10,,精灵本回合内未释放主动普攻技能，则下次普攻伤害提升16%（最多可叠加2层）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=5},,1002,101,11
1009,82009,,,,,,,强袭·灵波溅射,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_fs.png,1,,普攻造成的伤害对随机相邻单体，造成等同于原伤害40%的伤害,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=5},,1002,101,11
1010,82010,,,,,,,强袭·生命守护,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_fy.png,1,,每次使用普攻获得10%最大生命的护盾（一个大回合内最多触发3次）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=5},,1002,101,11
1021,82016,,,,,,,强袭·生命回流,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_xx.png,0,,释放普攻时，有50%概率回复本次普攻30%的生命值的血量,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=1},,1002,101,11
1022,82017,,,,,,,强袭·必杀追击,1,101,,,,,,effect,,,city/adventure/random_tower/icon/icon_yybm1.png,0,,精灵释放必杀技后额外触发【追击Ⅰ】,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,,,{101=1},,1002,101,11
1031,82021,,,,,,,强袭·连环攻势,1,103,,,,,,effect,,通过获得3个【强袭】流派祝福解锁,city/adventure/random_tower/icon/icon_yybm1.png,,,精灵每次主动攻击后可触发一次【连击Ⅰ】,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,{101=3},,,,1002,101,11
1032,82022,,,,,,,强袭·追击连锁,1,103,,,,,,effect,,通过获得5个【强袭】流派祝福解锁,city/adventure/random_tower/icon/icon_yybm1.png,,,精灵每次主动攻击后，有50%几率额外再触发1次【追击Ⅰ】,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,{101=5},,,,1002,101,11
1033,82023,,,,,,,强袭·斩草除根,1,103,,,,,,effect,,通过获得8个【强袭】流派祝福解锁,city/adventure/random_tower/icon/icon_js2.png,,,若击杀单位时可额外对随机目标触发【追击Ⅰ】,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_10.png,,,{101=8},,,,1002,101,11
1111,82101,,,,,,,无双·神赐之福,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_pl.png,100,,每拥有一个无双的祝福，暴击伤害提升6%，最多可叠加6层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=30},,1002,111,11
1112,82102,,,,,,,无双·雷霆之怒,1,111,,,,,,effect,,,city/develop/talent/icon_bj.png,100,,精灵暴击率提升12%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=30},,1002,111,11
1113,82103,,,,,,,无双·破天之击,1,111,,,,,,effect,,,city/develop/talent/icon_bj.png,100,,精灵暴击伤害提升18%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=30},,1002,111,11
1114,82104,,,,,,,无双·暗影潜行,1,111,,,,,,effect,,,city/develop/talent/icon_bjsh.png,100,,精灵攻击未暴击则暴击率提升8%，最多可叠加3层，暴击后重置,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=30},,1002,111,11
1115,82105,,,,,,,无双·暴风骤雨,1,111,,,,,,effect,,,city/develop/talent/icon_bjsh.png,100,,精灵攻击暴击时则暴击伤害提升15%2回合，最高可叠加3层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=30},,1002,111,11
1116,82106,,,,,,,无双·先手之利,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_dk.png,10,,主动回合开始前，获得1至2回合10%暴击率,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=20},,1002,111,11
1117,82107,,,,,,,无双·逆境之怒,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_dk.png,10,,受到主动攻击时，暴击伤害提升10%，最多可叠加3层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=20},,1002,111,11
1118,82108,,,,,,,无双·杀戮意志,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_dk.png,10,,击杀单位时，永久获得5%暴击率，最多可叠加4层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=5},,1002,111,11
1119,82109,,,,,,,无双·真实撕裂,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_qr.png,1,,主动攻击时触发暴击额外造成自身30%双攻加成的真实伤害（该伤害可暴击）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=5},,1002,111,11
1120,82110,,,,,,,无双·暴伤回春,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_xx.png,1,,提升10%暴击伤害，造成暴击时回复自身生命上限8%的生命值,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=5},,1002,111,11
1121,82116,,,,,,,无双·血契之誓,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_xx.png,0,,行动回合开始前，精灵每拥有暴击率10%，回复自身2%血量,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=1},,1002,111,11
1122,82117,,,,,,,无双·绝境利刃,1,111,,,,,,effect,,,city/adventure/random_tower/icon/icon_pl.png,0,,对生命百分比小于50%的单位必定暴击,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,,,{111=1},,1002,111,11
1131,82121,,,,,,,无双·连击之舞,1,113,,,,,,effect,,通过获得3个【无双】流派祝福解锁,city/adventure/random_tower/icon/icon_yybm.png,,,精灵主动攻击每3次暴击获得一个额外回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,{111=3},,,,1002,111,11
1132,82122,,,,,,,无双·怒击灭杀,1,113,,,,,,effect,,通过获得5个【无双】流派祝福解锁,city/adventure/random_tower/icon/icon_nqhs.png,,,该获得的额外回合技能对主目标必定暴击，击杀单位时获得200点怒气,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,{111=5},,,,1002,111,11
1133,82123,,,,,,,无双·怒焰爆发,1,113,,,,,,effect,,通过获得8个【无双】流派祝福解锁,city/adventure/random_tower/icon/icon_nqhs.png,,,该额外回合获得300点怒气值,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_5.png,,,{111=8},,,,1002,111,11
1211,82201,,,,,,,终结·神佑赐福,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_mf.png,100,,每拥有一个终结的祝福，精灵必杀伤害提升6%，该效果最多可叠加6层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=30},,1002,121,11
1212,82202,,,,,,,终结·破军之击,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_mf.png,100,,精灵必杀伤害提升20%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=30},,1002,121,11
1213,82203,,,,,,,终结·怒焰奔腾,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_zh.png,100,,精灵怒气回复速度提升40%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=30},,1002,121,11
1214,82204,,,,,,,终结·暴击降临,1,121,,,,,,effect,,,city/develop/talent/icon_bjsh.png,100,,精灵释放必杀技的暴击率提升25%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=30},,1002,121,11
1215,82205,,,,,,,终结·余威震天,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_qz.png,100,,精灵释放必杀技后自身下次攻击造成伤害提升100%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=30},,1002,121,11
1216,82206,,,,,,,终结·生命之源,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_sh2.png,10,,精灵释放必杀技后回复自身10%生命上限的血量,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=20},,1002,121,11
1217,82207,,,,,,,终结·杀意叠加,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_dk.png,10,,每使用一次必杀技，提升必杀伤害加成12%（可叠加3层）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=20},,1002,121,11
1218,82208,,,,,,,终结·怒海狂潮,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_hn.png,10,,必杀技后，接下去2回合内怒气回复速度提升50%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=5},,1002,121,11
1219,82209,,,,,,,终结·屠戮乐章,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_qr.png,1,,击败敌人时，额外获得100点怒气，并永久获得必杀伤害加成10%，最多可叠加3层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=5},,1002,121,11
1220,82210,,,,,,,终结·致命旋律,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_yybm3.png,1,,每使用一次普攻或者小技能，提升必杀伤害20%，最多可叠加3层，释放后重置,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=5},,1002,121,11
1221,82216,,,,,,,终结·怒气节制,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_nqhs.png,0,,战斗内怒气上限降低200点,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=1},,1002,121,11
1222,82217,,,,,,,终结·生命回响,1,121,,,,,,effect,,,city/adventure/random_tower/icon/icon_hx.png,0,,战斗结束前，恢复精灵自身必杀技释放次数*5%的气血（最多不超过20%）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,,,{121=1},,1002,121,11
1231,82221,,,,,,,终结·双弦奏命,1,123,,,,,,effect,,通过获得3个【终结】流派祝福解锁,city/adventure/random_tower/icon/icon_yybm1.png,,,精灵每2次主动必杀技额外释放释放一次免消耗的必杀技,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,{121=3},,,,1002,121,11
1232,82222,,,,,,,终结·怒音回澜,1,123,,,,,,effect,,通过获得5个【终结】流派祝福解锁,city/adventure/random_tower/icon/icon_hn.png,,,该免消耗的必杀技击杀单位时额外获得200点怒气，同一个回合内不会重复触发,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,{121=5},,,,1002,121,11
1233,82223,,,,,,,终结·怒启天穹,1,123,,,,,,effect,,通过获得8个【终结】流派祝福解锁,city/adventure/random_tower/icon/icon_hn.png,,,入场获得满怒气，且必杀伤害提升20%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_9.png,,,{121=8},,,,1002,121,11
1311,82301,,,,,,,毁灭·赐福降临,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,每拥有一个毁灭的祝福，精灵双攻8%，该效果最多可叠加6层,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=30},,1002,131,11
1312,82302,,,,,,,毁灭·破灭之力,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,精灵双攻提升15%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=30},,1002,131,11
1313,82303,,,,,,,毁灭·生命升华,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_xw.png,100,,精灵生命上限提高10%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=30},,1002,131,11
1314,82304,,,,,,,毁灭·血怒狂暴,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_pl.png,100,,精灵损失血量时，提升双攻5%（最多可叠加4层）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=30},,1002,131,11
1315,82305,,,,,,,毁灭·血脉觉醒,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,100,,精灵每损失1%生命值，伤害加成提升3%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=30},,1002,131,11
1316,82306,,,,,,,毁灭·生命防护,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj.png,10,,精灵每损失1%生命值，双攻提升3%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=20},,1002,131,11
1317,82307,,,,,,,毁灭·坚韧守护,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_fy.png,10,,精灵每损失1%生命值，双防提升6%,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=20},,1002,131,11
1318,82308,,,,,,,毁灭·逆境守护,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_gj1.png,10,,当精灵当前生命值百分比首次小于50%时，获得自身20%生命上限的护盾，持续2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=5},,1002,131,11
1319,82309,,,,,,,毁灭·战损庇护,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_fy.png,1,,进入战斗时，获得等同于已损失生命值36%伤害的护盾，持续2回合,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=5},,1002,131,11
1320,82310,,,,,,,毁灭·血怒之手,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_hn.png,1,,精灵损失血量后，恢复10点怒气（每个行动回合最多触发1次）,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=5},,1002,131,11
1321,82316,,,,,,,毁灭·残命守护,1,131,,,,,,effect,,,city/adventure/random_tower/icon/icon_ph.png,0,,友方首个受到致命攻击的单位将保留1滴血存活,,,,,4,,,city/adventure/random_tower/hell/lp_icon/logo_lp_4.png,,,,,{131=1},,1002,131,11
