变量名,icon,room,boxIndex,monster,pointC,monsterType,fightC,desc,name,group,weight,type,theme,drops,buff,event,__version
73,city/adventure/random_tower/icon/icon_sj.png,18,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
74,city/adventure/random_tower/icon/img_jddr@.png,18,,41,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
75,city/adventure/random_tower/icon/img_ptdr@.png,18,,42,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
76,city/adventure/random_tower/icon/img_kndr@.png,18,,43,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
77,city/adventure/random_tower/icon/img_kndr@.png,19,,43,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
78,city/adventure/random_tower/icon/img_boss@.png,19,,44,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
79,city/adventure/random_tower/icon/img_boss@.png,19,,44,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
80,city/adventure/random_tower/icon/img_boss@.png,19,,44,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
81,city/adventure/random_tower/icon/icon_sj.png,20,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
82,city/adventure/random_tower/icon/icon_wz.png,21,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
83,city/adventure/random_tower/icon/icon_wz.png,21,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
84,city/adventure/random_tower/icon/icon_wz.png,21,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
85,city/adventure/random_tower/icon/icon_wz.png,21,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
86,city/adventure/random_tower/icon/icon_wz.png,22,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
87,city/adventure/random_tower/icon/icon_wz.png,22,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
88,city/adventure/random_tower/icon/icon_wz.png,22,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
89,city/adventure/random_tower/icon/icon_wz.png,22,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
90,city/adventure/random_tower/icon/img_jddr@.png,23,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
91,city/adventure/random_tower/icon/img_jddr@.png,23,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
92,city/adventure/random_tower/icon/img_ptdr@.png,23,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
93,city/adventure/random_tower/icon/img_ptdr@.png,23,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
94,city/adventure/random_tower/icon/img_jddr@.png,24,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
95,city/adventure/random_tower/icon/img_jddr@.png,24,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
96,city/adventure/random_tower/icon/img_jddr@.png,24,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
97,city/adventure/random_tower/icon/img_ptdr@.png,24,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
98,city/adventure/random_tower/icon/img_ptdr@.png,25,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
99,city/adventure/random_tower/icon/img_ptdr@.png,25,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
100,city/adventure/random_tower/icon/img_kndr@.png,25,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
101,city/adventure/random_tower/icon/img_kndr@.png,25,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
102,city/adventure/random_tower/icon/icon_wz.png,26,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
103,city/adventure/random_tower/icon/icon_wz.png,26,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
104,city/adventure/random_tower/icon/icon_sj.png,26,,51,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<6;100>>,
105,city/adventure/random_tower/icon/img_ptdr@.png,26,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
106,city/adventure/random_tower/icon/img_kndr@.png,26,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
107,city/adventure/random_tower/icon/icon_wz.png,27,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
108,city/adventure/random_tower/icon/icon_sj.png,27,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
109,city/adventure/random_tower/icon/img_jddr@.png,27,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
110,city/adventure/random_tower/icon/img_ptdr@.png,27,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
111,city/adventure/random_tower/icon/img_kndr@.png,27,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
112,city/adventure/random_tower/icon/icon_wz.png,28,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<4;100>>,,
113,city/adventure/random_tower/icon/icon_wz.png,28,,,,,,,战斗补给,,,2,<1;2;3;1001;1002;1003>,,<<5;100>>,,
114,city/adventure/random_tower/icon/icon_sj.png,28,,,,,,谁也不知道会发生什么,事件,,,4,<1;2;3;1001;1002;1003>,,,<<11;1000>;<12;500>;<21;1000>;<22;500>;<31;1000>;<32;500>;<41;1000>;<42;500>;<51;1000>;<52;500>;<61;1000>;<62;500>;<99;1>>,
115,city/adventure/random_tower/icon/img_jddr@.png,28,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
116,city/adventure/random_tower/icon/img_ptdr@.png,28,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
117,city/adventure/random_tower/icon/img_kndr@.png,28,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
118,city/adventure/random_tower/icon/img_kndr@.png,29,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
119,city/adventure/random_tower/icon/img_boss@.png,29,,54,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
120,city/adventure/random_tower/icon/img_boss@.png,29,,54,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
121,city/adventure/random_tower/icon/img_boss@.png,29,,54,,4,0.8,极为艰难的力量在前方,霸主,,,1,<1;2;3;1001;1002;1003>,,,,
122,city/adventure/random_tower/icon_hhbx.png,30,12,,,,,跨越巨大挑战后才会配拥有此回报,豪华宝箱,,,3,<1;2;3;1001;1002;1003>,,,,
123,city/adventure/random_tower/icon/icon_wz.png,31,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
124,city/adventure/random_tower/icon/icon_wz.png,31,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
125,city/adventure/random_tower/icon/icon_wz.png,31,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
126,city/adventure/random_tower/icon/icon_wz.png,31,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
127,city/adventure/random_tower/icon/icon_wz.png,32,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
128,city/adventure/random_tower/icon/icon_wz.png,32,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
129,city/adventure/random_tower/icon/icon_wz.png,32,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
130,city/adventure/random_tower/icon/icon_wz.png,32,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
131,city/adventure/random_tower/icon/img_jddr@.png,33,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
132,city/adventure/random_tower/icon/img_jddr@.png,33,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
133,city/adventure/random_tower/icon/img_ptdr@.png,33,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
134,city/adventure/random_tower/icon/img_ptdr@.png,33,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
135,city/adventure/random_tower/icon/img_jddr@.png,34,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
136,city/adventure/random_tower/icon/img_jddr@.png,34,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
137,city/adventure/random_tower/icon/img_jddr@.png,34,,51,,,,似乎是可以轻松击败的对手,简单的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
138,city/adventure/random_tower/icon/img_ptdr@.png,34,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
139,city/adventure/random_tower/icon/img_ptdr@.png,35,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
140,city/adventure/random_tower/icon/img_ptdr@.png,35,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
141,city/adventure/random_tower/icon/img_kndr@.png,35,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
142,city/adventure/random_tower/icon/img_kndr@.png,35,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
143,city/adventure/random_tower/icon/icon_wz.png,36,,,,,,,战斗效果,,,2,<1;2;3;1001;1002;1003>,,<<101;100>;<111;100>;<121;100>;<131;100>;<141;100>;<161;100>;<1;300>;<9999;100>>,,
144,city/adventure/random_tower/icon/icon_wz.png,36,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
145,city/adventure/random_tower/icon/img_ptdr@.png,36,,52,,2,,小有实力，但是不足为惧的对手,普通的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
146,city/adventure/random_tower/icon/img_kndr@.png,36,,53,,3,,请谨慎挑选对手,困难的敌人,,,1,<1;2;3;1001;1002;1003>,,,,
147,city/adventure/random_tower/icon/icon_wz.png,37,,,,,,,属性加成,,,2,<1;2;3;1001;1002;1003>,,<<1;100>;<2;50>>,,
