变量名,boxType,index,version,award,award2,__version
1019,2,19,2,{gold=20000;libs=<505;22506>},,
1020,2,20,2,{gold=20000;libs=<505;505>},,
1101,2,101,2,{gold=200000;libs=<505;505;22503;22507>},,
2001,,,3,{gold=5000;libs=<504;504>},,
2002,,2,3,{gold=5000;libs=<504;504>},,
2003,,3,3,{gold=5000;libs=<504;504>},,
2004,,4,3,{gold=5000;libs=<504;504>},,
2005,,5,3,{gold=5000;libs=<504;504>},,
2006,,6,3,{gold=5000;libs=<504;504>},,
2007,,7,3,{gold=5000;libs=<504;504>},,
2008,,8,3,{gold=5000;libs=<504;504>},,
2009,,9,3,{gold=5000;libs=<504;504>},,
2010,,10,3,{gold=5000;libs=<504;504>},,
2011,2,11,3,{gold=20000;libs=<505;8621;8622>},,
2012,2,12,3,{gold=20000;libs=<505;505>},,
2013,2,13,3,{gold=20000;libs=<505;8602>},,
2014,2,14,3,{gold=20000;libs=<505;8621;8622>},,
2015,2,15,3,{gold=20000;libs=<505;505>},,
2016,2,16,3,{gold=20000;libs=<505;8603>},,
2017,2,17,3,{gold=20000;libs=<505;8621;8622>},,
2018,2,18,3,{gold=20000;libs=<505;505>},,
2019,2,19,3,{gold=20000;libs=<505;8621;8622>},,
2020,2,20,3,{gold=20000;libs=<505;505>},,
2101,2,101,3,{gold=200000;libs=<505;505;8603;8623;8623;8623>},,
3001,,,1001,{gold=5000;libs=<504;504>},,
3002,,2,1001,{gold=5000;libs=<504;504>},,
3003,,3,1001,{gold=5000;libs=<504;504>},,
3004,,4,1001,{gold=5000;libs=<504;504>},,
3005,,5,1001,{gold=5000;libs=<504;504>},,
3006,,6,1001,{gold=5000;libs=<504;504>},,
3007,,7,1001,{gold=5000;libs=<504;504>},,
3008,,8,1001,{gold=5000;libs=<504;504>},,
3009,,9,1001,{gold=5000;libs=<504;504>},,
3010,,10,1001,{gold=5000;libs=<504;504>},,
3011,2,11,1001,{gold=20000;libs=<505;8016>},,
3012,2,12,1001,{gold=20000;libs=<505;505>},,
3013,2,13,1001,{gold=20000;libs=<505;8013>},,
3014,2,14,1001,{gold=20000;libs=<505;8016>},,
3015,2,15,1001,{gold=20000;libs=<505;505>},,
3016,2,16,1001,{gold=20000;libs=<505;8013>},,
3017,2,17,1001,{gold=20000;libs=<505;8016>},,
3018,2,18,1001,{gold=20000;libs=<505;505>},,
3019,2,19,1001,{gold=20000;libs=<505;8016>},,
3020,2,20,1001,{gold=20000;libs=<505;505>},,
3101,2,101,1001,{gold=200000;libs=<505;505;8013;8017>},,
4001,,,1002,{gold=5000;libs=<504;504>},,
4002,,2,1002,{gold=5000;libs=<504;504>},,
4003,,3,1002,{gold=5000;libs=<504;504>},,
4004,,4,1002,{gold=5000;libs=<504;504>},,
4005,,5,1002,{gold=5000;libs=<504;504>},,
4006,,6,1002,{gold=5000;libs=<504;504>},,
4007,,7,1002,{gold=5000;libs=<504;504>},,
4008,,8,1002,{gold=5000;libs=<504;504>},,
4009,,9,1002,{gold=5000;libs=<504;504>},,
4010,,10,1002,{gold=5000;libs=<504;504>},,
4011,2,11,1002,{gold=20000;libs=<505;22506>},,
4012,2,12,1002,{gold=20000;libs=<505;505>},,
4013,2,13,1002,{gold=20000;libs=<505;22502>},,
4014,2,14,1002,{gold=20000;libs=<505;22506>},,
4015,2,15,1002,{gold=20000;libs=<505;505>},,
4016,2,16,1002,{gold=20000;libs=<505;22503>},,
4017,2,17,1002,{gold=20000;libs=<505;22506>},,
4018,2,18,1002,{gold=20000;libs=<505;505>},,
4019,2,19,1002,{gold=20000;libs=<505;22506>},,
4020,2,20,1002,{gold=20000;libs=<505;505>},,
4101,2,101,1002,{gold=200000;libs=<505;505;22503;22507>},,
5001,,,1003,{gold=5000;libs=<504;504>},,
5002,,2,1003,{gold=5000;libs=<504;504>},,
5003,,3,1003,{gold=5000;libs=<504;504>},,
5004,,4,1003,{gold=5000;libs=<504;504>},,
5005,,5,1003,{gold=5000;libs=<504;504>},,
5006,,6,1003,{gold=5000;libs=<504;504>},,
5007,,7,1003,{gold=5000;libs=<504;504>},,
5008,,8,1003,{gold=5000;libs=<504;504>},,
5009,,9,1003,{gold=5000;libs=<504;504>},,
5010,,10,1003,{gold=5000;libs=<504;504>},,
5011,2,11,1003,{gold=20000;libs=<505;8621;8622>},,
5012,2,12,1003,{gold=20000;libs=<505;505>},,
5013,2,13,1003,{gold=20000;libs=<505;8602>},,
5014,2,14,1003,{gold=20000;libs=<505;8621;8622>},,
5015,2,15,1003,{gold=20000;libs=<505;505>},,
5016,2,16,1003,{gold=20000;libs=<505;8603>},,
5017,2,17,1003,{gold=20000;libs=<505;8621;8622>},,
5018,2,18,1003,{gold=20000;libs=<505;505>},,
5019,2,19,1003,{gold=20000;libs=<505;8621;8622>},,
5020,2,20,1003,{gold=20000;libs=<505;505>},,
5101,2,101,1003,{gold=200000;libs=<505;505;8603;8623;8623;8623>},,
