变量名,skillLevel,starEnd,starStart,advanceEnd,advanceStart,levelEnd,levelStart,room,theme,zawake,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,extraSkill,__version
11,3,9,8,4,3,88,85,11,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
12,3,9,8,4,3,88,85,12,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
13,3,9,8,4,3,88,85,13,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
14,3,9,8,5,4,88,85,14,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
15,4,9,8,5,4,88,85,15,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
16,4,9,8,5,4,88,85,16,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
17,4,9,8,5,4,88,85,17,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
18,4,9,8,5,4,88,85,18,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
19,4,9,8,5,4,88,85,19,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
20,5,9,8,6,5,88,85,20,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
21,5,10,9,6,5,92,89,21,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
22,5,10,9,6,5,92,89,22,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
23,5,10,9,6,5,92,89,23,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
24,5,10,9,6,5,92,89,24,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
25,6,10,9,6,5,92,89,25,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
26,6,10,9,7,6,92,89,26,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
27,6,10,9,7,6,92,89,27,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
28,6,10,9,7,6,92,89,28,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
29,6,10,9,7,6,92,89,29,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
30,7,10,9,7,6,92,89,30,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
31,7,10,9,7,6,92,89,31,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
32,7,10,9,7,6,92,89,32,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
33,7,10,9,8,7,92,89,33,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
34,7,10,9,8,7,92,89,34,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
35,8,10,9,8,7,92,89,35,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
36,8,10,9,8,7,92,89,36,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
37,8,10,9,8,7,92,89,37,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
38,8,10,9,9,8,92,89,38,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
39,8,10,9,9,8,92,89,39,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
40,9,10,9,9,8,92,89,40,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
41,9,11,10,9,8,96,93,41,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
42,9,11,10,9,8,96,93,42,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
43,9,11,10,10,9,96,93,43,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
44,9,11,10,10,9,96,93,44,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
45,10,11,10,10,9,96,93,45,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
46,10,11,10,10,9,96,93,46,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
47,10,11,10,10,9,96,93,47,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
48,10,11,10,11,10,96,93,48,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
49,10,11,10,11,10,96,93,49,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
50,11,11,10,11,10,96,93,50,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
51,11,11,10,11,10,96,93,51,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
52,11,11,10,11,10,96,93,52,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
53,11,11,10,12,11,96,93,53,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
54,11,11,10,12,11,96,93,54,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
55,12,11,10,12,11,96,93,55,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
56,12,11,10,12,11,96,93,56,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
57,12,11,10,12,11,96,93,57,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
58,12,11,10,13,12,96,93,58,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
59,12,11,10,13,12,96,93,59,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
60,13,11,10,13,12,96,93,60,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
61,13,12,11,13,12,100,97,61,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
62,13,12,11,13,12,100,97,62,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
63,13,12,11,14,13,100,97,63,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
64,13,12,11,14,13,100,97,64,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
65,14,12,11,14,13,100,97,65,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
66,14,12,11,14,13,100,97,66,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
67,14,12,11,14,13,100,97,67,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
68,14,12,11,15,14,100,97,68,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
69,14,12,11,15,14,100,97,69,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
70,15,12,11,15,14,100,97,70,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
71,15,12,11,15,14,100,97,71,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
72,15,12,11,15,14,100,97,72,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
73,15,12,11,16,15,100,97,73,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
74,15,12,11,16,15,100,97,74,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
75,16,12,11,16,15,100,97,75,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
76,16,12,11,16,15,100,97,76,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
77,16,12,11,16,15,100,97,77,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
78,16,12,11,17,16,100,97,78,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
79,16,12,11,17,16,100,97,79,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
80,17,12,11,17,16,100,97,80,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
81,17,12,12,17,16,104,101,81,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
82,17,12,12,17,16,104,101,82,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
83,17,12,12,18,17,104,101,83,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
84,17,12,12,18,17,104,101,84,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
85,18,12,12,18,17,104,101,85,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
86,18,12,12,18,17,104,101,86,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
87,18,12,12,18,17,104,101,87,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
88,18,12,12,19,18,104,101,88,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
89,18,12,12,19,18,104,101,89,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
90,19,12,12,19,18,104,101,90,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
91,19,12,12,19,18,104,101,91,<1;1001>,,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<1.5;1.65;1.8;2>,<<83000>;<83000>;<83000;83001>;<83000;83001;83002>>,
