变量名,weight,choice2,name,resultDesc1,res,choice1,limit,desc,group,choice3,resultDesc3,resultDesc2,theme,result1,result2,result3,__version,choiceWeight1,choiceWeight2,choiceWeight3
19,,你决定收服异色时拉比和绿色时拉比,穿梭时空的相遇,时拉比将【甘露·生命焕发】赠予你，保佑你可以平安回到地球,,你决定依靠自己的力量,1,你的飞船无意中进入到了时间乱流之中，在这个时空之中出现了一只异色时拉比和一只绿色时拉比,63,,,人类，妄想获得预知未来的力量,<1;2;3;4;1001;1002;1003;1004>,{buff=<1622>},,,,,,
1011,5,仓惶离开,超梦觉醒,我会继续加油的！,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦X向你发起挑战,11,,,超级超梦X离开了,<1;2;3;1001;1002;1003>,{fight=10001},,,,,,
1012,5,仓惶离开,超梦觉醒,我会继续加油的~,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦Y向你发起挑战,21,,,超级超梦Y离开了,<1;2;3;1001;1002;1003>,{fight=10002},,,,,,
1013,,这是我离冠军最近的一次不能放弃,首个联盟冠军,我会继续努力的,,你深吸一口气，发起进攻,,当前正处于阿罗拉联盟紧张的总决赛阶段，冠军争夺战的对手是劲敌格拉吉欧,31,,,我会继续努力的,<1;2;3;1001;1002;1003>,{fight=10003},{fight=10004},,,,,
1014,,搭救它,结晶塔的帝王,炎帝逃脱了~,,趁机收复,,你想未知图腾们许愿后，一只虚弱的炎帝出现在你面前,41,,,获得了炎帝的感谢,<1;2;3;1001;1002;1003>,{fight=10005},,,,,,
1015,5,你似乎不感兴趣,光环的超魔神,这样下去，荒漠市会有危险!,,跟上去瞧瞧,,封印了过去破坏荒漠市的宝可梦的“惩戒之壶”，壶里散发出一般邪恶气息，惩戒之壶的封印，在历经漫长的岁月后好像被解开了！,51,,,荒漠市，陷入了危机,<1;2;3;1001;1002;1003>,{fight=10006},,,,,,
1111,5,仓惶离开,超梦觉醒,我会继续加油的！,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦X向你发起挑战,11,,,超级超梦X离开了,<4;1004>,{fight=30001},,,,,,
1112,5,仓惶离开,超梦觉醒,我会继续加油的~,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦Y向你发起挑战,21,,,超级超梦Y离开了,<4;1004>,{fight=30002},,,,,,
1113,,这是我离冠军最近的一次不能放弃,首个联盟冠军,我会继续努力的,,你深吸一口气，发起进攻,,当前正处于阿罗拉联盟紧张的总决赛阶段，冠军争夺战的对手是劲敌格拉吉欧,31,,,我会继续努力的,<4;1004>,{fight=30003},{fight=30004},,,,,
1114,,搭救它,结晶塔的帝王,炎帝逃脱了~,,趁机收复,,你想未知图腾们许愿后，一只虚弱的炎帝出现在你面前,41,,,获得了炎帝的感谢,<4;1004>,{fight=30005},,,,,,
1115,5,你似乎不感兴趣,光环的超魔神,这样下去，荒漠市会有危险!,,跟上去瞧瞧,,封印了过去破坏荒漠市的宝可梦的“惩戒之壶”，壶里散发出一般邪恶气息，惩戒之壶的封印，在历经漫长的岁月后好像被解开了！,51,,,荒漠市，陷入了危机,<4;1004>,{fight=30006},,,,,,
2001,,静静的看着,凤王传说,意外获得10000金币,,许愿,,云层渐渐分开，露出了一个巨大的身影，那是凤王，它的羽毛闪烁着金色的光芒，宛如太阳一般耀眼,,,,无事发生,<1;2;3;4;1001;1002;1003;1004>,{items={gold=10000}},,,,,,
2002,,观察伤口然后包扎伤口,都市摩托车大赛,故勒顿恢复80%的伤势，并陪你参加了摩托车大赛拿到了亚军，奖励摩托车大赛冠军奖杯，价值10000金币,,给他包扎伤口,,你来到黑市参加摩托车大赛，你正愁没有摩托车的时候，出现了受伤的故勒顿,,,,故勒顿获得了痊愈，并陪你参加了摩托车大赛拿到了冠军，奖励摩托车大赛冠军奖杯，价值20000金币,<1;2;3;4;1001;1002;1003;1004>,{items={gold=10000}},{items={gold=20000}},,,,,
2003,,藏起来,沉睡的卡比兽,卡比兽继续倒头大睡，他的身后似乎有个宝箱,,安抚他,,你误打误撞吵醒了正在熟睡的卡比兽,,,,卡比兽怒不可遏，发出怒吼，你受到惊吓，物理和特殊攻击力降低10%，上阵精灵怒气减少,<1;2;3;4;1001;1002;1003;1004>,{items={gold=10000}},{buff=<212;213>},,,,,
2004,,跟了上去,妙蛙花的治愈,无事发生,,远处看着他们,,妙蛙花在花园里进行光合作用将能量输送给妙蛙种子们,2,,,妙蛙花也将能量传输给了你，恢复20%的生命值,<1;2;3;4;1001;1002;1003;1004>,,{buff=<214>},,,,,
2005,,制止它,胖丁之歌,你安详地睡去，获得了充分的休息，上阵精灵血量回复了20%,,听它唱,,看到了一只胖丁准备唱歌,2,拔腿就跑,跑离了胖丁的能力影响范围,胖丁非常生气，对你使用了连环巴掌，上阵精灵生命值减少了，但是获得了怒气值,<1;2;3;4;1001;1002;1003;1004>,{buff=<214>},{buff=<200;211>},,,,,
2006,,制止它,胖丁之歌,你安详地睡去，获得了充分的休息，上阵精灵血量回复了20%,,听它唱,,看到了一只胖丁准备唱歌,2,拔腿就跑,然而跑得还是太晚了，受到了胖丁能力影响，我方精灵生命值回复，同时怒气值减少了,胖丁非常生气，对你使用了连环巴掌，上阵精灵生命值减少了，但是获得了怒气值,<1;2;3;4;1001;1002;1003;1004>,{buff=<214>},{buff=<200;211>},{buff=<214;203>},,,,
2007,,打醒它,不请假的请假王,请假王不乐意地离开了,,叫醒它,,一只巨大的请假王挡住了去路，它似乎睡得很香,3,,,请假王进行了反击，受到反击影响，全体精灵的攻击力加成降低5%,<1;2;3;4;1001;1002;1003;1004>,,{buff=<212;213>},,,,,
2008,,打醒它,不请假的请假王,请假王从睡梦中醒来，给了你一个香吻，获得祝福——下一次战斗开始时，沉默所有敌人一回合,,叫醒它,,一只巨大的请假王挡住了去路，它似乎睡得很香,4,,,请假王怕疼跑开了，它的身下似乎有一堆奇怪的东西,<1;2;3;4;1001;1002;1003;1004>,{buff=<301>},{items={gold=15000}},,,,,
2009,,给他水喝,都市摩托车大赛,故勒顿为了感谢你，你获得双攻提升10%,,给他食物,,你来到黑市参加摩托车大赛，你正愁没有摩托车的时候，出现了受伤的密勒顿,4,,,故勒顿为了感谢你，和你参加了摩托车大赛，但是并没有拿到名次,<1;2;3;4;1001;1002;1003;1004>,{buff=<2>},,,,,,
3001,20,仓惶离开,超梦觉醒,我会继续加油的！,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦X向你发起挑战,6,,,超级超梦X离开了,<1;2;3;1001;1002;1003>,{fight=10001},,,,,,
3002,20,仓惶离开,超梦觉醒,我会继续加油的~,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦Y向你发起挑战,6,,,超级超梦Y离开了,<1;2;3;1001;1002;1003>,{fight=10002},,,,,,
3003,,这是我离冠军最近的一次不能放弃,首个联盟冠军,我会继续努力的,,你深吸一口气，发起进攻,,当前正处于阿罗拉联盟紧张的总决赛阶段，冠军争夺战的对手是劲敌格拉吉欧,6,,,我会继续努力的,<1;2;3;1001;1002;1003>,{fight=10003},{fight=10004},,,,,
3004,,搭救它,结晶塔的帝王,炎帝逃脱了~,,趁机收复,,你想未知图腾们许愿后，一只虚弱的炎帝出现在你面前,6,,,获得了炎帝的感谢,<1;2;3;1001;1002;1003>,{fight=10005},,,,,,
3005,20,你似乎不感兴趣,光环的超魔神,这样下去，荒漠市会有危险!,,跟上去瞧瞧,,封印了过去破坏荒漠市的宝可梦的“惩戒之壶”，壶里散发出一般邪恶气息，惩戒之壶的封印，在历经漫长的岁月后好像被解开了！,6,,,荒漠市，陷入了危机,<1;2;3;1001;1002;1003>,{fight=10006},,,,,,
3006,,拒绝,竹兰的烈咬陆鲨,我的烈咬陆鲨厉害吧！,,接受挑战,,竹兰用烈咬陆鲨向你发起挑战,6,,,无趣！,<1;2;3;1001;1002;1003>,{fight=10007},,,,,,
3101,20,仓惶离开,超梦觉醒,我会继续加油的！,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦X向你发起挑战,6,,,超级超梦X离开了,<4;1004>,{fight=30001},,,,,,
3102,20,仓惶离开,超梦觉醒,我会继续加油的~,,接受挑战,,夏伯使用梦幻的细胞人工制造出了传说的宝可梦超梦，第一次形态转化成超级超梦Y向你发起挑战,6,,,超级超梦Y离开了,<4;1004>,{fight=30002},,,,,,
3103,,这是我离冠军最近的一次不能放弃,首个联盟冠军,我会继续努力的,,你深吸一口气，发起进攻,,当前正处于阿罗拉联盟紧张的总决赛阶段，冠军争夺战的对手是劲敌格拉吉欧,6,,,我会继续努力的,<4;1004>,{fight=30003},{fight=30004},,,,,
3104,,搭救它,结晶塔的帝王,炎帝逃脱了~,,趁机收复,,你想未知图腾们许愿后，一只虚弱的炎帝出现在你面前,6,,,获得了炎帝的感谢,<4;1004>,{fight=30005},,,,,,
3105,20,你似乎不感兴趣,光环的超魔神,这样下去，荒漠市会有危险!,,跟上去瞧瞧,,封印了过去破坏荒漠市的宝可梦的“惩戒之壶”，壶里散发出一般邪恶气息，惩戒之壶的封印，在历经漫长的岁月后好像被解开了！,6,,,荒漠市，陷入了危机,<4;1004>,{fight=30006},,,,,,
3106,,拒绝,竹兰的烈咬陆鲨,我的烈咬陆鲨厉害吧！,,接受挑战,,竹兰用烈咬陆鲨向你发起挑战,6,,,无趣！,<4;1004>,{fight=30007},,,,,,
