变量名,historyCanjump,historyCanPass,lastCanjump,lastCanPass,markBoards3,markBoards2,markBoards1,markType3,markType2,markType1,hiddenBoardsNumberUpperLimit,hiddenBoardsNumberLowerLimit,boards,boardGroups1,boardGroups2,boardGroups3,pointC,itemAward,itemAward2,__version
86,35,35,45,45,347,,,1,2,2,4,1,{3=50;4=200},<344;345>,<344;345>,,<1.792;2.5088;3.584;5.376>,,,
87,35,35,45,45,349,,352,4,2,1,4,1,{3=50;4=200},,<348>,,<1.804;2.5256;3.608;5.412>,,,
88,35,35,45,45,359,357,355,1,1,4,4,1,{3=50;4=200},,,,<1.804;2.5256;3.608;5.412>,,,
89,35,35,45,45,362,362,362,1,1,1,,,{2=100},,,,<1.84;2.576;3.68;5.52>,,,
90,35,35,45,45,363,363,363,3,3,3,,,{1=100},,,,<1.84;2.576;3.68;5.52>,{1=1},{1=2},
91,40,40,50,50,,,,2,2,2,3,2,{3=50},<364;365;366;367>,<364;365;366;367>,<364;365;366;367>,<1.864;2.6096;3.728;5.592>,,,
92,40,40,50,50,371,370,,1,4,2,4,1,{3=50;4=200},<368;369>,,,<1.864;2.6096;3.728;5.592>,,,
93,40,40,50,50,374,374,373,1,1,1,4,1,{3=50;4=200},,,,<1.876;2.6264;3.752;5.628>,,,
94,40,40,50,50,379,378,378,1,1,1,4,1,{3=50;4=200},,,,<1.876;2.6264;3.752;5.628>,,,
95,40,40,50,50,383,380,380,1,1,1,4,1,{3=50;4=200},,,,<1.888;2.6432;3.776;5.664>,,,
96,40,40,50,50,387,,,1,2,2,4,1,{3=50;4=200},<384;385>,<384;385>,,<1.888;2.6432;3.776;5.664>,,,
97,40,40,50,50,392,389,,1,4,2,4,1,{3=50;4=200},<388>,,,<1.9;2.66;3.8;5.7>,,,
98,40,40,50,50,399,399,396,1,1,4,4,1,{3=50;4=200},,,,<1.9;2.66;3.8;5.7>,,,
99,40,40,50,50,403,403,400,1,1,1,,,{2=100},,,,<1.936;2.7104;3.872;5.808>,,,
100,40,40,50,50,404,404,404,4,4,4,,,{1=100},,,,<1.936;2.7104;3.872;5.808>,{4=1},{4=2},
101,45,45,55,55,,,,2,2,2,3,2,{3=50},<405;406;407;408>,<405;406;407;408>,<405;406;407;408>,<1.96;2.744;3.92;5.88>,,,
102,45,45,55,55,412,411,,1,4,2,4,1,{3=50;4=200},<409;410>,,,<1.96;2.744;3.92;5.88>,,,
103,45,45,55,55,415,415,414,1,1,1,4,1,{3=50;4=200},,,,<1.972;2.7608;3.944;5.916>,,,
104,45,45,55,55,419,418,418,1,1,1,4,1,{3=50;4=200},,,,<1.972;2.7608;3.944;5.916>,,,
105,45,45,55,55,424,424,421,1,1,1,4,1,{3=50;4=200},,,,<1.984;2.7776;3.968;5.952>,,,
106,45,45,55,55,428,,,1,2,2,4,1,{3=50;4=200},<425;426>,<425;426>,,<1.984;2.7776;3.968;5.952>,,,
107,45,45,55,55,433,430,,1,4,2,4,1,{3=50;4=200},<429>,,,<1.996;2.7944;3.992;5.988>,,,
108,45,45,55,55,439,438,436,1,1,4,4,1,{3=50;4=200},,,,<1.996;2.7944;3.992;5.988>,,,
109,45,45,55,55,443,443,443,1,1,1,,,{2=100},,,,<2.032;2.8448;4.064;6.096>,,,
110,45,45,55,55,444,444,444,3,3,3,,,{1=100},,,,<2.032;2.8448;4.064;6.096>,{5=1},{5=2},
111,50,50,60,60,,,,2,2,2,3,2,{3=50},<445;446;447;448>,<445;446;447;448>,<445;446;447;448>,<2.056;2.8784;4.112;6.168>,,,
112,50,50,60,60,452,451,,1,4,2,4,1,{3=50;4=200},<449;450>,,,<2.056;2.8784;4.112;6.168>,,,
113,50,50,60,60,455,455,454,1,1,1,4,1,{3=50;4=200},,,,<2.068;2.8952;4.136;6.204>,,,
114,50,50,60,60,460,460,457,1,1,1,4,1,{3=50;4=200},,,,<2.068;2.8952;4.136;6.204>,,,
115,50,50,60,60,464,464,461,1,1,1,4,1,{3=50;4=200},,,,<2.08;2.912;4.16;6.24>,,,
116,50,50,60,60,468,467,,1,1,2,4,1,{3=50;4=200},<465;466>,,,<2.08;2.912;4.16;6.24>,,,
117,50,50,60,60,473,470,,1,4,2,4,1,{3=50;4=200},<469>,,,<2.092;2.9288;4.184;6.276>,,,
118,50,50,60,60,480,479,477,1,1,4,4,1,{3=50;4=200},,,,<2.092;2.9288;4.184;6.276>,,,
119,50,50,60,60,484,484,481,1,1,1,,,{2=100},,,,<2.128;2.9792;4.256;6.384>,,,
120,50,50,60,60,485,485,485,4,4,4,,,{1=100},,,,<2.128;2.9792;4.256;6.384>,{4=1},{4=2},
121,55,55,65,65,491,490,,1,4,2,3,2,{3=50},<486;487;488>,,,<2.152;3.0128;4.304;6.456>,,,
122,55,55,65,65,495,493,,1,4,2,4,1,{3=50;4=200},<492>,,,<2.152;3.0128;4.304;6.456>,,,
123,55,55,65,65,499,499,497,1,1,1,4,1,{3=50;4=200},,,,<2.164;3.0296;4.328;6.492>,,,
124,55,55,65,65,503,501,501,1,1,1,4,1,{3=50;4=200},,,,<2.164;3.0296;4.328;6.492>,,,
125,55,55,65,65,507,507,507,1,1,1,4,1,{3=50;4=200},,,,<2.176;3.0464;4.352;6.528>,,,
126,55,55,65,65,512,512,,1,1,2,4,1,{3=50;4=200},<508;509>,,,<2.176;3.0464;4.352;6.528>,,,
127,55,55,65,65,518,514,,1,4,2,4,1,{3=50;4=200},<513>,,,<2.188;3.0632;4.376;6.564>,,,
128,55,55,65,65,525,523,521,1,1,4,4,1,{3=50;4=200},,,,<2.188;3.0632;4.376;6.564>,,,
129,55,55,65,65,529,529,526,1,1,1,,,{2=100},,,,<2.224;3.1136;4.448;6.672>,,,
130,55,55,65,65,530,530,530,3,3,3,,,{1=100},,,,<2.224;3.1136;4.448;6.672>,{1=1},{1=2},
131,60,60,70,70,536,534,,1,4,2,3,2,{3=50},<531;532;533>,,,<2.248;3.1472;4.496;6.744>,,,
132,60,60,70,70,540,538,,1,4,2,4,1,{3=50;4=200},<537>,,,<2.248;3.1472;4.496;6.744>,,,
133,60,60,70,70,543,543,541,1,1,1,4,1,{3=50;4=200},,,,<2.26;3.164;4.52;6.78>,,,
134,60,60,70,70,548,548,546,1,1,1,4,1,{3=50;4=200},,,,<2.26;3.164;4.52;6.78>,,,
135,60,60,70,70,550,550,550,1,1,1,4,1,{3=50;4=200},,,,<2.272;3.1808;4.544;6.816>,,,
136,60,60,70,70,557,,,1,2,2,4,1,{3=50;4=200},<553;554>,<553;554>,,<2.272;3.1808;4.544;6.816>,,,
137,60,60,70,70,563,559,,1,4,2,4,1,{3=50;4=200},<558>,,,<2.284;3.1976;4.568;6.852>,,,
138,60,60,70,70,570,570,567,1,1,4,4,1,{3=50;4=200},,,,<2.284;3.1976;4.568;6.852>,,,
139,60,60,70,70,575,575,575,1,1,1,,,{2=100},,,,<2.32;3.248;4.64;6.96>,,,
140,60,60,70,70,576,576,576,4,4,4,,,{1=100},,,,<2.32;3.248;4.64;6.96>,{2=1},{2=2},
141,65,65,75,75,581,580,,1,4,2,3,2,{3=50},<577;578>,,,<2.344;3.2816;4.688;7.032>,,,
142,65,65,75,75,585,583,,1,4,2,4,1,{3=50;4=200},<582>,,,<2.344;3.2816;4.688;7.032>,,,
143,65,65,75,75,588,588,587,1,1,1,4,1,{3=50;4=200},,,,<2.356;3.2984;4.712;7.068>,,,
144,65,65,75,75,593,593,591,1,1,1,4,1,{3=50;4=200},,,,<2.356;3.2984;4.712;7.068>,,,
145,65,65,75,75,597,597,594,1,1,1,4,1,{3=50;4=200},,,,<2.368;3.3152;4.736;7.104>,,,
146,65,65,75,75,602,602,,1,1,2,4,1,{3=50;4=200},<598>,,,<2.368;3.3152;4.736;7.104>,,,
147,65,65,75,75,608,604,,1,4,2,4,1,{3=50;4=200},<603>,,,<2.38;3.332;4.76;7.14>,,,
148,65,65,75,75,615,615,611,1,1,4,4,1,{3=50;4=200},,,,<2.38;3.332;4.76;7.14>,,,
149,65,65,75,75,619,619,619,1,1,1,,,{2=100},,,,<2.416;3.3824;4.832;7.248>,,,
150,65,65,75,75,620,620,620,3,3,3,,,{1=100},,,,<2.416;3.3824;4.832;7.248>,{5=1},{5=2},
151,70,70,80,80,625,624,,1,4,2,3,2,{3=50},<621;622>,,,<2.44;3.416;4.88;7.32>,,,
152,70,70,80,80,629,627,,1,4,2,4,1,{3=50;4=200},<626>,,,<2.44;3.416;4.88;7.32>,,,
153,70,70,80,80,633,633,631,1,1,1,4,1,{3=50;4=200},,,,<2.452;3.4328;4.904;7.356>,,,
154,70,70,80,80,637,637,637,1,1,1,4,1,{3=50;4=200},,,,<2.452;3.4328;4.904;7.356>,,,
155,70,70,80,80,641,641,641,1,1,1,4,1,{3=50;4=200},,,,<2.464;3.4496;4.928;7.392>,,,
156,70,70,80,80,646,646,,1,1,2,4,1,{3=50;4=200},<642>,,,<2.464;3.4496;4.928;7.392>,,,
157,70,70,80,80,452,653,,1,3,2,4,1,{3=50;4=200},<647>,,,<2.476;3.4664;4.952;7.428>,,,
158,70,70,80,80,660,660,656,1,1,4,4,1,{3=50;4=200},,,,<2.476;3.4664;4.952;7.428>,,,
159,70,70,80,80,664,664,664,1,1,1,,,{2=100},,,,<2.512;3.5168;5.024;7.536>,,,
160,70,70,80,80,665,665,665,4,4,4,,,{1=100},,,,<2.512;3.5168;5.024;7.536>,{1=1},{1=2},
161,75,75,85,85,670,668,,1,4,2,3,2,{3=50},<666;667>,,,<2.536;3.5504;5.072;7.608>,,,
162,75,75,85,85,674,672,,1,4,2,4,1,{3=50;4=200},<671>,,,<2.536;3.5504;5.072;7.608>,,,
163,75,75,85,85,678,678,675,1,1,4,4,1,{3=50;4=200},,,,<2.548;3.5672;5.096;7.644>,,,
164,75,75,85,85,682,682,,1,1,2,4,1,{3=50;4=200},<679>,,,<2.548;3.5672;5.096;7.644>,,,
165,75,75,85,85,686,686,686,1,1,1,4,1,{3=50;4=200},,,,<2.56;3.584;5.12;7.68>,,,
166,75,75,85,85,691,691,,1,1,2,4,1,{3=50;4=200},<687>,,,<2.56;3.584;5.12;7.68>,,,
167,75,75,85,85,697,693,,1,4,2,4,1,{3=50;4=200},<692>,,,<2.572;3.6008;5.144;7.716>,,,
168,75,75,85,85,704,704,700,1,1,4,4,1,{3=50;4=200},,,,<2.572;3.6008;5.144;7.716>,,,
169,75,75,85,85,708,708,708,1,1,1,,,{2=100},,,,<2.608;3.6512;5.216;7.824>,,,
170,75,75,85,85,709,709,709,3,3,3,,,{1=100},,,,<2.608;3.6512;5.216;7.824>,{5=1},{5=2},
171,80,80,90,90,714,712,,1,4,2,3,2,{3=50},<710;711>,,,<2.632;3.6848;5.264;7.896>,,,
172,80,80,90,90,717,716,,1,4,2,4,1,{3=50;4=200},<715>,,,<2.632;3.6848;5.264;7.896>,,,
173,80,80,90,90,722,722,719,1,1,4,4,1,{3=50;4=200},,,,<2.644;3.7016;5.288;7.932>,,,
174,80,80,90,90,726,726,,1,1,2,4,1,{3=50;4=200},<723>,,,<2.644;3.7016;5.288;7.932>,,,
175,80,80,90,90,730,730,730,1,1,1,4,1,{3=50;4=200},,,,<2.656;3.7184;5.312;7.968>,,,
176,80,80,90,90,735,735,,1,1,2,4,1,{3=50;4=200},<731>,,,<2.656;3.7184;5.312;7.968>,,,
177,80,80,90,90,741,737,,1,4,2,4,1,{3=50;4=200},<736>,,,<2.668;3.7352;5.336;8.004>,,,
178,80,80,90,90,749,749,745,1,1,4,4,1,{3=50;4=200},,,,<2.668;3.7352;5.336;8.004>,,,
179,80,80,90,90,753,753,753,1,1,1,,,{2=100},,,,<2.704;3.7856;5.408;8.112>,,,
180,80,80,90,90,754,754,754,4,4,4,,,{1=100},,,,<2.704;3.7856;5.408;8.112>,{1=1},{1=2},
181,85,85,95,95,758,757,,1,4,2,3,2,{3=50},<755;756>,,,<2.728;3.8192;5.456;8.184>,,,
182,85,85,95,95,761,760,,1,4,2,4,1,{3=50;4=200},<759>,,,<2.728;3.8192;5.456;8.184>,,,
183,85,85,95,95,766,766,763,1,1,4,4,1,{3=50;4=200},,,,<2.74;3.836;5.48;8.22>,,,
184,85,85,95,95,770,770,,1,1,2,4,1,{3=50;4=200},<767>,,,<2.74;3.836;5.48;8.22>,,,
185,85,85,95,95,774,774,774,1,1,1,4,1,{3=50;4=200},,,,<2.752;3.8528;5.504;8.256>,{3=1},{3=2},
186,85,85,95,95,779,779,,1,1,2,4,1,{3=50;4=200},<775>,,,<2.752;3.8528;5.504;8.256>,,,
187,85,85,95,95,785,785,780,1,1,4,4,1,{3=50;4=200},,,,<2.764;3.8696;5.528;8.292>,,,
188,85,85,95,95,792,792,792,1,1,1,4,1,{3=50;4=200},,,,<2.764;3.8696;5.528;8.292>,,,
189,85,85,95,95,796,796,796,1,1,1,,,{2=100},,,,<2.8;3.92;5.6;8.4>,,,
190,85,85,95,95,797,797,797,3,3,3,,,{1=100},,,,<2.8;3.92;5.6;8.4>,{5=1},{5=2},
191,90,90,100,100,801,800,,1,4,2,3,2,{3=50},<798;799>,,,<2.824;3.9536;5.648;8.472>,,,
192,90,90,100,100,805,803,,1,4,2,4,1,{3=50;4=200},<802>,,,<2.824;3.9536;5.648;8.472>,,,
193,90,90,100,100,809,809,806,1,1,4,4,1,{3=50;4=200},,,,<2.836;3.9704;5.672;8.508>,,,
194,90,90,100,100,813,813,,1,1,2,4,1,{3=50;4=200},<810>,,,<2.836;3.9704;5.672;8.508>,,,
195,90,90,100,100,815,815,815,1,1,1,4,1,{3=50;4=200},,,,<2.848;3.9872;5.696;8.544>,{4=1},{4=2},
196,90,90,100,100,820,820,,1,1,2,4,1,{3=50;4=200},<816>,,,<2.848;3.9872;5.696;8.544>,,,
197,90,90,100,100,827,826,821,3,1,4,4,1,{3=50;4=200},,,,<2.86;4.004;5.72;8.58>,,,
198,90,90,100,100,834,834,831,1,1,1,4,1,{3=50;4=200},,,,<2.86;4.004;5.72;8.58>,,,
199,90,90,100,100,838,838,838,1,1,1,,,{2=100},,,,<2.896;4.0544;5.792;8.688>,,,
200,90,90,100,100,839,839,839,3,3,3,,,{1=100},,,,<2.896;4.0544;5.792;8.688>,,,
