变量名,name,desc,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任务描述,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
44,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;gold=30000},<1.1;1.3>,4,<11;12;16>,70,2,{3=2},30
45,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;12=15},<1.1;1.3>,4,<14;12;18>,70,3,{2=2},30
46,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<14;16;18>,60,1,{3=1},40
47,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<2;8;15>,60,2,{4=1},40
48,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<45;49>,{gold=11000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<6;12;16>,60,3,{2=1},40
49,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;930=2},<0.5;0.7>,3,<6;16;18>,60,1,{3=1},40
50,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<12;16;18>,60,2,{4=1},40
51,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<45;49>,{gold=13750;2101=2},{2101=2;12=7},<0.5;0.7>,3,<3;11;16>,60,3,{2=1},40
52,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<7;13;5>,60,1,{3=1},40
53,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<1;11;15>,60,2,{4=2},40
54,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<45;49>,{gold=16500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<5;7;17>,60,3,{3=2},40
55,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;930=4},<0.9;1.1>,4,<3;8;18>,60,1,{3=2},40
56,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;gold=20000},<0.9;1.1>,4,<10;13;17>,60,2,{4=2},40
57,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<45;49>,{gold=22000;2102=2},{2102=2;12=12},<0.9;1.1>,4,<10;17;5>,60,3,{3=2},40
58,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;930=5},<1.1;1.3>,4,<13;17;5>,60,1,{3=2},40
59,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;gold=30000},<1.1;1.3>,4,<2;8;16>,60,2,{4=2},40
60,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<45;49>,{gold=27500;2103=1},{2103=1;12=15},<1.1;1.3>,4,<2;11;17>,60,3,{3=2},40
61,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<4;10;15>,60,1,{4=1},40
62,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<13;5;11>,60,2,{4=1},40
63,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<50;54>,{gold=13000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<17;5;14>,60,3,{2=1},40
64,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;930=2},<0.5;0.7>,3,<17;11;6>,60,1,{4=1},40
65,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<1;11;17>,60,2,{4=1},40
66,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<50;54>,{gold=16250;2101=4},{2101=2;12=7},<0.5;0.7>,3,<6;11;16>,60,3,{2=1},40
67,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<5;11;14>,60,1,{4=1},40
68,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<5;14;12>,60,2,{4=2},40
69,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<50;54>,{gold=19500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<11;6;12>,60,3,{3=2},40
70,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;930=4},<0.9;1.1>,4,<5;7;13>,60,1,{4=2},40
71,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;gold=20000},<0.9;1.1>,4,<2;8;13>,60,2,{4=2},40
72,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<50;54>,{gold=26000;2102=4},{2102=2;12=12},<0.9;1.1>,4,<11;12;16>,60,3,{3=2},40
73,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;930=5},<1.1;1.3>,4,<14;12;18>,60,1,{4=2},40
74,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;gold=30000},<1.1;1.3>,4,<14;16;18>,60,2,{4=2},40
75,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<50;54>,{gold=32500;2103=2},{2103=1;12=15},<1.1;1.3>,4,<2;8;15>,60,3,{3=2},40
76,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<6;12;16>,60,1,{4=1},40
77,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<6;16;18>,60,2,{5=1},40
78,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<55;59>,{gold=15000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<12;16;18>,60,3,{2=1},40
79,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;930=2},<0.5;0.7>,3,<3;11;16>,60,1,{4=1},40
80,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<7;13;5>,60,2,{5=1},40
81,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<55;59>,{gold=18750;2101=4},{2101=2;12=7},<0.5;0.7>,3,<1;11;15>,60,3,{2=1},40
82,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<5;7;17>,60,1,{4=1},40
83,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<3;8;18>,60,2,{5=2},40
84,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<55;59>,{gold=22500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<10;13;17>,60,3,{3=2},40
85,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;930=4},<0.9;1.1>,4,<10;17;5>,60,1,{4=2},40
86,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;gold=20000},<0.9;1.1>,4,<13;17;5>,60,2,{5=2},40
87,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<55;59>,{gold=30000;2102=4},{2102=2;12=12},<0.9;1.1>,4,<2;8;16>,60,3,{3=2},40
88,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;930=5},<1.1;1.3>,4,<2;11;17>,60,1,{4=2},40
89,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;gold=30000},<1.1;1.3>,4,<4;10;15>,60,2,{5=2},40
90,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<55;59>,{gold=37500;2103=2},{2103=1;12=15},<1.1;1.3>,4,<13;5;11>,60,3,{3=2},40
91,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<17;5;14>,50,1,{5=1},50
92,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<17;11;6>,50,2,{6=1},50
93,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<60;64>,{gold=17000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<1;11;17>,50,3,{2=1},50
94,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;930=2},<0.5;0.7>,3,<6;11;16>,50,1,{5=1},50
95,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<5;11;14>,50,2,{6=1},50
96,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<60;64>,{gold=21250;2101=4},{2101=2;12=7},<0.5;0.7>,3,<5;14;12>,50,3,{2=1},50
97,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<11;6;12>,50,1,{5=1},50
98,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<5;7;13>,50,2,{6=2},50
99,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<60;64>,{gold=25500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<2;8;13>,50,3,{3=2},50
100,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;930=4},<0.9;1.1>,4,<11;12;16>,50,1,{5=2},50
101,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;gold=20000},<0.9;1.1>,4,<14;12;18>,50,2,{6=2},50
102,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<60;64>,{gold=34000;2102=4},{2102=2;12=12},<0.9;1.1>,4,<14;16;18>,50,3,{3=2},50
103,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;930=5},<1.1;1.3>,4,<2;8;15>,50,1,{5=2},50
104,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;gold=30000},<1.1;1.3>,4,<6;12;16>,50,2,{6=2},50
105,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<60;64>,{gold=42500;2103=2},{2103=1;12=15},<1.1;1.3>,4,<6;16;18>,50,3,{3=2},50
106,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<12;16;18>,50,1,{5=1},50
107,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<3;11;16>,50,2,{8=1},50
108,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<65;69>,{gold=19000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<7;13;5>,50,3,{2=1},50
109,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;930=2},<0.5;0.7>,3,<1;11;15>,50,1,{5=1},50
110,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<5;7;17>,50,2,{8=1},50
111,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<65;69>,{gold=23750;2101=4},{2101=2;12=7},<0.5;0.7>,3,<3;8;18>,50,3,{2=1},50
112,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<10;13;17>,50,1,{5=1},50
113,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<10;17;5>,50,2,{8=2},50
114,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<65;69>,{gold=28500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<13;17;5>,50,3,{3=2},50
115,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;930=4},<0.9;1.1>,4,<2;8;16>,50,1,{5=2},50
116,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;gold=20000},<0.9;1.1>,4,<2;11;17>,50,2,{8=2},50
117,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<65;69>,{gold=38000;2102=4},{2102=2;12=12},<0.9;1.1>,4,<4;10;15>,50,3,{3=2},50
118,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;930=5},<1.1;1.3>,4,<13;5;11>,50,1,{5=2},50
119,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;gold=30000},<1.1;1.3>,4,<17;5;14>,50,2,{8=2},50
120,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<65;69>,{gold=47500;2103=2},{2103=1;12=15},<1.1;1.3>,4,<17;11;6>,50,3,{3=2},50
121,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;930=1},<0.4;0.6>,3,<1;11;17>,50,1,{6=1},50
122,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;gold=6000},<0.4;0.6>,3,<6;11;16>,50,2,{9=1},50
123,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<70;74>,{gold=21000;2101=2},{2101=1;12=5},<0.4;0.6>,3,<5;11;14>,50,3,{1=1},50
124,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;930=2},<0.5;0.7>,3,<5;14;12>,50,1,{6=1},50
125,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;gold=10000},<0.5;0.7>,3,<11;6;12>,50,2,{9=1},50
126,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<70;74>,{gold=26250;2101=4},{2101=2;12=7},<0.5;0.7>,3,<5;7;13>,50,3,{1=1},50
127,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;930=3},<0.6;0.8>,3,<2;8;13>,50,1,{6=2},50
128,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;gold=16000},<0.6;0.8>,3,<11;12;16>,50,2,{9=2},50
129,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<70;74>,{gold=31500;2102=2},{2102=1;12=10},<0.6;0.8>,3,<14;12;18>,50,3,{2=2},50
